-0.0109713-0.0206953j -0.00315426+0.00879077j 0.0191433+0.0526492j 0.0454004-0.0190221j -0.0252265-0.000765836j -0.00971061-0.0105307j -0.0181145-0.024706j 0.00145836-0.0288619j 0.0272857-0.0357537j -0.0393211+0.00291597j -0.00257785+0.0269358j -0.0200367-0.0342724j 0.0618312+0.0306268j 0.128353+0.0430817j 0.0731504-0.0112471j 0.102057+0.10913j 0.0408697+0.0417208j -0.0223884-0.0841278j 0.0797322+0.0178547j 0.0769622-0.00883688j 0.0199875-0.0026572j -0.0174025+0.0718046j -0.131298+0.200772j 0.0438972-0.0619868j -0.015487+0.000278062j 0.0116864+0.0603054j -0.0028924+0.0555596j -0.053865-0.12682j 0.0986827+0.0157442j 0.0206139-0.0391161j -0.0860087+0.010764j 0.0224707-0.0582211j -0.149381+0.0801637j -0.0219682-0.0915136j 0.0123362+0.0145893j 0.0201641-0.0661474j -0.0795254+0.0206161j 0.0792141+0.0319008j 0.0960084+0.112648j 0.0349914+0.143281j 
-0.0482532-0.00239674j -0.00358353-0.00246579j 0.00824533+0.0232315j 0.0213821-0.046368j -0.00196197-0.029458j 0.00932737-0.0165966j -0.0206542-0.0151001j -0.0463409+0.0308282j 0.063329+0.00308777j -0.0222385-0.0084459j -0.0617046-0.0319543j -0.0812637-0.0160224j 0.0547597+0.095647j 0.00525854-0.0454983j -0.0657024+0.0206282j -0.0381374+0.0840762j -0.0419614+0.00349069j -0.0710013-0.0426462j 0.0411683+0.00791672j 0.0752155+0.0548879j 0.0365041-0.016368j -0.023038+0.0618428j 0.0262371-0.00266427j -0.028647+0.036452j 0.0323002+0.0602802j 0.00427294+0.0154777j -0.0661921-0.0631518j 0.097794-0.080605j 0.058535+0.0169951j 0.0370566+0.0226329j 0.0322525+0.0342843j 0.0287956+0.0295183j -0.0356675-0.0378172j -0.105337+0.0530748j 0.0145775-0.0175146j -0.062548-0.0247475j -0.00946272-0.00827037j -0.110587-0.0179443j 0.0760209-0.0278475j 0.0978498+0.10904j 
-0.0426695-0.000597971j 0.00827637+0.00154749j -0.0463276+0.0126833j -0.0146471-0.00358643j 0.00172307+0.0044781j 0.00598757+0.00887582j -0.00530268-0.00538626j -0.0285238+0.0122071j 0.00145919+0.021335j 0.0504759+0.0521795j -0.0966037-0.0711127j -0.0356527-0.0382104j 0.0784874+0.0489707j -0.128725-0.139163j -0.209288+0.116213j -0.247655-0.0369618j -0.116398-0.0337109j -0.0400524+0.0924987j -0.109361-0.0413283j -0.0695109+0.0832313j 0.0676979+0.0152531j 0.00344786+0.0148254j 0.197668-0.293j -0.0770379+0.274812j 0.0606404+0.0199841j 0.0910984-0.0347114j -0.0909264-0.170088j 0.12512+0.158814j -0.134739+0.0959223j -0.00799824+0.00303124j 0.119665-0.0534857j -0.0498177+0.0557704j 0.219536-0.0246849j -0.0306276+0.1415j -0.0354657-0.0794243j -0.0777157+0.105951j 0.128169+0.0224356j -0.0309347-0.0134868j -0.0449776-0.124916j 0.0725722-0.0506977j 
0.100488+0.0854587j -0.00300619-0.00677714j -0.0705384-0.179232j -0.163688+0.0817661j 0.0615438+0.0101069j 0.00333068+0.0204564j 0.0377274+0.0759803j 0.080332+0.067497j -0.0765152+0.0537769j 0.0527489-0.0800955j 0.178021+0.00450536j 0.119519+0.0941606j -0.268281-0.125164j -0.162254+0.188548j 0.0603677-0.0781118j 0.117564-0.192918j 0.0605902-0.0361469j 0.159986+0.105002j 0.0108666+0.140462j -0.00780203-0.00766654j -0.161677+0.0466044j 0.105151-0.264927j 0.0335594-0.128004j -0.0328962-0.127446j -0.0442302-0.156513j -0.169169-0.127485j 0.20998+0.158968j 0.0164129+0.0842546j 0.00477695+0.04172j -0.0722562-0.0192627j 0.0882914-0.0795195j -0.028268-0.0503691j 0.0528279+0.00918758j 0.0324137+0.101367j 0.0326836+0.0516967j -0.0133494-0.0118071j 0.0171057-0.0119348j 0.032895+0.020614j -0.0125243-0.0598657j 0.0348231-0.0185253j 
0.00647191-0.0353639j -0.0104174+0.003255j -0.0173192+0.0709039j 0.0590244+0.0287371j -0.02453+0.0484212j 0.000421043-0.022748j 0.00128149+0.0175626j 0.0411979-0.0698069j -0.0508382-0.056913j 0.00750505-0.0122383j -0.0157754-0.00431494j 0.0760163-0.0193627j 0.044823-0.0873548j 0.0444468+0.0178641j 0.0595871-0.0231754j -0.0178697+0.0399211j 0.00650695-0.0320781j 0.0123059+0.0373555j -0.0912883-0.0337404j -0.0797671-0.0313391j -0.0179602-0.0493141j -0.0377397-0.0352194j -0.0466648+0.0551177j -0.0178279-0.0382341j 0.112024-0.0310184j -0.0738286+0.0110974j -0.0476478-0.0515216j -0.0709862+0.0251855j -0.205746-0.0294401j -0.0454417+0.0176823j 0.0399709+0.00975155j -0.0451809-0.00856246j 0.0390915-0.0852786j -0.0243649-0.0542834j 0.0211525-0.0452913j 0.0882693-0.00509617j 0.102936+0.0555481j 0.0744039-0.0285358j -0.0955281-0.0948567j -0.0580079-0.137906j 
-0.0287609-0.0272809j 0.00525599+0.0415425j -0.0084225+0.0499636j 0.0640205+0.0176972j 0.0220863+0.0400905j -0.0555538+0.0302677j -0.0169281-0.021465j -0.0312892-0.0273144j -0.000780045-0.045089j 0.0277671+0.0374428j -0.00914962-0.0226515j 0.0196079-0.0211321j 0.036488-0.030605j -0.0110629-0.0271122j -0.0304527-0.00369208j -0.0950698-0.00869696j 0.00364897-0.0064926j -0.0167524+0.0452304j -0.10519-0.0424933j -0.0950925+0.0283213j 0.0406064+0.0859152j 0.0660754+0.0556222j 0.0301186-0.11771j 0.0921546+0.120319j -0.169233-0.00245442j 0.335931+0.0280446j 0.16755+0.107628j -0.152869+0.222218j 0.0299495+0.0382829j 0.0367984-0.0941433j -0.158496-0.128239j -0.0103479-0.0242041j -0.000405276+0.277757j 0.299194-0.174285j -0.110156+0.195831j -0.0958035+0.0346571j -0.284765-0.16675j 0.192961+0.0862293j -0.0792862+0.0229153j -0.107275-0.122151j 
0.0110577-0.0382296j -0.00687042-0.000312079j -0.00378811+0.065673j 0.071092+0.0971125j -0.016195+0.0442887j -0.00253225-0.00863556j 0.0289202+0.0252199j 0.0366668-0.0992915j -0.0417334-0.0326474j 0.01578+0.0496998j 0.0130881+0.0351625j 0.104987-0.093838j 0.0395869-0.0630016j 0.0478975-0.0623235j 0.0890726-0.0176626j 0.00398-0.0151042j 0.0135654-0.00306892j 0.0607956+0.0231776j -0.116971+0.00267185j -0.0933458-0.0223914j -0.0350932+0.0307076j 0.0117861+0.0146305j -0.0531971+0.0733385j -0.0429907-0.0263452j 0.00471603+0.00364393j -0.0642052-0.0541979j -0.0521399+0.0286649j -0.0796231+0.024057j -0.202159-0.00392155j 0.00193167+0.013191j -0.0450615+0.0533788j 0.04198-0.0140245j 0.0618616-0.0750387j 0.0146213-0.0615094j -0.00148904-0.0380145j 0.109495+0.0237682j 0.0789058+0.0663213j 0.110415+0.0370351j -0.137433-0.111388j -0.0260724-0.154393j 
0.0537795-0.0147628j 0.00864447-0.0576j -0.0345478+0.00175266j 0.0115054+0.113977j 0.00605496+0.039866j -0.0752012+0.0409928j 0.0312302-0.0201837j 0.0158312-0.029639j -0.0526795-0.0348717j 0.0141615-0.0483692j 0.0210226+0.0420935j 0.0783403+0.00880051j -0.0142036-0.072806j -0.00100477+0.0448729j 0.158994-0.0379132j 0.0369051-0.0484085j 0.000620235+0.0121691j 0.138995-0.0338625j 0.00540394+0.0221899j -0.0364113+0.0103766j 0.125561+0.192854j 0.195192+0.154286j -0.147101+0.146919j -0.25576+0.137327j -0.140557+0.183159j -0.0601074-0.159641j -0.179664+0.0762631j -0.0178673-0.0600002j -0.0983618+0.022975j 0.150114-0.160264j 0.0292111+0.0395691j -0.0675971+0.166847j 0.035367-0.0966296j -0.135688-0.130284j -0.136565-0.28621j -0.126265+0.12556j 0.0505153+0.0104277j -0.0262985-0.0106341j -0.0332072-0.0660106j 0.0359183-0.0391248j 
0.0215017+0.0418151j -0.00181333-0.0186429j -0.0207069-0.090639j -0.032343+0.0462515j 0.0639659+0.0131282j -0.0389673-0.0149483j -0.0358354-0.0286477j -0.0013188+0.0900788j 0.0110996+0.0577699j 0.00353898-7.48885e-06j 0.025467+0.0143801j -0.0243908+0.0162087j -0.0591187+0.0245283j -0.0735295+0.0355081j 0.00476557-0.00336462j 0.0209129-0.0390454j -0.0179527-0.0400654j -0.00441575-0.0222912j 0.0807835+0.0567262j 0.0530755-0.0144831j 0.0862516+0.167878j 0.144121+0.0822219j -0.00298677-0.0602332j -0.122263+0.149927j -0.192602+0.117721j 0.0703808-0.0846301j -0.0273383+0.118153j 0.0377791-0.0179767j 0.137909+0.0446243j 0.119435-0.113717j -0.0244852-0.0237744j -0.0200076+0.128405j 0.0037359+0.0663679j -0.00388189-0.018337j -0.096436-0.111248j -0.175578+0.119034j -0.0799939-0.0571017j -0.0725299-0.0154449j 0.0866597+0.0794068j 0.0214606+0.0962414j 
0.0186724+0.0252826j -0.0123103+0.00878054j -0.0189023-0.0472873j -0.0516585+0.00949133j 0.0189265-0.0127152j -0.00902977-0.00718691j -0.0200571-0.0113974j 0.00559311+0.0634536j 0.0182471+0.0200352j -0.00354722-0.027638j 0.0258029+0.001948j -0.00277751+0.0346393j -0.022797+0.0123679j -0.0311114+0.055951j -0.00942849+0.0101161j 0.0334852-0.0298464j 0.00538521-0.0112806j -0.00848393-0.0244857j 0.0549469+0.00986539j 0.0441108-0.0292001j 0.00818323+0.0610947j 0.0416104+0.0145468j -0.00522653-0.0191614j -0.0194028+0.0356597j -0.060038+0.0294477j 0.03103-0.0501123j 0.0336612+0.0279708j -0.00843669-0.0438663j 0.104216+0.0615801j -0.00253747-0.0147286j 0.0280362+0.00879481j -0.0138551+0.0178099j 0.0145598+0.0659573j 0.0019139+0.032297j -0.0263418+0.0475453j -0.0728657-0.00982084j -0.0681985-0.0650071j -0.0929084-0.030398j 0.0356345+0.0804574j 0.00205584+0.0783818j 
0.00040705-0.0406408j 0.00711239-0.00374118j 0.0251533+0.062057j 0.0703527+0.0018638j 0.00372621+0.00473344j -0.0104773-0.0157454j -7.53348e-06-0.0161723j -0.0384986-0.0295831j -0.0135984-0.0163885j 0.00558287-0.020757j 0.000515649+0.00283677j 0.0266825-0.0091824j 0.0332056-0.0192825j 0.0618058-0.0420758j 0.045689-0.0551473j -0.00281067+0.0248738j 0.00987185-0.0257266j -0.0118865+0.00211259j -0.0481478-0.0223873j -0.0350806-0.00450428j 0.010918+0.00461786j 0.00850768+0.0399628j -0.0233448+0.0524202j 0.0159722-0.0289172j -0.0374444+0.0277058j 0.0212893-0.0144544j -0.0251164-0.00276058j -0.00702473+0.00955153j -0.0790461-0.0331616j 0.0291356-0.0364489j -0.0518836+0.00444515j -0.00231519-0.00275819j -0.0311287-0.0481779j 0.0293308-0.10354j -0.0332765-0.0077931j 0.0201256-0.00268628j -0.0290705-0.0306375j 0.0763696+0.0741265j -0.0717275-0.0554712j 0.0188051-0.0436559j 
