-0.308899+0.0631973j 0.0214823+0.263886j -0.105755-0.0666311j -0.00613671-0.0124123j 0.15963+0.162926j -0.00291113-0.0696852j 0.0124168+0.175461j 0.211723-0.0585411j 0.252603-0.0718424j -0.0401906-0.0204997j 0.0784422-0.185031j 0.248585+0.044247j -0.0414502+0.0115887j 0.270503-0.0233313j 0.0197109+0.350908j 0.0646195+0.179104j -0.0351156-0.195122j -0.0994998-0.0880475j -0.0119081-0.0074584j -0.04184+0.000538227j -0.0140531+0.101234j 0.102316-0.0533112j 0.0418252-0.0237103j 0.0152705-0.0353966j 0.0554392-0.0518779j -0.0240515-0.0501472j -0.0089209+0.00528987j -0.0731255+0.015507j -0.0549274+0.0142594j -0.0731919-0.003762j 0.0445972-0.0284184j -0.117803+0.0942253j 0.0967322+0.0861154j 0.0431235-0.14299j 
-0.126897+0.10243j 0.0863608+0.11317j 0.209635-0.46048j -0.42721-0.285791j -0.0709736-0.0522375j -0.301852-0.249653j 0.0400484-0.13929j 0.332307-0.210296j -0.138729+0.131218j -0.0781972-0.0367661j -0.0926456+0.179204j -0.0815456+0.028254j -0.0239321+0.0939362j -0.0577945-0.053998j -0.0999977-0.0628863j 0.0360705+0.0315544j -0.0130491-0.0139304j -0.0120689+0.0609597j 0.0248715-0.00438444j 0.0356955+0.0157891j -0.0197382-0.0245392j -0.0118342+0.00893065j 0.0406147+0.018561j -0.0391672-0.00393915j -0.0270013+0.0335628j 0.014496+0.0161654j -0.0102939-0.0101118j -0.00808454+0.00888161j 0.0207656-0.000532854j -0.00719311-0.000685802j 0.000104239-0.0548804j 0.0259375-0.0165666j -0.00437743+0.0152816j 0.0163283+0.0109975j 
-0.0588524+0.0609154j 0.0470494+0.0543973j 0.0233408+0.00225766j -0.0203203-0.0305473j 0.0943626-0.0228854j 0.0330752-0.00943538j 0.0219462+0.0664155j 0.0849499-0.0206098j 0.0960832-0.0738963j -0.0527113+0.0393906j 0.184017-0.0114447j 0.121455+0.115156j 0.0381152-0.00526596j 0.200404-0.0741204j 0.0625962+0.212646j -0.018837+0.0819408j 0.0230712-0.0251494j -0.0378764-0.237495j -0.0901982-0.160161j 0.0689329+0.0367511j -0.0297967+0.0361921j -0.134758+0.0537637j 0.0217976-0.0301693j 0.00459409-0.125744j 0.0214489-0.0493378j 0.0651597-0.0200384j -0.0314162+0.0341155j 0.0213351+0.0215121j 0.0969838-0.0273316j 0.0471241+0.0093614j -0.0208742-0.0442702j 0.180503-0.161041j -0.0829104-0.0264638j -0.0418009+0.150849j 
0.0383131-0.0521761j -0.1071-0.0182768j -0.0346281-0.00470328j -0.0320137+0.0304558j 0.0345665-0.138345j -0.0343408+0.0240504j 0.0731533+0.0045185j -0.0135449+0.0405111j -0.0363138+0.0174611j 0.0459851+0.0127619j -0.0448986+0.0792306j -0.0400825+0.0417917j -0.124145-0.0354933j 0.0689056-0.126198j -0.0613849-0.0227439j 0.13636-0.00207303j 0.00373621-0.126702j 0.082386+0.00597925j -0.206923-0.0944407j 0.0801011-0.114558j 0.131014-0.0413154j -0.0926497-0.107404j 0.0166885-0.0511518j 0.185108+0.0156048j 0.128386-0.0295659j -0.169071-0.104397j -0.164295+0.102847j -0.0658743+0.0792878j 0.0235724-0.102772j -0.0675938-0.194368j -0.0406565+0.052413j 0.0454217+0.213115j -0.0783343+0.159401j 0.0878487+0.0357356j 
0.0931507+0.0577437j 0.0764326-0.085667j 0.0846019+0.0456312j -0.0129349-0.0263973j -0.0560346-0.0439193j 0.0874339-0.0496444j 0.0323715-0.0136479j 0.0438745+0.0114688j 0.0434816+0.00641448j -0.0489964+0.0824477j 0.206098+0.0260041j -0.0262657+0.053323j 0.013137-0.0410039j 0.060065+0.0633208j -0.019445+0.0302705j 0.041292-0.147256j -0.0527372-0.168457j 0.0475507-0.00410467j -0.00309635-0.103507j -0.10606-0.130437j 0.218786-0.0584904j 0.118479-0.0112448j -0.032378-0.0393334j -0.259141-0.0594456j 0.135571-0.0169404j 0.0183668+0.0747648j -0.135856+0.0948997j -0.15134+0.143343j 0.0746227+0.242103j 0.0553995-0.136003j -0.0836378-0.0887261j 0.0753865-0.212946j 0.00164496-0.0952041j -0.0225761+0.0431356j 
0.0902596+0.0490725j 0.0648946-0.0710375j -0.00690137-0.0185983j 0.0167396-0.034563j -0.00861135+0.0382761j -0.0063404+0.0674556j -0.0444793-0.0172863j 0.0476388+0.0267443j -0.0105842-0.0226703j -0.025954+0.0419215j 0.0593292+0.00936601j -0.0129458+0.0101092j -0.191238+0.200127j 0.0890999-0.0343296j -0.032155-0.0321263j 0.0671418+0.196264j -0.0352976+0.0856143j -0.196039-0.10903j 0.116765+0.0322659j 0.178323+0.0276098j -0.283433-0.0624257j -0.173064-0.0225151j -0.307169-0.00508222j 0.127009-0.201238j 0.152524+0.0439206j 0.016898-0.0583909j 0.0703643-0.296841j 0.0770141+0.283333j -0.018955-0.107018j 0.0999727-0.0621963j -0.0019659+0.323028j 0.0161695-0.00947269j -0.0557461-0.0649732j -0.0207865+0.0553169j 
-0.068834-0.055274j -0.0458518+0.0223623j -0.00572911-0.0138836j -0.0107418-0.00307618j 0.110498-0.0799077j -0.0410207+0.0465848j 0.0306873-0.0124081j -0.0389071-0.00525386j -0.022779-0.0313397j 0.0107461-0.0264276j -0.0178076+0.0598317j 0.0792533+0.0569314j 0.15572-0.0639978j 0.00769311-0.10666j 0.0875276+0.0241444j -0.103435-0.00702483j 0.132174+0.196096j 0.0674521-0.121623j -0.173865-0.083595j 0.155516+0.191513j -0.0205027+0.0424341j -0.105298+0.121982j 0.202246+0.0481178j 0.122639+0.0054988j -0.156032-0.0598309j 0.074663+0.0401572j 0.0933002+0.0343892j 0.129023-0.16904j 0.0722898-0.261734j 0.0021226+0.159775j 0.0306121-0.0787846j 0.164707+0.0399151j -0.101642-0.000932004j -0.0027273+0.164267j 
0.0646738+0.0132645j -0.0230433-0.0787103j -0.007977-0.038291j -0.03557-0.0104101j 0.131906-0.037199j -0.0288496-0.00413497j 0.0144063+0.0584432j -0.0298231+0.000110231j -0.0153531-0.0365472j 0.0334934+0.0160911j -0.0967854+0.00172654j -0.0658442-0.0186206j -0.042999-0.127847j 0.115077+0.0118472j -0.0116491-0.0481322j 0.0496762+0.0890112j 0.0786035-0.0739699j 0.019982+0.0347804j 0.0404945-0.230018j 0.124249-0.0110473j 0.0966738+0.053863j 0.0876207-0.0455294j 0.0189826-0.020354j 0.0938097+0.101833j 0.0298467+0.106865j 0.00885561-0.183007j -0.141582-0.0922416j -0.0148081-0.0374619j 0.131368-0.0200562j 0.1154-0.10007j -0.0510292-0.0359832j -0.204675+0.0798413j -0.122628+0.000463407j -0.0394799+0.0958327j 
0.0532882+0.0524127j 0.0338826-0.0509368j 0.0790707+0.0232121j -0.0338832-0.0356552j 0.0116624-0.0831458j 0.033557-0.00714337j 0.0277626-0.0131741j 0.0176308-0.0109389j 0.00218296-0.0272311j -0.0266699+0.0632816j 0.163734+0.0518006j 0.021411+0.0695321j 0.0702407-0.0382389j 0.0308811-0.0485995j 0.0201219+0.0717639j -0.0416464-0.0106202j 0.047797+0.0218664j -0.0155349-0.144455j -0.0969408-0.179915j 0.0181679+0.0193477j -0.00774647-0.0426195j -0.0707601+0.103089j 0.016985-0.0508538j -0.0718623-0.0852951j -0.00704632+0.00413344j 0.0754541+0.0936231j -0.0447327+0.0690071j 0.0248248-0.00805509j 0.12433+0.00320302j 0.0777788-0.0512851j -0.0427134-0.0789387j 0.189229-0.0690962j -0.107249-0.106108j -0.0162784+0.127844j 
0.0135085+0.00591668j -0.0130452-0.00450774j -0.00122198-0.0134571j -0.0104298+0.013949j 0.00918636+0.0111739j 0.0287253+0.0173678j 0.0426253+0.00665321j 0.0120431+0.00537934j -0.0322779+0.0387043j 0.00886403+0.0124684j -0.0143517+0.0135303j 0.0090149+0.00764072j -0.0395904-0.0149183j 0.0135033-0.00674146j 0.0159479+0.00544665j -0.00780618+0.00673626j -0.0240354+0.0106069j 0.0208603+0.0021607j -0.0100247-0.0064131j 0.00745949-0.0108734j 0.0126497+0.0247298j -0.0137786+0.0175086j 0.00563989-0.0087872j 0.0190923+0.0181832j 0.0240695-0.0441858j -0.00673754+0.0353537j -0.0128071-0.0356215j -0.0171794+0.0008839j -0.0155476-0.00528354j -0.0135927-0.0240775j -0.0127569-0.0164215j -0.00595869-0.00245991j -0.00510636+0.0127102j 0.00535979-0.00409548j 
0.0710856+0.00185143j 0.0225614-0.0314636j 0.0162052+0.0147728j 0.00668733-0.0165901j -0.00142102-0.00450205j -0.0289236+0.0120199j -0.00533029-0.0018882j -0.0386468+0.0367067j -0.0172181+0.00788528j -0.000864862+0.0242317j 0.0222036+0.0175947j -0.0152665+0.0261939j -0.0545056+0.0152844j -0.0111874-0.00971458j 0.0161425-0.0251395j -0.00845149+0.0304637j -0.0360779+0.0520132j -0.00679241-0.0477704j -0.000673798-0.0250418j 0.0465543-0.0140539j -0.0473509+1.08059e-06j -0.0766227+0.0201662j -0.0555219-0.00352047j 0.0194009-0.027911j 0.0242224-0.0199666j 0.0222108+0.0269319j -0.00274765-0.0734553j 0.0238467+0.0143763j -0.00538012-0.00951231j 0.0192437-0.0172564j -0.0272035+0.0262213j 0.0306315-0.0400699j -0.0264747-0.0273173j -0.0151927+0.0533032j 
