-5.55017e-17+0.00528069j 1.81821e-16+0.00642088j -1.39961e-17+0.00283912j -1.70078e-18+0.00547813j 7.73811e-18-0.00200862j 1.62292e-17-0.00665583j -1.15019e-17+0.00333437j -8.90047e-18+0.00271666j 1.02649e-17-0.00493816j -8.33058e-18+0.000638312j -2.13702e-17-0.00257598j 9.05132e-17-0.00704374j 7.22668e-18+0.000491212j -1.84676e-17+0.00430305j -8.94949e-17-0.0060864j 1.41145e-15+0.00359991j 2.01909e-17-0.00288983j 5.19433e-17-0.00363781j 5.84841e-17-0.0018029j 2.10275e-17+0.00455908j -1.5889e-17+0.0016031j 3.16066e-18+0.00103342j -4.34153e-16+0.00422756j 1.25217e-16-0.00278654j -5.77817e-17-0.00669876j 1.75276e-17-0.000351449j 2.47355e-17-0.00746084j -1.82036e-16+0.00209666j -7.51752e-15+0.00220762j 1.58139e-16-0.0071273j 1.93904e-17+0.00109934j 6.43463e-17-0.00476902j -1.44732e-16+0.00541187j -5.27309e-17+0.00148662j 2.74195e-17+0.000893653j 2.97656e-17-0.00253236j 2.85343e-17-0.00626695j -1.28372e-16-0.000678514j 1.97194e-17+0.00259164j 3.08466e-17+0.0037266j -9.38795e-17-0.00166094j 9.34265e-18-0.00520532j -2.37591e-17+0.0049636j -1.69527e-17+0.00224424j -1.77234e-17-0.00674662j -4.31369e-17+0.00379795j 7.26092e-18+0.000662469j 1.29597e-17-0.0025107j -8.33892e-18+0.00368887j -1.48477e-17+0.00511962j 1.48125e-17-0.0057557j 3.35628e-18-0.000691912j 8.10928e-19-0.00452154j -1.25416e-17+0.00429111j -1.08234e-15-0.00593801j -2.48481e-16+0.00570066j 
-2.80655e-18-0.00251594j -7.27067e-17-0.0020382j -1.12582e-17-0.00261345j -1.35718e-17-0.0011753j 4.34378e-18-0.00054135j 1.34112e-17+0.00171372j -9.49585e-18-0.00314218j -8.95893e-18-0.00210346j 1.22356e-17-0.00051926j -5.94495e-18-0.000279672j 1.25574e-17+0.00243446j 1.10001e-18+0.00237595j 7.46107e-18+0.00255224j -1.535e-17-0.00248997j -1.41085e-17+0.00155708j 1.93428e-16+0.000741299j -2.38198e-18+0.00196963j -1.07829e-17+0.000445862j 4.3926e-18-0.000264855j -4.29789e-17-0.00351798j -2.9168e-17-0.00172803j 6.65272e-18+0.00159041j -1.33874e-16+0.00114711j -2.1338e-16+0.00378474j 4.15989e-17+0.000688588j 2.11384e-18+0.000831836j 1.26062e-17+0.0025498j 6.93655e-17-0.000815674j 2.9617e-15-0.000870625j -4.58789e-17+0.00317368j -2.15773e-17+0.000235296j -3.31553e-17+0.00382609j -1.16437e-17+0.000571878j 8.29322e-18-0.00337499j -3.19152e-17+0.00161389j 8.37194e-18-4.95039e-05j 7.97308e-18+0.000710739j 1.60223e-16+0.00116932j -6.4369e-17-0.00203455j -9.82297e-18-0.000690727j 1.24382e-16+0.00282512j 2.13218e-17+0.00280081j -1.78595e-17-0.00117682j -5.0494e-18+0.00182977j 3.98152e-17+0.00299584j 2.5832e-19-5.30542e-05j -1.87744e-18-0.000224985j 4.38782e-18+0.00343553j -1.13041e-17-0.000415272j -1.32459e-17-0.000196515j 1.58505e-17+0.00314964j 1.4784e-18+0.00159717j 2.39691e-17+0.00274152j -4.77859e-18-0.000190358j 5.80753e-16+0.00280772j 1.05397e-16-0.00179254j 
3.73417e-17-0.00206376j -1.04184e-16-0.00361543j 1.44731e-17+0.000256305j 1.65213e-18-0.00369521j -7.7577e-18+0.00240822j -1.11107e-17+0.00418004j 8.38089e-18+0.000379928j 8.37572e-18-0.000185127j -1.16584e-17+0.00504128j 1.20923e-17-0.000275944j 1.53199e-17-0.00030105j -6.32884e-17+0.00381444j -1.21615e-17-0.00321049j 1.96847e-17-0.0012052j 1.13025e-16+0.00383328j -1.49712e-15-0.00406808j -6.11171e-18+0.000487174j -2.62145e-17+0.00281634j -5.39269e-17+0.00192209j 1.17282e-17-0.000323718j 3.97685e-17+0.000418111j -1.02464e-17-0.00266025j 5.30457e-16-0.00507697j 1.29559e-16-0.00157292j 2.41189e-17+0.00532956j -1.61736e-17-0.000582419j -1.48645e-17+0.00400439j 8.3847e-17-0.00101794j 3.60312e-15-0.00105904j -7.23949e-17+0.00302599j 3.53171e-18-0.00125197j -5.74527e-18+0.00018034j 1.31932e-16-0.00552792j 3.05286e-17+0.00230798j 9.89736e-18-0.00255892j -3.01642e-17+0.00235039j -1.87249e-17+0.00491393j -5.38844e-17-0.000651393j 4.28401e-17-0.000146392j -2.71077e-17-0.0026316j -4.16636e-17-0.00155419j -1.53077e-17+0.00168678j 2.75147e-17-0.0032269j 1.81584e-17-0.00401773j -6.88184e-18+0.00287341j 2.9811e-17-0.00338713j -6.43424e-18-0.000357098j -5.69407e-18-0.00144478j 1.05182e-17-0.00289579j 1.54622e-17-0.00443042j -1.25466e-17+0.00180804j -7.39487e-19-0.00110275j -1.21348e-17+0.00113085j 6.16034e-18-0.00368566j 3.70483e-16+0.00234382j 9.51845e-17-0.00322834j 
-8.13916e-17+0.0118051j 3.89565e-16+0.0129386j -5.0505e-18+0.00809484j 1.80772e-17+0.0102574j 5.63797e-18-0.00241304j 4.55633e-18-0.0128588j -3.31017e-18+0.00960788j -3.47587e-19+0.00719492j -2.24624e-18-0.00705766j -4.62551e-18+0.00139307j -5.23358e-17-0.00743224j 1.38374e-16-0.0143878j 7.08877e-19-0.00276474j -5.98457e-18+0.0102293j -1.23597e-16-0.0117447j 1.95584e-15+0.0046421j 3.38238e-17-0.00728213j 9.55344e-17-0.00634766j 8.5507e-17-0.00247235j 9.4799e-17+0.0120578j 1.62429e-17+0.0049206j -4.22229e-18-0.000577299j -4.97077e-16+0.00506804j 4.91453e-16-0.00963589j -1.50908e-16-0.0115051j 2.44076e-17-0.00170678j 1.8659e-17-0.0152857j -3.82061e-16+0.00443306j -1.59452e-14+0.00468401j 3.09837e-16-0.0156254j 6.07544e-17+0.00140524j 1.45091e-16-0.0128156j -2.10221e-16+0.0077308j -9.34432e-17+0.00702045j 8.74068e-17-0.000829976j 3.44892e-17-0.00391981j 3.17879e-17-0.0108558j -4.2475e-16-0.00268978j 1.21496e-16+0.00690248j 6.35008e-17+0.00682698j -3.21356e-16-0.00653267j -1.7008e-17-0.0120813j -1.0881e-17+0.00944916j -1.93426e-17+0.000997895j -8.5796e-17-0.0147792j -6.70974e-17+0.00605528j 1.42891e-17+0.0013553j 1.28905e-17-0.0087173j 3.77346e-18+0.00638566j -3.37857e-18+0.00833579j -1.04644e-18-0.0134318j 2.71716e-18-0.00330404j -3.389e-17-0.0109222j -1.17465e-17+0.00702236j -2.51221e-15-0.0132449j -5.35348e-16+0.0114636j 
8.16646e-17-0.00763796j -2.90913e-16-0.00993j 2.04687e-17-0.00331264j -3.9815e-18-0.00882691j -1.20368e-17+0.00384869j -1.75259e-17+0.0105446j 1.29635e-17-0.00384463j 1.12e-17-0.00341989j -1.40482e-17+0.00895089j 1.62701e-17-0.000938645j 3.95467e-17+0.0029658j -1.3753e-16+0.0108051j -1.46893e-17-0.00246487j 2.73744e-17-0.00594699j 1.82774e-16+0.00964879j -2.59462e-15-0.0067536j -2.35453e-17+0.00380659j -7.41385e-17+0.00607229j -1.00787e-16+0.00331532j -2.63984e-17-0.00574682j 3.9486e-17-0.00171158j -9.89186e-18-0.00280615j 8.3364e-16-0.00810524j -7.16211e-17+0.00248331j 9.25347e-17+0.0112651j -2.98029e-17+8.99997e-05j -2.8594e-17+0.011424j 2.67745e-16-0.00314799j 1.12568e-14-0.00330717j -2.24635e-16+0.0104487j -2.26745e-17-0.00206803j -7.37676e-17+0.00591946j 2.47401e-16-0.00981131j 7.80399e-17-0.000471154j -2.75873e-17-0.00257685j -5.09863e-17+0.00445365j -3.80819e-17+0.010497j 1.26769e-16+0.000448686j -3.47498e-18-0.00324495j -5.80629e-17-0.00607318j 9.40647e-17+0.0011218j -1.24692e-17+0.00732697j 3.8527e-17-0.00792739j 2.99316e-17-0.00507143j 2.73093e-17+0.00989588j 6.55789e-17-0.00659928j -1.34976e-17-0.00101527j -1.39123e-17+0.00222146j 1.18139e-17-0.00618072j 2.11509e-17-0.0088171j -1.66707e-17+0.0080685j -2.64417e-18+0.000202688j -1.03854e-18+0.00617016j 1.38765e-17-0.00737407j 1.54362e-15+0.00860218j 3.50593e-16-0.00882688j 
1.47732e-17+0.00463151j 5.2567e-17+0.00174459j 2.48535e-17+0.00729002j 9.66875e-18-0.000657398j -1.1938e-17+0.00394265j -1.20801e-17-0.000289172j 1.00695e-17+0.00883899j 1.43586e-17+0.00546315j -2.36169e-17+0.00660294j 2.47505e-17+0.000466772j 7.16016e-19-0.00685508j -2.92493e-17-0.00244694j -2.77791e-17-0.0101768j 3.4832e-17+0.0054485j 1.87054e-16-0.000226253j -2.08085e-15-0.00619459j 1.88914e-17-0.00479141j 1.99172e-17+0.00171045j -5.99358e-17+0.00269728j 9.68428e-17+0.0091224j 1.07286e-16+0.00507704j -2.8804e-17-0.00702297j 8.91482e-16-0.00832753j 7.30789e-16-0.0117985j -5.41187e-17+0.00365386j -1.8453e-17-0.00283766j -7.75643e-18-0.00271807j -1.11792e-16+0.00114121j -4.25238e-15+0.00124647j 9.02349e-17-0.00540573j 5.72382e-17-0.00192566j 1.1582e-16-0.0100987j 1.44219e-16-0.00724703j -7.00489e-18+0.0114563j 9.63871e-17-0.00698142j -4.21269e-17+0.00256077j -9.91013e-18+0.00316501j -4.79976e-16-0.00381609j 1.99674e-16+0.00531791j -2.06927e-17-0.000861402j -3.6187e-16-0.00919959j -4.13402e-17-0.00578667j 5.02753e-17-0.000169602j 2.70772e-17-0.00906852j -7.47029e-17-0.00508526j 1.24442e-17-0.00335593j -5.27864e-18+0.000235944j 3.45668e-18-0.0107274j 2.30928e-17-0.00187474j 2.74333e-17-0.00404789j -2.02733e-17-0.00659912j 2.89601e-18-0.00543241j -4.84958e-17-0.0062015j -1.09974e-18-0.00329518j -1.14328e-15-0.00512658j -2.16268e-16+0.00148404j 
1.29428e-16-0.00759679j -1.59754e-16-0.00823389j 5.33992e-17-0.00532318j 5.95897e-17-0.00647112j -2.2613e-17+0.00141736j -9.11568e-17+0.00814307j 6.20922e-17-0.00632331j 4.57559e-17-0.00470322j -5.12087e-17+0.00428205j 1.15406e-17-0.000894255j -1.35254e-17+0.00489193j -1.84417e-16+0.00917021j -1.17741e-17+0.00203109j 6.97218e-17-0.00662253j -7.94804e-18+0.00743655j -1.14338e-15-0.00276517j -6.89201e-17+0.00473978j -1.06007e-16+0.00396844j -7.13652e-17+0.00148939j 1.43445e-17-0.0078811j 1.72432e-17-0.00325368j 4.31226e-18+0.000559822j 3.30502e-16-0.00297554j -3.89601e-16+0.00642304j 1.49993e-17+0.00717745j -2.47662e-17+0.00115841j -1.1529e-16+0.0097458j 2.74639e-16-0.00283619j 1.0237e-14-0.00299786j -3.02716e-16+0.0100351j -2.89926e-17-0.000835667j -1.76565e-16+0.00838758j 1.87376e-16-0.00469007j 9.99178e-17-0.0047589j -5.88992e-17+0.000718526j -4.94852e-17+0.0024089j -9.69869e-17+0.00678017j 2.66064e-16+0.00180742j -3.83828e-17-0.00451419j 8.14207e-18-0.0042952j 1.74541e-16+0.00438778j -6.75534e-17+0.00780357j 7.08672e-17-0.00597329j 2.46155e-17-0.000380041j -4.22257e-17+0.00949096j 8.62325e-17-0.00373787j 3.04313e-19-0.000863964j -6.10785e-17+0.00581222j 4.23642e-17-0.00398793j 6.17316e-17-0.00516146j -8.70032e-17+0.00868044j -2.08822e-17+0.00224082j -4.8384e-17+0.00708173j 5.82274e-17-0.00435137j 1.53307e-15+0.00852139j 4.22831e-16-0.00729356j 
-1.22375e-16+0.0110028j 5.08062e-16+0.0163607j -3.03979e-17+0.00223302j 2.60677e-17+0.0156048j 2.01138e-17-0.00856161j 6.55876e-18-0.0181249j -7.15564e-18+0.00240978j -1.09553e-17+0.00329706j 1.78837e-17-0.0186779j -3.69724e-17+0.00140139j -8.4416e-17-0.00184137j 2.19635e-16-0.0175387j 3.47565e-17+0.00916182j -4.18078e-17+0.00768118j -4.33551e-16-0.0166035j 5.50656e-15+0.0146757j 1.59977e-17-0.00428977j 1.03797e-16-0.0113399j 1.97059e-16-0.00703906j 2.48932e-17+0.00556826j -1.09782e-16+0.000523779j 3.12625e-17+0.00823673j -1.85889e-15+0.0180422j -2.46798e-16+0.0013709j -1.61646e-16-0.0212684j 5.72055e-17+0.00120832j 1.86087e-17-0.0184804j -4.00041e-16+0.00490388j -1.74427e-14+0.00512899j 3.10888e-16-0.015499j 1.54415e-17+0.00450772j 4.48384e-17-0.00539792j -4.78344e-16+0.0204778j -1.18235e-16-0.00469154j 1.13379e-18+0.00781959j 9.89308e-17-0.00894509j 4.49479e-17-0.0197031j 5.84618e-18+0.00105743j -7.52691e-17+0.00306386j 1.26468e-16+0.0109332j -1.91704e-18+0.00247968j 1.49241e-17-0.00990884j -6.90584e-17+0.0138123j -6.04743e-17+0.0131437j -4.43222e-17-0.0146956j -1.04826e-16+0.0130437j 2.89895e-17+0.00164507j 4.78521e-18+0.0013095j -1.63988e-17+0.0116067j -2.96585e-17+0.0172178j 9.14409e-18-0.0108026j -3.18812e-18+0.00226056j 1.33558e-18-0.00770574j -6.54522e-18+0.0143565j -2.1534e-15-0.0124349j -4.77167e-16+0.0145752j 
1.32318e-16-0.00998718j -2.33223e-16-0.0104024j 4.6068e-17-0.00751973j 4.89709e-17-0.00791378j -2.00411e-17+0.00124349j -8.1986e-17+0.0101024j 5.56342e-17-0.00895568j 3.96041e-17-0.00651786j -4.27337e-17+0.00444131j 8.01565e-18-0.00116553j -1.48566e-18+0.00693061j -1.92061e-16+0.0116503j -6.99481e-18+0.00382284j 5.9694e-17-0.00888831j -7.33091e-18+0.00922104j -1.15687e-15-0.00261904j -7.21738e-17+0.00647643j -1.18799e-16+0.00468457j -7.42581e-17+0.00149312j -2.00717e-17-0.0109177j -2.54556e-18-0.00467638j 8.76738e-18+0.0015976j 2.80165e-16-0.00260402j -5.5659e-16+0.00946059j 5.24663e-17+0.00840044j -2.49989e-17+0.00179777j -1.07412e-16+0.0123967j 3.44074e-16-0.0036528j 1.31914e-14-0.00386621j -3.5155e-16+0.0131009j -4.68429e-17-0.000784597j -2.06363e-16+0.0116696j 1.93816e-16-0.00486258j 1.11056e-16-0.00735952j -8.49251e-17+0.0017884j -4.62546e-17+0.00264728j -9.32389e-17+0.00797241j 3.96004e-16+0.00272614j -8.76605e-17-0.00626547j -2.96264e-18-0.00519796j 2.75156e-16+0.00660979j -5.20461e-17+0.0103917j 5.96194e-17-0.00736135j 2.26181e-17+0.000699669j -1.01539e-17+0.012387j 9.04752e-17-0.0041874j -1.96693e-18-0.00109832j -5.85745e-17+0.00856747j 3.44639e-17-0.00468748j 5.29241e-17-0.00585778j -7.59211e-17+0.0115803j -1.99113e-17+0.00347027j -3.01548e-17+0.009553j 5.54243e-17-0.00495354j 2.07128e-15+0.0111939j 5.24833e-16-0.0092065j 
-1.04542e-17-0.00655165j -1.26347e-16-0.00385735j -2.98348e-17-0.00859648j -2.08248e-17-0.00102261j 1.32206e-17-0.00353805j 2.15237e-17+0.00239248j -1.64544e-17-0.0103892j -1.95636e-17-0.00662688j 3.00711e-17-0.00543176j -2.50048e-17-0.000693558j 1.32253e-17+0.0080542j 1.7801e-17+0.0047951j 2.89892e-17+0.010604j -4.1482e-17-0.00710878j -1.57031e-16+0.00214743j 1.75148e-15+0.00541968j -1.89589e-17+0.00597109j -3.03082e-17-0.000667571j 4.79793e-17-0.00228606j -1.20995e-16-0.0110728j -1.13194e-16-0.00586959j 2.93263e-17+0.00710003j -8.12636e-16+0.00747764j -8.02654e-16+0.013346j 8.81308e-17-0.00176227j 1.55479e-17+0.0031099j 1.66436e-17+0.00521248j 1.70589e-16-0.00186375j 6.84726e-15-0.00200981j -1.28692e-16+0.00794904j -6.83094e-17+0.00169095j -1.29867e-16+0.0121707j -1.16196e-16+0.00596412j 1.75941e-17-0.0125766j -1.10343e-16+0.00709993j 3.97045e-17-0.00191305j 1.35818e-17-0.00138088j 5.50126e-16+0.00424675j -2.24135e-16-0.00643416j 4.74509e-18-0.000257803j 4.18029e-16+0.0102457j 5.31845e-17+0.00774915j -5.591e-17-0.00137694j -2.53592e-17+0.00888277j 9.99245e-17+0.00749092j -6.52368e-18+0.00235681j 1.86672e-18-0.000457121j 5.35112e-19+0.0121272j -2.88879e-17+0.000825236j -3.3773e-17+0.00267391j 3.05693e-17+0.00878055j -1.13265e-18+0.00595957j 6.21286e-17+0.00797328j -2.8356e-18+0.00213798j 1.56166e-15+0.00728108j 2.94316e-16-0.00335611j 
-6.84432e-17+0.0151451j 4.63763e-16+0.0149315j 1.51361e-17+0.0124446j 3.59441e-17+0.0108159j -2.96552e-18-0.00064822j -1.53429e-17-0.0141162j 1.11352e-17+0.0148639j 1.41952e-17+0.0105523j -2.28298e-17-0.00436305j 8.85917e-18+0.00174727j -6.40009e-17-0.0115069j 1.2e-16-0.0168577j -1.50803e-17-0.00809834j 2.16901e-17+0.0138419j -5.3672e-17-0.0128743j 1.08929e-15+0.00194288j 3.86512e-17-0.0103108j 1.06534e-16-0.00604072j 5.98597e-17-0.00133608j 1.6386e-16+0.0176677j 7.62565e-17+0.00788787j -1.88709e-17-0.00414284j -8.72804e-17+0.00133796j 8.90407e-16-0.0163759j -2.04237e-16-0.0106717j 1.57009e-17-0.00327495j -2.81886e-19-0.0179691j -4.66287e-16+0.00538794j -1.94486e-14+0.00571329j 3.65066e-16-0.0196835j 9.64376e-17+0.00056289j 2.0251e-16-0.0189798j -1.46833e-16+0.00477202j -9.85069e-17+0.0133628j 1.43071e-16-0.00439658j 1.17499e-17-0.00297712j 1.71736e-17-0.0102108j -7.04338e-16-0.00483281j 2.39039e-16+0.0101618j 6.63133e-17+0.00698654j -5.36547e-16-0.0117031j -5.19493e-17-0.0160235j 2.38556e-17+0.0101819j -5.35122e-18-0.00345531j -1.46464e-16-0.0186037j -5.95794e-17+0.00489934j 1.4362e-17+0.00159069j 7.24282e-18-0.0148416j 2.29578e-17+0.00599977j 1.97654e-17+0.00703081j -2.54705e-17-0.0178975j 1.33385e-18-0.00630933j -7.25411e-17-0.0149717j -5.15144e-18+0.00598051j -3.31605e-15-0.0169573j -6.77369e-16+0.0131985j 
