-4.2293e-15-0.00800953j -2.79324e-16-0.0169359j 5.74547e-20+0.00186465j 1.02784e-18-0.00813576j -2.26018e-18+0.0086174j -1.03967e-17-0.012524j -3.18467e-18+0.00157311j 6.23862e-18+0.00953739j 6.04853e-18+0.00986214j -1.01026e-17-0.00310401j 4.27072e-17+0.00792116j -5.91635e-19-0.00533943j 2.14784e-18-0.00665589j -5.89346e-18+0.00532477j 3.13277e-18-0.00356968j -4.30395e-17+0.00836918j 1.11614e-16-0.0131998j 5.87892e-17-0.00170285j 1.09081e-17+0.0024455j 3.4424e-17+0.00848731j 5.09873e-18-0.0011898j -4.19117e-17-0.00930195j 1.18818e-17+0.00719986j -4.39698e-17-0.0106883j -4.333e-17+0.00777526j -2.24231e-17+0.00272503j -7.91689e-19-0.00538863j -4.1178e-17-0.000318852j -1.49522e-17+0.005184j -5.61104e-17-0.0026054j -8.95611e-17+0.00590649j -2.20529e-16+0.0089004j 2.26804e-17-0.00587097j -1.57093e-16-0.00398964j -1.17886e-16+0.017209j -4.50834e-16-0.00545635j 5.44165e-17+0.00878476j -2.00841e-15+0.00620924j -4.21216e-14-0.00964316j -3.71895e-14-0.00639923j 3.55855e-17-0.00564161j 1.24469e-15-0.00919139j 8.13905e-18-0.00941525j -1.80562e-17-0.00362998j 9.72654e-17-0.00141724j -5.2108e-16+0.0072304j 2.89766e-17+0.0062315j -5.89964e-17-0.00477449j -2.61029e-17-0.00892221j -1.31339e-16+0.0039838j -8.32313e-17+0.000462545j -5.96732e-17+0.00476638j -3.1261e-17-0.00477992j -3.33769e-17+0.0166227j 1.31167e-17+0.00655051j 1.94389e-17+0.00596556j -1.49447e-16+0.0109233j 9.99831e-18-0.000860762j -2.05763e-17+0.00334885j -4.84848e-18-0.00496474j -1.3108e-17+0.00432255j 4.99778e-17+0.00937465j 4.17239e-19-0.00323676j 3.49105e-18+0.00782259j -5.96756e-19-0.0056062j 1.21871e-17-0.00326914j -1.58478e-17+0.0103747j -3.12548e-18-0.00131511j 4.57391e-18+0.00164767j 4.9543e-18+0.011618j 4.28406e-17+0.0118293j -4.32628e-18-0.00745003j -3.15646e-18+0.00274806j -1.58649e-17-0.00280973j 5.96642e-17+0.00994152j -4.29181e-16-0.0131012j 6.46032e-15+0.0126362j 
-4.15862e-15-0.00852531j -2.77821e-16-0.00683842j -2.28708e-17-0.00887264j -1.00542e-17-0.00101444j 3.83653e-18+0.000495879j -5.48412e-18-0.00416181j -4.67017e-18+0.010074j 1.64309e-19+0.0059688j 3.18214e-18-0.00125757j 5.53592e-19+0.00104254j 3.53624e-17+0.00552404j 3.22412e-18-0.00171787j 2.97153e-18-0.000889106j -6.12105e-18+0.00315154j 6.72053e-19+0.000217535j -6.49735e-17+0.00711239j -5.17716e-17-0.000701027j -2.6453e-17+0.00296211j -1.5669e-17-0.00521224j 9.12832e-18-0.00218125j 1.01733e-16+0.00833265j -1.4879e-17-0.000901491j -1.40248e-20+0.00505223j -4.08191e-17-0.0127751j -8.87001e-18+0.00486839j -8.17954e-18-0.00420436j -1.29339e-16+0.00332176j 1.91959e-16-0.00371462j -5.18707e-17-0.00791807j 2.57214e-17+0.00459193j -4.11222e-17+0.00445641j -1.18502e-16+0.00544341j 5.78907e-17-0.000691295j -7.23896e-17-0.0050408j 3.91773e-17+0.00141057j 7.01017e-16+0.00900835j 4.41516e-17+0.00418992j -2.81972e-15+0.00479707j -1.92119e-14-0.00377992j -1.61509e-14-0.0033266j 1.53836e-16-0.00750988j -1.07166e-15+0.00601228j 1.99732e-17-0.00957906j 1.75336e-17-0.00566883j 7.83115e-17-0.00488993j -5.32235e-16+0.00719751j -3.13784e-17+0.00383429j -8.41952e-17+0.00290153j 1.55532e-17+0.00710376j 8.80949e-18+0.000201523j 4.67828e-18-0.00302176j 9.70661e-17-0.00328308j 7.00494e-18-0.00819992j -4.60256e-17+0.00649136j 4.1369e-17+0.00503893j 2.52033e-17+0.00424024j 5.9991e-17-0.00404761j -5.44804e-18-0.00596395j 3.4545e-18-0.0006474j 1.98463e-17+0.00361296j -3.72179e-17+0.00988973j 3.84041e-17+0.00573583j 1.0526e-17-0.000325741j 3.87251e-18+0.000644709j 4.73071e-19-0.00176237j 6.77864e-18-0.00404766j 1.25301e-18+0.00296247j 4.19365e-19-0.000821234j -1.96756e-18+0.00718968j 4.02724e-19+0.00371677j 8.6364e-18-0.000472805j 2.25348e-18-0.00936277j -1.69433e-18+0.00651687j 5.97864e-18-0.00652361j -4.32363e-18-0.00332073j -1.41994e-16-0.0107656j 2.12421e-15+0.00372101j 
-4.35821e-15-0.00926085j -2.73087e-16-0.00239322j -4.31154e-17-0.0140984j -2.58495e-18+0.00326736j -7.28032e-18-0.0036842j 1.36422e-17+0.00105424j -2.32865e-19+0.0135896j -9.26587e-18+0.0067676j -1.25854e-17-0.00610858j 4.07368e-18+0.000927531j 3.82234e-17+0.00647955j 1.33973e-17+0.000524205j 1.08052e-17-0.00173966j -1.55832e-17+0.00535956j 8.40238e-18-0.000881691j -8.05593e-17+0.00506476j -1.22658e-16+0.00553702j -7.42875e-17+0.00759777j -2.57858e-17-0.00628202j -1.07393e-17-0.00622468j 1.79725e-16+0.0147215j 1.0772e-17+0.000196782j -7.71027e-18+0.00289939j -2.68468e-17-0.0121136j 1.20222e-17-0.00081281j -2.94022e-18-0.00803057j -1.78367e-16+0.00548594j 1.73806e-16-0.0042356j -1.14535e-16-0.0159718j 7.30875e-17+0.00808049j 2.75009e-17+0.00304146j -4.32606e-17+0.00174274j 7.19773e-17+0.00301452j 2.38918e-17-0.00104593j 6.54755e-17-0.00253337j 1.28886e-15+0.0160958j 4.01715e-18-0.00019292j -8.85021e-16+0.00236355j -1.76037e-14-0.00405956j -1.56557e-14-0.00273877j 1.9456e-16-0.00650922j -2.32939e-15+0.0144288j 1.24054e-16-0.0139544j -6.97921e-17-0.00223067j 2.45088e-17-0.00572992j -4.05188e-16+0.00526765j -4.86344e-17+0.00194731j -7.05146e-17+0.00716837j 3.23967e-17+0.0142606j 1.47758e-16-0.00287661j 4.3696e-17-0.00730732j 1.33759e-16-0.00726851j 3.652e-17-0.00586172j -6.09245e-17-0.000491446j 4.63701e-17+0.00321961j 2.78131e-17+0.00658493j 1.36414e-16-0.0104469j -8.8833e-18-0.0101709j 1.7119e-17-0.00561831j 3.16139e-17+0.00597595j -4.11328e-17+0.0130696j 1.12374e-17+0.00239955j 1.28388e-17-0.00193313j -6.89191e-18+0.000270791j 2.21454e-18-0.00353634j 1.04021e-17-0.00415076j -6.01081e-18+0.00127806j -1.26249e-17-0.00283791j -1.72635e-18+0.0110292j -1.40176e-17+0.00223759j -3.11424e-17-0.00781425j 9.63268e-18-0.00952143j 1.94669e-19+0.00854752j 1.4489e-17-0.00790497j -5.9718e-17-0.0106262j 4.46056e-18-0.0103732j 9.30953e-17-0.000469214j 
-1.09122e-14-0.0210323j -7.21846e-16-0.038325j -5.48129e-18-0.00126321j -6.22002e-18-0.0175864j 4.82669e-19+0.0180063j -2.57088e-17-0.0285096j -1.64994e-17+0.00926267j 8.16265e-18+0.0217588j 1.71871e-17+0.0191889j -1.78728e-17-0.00477777j 9.80035e-17+0.0183883j -4.8595e-19-0.0121182j 7.38328e-18-0.0124502j -1.63079e-17+0.0112013j 5.35556e-18-0.00583294j -1.28833e-16+0.0218347j 2.00091e-16-0.0274597j 1.06197e-16-0.00286517j 1.22847e-17+0.000807206j 7.61961e-17+0.0155816j 5.03551e-17+0.00153452j -9.44754e-17-0.0181714j 2.05063e-17+0.0181157j -1.09612e-16-0.0299255j -9.89029e-17+0.0206268j -4.8687e-17+0.00337321j -8.02461e-17-0.00817144j 8.69299e-17-0.00329272j -3.75113e-17+0.00683388j -1.04524e-16-0.00269358j -2.31218e-16+0.0149489j -5.35425e-16+0.0222314j 8.29664e-17-0.0129392j -3.85852e-16-0.0130948j -2.04866e-16+0.0342851j -5.35177e-16-0.00602434j 1.48128e-16+0.0213364j -6.78504e-15+0.0162354j -9.27553e-14-0.0204505j -8.08305e-14-0.0145731j 1.73231e-16-0.0167013j 1.99164e-15-0.0158167j -6.70186e-18-0.0227721j 2.28336e-17-0.012684j 2.66402e-16-0.00608247j -1.43552e-15+0.0197728j 3.18879e-17+0.0152625j -1.8031e-16-0.008344j -4.23759e-17-0.0138854j -2.96832e-16+0.00882444j -1.634e-16+0.000397481j -4.87675e-17+0.00789804j -6.10406e-17-0.0162881j -9.91694e-17+0.0386352j 5.00739e-17+0.0167695j 4.85174e-17+0.0131713j -2.62445e-16+0.0196138j 1.93236e-17-0.00438619j -4.06388e-17+0.00785584j 2.66585e-18-0.00725823j -5.81096e-17+0.0142809j 1.28359e-16+0.0231619j 1.08538e-17-0.00542578j 9.56168e-18+0.0149409j 3.15697e-18-0.0108093j 2.8963e-17-0.00912523j -3.0889e-17+0.0220302j 2.49756e-18-0.00212991j 2.19748e-18+0.00696106j 8.57924e-18+0.0248017j 9.92581e-17+0.0245327j -2.58169e-18-0.0209402j -1.2122e-17+0.00925713j -2.41425e-17-0.00967085j 1.28574e-16+0.0188144j -9.51339e-16-0.0326058j 1.4381e-14+0.0278966j 
-4.27534e-15-0.00851758j -2.82419e-16-0.0108915j -1.16073e-17-0.00526296j -7.72563e-18-0.00452319j 3.32247e-18+0.00389541j -7.7759e-18-0.00863262j -8.71164e-18+0.00791583j -2.42874e-18+0.00576433j 4.62287e-18+0.00257439j 1.61958e-18+0.00117712j 2.72213e-17+0.00515752j 1.0226e-18-0.00363498j 4.72955e-18-0.000313399j -4.93922e-18+0.00163j -1.00318e-18+0.00107843j -6.50418e-17+0.00922592j 1.66145e-17-0.00577409j 1.22641e-17-0.00054103j -1.23628e-17-0.0046678j 1.5701e-17+0.0009451j 4.8525e-17+0.00377271j -2.57464e-17-0.00188827j -1.02382e-18+0.00711519j -4.47859e-17-0.0141524j -3.37221e-17+0.00971985j -1.65856e-17-0.00141204j -9.16487e-17+0.00177488j 2.17513e-16-0.00353149j -1.22375e-17-0.00198713j -7.0206e-18+0.00209171j -1.04485e-16+0.00588962j -1.95759e-16+0.00876808j 5.67485e-17-0.0037089j -1.50979e-16-0.00854161j 4.48038e-19+0.00473559j 2.82596e-16+0.00390812j 7.00618e-17+0.00797758j -4.54488e-15+0.00706029j -2.19302e-14-0.00385343j -1.7771e-14-0.00403839j 1.36211e-16-0.00880015j -1.21426e-16-0.000349293j -5.15547e-17-0.00676087j 9.03807e-17-0.00876458j 1.27155e-16-0.00453327j -6.75764e-16+0.00921542j -2.57633e-17+0.00560556j -9.48836e-17-0.000333266j 1.40847e-17+0.00180903j -1.05899e-16+0.0026793j -2.71403e-17+0.000192133j 6.77415e-17-0.000294715j -1.24969e-17-0.0105867j -5.46646e-17+0.0125319j 3.35633e-17+0.0068325j 1.83564e-17+0.00268133j -1.07986e-17+0.000847296j -2.68623e-18-0.00300138j -1.07668e-17+0.00327407j 1.80103e-17+0.00192916j -3.99387e-17+0.00800438j 5.31502e-17+0.00879278j 1.32881e-17+0.000906731j 3.61836e-18+0.00103201j 5.58427e-18-0.000501522j 7.43849e-18-0.0042355j -4.43452e-18+0.00454707j 1.23912e-17+0.000717859j -3.18754e-18+0.00459851j -8.65115e-19+0.00519315j 2.78292e-17+0.00539367j 3.39551e-18-0.00985979j -5.46711e-18+0.00532513j 1.63939e-18-0.00584722j 2.81963e-17+0.00233032j -2.56387e-16-0.0118224j 3.89279e-15+0.00735266j 
-4.17082e-15-0.00956267j -2.98238e-16+0.00802543j -2.53067e-17-0.0256836j -4.57262e-17+0.00849924j 3.33539e-17-0.0112433j -1.64781e-17+0.00649649j -3.66597e-17+0.0244128j -1.61791e-17-0.00171224j 2.32004e-17-0.0185436j 1.82415e-17+0.00980021j 6.54661e-18+2.26464e-05j 1.31151e-19+0.00292626j 1.57206e-18+0.0118697j -7.50457e-18-0.0035917j -1.01439e-17+0.00930929j -1.09009e-16+0.00763074j -3.14762e-16+0.0175999j -1.60938e-16+0.00740545j -5.07045e-17-0.0202065j -1.10522e-17-0.0195779j 1.94054e-16+0.021231j 1.23447e-17+0.0149833j -2.23282e-17+0.00366052j -3.1349e-17-0.0190967j 3.64493e-17+0.00603436j 2.69356e-17-0.0143717j -3.55869e-16+0.01901j 7.18186e-16-0.0104473j -3.36963e-17-0.0261793j 1.28063e-16+0.0157438j -3.2895e-17+0.00357438j -1.40018e-17+0.00321411j 1.15916e-16+0.00553976j -1.63034e-17-0.0123799j 3.33044e-16-0.0262895j 2.42234e-15+0.0313095j 7.25092e-17+0.000298756j -7.03787e-15+0.00522042j 2.40952e-14+0.00822309j 2.49141e-14+0.00197021j 3.7655e-16-0.0132614j -4.48417e-15+0.0279788j -4.83473e-17-0.00573054j 1.98683e-16-0.0144467j 1.20067e-16-0.0115225j -7.67223e-16+0.010101j -1.43325e-16+0.00149811j -1.71021e-16+0.0139583j 6.17983e-17+0.032344j 1.38657e-16-0.00394219j 1.52779e-16-0.00545539j 3.9647e-16-0.0154746j 6.22331e-17-0.0187757j -6.29851e-17-0.00550171j 9.03992e-17+0.00456189j 2.28183e-17-0.00163561j 4.20694e-16-0.0277068j -1.59007e-17-0.012106j 4.62445e-17-0.00309574j 5.06077e-17+0.0188241j -1.09326e-16+0.0185758j 4.3624e-17+0.00273457j 3.45458e-17+0.00750776j 1.40886e-17-0.0136023j 9.17538e-18+0.0080416j 4.45078e-20-0.00592516j 3.9228e-17-0.0100018j 2.87193e-17+0.00247657j -3.5248e-17+0.0147848j 9.07503e-20-0.0104185j -4.37525e-18-0.0171919j 2.55563e-17-0.0140292j -1.63857e-17+0.0125225j 5.55904e-17-0.0131781j -5.62845e-17-0.0223353j 2.84187e-16-0.00748659j -4.19861e-15-0.00931938j 
1.54855e-14+0.0310199j 1.14647e-15+0.031324j 2.22288e-16+0.0250147j 3.12226e-17+0.00587566j -1.06224e-17-0.0060406j 7.54851e-17+0.0169626j -1.52351e-16-0.029111j -1.49289e-16-0.0292993j -1.4813e-19-0.00350046j 3.1101e-17+0.00386989j -2.87362e-16-0.0260415j 9.93517e-18+0.00708749j 5.793e-17+0.0153085j -6.76687e-17-0.0202433j 2.29885e-17+0.00850846j 1.07158e-16-0.0224876j 1.19662e-16+0.0095421j -1.43288e-17-0.013357j 7.10658e-17+0.00754678j -3.94109e-17-0.00136767j -5.27048e-16-0.0280153j 1.24943e-16+0.0153254j -9.18761e-17-0.0165109j 3.31948e-16+0.0399629j -4.21425e-18-0.00876844j 1.04371e-16+0.011842j 3.42875e-16-0.00162084j -1.81947e-16+0.00842383j 3.9765e-16+0.0242353j -1.2354e-16-0.0119365j -1.41699e-17-0.014939j 3.29702e-16-0.0164993j -1.61482e-16+0.0026965j 2.07842e-16+0.00645209j -5.67746e-17-0.0233281j -1.98472e-15-0.0233923j -1.4581e-16-0.0124333j 3.85968e-15-0.0136456j 1.04529e-13+0.0243447j 9.30193e-14+0.0157665j -3.21878e-16+0.0209044j 2.64979e-15-0.0146653j -5.7934e-17+0.044059j 2.51461e-16+0.00826885j -1.11475e-16+0.0132097j 1.44799e-15-0.02092j -2.58728e-17-0.0132742j 1.84602e-16-0.00697202j -9.47373e-17-0.0140752j -1.17056e-16-7.2357e-06j 1.25318e-16+0.0148062j -1.19509e-16+0.00699421j 6.39131e-17+0.0174262j 4.44996e-17-0.0240955j -1.95998e-16-0.0161429j -2.15069e-16-0.0236355j -1.24333e-17+0.00330462j 1.20225e-16+0.0221862j 3.65303e-17+0.00714096j -7.05892e-17-0.00335923j -7.80955e-17-0.0328111j -1.92867e-16-0.0187237j 3.16399e-17+0.0101052j -6.59969e-17-0.0139986j 9.17351e-17+0.0172257j 2.90966e-17+0.0132025j -6.49541e-17-0.0194831j 8.35045e-17+0.00858963j -1.3921e-16-0.0248757j -1.04956e-16-0.0235016j -1.06602e-17-0.00240772j 1.4857e-16+0.0301518j -1.10585e-16-0.0212902j 1.03527e-16+0.01986j 6.47463e-17+0.00589799j 8.81622e-16+0.0412637j -1.03884e-14-0.0188238j 
2.29207e-15+0.00311834j 1.48829e-16+0.0285563j -8.64983e-17-0.0204081j 1.01729e-20+0.0217307j -1.05642e-17-0.0216048j 3.06245e-17+0.0284213j 4.3549e-17+0.0115351j 1.13476e-17-0.00362985j -3.08979e-17-0.0248176j 6.03235e-18+0.00146644j 2.41511e-17-0.00194773j 1.78979e-17+0.012182j -5.5283e-18+0.00111468j 8.59767e-19+0.00473629j 8.42586e-18-0.00192711j 1.42494e-17-0.0138786j -3.86336e-16+0.032457j -2.13236e-16+0.0185788j -3.98098e-17-0.00520108j -7.07344e-17-0.0207556j 3.02579e-16+0.0244748j 8.4904e-17+0.0102833j -4.2711e-18-0.0133412j 2.63726e-17+0.0105786j 1.35828e-16-0.0272049j 3.54733e-17-0.0160262j -1.9283e-16+0.0114596j -6.61564e-17-0.00145322j -2.26937e-16-0.0334618j 2.15075e-16+0.0146213j 3.52239e-16-0.00962833j 4.78468e-16-0.0203992j 1.4751e-17+0.0180361j 4.62954e-16+0.0183234j 2.45531e-16-0.0263221j 2.47665e-15+0.0298391j -1.58439e-16-0.0228231j 8.98468e-15-0.0137542j 3.50005e-14+0.00548785j 2.73004e-14+0.00667695j 8.87299e-17+0.00814748j -5.53924e-15+0.0376065j 3.29093e-16-0.00981607j -3.37957e-16+0.0160168j -2.88497e-16-0.00186022j 9.05823e-16-0.0127012j -5.39841e-17-0.0115889j 8.81669e-17+0.0191523j 6.09786e-17+0.0325114j 6.2744e-16-0.014372j 1.92177e-16-0.0164334j 1.80341e-16-0.0180351j 1.08777e-16+0.0127756j 3.54116e-17-0.0380389j 3.75412e-17-0.0116444j 3.21493e-17+0.004748j 4.16162e-16-0.0311774j -3.80284e-17-0.0150131j 6.87061e-17-0.0211329j 3.17606e-17+0.0119212j 3.28236e-17+0.00849394j -9.889e-17-0.0193362j -1.15511e-17-0.00403823j -7.5741e-18-0.00653294j -2.48541e-17-0.0030186j -1.35273e-17+0.00207883j 2.93359e-17-0.0134054j -5.95446e-17-0.00679932j 2.09223e-17+0.0129884j -4.46859e-18-0.0134894j -1.43037e-16-0.035692j -1.22404e-17+0.00504209j 3.25197e-17+0.00541394j 2.04036e-17-0.00288756j -2.23636e-16-0.0340798j 7.80874e-16+0.0109218j -1.20812e-14-0.0245261j 
1.53932e-14+0.0314399j 1.01528e-15+0.0264007j 1.29385e-16+0.0316039j 1.63542e-17+0.00461397j 7.91328e-18-0.00276756j 3.3886e-18+0.0164184j -2.47203e-17-0.0363438j -1.22359e-17-0.0223013j 1.86558e-17+0.00343459j -7.67087e-18-0.00353763j -1.42668e-16-0.0205531j -1.90928e-17+0.00679668j -1.26859e-17+0.00368266j 1.09156e-17-0.0116722j -3.5135e-18-0.000583769j 2.31231e-16-0.0265493j 1.39666e-16+0.00401573j 6.09705e-17-0.0102624j 7.84283e-17+0.0186002j -6.69701e-18+0.00694331j -4.12459e-16-0.0296205j 4.71432e-17+0.00407292j -2.08333e-18-0.019007j 1.78531e-16+0.0471329j 4.91707e-17-0.0186351j 6.11253e-17+0.0147358j 4.40534e-16-0.0114481j -6.79585e-16+0.0134351j 2.42711e-16+0.0276882j -1.14745e-16-0.0161719j 1.58042e-16-0.0166965j 4.56809e-16-0.0206658j -2.27287e-16+0.00322537j 2.79619e-16+0.0188425j -1.01724e-16-0.00673845j -2.51965e-15-0.0316814j -1.55603e-16-0.0161672j 1.05013e-14-0.0180251j 7.29766e-14+0.0144226j 6.14289e-14+0.0125872j -5.42572e-16+0.0276998j 3.63484e-15-0.0204483j -3.16059e-17+0.0351089j -6.54771e-17+0.0210484j -2.78067e-16+0.0177537j 1.96833e-15-0.0267595j 1.11341e-16-0.0145032j 2.8132e-16-0.00982729j -1.10143e-16-0.0245092j 2.42533e-18-0.00125969j 1.67173e-17+0.0106006j -3.14723e-16+0.0112289j -7.69828e-18+0.030224j 1.89981e-16-0.0252982j -1.52918e-16-0.0188843j -1.0682e-16-0.0156541j -1.52902e-16+0.0133419j 5.07146e-17+0.0213609j 1.24576e-17+0.00173017j -9.59936e-17-0.0125216j 9.82813e-17-0.0359167j -1.41253e-16-0.0217361j -3.55329e-17+0.00132089j -6.54224e-18-0.00297596j 3.24919e-18+0.00669621j -1.57376e-17+0.0149024j 4.5656e-18-0.0116592j 5.49394e-18+0.00293446j -2.70589e-17-0.0258858j 3.88122e-18-0.0144732j 2.30081e-18+0.00026373j 1.45616e-17+0.0344679j -1.79074e-17-0.0236641j 2.44921e-18+0.0237391j 5.36185e-17+0.0107242j 5.7592e-16+0.0400296j -8.32416e-15-0.0147594j 
1.23364e-14+0.0223196j 7.58146e-17+0.0741742j 1.6786e-16-0.0315585j -4.24988e-16+0.0407155j 4.47777e-16-0.0448023j -5.27062e-16+0.0563981j -6.26912e-17+0.0163509j 3.54641e-16-0.0375789j 4.88063e-16-0.0560601j -1.10876e-16+0.0200439j 1.66311e-16-0.0298389j -2.33027e-16+0.0241857j -3.21378e-16+0.0349922j 2.36402e-16-0.0222018j -1.9638e-16+0.0208704j 3.88407e-16-0.0268695j -1.37136e-15+0.0688506j -5.0534e-16+0.0153167j 9.61014e-17-0.0268848j 2.924e-16-0.0511997j 2.6783e-17+0.0258935j -2.62849e-16+0.0488372j 2.22633e-16-0.0257633j -2.17255e-16+0.0254008j 5.27967e-16-0.0279548j 2.96741e-16-0.0246147j -6.29164e-16+0.0377867j 7.7938e-16-0.00780776j 3.45063e-16-0.0462874j 1.64413e-16+0.0251151j 5.8961e-16-0.0204612j 1.24577e-15-0.0335254j -2.61508e-16+0.0292287j 5.11658e-16+0.00718032j 1.5769e-15-0.0902216j 3.70567e-15+0.0510848j 2.08455e-16-0.0359015j 3.14308e-15-0.0208143j 1.82235e-13+0.0437215j 1.63531e-13+0.0265286j 1.73481e-17+0.0111094j -9.7541e-15+0.0633706j -3.6185e-16+0.0288869j 8.0906e-17+0.00376051j -3.11849e-16-0.00467119j 1.69412e-15-0.0203679j 1.8089e-17-0.0237087j -1.79052e-16+0.032378j -3.65e-16+0.0652865j 8.90008e-16-0.0203012j 5.26971e-16-0.00873114j 8.5569e-16-0.0334583j 5.68766e-17+0.00393676j 8.03179e-16-0.0722777j 2.87548e-16-0.0223317j 1.89403e-16-0.0229476j 1.5553e-15-0.0686618j -2.38968e-17-0.00917398j 2.95759e-16-0.0182136j -2.22152e-16+0.0361158j 4.81083e-17+0.000731319j 2.18989e-16-0.0355427j -1.2862e-16+0.0178022j 3.71195e-16-0.0416016j -2.45558e-16+0.0272467j -1.55554e-16+0.00752823j 5.6458e-16-0.0491128j -2.73944e-17+0.00599178j -5.33434e-17+0.00819082j 5.00203e-16-0.0541172j 3.96188e-16-0.0638671j -2.0873e-16+0.0167582j 5.47185e-17+0.00106648j 5.43453e-17-0.00101588j 2.21983e-16-0.060907j 1.45368e-15+0.0442215j -2.88573e-14-0.0586174j 
9.63136e-15+0.019933j 6.04103e-16+0.0144485j 3.08537e-17+0.0243592j 2.56954e-17+0.00593831j -9.96754e-18-0.00154682j -4.88366e-18+0.0156747j 5.16693e-17-0.0303503j 5.2692e-17-0.00260411j 2.74428e-18+0.00728317j -4.04065e-17-0.0137856j 1.08154e-17-0.00362508j -1.09412e-17+0.00648331j -3.29891e-17-0.0164928j 2.02906e-17+0.00824125j 7.85941e-18-0.0156157j 2.15431e-16-0.0256j 8.72162e-17+0.00124825j 3.78382e-17+0.00351589j 8.21861e-17+0.0276738j 1.31469e-17+0.0125739j -1.27364e-16-0.0140896j 1.54469e-17-0.013428j 5.00681e-17-0.0184843j 8.09063e-17+0.0419658j 9.68396e-17-0.0336342j 3.2273e-17+0.00948556j 3.71539e-16-0.0199504j -1.18295e-15+0.0157085j -4.45958e-17+0.0137783j -5.93069e-17-0.012856j 3.74536e-16-0.0150206j 4.96586e-16-0.0238943j -2.16643e-16+0.00713954j 4.28707e-16+0.035708j -2.19405e-16+0.0166541j -1.86532e-15-0.0248816j -2.19937e-16-0.0211326j 1.90959e-14-0.0210737j 1.90728e-16-0.00633958j -8.58408e-15+0.00384876j -5.42961e-16+0.0293356j 2.33133e-15-0.0123074j 3.47888e-16+0.00369231j -5.92742e-16+0.0370787j -4.35371e-16+0.0173888j 2.10889e-15-0.0283323j 1.99607e-16-0.0133465j 3.14031e-16-0.00577646j -1.35816e-16-0.0235064j 3.44193e-16-0.00627148j -4.21963e-17-0.00460478j -4.29074e-16+0.00911827j -1.56664e-18+0.0417177j 2.12657e-16-0.0260782j -1.01822e-16-0.0183993j -1.13736e-17+0.00494203j -2.15312e-16+0.0166163j 2.47302e-17+0.0075727j 1.98829e-17-0.0129261j -9.95991e-17-0.0193871j 1.77187e-16-0.024118j -1.30833e-16-0.0223863j -7.41495e-17-0.0145069j 6.02585e-18+0.01461j -4.88558e-17-0.0139393j -1.32098e-17+0.0120378j 7.19311e-18+0.00262506j -9.02756e-17-0.0091337j 3.99886e-17-0.0137143j 3.9833e-17+0.00291088j -3.89757e-17-0.00416557j -4.75472e-17+0.0285251j 3.43744e-17-0.0164683j -5.21119e-17+0.0195767j -2.25745e-17+0.00588687j 2.61776e-16+0.0241875j -4.58354e-15-0.00802106j 
