-0.00405637-6.09087e-18j 0.00854676-2.37215e-18j 0.00373353+5.04702e-19j 0.0113342+2.02527e-18j 0.000448338+5.90763e-18j -0.00779828-1.85686e-18j -0.00793434+1.83171e-18j 0.0053737+1.26359e-18j 0.00455262+2.59108e-18j 0.00231142+2.70655e-17j -0.0023624-7.05346e-18j 0.0070271+2.5559e-18j 0.00210915+1.68626e-17j -0.00545352+6.52928e-19j -0.0028545-4.27732e-18j 0.00144544-2.12063e-18j -0.00129208-1.66039e-17j 0.00835442-6.27027e-18j -1.56731e-05-8.29623e-18j 0.00397675+8.26832e-18j -0.010266-2.96692e-17j -0.00551117-6.74522e-17j -0.000500583-1.09138e-16j 0.0038894+4.98004e-17j -0.00510009-5.70449e-17j 0.000802376+2.6306e-17j -0.000829365-6.85325e-18j 0.000396265+3.03044e-17j -0.000987372+3.28438e-17j -0.00136157-9.64789e-17j 0.00641265-2.2785e-15j 0.00392712-1.81153e-17j 0.00519188+1.22336e-17j 0.00242805+5.66193e-17j -3.3662e-05+2.3565e-17j -0.00399077-4.03008e-17j -0.00418112-2.01265e-17j 0.00872295+1.47889e-16j 0.00399561-1.02364e-16j 0.00209407-4.29317e-16j -0.000523509-3.61888e-16j 0.00325336+4.97278e-15j 0.00125984-6.99373e-17j -0.00163605+3.28466e-17j 0.00556897+3.11231e-18j -0.00250479+7.05662e-18j -0.00545624+8.49397e-17j -0.00217117-2.7782e-17j 0.0131959-7.46168e-17j 0.00886718+1.33279e-17j 0.00106288-4.43909e-17j 0.00278786-1.38419e-17j -0.00439023+3.91798e-16j 0.00581892-6.09077e-18j -0.000960353-4.26642e-18j 0.00175027-1.03594e-17j -0.00354596+8.82606e-17j -0.0104023+5.04685e-19j -0.0052782-2.89273e-17j 0.00448822-1.92328e-17j 0.00402693-1.75331e-17j -0.00671145-6.06035e-18j -0.00544625-4.66293e-18j -0.00630848-6.50272e-18j 0.00456662-9.69636e-19j -0.00841397-2.08065e-18j 0.00881142+3.35258e-18j -1.3859e-05-3.46327e-18j 0.0114533+2.31746e-18j -0.00411241-1.43237e-18j 0.00858817+1.59869e-18j 0.00421881+2.72189e-18j 
1.17546e-17+2.93131e-18j -2.42988e-17-6.22225e-18j -1.13387e-17-2.64697e-18j -3.475e-17-8.00342e-18j -1.11316e-18-3.42262e-19j 2.40856e-17+5.48926e-18j 2.52513e-17+5.51181e-18j -2.35881e-17-3.09588e-18j -1.95384e-17-2.6666e-18j -4.06191e-18-1.92927e-18j 4.65228e-18+1.92264e-18j -2.00756e-17-5.10635e-18j -7.23909e-18-1.41345e-18j 1.28098e-17+4.23499e-18j 1.52558e-17+1.37679e-18j 9.27245e-18-2.36676e-18j -5.79103e-18+1.87032e-18j -1.50374e-17-6.93822e-18j -1.21211e-17+1.20639e-18j 5.68213e-18-4.56385e-18j 3.39927e-17+7.00178e-18j 2.50873e-17+3.08708e-18j -1.28333e-18+6.30286e-19j -1.95939e-17-1.99311e-18j 2.37225e-18+4.90423e-18j -8.15005e-18-7.67331e-21j 5.85337e-18+2.60453e-19j 1.25803e-18-5.22723e-19j 8.1498e-18+1.94042e-19j 1.20455e-17+1.88306e-19j -1.70792e-17-4.78174e-18j -7.80471e-18-3.18911e-18j -2.13151e-17-3.136e-18j 4.56592e-18-2.89423e-18j -3.37883e-18+3.65796e-19j 2.48645e-17+1.57749e-18j -4.9354e-18+4.69636e-18j -2.37038e-17-6.45817e-18j -1.50047e-17-2.55087e-18j -1.36273e-18-1.97547e-18j -3.6584e-18+8.86673e-19j -8.54175e-18-2.43804e-18j -1.00151e-17-2.85275e-19j -1.49487e-17+3.11631e-18j -8.02781e-18-4.821e-18j 1.04985e-17+1.49181e-18j 1.06082e-17+4.45399e-18j 1.57142e-17+6.43446e-19j -4.35056e-17-9.01866e-18j -1.3581e-17-7.59778e-18j -6.69947e-18-4.12562e-19j -6.10807e-19-2.74817e-18j 1.09907e-17+3.34264e-18j -1.07919e-17-4.80127e-18j -4.97751e-19+1.01624e-18j -4.33266e-18-1.33744e-18j 8.88486e-18+2.69907e-18j 3.13344e-17+7.40022e-18j 1.09987e-17+4.23629e-18j -9.20937e-18-3.61632e-18j -1.12569e-17-2.95054e-18j 1.96985e-17+4.82544e-18j 1.35414e-17+4.15581e-18j 2.03849e-17+4.35211e-18j -1.79196e-17-2.83972e-18j 2.52966e-17+5.99048e-18j -2.58701e-17-6.33449e-18j 2.7938e-19-1.34825e-20j -3.40652e-17-8.19061e-18j 1.21437e-17+2.94953e-18j -2.41852e-17-6.27512e-18j -1.20831e-17-3.06267e-18j 
-0.00435455-4.71642e-18j 0.00914778-6.15178e-18j 0.00403823-1.01788e-18j 0.0122783-2.55029e-18j 0.000470465+6.03993e-18j -0.00845814+1.25499e-18j -0.0086491+5.1646e-18j 0.00623538-4.79266e-19j 0.0052567+1.17455e-18j 0.00232787+2.746e-17j -0.00240836-6.32429e-18j 0.00752692-2.92206e-19j 0.00232981+1.69845e-17j -0.00568014+3.17124e-18j -0.00347091-3.71158e-18j 0.000768052-3.62694e-18j -0.000831964-1.64435e-17j 0.00843458-1.06891e-17j 0.000691453-8.05676e-18j 0.00326742+6.05995e-18j -0.0112677-2.72381e-17j -0.00644704-6.94437e-17j -0.000378225-1.14918e-16j 0.00465985+5.14384e-17j -0.00475273-5.73852e-17j 0.00120046+2.77837e-17j -0.00109118-7.08676e-18j 0.000285308+3.17056e-17j -0.00136783+3.4808e-17j -0.0019332-1.01804e-16j 0.00679652-2.40968e-15j 0.00400767-2.10047e-17j 0.00593854+1.10853e-17j 0.00193112+5.81135e-17j 0.000166242+2.51071e-17j -0.00505839-4.16471e-17j -0.00349581-1.85086e-17j 0.00927256+1.52437e-16j 0.00448878-1.09626e-16j 0.00197408-4.54664e-16j -0.000260702-3.81758e-16j 0.00344094+5.25153e-15j 0.00172295-7.40449e-17j -0.000610071+3.65233e-17j 0.00550622+4.62762e-19j -0.00287754+8.32835e-18j -0.00555444+9.23353e-17j -0.00287931-2.89703e-17j 0.0144725-8.41055e-17j 0.00881376+9.6268e-18j 0.00135172-4.71338e-17j 0.00255804-1.62321e-17j -0.00461216+4.15831e-16j 0.00589329-9.24728e-18j -0.000839962-3.91133e-18j 0.00183589-1.17268e-17j -0.00372566+9.4815e-17j -0.0112363+4.86934e-18j -0.00541607-2.80749e-17j 0.00459713-2.24354e-17j 0.00429894-2.02498e-17j -0.00721935-3.5743e-18j -0.00571615-2.49052e-18j -0.0068947-4.31895e-18j 0.00517514-2.68822e-18j -0.00908572+1.31229e-18j 0.00947872-1.70266e-19j -2.8804e-05-3.6663e-18j 0.0123462-2.35132e-18j -0.00442791+2.15225e-19j 0.00917864-1.98818e-18j 0.00452065+1.08065e-18j 
-5.97158e-17+6.94395e-19j 1.23866e-16-1.47398e-18j 5.71329e-17-6.27038e-19j 1.74814e-16-1.89592e-18j 5.82336e-18-8.1078e-20j -1.21014e-16+1.30034e-18j -1.26239e-16+1.30568e-18j 1.12582e-16-7.33378e-19j 9.35197e-17-6.31687e-19j 2.30196e-17-4.57022e-19j -2.56185e-17+4.5545e-19j 1.02248e-16-1.20964e-18j 3.57566e-17-3.34829e-19j -6.77838e-17+1.00322e-18j -7.11857e-17+3.26145e-19j -3.4931e-17-5.60659e-19j 2.07954e-17+4.43058e-19j 8.46887e-17-1.64358e-18j 5.05736e-17+2.85781e-19j -1.33043e-17-1.08112e-18j -1.68851e-16+1.65864e-18j -1.19203e-16+7.31295e-19j 4.04685e-18+1.49308e-19j 9.2013e-17-4.72145e-19j -2.3273e-17+1.16175e-18j 3.61356e-17-1.81772e-21j -2.66159e-17+6.16984e-20j -4.21465e-18-1.23827e-19j -3.66194e-17+4.59664e-20j -5.38676e-17+4.46075e-20j 8.81257e-17-1.13274e-18j 4.28833e-17-7.55463e-19j 1.02614e-16-7.42882e-19j -1.27024e-17-6.8561e-19j 1.40209e-17+8.6653e-20j -1.14288e-16+3.7369e-19j 9.65052e-18+1.11251e-18j 1.21843e-16-1.52987e-18j 7.31282e-17-6.04271e-19j 1.11789e-17-4.67967e-19j 1.39045e-17+2.10043e-19j 4.41951e-17-5.77544e-19j 4.51224e-17-6.75783e-20j 5.81339e-17+7.38219e-19j 4.81181e-17-1.14204e-18j -5.04042e-17+3.53392e-19j -5.85975e-17+1.0551e-18j -7.13089e-17+1.52425e-19j 2.16254e-16-2.13642e-18j 7.99511e-17-1.79983e-18j 3.07611e-17-9.77311e-20j 9.85739e-18-6.51009e-19j -5.74009e-17+7.91833e-19j 6.03152e-17-1.13737e-18j -4.38547e-19+2.40736e-19j 2.26794e-17-3.16824e-19j -4.63947e-17+6.39378e-19j -1.58108e-16+1.75303e-18j -5.97618e-17+1.00353e-18j 5.02194e-17-8.56665e-19j 5.75604e-17-6.9895e-19j -9.98461e-17+1.14309e-18j -7.08196e-17+9.84463e-19j -1.01656e-16+1.03096e-18j 8.67966e-17-6.72697e-19j -1.27685e-16+1.41908e-18j 1.31121e-16-1.50057e-18j -1.20295e-18-3.19385e-21j 1.72266e-16-1.94026e-18j -6.14876e-17+6.98711e-19j 1.23501e-16-1.4865e-18j 6.15132e-17-7.25511e-19j 
0.00790166+1.14237e-17j -0.0165625+4.7254e-18j -0.00736857-8.56379e-19j -0.0224299-3.53474e-18j -0.000839053-1.11739e-17j 0.015465+3.31018e-18j 0.0158722-3.67538e-18j -0.0119454-2.27658e-18j -0.0100381-4.80642e-18j -0.00401663-5.11791e-17j 0.00419754+1.32843e-17j -0.0136355-4.64825e-18j -0.00431632-3.18781e-17j 0.0100715-1.39531e-18j 0.00684783+8.0479e-18j -0.000334366+4.10445e-18j 0.000759282+3.13711e-17j -0.0145834+1.21338e-17j -0.00221214+1.56645e-17j -0.00457496-1.54857e-17j 0.02078+5.5919e-17j 0.0124161+1.27612e-16j 0.00047117+2.06642e-16j -0.00911063-9.42276e-17j 0.00764782+1.07836e-16j -0.00263672-4.9813e-17j 0.00225152+1.29676e-17j -0.000328346-5.73651e-17j 0.00289822-6.22004e-17j 0.00414536+1.82686e-16j -0.0122145+4.31477e-15j -0.00699085+3.4423e-17j -0.0112694-2.30479e-17j -0.00259115-1.07106e-16j -0.000575233-4.46366e-17j 0.0102255+7.62546e-17j 0.00500154+3.79354e-17j -0.0167019-2.79802e-16j -0.00841486+1.93933e-16j -0.00321181+8.13032e-16j 6.57815e-05+6.8524e-16j -0.00617413-9.41639e-15j -0.00362726+1.32444e-16j -0.000442461-6.23155e-17j -0.00935323-5.71259e-18j 0.0054765-1.34184e-17j 0.00966949-1.6101e-16j 0.00596623+5.2584e-17j -0.0266759+1.41633e-16j -0.0150399-2.49526e-17j -0.00273763+8.40745e-17j -0.00405408+2.63142e-17j 0.00823286-7.42036e-16j -0.0102161+1.17137e-17j 0.001266+8.04079e-18j -0.00327318+1.96668e-17j 0.00665106-1.67232e-16j 0.0204827-1.23337e-18j 0.00948975+5.4618e-17j -0.00804305+3.6555e-17j -0.0077683+3.33114e-17j 0.0131197+1.12948e-17j 0.010196+8.6738e-18j 0.0126765+1.21503e-17j -0.00975947+1.94267e-18j 0.0165587+3.71514e-18j -0.0172263-6.11077e-18j 7.10925e-05+6.55857e-18j -0.022472-4.08101e-18j 0.00805262+2.60167e-18j -0.0166001-2.79183e-18j -0.00819187-5.03926e-18j 
-1.03015e-17+3.78093e-20j 2.18304e-17-8.02572e-20j 9.34269e-18-3.41418e-20j 2.82747e-17-1.03231e-19j 1.18833e-18-4.41464e-21j -1.94066e-17+7.08027e-20j -1.95459e-17+7.10936e-20j 1.15036e-17-3.99319e-20j 9.86501e-18-3.43949e-20j 6.57491e-18-2.48845e-20j -6.58603e-18+2.4799e-20j 1.79229e-17-6.58639e-20j 5.05498e-18-1.82312e-20j -1.46501e-17+5.46247e-20j -5.38188e-18+1.77584e-20j 7.27007e-18-3.05275e-20j -5.83091e-18+2.41242e-20j 2.36692e-17-8.9492e-20j -3.29291e-18+1.55606e-20j 1.46999e-17-5.88665e-20j -2.49366e-17+9.03119e-20j -1.15584e-17+3.98185e-20j -2.00228e-18+8.12969e-21j 7.65203e-18-2.5708e-20j -1.62695e-17+6.32568e-20j 4.80224e-19-9.89736e-23j -1.18377e-18+3.35943e-21j 1.64976e-18-6.7423e-21j -1.09345e-18+2.50284e-21j -1.29205e-18+2.42885e-21j 1.66875e-17-6.16769e-20j 1.09293e-17-4.11344e-20j 1.15087e-17-4.04494e-20j 9.2684e-18-3.7331e-20j -1.01501e-18+4.7182e-21j -6.57871e-18+2.03472e-20j -1.51776e-17+6.05756e-20j 2.25735e-17-8.33002e-20j 9.23111e-18-3.29021e-20j 6.57625e-18-2.54805e-20j -2.71332e-18+1.14367e-20j 8.49906e-18-3.14469e-20j 1.49777e-18-3.67959e-21j -9.41953e-18+4.01955e-20j 1.63114e-17-6.21833e-20j -5.49478e-18+1.92419e-20j -1.52478e-17+5.74495e-20j -2.99446e-18+8.29944e-21j 3.21041e-17-1.16326e-19j 2.57582e-17-9.79993e-20j 1.73151e-18-5.32139e-21j 9.07678e-18-3.5447e-20j -1.16123e-17+4.31148e-20j 1.64007e-17-6.19288e-20j -3.31609e-18+1.31079e-20j 4.64263e-18-1.72508e-20j -9.37711e-18+3.48137e-20j -2.60992e-17+9.54512e-20j -1.45532e-17+5.46414e-20j 1.24134e-17-4.66448e-20j 1.0337e-17-3.80573e-20j -1.69775e-17+6.22405e-20j -1.44304e-17+5.36033e-20j -1.54583e-17+5.61353e-20j 1.03443e-17-3.66279e-20j -2.11235e-17+7.72677e-20j 2.22874e-17-8.17049e-20j 2.8767e-20-1.73903e-22j 2.88524e-17-1.05646e-19j -1.03832e-17+3.80443e-20j 2.1998e-17-8.09391e-20j 1.07521e-17-3.95036e-20j 
0.00147426+9.23942e-18j -0.00308552-1.42511e-17j -0.00137994-6.59291e-18j -0.00420373-2.01093e-17j -0.000154706-2.89955e-18j 0.00290011+1.39562e-17j 0.00298373+1.27184e-17j -0.00230805-7.94692e-18j -0.00193566-7.37151e-18j -0.000723318-1.41597e-17j 0.000761451+7.13174e-18j -0.00254121-1.3273e-17j -0.000816475-9.33445e-18j 0.00184947+1.00365e-17j 0.00134675+4.83592e-18j 7.0828e-05-4.99383e-18j 4.73015e-05+1.03513e-17j -0.00263013-1.46207e-17j -0.000533133+5.83106e-18j -0.000683302-1.39595e-17j 0.00391904+2.73673e-17j 0.00240676+3.11169e-17j 6.08536e-05+3.9768e-17j -0.00178219-2.22803e-17j 0.00130412+3.1875e-17j -0.000549591-9.23578e-18j 0.000454221+3.03258e-18j -3.74479e-05-1.18852e-17j 0.000593073-1.10375e-17j 0.000853581+3.4261e-17j -0.00226405+7.86757e-16j -0.00126894-1.38287e-18j -0.00216464-1.18879e-17j -0.00036863-2.68538e-17j -0.000141727-7.37011e-18j 0.00203944+1.79444e-17j 0.000764421+1.84356e-17j -0.00310059-6.74719e-17j -0.00160391+2.96835e-17j -0.000552678+1.45637e-16j -3.89436e-05+1.28948e-16j -0.00114318-1.74828e-15j -0.000739741+2.38133e-17j -0.000277404-3.95517e-18j -0.00166483-1.27763e-17j 0.00105385+1.14351e-18j 0.0017526-1.89653e-17j 0.0012064+1.1294e-17j -0.00502919+4.28387e-18j -0.00268619-2.30863e-17j -0.000546594+1.45538e-17j -0.000682489-1.81139e-18j 0.00151892-1.29177e-16j -0.001846-9.50382e-18j 0.000203739+3.95817e-18j -0.00060338+3.87908e-19j 0.00122716-2.43827e-17j 0.00383336+1.77608e-17j 0.00172804+2.04041e-17j -0.00146307-2.02686e-18j -0.00144529-1.00862e-18j 0.00245029+1.38199e-17j 0.00188016+1.17072e-17j 0.00238596+1.28276e-17j -0.00186726-6.54353e-18j 0.0030985+1.52495e-17j -0.00321734-1.6529e-17j 1.56315e-05+1.18079e-18j -0.00420139-2.06654e-17j 0.00150467+7.65133e-18j -0.00309023-1.57706e-17j -0.001527-8.37738e-18j 
0.0076798+8.94029e-18j -0.0160117+8.3569e-18j -0.00725685+8.50734e-19j -0.0221491+1.68042e-18j -0.000781418-1.0327e-17j 0.0153032-3.16845e-19j 0.0158403-6.92113e-18j -0.0130783-2.07786e-19j -0.0109186-2.86343e-18j -0.00342099-4.70733e-17j 0.0036779+1.13276e-17j -0.0132-1.18541e-18j -0.00440159-2.9188e-17j 0.00924036-3.97005e-18j 0.00793479+6.72965e-18j 0.00214066+5.35519e-18j -0.00100859+2.84235e-17j -0.0124938+1.57946e-17j -0.00437855+1.40219e-17j -0.00129491-1.17494e-17j 0.0209739+4.83664e-17j 0.0137374+1.18454e-16j -4.28272e-05+1.9455e-16j -0.0103793-8.76452e-17j 0.00516054+9.86596e-17j -0.00362962-4.69886e-17j 0.00282024+1.20704e-17j 0.000121638-5.37905e-17j 0.00378554-5.88013e-17j 0.00551261+1.72227e-16j -0.0115961+4.07354e-15j -0.00613966+3.44729e-17j -0.0121014-1.97783e-17j -0.000393283-9.923e-17j -0.00119584-4.23393e-17j 0.0123745+7.09499e-17j 0.00173781+3.28454e-17j -0.0159447-2.59917e-16j -0.00880615+1.84555e-16j -0.00225973+7.6825e-16j -0.00088404+6.45898e-16j -0.00583851-8.88187e-15j -0.00469115+1.25126e-16j -0.00403655-6.0741e-17j -0.0076051-2.36831e-18j 0.00591621-1.35937e-17j 0.00844496-1.54687e-16j 0.00752461+4.92044e-17j -0.0268915+1.39268e-16j -0.0123986-1.87793e-17j -0.00332373+7.95741e-17j -0.00257237+2.65468e-17j 0.00768456-7.0213e-16j -0.00881738+1.40592e-17j 0.000629539+6.94886e-18j -0.00304586+1.93917e-17j 0.00620958-1.59458e-16j 0.0201257-5.80066e-18j 0.00843631+4.8872e-17j -0.00712179+3.6752e-17j -0.00747464+3.32748e-17j 0.0127971+7.63182e-18j 0.00949929+5.57874e-18j 0.012706+8.73544e-18j -0.0103438+3.61213e-18j 0.0162613-2.48886e-19j -0.0168042-1.79559e-18j 0.000112914+6.19579e-18j -0.0220014+1.28236e-18j 0.00786805+6.06182e-19j -0.0160055+1.29829e-18j -0.0079358-2.8349e-18j 
-0.0106934-1.86011e-17j 0.0223897+5.08685e-19j 0.00999908+4.07245e-18j 0.0304541+1.35852e-17j 0.00112578+1.54084e-17j -0.0210066-1.05092e-17j -0.021598-1.1373e-18j 0.0165846+6.47815e-18j 0.0139161+9.40759e-18j 0.00529802+7.09733e-17j -0.00556597-1.9991e-17j 0.018438+1.18867e-17j 0.00590019+4.4441e-17j -0.0134734-2.79565e-18j -0.00963207-1.23449e-17j -0.000250734-2.90989e-18j -0.000529401-4.42632e-17j 0.0192566-8.66691e-18j 0.00362931-2.24025e-17j 0.00529245+2.58663e-17j -0.0283434-8.29459e-17j -0.0172791-1.75066e-16j -0.000494812-2.78664e-16j 0.0127643+1.28951e-16j -0.00970169-1.5047e-16j 0.00387259+6.70155e-17j -0.00322724-1.7731e-17j 0.000318641+7.77426e-17j -0.00419847+8.34562e-17j -0.0060331-2.45952e-16j 0.0164514-5.79883e-15j 0.00927398-4.27862e-17j 0.0155785+3.44634e-17j 0.00290051+1.47269e-16j 0.000960081+5.96403e-17j -0.014533-1.04316e-16j -0.00587781-5.62113e-17j 0.0225206+3.83507e-16j 0.0115669-2.58059e-16j 0.00410074-1.09149e-15j 0.000181353-9.22744e-16j 0.00830922+1.26694e-14j 0.00524129-1.77846e-16j 0.00162741+8.03867e-17j 0.0122341+1.30035e-17j -0.00758066+1.64042e-17j -0.012814+2.11671e-16j -0.0085664-7.14444e-17j 0.0363758-1.80571e-16j 0.0197207+4.19484e-17j 0.00389394-1.12639e-16j 0.00509628-3.23651e-17j -0.0110511+9.94479e-16j 0.0135084-1.04596e-17j -0.0015419-1.19375e-17j 0.004391-2.49796e-17j -0.00892827+2.21978e-16j -0.0277816-6.50576e-18j -0.0126181-7.81447e-17j 0.0106864-4.51828e-17j 0.0104914-4.15542e-17j -0.0177681-2.05175e-17j -0.0136813-1.6253e-17j -0.0172652-2.1146e-17j 0.0134524+5.1991e-19j -0.0224568-1.16069e-17j 0.0233301+1.5209e-17j -0.000108707-8.80753e-18j 0.0304572+1.45266e-17j -0.0109095-6.75399e-18j 0.0224284+1.0679e-17j 0.0110787+1.01578e-17j 
-1.13539e-16+6.59094e-18j 2.33873e-16-1.39905e-17j 1.10445e-16-5.95161e-18j 3.3904e-16-1.79954e-17j 1.04216e-17-7.69562e-19j -2.35289e-16+1.23424e-17j -2.47919e-16+1.23931e-17j 2.42083e-16-6.96095e-18j 1.99999e-16-5.99574e-18j 3.45508e-17-4.33789e-18j -4.10397e-17+4.32297e-18j 1.93401e-16-1.14814e-17j 7.19259e-17-3.17807e-18j -1.18413e-16+9.52221e-18j -1.59766e-16+3.09564e-18j -1.1348e-16-5.32157e-18j 7.28777e-17+4.20535e-18j 1.28951e-16-1.56003e-17j 1.38696e-16+2.71253e-18j -8.54546e-17-1.02616e-17j -3.35879e-16+1.57432e-17j -2.5852e-16+6.94118e-18j 1.72532e-17+1.41717e-18j 2.04047e-16-4.48142e-18j -8.70417e-19+1.10269e-17j 8.90716e-17-1.72531e-20j -6.26682e-17+5.85618e-19j -1.64269e-17-1.17532e-18j -8.81162e-17+4.36296e-19j -1.3074e-16+4.23397e-19j 1.62299e-16-1.07515e-17j 6.90342e-17-7.17057e-18j 2.17025e-16-7.05116e-18j -6.47162e-17-6.50755e-18j 3.88131e-17+8.22478e-19j -2.638e-16+3.54693e-18j 7.79673e-17+1.05596e-17j 2.26161e-16-1.45209e-17j 1.5102e-16-5.73551e-18j 4.80239e-18-4.44177e-18j 4.45322e-17+1.99365e-18j 8.09318e-17-5.48183e-18j 1.08044e-16-6.41428e-19j 1.79374e-16+7.0069e-18j 6.31323e-17-1.08398e-17j -1.07163e-16+3.35426e-18j -9.32212e-17+1.00146e-17j -1.68526e-16+1.44676e-18j 4.29583e-16-2.02781e-17j 1.09656e-16-1.70833e-17j 7.11417e-17-9.27628e-19j -7.36844e-18-6.17914e-18j -1.03084e-16+7.51579e-18j 9.34548e-17-1.07955e-17j 1.06367e-17+2.28498e-18j 4.05361e-17-3.00717e-18j -8.33491e-17+6.06874e-18j -3.04778e-16+1.66391e-17j -9.86043e-17+9.52511e-18j 8.22088e-17-8.13114e-18j 1.07999e-16-6.63417e-18j -1.90714e-16+1.08498e-17j -1.26816e-16+9.34416e-18j -2.00638e-16+9.78553e-18j 1.81414e-16-6.38499e-18j -2.45968e-16+1.34693e-17j 2.5048e-16-1.42428e-17j -3.12359e-18-3.03148e-20j 3.30596e-16-1.84162e-17j -1.17701e-16+6.63191e-18j 2.32361e-16-1.41093e-17j 1.16459e-16-6.88628e-18j 
-0.0172796-1.72242e-17j 0.0358671-2.34061e-17j 0.0165046-4.02414e-18j 0.0504837-1.02108e-17j 0.00169492+2.23769e-17j -0.0349383+5.16983e-18j -0.0364091+1.96771e-17j 0.0321524-2.06783e-18j 0.0267249+4.10823e-18j 0.00680072+1.017e-16j -0.00752928-2.3284e-17j 0.0296021-1.56194e-18j 0.0102869+6.28824e-17j -0.0197728+1.2162e-17j -0.0202285-1.36416e-17j -0.00939448-1.36779e-17j 0.00551218-6.08326e-17j 0.0249918-4.0307e-17j 0.0139895-2.97788e-17j -0.00293806+2.20562e-17j -0.0486345-1.00402e-16j -0.0340098-2.57356e-16j 0.00102614-4.26303e-16j 0.0261842+1.90657e-16j -0.00739178-2.12448e-16j 0.0101477+1.0308e-16j -0.00751887-2.62685e-17j -0.00109206+1.17583e-16j -0.0103161+1.2916e-16j -0.0151581-3.7769e-16j 0.02558-8.94068e-15j 0.0125983-7.82285e-17j 0.0293606+4.08344e-17j -0.00306083+2.15338e-16j 0.00387293+9.31848e-17j -0.0323659-1.54369e-16j 0.00188897-6.82299e-17j 0.0353404+5.64959e-16j 0.0209791-4.06967e-16j 0.00348409-1.68705e-15j 0.00374921-1.41629e-15j 0.0128354+1.94836e-14j 0.0127195-2.74743e-16j 0.0157785+1.35798e-16j 0.0143534+1.26579e-18j -0.0144134+3.10389e-17j -0.0172317+3.42993e-16j -0.0201349-1.07423e-16j 0.062297-3.12886e-16j 0.0237769+3.50058e-17j 0.00870934-1.74911e-16j 0.00324808-6.04804e-17j -0.0167015+1.5431e-15j 0.0177747-3.47579e-17j -0.000300738-1.44164e-17j 0.00660177-4.3633e-17j -0.0134986+3.52029e-16j -0.0456877+1.87583e-17j -0.0175205-1.03765e-16j 0.0147328-8.35767e-17j 0.0166777-7.54056e-17j -0.0288786-1.28096e-17j -0.0206114-8.85129e-18j -0.0293041-1.56166e-17j 0.0248674-1.02394e-17j -0.0368989+5.42931e-18j 0.037924-1.22445e-18j -0.000335413-1.36037e-17j 0.0498011-9.49012e-18j -0.0177803+1.07451e-18j 0.0357737-7.96361e-18j 0.0178072+3.72278e-18j 
