-0.41321-0j -0.000852354-0j 0.0292062-0j 0.00421555-0j 0.0292763-0j 0.00422567-0j 6.03902e-05-0j 0.00492313-0j 0.000341619-0j 5.03252e-06-0j 0.00695058-0j 0.0278494-0j 0.000410261-0j -0.00238941-0j -0.000298676-0j 0.0393184-0j 0.000579215-0j 8.11047e-05-0j 1.01381e-05-0j -1.75996e-05-0j 0.00519177-0j 0.000648971-0j 0.000379287-0j 0.00303429-0j 0.000486628-0j 4.96663e-05-0j -0.0143364-0j -0.00146321-0j 5.97393e-07-0j -0.0024485-0j -0.000306063-0j 0.0182058-0j 3.8241e-05-0j 2.23497e-05-0j 0.0311506-0j -0.014691-0j -0.0014994-0j 0.0031793-0j 0.00185812-0j -1.80349e-05-0j 
-0.149135-0j 0.0636075-0j -0.0518051-0j -0.00747742-0j 0.0105664-0j 0.00152513-0j -0.00450666-0j -0.00105631-0j -0.0254935-0j -0.000375555-0j -0.00125763-0j -0.00597539-0j -8.80258e-05-0j 0.00423826-0j 0.000529783-0j -0.00711426-0j -0.000104803-0j 0.00303429-0j 0.000379287-0j 3.12177e-05-0j 0.00187381-0j 0.000234226-0j 0.000656006-0j 0.00524805-0j 0.0182058-0j 0.00185812-0j 0.0254296-0j 0.00259539-0j 2.23497e-05-0j -0.000883712-0j -0.000110464-0j 0.0314883-0j 1.38019e-05-0j 3.86555e-05-0j 0.0112428-0j -0.00530227-0j -0.000541161-0j 0.00114747-0j 0.00321376-0j -6.50915e-06-0j 
0.25566-0j -0.0359955-0j -0.0185923-0j -0.00268357-0j -0.0546367-0j -0.00788613-0j 0.00769254-0j 0.00142523-0j 0.0435156-0j 0.000641045-0j 0.00215595-0j 0.0080623-0j 0.000118769-0j 0.00458801-0j 0.000573502-0j 0.0121959-0j 0.000179662-0j -0.00171711-0j -0.000214639-0j 3.37939e-05-0j 0.00101343-0j 0.000126679-0j 0.00038072-0j 0.00304576-0j -0.0103027-0j -0.00105151-0j 0.0275281-0j 0.00280957-0j -1.26477e-05-0j 0.00151493-0j 0.000189367-0j 0.0182746-0j 7.46463e-06-0j 2.24341e-05-0j 0.00608059-0j 0.00908961-0j 0.000927704-0j 0.000620598-0j 0.00186514-0j 1.11585e-05-0j 
0.241039-0j -0.0683711-0j 0.0160598-0j 0.00231803-0j 0.0173563-0j 0.00250516-0j -0.00492313-0j 0.00568103-0j -0.0278494-0j -0.000410261-0j -0.00405451-0j 0.0321367-0j 0.000473419-0j 0.0013353-0j 0.000166913-0j -0.0229358-0j -0.000337876-0j 0.00650576-0j 0.00081322-0j 9.83542e-06-0j 0.00102042-0j 0.000127553-0j 8.74744e-05-0j 0.000699796-0j 0.0390346-0j 0.00398395-0j 0.00801181-0j 0.000817702-0j 4.79195e-05-0j 0.00142829-0j 0.000178537-0j 0.00419877-0j 7.51612e-06-0j 5.15448e-06-0j 0.00612254-0j 0.00856977-0j 0.000874648-0j 0.000624879-0j 0.000428535-0j 1.05204e-05-0j 
-0.0423432-0j -0.282003-0j 0.00307932-0j -0.0424927-0j 0.00300006-0j -0.041399-0j 0.0199802-0j 0.0111658-0j -0.00238941-0j 0.00506544-0j -0.0336914-0j -0.0013353-0j 0.00283078-0j 0.0119167-0j 0.00301065-0j 0.00402911-0j -0.00854155-0j 0.0268336-0j 0.00677931-0j 0.000356664-0j -0.0251659-0j -0.00635798-0j 0.00602847-0j 0.0238616-0j -0.00340366-0j -0.000347384-0j -0.00151154-0j -0.000154271-0j 0.000803128-0j 0.0118686-0j 0.00299851-0j -0.00302668-0j -0.000753214-0j 0.000714177-0j 0.00319212-0j -0.00150545-0j -0.000153649-0j 0.000325795-0j -0.00030891-0j 0.000355225-0j 
-0.35785-0j 0.0503833-0j 0.0260239-0j 0.00375622-0j -0.0257674-0j -0.0037192-0j 0.0036279-0j -0.0019949-0j 0.0205225-0j 0.000302325-0j -0.00301769-0j -0.0112849-0j -0.000166242-0j 0.00216377-0j 0.000270471-0j -0.0170707-0j -0.000251475-0j 0.00240345-0j 0.000300432-0j 1.59376e-05-0j -0.00151493-0j -0.000189367-0j -0.000532897-0j -0.00426318-0j 0.0144207-0j 0.00147181-0j 0.0129826-0j 0.00132503-0j 1.77031e-05-0j 0.00639977-0j 0.000799971-0j -0.0255791-0j -1.11585e-05-0j -3.14013e-05-0j -0.00908961-0j 0.0383986-0j 0.00391904-0j -0.000927704-0j -0.00261065-0j 4.71388e-05-0j 
0.35418-0j 0.0513277-0j 0.0257674-0j 0.0037192-0j -0.025094-0j -0.00362201-0j -0.00363662-0j 0.00215595-0j -0.0205718-0j -0.000303052-0j 0.00298674-0j 0.0121959-0j 0.000179662-0j -0.00210807-0j -0.000263509-0j 0.0168956-0j 0.000248895-0j 0.0024485-0j 0.000306063-0j -1.55274e-05-0j -0.00445009-0j -0.000556261-0j 0.000110464-0j 0.000883712-0j 0.014691-0j 0.0014994-0j -0.0126484-0j -0.00129093-0j 1.80349e-05-0j -0.00633413-0j -0.000791766-0j 0.00530227-0j -3.2778e-05-0j 6.50915e-06-0j -0.0267005-0j -0.0380048-0j -0.00387885-0j -0.00272511-0j 0.000541161-0j -4.66553e-05-0j 
0.0513277-0j -0.00500825-0j -0.0036279-0j 0.0500629-0j -0.00363662-0j 0.0501832-0j 0.00035484-0j 0.0289273-0j -4.24348e-05-0j 8.99602e-05-0j -0.0204744-0j -0.00345938-0j 0.00733374-0j -0.0140396-0j -0.00354701-0j 0.0024485-0j -0.00519073-0j -0.00023891-0j -6.0359e-05-0j -0.000420205-0j 0.0305057-0j 0.00770704-0j 0.00450432-0j 0.0178288-0j 3.03041e-05-0j 3.0929e-06-0j 0.00178083-0j 0.000181755-0j -7.15057e-06-0j 0.043421-0j 0.01097-0j -0.00226147-0j 0.000913033-0j 0.000533616-0j -0.00386944-0j -0.00550765-0j -0.000562122-0j -0.000394923-0j -0.00023081-0j 0.00129959-0j 
0.448006-0j 0.000924131-0j -0.0316656-0j -0.00457053-0j 0.0322591-0j 0.00465621-0j 6.6543e-05-0j -0.00533771-0j 0.000376424-0j 5.54525e-06-0j 0.00377796-0j -0.0301946-0j -0.000444809-0j -0.00263285-0j -0.000329106-0j 0.0213714-0j 0.00031483-0j 4.40842e-05-0j 5.51052e-06-0j -1.93928e-05-0j 0.0018966-0j 0.000237075-0j -0.000411226-0j -0.00328981-0j 0.000264505-0j 2.69959e-05-0j -0.0157971-0j -0.00161229-0j 3.24711e-07-0j 0.00265469-0j 0.000331836-0j -0.0197388-0j 1.39698e-05-0j -2.42317e-05-0j 0.0113796-0j 0.0159282-0j 0.00162566-0j 0.00116143-0j -0.00201459-0j 1.95537e-05-0j 
0.0174657-0j 0.352369-0j 0.00606704-0j -0.0837216-0j 0.00125763-0j -0.0173546-0j 0.0253727-0j -0.00585168-0j -0.00303429-0j 0.00643258-0j 0.013897-0j 0.000699796-0j -0.00148354-0j -0.0238616-0j -0.00602847-0j -0.00166192-0j 0.00352321-0j -0.0335292-0j -0.00847091-0j -0.000714177-0j -0.00349754-0j -0.000883627-0j 0.00734504-0j 0.0290728-0j 0.00425295-0j 0.000434065-0j 0.00302668-0j 0.00030891-0j -0.00100353-0j -0.00489554-0j -0.00123682-0j -0.00368769-0j -0.000104681-0j 0.000870148-0j 0.000443639-0j 0.000620965-0j 6.3377e-05-0j 4.52787e-05-0j -0.000376373-0j -0.000146523-0j 
0.0389056-0j -0.0277095-0j 0.0518623-0j 0.00748568-0j 0.00280144-0j 0.000404353-0j -0.00199525-0j -0.0104762-0j -0.0112868-0j -0.000166271-0j 0.000328085-0j -0.0592622-0j -0.000873014-0j 0.00431212-0j 0.000539015-0j 0.00185593-0j 2.73404e-05-0j -0.00132184-0j -0.000165229-0j 3.17617e-05-0j 0.000164704-0j 2.0588e-05-0j 0.00039311-0j 0.00314488-0j -0.00793101-0j -0.000809455-0j 0.0258727-0j 0.00264062-0j -9.73623e-06-0j 0.000230538-0j 2.88173e-05-0j 0.0188693-0j 1.21316e-06-0j 2.31642e-05-0j 0.000988226-0j 0.00138323-0j 0.000141175-0j 0.00010086-0j 0.00192584-0j 1.69807e-06-0j 
