0.00707851-0j 0.00168606-0j -0.000927306-0j -8.63966e-05-0j 0.0566281-0j 0.00471901-0j 0.000417105-0j 0.0127963-0j -0.000846511-0j 0.00179457-0j 0.000183157-0j 0.000199743-0j 1.97594e-05-0j -0.00767882-0j 8.72341e-07-0j 
-0.0102218-0j -0.00120466-0j -0.0633425-0j -0.0118645-0j 0.000849926-0j 7.08272e-05-0j -0.0018195-0j 9.50246e-05-0j 0.000600989-0j 8.8534e-06-0j -0.000174781-0j 7.37783e-07-0j -5.61186e-06-0j 0.00545166-0j 1.83712e-09-0j 
0.00146606-0j -0.00808549-0j -9.50246e-05-0j -8.8534e-06-0j 0.0117285-0j 0.000977373-0j 8.63884e-05-0j -0.0613645-0j -8.67452e-05-0j -0.0175197-0j -0.0017881-0j -0.00294042-0j -0.000388784-0j -0.000786879-0j -2.5805e-05-0j 
0.0495481-0j 0.011802-0j -0.00649095-0j -0.0012158-0j -0.00411982-0j -0.000343319-0j 0.00881964-0j -0.000930958-0j 6.15856e-05-0j -0.000130559-0j 0.00257745-0j -1.45318e-05-0j 0.000138311-0j 0.000558652-0j -6.34648e-08-0j 
-0.0490399-0j -0.011681-0j 0.00642437-0j 0.00120333-0j 0.00407757-0j 0.000339797-0j -0.00872918-0j 0.00092141-0j -6.09539e-05-0j 0.00012922-0j -0.00255102-0j 1.43827e-05-0j -0.000136893-0j -0.000552922-0j 6.28139e-08-0j 
0.000130559-0j -0.00146587-0j -5.62197e-06-0j -5.23796e-07-0j 0.00104447-0j 8.70393e-05-0j 7.69326e-06-0j -0.0111251-0j -5.13213e-06-0j 0.0479791-0j 0.00489685-0j 0.0165149-0j 0.00329855-0j -4.65543e-05-0j 0.000366682-0j 
6.09539e-05-0j -0.00104692-0j 0.000377718-0j -0.00512885-0j 0.000487632-0j -0.0118852-0j 3.59175e-06-0j 5.45189e-05-0j -0.0502523-0j 5.0795e-06-0j 5.18424e-07-0j -6.16905e-05-0j 3.34641e-08-0j 0.0031278-0j 1.05402e-09-0j 
-6.15856e-05-0j 0.00105777-0j -0.000381632-0j 0.005182-0j -0.000492685-0j 0.0120084-0j -3.62897e-06-0j -5.50838e-05-0j 0.050773-0j -5.13213e-06-0j -5.23796e-07-0j 6.23298e-05-0j -3.38109e-08-0j -0.00316021-0j -1.06494e-09-0j 
-0.00012922-0j 0.00145083-0j 5.56431e-06-0j 5.18424e-07-0j -0.00103376-0j -8.61466e-05-0j -7.61436e-06-0j 0.011011-0j 5.0795e-06-0j -0.047487-0j -0.00484663-0j -0.0163456-0j -0.00326472-0j 4.60769e-05-0j -0.000362921-0j 
-0.000417844-0j 0.0145052-0j 5.47388e-05-0j -0.000743273-0j -0.00334275-0j 0.0814741-0j -2.46217e-05-0j -0.000755363-0j -0.00728256-0j -0.000105933-0j -1.08118e-05-0j 0.00171839-0j -1.16639e-06-0j 0.000453281-0j -5.14943e-08-0j 
-0.0101569-0j 0.0560162-0j 0.00065833-0j 0.00012331-0j 0.000844522-0j 7.03768e-05-0j -0.00180794-0j -0.00441862-0j -6.24619e-06-0j -0.00126153-0j 0.0249046-0j -0.000211728-0j 0.00269349-0j -5.66601e-05-0j -1.85812e-06-0j 
0.000243742-0j -0.00846136-0j -3.1931e-05-0j 0.000433576-0j 0.00194994-0j -0.0475266-0j 1.43627e-05-0j 0.000440629-0j 0.00424816-0j 6.17944e-05-0j 6.30687e-06-0j -0.0010024-0j 6.80397e-07-0j -0.000264414-0j 3.00383e-08-0j 
0.0103821-0j -6.24619e-06-0j -0.000328433-0j -3.05999e-05-0j -0.000424005-0j -3.53338e-05-0j -3.12309e-06-0j -4.74052e-05-0j 0.0587301-0j 0.000865176-0j -4.5078e-07-0j -3.6806e-07-0j -2.90977e-08-0j -0.00271968-0j -9.16491e-10-0j 
-0.00104632-0j -0.00012331-0j -0.00648381-0j 0.0578186-0j 4.32748e-05-0j 3.60624e-06-0j 0.0178886-0j 4.83827e-06-0j 3.05999e-05-0j 4.5078e-07-0j 0.000851749-0j 3.7565e-08-0j -5.74437e-07-0j 0.000277577-0j 9.3539e-11-0j 
0.00592483-0j -0.0326761-0j -0.000384026-0j -7.19309e-05-0j -0.000492638-0j -4.10531e-05-0j 0.00105463-0j 0.00257753-0j 3.64361e-06-0j 0.00073589-0j -0.0145277-0j 0.000123508-0j -0.0015712-0j 3.30517e-05-0j 1.0839e-06-0j 
-1.2506e-05-0j 0.000211728-0j 4.0319e-07-0j 3.7565e-08-0j -0.000100048-0j -8.33736e-06-0j -7.36926e-07-0j 0.0016069-0j 3.6806e-07-0j -0.0142128-0j -0.00145059-0j 0.0542171-0j 0.0223775-0j 3.33873e-06-0j 0.00503873-0j 
0.000337669-0j -0.011722-0j -4.42357e-05-0j 0.000600655-0j 0.00270135-0j -0.065841-0j 1.98973e-05-0j 0.000610426-0j 0.00588519-0j 8.5607e-05-0j 8.73723e-06-0j -0.00138867-0j 9.42589e-07-0j -0.000366306-0j 4.16136e-08-0j 
0.00820797-0j -0.0452679-0j -0.000532011-0j -9.96496e-05-0j -0.000682477-0j -5.68731e-05-0j 0.00146103-0j 0.00357079-0j 5.04768e-06-0j 0.00101947-0j -0.020126-0j 0.000171102-0j -0.00217667-0j 4.57882e-05-0j 1.50159e-06-0j 
-0.00605623-0j 3.64361e-06-0j 0.000191586-0j 1.785e-05-0j 0.000247336-0j 2.06114e-05-0j 1.8218e-06-0j 2.7653e-05-0j -0.0342592-0j -0.000504686-0j 2.62955e-07-0j 2.14702e-07-0j 1.69737e-08-0j 0.00158648-0j 5.3462e-10-0j 
-0.00839002-0j 5.04768e-06-0j 0.000265414-0j 2.47285e-05-0j 0.000342648-0j 2.8554e-05-0j 2.52384e-06-0j 3.83092e-05-0j -0.0474611-0j -0.000699168-0j 3.64285e-07-0j 2.97437e-07-0j 2.35145e-08-0j 0.00219784-0j 7.40637e-10-0j 
