-0.00858665-0.00430495j 0.0212634+0.0601378j -0.0153597+0.0400608j -0.0115081-0.0408019j -0.00988909+0.0108309j -0.00766419+0.0599436j 0.0135236-0.0441131j 0.0283994-0.00194668j -0.0143369+0.0077742j -0.0267719-0.0100464j -0.0326022+0.0752126j 0.00989977-0.0293613j -0.0251699-0.053527j -0.0336703+0.0239015j -0.0230768-0.0216689j 0.0164265-0.0134779j 0.00690541+0.0250971j 0.00349732+0.0148751j -0.0524765+0.0323919j 0.0189994-0.0115863j -0.00736108+0.0221711j 0.0269417-0.0326636j 0.0128487-0.0155493j 0.0170151+0.00588111j -0.028769+0.0413418j 0.00116055+0.0159479j -0.00436421-0.0160531j -0.0020566-0.0370957j -0.0262841+0.00643381j 0.0347142-0.0110575j 0.0191107-0.0034247j 0.0204125-0.0158436j 0.0119201-0.00165667j 0.00743193-0.0158668j 0.00918988+0.0133435j -0.00358492-0.0126733j 0.0159506-0.0115203j -0.0081208+0.0129909j 0.0161065+0.0110781j -0.00146056-0.0153798j -0.0304733+0.0172969j 0.0209795+0.0215173j 0.00798866+0.00312419j -0.000154153-0.00235988j 0.0136757+0.0287304j -0.0412473+0.0161127j 0.0201076+0.00331719j 0.0121188-0.012528j -0.0308622+0.0358366j -0.0094273-0.00159852j 0.00243577-0.00525596j 0.00077374+0.0270508j -0.0319615-0.0029145j 0.00806921+0.040933j 0.0361129-0.00923673j -0.0325496-0.0221792j 0.00021848+0.0187503j 0.00781146-0.0517493j -0.0217179+0.0243347j 0.0652635-0.0117158j -0.0226196-0.00390486j -0.00588848+0.0481693j 0.00430363-0.0121027j 0.0354349-0.0414284j -0.0369025+0.0195681j -0.0287139-0.00738425j 0.0101177+0.0183834j -0.0370209+0.0486986j 0.00929373-0.0497666j 0.0286747-0.0245691j -0.0953242+0.0856051j 0.0720541-0.11106j 0.0947692-0.0598857j 0.0197048-0.030395j 0.0637552+0.063407j -0.0867999+0.0487663j -0.0949452+0.0214628j 0.0549433-0.0172627j -0.0339557+0.0531879j -0.109263+0.187732j -0.0262075+0.00410873j -0.0371854+0.0592848j -0.183934+0.000481704j -0.187465+0.186024j -0.0447358-0.0424905j 0.0250668+0.0184369j -0.0839585+0.0848743j -0.0584731+0.021277j 0.0249957-0.0450456j -0.0516861+0.0195863j 0.00313484-0.017985j 0.0404357-0.0376552j 0.0343463-0.0618901j 0.000207926+0.00388811j -0.1033+0.177674j -0.12148-0.0316865j 0.1183-0.168798j -0.085943+0.0182819j 
0.0213041+0.059782j 0.00788839+0.00471818j 0.00892863+0.0418986j -0.0200171+0.0429824j 0.0130144+0.043751j -0.00224273+0.0169613j -0.0310135+0.0485231j 0.0082056-0.0437881j 0.00219114+0.01311j -0.0107785+0.0432478j 0.0305548+0.0399992j -0.0233696+0.0205805j -0.0017607+0.0211789j -0.00959929-0.0316694j -0.0596759+0.0544398j -0.00956655-0.0100106j 0.0110294-0.0187553j 0.00777476+0.0215215j 0.0033665+0.0436364j 0.000219166-0.00511619j 0.0175054+0.023j -0.0395964-0.000663372j 0.00690338+0.0163771j 0.0579896-0.047772j 0.00588743+0.00924432j 0.0288685-0.013528j -0.00211733+0.00821696j -0.00992869-0.00551505j -0.0409113+0.0148502j -0.0157357+0.0114643j -0.00367798+0.00190905j 0.00555688-0.0305388j -0.0234626-0.0123647j -0.00791578-0.00402642j 0.0359942-0.0302722j 0.0215622-0.0117423j 0.00436057+0.0159084j 0.0183085+0.0101239j 0.0253722-0.0221866j -0.00796879-0.0158516j 0.0156633+0.0219724j -0.0052967-0.0264211j 0.00512758-0.0115147j 0.0135879-0.0196523j -0.0123869+0.0221928j 0.00145639-0.023107j 0.00627822+0.0187705j -0.0138174+0.0209158j -0.0124842+0.0254387j -0.00486398+0.0151685j -0.0416634+0.00565253j 0.000859931-0.0278049j 0.0167548-0.0137325j -0.0111496-0.00761016j 0.0066797-0.0200236j -0.00195093-0.0272042j 0.00133848-0.0130584j 0.00446999+0.0160628j -0.0423547+0.0405637j -0.0257365+0.0279749j 0.0175184-0.0546796j -0.00460629+0.0445931j 0.0294161-0.0255571j -0.00959239+0.00756801j 0.046449-0.053455j 0.0312852-0.0715511j -0.0180394+0.0531635j -0.0732204+0.00947455j 0.0619792-0.0296581j 0.0305445+0.00890503j -0.0256524-0.059426j 0.0572421+0.0169326j 0.0235194+0.043839j 0.051342+0.00194511j -0.137078+0.127669j 0.0133624-0.0952895j 0.0381635-0.0987487j -0.0228195+0.0428612j -0.0212551-0.0245564j -0.170367+0.0473302j 0.0247138-0.0183703j -0.0562088+0.00141269j 0.19781-0.225186j -0.141854-0.0316035j 0.092549-0.0724009j -0.0269324+0.054314j -0.0222145-0.0301143j 0.05983-0.0793035j 0.0907058-0.053245j 0.00703394+0.000405029j 0.0142152-0.02128j 0.0195586-0.0236755j -0.032649+0.0237033j -0.03735+0.0723713j -0.118863-0.0286492j 0.105341-0.176926j 0.0873088-0.0174772j 0.116691-0.166818j 
0.0379874+0.0135126j 0.0477409+0.00858138j 0.0228959+0.00579481j -0.00797552-0.00520894j 0.0106911+0.0134326j 0.0336918+0.0343715j -0.0178919+0.0228086j -0.0430738+0.0126278j -0.0368321-0.0141318j -0.00583091+0.00569598j 0.0631924+0.0254824j -0.0668329+0.0054034j 0.024149-0.0291799j -0.0494879-0.00120011j 0.0492999+0.000100446j -0.0214527-0.0411222j 0.0286227+0.00588909j 0.0164618+0.00988352j -0.000165913-0.0128494j -0.0513585-0.015248j -0.0030716+0.0564399j -0.00163164+0.0040302j 0.00399165-0.045354j -0.0232593+0.0251606j -0.00616273+0.0306925j 0.0179711+0.0287955j 0.0106527-0.00983642j -0.0195665+0.0199024j 0.00130909-0.0541806j 0.00663108+0.0134449j -0.022502+0.0279958j -0.025498-0.000472399j -0.0321133-0.0349j -0.00483493-0.00505534j 0.00471574+0.00469524j -0.00358191+0.00830593j -0.0289922-0.0213273j 0.00533768-0.0122958j -0.00636988-0.00730698j -0.00121025-0.0053925j 0.00253873+0.0120638j -0.00434818+0.035387j -0.00402699-0.0110961j -0.033683-0.000343849j 0.0204464+0.0511487j 0.024157+0.0096135j -0.0243779-0.0128917j 0.007391-0.0124939j 0.0124904+0.00648561j 0.030179+0.00259066j -0.0202767-0.00793628j -0.00693273-0.00274622j -0.0106533-0.0287871j 0.0279436+0.00233459j -0.0218195+0.0411802j -0.019871-0.0153557j 0.00691624+0.0024787j 0.0189616+0.00573347j 0.000219138+0.0260642j -0.0271574+0.0148796j -0.0332614-0.0665378j -0.116088+0.0254076j 0.00969904-0.0601755j -0.0155534-0.014987j -0.0540203+0.0623291j -0.0298918-0.0147998j -0.0239414+0.0113541j 0.00937489-0.0315815j 0.0549761-0.00552645j 0.00762895-0.0484537j -0.0503127+0.0261336j 0.048422-0.0290949j 0.000912175-0.0561269j -0.00732915-0.0261631j 0.0289283-0.029693j -0.00144245+0.0154897j -0.0232409-0.0449315j 0.0234241+0.00206734j 0.00817107+0.0203475j 0.00276122+0.065265j 0.00779945-0.0164296j -0.0149629+0.000436841j -0.0888146-0.0765974j 0.012031+0.0307509j -0.0315808-0.0658257j 0.00927718+0.0330557j 0.0257377+0.0190968j -0.0143914-0.0016125j -0.0316237+0.00359352j 0.0178438-0.0476157j 0.0633152-0.0966427j 0.00688279-0.0701956j 0.0609692+0.0043693j 0.089484+0.0653988j -0.0604901+0.0403303j 0.00635013+0.061759j -0.0256062-0.0288854j -0.0999327-0.0723609j 
-0.0500463-0.007596j 0.038879+0.0158639j -0.00176552+0.000991748j -0.0321427+0.00515515j -0.00565013-0.0422441j -0.0101666+0.022082j -0.0485632-0.00267965j -0.0189252+0.00231595j 0.00477289-0.0372268j -0.0736343-0.0263615j -0.0247315-0.0136976j -0.050454-0.0252607j -0.0528791+0.000835901j -0.00116528+0.0262998j -0.00984956-0.00191456j 0.0327267-0.00253269j 0.0439308+0.0336226j 0.0293123+0.0100898j 0.00346783-0.0175566j 0.0146269-0.0258471j -0.0178483-0.0180637j -0.0182013-0.00480485j 0.00562945-0.0286046j 0.000426923-0.0113558j -0.0162067-0.029698j 0.0195034+0.0237626j -0.0295342-0.0250246j -0.0349349-0.000759585j 0.0489675+0.0345522j -0.0216161-0.00155601j -0.0366445-0.0242899j -0.0396728-0.0201438j 0.0291739-0.0172959j 0.00115794+0.00749886j -0.00024097-0.00333922j -0.0516306-0.0228576j -0.00297836-0.013254j 0.000629442+0.00274011j -0.0253537+0.020281j -0.0212789-0.0081965j 0.0219882-0.0187709j -0.00580061+0.0194977j 0.0267685-0.00797791j -0.000317652-0.0141744j 9.28711e-05+0.0223162j -0.00073218+0.00205791j 0.0344881+0.00778037j -0.0425903+0.000660584j 0.0112186-0.0341558j -0.0396519+0.00116199j -0.0195789-0.00533522j -0.00179064-0.00277695j 0.0472753-0.0401552j -0.0210676+0.0684862j -0.0361167+0.0713141j -0.03761-0.0228268j 0.00166794+0.0384203j -0.0150026+0.00982522j -0.00967253+0.0154455j 0.0103649-0.0219762j -0.0256711+0.0447297j 0.0522226-0.0324509j 0.0107798-0.0136081j -0.0312342-0.0351311j -0.0213676-0.00126087j -0.0243423+0.0239551j 0.0116368-0.000624018j 0.0542987-0.0402951j -0.0217413+0.0874673j 0.04461+0.0355474j -0.0030117-0.0218474j 0.00109848+0.0313047j 0.0328672-0.00725775j 0.018101-0.0179133j 0.0744673+0.00952885j -0.0195846+0.0579016j 0.0340303+0.0535814j 0.0133316+0.00617203j 0.000796648+0.0265204j 0.0513989+0.0348792j 0.01481+0.0219612j 0.0162031-0.0118234j 0.0246561+0.0556109j 0.0676103+0.0954607j 0.00639541+0.006174j -0.0273737-0.0266458j 0.0129731+0.0271384j 0.0199653+0.0364528j 0.00306132-0.0309666j 0.0536224-0.0552455j -0.0353348+0.0422641j 0.0127656-0.0779371j -0.0639933-0.0761396j 0.101987-0.071535j 0.021888-0.0454236j -0.0346208+0.0137187j -0.0940226-0.0710622j 0.0227327+0.0358788j 
0.00945055-0.00142988j 0.0196184-0.00201218j -0.00639652-0.00900235j -0.0402037-0.0419457j 0.0147562+0.0596614j 0.0243207-0.00509514j -0.003834-0.00276416j 0.0248817+0.0177107j 0.00523746+0.0337903j -0.00767575-0.000403573j 0.0341754-0.000607174j -0.0221147+0.0276945j -0.0112823-0.0345951j -0.0237137-0.00744114j -0.00314579-0.0294454j -0.00485906+0.0255516j 0.0165863+0.0271803j -0.0377331-0.0219303j -0.0171646+0.0218346j -0.0333783+0.0493061j -0.0104216-0.000662286j 0.0235594+0.0211293j 0.0288662+0.0413017j 0.00666497+0.0137718j 0.0169939+0.0556068j -0.0154036-0.00934109j 0.0192313+0.0181804j -0.0196319-0.0348807j 0.000241556-0.030067j -0.026632-0.0519972j 0.0076703-0.0075425j -0.00504716+0.00416285j -0.0362337+0.0351804j -0.000145643-0.071531j -0.00667694+0.0621467j -0.0139813+0.0381147j 0.0272022+0.0211887j 0.0263175-0.00112072j -0.0179916+0.00479595j -0.0132899+0.0159904j 0.0649472+0.024742j -0.0235243+0.0467559j -0.00539155+0.00532853j 0.0448986+0.0200772j -0.00956711-0.0179449j 0.0203543-0.0075936j -0.000257859-0.0273917j -0.00553607+0.00438399j 0.0342137-0.00117841j 0.00187494+0.0266643j -0.0268331+0.0318334j -4.15743e-05+0.0765648j 0.0445906-0.0810747j -0.0771616+0.0887869j -0.0599203-0.0159338j 0.0455598+0.00183812j -0.0343937-0.00456406j 0.0299285+0.00394882j 0.0171205-0.0177507j -0.0184247+0.00996709j -0.0405063+0.0485114j -0.0500871+0.122556j -0.0362219+0.016372j 0.00957738+0.011361j 0.0412803+0.0264906j -0.0212734+0.041362j -0.0277703+0.0709044j 0.0375884-0.101523j -0.0282704+0.0334318j -0.0514169+0.0372112j 0.0150823-0.0147683j 0.00137677+0.00878728j -0.0438282+0.0745503j -0.015036-0.0169252j -0.0514683+0.0929518j -0.00559377-0.0187298j -0.0364595-0.0117097j -0.0300869+0.0365852j 0.00694479+0.020438j 0.0280212+0.0367527j -0.0187176-0.0114906j 0.0321179-0.0261388j 0.0188822-0.0288877j 0.0451489-0.0504255j 0.0488109-0.103974j -0.0206898+0.0790781j -0.000444828-0.0304921j -0.0134267+0.0218981j -0.00300529-0.0588264j 0.0503932+0.0273204j -0.0174355-0.0294018j -0.0300593-0.00858095j 0.0523649-0.0623398j 0.035975-0.10294j 0.0393023-0.0405621j -0.00639196-0.109574j -0.0377782-0.0313604j 0.000400497-0.0513054j 
0.0273833+0.00385912j 0.0143672-0.00774316j 0.0535021+0.0259139j 0.0188741+0.00827281j 0.00112155+0.0160403j -0.00362539-0.0539161j 0.000825714-0.0382544j -0.00566237-0.0464354j -0.000488012+0.0106889j -0.00611155+0.00570127j 0.0719516-0.00683483j 0.0041743-0.0425067j 0.0142998+0.0145807j -0.0148062-0.0170014j 0.0129682+0.0162628j -0.00747459+0.01857j 0.0214442+0.00505563j 0.0254311+0.0694128j 0.0588943+0.00339187j -0.00626916+0.0414274j -0.0166822+0.00704028j -0.0101506-0.0619008j 0.00936732-0.0136199j -0.0448238-0.018346j 0.00387679-0.0201789j -0.0273901+0.0319914j -0.0020312+0.00357884j 0.0178835-0.0113532j -0.0259319-0.0192378j 0.025519+0.0364753j 0.0159739-0.0554482j -0.00271169+0.0222708j 0.0475703-0.00730708j 0.0198486-0.0148256j -0.0148584+0.0463379j -0.0104215+0.0154374j -0.0492759+0.0281445j -0.0109939+0.0136497j 0.00475817-0.0359124j -0.00544077-0.00256731j -0.00121112-0.0123819j -0.0489601-0.00192531j 0.0106124-0.0150343j -0.0392861-0.0323566j -0.0279771-0.0268077j -0.0403393+0.0454731j -0.0538571+0.0249998j -0.0286366+0.0173578j 0.00622851-0.00986782j -0.00299786-0.0211658j 0.0290608+0.00705589j 0.0197511-0.0541497j 0.00722331+0.0829226j 0.0262806-0.063904j 0.0413074-0.122478j 0.0336707-0.0156376j -0.0406631+2.47849e-05j -0.0420308+0.0546965j -0.0284651-0.00229277j 0.0550964-0.058792j 0.0858694-0.143003j -0.133138+0.069945j 0.07012+0.0170205j 0.0928577-0.0724893j -0.0706882-0.0327665j 0.0107036-0.0120744j -0.0455164-0.00417446j 0.0655425+0.0231429j -0.0918043+0.0449469j 0.0105315-0.0364961j -0.00269228+0.0290484j -0.0539658+0.0609301j 0.0387997-0.0397384j 0.0210786+0.00969557j 0.0663829-0.112037j -0.0127408-0.0541561j 0.00897312-0.0371728j -0.00500722+0.0118533j -0.0269009+0.0266616j -0.00307107-0.0525351j -0.0236308+0.0448178j 0.0794728-0.0410619j -0.052004+0.00801391j 0.0330876-0.104506j 0.0018847+0.0223621j -0.0306184-0.01763j 0.00501023-0.0189912j -0.0138214-0.0594355j -0.0457835+0.0211322j -0.0114007+0.0349455j 0.0534721-0.0409312j 0.0971068-0.0221551j 0.0756189-0.0488705j 0.00462383+0.0686031j 0.0363578-0.085589j -0.0236863+0.0522044j 0.0137786+0.0746553j -0.0610401-0.0184623j 
0.0447784-0.0247055j -0.0271199-0.00102794j -0.0196946-0.0175287j 0.0265961+0.0117013j 0.0014686-0.04228j 0.0303187+0.0192294j 0.0428284-0.0169721j 0.0234767+0.0244011j -0.0335355+0.0205367j 0.077519-0.00866662j 0.0464233+0.00888942j 0.0770583-0.0225357j 0.0306374-0.0353717j -0.00388074-0.00313803j -0.0527814+0.0124182j 0.00951364-0.0249184j -0.0702883-0.0414461j 0.00294957-0.0301321j 0.017653+0.00046329j 0.00666682-0.0707241j 0.0158694-0.018043j 0.0434685+0.00527275j 0.0461248+0.0262392j -0.0243812+0.0101028j 0.0320156+0.00608787j 0.0172203-0.033911j 0.0484772-0.0153609j -0.022152-0.00375077j 0.0196494+0.0232325j -0.00736168-0.0470695j 0.00784609+0.0207202j 0.00520477+0.00549925j 0.0250455-0.059216j -0.0139125-0.00550471j -0.0101104-0.00273677j 0.0652643+0.0342993j 0.0263311-0.0526589j 0.0411232+0.0351143j 0.0414968+0.104233j -0.00225202+0.0117887j 0.0424164-0.0319191j 0.0203744-0.042411j -0.0276577+0.0372487j 0.0409358+0.0304805j 0.00210053-0.0450076j 0.0161324-0.0265214j 0.0278505+0.0159329j 0.0428541+0.0605844j -0.00278565-0.0211571j 0.0268591+0.0336246j -0.00458104-0.0169761j 0.0485893+0.0115701j -0.106321-0.0396518j 0.127717+0.00396971j 0.125022+0.0313568j -0.0150035-0.0367072j 0.10343-0.0336184j -0.0498676-0.0269797j -0.0473259+0.0135841j -0.0580026-0.0312895j 0.0919629+0.1648j 0.0528653-0.122506j 0.0577838+0.0260862j -0.0549561+0.0891973j 0.0196417-0.0484124j 0.0339604-0.0203603j -0.00668014-0.00491123j -0.0714316+0.0204779j 0.0367886-0.0499017j 0.0791556+0.00106882j -0.0327159-0.0357033j -0.0133146-0.0553966j 0.0630079+0.027923j 0.0261058+0.0107407j 0.0603501+0.073624j 0.0152056+0.0379372j 0.0293894+0.0354502j 0.0158721-0.0412934j -0.000503514-0.0320008j -0.0117767-0.0211453j 0.0248899-0.00851988j 0.00591466-0.00106812j 0.00998624+0.0816143j -0.0411154+0.0146421j -0.000630601+0.0671876j 0.046478+0.0120362j -0.0160827-0.0458907j -0.0183691+0.013547j 0.0200863-0.0318367j -0.0613462+0.0772543j 0.0779153+0.0748803j -1.44874e-05-0.0131027j -0.0496989+0.0374761j -0.101961-0.0788516j 0.0174955+0.0415738j -0.0891167-0.0236174j 0.0721314-0.0131608j 0.0361979+0.0741087j 
-0.0208624+0.006064j -0.0452167+0.0298326j 0.0150132+0.00400819j -0.0189444-0.00796689j 0.0425831+0.00782792j -0.0550885+0.00973488j 0.0149009-0.0106761j -0.00698914+0.00773308j 0.0442683+0.00377234j 0.0401523-0.0163593j -0.0768511+0.0662957j 0.0179403+0.00543719j 0.0317661-0.00911421j 0.0347384-0.00331645j -0.0131885-0.0289195j -0.0124978-0.0196472j 0.0232148-0.0130707j -0.0245928-0.0230451j 0.0233117+0.0384198j 0.0775284+0.0408j 0.0360521+0.0585292j -0.051161-0.0211572j -0.0389456-0.00258602j -0.0259811+0.00640035j 0.0307662+0.0360646j -0.0342227-0.00417069j -0.0298426+0.0305263j 0.0421788-0.0238596j 0.0356899+0.0188136j -0.00810037-0.00541904j -0.0387611+0.014359j -0.00241143-0.0300641j -0.0442313+0.0137292j -0.0724663+0.0175598j 0.0206913+0.0167637j 0.01492+0.00618825j 0.0757291+0.0239761j 0.00257323-0.0066191j -0.0455325+0.028793j 0.00358663-0.0386585j 0.0209286+0.00987172j 0.0301292+0.0237409j -0.0114137-0.0255699j 0.0179479+0.00181468j 0.0155096+0.0301652j 0.0574687-0.0211135j 0.0395069-0.03023j -0.00649861-0.0096676j -0.0132656-0.0635334j -0.0100865-0.0060662j -0.00319868+0.0378333j -0.0107802+0.020697j -0.019497-0.0237387j -0.0163632+0.0964511j -0.0311426+0.014506j -0.0033648+0.0473353j -0.0288014+0.00843965j 0.0983711+0.0712631j 0.0424021+0.040308j -0.0169249+0.0216919j -0.0649454+0.0535258j 0.12186+0.143433j -0.0738958-0.0381721j -0.0389057-0.0503556j 0.0119165+0.0264817j -0.0439284+0.0553278j 0.0691038+0.0854099j 0.0302549-0.102359j -0.0121317+0.104653j -0.000758752+0.090614j 0.0189143-0.0140776j 0.0259841+0.0542241j -0.0313903+0.0375081j -0.0183358-0.0145592j -0.00139905+0.0215364j -0.0352232+0.00386374j 0.0297429+0.0257844j -0.0138459+0.0388269j -0.0183326+0.0325798j 0.0327378+0.0424379j 0.0338178+0.0226834j -0.0422718-0.0636072j 0.0755672+0.0464786j 0.0297438+0.0536828j 0.0314193-0.0376705j 0.0211905-0.0450074j -0.0165017-0.0201659j 0.0647173+0.0204042j 0.0127265-0.0753703j -0.0241875-0.019414j -0.0361413-0.0154534j -0.0266897-0.0398355j -0.0442034-0.0585381j 0.0615265-0.0662349j -0.030217-0.0536845j -0.0112965-0.0662757j -0.0296623-0.0532458j 0.0596516-0.0131394j 
0.0227505-0.0139823j -0.0021438+0.00636051j -0.00223914-0.0198829j -0.0202659-0.00706257j 0.0101234+0.00235675j -0.00808966-0.0225184j 0.0280223-0.015653j 0.0401717+0.0293503j -0.029746-0.0180087j 0.0271281-0.00655554j 0.0322804+0.00559644j 0.00625578-0.00275226j 0.00453407-0.0538091j -0.0173909+0.00394771j -0.0358542-0.0116461j -0.00848763-0.0378803j 0.0220146-0.0240999j -0.027101+0.00738968j 0.011144-0.034816j 0.0173477+0.0623144j 0.017924+0.0701212j 0.0349763+0.00806588j 0.0171336-0.0289296j -0.0309477+0.0143471j 0.0379765+0.0183421j -0.024406+0.0320393j 0.0117088+0.0264559j 0.0024208-0.00519774j 0.012321-0.00652594j -0.0021111-0.00793301j -0.0420379+0.00634908j 0.000794034+0.00669003j -0.0135114-0.00918672j -0.056736+0.0205896j 0.0210915+0.0366075j 0.0269566+0.0335068j 0.0365222+0.0304304j 0.0370211+0.00980236j 0.000949757+0.0108836j -0.00309193-0.0677966j 0.0448676+0.033881j -0.0463435+0.0363265j -0.00891453-0.0380016j -0.00427705+0.00858205j 0.000987882+0.0636963j 0.0153824+0.0378144j -0.0182818-0.0290599j 0.0165239-0.0475755j 0.0812846-0.0721237j 0.0567752-0.0589398j -0.026432-0.0491137j 0.00790142+0.0334115j -0.0494895+0.0300891j 0.0750068+0.0517917j -0.0499461+0.0986431j -0.0178188+0.0295649j -0.00315457+0.0405523j -0.0579675+0.0278316j 0.012593-0.0804185j -0.0546481+0.11258j 0.0719026-0.0717754j 0.139922-0.0435379j 0.02324-0.00398741j -0.0236234-0.0292824j 0.0779064-0.00571309j 0.0391305+0.00765967j 0.0742794-0.0720185j -0.0999928+0.0721223j 0.0148482-0.0336113j 0.0164056+0.0571046j 0.0445668-0.0284167j -0.0572285+0.0370812j 0.00511282+0.0281113j 0.0456304+0.0200408j -0.0510263+0.0245703j 0.0249329-0.0798927j 0.0410696-0.00999773j -0.0278942+0.01781j -0.0180619-0.0267244j -0.0711899+0.0582155j 0.00846106+0.0152312j -0.0199896-0.0104875j 0.101857+0.0212576j -0.0779275+0.042524j 0.0425782+0.0162369j 0.0384884-0.0386107j 0.00848554+0.0296106j 0.0137441+0.016863j -0.009431+0.0471122j 0.0518038-0.0554811j -0.052077+0.00492846j -0.0146157+0.0415572j -0.0635985+0.00547814j -0.0732394+0.0715796j 0.0263696+0.0365929j 0.0159075-0.045875j 0.0454146-0.022712j 0.0365553+0.0212624j 
-0.000775165+0.00741897j -0.00191899+0.00464207j 0.0240437+0.0161694j -0.0139618+0.00375748j -0.00764926-0.0119159j 0.00615792+0.00408268j -0.0256169-0.036483j 0.00668313+0.0119555j 0.0244426+0.0699145j 0.0221467+0.0503819j 0.00237707+0.0148524j -0.00338437-0.0129007j -0.00270883-0.0339224j -0.00239882-0.0261988j 0.0089508-0.00779743j -0.0115955+0.02575j 0.0117269-0.0642327j -0.00559193+0.00759682j -0.0027013-0.00630709j 0.00559718-0.0319157j -0.0152813-0.0506971j -0.0313991-0.0579124j -0.0175042+0.0552805j -0.0753252+0.045555j -0.021798+0.00334759j 0.0207163-0.0515875j 0.0217492-0.00633051j 0.0103615-0.0466762j 0.0165083+0.0169819j -0.0258424+0.0544222j 0.0333813+0.0352299j 0.00697379+0.012429j 0.00716907-0.0122061j 0.0257264-0.00842149j -0.0423411+0.00366681j 0.0363239+0.0247105j 0.0140498+0.0103708j 0.0245096+0.0468j 0.0194753+0.0298936j -0.0216347+0.0128327j -0.0279944+0.0574549j -0.0600998+0.00392134j -0.0521188+0.0678652j 0.016684+0.0377982j -0.062969+0.020339j -0.0225815-0.0104132j 0.0744021-0.028662j 0.0698149+0.0580806j 0.011233+0.0439744j 0.00844164+0.0757963j 0.0913791-0.0457243j -0.0316651-0.0145892j 0.012809+0.038433j 0.00555715-0.109078j 0.0262608-0.136562j 0.0458192-0.13103j -0.00693502+0.0192603j 0.0971246-0.150619j 0.068823+0.0344308j -0.0646252-0.0707532j -0.0254563+0.110784j 0.0185947+0.0483445j -0.00717993+0.0196559j -0.0118345+0.0286624j -0.0989441-0.0185069j -0.0357139-0.0149741j -0.0124262+0.0807534j 0.105242-0.0770021j -0.0840981+0.0785618j -0.00649269-0.0215124j 0.0310086-0.0351444j -0.0560341+0.0081314j -0.063272+0.0764406j -0.0570501+0.0839903j 0.0592407+0.0301446j 0.00690973-0.0238356j 0.0536387-0.079811j 0.00287408+0.0172835j -0.0214259+0.00879082j 0.0893342-0.0401498j 0.046408-0.0706102j 0.0677441-0.0363545j 0.0202921-0.0964172j 0.125739-0.066808j 0.0506545-0.044982j 0.00165837+0.0547641j -0.0250805-0.00928515j -0.0629604-0.0176746j -0.0862549+0.0322415j 0.0314873+0.0951668j -0.0107122+0.0396769j -0.0108218+0.00657375j -0.0293145+0.0482911j 0.0676637-0.0421006j 0.060013-0.0613586j -0.0326685-0.0566311j -0.0378829+0.0154602j 0.0140405-0.0450425j 
0.013625-0.007512j -0.00152842-0.00469215j 0.0414152+0.000344986j 0.00503045+0.0174975j 0.0370013-0.0119547j -0.0102888+0.000642148j 0.0246369+0.00735549j -0.0313116-0.0210641j -0.00341529+0.0369751j -0.019803-0.0787993j 0.00046573-0.00663547j -0.0102439-0.0376384j 0.0180176+0.0416274j -0.0122932+0.00741498j -0.0454103+0.00317773j -0.0288572-0.0135598j 0.0347123+0.0408561j 0.0148866-0.0452397j 0.0470302+0.0450868j 0.0442488-0.0330447j 0.0436322+0.0571311j -0.0454329-0.0107882j -0.00919122-0.00917139j 0.0206804+0.00749962j 0.0426475-0.0215861j 0.0117451-0.024441j -0.04422-0.0159332j 0.0412948+0.0131375j -0.00265051-0.0414744j 0.0432585-0.00895933j 0.0218204+0.0167142j -0.00600399-0.0392702j 0.0158503-0.0371685j 0.0495702-0.00274329j -0.0280293+0.00875669j -0.0449079-0.0108447j 0.0394095+0.0141037j -0.0868452-0.0397746j -0.063141+0.056132j 0.0108874-0.00630573j 0.0116414-0.0367259j 0.073376-0.0468796j 0.0134319-0.0528984j 0.00738322+0.0361053j 0.0673865-0.0516223j 0.0456888-0.0202057j 0.00577352+0.0603107j -0.0561862+0.0187365j -0.145861+0.0519714j -0.0870854+0.00398041j 0.0105707-0.0191288j 0.0644846+0.0101101j 0.0087827-0.0361536j -0.0462399+0.117699j 0.12713-0.0124001j 0.0341742+0.13939j -0.0195548-0.0928043j 0.118544+0.143112j -0.054899+0.00262461j 0.0957438-0.0612258j -0.0676777+0.0150536j 0.00134394-0.103428j -0.0665819+0.0560571j 0.000483581-0.00501045j 0.0486488-0.0142116j -0.0219256+0.0140035j -0.0341783-0.0345232j 0.00655923+0.0330555j -0.00525175-0.0145416j 0.0298642+0.0415329j -0.0627815+0.0130215j 0.0974423+0.047644j 0.0621298-0.032275j -0.0257442-0.039808j 0.0155223-0.127531j -0.0646471+0.00810481j -0.0347372+0.0323382j 0.0267111-0.042853j -0.0136342-0.0238074j -0.0427246-0.145601j 0.0142191+0.0584343j -0.0659212+0.0301186j -0.121934+0.103194j -0.0239517-0.11601j -0.0357986+0.135723j -0.0729186-0.00399573j -0.0931562-0.0120508j -0.00792535+0.0531854j 0.0435656-0.0243806j -0.0837304-0.0202874j -0.0286317+0.0273391j 0.00240181+0.0567061j 0.0279532-0.0197933j 0.0518907+0.00646713j -0.0719945-0.0260511j -0.0198696+0.0899369j 0.0200564+0.0612138j -0.0312665+0.0338223j 
