0.285924+0.578261j 0.62497-0.32417j 0.15968+0.278194j 0.148646-0.1251j 0.0396322+0.11318j -0.0252392-0.015816j 0.0350524+0.0759516j 0.0836572+0.0146511j -0.0340463-0.00248275j 0.0304048-0.0542665j -0.00922405+0.0586192j 0.00587135+0.0403747j 0.0252001+0.0195507j -0.0206516+0.00626607j 0.0109569+0.0147322j 
0.11707-0.246336j 0.134459+0.0428706j -0.0577316+0.522278j -0.0437682-0.126455j -0.027539-0.553861j -0.13325-0.211501j 0.0520648-0.152967j -0.0917999+0.092132j 0.0746641-0.077672j 0.0804382-0.0877152j 0.0326927-0.0259702j 0.0910903-0.117629j 0.0966331+0.00984302j 0.116803-0.0461189j -0.117115-0.101183j 
0.0320305+0.0714667j -0.0500043+0.00633549j -0.0994474-0.0178208j -0.0743672-0.0871502j -0.0272076+0.34112j -0.109613+0.488706j 0.0310458+0.315516j -0.116573-0.208623j 0.108785-0.156254j 0.0923139-0.0281126j 0.0403131-0.178291j 0.0776854-0.157232j 0.113643+0.164059j 0.0905811-0.0203313j -0.105689-0.0774813j 
-0.0935987+0.0101657j 0.0226039-0.0817681j 0.0648062+0.0736652j -0.0763028+0.161702j 0.0757562+0.113211j 0.0107064+0.162993j 0.178205-0.286901j 0.122817+0.0158969j 0.308668+0.000875469j 0.165585+0.198375j -0.179004+0.219132j 0.320649-0.0245959j -0.215262-0.14843j -0.033032-0.346257j -0.106228-0.00168767j 
0.0111462-0.00631634j 0.0416281+0.030948j -0.089257-0.0638316j 0.0233283-0.0470636j -0.0456133-0.0499784j -0.0777325+0.0038631j 0.0585627-0.242159j 0.0493341-0.293455j -0.590155-0.0784005j -0.286178+0.117866j -0.291607+0.223906j 0.167961-0.0155306j -0.0872463+0.253391j 0.0452641-0.0736793j -0.128473-0.181338j 
0.0152104-0.0481773j 0.0388864+0.0776068j 0.0574839+0.0296851j -0.0170688+0.028446j 0.0342708-0.0265859j 0.0448378+0.0402979j -0.190783-0.0198099j -0.130474-0.0404758j 0.0815283+0.144105j -0.219761-0.335257j -0.290104-0.153192j 0.562584+0.0194783j 0.118871+0.196622j -0.0443258+0.117109j 0.109792+0.386625j 
0.0441087-0.0970153j -0.00762682+0.0433245j -0.111564+0.22298j -0.0922959-0.0765668j -0.00313788-0.00681854j -0.13023+0.179833j 0.0159193+0.060599j -0.0201502-0.0846507j 0.101831-0.161005j 0.102502-0.0206605j 0.104128-0.130181j 0.132892-0.193496j 0.0610573+0.16431j 0.157125-0.0578862j -0.132475-0.197421j 
-0.00869166-0.0300882j 0.0589639+0.020556j 0.0435123+0.0214211j -0.0770645-0.0281199j -0.0843617+0.0252275j -0.0215126-0.0103342j 0.0743728+0.123416j -0.0833861+0.0711292j -0.227805+0.0732417j -0.109651-0.0294452j 0.0297837-0.131143j -0.117361+0.131557j 0.129105-0.00105838j 0.115873+0.18521j 0.0421138-0.029821j 
-0.0193597-0.0518634j -0.0392924+0.0324158j -0.029697+0.0429637j -0.00621093+0.0179919j 0.0458157-0.0570681j 0.0270312-0.0617321j -0.0155962-0.0130217j 0.00170582+0.0558928j 0.109499+0.060878j 0.123223+0.0419508j 0.0789042-0.0466009j -0.073748-0.00836939j 0.06176-0.0969112j -0.0326307+0.00730305j 0.0164912+0.0407282j 
0.0274405+0.0174336j 0.0104824-0.00753443j -0.0268196-0.0174121j -0.0277955-0.0378629j -0.0201818+0.0534363j 0.0101469-0.00169158j 0.00997957+0.0204466j 0.0163741-0.0267852j -0.015797-0.0126564j -0.0566905+0.0192569j -0.0676006+0.00332587j -0.00296341-0.0168339j 0.0225373+0.00296056j 0.00016605-0.0341726j -0.0131715+0.0228166j 
-0.023213-0.0172524j -0.0289847+0.0195811j 0.00357566-0.0447199j 0.0075434+0.01737j 0.00687704+0.00184345j -0.0190536-0.00438441j -0.00743321+0.0310327j -0.0366557+0.00119401j 0.0125385+0.0463356j -0.0334008-0.0364008j -0.0285356+0.022526j -0.00933605+0.0514682j -0.0270099-0.0188132j 0.0121891-0.0114782j -0.00455534+0.0140438j 
