-0.039032-0j -0.0213787-0j -0.0130917-0j -0.00878221-0j -0.00170067-0j -0.0385186-0j -0.0204275-0j -0.016679-0j -0.00791155-0j -0.00685161-0j -0.00265362-0j -0.000398042-0j -0.0247856-0j -0.0274327-0j -0.012879-0j -0.0142544-0j -0.0101817-0j -0.00678782-0j -0.00482962-0j -0.0112691-0j -0.00751274-0j -0.00534541-0j -0.00557677-0j -0.00197168-0j -0.00152726-0j -0.00617235-0j -0.00218226-0j -0.0016199-0j -0.00169037-0j -0.000443629-0j -0.00179291-0j -0.000491007-0j -5.43332e-05-0j -6.01359e-05-0j 
0.0197929-0j -0.0374928-0j 0.00663873-0j -0.0352569-0j -0.0145173-0j 0.0195325-0j -0.0358247-0j 0.00845781-0j -0.0317616-0j -0.012016-0j -0.0166525-0j -0.0042977-0j 0.0125686-0j 0.0139109-0j -0.0225864-0j -0.0249986-0j 0.00516308-0j 0.00344205-0j -0.0193889-0j 0.00571449-0j 0.00380966-0j -0.0214596-0j -0.00978022-0j 0.000999827-0j -0.00958419-0j -0.0108247-0j 0.00110661-0j -0.00650323-0j -0.0106078-0j -0.00378693-0j -0.00719776-0j -0.00419136-0j -0.000709479-0j -0.00078525-0j 
0.015117-0j 0.00827995-0j -0.0856384-0j -0.0270233-0j 0.000658666-0j 0.0149182-0j 0.00791155-0j -0.0513222-0j 0.00306413-0j -0.0448191-0j -0.00816532-0j 0.000154161-0j -0.251256-0j -0.27809-0j 0.00498801-0j 0.00552072-0j -0.0313297-0j 0.00262891-0j 0.0018705-0j -0.0346757-0j 0.00290967-0j 0.00207027-0j -0.01716-0j -0.0197282-0j 0.000591505-0j -0.0189926-0j -0.0218351-0j -0.0105964-0j 0.000654677-0j -0.00136507-0j -0.0117281-0j -0.00151086-0j 2.10432e-05-0j 2.32905e-05-0j 
-0.00717064-0j 0.0310936-0j -0.00240511-0j -0.0369814-0j -0.0636936-0j -0.00707631-0j 0.0297102-0j -0.00306413-0j -0.0333151-0j 0.00996511-0j -0.0455886-0j -0.0258839-0j 0.119181-0j 0.13191-0j 0.0187315-0j 0.0207319-0j -0.0018705-0j -0.001247-0j -0.0203373-0j -0.00207027-0j -0.00138018-0j -0.0225092-0j 0.00811096-0j -0.000362222-0j -0.026238-0j 0.00897719-0j -0.000400906-0j -0.00682132-0j -0.0290402-0j -0.0166149-0j -0.00754982-0j -0.0183893-0j -0.00542829-0j -0.00600801-0j 
0.0135211-0j -0.0922734-0j 0.00453511-0j 0.00304225-0j 0.000589129-0j -0.287867-0j 0.00707631-0j -0.0719888-0j -0.0341473-0j 0.00237347-0j 0.00091924-0j 0.000137886-0j 0.00858599-0j 0.00950295-0j -0.0962507-0j -0.10653-0j 0.00352706-0j -0.0609456-0j 0.00167303-0j 0.00390374-0j -0.0674544-0j 0.0018517-0j -0.02407-0j 0.000683012-0j -0.00659185-0j -0.0266407-0j 0.000755955-0j 0.000561151-0j -0.00729584-0j 0.000153678-0j 0.000621081-0j 0.00017009-0j 1.88216e-05-0j 2.08317e-05-0j 
-0.324052-0j 0.00507041-0j 0.00310498-0j 0.00208288-0j 0.000403349-0j 0.00913548-0j -0.169594-0j 0.00395578-0j 0.00187639-0j 0.001625-0j 0.00062936-0j 9.4404e-05-0j 0.00587843-0j 0.00650623-0j 0.00305452-0j 0.00338073-0j -0.0845309-0j 0.00160987-0j -0.0400965-0j -0.0935585-0j 0.0017818-0j -0.0443787-0j 0.00132265-0j 0.000467626-0j 0.000362222-0j 0.0014639-0j 0.000517567-0j 0.000384194-0j 0.000400906-0j 0.000105216-0j 0.000425225-0j 0.000116453-0j 1.28863e-05-0j 1.42625e-05-0j 
-0.00785505-0j 0.0148795-0j 0.044499-0j -0.111166-0j 0.00576139-0j 0.167236-0j 0.0142175-0j 0.0266678-0j 0.012605-0j -0.0805423-0j -0.0525061-0j 0.0017056-0j -0.00498801-0j -0.00552072-0j -0.193384-0j -0.214036-0j 0.0162794-0j -0.00136602-0j 0.00769473-0j 0.018018-0j -0.00151191-0j 0.00851651-0j -0.0308374-0j 0.0102511-0j 0.00380361-0j -0.0341308-0j 0.0113459-0j -0.0435908-0j 0.00420982-0j -0.0119403-0j -0.0482462-0j -0.0132155-0j 0.000281566-0j 0.000311636-0j 
0.00215119-0j -0.0145813-0j 0.000721532-0j 0.045263-0j -0.137207-0j -0.0457994-0j -0.0139325-0j 0.00091924-0j 0.0407757-0j -0.00467311-0j -0.031161-0j -0.0919312-0j 0.00136602-0j 0.00151191-0j 0.189508-0j 0.209747-0j 0.000561151-0j 0.000374101-0j 0.0248916-0j 0.000621081-0j 0.000414054-0j 0.0275499-0j -0.00380361-0j 0.000108666-0j -0.0179344-0j -0.00420982-0j 0.000120272-0j 0.00834889-0j -0.0198497-0j -0.0357912-0j 0.00924052-0j -0.0396136-0j -0.0267259-0j -0.0295802-0j 
0.12192-0j -0.169239-0j -0.00240511-0j 0.012773-0j 0.0052594-0j -0.00707631-0j -0.220672-0j 0.0381778-0j -0.143369-0j 0.0043532-0j 0.00603296-0j 0.00155699-0j -0.00455341-0j -0.0050397-0j 0.00818272-0j 0.00905661-0j 0.0318034-0j 0.0323213-0j -0.119431-0j 0.0351999-0j 0.0357731-0j -0.132186-0j -0.0441471-0j -0.000362222-0j -0.0432622-0j -0.0488619-0j -0.000400906-0j 0.00235602-0j -0.0478825-0j 0.00137195-0j 0.00260764-0j 0.00151847-0j 0.000257033-0j 0.000284484-0j 
0.0746602-0j -0.00240511-0j -0.184461-0j 0.0166871-0j -0.000191325-0j -0.00433334-0j 0.0390736-0j 0.0316919-0j -0.00089005-0j -0.0965383-0j 0.00504215-0j -4.47798e-05-0j -0.00278838-0j -0.00308617-0j -0.00144889-0j -0.00160362-0j -0.328939-0j -0.00076363-0j 0.00923806-0j -0.364068-0j -0.000845184-0j 0.0102247-0j 0.0105964-0j -0.0948034-0j -0.000171817-0j 0.0117281-0j -0.104928-0j -0.0228243-0j -0.000190166-0j 0.000842942-0j -0.0252618-0j 0.000932966-0j -6.11249e-06-0j -6.76529e-06-0j 
-0.00413997-0j 0.0587732-0j 0.023453-0j 0.00740064-0j -0.000180383-0j -0.00408551-0j -0.00216667-0j -0.364299-0j 0.02175-0j 0.0122742-0j 0.00223616-0j -4.22188e-05-0j -0.00262891-0j -0.00290967-0j -0.00136602-0j -0.00151191-0j 0.00858-0j -0.222814-0j -0.000512259-0j 0.00949632-0j -0.24661-0j -0.000566966-0j -0.121806-0j 0.00540279-0j 0.00419866-0j -0.134815-0j 0.00597979-0j 0.00290196-0j 0.00464706-0j 0.00037384-0j 0.00321188-0j 0.000413765-0j -5.76291e-06-0j -6.37837e-06-0j 
