0.00403836-0.0137592j 0.00939735-0.00172593j -0.00481656-0.00544625j 0.00208122-0.0187858j -0.00580121+0.00703842j 0.00537595-0.00870281j 0.00597098+0.00235062j 0.00339554+0.00086002j 0.00242655+0.0010351j -0.00923217+0.00833108j 0.0062751-0.00671606j -1.92095e-05-0.000933588j 0.00741697+0.00516859j 0.00793641+0.00496724j -0.0040077-0.0054245j 0.0069758+0.0033443j -0.0044371-0.00565759j 0.00233516+0.00646721j -0.00921855-0.0111729j 0.0152383-0.0068154j -0.0106149+0.000456839j -0.00427623-0.00221248j 0.00407928-0.00761747j -0.00620621-0.000790292j -0.000130604-0.00461851j -0.00566048-0.000927319j 0.00383952+0.00151232j -0.000840531+0.0023505j 0.00487972-0.0060069j 0.000266641-0.00165281j 0.000249594+0.000963795j 0.000324389-0.00305492j -0.00222324-0.00366211j -0.010303-0.0033214j 0.00332208-0.00250738j 0.0150262+0.000616918j 0.00696425-0.000564281j -0.014499-0.00190623j 0.00407771-0.0026889j 0.00671332-0.00184439j 0.0056357-0.00219617j -0.0111983+0.0019469j 0.00402567+0.00210131j 0.00350119+0.0101325j -0.00338264-0.00151144j -0.00319153+0.000498082j -0.00572233-8.18213e-05j -0.00149197-0.000495612j 0.0026548+0.00685911j 0.00189656+0.000944798j 0.00821103+0.00417584j -0.00019804-0.00387467j -0.00303322-0.00178683j -0.00265339-0.000386441j 0.00820064+0.00394473j -0.00432237+0.00350596j 0.00505539+0.00245482j -0.00806729+0.00129759j -0.0118609-2.16466e-05j -0.00523723-0.00831519j -0.00928707-0.00273597j -0.00527966+0.00129965j 0.00556713-0.00463908j 0.00103498+0.00257724j -0.000768684+0.00227859j 0.00053686+0.00353422j 0.00168612-0.00907078j 0.00512075+0.000773641j 0.00316765-0.000495124j -0.000196884-0.00312758j 0.00213937-0.00296079j -4.40968e-05+0.00291164j -0.00307946-0.000349784j 0.000573877-0.00161335j -0.000559663+0.000497399j 0.00102859+0.00212377j -0.000211859+0.00144596j -0.000385165+0.00267151j 0.00274207-0.00194448j -0.00630383+0.00247845j -0.00580149-1.92856e-05j 0.00584163-0.00276226j -0.00325145+0.00165567j 0.0057604-0.00307316j 0.00559791+0.00745196j 0.00762181-0.00390185j -0.0165364+0.000227012j 0.00408479+0.00185217j -0.000475974+0.00247616j -0.0440385-0.0110594j 0.00256773-0.00152564j -0.0212408+0.00443751j -0.0209707+0.00951626j 0.0298368+0.0481131j 0.0280126-0.0452411j 
0.0102185+0.00204037j -0.0028251+0.0100623j -0.00414865-0.00544694j -0.000755495-0.00203007j -0.00451449+0.00130712j -0.00732637+0.000823352j -0.00367055-0.00075507j -0.000974732+0.00719541j 0.00272061-0.00391245j 0.000692855-8.91987e-05j -0.00477464-0.000372721j 0.00262904-0.000508997j 0.00439454+0.00195905j 0.00813448+0.000505537j -0.00146693-0.0017445j 0.000490362-0.00426405j -0.00746078+0.000667332j -0.0063739+0.0134533j 0.00133694+0.0132043j -0.00262201+0.00546369j 0.00802268+0.00318574j -0.00246598+0.00440409j -0.0100608-0.000824342j -0.0091128+0.00269549j -0.00217782-0.00494859j 0.000713476-6.30751e-05j 0.00318301-0.00102433j 0.00284852+0.00110608j -0.00199752-0.00302637j -0.0030242+0.000684748j 0.00392432+0.00537254j -0.000200421+0.00496278j -0.0111897+0.00295438j 0.000286213+0.00285153j 0.00468638+0.0042189j -0.00617906-0.00223251j 0.0138526-0.0053261j -0.00480044+0.000330513j 0.00414523-0.00358157j -0.0145163-0.00894851j 0.00778526-0.00312021j 0.00833575+0.000190907j 0.00327742+0.000906577j 0.00583394-0.0012924j -0.00254137+0.000103144j 0.00174313+0.00106743j 0.00106981-0.00493683j 0.00238825+0.00146478j 0.00574708-0.00362054j -0.00694897-0.00482889j -0.00169902-0.00437892j 0.00307549+0.000960206j 0.013499+0.000336145j -0.00681022-0.000383811j 0.001663-0.000488135j 0.0075452-0.00960918j -0.0108216-0.00733356j -0.00613393-0.00390265j -0.00137089-0.00518171j -0.000363385-0.000564533j 0.000595475-0.000240413j 0.00205886-0.00381887j -0.000162235+0.0030399j -0.00104711-0.000511155j -0.00287046-0.00175582j 0.00154824+0.00169313j 0.00610376-9.31808e-05j 0.00208192+0.00347747j 0.00072819-0.000419515j 0.0024989-0.00192946j 0.00471112+0.00109378j -0.000619027+0.00184079j 0.000400863-0.0018844j 0.000980703-0.00401552j 0.00138667-0.00143238j 0.00294991+0.000269492j -0.000930303+0.00257164j -0.00150623+0.0012676j 0.003934+0.000379077j -0.00331038-0.00223221j -0.00056703-0.00229312j -0.000227056-0.000292561j -0.00350711-0.00258645j 0.00952496+0.00106644j -0.00569087+0.00536604j -0.0207419+0.00133134j 0.0100971+0.00376255j -0.00447613+0.00072807j -0.00300749+0.00378629j -0.00236962+0.000523845j 0.0545793+0.00233743j 0.00661926+0.00859356j -0.00634734-0.0148786j -0.0285831+0.0479701j 0.0303397+0.0515438j 
-0.00880565-0.000182345j -0.00136611-0.00609064j 0.00391547-0.0164647j 0.0100228-0.0287288j 0.00677671-0.00442496j 0.0147419-0.0079603j 0.00469145+0.00511313j -0.00117831+0.00315698j 0.00540455-0.00604035j -0.00430792+0.00425457j 0.00647429-0.00201573j -0.00109451-0.00219263j 0.0131696+0.00116664j 0.00635818-0.00140861j -0.00325082+0.00484475j 0.0179119+0.0130877j 0.00163165+0.00572999j 0.0115031+0.00340292j -0.0248713+0.0125321j 0.0355323+0.00626123j -0.0225565-0.000147819j 0.0126171+0.00583863j 0.00406136-0.000128096j -0.0106879+0.00240636j 0.00148966-0.00318918j -0.00445793-0.00819471j -0.00304977-0.000459772j 0.00794249-0.00142803j -0.0162439+0.000555333j -0.00352055-0.00318641j 0.00151317-0.00265721j -0.00242488+0.000172123j 0.0108566+0.00666674j 0.0053577+0.000276112j 0.0145668+0.00631611j 0.00105811-0.00573461j -0.00266951+0.00556134j -0.00624723+0.00732502j 0.000305555+0.00401703j 0.00364169+0.00395076j -0.000832787-0.0106056j -0.00777104+0.00560973j -0.00106081-0.000192508j -0.00508767+0.00577727j -0.00667459-0.00251996j -0.00943804+0.00589556j -0.0171485+0.0090039j -0.0138431-0.00085428j 0.00446984+0.0111391j 0.00780064-0.00330191j 0.00690548+0.0144563j 0.0251323-0.00503094j -0.0135737-4.7572e-05j -0.00414307-0.00772521j 0.00823686+0.014848j 0.0053802+0.0214904j 0.00374482-0.00996941j -0.0148193-0.00580056j -0.0225552-0.00691463j -0.0201235-0.000645014j -0.010258-0.00129447j -0.000343755-0.000831448j 0.00600619-0.0155451j -0.0106278+0.00363974j 0.000648517-0.000156768j 0.00575514+0.012101j -0.00523781-0.0196017j 0.00742902+0.00967552j 0.00366375-0.00262164j -0.00069078-0.00629915j -0.00137687-0.0015646j 0.00343772+0.00666982j -0.00571931-0.00249032j 0.000960701+7.09411e-05j -0.00266158+0.00410125j -0.00181474+0.00439381j 0.0121638+0.0016452j -0.00777852+0.00144478j 0.00448748+0.00154546j -0.0190279-0.000716963j -0.0231468-0.00841458j -0.0104445+0.00667063j -0.00138768+0.00490665j 0.000657885+0.000481968j -0.00644429+0.0205452j 0.00275325-0.0185163j -0.00415532+0.0241355j -0.00216282+0.00551216j 0.00152883+0.0102055j -0.0039277-0.0189022j 0.000706736-0.00300391j 0.0206877+0.00498883j 0.000886597+0.0193407j -0.015955-0.00462779j -0.00843942+0.0195455j 
-0.011127-0.0105555j 0.0151139-0.0102503j -0.0076413-0.0166559j 0.00251192-0.0304283j -0.0127539+0.00193395j -0.0162145-0.0144418j 0.0040433+0.00611446j -0.00244942+0.00467942j -0.00919361-0.0126363j -0.0106328+0.0050249j 0.00615646+0.000941877j 0.0020148-0.00755215j 0.0199208+0.0076114j 0.0263956-0.00127307j -0.0023136+0.00535124j 0.00792403+0.00564303j -0.0263842+0.00031683j -0.0169783+0.00276063j 0.014436+0.00203113j -0.00668385+0.00263426j 0.0159196-0.0013113j 0.0145759-0.00496453j 0.00358163+0.0015425j -0.0183057-0.00091202j -0.00378849-0.00415085j -0.00622995+0.00460652j 0.0159473-8.30513e-05j 0.0088496-0.00479016j -0.00133994-0.00437728j -0.0069732+0.00601099j 0.00131842-0.0102497j 0.0161165-0.007828j 0.00154988-0.0111722j -0.00145098-0.00195501j 0.00141544+0.00324179j 0.00936571+0.00149718j 0.00891454+0.000143152j 0.00959094+0.00604625j 0.00187107-0.0266594j 0.00187793-0.00698671j 0.00249403-0.0121677j -4.45334e-05+0.00666584j 0.0318566+0.00640563j -0.0134616+0.0174263j -0.0197471-0.00179717j 0.00540704+0.00635201j -0.00315233-0.00877311j -0.00926179-0.00640537j 0.0130901+0.00564173j -0.0114195-0.00755321j -0.00162102-0.00445005j -0.00504708+0.00569728j 0.0243862-0.00435465j -0.00180908+0.000636477j -0.00469864-0.00817825j 0.00210279-0.012826j -0.0115828-0.0121774j 0.00202334-0.00333601j -0.00397462+0.00536355j -0.00155371+0.00202102j 0.00258702+0.00601881j 0.00337902+0.00452884j -0.00669274+0.0156949j 0.00112215+0.0106472j -0.000649248+0.000240235j 0.00518067+0.000385042j 0.00838795+0.0060597j 0.0147955+0.00454638j 0.0107174-0.00206352j 0.000220646-0.00524009j 0.002828-0.00243167j 0.00347174+0.00530302j -0.000608446-0.00330926j -0.00510376-0.00581455j -0.00553621+0.000342461j 0.00310425+0.00325446j -0.00533713+0.00559527j -0.0091274-0.00204058j 0.00966548+0.00308303j -0.00465728+0.00347961j -0.0142398+0.00428665j 0.0201967-0.0104944j -0.0134685-0.00764262j 0.0152332+0.0158221j -0.0102827+0.00555014j -0.0103497-0.017356j -0.00841523+0.0107369j 0.00180922+0.00357166j -0.0052426+0.00240342j 0.0139208-0.00322646j 0.00140955-0.0161527j 0.00367216+0.02765j -0.00586864-0.0170662j 0.00357379-0.00968654j -0.0128024+0.00218897j 
0.00181828-0.0025861j -0.000511294+0.000990707j 0.0094713+0.00577766j -0.00141968+0.0266153j 0.00800735-0.00984578j -0.00409935+0.001325j -0.00599456+0.000725059j -0.00698871-0.001577j 0.00629324+0.00373706j 0.0102733+0.00115678j -0.00855722-0.00273854j 0.000794538-0.00447952j -0.0195723+0.00870337j -0.0170075-0.0052269j 0.00604408-0.00742531j -0.00598927-0.0104245j 0.00852081+0.0149842j 0.00544739+0.00062062j -0.00333585-0.00307124j -0.00649929+0.00521282j -0.0110777+0.000896172j -0.00291623+0.00803955j 0.00780837-0.00382673j -0.0029543-0.00297821j -0.00647468+0.011222j -0.00330234+0.0062115j 0.00174221-0.00402655j 0.00466057+0.00235281j -0.00994178-0.00608187j -0.00606944-0.000925846j -0.00246652+0.00872822j -0.000618822-0.00583487j -0.00210169-0.00226194j -0.00808067+0.00162129j -0.0155454+0.00199973j 0.00424725+0.00238863j -0.00991763+0.00085594j 0.0193972+0.00918629j -0.00388948+0.0147795j 0.0080301-0.00352882j -0.0113515-0.00228613j 0.00561827+0.00169225j -0.0234226-0.00468227j -0.00258493-0.0161011j 0.00255246+0.00264227j 0.00707428-0.00364077j 0.00980961-0.0026098j 0.0146035+0.00325329j -0.0102458-0.00607435j 0.00478337-0.001197j -0.00872797-0.00700869j -0.00328702-0.00191188j 0.00366688+0.00847226j -0.00283358+0.00200693j -0.00955353+0.00247524j 0.00912424-0.00650427j -0.00923235+0.00252536j -0.0365304-0.00597708j -0.0161568+0.00546949j -0.00682366+0.014901j -0.0064205-0.0106717j 0.00132024-0.0187526j -0.00340241-0.00999386j 0.00442634+0.00363096j 0.0011702-0.00434059j 0.0171906-0.00252376j -0.00797656-0.00117416j 0.00860426-0.00287917j 0.00614668-0.00447233j -0.00459807-0.00140396j 0.017475-0.00980946j -0.00870259+0.00507262j -0.0136239+0.000293374j -0.00251654-0.0142093j -0.000338954+0.00697264j -0.00633734+0.0184746j 0.00596403-0.00141453j 0.0266955+0.00309791j -0.0011515-0.00589536j -0.00278565-0.00152888j -0.0261555+0.0060415j 0.0271501+0.00925743j -0.00754808+0.000232918j 0.00950041-0.0188131j 0.000247457-0.028696j -0.0170502-0.0288017j -0.0167495+0.0127327j 0.00043262+0.0117039j -0.00188193+0.0111463j -0.0101606-0.0174603j 0.0168765-0.0235565j 0.000959112+0.0328677j -0.00926201-1.45641e-05j 0.00666637+0.0305392j -0.00748903-0.00454253j 
0.00865892-0.00595915j -0.00346823+0.00786602j 0.00573442-0.00609239j 0.00227128+0.00421854j 0.0118325+0.00241586j 0.0104682-0.0147613j -0.00364725-0.00269645j -0.00101565-0.00446403j 0.0106683-0.00400713j -0.000728602+0.00397209j 0.00172285+0.00120485j -0.00127956+0.000779848j 0.00715591+0.000184428j -0.00271678-0.000401669j 0.000496086-0.00149031j 0.00941903-0.00805923j 0.0116734-0.00416528j 0.0122848+0.00818881j -0.00784774-0.010716j 0.0224235+0.00754563j -0.0070635+0.00509417j 0.00412954+0.00122615j -0.012627-0.000607522j -0.0113545+0.0103893j -0.00880453+0.0100959j -0.00271159+0.00168517j 0.000557702-0.00155823j 0.00165382-0.00387957j 0.000451601+0.00610126j -0.00440112-0.00368367j 0.0121849+0.00547372j 0.00456446+0.00143585j -0.0127136+0.00189427j -0.00253469-0.000630226j 0.00897395-0.00398039j 0.0043641-0.00372296j 0.000563855-0.00882202j 0.00763224+0.000811583j -0.00243327+0.00725056j 0.00108212+0.00229323j -0.00257912-0.00646024j 0.00379335+0.00456427j -0.0127286-0.00191594j 0.00169495-0.00749652j -0.00696507-0.00326737j 0.00517956+0.00113149j -0.00518841+0.00425571j -0.000707646+0.00729635j -0.000692146+0.00614104j 0.00391789-0.00220708j 0.00076633+0.00568222j 0.0355462-0.0154799j -0.0137037-0.00188269j -0.0134929-0.00472738j 0.022562+0.0228742j 0.00496464+0.0166105j -0.00311298+0.010406j 0.00118003-0.00428741j 0.00654345-0.00628327j 0.00600034+0.00153012j 0.00146488+0.0143494j 0.00186451+0.00280477j 0.00697026-0.00853044j -0.00540414-0.00330719j -0.00136872-0.00917991j 0.00585418-0.00183059j 0.00469606-0.0109708j 0.00308521+0.00485614j -0.00919664-0.00441446j 0.00201127+0.00396663j 0.00292143-0.00111283j 0.00118026-0.000440927j -0.00692581+0.00171286j 0.000565953+0.000563195j 0.00264995+0.00332797j 0.0114436+0.00520684j -0.00984098+0.00367938j -0.0124764+0.00377348j 0.0116653-0.00378302j 0.000440063+0.00188309j 0.0174375+0.000102705j 0.0140598-0.00336347j -0.0135503-0.0065972j 0.0187559+0.00796303j -0.00112645+0.0156837j -0.0257011+0.000752719j 0.0128683-0.0133936j -0.00469363-0.0015599j -0.00779363+0.00485402j 0.0359886+0.023602j 0.0109789-0.0125964j -0.00999897+0.016047j -0.00277553-0.0547631j 0.0104972-0.00832141j 0.00121938+0.0154121j 
-0.0104076-0.00542172j -0.00653555-0.00414255j -0.00263921-0.00258466j -0.000415236-0.00641217j -0.00307232-0.000624639j 0.00431107-0.0178414j 0.00743295+0.00941829j 0.0142747+0.00586312j -0.0150588-0.0149131j -0.00763952-0.00487913j 0.0107786+0.00727369j -0.00202455-0.000455803j -0.00246162+0.00265427j 0.00634035+0.00470021j -0.000458306+0.00236137j -0.000811469+0.00266208j -0.0170413+0.0193286j -0.00339183-0.00390051j 0.00705243-0.0208457j -0.0141301-0.00284832j -0.0159003+0.00745029j 0.00843449+0.00459565j 0.000864891-0.00324736j 0.00101051+0.000298612j 0.0165078-0.00204672j 0.00523776-0.000143846j -0.0103613-0.00361596j -0.00466112-0.000961745j -0.00613887+0.00149739j -0.00097024+0.000422818j 0.00201922-4.19678e-05j 0.0038357+0.000489464j 0.00991138-0.00137517j -0.0261559-0.00569097j -0.0161577-0.00554643j 0.0190299+0.00208353j -0.0461612+0.00229035j -0.0194313+0.000540073j -0.0107122-0.00800501j 0.0171214+0.0011994j -0.00430048-0.00437605j -0.00274593-0.00308917j 0.00711499+0.00118955j -0.00254926+0.00703642j -0.00164986+0.00321165j -0.00292607+0.00493982j -0.00172731+0.00242679j -0.00562576+0.00220706j 0.00721569-0.00103575j 0.00038325-0.00552612j 0.00125321+0.00846898j 0.0043932-0.012665j -0.0012953-0.00363977j -0.0114893+3.73694e-05j 0.00486044+0.00159361j 0.00700175+0.00110042j -0.00418987-0.00587444j 0.0221607+0.00507798j 0.00194701+0.000598735j 0.00814664-0.0069549j -0.00122425+0.00798035j -0.000829681+0.00952198j -0.00302293+0.0137837j 0.00453112+0.00453684j 0.00347989-0.00215056j 0.00372633-0.00359298j 0.00402162+0.00449756j 0.00769379+0.00302867j 0.000405527+0.0034905j -0.00263517+0.00445854j 0.00942769+0.000164681j -0.00626564-0.0035173j -0.00901941+0.00208035j 0.00337946-0.00154124j 0.0072376+0.00287546j -0.00157623+0.00759733j 0.0065323-0.00386558j 0.00928959+0.010117j -0.00750845-0.0123023j -0.00188554-0.00171419j 0.0233254+0.00205935j -0.00381271+0.00789911j 0.0101483+0.0104267j 0.0070956-0.0128304j 0.0211985+0.00535276j -0.00582819+0.00511709j 0.0131027-0.0238404j -0.00170182-0.0024623j 0.00306685-0.00113645j -0.00826418+0.00794316j 0.0103322+0.0076787j 0.00227607-0.0104051j 0.00705147-0.00444155j -0.00117412+0.0245494j 0.0023276+0.01844j 
0.00271727+0.00876815j -0.00494607-8.98733e-05j -0.000638605+0.0270451j 0.00407377-0.00547923j 0.002355-0.00509128j -0.00929937-0.000648313j 0.00592579+0.00244088j 0.00362693+0.00386727j 0.00623185+0.00920487j 0.0090693+0.00188144j -0.00822521-0.00585633j -0.00162159-0.00310979j -0.0166778+0.0127178j -0.0102454-0.000389177j 0.00581987-0.00117471j 0.00161218+0.0319117j -0.0102114+0.00997461j -0.00569221-0.00451973j 4.48214e-05-0.0127347j 0.00402187-0.0212672j 0.0154806+8.28129e-06j -0.00401282-0.00407828j -0.0222103+0.000336527j -0.0157538-0.0123311j 0.000623998+0.00452185j -0.00696986-0.00192514j -0.000897434+0.00795837j 0.00517218+0.00379606j 0.0025771+0.0129723j 0.00357526+0.00352574j 0.0238786+0.00517469j 0.000604999+0.00736869j 0.00327087+0.00103618j 0.00417808-1.92093e-05j 0.0184508+0.00306885j 0.00719887+0.00179407j -0.00804377+6.83666e-05j -0.00369802-0.00384466j -0.0115004+0.0050737j 0.000135177-0.00539263j 0.00305215+0.00510962j 0.0115503-0.00108546j -0.00710421-0.00190583j 0.000307715+0.00328472j 0.00403885-0.00181056j 0.00288585+0.00563629j 0.0100085-0.00613494j -0.00369441+0.0038258j 0.00775091-0.0102902j -0.0151339-0.00809286j 0.00495627-0.00601341j -0.0171087+0.0128941j -0.00930398+0.000544992j 0.00728244+0.00237966j -0.0159617-0.0155209j 0.00969626-0.00575272j -0.00593587+0.00966497j -0.0404401-0.0118176j -0.00384365+0.00111239j -0.000133031+0.0190554j 0.00259828-0.0229376j 0.00112984-0.0186731j 0.00587718-0.00807017j -0.00308597-4.96738e-05j -0.00523396+0.00332543j -0.00552716+0.000897819j 0.0021239+0.00262059j -0.0055047+1.66102e-05j 0.00456137-0.00618301j 0.00801859-0.0131835j -0.00148799+0.00442097j 0.0105519+0.00888796j 0.00040164+0.000402946j 0.00559695+0.0048042j -0.0151138+0.00201528j 0.0194611-0.00291579j 0.0107838+0.0149569j 7.59613e-05-0.00558265j 0.0146354+0.014414j -0.0120832+0.0114734j -0.0145535-0.00909482j -0.0236569+0.00857155j -4.86199e-05-0.0157076j 0.00119112-0.0164737j 0.00148249+0.0170039j -0.00981773+0.00421415j 0.00289125+0.031367j -0.0065024+0.00288722j -0.00138404+0.0121464j 0.00851098+0.00366471j 0.00421632-0.00354807j 0.000194198-0.00456058j -0.0028466-0.00501855j 0.00345428+0.000263576j 0.00184218+0.0085844j 
0.00170859-0.00184949j 0.0073426-0.00179181j 0.00892405-0.00774545j -0.00172673+0.0199904j 0.00510874+0.00201144j -0.0137559+0.00224385j 0.00674694-0.00306232j -0.000228359-0.00750354j 0.0102049-0.00781153j 0.00840695-0.00942644j -0.00567343+0.00635244j -0.0060976+0.00435685j -0.00894517-0.0100157j -0.0119086-0.00260396j -0.00140489+0.0132363j -0.004134-0.00773565j -0.000452866+0.00633171j -0.00243676-0.00410621j -0.00256175+0.00459423j 0.000856768+0.00502626j 0.0139568+0.00282311j -0.0087869-0.000992164j -0.00591113+0.00114295j 0.00518616+0.000759134j -0.0091897+0.0062694j -0.000204784+0.00932861j 0.00690589+0.00171244j 0.00252857+0.00134652j 0.00596827-6.56764e-05j -0.0019175-0.00263813j 0.00328617-0.00659139j 0.0236696+0.000228406j 0.00171887-0.00234591j -0.0135655+0.00284993j 0.0355531+0.00907279j 0.0178712+0.0045619j 0.0072378+0.00460989j -0.0270729+0.0034189j -0.00135833-0.00714194j 0.0128307+0.00630199j -0.00093984+0.0103005j -0.00488868-0.00525937j 0.00477066-0.000227471j 0.00660567-0.0100816j 0.0131349+0.00776031j 0.00742852-0.00634135j 0.0033802+0.00239652j 0.012775-0.00232422j -0.00743597-0.0046749j 0.00339354+0.008247j -0.00347404-0.000253519j 0.00580936+0.00335711j -0.01191+0.00142676j 0.00665189+0.000480468j 0.00769337+0.00432512j -0.00712466+0.0136416j 0.00870469+0.00601526j 0.0253376-0.00330374j 0.0105458-0.00438528j 0.000916612-0.00808669j -0.00161975+0.00816719j 0.00171069+0.0115097j 0.0104042+0.000164626j 0.000452699-0.0104436j 0.0031541-0.00190237j -0.00428618-0.00326804j 0.000460432+0.000795122j -0.00708488-0.00499893j -0.00778589+0.0039237j -0.00106763+0.0132496j -0.00753026+0.00164489j -0.00635426-0.00725859j -2.70017e-05-0.00149656j -0.00363251+0.0100066j 0.00871328-0.00133203j -0.0116639-0.00428015j -0.00760406-0.00490069j -0.0087149+0.00466012j -0.0143299-0.0080214j 0.00861416-0.00958231j -0.00646179-0.00437969j -0.00178868-0.0124554j -0.0117662+0.00964858j 0.00499349+0.0251585j -0.00677262-0.0136144j 0.00192587+0.00194438j -0.00208329+0.000612175j -0.000154099-0.00427158j -0.000977787-0.00249887j -0.00680768-0.000383168j 0.00435386+0.0101306j 0.0163285+0.00510682j -0.00537976+0.00872262j 0.00251026-0.00539613j -0.0116341+0.0144878j 
0.00489484+2.89022e-05j 0.00241972-0.00373838j -0.000548452-0.00129383j 0.00264946-0.00267806j -0.0102952-0.0100463j -0.0112279+0.0133556j -0.0012008+0.000983182j -0.000502306+0.00181001j 0.00361273+0.00980497j 0.00229145+0.00702439j -0.008119+0.00284518j -0.000371665+0.000746864j -0.0116663-0.0107242j -0.00885383-0.0110275j 0.00121251+0.0149733j -0.00154546+0.0011991j 0.0022875+0.000563407j 0.0110765-0.0139263j -0.000735897-0.0148861j 0.00503012-0.00917022j -0.0156049+0.00298845j -0.00246366-0.0107239j 0.01489-0.00107667j -0.0188289+0.00269032j 0.00310892-0.00280796j -0.00948645+0.000775832j 0.00800464+2.73471e-05j 0.00167538-0.000557486j -0.00330072+0.00547765j -0.0159723+0.000103955j 0.0063975+0.00185331j 0.0157488-0.00738055j -0.0191686-0.00549894j -0.00196815-0.00766028j -0.0112439-0.0114922j 0.0134983+0.00425248j 0.00617853+0.0064058j -0.00924274-0.0100464j 0.0113756-0.00251975j -0.00285003-0.00376194j 0.00623557-0.0171261j 0.00161674-0.00371181j -0.00431032-5.53003e-05j 0.00637032-0.00930424j -0.0317934+0.00253134j 0.024709+0.00113502j 0.00353248-0.0147159j 0.0288168+0.00624312j -0.0066177+0.00902043j 1.46432e-05+0.0108243j -0.0105173-0.0254391j -0.0104845+0.00783369j -0.017086+0.0139673j 0.0101886+0.00970976j 0.00910817-0.00300509j -0.0119712+0.0260636j 0.0220872+0.0217412j -0.0205768+0.0150701j -0.0141271+0.00795609j -0.0161665+0.00119324j -0.018783-0.0112673j -0.00469655-0.00357238j -0.00332968-0.00751998j 0.00134174+0.0111853j -0.00181714+0.00673015j 0.00496034+0.0121724j 0.00302961-0.0172581j 0.0154162+0.0019986j 0.00695819+0.00151231j -0.0110708+5.81214e-05j 0.00270517-0.0195989j -0.00851145-0.00478642j 0.015141-0.0138865j -0.0184854-0.0206667j -0.00766363+0.00267921j 0.00170687-0.00649861j 0.00190886+0.00915375j 0.00378784-0.00310217j 0.0202379+0.00346627j 0.00412686+0.00712096j 0.0234605+0.0183596j 0.0189655-0.0144804j 0.00388047-0.0105021j 0.00674041-0.0148508j 0.0053942+0.00491091j -5.91154e-05-0.0196442j -0.00239822-0.024288j 0.00727501-0.00237455j 0.00149779-0.00832936j -0.0104201-0.0133645j -0.00291722+0.00695866j 0.0138875+0.00614274j -0.00540695+0.00419618j -0.00554389+0.00343678j 0.00830465+0.00669272j 
0.00558168+0.000662159j 0.000393492-0.00487649j -0.000427422+0.00366566j 0.00467253-0.0116085j 0.00673992-0.00616261j -0.000200502-0.0118564j -0.0107387-0.0126716j -0.0173935-0.000620494j 0.0212117+0.00321013j -0.00286002-0.00414332j -0.00427147+0.00834717j 0.00464199-0.0107446j 0.0245595+0.00612828j 0.0129373-0.0149903j -0.00269674-0.0053532j 0.0114482-0.0095025j 0.00595286+0.00084572j 0.0182872-0.0297405j 0.00567973-0.0199372j 0.0175306+0.00769901j 0.0148136+0.00257527j -0.00755448+0.00220984j 0.00149071-0.000431305j 0.00756978-0.00217541j -0.013867+0.00638493j -0.00309779-0.000197804j 0.0194379+0.00256122j -0.00113321-0.00134459j 0.0290319+0.00736608j 0.00535325+0.000694718j 0.0152334+0.00107843j 0.00762231+0.00192153j -0.0158279-0.00182919j 0.0116582-0.00396952j -0.0310141+0.00207644j -0.00108285+0.000308017j -0.00960639+0.00370418j 0.00901212-0.00520533j -0.0032352+0.000175798j 0.00137373+0.00476621j -0.00709621+0.000446418j 0.000526625+0.000728947j 0.00467018-0.00438173j 0.00611934+0.00359851j 0.00270043+0.00688205j 0.00122936+0.00357847j -0.00977411+0.0145943j -0.0042639+0.00131453j 0.000129781+0.00379495j 0.00897477+0.0124377j 0.00845582+0.00471534j 0.00121374-0.00573141j 0.00132541-0.00255484j 0.00564506+0.00207913j 0.0040113-0.00391475j 0.00269545+0.00317207j 0.00193582-0.00107995j 0.0176891-0.00835523j 0.0110405-0.00117957j -0.000715392-0.00168482j 0.0126637+0.0100715j 0.00790048+0.00896618j 0.0128489-0.000482855j -0.0042456-0.0075685j 0.000573484-0.00129065j -0.00634971-0.00402482j -0.000824763+0.00467749j -0.0078104-0.00655248j -0.00198037-0.000821161j 0.0103089+0.00329216j -0.00125697+0.0143558j 0.00283564-0.00269927j 0.0153989-0.00267338j 0.00282759+0.00456161j -0.0102523-0.00673695j 0.00412971-0.0132394j -0.00393001+0.00433714j -0.0138221+0.00507494j -0.0055615+0.00603041j 0.00818878+0.0161585j -0.00680002-0.00046069j -0.0137127-0.00656314j -0.0014729+0.00562675j 0.00370148+0.0162295j 0.0120799+0.00658321j 0.0038042+0.011741j 0.000371965+0.00957182j 0.00397702-0.00644673j 0.000480103-0.00825407j -0.015945+0.0107176j 0.00979257+0.013612j 0.00259487-0.00753021j -0.00300531+0.0168488j 0.00211302+0.0136233j -0.00146056-0.000550104j 
