-0.000690316-0.133775j 0.213447-0.146937j 0.336299-0.0676773j 0.310649-0.223832j 0.112873+0.379745j 0.159742-0.150209j 0.317854-0.27974j 0.0354961-0.24627j 0.456869+0.239233j 0.168658-0.730758j -0.134479+0.338957j 0.143762+0.0992988j 0.183723-0.42602j 0.940887-0.749968j -0.538049+0.242928j 1.09344+0.0220041j 0.217176-0.17285j 0.310609+0.357985j -0.245669+0.00804082j 0.742728+0.695942j -0.878689-0.843483j -0.109269+0.328677j 0.179681-0.27483j -1.01197+0.433252j -0.258211+0.127978j 0.242442+0.53253j 0.653381+0.0770575j -0.184814-0.673492j -0.0659616+0.675965j -0.0424038+0.248528j -0.217044+0.227867j -0.205344+1.12661j 0.384921+0.0750663j 1.04162-0.651653j -0.517956-0.342723j -0.0296514+0.493145j 0.263351-0.730834j 0.0632975+0.366584j -0.271062+0.00186029j -0.467977-0.302488j -0.194159-0.268027j 0.336949+0.818603j -0.0923299+0.922002j 1.35333+0.169541j -0.351744-0.246731j 1.02705-0.960722j -0.591481-0.0255282j 0.358913-0.817219j 0.39577+0.367718j 0.318358+0.768064j -0.740792-0.626849j -0.0371084-0.783602j 0.328844+0.651178j 0.977971-0.0178155j -0.102737-1.24989j 0.825941+0.598063j -0.193861+0.368841j -0.981109+0.490907j 0.556585+0.159137j -0.318206-1.15825j -0.135351-0.507445j -0.30348-0.523621j -0.296527+0.603882j 0.00435447+0.836188j -0.284334+0.424286j 0.252161+0.125174j 0.00691091-0.255155j -1.15809+0.362271j -0.566707-1.88049j 1.68625-0.867934j 
-0.0501167-0.308548j -0.28024-0.483159j -0.544545-0.433647j -0.602989-0.420853j 0.593168-0.38873j -0.597881-0.257757j -0.551149-0.827277j -0.420286-0.108016j 0.113697+0.174898j 0.684251-0.0327333j -0.202053-0.0423969j -0.175313+0.255672j -0.380195+0.135022j -0.428727+0.125518j 1.54712-0.0696431j -0.531526+0.243122j -1.32321-0.0487785j 0.4372-1.08883j 0.538382+0.325396j -0.448084-0.154461j 1.17676+0.562149j 0.266314+0.485921j 0.21728-0.677375j 0.589876-0.971453j -0.281952-1.06088j 0.08777+0.591037j 0.719292+0.794063j -0.341444-0.500358j -0.00201484+0.306145j -0.28306-0.117938j 0.265945+0.246786j 0.0660445+0.187168j 0.089574+0.167127j 0.293109+1.12435j -1.42607-0.248575j 0.633105+0.0758278j 0.337937-0.124193j -0.515849+0.19173j 0.0868333-0.0317319j -1.21594-0.11554j 0.202605-0.138519j -0.364214-0.211337j -1.0698+0.250818j 0.203409-1.05077j -0.060877+0.615708j 0.547135+0.408062j -0.0536007+0.535909j 1.15418+0.175656j 0.43384+0.541563j -0.077481-0.560684j -0.458675-0.212382j -0.213317+0.232862j 0.233086+0.0400761j -0.238573+0.729336j 0.164254+0.0161756j 0.703401+1.07311j 0.395455-0.369016j -0.561058+0.732417j 0.263889+0.5087j 0.327667-0.857337j 0.0410457+0.703493j 0.712143-0.637037j 0.695737+0.282663j -0.207639+0.405212j 0.286879+0.496246j 0.566189-0.531985j -0.214804+1.2106j -1.82525-0.470163j -0.0189816-0.325402j -1.15339+0.725378j 
-0.343406+0.0144613j -0.142218+0.48854j -0.282457+0.570287j 0.996357-0.11415j 1.30185+0.324154j 0.609708+1.2111j -0.170221+0.0129157j 0.0328554-0.197735j 0.124178-1.23578j -0.107143-0.3143j 0.107426+0.281627j 0.773215+0.813299j -0.034193-0.694363j -1.11484+1.53635j -0.59564-0.08268j 0.802906+0.253618j 1.10601+0.265685j 1.04503+0.336131j 0.464726-0.0300822j 0.0332088-0.161209j 0.742111-0.236553j -0.295723+0.309501j -0.0190735-0.412047j -0.0182547+0.486338j -0.0755152+0.254511j 0.0701809-1.54538j 0.769036+0.0107207j 0.0882505+0.282262j -0.0646975+0.00996904j -0.642798-0.745737j 0.870412+0.541463j -0.888082+0.653664j -0.339373-0.881542j -0.280695+0.0123423j 0.0673884+0.145676j -0.212798+0.769137j 0.891137-0.714783j -0.625149-0.0915779j 0.174044-0.0408385j 0.156648-0.24858j 0.68777-0.487359j 0.159433-0.488122j -0.329638+0.37536j -0.0912574+0.214097j 0.400455-1.47624j -0.337136+0.105095j 0.400755+0.584479j -0.358782+0.914646j 1.10352-0.295783j 0.225551-0.365861j 0.153125-0.428919j 0.626497-1.0466j -0.265297+0.426741j -0.394492-0.54005j -1.0501+0.860249j -0.211782+0.539433j -0.153368+0.653854j -0.181963+0.865587j 0.378074-0.474839j 0.402651-0.195624j 0.521095+0.941482j 0.210951+2.12922j 1.11632+0.797951j -0.385183+0.119771j 0.863113+0.964857j -1.59619+0.262587j -1.12106+0.930255j 0.225993+0.15969j -0.0566666+0.15145j 0.670545+0.14947j 
-0.538232+0.162928j -0.305956+0.913193j -0.747977+0.715247j 0.115085-0.34449j -0.923718+0.225769j -0.249653+0.510068j 0.505933+1.8186j 0.22646+0.965335j 0.124068-0.248985j -0.707874+0.408899j 0.490612-0.31626j -0.959377+0.105539j -0.416092+0.814732j -0.444818+0.148231j 0.460152+0.543292j -0.257008+0.339359j 0.0632719-1.36671j 1.11896+0.375673j 0.0256564-0.150825j -0.984669-0.437059j -1.07134+0.321665j 0.828303-1.43999j 0.392969+0.153324j -0.465638+0.35288j -1.00666+0.434115j -0.282183-0.105968j -0.452784+0.278894j -0.709351-0.215848j 0.532683+0.8724j -0.400969+0.895121j 0.183257+0.604328j -0.729842+0.859725j -0.395177-0.493315j 0.143402-0.236842j 0.602402-0.414709j 0.663321+0.254268j -0.0038679-0.0638252j 0.498239+0.908762j 0.709074-0.656065j 0.25718-1.26037j 0.349398-0.390373j -0.695901+0.811147j -0.905872+0.563278j -0.097582+0.107599j -0.356353-1.58779j -1.14041+0.440803j 0.0986164-0.198317j 0.550263+0.819962j 0.886637-0.126775j 0.67446-0.121442j 0.950544-0.384128j -0.214182-0.363535j 0.96938+0.690221j 0.289122+0.49787j 0.049927+0.247015j 0.413342-0.222372j 0.712713+0.526096j -0.463154-0.74274j 0.733616-0.610464j 0.323523+0.401679j 0.347796+0.867707j -0.26443-0.194512j -0.357639+1.0386j -0.603463+1.41832j -0.0521818+0.969771j 0.826899+0.289305j 0.0101342-0.548084j 0.702377+0.506973j 0.347797+0.938111j 0.432846+0.278581j 
-0.772998-0.0421755j 0.0805106+0.0648665j -0.164655+0.181321j 0.903309+1.20833j 1.95233+0.412029j -1.02444+0.294784j 0.456878-0.0203376j -0.940638+0.526578j -0.580346+1.91624j -0.73584-0.136751j 0.57509+0.248983j -0.212687+0.220922j -0.0585649-0.81224j 0.589341+0.757154j -0.405228+0.00050687j -0.991684+0.0596814j -0.633381-0.134053j -0.636125+0.37313j 0.592954+0.312734j 0.0680265-0.501124j -0.219329+0.215163j 0.844532-0.813011j -0.382732+0.263495j -0.500689+1.03383j -0.397243+0.69845j 0.347055-0.297977j -0.295773-0.237899j 0.00406156+0.232548j -0.53643-0.525955j -0.532956+0.761259j 0.124201-0.633918j 0.13483+1.17842j 0.649967-1.02818j 0.785491+0.0708488j 0.448701+0.176817j -0.527621+0.0376293j -0.182767-0.672124j 0.349886+0.501824j 0.88586-0.853977j 0.716029-0.882648j 0.382892-1.78845j 0.0102461-0.0871711j 0.131529-0.0385646j 0.56935+0.649056j 0.35102-0.329658j -0.115224+0.545008j 0.0617277-0.178616j 0.0522147+1.24364j -0.460724-1.75181j -0.682193-0.335372j -0.360992+0.0356941j 0.330603-0.697121j 0.761736+0.602453j 1.20849-1.40411j 0.805592+0.807917j -0.804373+0.560827j 0.935993+1.34272j -0.00807119+0.852358j -0.955398+0.034879j 0.00366869-0.183646j 0.192128+0.0937919j -0.173112-0.881394j -0.140347-0.0517077j 0.198861-0.26628j -0.80021+1.55303j -1.24858+0.208377j -0.878678-0.170316j 0.114342+0.331757j 0.093121+0.409131j 0.202276+0.0198554j 
1.16999+0.971966j 0.390113-0.352089j 2.20096-0.0247593j -0.114269+1.757j -0.376397-0.760699j -0.452753+0.513307j -0.371996+0.191946j -0.78471+0.539049j -0.628061-0.26557j -0.117781+1.08047j 0.619816+0.781843j -0.408754+0.152145j -0.476613-1.2057j -0.395347-0.662522j 0.467595-0.843383j 0.116176-0.95765j -0.374358-0.162962j 0.211351-0.693194j -0.0723858+0.588648j 0.421008-0.0612876j 0.0611514-0.956178j 0.358694+0.347653j 1.15504-1.05096j -0.219225+0.118412j 0.529277-1.15272j -0.0474663+0.895079j -0.00312639+1.06971j -0.860702-0.519689j 0.0528025-0.356032j -0.462438-0.855872j -1.04668+0.886997j -0.165205-0.925349j 0.59873+1.00444j 0.290929+0.745823j 0.81623+0.364135j 0.555125-0.916257j 0.157121-0.473212j -0.129622-0.563422j 0.146387+1.11182j 0.384457+0.2232j 0.362655+0.391882j 0.0926348+0.146307j -0.355634+0.0682642j 1.05492-1.04407j 0.156594+0.970313j -0.0888098+0.418161j -0.882911-0.491132j 0.192233-0.0345968j 0.141679+0.370782j -1.3518+0.834574j 0.453338-0.174222j 0.450183+0.162344j 0.511325+0.210775j -1.27279+0.792568j -0.368349-1.01834j 1.47867-0.137729j 0.566976+0.160421j -0.392025-0.349214j 0.202987+0.929545j -0.15322-0.0904553j -0.671585-0.588114j -0.216867-0.318673j 0.438255-0.410283j 0.578893-0.795495j 0.506293-0.438717j -0.647366-0.373459j 0.506688-0.520576j 0.628912-0.334199j 0.400718-0.443078j 0.0483066-0.253241j 
-1.54477-1.84626j 1.58822-1.7124j 0.720791+0.911113j 0.227111-0.204858j -0.230437-0.091823j -0.0264931+0.325837j -0.29368+0.682177j 0.21596+0.453582j 0.576081-0.412098j 0.178239-0.331637j -0.251435+1.25414j -0.480912+0.199224j -0.860058-0.477916j 0.105833+0.19188j 0.780442-0.396892j -0.0819772+1.34385j 1.04192-0.250266j 0.293625-0.311928j 0.177869+0.67331j 0.662402-0.66972j -0.189879+0.812462j 0.376614-0.78978j 0.610183+1.03362j 0.571079-0.0136296j 1.34756+1.03656j -0.444411-0.0576042j 1.21573-0.337745j -0.171952-0.962032j -0.190155+1.02694j 0.229735-0.234326j -0.584973+0.390655j 0.303003+0.115709j -0.00158615+0.112089j 0.450342+0.628253j 0.655514-0.322784j -0.0848659-0.344974j 1.08553+0.489124j -0.44319+0.183259j 0.459548+1.06138j -0.255919-0.358591j 0.216832+0.0776254j 0.0943085+0.727504j -0.161556+0.808054j 0.436764-0.115882j 0.323384-0.966861j -0.297268+0.137925j 1.10476+0.181925j 0.235514+0.582208j -0.159728-0.624435j 0.952709-0.943702j -0.801441+0.633663j -0.237351-0.274591j 0.427095-0.239331j 0.274946+0.0395345j 1.26893+0.0767608j -0.552183-0.162298j -1.05263-0.803773j 0.12699+0.536444j -0.202735-0.0175204j -0.136567-0.380035j -0.228966-0.71516j -0.48651+0.319533j -0.0151506-0.231054j -0.343773-0.346115j -0.169677-0.0783042j -0.192334+0.377458j -0.286149-0.290072j -0.329971-0.111991j -0.218819-0.156561j 0.0537581-0.169759j 
0.127838+0.0965188j -0.0692108+0.300615j -0.238621+0.392885j -0.0933972+0.416018j -0.26166-0.208361j -0.146981+0.107765j -0.32101+0.439771j 0.0335957+0.222493j -0.351416-0.366709j -0.127493+0.705149j 0.0378832-0.321693j -0.278216+0.224023j 0.128087+0.224236j -0.816389+0.926317j 0.178207+0.00948365j -1.02448+0.310709j -0.354293+0.0577071j -0.518141+0.0980043j -0.180317-0.455406j -0.244175+0.0475664j 0.604624+0.287305j -0.152623-0.644822j -0.013696+0.56745j 1.21181+0.200158j 0.610847+0.68237j -0.501751-0.378543j 0.411296-1.23018j -0.0525814+0.832636j 0.236219-0.60178j 0.416806-0.414635j 0.352588-0.176218j 0.451658-1.26152j -0.361149+0.0543885j -0.648513-0.330253j -0.29887+1.68758j 0.129814-0.194035j -0.951424+0.391004j 0.104304+0.7701j 0.528426+0.184499j 0.866281+0.830816j 0.206923+0.334369j -0.0623014-1.3795j -0.0710142-0.745606j 0.214239-1.33167j -0.162127-0.590541j -2.11473+0.702821j -0.277926+0.537984j -0.671551+0.956679j 0.0358787-1.16968j 0.684738+0.328094j -0.369521-0.588338j -0.752822+0.672222j 0.613374+0.371366j -0.179604-0.267281j 0.419398-0.661919j 0.544125+1.38418j -0.565188+0.648555j -0.911767+0.431366j 1.01417+0.212064j -0.103315+0.537421j 1.05118-1.03675j 0.959306-0.911727j -0.103302+0.788685j -1.69795-0.0898516j -1.3562+0.17134j -0.251186+0.465344j 0.899256+0.448739j -0.605464-2.45123j 3.53414+0.211756j 0.259571+3.24692j 
0.182265+0.143103j 0.628104+0.294221j 0.773338+0.290675j 0.576899+0.479938j -0.494825+0.201341j 0.318604+0.418534j 0.304696+0.176797j 0.122758+0.387456j -0.241821+0.676434j 0.212203+0.01044j -0.364992+0.14758j 0.982018-1.21151j 0.724739-0.155012j 1.42497+0.163811j -1.14807-0.936838j 1.06638-0.615038j 0.83493+0.729971j -0.385023-0.45056j -0.767431-0.322192j 0.111352+0.390131j -0.422662-0.847816j -0.60038+0.231121j 0.788137-0.41873j -1.45459+0.423696j -0.453791+0.138968j -1.60043+1.22958j -1.10865+0.364127j 0.531827-0.560268j 0.61158+0.262255j 1.36231-0.325799j -0.573321+0.887363j 1.04557-1.01831j -0.872749+0.314201j 0.640805+1.23753j -0.0166361-1.1907j -0.455345-1.20422j 0.659851+0.600394j -0.0972353-1.28912j -0.958923+1.08669j -0.302755+1.72046j -1.02216+0.549068j -0.892202+0.543335j -0.308098+0.22646j 1.41306+0.389769j -0.602988+0.563671j 0.252855-2.1477j -1.33535-0.276443j 0.0318015-1.22146j 0.602249+0.0420928j 0.557517+0.920069j -0.188981-0.963022j -0.736532+0.680569j 0.452808-0.429765j -0.488859-0.551776j -0.155009-1.23135j 0.590368+1.19597j -0.0395655+1.27958j -0.0248052-1.0683j -0.247682-0.934624j -1.74353-0.559428j 0.166348-0.534001j 0.0441671+0.916973j 0.425891+0.562367j -1.92393-0.254839j -0.317087+0.945129j -0.00807187+0.938591j -1.22894-1.75009j 1.60996-2.36255j 0.886892+0.214676j -0.355951-1.95165j 
0.503304-0.229024j 0.452087-0.729898j -0.267446-0.399983j -0.711004-0.377135j -0.485857-0.0180812j -0.154142-1.46084j 0.35228-0.342057j 0.717021-0.620305j -0.943218+0.867374j 1.16046-0.169447j -0.0742027-0.164109j -1.81812+0.435815j -0.861592+0.248329j 0.920083-0.0145662j 0.840793+1.28841j -1.84869+1.26415j 0.26238-1.81675j -0.670958+1.27686j 1.22618-1.013j -1.30169+0.388563j -0.305618+0.0280039j 0.691557-1.33236j -1.46939+2.10962j 0.119437-0.225191j 0.661088+0.070849j 0.917069-2.17943j 0.996722+1.52536j 0.0082689-0.108952j -1.00118+0.0524469j -0.597436+1.52704j 0.246889-0.105814j -0.54356+2.53279j 1.49061-1.89121j -0.264348-0.433034j -0.771999+1.22923j -0.0166465+1.02504j 0.643153-0.092066j -1.99107+0.833684j 1.53591-1.95963j 0.313261-0.659764j 0.917605-0.683017j -1.41139-0.25571j -0.836424+0.571297j 0.422189-0.845328j 2.29216-1.67299j 0.594437+1.03467j -0.430577-0.821671j -1.45813+0.694416j 2.28743-1.3702j 0.348224-0.924622j 0.17293+0.443453j -0.0717882-0.459753j -1.01353+0.699466j 1.95673-0.90642j -0.970417+0.468413j 0.410888+1.93906j 0.0587794-1.08069j 0.465525-0.102151j 1.74866-1.37633j -1.76805-0.794374j -1.76277+2.23698j -2.10261+0.041274j 1.00716-0.535526j -0.49758-0.972924j -1.60424+1.49327j 1.12945-1.63988j -0.271857-2.21719j -0.0966878+0.149239j -0.12598-0.269821j -0.756709+1.23219j 
0.232521-0.43508j 0.470985-0.54839j 0.240763-0.25415j 0.162677-0.785427j 0.960024+0.656766j 0.995571-0.914146j 0.746665-1.09559j -0.0239455-1.23313j 0.430299-0.343478j -0.120843+0.0910516j -0.0495897+0.171279j 0.172702+1.59806j -0.113256-1.35097j -1.2634-1.23031j 0.171092+0.736104j -1.09959+0.346949j 0.0896691+0.389507j -0.183681+0.275734j 1.20985-0.531195j 1.50955-0.66536j 0.293391+1.78384j 0.0519842-0.922453j -0.858849+0.677402j -0.359858-0.104896j 0.0850953+0.281363j 0.571397-2.07874j -1.14372+0.283291j 0.231396-0.26579j 0.186083+0.741692j -1.17549+0.812232j -0.170956-0.861805j 0.200218+1.33655j 0.576473-1.54775j -0.259223+1.38306j 0.952845+0.629805j -0.605099-1.16751j -0.339587-0.745431j -1.08267+2.20918j -1.03548-1.2104j -0.916985+0.843555j 0.0163355-1.68332j -0.343743-0.701323j -0.968888+0.873691j -0.08947+0.914702j 1.16452-1.26116j -0.756951+1.68153j -0.754302+0.346882j 0.240512+1.28584j 1.71663-1.53581j -1.70673-0.320325j -0.818862-0.0730839j -0.733128+1.16451j -2.15026-0.00296758j -0.779164-0.438355j 0.23203+0.192736j -0.731327+0.223172j -0.40694+0.52577j -0.78652-0.151063j 0.150911-0.101046j 0.245961+0.154636j -1.76012+0.34626j 0.368462+0.984576j -0.0900799-0.0145453j -1.86561-1.94507j -0.566402-0.146299j -1.114+1.36778j 0.931879+0.666339j -1.20762+0.128744j -1.15328+0.0900205j -0.650826+0.722722j 
