0.0498964-0.0983147j 0.073635+0.0333659j 0.0341221+0.0963857j -0.0877643+0.119731j 0.00988078-0.0125265j 0.0461383-0.0377686j 0.0235369+0.041417j -0.0103438-0.0137j 0.000237591+0.0577836j 0.15097+0.0935296j 0.0605069-0.126996j 0.0894207-0.0605459j 0.0571807+0.0671466j 0.0304422-0.0108151j 0.154537+0.0789684j 0.00442402+0.039693j -0.00150495+0.0199039j -0.0190333+0.0737639j -0.122218+0.0027791j 0.0757089+0.0298225j 0.0544892-0.154881j 0.0061381-0.0139909j -0.0308364-0.00108932j -0.0151743+0.0248683j -0.01973-0.0920241j 0.0172919-0.0143729j 0.0418871+0.0212169j -0.00135148+0.0887109j -0.00378374-0.0414297j 0.00265564+0.0474047j 0.0604476-0.0289785j 0.0439176+0.0683971j 0.0469255+0.00725933j 0.0112847+0.00539894j -0.0906279+0.0346376j -0.0830331+0.0267206j 0.0983615+0.131188j 0.00397513-0.10641j 0.044831+0.108038j -0.124522+0.102816j 0.0355372-0.00792964j 0.0154175+0.0179681j -0.0482294+0.026558j -0.114473+0.0819179j 0.0506976+0.0120389j -0.0275889+0.0473156j -0.00312686-0.126898j 0.00365938-0.0268711j -0.0145202-0.036363j 0.106791+0.0429199j 0.0788414+0.0636669j 0.0609699+0.0523186j -0.0383471-0.0257581j -0.0765797+0.093209j -0.0584335-0.0144095j -0.0986256-0.14159j -0.126609+0.0509396j -0.108349+0.0138938j 0.00215231-0.0848641j -0.022223-0.0393431j 0.0847945-0.0473044j -0.0872938-0.115834j 0.0582406-0.0815648j -0.0323135-0.0492647j 0.00416364-0.192323j -0.1579+0.0200491j 0.135989-0.0363946j 0.0207708+0.0661539j -0.00755823+8.04346e-05j 
0.101463-0.108627j -0.101735+0.0218045j -0.000555472-0.0406032j -0.0124831+0.102716j -0.0214328-0.0415606j 0.0982131+0.0719106j -0.0878151+0.152349j 0.00609936-0.00353957j 0.0188465-0.00605736j 0.151773+0.0645719j -0.0634093-0.0144899j 0.129107-0.0551568j 0.0076856+0.0312047j -0.0318452+0.0451028j 0.115325-0.0695824j -0.0394802-0.0994264j -0.0079933-0.0560379j 0.103452-0.0414429j -0.00403818-0.0746129j 0.145714+0.132373j 0.0740419-0.0384098j 0.0207547+0.153003j -0.00401309-0.0324488j 0.0381272+0.109747j 0.0495708-0.0512551j 0.0745676+0.0104787j -0.0424199+0.0315164j 0.00614553+0.124436j -0.132857-0.131115j 0.0565128-0.0256057j 0.0247136-0.0831373j 0.0349664+0.0398409j 0.0510527+0.0906776j -0.00405508+0.0311097j 0.102033+0.00935668j -0.125676-0.02431j 0.00423586+0.00861112j -0.0465678+0.0769448j -0.0403473-0.017995j 0.0753098-0.0823968j -0.0500281+0.13384j 0.0406264-0.090399j 0.01869-0.0215769j 0.0956474-0.0359643j 0.128778+0.00707532j -0.0332238+0.06947j 0.0258749-0.0789229j -0.00915909-0.0953324j -0.063194-0.0221727j -0.0648004-0.076803j -0.0870351-0.0810339j -0.0794034-0.0895493j 0.110736+0.0196406j 0.00674908-0.040601j 0.0107437+0.0297922j 0.0856063-0.046218j -0.129191-0.0556133j -0.051887+0.105486j -0.0403478-0.0312235j -0.0285297-0.00280981j -0.028841+0.0288764j 0.0430255+0.0721391j -0.0627065+0.0389001j 0.0219151+0.0460133j -0.00905632+0.119264j 0.1215-0.0278273j -0.0541302-0.0158643j 0.0249148-0.0276157j -0.00949716+0.0111985j 
0.146342+0.134903j 0.0749892-0.0218629j -0.179717+0.126183j 0.0613581+0.0184193j -0.0258606+0.0173837j 0.0435392+0.149539j -0.0970695+0.0697737j -0.0473399+0.00100633j 0.089899+0.108849j -0.0502961-0.0532456j -0.0105512+0.0432225j -0.0317379+0.0930563j 0.0194806-0.0963526j 0.0940898+0.0171731j 0.0908185-0.0535032j -0.0438747+0.00179516j 0.0266952+0.186028j 0.029433-0.0225756j 0.0785209-0.00891107j 0.0235862+0.00585945j -0.0635213-0.107435j 0.0281661+0.130948j 0.0188277-0.0435947j 0.0180471+0.118623j -0.0144236-0.028396j -0.102926+0.0686569j -0.0894187+0.164456j -0.0857405+0.00493549j -0.204789-0.000108723j 0.0919182-0.0530989j -0.0449042+0.0145656j -0.00452479-0.109872j -0.0793725+0.0616007j -0.0669691+0.00289592j -0.0396419-0.0593622j 0.135687-0.00893012j 0.00833953-0.0784018j -0.0741864-0.0904517j 0.00153676+0.045835j -0.034823-0.0245109j -0.0235478+0.027567j 0.0909856-0.0121697j -0.00429372+0.0245284j -0.0495613-0.00559673j 0.108429-0.0842454j -0.0197719-0.0309096j 0.0454125+0.105067j 0.0204787+0.108693j -0.101775-0.0576203j -0.0127583+0.00755655j -0.0534304-0.0636866j -0.0252369-0.0198136j -0.00805569+0.039792j -0.089002+0.0837712j -0.13646+0.0196199j -0.0477307-0.0297045j 0.100439+0.0369735j 0.050227-0.142766j 0.0616575+0.0379505j 0.0421637-0.00687835j -0.0198603-0.0142728j -0.0325558-0.0381867j 0.0293632-0.0248862j 0.00288854-0.000893919j 0.00737189-0.0554753j -0.0608848+0.0114072j 0.0128147+0.0275328j -0.0295736+0.0101345j 0.00894362-0.0109187j 
0.000633986-0.0279196j 0.0109382+0.0392042j -0.071634-0.0102878j -0.0397957-0.128923j 0.0225308-0.0147586j 0.0356426-0.0523302j 0.0138758+0.0927296j 0.0232548+0.00918196j -0.0532788+0.0617189j 0.00521946+0.0259974j 0.143287-0.0561237j -0.0100382+0.0520694j -0.133122-0.0929083j 0.000838391-0.101254j -0.0437162+0.0304272j 0.0290698-0.0346278j -0.0156547+0.11798j -0.0123652+0.062188j 0.0191486-0.0497192j 0.0405574+0.0611981j -0.0538343+0.00193012j 0.0342725+0.0122313j -0.0187779+0.00420302j 0.0448933-0.0117249j 0.0462657+0.0173507j -0.0278865-0.0671635j 0.0351775-0.0789679j -0.00890287-0.0451989j -0.0158723+0.00411869j -0.00832776+0.00624466j -0.0320451-0.091371j 0.112561-0.0308585j -0.00060181-0.0386424j -0.0280505+0.132397j 0.183052-0.0478381j 0.00553475+0.147698j 0.120073+0.0313316j 0.00991793+0.012885j 0.0405257-0.0799773j -0.0205241+0.0110261j -0.0224709+0.0332794j 0.0742658-0.0288486j 0.047591-0.005465j -0.0264207-0.0411019j -0.0203865-0.0106953j -0.0384579+0.00918227j -0.0497034-0.00755029j 0.0228425+0.00181375j -0.0147898+0.0257799j -0.00777409+0.0544803j 0.030446+0.00956685j 0.105249-0.0117383j 0.056479+0.0496295j 0.0751667+0.0309282j -0.00128084-0.0048972j -0.037-0.0298859j -0.0189535-0.0946012j -0.0774085+0.100447j -0.112414-0.0378706j 0.133408+0.0475667j -0.000537818-0.180308j 0.011051-0.0237803j -0.0121313+0.0455533j -0.0301865+0.00294271j -0.00407654-0.0015118j 0.0453963+0.112834j 0.0449563+0.222141j -0.279784-0.0148222j 0.101115-0.165505j 
0.0156355-0.0334727j 0.0402251-0.11906j 0.0524137-0.00836645j 0.00292147-0.0194716j -0.0228431+0.0381963j -0.057216-0.0366181j -0.0337204+0.032356j -0.0107042-0.0381402j 0.0420704+0.0437113j 0.0348699-0.0286483j 0.0180376-0.0541253j 0.0442895+0.0727472j 0.15999-0.0766277j -0.0342027+0.267564j -0.152333-0.00346083j 0.0650016-0.0888412j 0.00729918-0.0201785j 0.0452042+0.0723017j 0.0279086-0.0665466j 0.0147066-0.0550068j 0.0360703-0.0246281j 0.098404+0.0138416j 0.0818464-0.0188812j -0.00883112-0.0242154j -0.0805033+0.0332981j -0.0162196-0.0589606j 0.0701328+0.0176557j -0.0256006+0.0791088j -0.0494581-0.00299044j 0.111233+0.0276382j 0.11641+0.183756j -0.0206659+0.0627907j -0.0596694-0.120111j 0.0864028+0.0643112j 0.0170926+0.012705j 0.0319472+0.00245759j 0.106838+0.00974203j 0.0120794+0.0247306j -0.142147-0.0334249j -0.0832355+0.00568074j -0.0102827-0.0444581j 0.0248174-0.0733607j -0.134264-0.162814j 0.0930658+0.0968871j -0.00287335-0.0475472j 0.0928987-0.0201875j 0.0810486+0.0729704j 0.0145211+0.0864236j 0.00652528-0.0492116j 0.125901-0.15352j -0.0517333-0.00560107j -0.0256594+0.112483j 0.0178881-0.0211331j -0.130971+0.0664621j 0.173352-0.0122658j 0.0210622-0.0560324j 0.0858697-0.0789418j -0.0425914+0.0901845j -0.0884208-0.00074421j -0.0212933+0.0211374j 0.00126781-0.0029936j -0.0127112+0.00918733j -0.0122621-0.00113822j 0.0147824-0.0113901j -0.00837577-0.00541392j 0.0107197+0.0104653j 0.0124946+0.022856j -0.0275527+0.0018898j 0.0079816-0.023237j 
-0.00268529+0.000667602j -0.00361863+0.00155244j 0.00502405-0.00736933j 0.0167829-0.0211871j 0.00326189-0.00615583j 0.00206819+0.00366551j -0.0171412+0.00928853j 0.00569783+8.07868e-06j -0.0056764-0.00900981j -0.00418368-0.0041586j 0.0166543-0.0198512j 0.002969+0.00524351j -0.0270828+0.000814541j -0.0194367-0.00120303j -0.000782464-0.0294765j 0.0133746-0.00483795j -0.000982534+0.00390908j 0.0127585+0.000831748j 0.00978303-0.0133078j 0.00938885+0.0148672j -0.00674814+0.0100419j 0.00132306+0.00647832j 0.00639663-0.0188955j 0.00311389+0.00852612j -0.00856535+0.018106j -0.00548728-0.0149396j 0.00340258-0.00515833j 0.00735752-0.0246522j 8.23636e-06+0.00241565j 0.00348289+0.00055246j -0.000947392-0.0104117j 0.00559698+0.0146588j -0.00907176-0.000821083j 0.0134725-0.00700687j -0.00950391+0.00388056j 0.000914776+0.00292106j 0.00899935+0.00388662j -0.0109774-0.00197659j -0.00181469-0.0198518j 0.0114503-0.0234946j -0.0190082-0.0263942j 0.00694318+0.0120794j 0.00684133-0.00761335j 0.0290293+0.0077168j 0.00478891-0.011779j 0.00411842+0.0101026j -0.00575038-0.000984229j -0.0140442-0.0142925j -0.0153434-0.00590026j -0.0223812-0.0225755j -0.00070416+0.0105038j -0.00173415+0.00762964j -0.00721781+0.000412497j 0.00855777+0.00549346j 0.0521863+0.00347996j 0.00375101-0.00399014j -0.0103226+0.00946282j 0.0131103-0.0106692j 0.021763+0.00619999j 0.00467102+0.00113108j 0.0130203-0.0310554j 0.0109307+0.0289474j 0.0166327-0.0244159j 0.00175059-0.0304442j -0.0029755+0.0125957j -0.0391826-0.0175172j 0.023928+0.0249247j -0.0259025+0.0195817j 0.00723944-0.00812535j 
-0.000515977+0.0105693j 0.0020641-0.00891669j -0.00645692-0.0037042j -0.00850853-0.00072566j -0.00239429-0.00304115j -0.00105788-0.00530188j -0.00920428+0.00918306j 0.00394747-0.000716425j -0.0117562+0.000219124j -0.00864419+0.0080959j 0.000177432-0.00925339j -0.000232112-0.0100448j 0.00161504-0.0221999j 0.00706927+0.0102636j -0.00836906+0.0130222j 0.000311555+0.0057951j -0.0107474-0.00698359j -0.00447789+0.0112861j 0.00265098+0.0123411j 0.00782431-0.0105264j -0.00724182+0.0110388j 0.00701017+0.00756528j -0.00749656+0.00374865j 0.0224424+0.00482989j 0.0231879+0.0025518j -0.0085562+0.00039949j -0.00888707+0.000356208j 0.00675705-0.00474752j 0.00452943-0.0100597j 0.00404049+0.00995354j -0.0027938-0.00664308j -0.0136161-0.000993021j -0.0103872+0.00503715j -0.00179038+0.0239123j 0.00927517-0.00168138j -0.000691802+0.0121961j 0.0172868+0.00255926j 0.0126534+0.00145881j 0.0100057+0.000349569j 0.00544825+0.000690738j 0.0149979+0.00383327j -0.0113687-0.000529224j 0.0275548+0.0107757j 0.0202807-0.0269229j 0.00357507-0.0152039j -0.00124653+0.00127467j 0.00194164+0.0188118j 0.0136966+0.0155112j 0.00251209+0.00580954j 0.00815099+0.0177199j -0.00122634+0.00454403j 0.0276467-0.00122372j 0.013324+0.00034177j -0.00568021+0.00325807j -0.00949901+0.0183945j -0.00515653-0.00147039j 0.00456679-0.0129176j -0.0141373+0.0140397j -0.0133718-0.0086615j -0.00187781+0.00137707j -0.00200788-0.00268008j -0.000293518+0.000511387j 0.00918889-0.000274954j -0.00127363-0.00242522j 0.00143123+0.00130522j -0.000382912+0.0025387j 0.00544881+0.0118939j -0.0120033+0.00647587j 0.00183976-0.00919526j 
0.000567149+0.00392983j -0.0017751+0.0111783j 0.00198859+0.00587826j -0.00461214+0.00236617j -0.000794857-0.000154661j -0.010828+0.000374153j -0.0035066-0.00195007j 0.0018418-0.00644112j 0.0166299+0.00252256j -0.00281415+0.00555102j 0.00874913+0.0177626j 0.00314145+0.00742667j 0.00531484+0.0215869j -0.0126798+0.0112969j 0.00822429-0.000485532j -0.00823595+0.00735141j 0.010179+0.0137483j 0.013155+0.00244474j 0.00489968-0.00516411j 0.00239518-0.00949723j -0.000895287+0.00878204j -0.00409747+0.0141709j 0.0181886+0.0131878j 0.00398876-0.00367312j -0.0228216-0.0135146j -0.0120077-0.0144885j 0.00738894-0.00940814j 0.013362-0.0140343j 0.009081+0.0112847j 0.00161294-0.00683761j 0.00265901-0.0201919j 0.00263342+0.0173272j -0.00139051+0.0144576j -0.0240044-0.00614945j 0.00904024-0.00675258j -0.014421-0.00061651j -0.0372908-0.0129837j -0.0112339+0.00620645j -0.0286427+0.00703717j -0.00240809-0.00590707j -0.00284964+0.00406645j 0.00323559-0.00905343j -0.00849642-0.00567316j -0.0227278+0.0282614j -0.0153834+0.0139066j 0.00303973+0.0227999j -0.00454129-0.00857987j -0.0127461-0.0070059j -0.00292033+0.0079689j -0.00194633-0.030572j 0.00635974-0.00586089j -0.00745559-0.00323824j -0.0148206-0.0139816j -0.0141554+0.0214334j 0.00628541-0.0150802j -0.0097106+0.0196588j -0.0225399+0.00162732j 0.010174-0.0183954j 0.00804937+0.00833399j 0.0104955-0.00305268j -0.0061157+0.00897522j -0.00552726-0.0102626j -0.0153628+0.0178201j -0.00131854+0.0165429j -0.00295795-0.00262184j 0.0145821+0.00878921j -0.0169912-0.0124342j 0.0108228-0.0134542j -0.000392089+0.00658979j 
-0.00161645+0.00742384j -0.00302127+0.0106161j -0.00160537-0.00689253j 0.000622845+0.00476551j 0.00421945+0.0022263j -0.0159579-0.00534729j -0.00185985+4.70099e-05j -0.00124424+0.00408464j 2.77114e-05-0.00141653j 0.00620472+0.00568134j -0.000700845+0.00719032j -0.0160398-0.00782641j 0.00559263+0.020234j -0.0107705-0.0212413j 0.0147635+0.00192387j -0.00475748-0.0125468j 0.0184577+0.0167253j 0.000915442-0.00422895j 0.0157193-0.0135365j 0.00377067+0.00752585j 0.00535888+0.0043138j 0.0112357-0.0119596j -0.00470824-0.00453042j -0.0097625-0.00625256j -0.00646824+0.0111342j -0.00277948-0.0020346j 0.0127026+0.00474162j 0.00245097-0.00439783j 0.00262677-0.0158018j -0.0211447-0.0165171j -0.00200661+0.00769963j 0.014769+0.00892622j -0.008231-0.00180184j 0.00344608-0.00618966j 0.00775962+0.00181163j -0.0132332+0.010399j -0.0268305-0.00190318j -0.00759592+0.00690708j -0.0219049+0.00298847j -0.00158829-0.00920713j -0.00380312+0.00576443j 0.00203791-0.0125569j 0.0107236+0.000570725j -7.90934e-06+0.0336495j -0.00539241-0.00239805j -0.00272579-0.0103422j 0.00184359-0.0119287j -0.00417939-0.00669227j -0.009276+0.00848563j -0.00589868-0.00850911j 0.00408745+0.000681852j 0.00622028-0.00228969j -0.00655067-0.0121948j -0.0142207+0.0111224j 0.00531664-0.00184458j -0.0101004+0.008368j -0.0255693+0.00302525j -0.0013389-0.00899634j 0.00799855+0.00637279j 0.0052526-0.00433359j -0.00154552+0.00388775j -0.00443397-0.00366991j -0.00610254+0.0103681j -0.000253796+0.00747379j -0.00298799-0.000415859j 0.00447171+0.00252231j -0.00816268-0.00536893j 0.00443238-0.00593077j 4.21742e-05+0.00406369j 
0.00241394+0.000756239j -0.00145855-0.0170548j 0.0126395-0.000109134j 0.000237806+0.0364652j -0.00476585+0.000328207j -0.000835525+0.00850754j -0.001833-0.018896j -0.00445756+0.00395129j 0.000306864-0.0194333j 0.00312948-0.00385972j -0.023177-0.00302854j 0.00776746+0.00901633j 0.0113805+0.019481j -0.0013514+0.00865678j 0.00911825-0.00735681j -0.0139191+0.00172056j 0.00218593-0.0170755j -0.00318882-0.0017508j -0.00294698+0.0112784j 0.000518196-0.0108704j 0.0207108+0.000323366j -0.00788753-0.00471907j -0.00410777-0.0026969j -0.00580918+0.0050316j -0.00930049+0.00300617j 0.00357917+0.0126742j -0.00109892+0.0102722j 0.00433782+0.0109934j 0.00716653-0.00508434j -0.00128043-0.0072765j 0.00247592+0.000952169j -0.0151676+0.0232518j 0.00299349-0.00421421j 7.62113e-05-0.0128818j -0.0413057-0.0111506j 0.0252547-0.0305702j -0.00138191-0.0102939j -0.0014208-0.00156559j -0.0116557+0.00690892j 0.0173555-0.00321621j 0.00149115-0.00970862j -0.0188531+0.00682103j -0.00568332+0.0033682j 0.00841694-0.00196682j 0.0039835-0.00456278j 0.00679472+0.00428828j 0.00576578-0.00123845j -0.00421031-0.00565746j -0.00232557+0.000504967j 0.00401738+0.00406501j -0.00488216+0.00249273j -0.00384398-0.0091896j -0.00411044-0.0240934j -0.00990079-0.00676583j -0.00338957-0.00758584j 0.00389255-0.0145977j -0.00590629+0.0154528j -0.0158236+0.00612475j -0.028667-0.00878619j -0.0151773-0.0251273j 0.0165792-0.00520453j 0.00114933+0.00524149j -0.00469126-0.0109766j 0.0112893-0.00970534j 0.00332453-0.00890252j -0.000306142+0.0024794j 3.49618e-06+0.0049823j -0.00209442-0.0292857j 0.0232188-0.00394197j 
-0.000870526+0.000243774j 0.00892171+0.000245257j 0.00311101+0.00461061j 0.00165-0.0010513j -0.00146625-0.0057538j 0.00285692-0.00303957j -0.00571066+0.00572389j 0.00395629-0.00916894j 0.00019073+0.0118779j 0.00379306+0.0018725j 0.00584632+0.000667133j -0.00548354+0.00453491j -0.00541339+0.0073116j -0.000978512-0.0053937j 0.00686248-0.00134509j 0.00242706+0.0027122j -0.0029824+0.00182538j -0.00726381-0.0059919j -0.0042761-0.00127406j 0.0109662+0.0012881j 0.0016317-0.00204742j 0.000914769-0.00376784j -0.00197974-0.00987851j -0.00053446+0.00260204j -0.00592624+0.00026573j -0.0124979+0.00468398j 0.00113453+0.000544861j -0.00974831-0.00941582j -0.000897581+0.000951551j -0.000753623+0.00340878j 0.00772881-0.00168093j -0.00308946-0.000627248j 0.00580145+0.00528219j -0.0161625+0.00567055j -0.0139643-0.00106923j 0.00880448+0.00494713j -0.00147276-0.00306683j -0.00444482-0.0169768j -0.000114558+0.00878961j -0.0172464+0.0192626j -0.0135505-0.00095225j 0.00832245+0.0132623j 0.00638662+0.0021448j -0.00337001+0.00593503j -0.00223492-0.00627249j -0.00287357+0.00565993j -0.00180129-0.0058025j 0.000681583+0.0108859j 0.00273696-0.0162076j -0.0123263+0.00352384j 0.0081285+0.0212009j 0.0076663+0.0021684j -0.00020257-0.00139523j 0.00195803-0.0054646j 0.0118327+0.0134795j -0.0140319-0.00746532j -0.0111709-0.00934094j 0.00763746+0.00488562j 0.000905347+0.00742599j -0.00188107-0.000690624j 0.00226477-0.0145487j 0.00766192+0.00862776j 0.00701657-0.015306j -0.00330586-0.0130513j -0.0111017+0.0156152j 0.00226181-0.0181685j -0.00177955-0.00486972j -0.00201036-0.00217247j -0.000650881+0.00651743j 
