-0.142812-0j 0.00125509-0j -0.0378446-0j -0.18272-0j 0.000192024-0j -0.0342381-0j -0.00501435-0j -0.0331509-0j -0.00485512-0j 1.79908e-05-0j 0.00247884-0j -0.0270452-0j 0.00256014-0j -0.0279321-0j 1.74195e-05-0j 0.70682-0j 0.000656884-0j -0.00716687-0j -0.00621185-0j -0.000742813-0j -0.0042735-0j -0.00370403-0j 0.00227551-0j -0.000442928-0j 0.421466-0j 0.00039169-0j 2.06439e-06-0j 0.55879-0j 0.000519312-0j -0.00566591-0j -0.00491089-0j -0.000587245-0j 0.00179895-0j 0.00135685-0j 1.23096e-06-0j 1.63204e-06-0j 
0.00595343-0j -0.0448686-0j -0.0222361-0j 0.00498893-0j -0.0104146-0j -0.013176-0j -0.00610152-0j -0.0127576-0j -0.00590777-0j -0.00130835-0j -0.183757-0j 0.000554286-0j -0.189783-0j 0.000572464-0j -0.0012668-0j 0.000656884-0j 0.686333-0j -0.00207026-0j -0.00495067-0j -0.00137128-0j -0.00123446-0j -0.00295201-0j 0.00278692-0j -0.000817673-0j 0.00039169-0j 0.40925-0j -0.000188293-0j 0.000519312-0j 0.542594-0j -0.00163668-0j -0.00391384-0j -0.00108409-0j 0.00220326-0j 0.0016618-0j -0.000112276-0j -0.000148859-0j 
0.0649544-0j 0.00819185-0j -0.242605-0j -0.00091085-0j 0.00190145-0j 0.0024056-0j -0.06657-0j 0.00232921-0j -0.0644562-0j 0.00023887-0j -0.000554286-0j -0.174597-0j -0.000572464-0j -0.180323-0j 0.000231285-0j 0.00716687-0j 0.00207026-0j 0.65212-0j 0.000903864-0j -0.0149612-0j 0.388849-0j 0.00053896-0j -0.00050882-0j -0.00892114-0j 0.0042735-0j 0.00123446-0j 3.43774e-05-0j 0.00566591-0j 0.00163668-0j 0.515546-0j 0.000714567-0j -0.0118279-0j -0.000402258-0j -0.000303402-0j 2.04987e-05-0j 2.71777e-05-0j 
-0.00125509-0j -0.128431-0j 0.00970816-0j 0.047178-0j -0.0633392-0j -0.258039-0j -0.0174648-0j -0.249845-0j -0.0169102-0j -0.0121444-0j -0.000640034-0j -0.000116854-0j -0.000661024-0j -0.000120686-0j -0.0117587-0j 0.00621185-0j 0.00495067-0j 0.000903864-0j 0.635642-0j -0.00833976-0j 0.00053896-0j 0.379024-0j -0.000587535-0j -0.00497287-0j 0.00370403-0j 0.00295201-0j -0.00234901-0j 0.00491089-0j 0.00391384-0j 0.000714567-0j 0.502519-0j -0.00659316-0j -0.000464487-0j -0.000350338-0j -0.00140068-0j -0.00185705-0j 
-0.00673222-0j 0.0755844-0j 0.0790026-0j 0.000192024-0j -0.150889-0j -0.0015934-0j -0.301975-0j -0.0015428-0j -0.292386-0j -0.0631992-0j 0.000116854-0j -0.00127492-0j 0.000120686-0j -0.00131673-0j -0.0611923-0j -0.000742813-0j -0.00137128-0j 0.0149612-0j 0.00833976-0j 0.583689-0j 0.00892114-0j 0.00497287-0j 0.000107269-0j 0.348045-0j -0.000442928-0j -0.000817673-0j -0.0187731-0j -0.000587245-0j -0.00108409-0j 0.0118279-0j 0.00659316-0j 0.461447-0j 8.48034e-05-0j 6.39627e-05-0j -0.0111941-0j -0.0148414-0j 
-0.0378446-0j -0.00970816-0j 0.00799912-0j -0.00274014-0j -0.000127522-0j -0.113406-0j -0.0343961-0j 0.123819-0j 0.0375544-0j 0.000251045-0j 0.000656884-0j -0.00716687-0j -0.000601641-0j 0.00656415-0j -0.000274096-0j 0.0105998-0j -0.000138844-0j 0.00151484-0j 0.00271912-0j 0.000493298-0j -0.0292132-0j -0.0524372-0j 3.41245e-05-0j -0.00951308-0j -0.204412-0j 0.00267756-0j -2.30556e-06-0j 0.148077-0j -0.00193963-0j 0.0211622-0j 0.0379858-0j 0.00689132-0j 0.000476716-0j -0.000658079-0j 4.44618e-05-0j -3.22083e-05-0j 
-1.87098e-05-0j -0.0212894-0j 0.000369239-0j -1.56787e-05-0j 0.142578-0j 0.000218792-0j -0.00289507-0j 0.000211845-0j -0.00280314-0j -0.376095-0j -9.54106e-06-0j -1.74195e-06-0j -9.85397e-06-0j -1.79908e-06-0j -0.364153-0j -2.06439e-06-0j 0.000188293-0j 3.43774e-05-0j -0.00234901-0j 0.0187731-0j 2.04987e-05-0j -0.00140068-0j -8.75845e-06-0j 0.0111941-0j -1.23096e-06-0j 0.000112276-0j 0.515712-0j -1.63204e-06-0j 0.000148859-0j 2.71777e-05-0j -0.00185705-0j 0.0148414-0j -6.92417e-06-0j -5.22253e-06-0j 0.307511-0j 0.407706-0j 
0.126935-0j -0.00111556-0j 0.00190356-0j -0.000204892-0j -9.65871e-06-0j 0.000601641-0j -0.00395244-0j -0.000656884-0j 0.00431535-0j 1.41808e-05-0j 0.133357-0j 0.0240384-0j -0.122142-0j -0.0220168-0j -1.54829e-05-0j 0.000792591-0j 0.00199987-0j 0.00036049-0j -6.96564e-06-0j 3.73631e-05-0j -0.00695191-0j 0.00013433-0j -0.000114457-0j -0.000720534-0j -0.0152848-0j -0.0385668-0j -1.03838e-07-0j 0.0110724-0j 0.027938-0j 0.005036-0j -9.73092e-05-0j 0.000521958-0j -0.00159895-0j 0.00220726-0j 2.00247e-06-0j -1.4506e-06-0j 
-0.0054651-0j 0.0411882-0j 0.00115514-0j -0.00025917-0j 0.000541031-0j -0.0107263-0j -0.0049671-0j 0.0117112-0j 0.00542318-0j -0.00106509-0j -0.00278692-0j -0.00050882-0j 0.00255255-0j 0.000466029-0j 0.00116289-0j -3.41245e-05-0j 0.000589065-0j 0.000107548-0j 0.000257182-0j 7.12366e-05-0j -0.00207403-0j -0.00495967-0j 0.0110601-0j -0.00137377-0j 0.000658079-0j -0.0113599-0j 9.78164e-06-0j -0.000476716-0j 0.00822917-0j 0.00150243-0j 0.00359281-0j 0.000995168-0j 0.154509-0j -0.21329-0j -0.000188635-0j 0.000136648-0j 
-0.0206233-0j -0.00532491-0j -0.0054651-0j -0.0172822-0j -0.000814689-0j -0.00323834-0j -0.000724116-0j -0.00313551-0j -0.000701122-0j -7.63285e-05-0j -0.0105168-0j -0.0019201-0j -0.0108617-0j -0.00198307-0j -7.39048e-05-0j -0.00227551-0j -0.00278692-0j -0.00050882-0j -0.000587535-0j -0.000107269-0j -0.000303402-0j -0.000350338-0j 0.737518-0j -6.39627e-05-0j -0.00135685-0j -0.0016618-0j -8.75845e-06-0j -0.00179895-0j -0.00220326-0j -0.000402258-0j -0.000464487-0j -8.48034e-05-0j 0.583059-0j 0.439771-0j -5.22253e-06-0j -6.92417e-06-0j 
0.00111556-0j 0.114152-0j -0.000488315-0j 5.29029e-05-0j 0.00318593-0j 0.00453432-0j -0.0137662-0j -0.00495067-0j 0.0150302-0j -0.0095725-0j -0.0344325-0j 0.000103862-0j 0.0315368-0j -9.51278e-05-0j 0.0104515-0j 6.96564e-06-0j 0.0150722-0j -4.54639e-05-0j 0.000712776-0j 0.000419485-0j 0.000876754-0j -0.0137456-0j 2.95527e-05-0j -0.00808963-0j -0.00013433-0j -0.290662-0j 0.000118154-0j 9.73092e-05-0j 0.210557-0j -0.000635125-0j 0.00995739-0j 0.00586016-0j 0.000412848-0j -0.000569913-0j -0.00227856-0j 0.0016506-0j 
0.0121712-0j -0.0208413-0j -0.00532771-0j -9.65871e-06-0j -0.000581668-0j -0.00082785-0j -0.150195-0j 0.000903864-0j 0.163986-0j 0.00174769-0j -0.000103862-0j -0.0327161-0j 9.51278e-05-0j 0.0299647-0j -0.00190817-0j 7.59979e-05-0j 4.54639e-05-0j 0.0143209-0j -0.000130134-0j 0.00457676-0j -0.276173-0j 0.0025096-0j -5.39556e-06-0j -0.0882611-0j -0.00146559-0j -0.000876754-0j -2.15719e-05-0j 0.00106168-0j 0.000635125-0j 0.200061-0j -0.00181796-0j 0.0639368-0j -7.53753e-05-0j 0.000104051-0j 0.000416005-0j -0.000301356-0j 
-0.000192024-0j -0.0633392-0j 0.000127522-0j 0.000408475-0j 0.00715558-0j 0.0531155-0j 0.0076384-0j -0.0579926-0j -0.00833976-0j -0.0469662-0j -9.79225e-05-0j -1.78781e-05-0j 8.96874e-05-0j 1.63746e-05-0j 0.0512787-0j 5.37833e-05-0j 6.50299e-05-0j 1.18728e-05-0j 0.0177404-0j 0.000942163-0j -0.000228962-0j -0.342118-0j -5.08698e-06-0j -0.0181693-0j -0.00103719-0j -0.00125408-0j 0.000890271-0j 0.000751346-0j 0.00090846-0j 0.000165861-0j 0.247832-0j 0.0131619-0j -7.10646e-05-0j 9.81006e-05-0j -0.0171686-0j 0.012437-0j 
-0.000892007-0j 0.0204951-0j 0.000794295-0j 1.43983e-06-0j -0.00505794-0j 0.000251045-0j 0.0726143-0j -0.000274096-0j -0.0792818-0j -0.0928685-0j 1.54829e-05-0j -0.000168925-0j -1.41808e-05-0j 0.000154718-0j 0.101396-0j -5.56976e-06-0j -1.37869e-05-0j 0.000150421-0j 0.000127973-0j 0.0195658-0j -0.00290081-0j -0.00246791-0j 8.04322e-07-0j -0.377319-0j 0.000107411-0j 0.000265875-0j 0.00396316-0j -7.78089e-05-0j -0.000192601-0j 0.00210136-0j 0.00178777-0j 0.273332-0j 1.12363e-05-0j -1.55111e-05-0j -0.0764281-0j 0.0553649-0j 
