0.0031894-0j -0.0433916-0j 0.0459393-0j 0.00828085-0j 0.0003167-0j 0.00482471-0j -0.171583-0j -0.030929-0j 0.00123767-0j -0.0100718-0j -0.000696731-0j 4.70732e-05-0j -0.0127423-0j -0.0123377-0j -0.183536-0j 0.0018401-0j -0.047082-0j -0.00848683-0j 0.000203138-0j -0.00126528-0j -0.177708-0j 0.00178167-0j -0.0455869-0j -0.00821734-0j 0.000196687-0j -0.0012251-0j 0.000949517-0j -0.000461578-0j -6.8808e-05-0j 4.33087e-06-0j -0.000446921-0j -6.6623e-05-0j 0.000980657-0j 4.19335e-06-0j 
0.0624612-0j -0.124203-0j 0.000160009-0j -0.00174576-0j 0.00293968-0j 0.045625-0j -0.00123767-0j 0.0135034-0j -0.158911-0j -0.0612542-0j 0.000146884-0j 0.000587252-0j -0.249545-0j -0.241621-0j -0.000639265-0j -0.000803377-0j 0.00222654-0j -0.0242925-0j -0.0554168-0j -0.0117446-0j -0.000618966-0j -0.000777866-0j 0.00215584-0j -0.0235211-0j -0.0536571-0j -0.0113717-0j -0.000200176-0j 9.73092e-05-0j -0.00131588-0j 6.78418e-05-0j 9.42192e-05-0j -0.00127409-0j -0.000206741-0j 6.56876e-05-0j 
0.000783878-0j -0.00514963-0j 0.00262921-0j -0.0286857-0j 1.84762e-05-0j -0.0167133-0j 0.000696731-0j -0.00760161-0j 0.000146884-0j -0.000787872-0j -0.184379-0j 2.18961e-06-0j -0.00313175-0j -0.0030323-0j -0.0105042-0j -0.0345492-0j 9.23156e-05-0j -0.0010072-0j 1.58905e-05-0j -7.3816e-05-0j -0.0101706-0j -0.0334521-0j 8.93842e-05-0j -0.000975217-0j 1.53859e-05-0j -7.1472e-05-0j -0.00328922-0j 0.00159895-0j 0.000238358-0j 1.67501e-07-0j 0.00154818-0j 0.000230789-0j -0.0033971-0j 1.62182e-07-0j 
0.00586031-0j 0.00174576-0j -0.000438201-0j -0.138031-0j -3.07937e-06-0j -0.254152-0j -0.000116122-0j -0.0365777-0j 0.00109811-0j 0.000267093-0j -0.000402258-0j -3.64936e-07-0j -0.0476231-0j -0.0461109-0j 0.00356099-0j -7.53753e-05-0j -1.53859e-05-0j -0.00484648-0j 0.000118798-0j 2.50241e-05-0j 0.00344791-0j -7.29819e-05-0j -1.48974e-05-0j -0.00469258-0j 0.000115026-0j 2.42295e-05-0j -0.0325752-0j -0.000266492-0j 0.00360367-0j -2.79168e-08-0j -0.00025803-0j 0.00348924-0j -0.0336435-0j -2.70303e-08-0j 
-0.0142634-0j -0.00660509-0j 0.00339429-0j 0.00061971-0j -0.00141633-0j 0.000734419-0j -0.0126777-0j -0.00231462-0j -0.00553501-0j -0.00153314-0j 0.00311587-0j -0.000210518-0j -0.00193963-0j -0.00187804-0j 0.000461578-0j -0.00822917-0j -0.00347872-0j -0.000635125-0j -0.00090846-0j -0.000192601-0j 0.000446921-0j -0.00796786-0j -0.00336826-0j -0.000614957-0j -0.000879612-0j -0.000186485-0j 4.71096e-05-0j -0.190855-0j 0.000307719-0j -1.93683e-05-0j -0.184794-0j 0.000297947-0j 4.86546e-05-0j -1.87532e-05-0j 
-0.192879-0j 0.000984628-0j -0.000505991-0j -9.2381e-05-0j 0.000211134-0j 0.00993127-0j 0.00188988-0j 0.000345043-0j -0.0748479-0j 0.000228546-0j -0.000464487-0j 3.13822e-05-0j -0.0262289-0j -0.0253961-0j -6.8808e-05-0j 0.00122673-0j 0.000518577-0j 9.46788e-05-0j -0.0122848-0j 2.87113e-05-0j -6.6623e-05-0j 0.00118778-0j 0.00050211-0j 9.16724e-05-0j -0.0118947-0j 2.77996e-05-0j -7.02268e-06-0j -0.000307719-0j -0.184551-0j 2.88725e-06-0j -0.000297947-0j -0.178691-0j -7.253e-06-0j 2.79557e-06-0j 
-0.000336192-0j 0.014033-0j 8.00043e-05-0j 0.0782359-0j -3.33832e-05-0j -0.00156033-0j -0.000298816-0j -0.292211-0j -0.000130461-0j 0.00325726-0j 7.34419e-05-0j -4.96195e-06-0j 0.0041209-0j 0.00399004-0j -0.000980657-0j -0.000193963-0j -8.19943e-05-0j -0.0801819-0j -2.14126e-05-0j 0.000409196-0j -0.000949517-0j -0.000187804-0j -7.93906e-05-0j -0.0776358-0j -2.07327e-05-0j 0.000396202-0j -0.168649-0j 4.86546e-05-0j 7.253e-06-0j -4.56514e-07-0j 4.71096e-05-0j 7.02268e-06-0j -0.17418-0j -4.42018e-07-0j 
0.00590777-0j -0.017936-0j -0.000678859-0j -0.000123942-0j -0.012472-0j -0.000146884-0j 0.00525097-0j 0.000958692-0j -0.0150302-0j -0.00884565-0j 0.0476066-0j -0.0024915-0j 0.000803377-0j 0.000777866-0j -9.23156e-05-0j -0.260383-0j -0.00944641-0j -0.00172467-0j -0.00524149-0j -0.00169603-0j -8.93842e-05-0j -0.252115-0j -0.00914645-0j -0.00166991-0j -0.00507505-0j -0.00164217-0j -9.42192e-06-0j -0.000412848-0j -6.15437e-05-0j -0.000287829-0j -0.000399738-0j -5.95894e-05-0j -9.73092e-06-0j -0.000278689-0j 
-0.0320982-0j 0.000160009-0j -0.145273-0j 0.000438201-0j 1.68664e-05-0j -0.0232944-0j -0.0384967-0j 0.000116122-0j -0.00601459-0j 2.44806e-05-0j 0.00220326-0j 1.99883e-06-0j -0.00436493-0j -0.00422632-0j -0.0197551-0j 0.000412848-0j -0.00510075-0j 1.53859e-05-0j -0.000650685-0j 2.2936e-06-0j -0.0191278-0j 0.000399738-0j -0.00493878-0j 1.48974e-05-0j -0.000630023-0j 2.22077e-06-0j 3.33115e-05-0j 0.00145964-0j -0.0197381-0j 1.52907e-07-0j 0.00141329-0j -0.0191114-0j 3.4404e-05-0j 1.48051e-07-0j 
-0.00149381-0j 0.00963605-0j -0.00684822-0j 2.0657e-05-0j -0.0592492-0j 2.44806e-05-0j 0.0803639-0j -0.00024241-0j 0.00807494-0j -0.0192364-0j 0.000103862-0j -0.0181769-0j -0.000203138-0j -0.000196687-0j -0.000931265-0j -0.000861841-0j -0.307178-0j 0.000926573-0j -0.0113986-0j -0.00805709-0j -0.000901694-0j -0.000834474-0j -0.297424-0j 0.000897151-0j -0.0110366-0j -0.00780124-0j 1.57032e-06-0j 6.8808e-05-0j 1.02573e-05-0j -0.00282897-0j 6.6623e-05-0j 9.93157e-06-0j 1.62182e-06-0j -0.00273913-0j 
0.000272731-0j 0.105133-0j -2.0657e-05-0j -0.00650684-0j 0.0108174-0j 0.000267093-0j 0.00024241-0j 0.0763578-0j -0.00147428-0j -0.209877-0j -1.89626e-05-0j 0.00331864-0j -0.00221631-0j -0.00214594-0j 0.000167867-0j 0.00015735-0j -0.000926573-0j -0.291865-0j 0.00208108-0j -0.0879061-0j 0.000162536-0j 0.000152353-0j -0.000897151-0j -0.282597-0j 0.002015-0j -0.0851147-0j -0.00153561-0j -1.25626e-05-0j -1.87272e-06-0j 0.000516496-0j -1.21636e-05-0j -1.81325e-06-0j -0.00158597-0j 0.000500095-0j 
-0.0133935-0j -0.00293968-0j -1.68664e-05-0j -3.07937e-06-0j -0.110456-0j 0.000163696-0j 0.000265393-0j 4.84538e-05-0j 0.1105-0j 0.0128197-0j -1.54829e-05-0j -0.0762893-0j -0.00182134-0j -0.00176351-0j -2.2936e-06-0j 0.000172268-0j -0.00154825-0j -0.000282671-0j -0.340742-0j -0.0150205-0j -2.22077e-06-0j 0.000166798-0j -0.00149909-0j -0.000273695-0j -0.329922-0j -0.0145435-0j -2.34089e-07-0j -1.02573e-05-0j 0.000138705-0j -0.0183513-0j -9.93157e-06-0j 0.000134301-0j -2.41767e-07-0j -0.0177686-0j 
-5.29612e-05-0j -0.0205886-0j 2.38527e-06-0j -2.60242e-05-0j 0.0910382-0j -1.51626e-05-0j -4.70732e-05-0j 0.000513588-0j 0.000587252-0j 0.137885-0j 2.18961e-06-0j -0.128928-0j 0.00021159-0j 0.000204871-0j -9.52961e-06-0j -3.05555e-05-0j 0.000369085-0j -0.00402686-0j -0.00278099-0j -0.363715-0j -9.227e-06-0j -2.95853e-05-0j 0.000357365-0j -0.00389899-0j -0.00269269-0j -0.352166-0j -2.98404e-06-0j 1.4506e-06-0j 2.16243e-07-0j -0.0721527-0j 1.40454e-06-0j 2.09376e-07-0j -3.08191e-06-0j -0.0698615-0j 
-0.00362865-0j -0.000811391-0j -0.0121709-0j -0.00222209-0j -8.55281e-05-0j -0.00263339-0j -0.00322524-0j -0.000588845-0j -0.00067994-0j -0.000124139-0j -0.0111725-0j -1.01359e-05-0j -0.000493447-0j -0.000477778-0j -0.00165507-0j -0.00209352-0j -0.000427338-0j -7.80209e-05-0j -7.35588e-05-0j -1.16307e-05-0j -0.00160252-0j -0.00202704-0j -0.000413768-0j -7.55434e-05-0j -7.1223e-05-0j -1.12613e-05-0j -0.00016892-0j -0.00740171-0j -0.00110338-0j -7.75378e-07-0j -0.00716668-0j -0.00106835-0j -0.00017446-0j -7.50756e-07-0j 
4.19366e-06-0j -8.38548e-05-0j -1.34395e-07-0j -2.4537e-08-0j -0.0385094-0j -2.90788e-08-0j 3.72743e-06-0j 6.80533e-07-0j -7.02697e-05-0j 0.000951111-0j -1.23371e-07-0j 0.197411-0j 5.70281e-07-0j 5.52173e-07-0j -1.82758e-08-0j 2.4195e-06-0j -4.41641e-05-0j -8.06322e-06-0j 0.000563581-0j -0.00523676-0j -1.76955e-08-0j 2.34267e-06-0j -4.27617e-05-0j -7.80718e-06-0j 0.000545685-0j -0.00507047-0j -1.86527e-09-0j -8.1732e-08-0j -1.21839e-08-0j -0.41445-0j -7.91367e-08-0j -1.1797e-08-0j -1.92644e-09-0j -0.401289-0j 
