-0.192919-0j -0.186793-0j 0.697673-0j 0.416012-0j 0.551559-0j -0.0254013-0j 0.191439-0j -0.0283995-0j 0.214036-0j 0.0547755-0j -0.0173911-0j 0.13107-0j 0.0649558-0j 0.0807179-0j -0.0107101-0j 0.0750045-0j 0.0726228-0j -0.0238137-0j 0.179474-0j 0.0889444-0j 0.025655-0j -0.0168281-0j -0.0122895-0j 0.0351296-0j -0.0162938-0j -0.0145736-0j 0.0340141-0j 0.0178896-0j 0.0304231-0j -0.0199557-0j 0.0416586-0j 0.0770281-0j 0.0083789-0j -0.0172822-0j -0.00401375-0j 0.0360774-0j 
-0.12416-0j 0.13556-0j 0.00203291-0j -0.039204-0j 0.0283995-0j 0.48029-0j -0.004221-0j -0.0342666-0j 0.00030115-0j 0.151654-0j -0.3708-0j 0.00325876-0j -0.00556067-0j -0.00556634-0j 0.63337-0j 0.10062-0j -0.109859-0j -0.507739-0j 0.00446224-0j -0.00761426-0j -0.000769493-0j -0.0108303-0j -0.0163234-0j -0.000510546-0j 0.0118248-0j 0.000598528-0j 0.000557425-0j 0.100591-0j 2.82149e-05-0j 0.000819568-0j 3.86348e-05-0j -0.116523-0j -0.000510402-0j 0.0125421-0j -0.0108273-0j 0.000591238-0j 
0.0320579-0j -0.0350014-0j 0.0153212-0j -0.295464-0j 0.214036-0j 0.004221-0j 0.431924-0j -0.00030115-0j -0.0308159-0j -0.0389033-0j -0.00325876-0j -0.33346-0j 0.00142646-0j 0.569589-0j 0.00556634-0j -0.0258117-0j 0.0281817-0j -0.00446224-0j -0.456609-0j 0.00195326-0j 0.253818-0j 0.00279638-0j 0.00421469-0j 0.168404-0j -0.00305314-0j -0.000154539-0j -0.183867-0j -0.0258044-0j -0.00930669-0j -0.000211612-0j -0.0127437-0j 0.0298912-0j 0.168356-0j -0.00323834-0j 0.00279559-0j -0.19502-0j 
-0.0260663-0j 0.0254013-0j 0.084136-0j -0.0384502-0j -0.0750045-0j 0.100833-0j 0.0258664-0j 0.10062-0j 0.0258117-0j 0.148738-0j -0.0694808-0j -0.0178237-0j -0.230139-0j -0.0453658-0j -0.176846-0j -0.297738-0j 0.290142-0j -0.0951405-0j -0.0244061-0j -0.315131-0j -0.00237119-0j -0.00227374-0j 0.00113587-0j 0.00474655-0j 0.00221573-0j -0.00175751-0j -0.00462545-0j 0.669435-0j 0.00366888-0j -0.00240656-0j 0.00502383-0j 0.307742-0j -0.0106721-0j 0.00235014-0j 0.00511228-0j -0.00490604-0j 
-0.0254013-0j 0.0221035-0j -0.0825568-0j 0.0547755-0j 0.0726228-0j -0.0883079-0j -0.0226533-0j 0.109859-0j 0.0281817-0j 0.190428-0j -0.188195-0j -0.0482771-0j 0.70291-0j 0.010628-0j 0.0414304-0j -0.290142-0j 0.252474-0j 0.0921194-0j 0.0236311-0j -0.344066-0j -0.0030358-0j -0.00221573-0j 0.00145424-0j 0.00462545-0j 0.00192807-0j 0.00536792-0j -0.00402494-0j -0.069203-0j -0.0112058-0j -0.00262754-0j 0.00548511-0j -0.29797-0j 0.00110324-0j -0.00227551-0j -0.000528483-0j 0.00475025-0j 
0.00388574-0j -0.0037866-0j -0.0394065-0j 0.0180088-0j 0.0351296-0j 0.000511629-0j 0.168761-0j 0.000510546-0j 0.168404-0j 0.00237119-0j -0.000352546-0j -0.116287-0j -0.00366888-0j -0.295981-0j -0.000897319-0j -0.00474655-0j 0.00462545-0j -0.000482744-0j -0.159233-0j -0.00502383-0j 0.133053-0j 0.000338949-0j -0.000169326-0j -0.26634-0j -0.000330302-0j 0.000261994-0j 0.259545-0j 0.0106721-0j -0.20587-0j 0.00035875-0j -0.281899-0j 0.00490604-0j 0.59884-0j -0.000350338-0j -0.000762094-0j 0.27529-0j 
0.080326-0j -0.0698975-0j -0.0185226-0j 0.0122895-0j 0.0162938-0j -0.00950511-0j -0.00245421-0j 0.0118248-0j 0.00305314-0j -0.00145424-0j -0.0202566-0j -0.00523022-0j -0.00536792-0j 0.00115141-0j 0.0044594-0j 0.00221573-0j -0.00192807-0j 0.00991537-0j 0.00256014-0j 0.00262754-0j -0.000216786-0j -0.314297-0j 0.206281-0j 0.000330302-0j 0.273493-0j 0.761428-0j -0.00028742-0j 0.000528483-0j -0.000800202-0j -0.372711-0j 0.00039169-0j 0.00227551-0j 7.87816e-05-0j -0.322777-0j -0.0749643-0j 0.000339213-0j 
0.082429-0j -0.080326-0j 0.0188769-0j -0.00862676-0j -0.0168281-0j 0.0108533-0j 0.00280231-0j 0.0108303-0j 0.00279638-0j -0.00113587-0j -0.00747864-0j -0.00193098-0j 0.00175751-0j -0.00491482-0j -0.019035-0j 0.00227374-0j -0.00221573-0j -0.0102405-0j -0.0026441-0j 0.00240656-0j -0.000169326-0j -0.322526-0j 0.161121-0j 0.000338949-0j 0.314297-0j -0.249299-0j -0.000330302-0j -0.00511228-0j 0.000261994-0j -0.341366-0j 0.00035875-0j -0.00235014-0j -0.000762094-0j 0.333363-0j 0.725167-0j -0.000350338-0j 
0.0037866-0j -0.003295-0j 0.0386668-0j -0.025655-0j -0.0340141-0j -0.000448075-0j -0.147798-0j 0.000557425-0j 0.183867-0j 0.0030358-0j -0.000954904-0j -0.314975-0j 0.0112058-0j 0.0693405-0j 0.000210218-0j -0.00462545-0j 0.00402494-0j 0.000467415-0j 0.154177-0j -0.00548511-0j 0.170346-0j 0.000330302-0j -0.000216786-0j -0.259545-0j -0.00028742-0j -0.000800202-0j 0.225849-0j -0.00110324-0j 0.628785-0j 0.00039169-0j -0.307783-0j -0.00475025-0j -0.0619052-0j 0.000339213-0j 7.87816e-05-0j -0.266548-0j 
-0.0188769-0j -0.0185226-0j 0.00391507-0j 0.0840101-0j -0.0608573-0j 0.00223374-0j -0.0168348-0j 0.000177329-0j -0.00133646-0j -0.00994106-0j -0.00536792-0j 0.0404558-0j 0.0011346-0j 0.0247025-0j -0.00327767-0j 0.0073391-0j 0.00720135-0j 0.00262754-0j -0.0198027-0j -0.000555376-0j -0.00465606-0j 0.073861-0j -0.100047-0j 0.00343739-0j 0.0724746-0j 0.0114187-0j 0.00337287-0j 0.00733703-0j 0.00053141-0j -0.00558932-0j -0.000260119-0j -0.00849905-0j 0.00343642-0j -0.0855347-0j 0.0738401-0j -0.00398067-0j 
0.004221-0j 0.00414178-0j -0.00181299-0j -0.0389033-0j 0.0281817-0j 0.0146744-0j -0.0511103-0j 0.00116495-0j -0.00405748-0j -0.135248-0j -0.0352641-0j 0.122824-0j 0.0154362-0j 0.0749968-0j -0.0215324-0j 0.0998481-0j 0.097974-0j 0.0172614-0j -0.0601209-0j -0.00755586-0j -0.0300347-0j 0.000368194-0j -0.000498731-0j 0.0221734-0j 0.000361283-0j 5.69217e-05-0j 0.0217573-0j 0.0998199-0j 0.00342795-0j -2.78625e-05-0j -0.00167794-0j -0.115629-0j 0.0221672-0j -0.000426387-0j 0.00036809-0j -0.025678-0j 
-0.00862676-0j -0.0122895-0j -0.0840101-0j 0.0955709-0j 0.0362883-0j -0.00113587-0j 0.00856059-0j 0.00341972-0j -0.0257731-0j 0.0125837-0j -0.0011442-0j 0.00862336-0j -0.00782164-0j 0.00832784-0j -0.00110499-0j 0.00335398-0j 0.00477802-0j -0.00156676-0j 0.011808-0j -0.0107102-0j 0.00589377-0j 0.0337545-0j 0.126642-0j 0.00157089-0j 0.0480861-0j -0.0787173-0j 0.00223786-0j -0.0119219-0j -0.00366339-0j -0.107788-0j -0.00501631-0j 0.00506785-0j -0.00558384-0j 0.0510031-0j -0.119983-0j 0.00237361-0j 
0.0633151-0j 0.0621267-0j 0.000931676-0j 0.019992-0j -0.0144823-0j -0.00749218-0j -0.00193447-0j -0.000594779-0j -0.000153571-0j -0.00236569-0j 0.0180045-0j 0.00464875-0j 0.000270003-0j 0.00283855-0j 0.0109936-0j 0.0017465-0j 0.00171372-0j -0.00881302-0j -0.00227551-0j -0.000132164-0j -0.000352656-0j 0.00552291-0j -0.00748097-0j 0.000260353-0j 0.00541925-0j 0.000853826-0j 0.000255466-0j 0.001746-0j 4.02497e-05-0j -0.000417938-0j -1.97018e-05-0j -0.00202253-0j 0.000260279-0j -0.00639581-0j 0.00552135-0j -0.000301501-0j 
-0.0115597-0j -0.0113427-0j -0.0001701-0j -0.00365003-0j 0.0026441-0j -0.0817427-0j 0.000353185-0j -0.00648928-0j 2.80382e-05-0j -0.0258106-0j 0.196437-0j -0.000848742-0j 0.00294585-0j -0.000518246-0j 0.119945-0j 0.019055-0j 0.0186973-0j -0.0961536-0j 0.00041545-0j -0.00144196-0j 6.43859e-05-0j -0.00100834-0j 0.00136583-0j -4.75337e-05-0j -0.000989415-0j -0.000155887-0j -4.66415e-05-0j 0.0190496-0j -7.34856e-06-0j 7.63047e-05-0j 3.59704e-06-0j -0.0220666-0j -4.75202e-05-0j 0.00116771-0j -0.00100806-0j 5.50464e-05-0j 
0.001929-0j 0.00274802-0j 0.0389033-0j -0.0442568-0j -0.0168043-0j -0.00746202-0j 0.02599-0j 0.0224656-0j -0.0782471-0j 0.1712-0j -0.00751674-0j 0.0261806-0j -0.106413-0j 0.0252833-0j -0.00725914-0j 0.0456307-0j 0.0650047-0j -0.0102927-0j 0.0358492-0j -0.145712-0j 0.0380187-0j 0.000168265-0j 0.000631308-0j 0.0101333-0j 0.000239708-0j -0.000392402-0j 0.0144357-0j -0.162197-0j -0.0236313-0j -0.000537319-0j -0.0323585-0j 0.0689479-0j -0.0360195-0j 0.000254248-0j -0.00059811-0j 0.0153114-0j 
