0.015895+0.00972074j 0.0102328-0.0152713j 0.00692352+0.00545474j -0.0080737+0.00708628j -0.00489489-0.00301381j 0.000964016-0.00158408j 0.00272275-0.000367852j 0.00457472-0.000552529j -0.0031545-0.00645111j -0.00546452+0.00434463j 0.000737504-0.00136942j -0.00356326-0.00269974j 0.00190512-0.00158125j 0.00309911+0.00169804j 0.000215678-0.00521124j 0.000442086-0.00085686j -0.00175228-0.000911444j -0.00380532+0.00246056j -0.00433759+0.000925602j -0.00211947-0.000392996j -0.00257441-0.0005868j -0.00226769-0.00421478j 7.95172e-05+0.00142908j -0.00151533-0.002236j -0.00046903-5.78501e-05j -0.000148702-0.000508853j -0.000891117-0.00185013j 0.000378587+0.00410503j 0.0011964-0.00127318j -0.000361652+4.88402e-05j -0.00180252-7.82149e-05j 0.002402-0.000343248j 0.000411139+0.000315922j 0.00242035-0.000848011j 0.00941839+0.00126525j 0.000615111-0.00156027j 0.00533714+0.00245645j 0.000495742+0.00312726j -0.00446662-0.00103827j 0.00309769-0.0017389j 0.0011941-0.00360561j 0.00354213+0.000492981j 0.00126973-0.00237037j -0.000238329+0.000860002j 0.00299439-0.000363791j 0.00121759+0.00863461j 0.00198522+0.00329507j 0.000367038-0.0042816j 0.00165606+0.00675458j -0.00366205-0.0033255j 0.000539475-0.00446277j 0.0014253+0.00334339j -0.00280132+0.00163685j 0.00636812-0.00325522j -0.00177968-0.00388231j 0.0073568+0.00308975j -0.00216659-0.000376325j 0.00439816+0.0045008j -0.001794+0.00236346j -0.00217286+0.00462253j 0.00540761+0.00524258j -0.000516888-0.00652514j 0.00294636-0.0100251j -0.00230491-0.00294588j -0.0051093+0.000666577j 0.00175968-0.00760655j -0.00380857-0.00534977j -0.00929799+0.0081238j -0.0113826+0.00172058j 0.0021185+0.0094163j -0.0118231-0.0289847j 0.0302123-0.0121065j 
-0.00870136-0.00462257j -0.00509847+0.00953852j -0.00332681-0.00200299j 0.00322561-0.00478768j -0.00143438+0.000244858j -0.000550807+0.00194294j -0.00745092+0.00242135j -0.00138147-0.00296349j 0.00163093+0.00247511j 0.000405292-0.00309399j 0.00343833+0.00136431j -0.000445218-0.00048283j -0.00126509+0.000297678j -0.00222731+0.000408592j -0.000391581+0.00471998j 0.00275448+0.000794923j -0.000362399+0.000688208j 0.00262522+0.000672106j 0.00133041+0.00595399j 0.00120909-0.00283236j -0.00108513-0.00041532j 0.000352763+0.00200804j -0.000379529-0.00415395j -0.00172421+0.00336642j 0.00181319-0.00315885j 0.00150022-0.00340803j -0.00376532+0.00389246j 0.00465873-0.00165875j 0.00140699+0.000957666j 0.000753503+0.000717552j 0.00416188+0.00200477j 0.00298869-0.000394113j -0.00166223+0.000145802j -0.000656342-0.00141643j -0.000882358-0.000962205j -0.00239533-0.00225647j 0.00120998+0.00127318j 0.00213394+0.00155553j -0.000199929+0.00425495j -0.00556659-0.00387768j -0.00141806-0.00173529j -0.00468417+0.000632005j -0.00408252+0.000529355j -0.00143468+0.00250553j -0.00451779-0.000460841j -0.00303367-0.00072678j -0.00184741-0.00202321j -0.00326135+0.000890999j -0.0058371-0.000919206j 0.00174314+0.00309305j -0.00173195-0.00229413j -0.000586879-0.00160602j 0.00115728+0.00125217j -0.00191729+0.00560957j 0.00012476-0.000402654j 0.0015696+0.00287339j 0.00121661-0.00270378j 0.000725403-0.00194616j -0.00114466+0.00396843j -0.0008866+0.000420547j -0.00553437-0.00116875j -0.00560677-0.00448431j 0.00527085+0.000901357j -3.67782e-05+0.00475037j 0.00285031-0.000951956j -0.00404276-0.00278374j 0.00106176+0.011501j 0.00411173-0.00750012j 0.0126535+0.00297589j 0.00370054-0.0139686j -0.0137163-0.00190282j 0.00260243-0.0130238j 
-0.0207346-0.019777j -0.0203819+0.0209432j -0.0131694-0.0155223j 0.0194794-0.01432j 0.00735157+0.00882765j -0.00479174+0.00506969j -0.00704201+0.00195465j -0.00741971+0.00165999j 0.00370913+0.01237j 0.0107407-0.00306216j -0.0017994+0.00471125j 0.000170495+0.00347132j -0.00535284+7.61694e-05j -0.00574401-0.00430689j -0.00251808+0.00988961j -0.00187483+0.00147544j 0.00626859+0.00486997j 0.00526451-0.000379983j 0.00673108+0.00219093j 0.00203189-0.000241022j 0.0016118+0.000107614j 0.00143464+0.0110567j 0.00454587-0.00320551j -0.0018651+0.0052225j 0.0012026-0.00131197j 0.00181399-0.00255292j 0.00130329+0.00502523j 0.00268084-0.00711432j -0.00305257-0.00103515j 0.00340783-0.00104508j 0.005878+0.00252282j -0.0033162-0.00044941j -0.0023545-0.00238462j -0.00270017+0.00142755j -0.00871317-0.000708358j 2.00657e-05+0.0002623j -0.00524607-0.00202673j 0.00336154+0.0019565j -0.000497242-0.000623823j -0.00530148+0.00270015j -0.00149022+0.000331055j -0.00515223+5.09506e-05j -0.00434051+0.00568499j -0.000619073+0.000649994j -0.00325111+0.0009124j -0.00439835-0.00766713j -0.00612554-0.00376686j -0.0042624+0.000649093j -0.00736359-0.00629652j -0.000221585-0.000949982j -0.000535234+0.000331558j 8.4458e-06-0.00368742j 0.00443814-0.00316204j -0.000624519+0.00351638j 0.00438228+0.00364364j -0.00227768-0.0054619j 0.00194319-0.00146133j -0.00850737+0.00465209j 0.000177025-0.00742444j -0.00209077-0.000118035j -0.00683764-0.00804129j -0.00306722+0.00350168j 0.00432297+0.0108447j 0.00551145+0.00035163j -0.00322288-0.000798741j -0.00455209+0.00206285j 0.00459389+0.00994827j 0.0102204-0.0102812j 0.0288137+0.0137663j 0.0145632-0.0296771j 0.0203509+0.0295878j -0.0295938+0.0205944j 
-0.0600967-0.0698936j -0.0705544+0.0611592j -0.0406249-0.056001j 0.0598934-0.0439026j 0.0258085+0.0315359j -0.0194007+0.0221516j -0.0135117+0.00806764j -0.0285029+0.0120715j 0.0179513+0.0350247j 0.0338344-0.00722943j -0.00920002+0.0167689j 0.00255631+0.00727244j -0.0241307-0.00344339j -0.0132212-0.0115516j -0.0165019+0.0297874j -0.00980043-0.00637295j 0.0136897+0.0147096j 0.0154209+0.00570273j 0.021003+0.00248804j 0.00243089+0.00791755j 0.00829315+0.000191276j 0.00911693+0.0237529j 0.0163083-0.000622157j -0.00286452+0.00497026j -0.00191187-0.00198049j 0.00287589-0.0110809j 0.00683321+0.0119742j 0.00261846-0.0215052j -0.00820103-0.00904788j 0.00531394+9.04692e-05j 0.00759726+0.00777651j -0.00671426-0.00332303j -0.00553473-0.0180549j -0.0107711+0.00430578j -0.0135726+0.00158199j 0.00865859+0.00911373j -0.00638035-0.0120907j 0.00876804+0.000911854j 0.00221284-0.00148038j -0.0155973+0.0209757j -0.00283774+0.00428942j -0.0146627+0.00298158j -0.0110939+0.0218181j -0.000812799-0.007666j -0.00521373-0.0010579j -0.0146212-0.0144657j -0.0140753-0.0108926j -0.0197572+0.000308954j -0.0211044-0.0139557j 0.00410687+0.00652936j -0.0054651-0.00429919j 0.00864452-0.0147762j 0.0139452-0.00611778j -0.00378973+0.00102269j 0.00112042+0.0154337j -0.00462841-0.0222088j 0.00697234-0.0143086j -0.0224923+0.0145867j 0.00417652-0.0146545j -0.00773559+0.00330281j -0.00848037-0.0236845j -0.0220807+0.0182813j 0.00966931+0.0219898j 0.0325941-0.0132943j -0.0336328-0.00563471j -0.0248851-0.0129023j 0.0212006+0.0317332j 0.0227132-0.0419996j 0.0538492+0.0547792j 0.0549841-0.0483882j 0.0751899+0.0641645j -0.0628451+0.0756958j 
0.00303382-0.000765621j -0.00104034-0.00400378j -0.00857989-0.00987638j 0.0136091-0.00817385j 0.00935726+0.00791883j -0.00145338-0.000766402j 0.00540415+0.00327351j -0.0116373+0.00687316j -0.000634705+0.00800363j 0.00715829+0.00403472j -0.00737284+0.000747471j 0.00093636+0.00163526j -0.00363878-0.000347259j -0.0014144-0.00424066j -0.000221961+0.0074603j -0.00583869+0.00250236j 0.00654205+0.00498668j 0.00193067-0.00518807j 0.00709002-0.00840678j 0.000477157+0.0021671j 0.00156195+0.00223332j 0.000118132+0.00604391j 0.00507675+0.00333513j 0.000741511-0.00107146j -0.00092857+0.00232278j -0.00119486+0.00336534j 0.00652693-0.00117869j -0.000778752-0.00239263j -0.00617134-0.00374728j 0.00279429-0.00339839j -0.00187507+0.000469606j -0.00757935-0.00147919j 2.03291e-05-0.00145191j -0.00280412+0.00382798j -0.0103343-0.00434671j 0.00455686+0.00248741j -0.00644741-0.00505646j -0.00190284-0.000482896j 0.00345442-0.00603063j -0.000748832+0.00593732j -0.00159652+0.00156842j -0.00176798-0.00140077j 0.00466396+0.00338559j -0.000110448-0.000423986j 0.00200845+0.000696325j 0.00151873-0.0112566j -0.00318247-0.00413649j 6.41242e-05+0.00144678j 0.00404446-0.0068568j 0.000288664-0.000267984j 0.00334074+0.00491776j -0.00448267-0.00378315j -0.00218362-0.00165148j -0.00287103-0.0102084j 0.000646193-0.000974694j 0.000641086-0.00668806j -0.0014022+0.00542745j -0.00142994-0.00162821j 0.00244745-0.00661634j 0.00199757-5.94498e-05j 0.00281846-0.00865146j 0.00309014+0.00861053j -0.00737476+0.00633172j 0.00457935-0.0012966j -0.00122018-0.00383597j 0.00251006+0.00858185j 0.00447486+0.000652464j 0.0128552-0.00538286j 0.0087754+0.00180209j -9.77818e-06-0.0060393j 0.0211814+0.0155879j -0.0173093+0.0210102j 
-0.111053-0.195253j -0.196504+0.111064j -0.103055-0.169086j 0.185983-0.115674j 0.088694+0.114275j -0.0548617+0.0557289j -0.0228595+0.0401211j -0.110046+0.0542472j 0.0465453+0.0911169j 0.0803537-0.000898509j -0.0535434+0.0243443j -0.00256187+0.0204321j -0.0661207-0.022951j -0.0342589-0.0442579j -0.050656+0.0727232j -0.037005-0.0198632j 0.0448331+0.0542291j 0.0473919+0.0120995j 0.0746765+0.0173582j -0.00512129+0.0254064j 0.0270243+0.0132662j 0.0198409+0.0730008j 0.0456976+0.01685j -0.00760198-0.00208375j -0.0182784-0.00229903j -0.00502363-0.0314051j 0.0264605+0.0369021j 0.00757365-0.0550267j -0.0270536-0.0441514j 0.00927651+0.0116243j 0.0121361+0.0266361j -0.0227926-0.0240659j -0.00753982-0.0608322j -0.025719+0.00816544j -0.0304271+0.00408433j 0.0251471+0.0364843j -0.005518-0.0424052j 0.0159877+0.0123992j 0.00745279-0.0128249j -0.0383275+0.076261j 0.00316279+0.0211172j -0.031549+0.0188514j -0.0346386+0.087956j 0.00691173-0.0381406j -0.00492568+0.00618993j -0.0587021-0.0432358j -0.0429575-0.0364077j -0.0483414-0.00668004j -0.0483039-0.0346964j 0.0181438+0.00671764j -0.0143282-0.00200495j 0.026663-0.0476708j 0.029024-0.0257742j 0.0211061-0.0315288j 0.00524204+0.038075j -0.00100267-0.0677719j 0.000528509-0.0231411j -0.0631761+0.0656164j 0.0301369-0.0680241j -0.0386613+0.0161323j 0.022581-0.0588747j -0.0600199+0.0529794j 0.013194+0.0431767j 0.125794-0.0334287j -0.132493-0.0698664j -0.0470905-0.0554252j 0.0525829+0.0879096j 0.102354-0.13151j 0.194886+0.113156j 0.0976075-0.176075j 0.1868+0.10025j -0.100468+0.185769j 
0.0437168+0.0907043j 0.0911002-0.0442044j 0.0499581+0.0848982j -0.093997+0.0541584j -0.0408745-0.0572979j 0.0251515-0.0239286j 0.00827656-0.0244379j 0.0596993-0.0265797j -0.0187918-0.0516115j -0.0456644-0.00673999j 0.0292042-0.0156326j 0.00407526-0.00598625j 0.0346101+0.0117056j 0.0187513+0.0243047j 0.0256951-0.0397134j 0.023288+0.00863394j -0.0277598-0.0348666j -0.0220653-0.00485498j -0.0395339-0.00239376j 0.00338982-0.0121353j -0.00824302-0.00719944j -0.00840109-0.0398359j -0.0286313-0.00777281j 0.00771483+0.00164286j 0.0102906+0.000172962j 0.00520495+0.0146182j -0.020582-0.0126449j -0.0026467+0.024236j 0.0178611+0.0251398j -0.0129752+0.000322976j -0.00564894-0.0133072j 0.0169058+0.0142179j 0.01041+0.0271709j 0.0134997-0.00580378j 0.010223+0.00462065j -0.0199664-0.0165923j 0.00554922+0.0226564j -0.01387-0.0123492j 0.00497887+0.0112437j 0.010093-0.0394276j 0.00358476-0.00455447j 0.00597126-0.00690253j 0.00779791-0.0510044j 0.000873047+0.0164812j 0.00281587-0.00653765j 0.024882+0.00184405j 0.0156878+0.0112797j 0.0162545+0.0116106j 0.0153577+0.0100825j 0.000464322+0.00113394j 0.00656414+0.00227451j -0.00937445+0.0179391j -0.00910045+0.00822687j -0.00592698+0.0281416j 0.00143968-0.0218993j -0.0107091+0.0476527j -0.00582469+0.00844752j 0.0331051-0.0272125j -0.0214732+0.030566j 0.0110625-0.0095875j -0.0104505+0.0345176j 0.0337548-0.0315478j -0.00315333-0.0217349j -0.061341+0.0210871j 0.0658349+0.0216732j 0.0298166+0.0216469j -0.0280826-0.0377357j -0.039829+0.0530226j -0.0945101-0.0672687j -0.0626401+0.0893349j -0.115445-0.0536471j 0.0528304-0.114035j 
-0.0129395+0.0126186j 0.0128465+0.0127509j 0.00882028+0.0172668j -0.0207909+0.0107712j -0.0140477-0.0154229j 0.0091051-0.00615623j -0.00133841-0.00702503j 0.0157817-0.0145702j -0.0054876+0.000489926j 0.00615431-0.00358624j 0.0116179+0.010065j 0.0140343+0.00168152j 0.00216315+0.0043236j 0.00458616+0.00849352j 0.00648086-0.00218665j 0.00765722+0.000221903j -0.00947641-0.0118044j -0.00670561+0.00123687j -0.0160422-0.00842353j 0.00600185+0.00394007j -0.00428639-0.00378112j -0.00343549-0.00875711j -0.00169594-0.00822861j -0.000444708+0.00305858j 0.00242297+0.0025407j 0.00403947+0.00348299j -0.00679655-0.0127452j 0.00587091+0.00531121j 0.00703579+0.00999414j 0.00190148-0.0108738j -0.00364002-0.00575844j 0.000253418+0.00981263j -0.000689425+0.00976301j -0.00110614+0.00319724j -0.00862496-0.00824409j 0.00118912-0.00971474j -0.004327+0.000259683j -0.000581285-0.0135526j 0.00410833-0.00345869j -0.0046308-0.0129297j -0.0109703-0.0063821j 0.00302046-0.0101055j 0.0161508-0.0208339j -0.00447454+0.0042165j 0.00331355-0.012512j 0.00989015+0.00342277j 0.00776031+0.0108636j 0.00452244+0.0110435j 0.00549449+0.000574363j -0.00799466+0.00693244j 0.00672701+0.00230304j -0.00364211+0.00947425j -0.00349783+0.00555866j -0.0216841+0.00391225j -0.00417995+0.00326383j -0.00269686+0.0095593j 0.00988612+0.00810754j 0.00482138-0.0244904j -0.0106081+0.014156j 0.0140469-0.013989j -0.0168729-0.00463785j 0.00583051-0.000171251j -0.0121126+0.005984j -0.0238339+0.01276j 0.0320115+0.0205829j -0.0134338+0.0123445j -0.0146918+0.00714061j -0.000204002+0.0272263j -0.0326587-0.0173878j -0.0183756+0.0285804j 0.00209327+0.017957j -0.0188826+0.00191378j 
0.0101731+0.0303519j 0.0299636-0.00977481j 0.00983998+0.0212306j -0.0212671+0.00954579j -0.0125937-0.0140341j 0.00567298-0.0171739j 0.0108783+0.000821131j -0.00547034-0.00200483j -0.0159595+0.0131132j 0.0125282+0.0174451j -0.00333018+0.00797766j 0.00894523-0.00890223j -0.00238568+0.00458936j -0.000376703-0.00226834j 0.0185636+0.00203806j 0.00155143-0.0038647j -0.000418507+0.00711193j -0.0136789-0.000360665j -0.012572-0.0248152j 0.00919713+0.0101959j -0.0114812+0.00132291j -0.00478176-0.0010511j 0.00142405-0.00773604j -0.00914573+0.00580463j 0.0101949+0.00572623j 0.00314972+0.00487973j -0.00108312-0.0122412j 0.0100297+0.00205216j -0.00070241+0.00405254j 0.0191547-0.0110618j -0.0102756-0.000754068j -0.00775374+0.00647167j 0.000694865+0.00804122j 0.00296061+0.00907842j 0.00361204-0.0098514j 0.00476715-0.012585j -0.00905736+0.000777994j 0.00111882-0.00268108j 0.00209514-0.00856064j -0.0011293-0.019098j -0.0137894-0.00716048j 0.00668137-0.00184031j 0.00897245-0.014408j -0.0047424+0.0102911j -0.00287736-0.0026845j 0.00871542+0.0040125j 0.00465886+0.00913362j 0.0115293-0.000630076j 0.00454665+0.0126134j -0.00432862-0.0008252j 0.0102725-0.00634886j -0.00991849+0.00588276j -0.00395858+0.00202926j -0.0110046-0.00255875j -0.0125697-0.00551112j 0.0129054+0.00613425j 0.00545447+0.00518554j 0.00812082-0.0204231j -0.0133497+0.0176742j 0.0109996+0.00216677j -0.0117027-0.00259558j -0.00261828-0.0106678j 0.00428175-0.00197968j -0.0154103+0.00940219j 0.0133744+0.00544445j 0.00577125+0.00492699j -0.000727882+0.000922287j 0.00010301-0.00411756j -0.00531213-0.00302347j -0.00224457+0.00630346j -0.0229407-0.00649909j 0.00644272-0.0216574j 
-0.0460034-0.0158704j -0.0159122+0.0463879j 0.00323727+0.0092818j -0.0133225+0.00481848j -0.0111043-0.018308j 0.00519341+0.0115652j -0.0237894-0.0179553j 0.0394277-0.0249474j 0.00237134-0.00501507j 0.00381855-0.0239407j 0.0254133+0.0104759j 0.0085002+0.0159009j 0.0034804+0.00709937j 0.00328541+0.0102889j -0.00065312-0.00564564j 0.0193015+0.00583754j -0.0146634-0.0240527j 0.000924514+0.00648659j -0.0179726+0.0131634j 0.00321747-0.0042793j 0.00865186-0.00347504j -0.000739639-0.00445237j -0.00803113-0.0181609j 0.00366633+0.0140579j 0.00277611-0.00275023j 0.0102987-0.00102423j -0.018005-0.00128657j 0.00258846-0.0011621j 0.0106092+0.0225229j -0.00919833+0.000852381j 0.0120708-0.00623665j 0.00610857+0.0160139j 0.00215859+0.00931904j -0.00167351-0.00538537j -0.0195312+0.00445767j -0.012705-0.00826611j -0.00711655+0.00862078j 0.00230294-0.017818j -0.000683771+0.0106844j -0.00715724-0.0137407j -0.00305258-0.00311274j -0.0122536-0.0123175j -0.00257629-0.023896j -0.00249343+0.00425546j -0.00296349-0.0119021j 0.00962693-0.00702862j 0.000947012+0.00236872j -0.00455623+0.015604j -0.0121834-0.012056j -0.0066443+0.00606934j 0.00136201+0.00620978j 0.00526934+0.00618481j 0.0114004+0.00292753j -0.0138296+0.0326132j 0.00720548+0.00237985j -0.0266814+0.0174208j 0.0112749+0.00158555j -0.00091624-0.0111408j -0.0187216+0.0039026j 0.00644303-0.0195703j -0.0260837+0.00279184j 0.0136703-0.0111289j -0.00475168+0.0184535j -0.0294675+0.0124001j 0.0339201+0.0334299j -0.0151247+0.0058298j -0.0199679+0.00540647j -0.00929917+0.0222827j -0.0126966-0.00465519j -0.00198591+0.00795221j 0.0178248+0.0520314j -0.0519558+0.018368j 
0.0237254+0.0261311j 0.0258729-0.0238318j -0.00111657+0.00546396j -0.00563673-0.00189844j 0.00420199-0.00132758j -0.00595514-0.0017589j 0.00769454-0.00772867j 0.0064448+0.00758218j 0.000437684-0.0208007j -0.0212304-0.00185687j 0.00433355-0.0138887j -0.0138238-0.0028282j 0.00779828+0.000948883j 0.00552949+0.00581725j -3.69114e-05-0.003842j 0.00173449+0.00900315j -3.4274e-05-0.00673565j 0.00402144-0.00444186j 0.00602089+0.00315247j -0.0051716-0.00918618j 0.00292279+0.00504763j 0.00226851-0.0106743j -0.00328522+0.00864883j 0.00448205-0.00639896j 0.000838303-0.0040162j -0.000526755+0.00275493j 0.000721589+0.00673221j -0.00761194+0.00398902j -0.00580693+5.35247e-05j -0.0120643+0.00740893j 0.000106151-0.00251212j 0.0040791-0.00438019j 0.00235679+0.000141175j 0.00570172-0.0051454j 0.00303603+0.00223864j -0.000103283+0.0016669j 0.00837582+0.00411176j -0.00465214+0.00951867j 0.00675877+0.00878797j 0.00565129+0.00383797j 0.0144548+0.000617022j -0.00196919+0.0044112j -0.000168292-0.00553332j 0.00478246+0.00349074j -0.000162113+0.00660128j 0.00223347-0.00535923j -0.00161229-0.00940816j -0.00224013+0.00163555j 0.00691824-0.00545844j 0.00948088-0.0042568j -0.00592364+0.0081041j 0.00159143-0.0019995j -0.00450418+0.00211435j 0.00505985+0.00139987j 0.011902-0.00895504j -0.00193399+0.00337671j -0.0177904-0.00626158j 0.0103492+0.00688255j 0.00576214-0.00669596j 0.0032039+0.00662042j 0.00350761+0.00626518j 0.0113377+0.00432307j 0.00392019-0.0202752j -0.00479181-0.00586979j -0.00594521-0.00956819j 0.0191491+0.00499938j 0.00542143-0.0119593j 0.00536593-0.00163539j -0.0231876+0.000807593j -0.00193299+0.0241825j -0.0205123-0.0198182j 0.0192215-0.0201032j 
