0.0170772-0.00550278j 0.00575866+0.0172773j 0.00777209-0.000366898j -0.000248086-0.00784835j 0.00374373-0.00236409j -0.00163454-0.000527409j -0.0051782-0.00242677j 0.001793-0.00455166j 0.00206194+0.000696571j 0.000422896+0.00161914j -0.00140972-0.0018083j 0.00339143-0.00354168j 0.00129978-0.000763165j -0.00421516-0.0018437j 0.000566279-9.18679e-05j 0.00043792+0.00631677j -0.00121994+0.000181565j 0.00323401-0.00291249j -0.000652206+0.00158501j 0.0031833-0.000887917j 0.000445173-0.00201705j 0.00125801-0.000363498j 0.0016707+0.00284074j -0.00200506-0.00379154j -5.96443e-06-0.00124188j -0.00284603+0.00227058j -0.00125095-0.00249794j -0.00240112+0.000413479j 0.00127776+0.00142308j -0.00116449+0.000856966j 0.00223969-0.00165283j 9.83327e-05+0.00142665j -0.00174914+0.00237781j 0.00104612-0.000688777j -0.00327815-0.000496693j -0.00193656-0.00121121j -0.00213938+0.00128451j -0.000663359+0.00322895j -0.000965509-4.49929e-06j 0.00392173-0.000119549j 0.00132342+0.00105855j 0.00361563-0.000298474j 0.0050823-0.00176495j 0.00041615-0.00059462j 0.000217773+0.00122207j -7.87116e-05-0.00329268j 0.000843179+0.00039885j 0.000138784-0.00367675j 0.0016532-0.00261167j -0.00477696-0.00105315j -0.0011235-0.00111217j 0.000298304-0.000415995j -0.00119666-0.0028366j -0.00114757-0.00636419j 0.000542405+0.000748506j 0.00156024+0.00318996j -0.00154106+0.00275766j 0.000118141-0.00207376j -0.00566154-0.00130434j 0.000121092-0.00437833j 0.00362376+0.00371496j 0.0013965-0.00344568j 0.00157881-0.00255326j 0.00594733-0.00165221j 0.00666341-0.000240403j 0.00142302+0.00426912j -0.00111201+0.00432652j -0.00124244-0.00120548j 0.00131751-0.00131456j -0.00325822+0.00538818j -0.00436053-0.00499561j 0.00078774-0.00191914j -0.00136082+3.43081e-05j -0.00464202+0.00853438j -0.00909295-0.00440416j -0.0003804-0.0176839j -0.018138+0.000318465j 
-0.00432819-0.00300372j 0.00272722-0.00415223j 0.000153269+0.0063339j 0.00630636-0.000345723j 0.00299807+0.000668236j -0.00180831-0.00269012j 0.00297024-0.00302577j 0.00081059+0.00090928j 0.000996851-0.0012677j 0.000252552+0.000420788j 0.000298538+0.000610084j -0.00143032+0.00155658j 0.00177814+0.00162882j 0.00413187+0.000791634j -0.00210193+0.00103627j -0.000638842-0.00219985j -0.000430977-0.000696557j 0.000100197+0.00224456j 0.00101549-0.00223843j -0.00155816+0.000796075j -0.000819131+0.00128152j -0.00107643+0.00148857j -0.00133972-0.00100526j 0.000154427+0.00189744j 0.000690606+0.000924179j -0.000444102+0.000676481j 0.00146783+0.00157909j -4.67044e-05-0.000901329j -0.000266752-0.00178336j -0.001327-0.00137432j -0.000585335+0.000472443j 0.0012869-0.00140725j 0.00100436-0.00145157j -0.00138733+0.00125125j 0.00185246+8.70413e-05j -0.00116549-1.74342e-05j -0.000116895+0.000801975j 0.0007044-0.000725488j 0.000845228+0.00181881j -0.000811275-0.000174995j -0.000417804+0.00011587j -0.000839157-0.00186512j -0.00184906-0.00122787j -0.000806651+0.00085073j -0.000629171-0.00153802j -0.000591855-0.00161759j -0.00148486+0.000685191j -0.00139494-0.00054471j -0.00078109-0.00197981j 0.00198204+0.00143703j -0.00290966+0.00172305j 0.000533278-0.00117721j -0.00057721-3.57525e-05j -0.00146293+0.00181581j -1.65289e-05-0.00156343j -0.000991596-0.00137336j 4.14587e-05+0.00118092j 0.00107831-0.00144599j -0.00173404-0.00082513j -0.00206254-0.00142848j -0.00232267-0.000166295j 0.000393173+0.0019711j 0.000873823+0.00174728j 0.000930788+0.000922468j -0.000970034-7.40366e-05j 0.00175358-0.00162048j -0.000814031+0.00162778j -0.000133159+0.000473936j 0.00112169+0.000958843j -0.00388401-0.000673458j -0.000456402-0.00258244j 0.00175464-0.00472487j -0.00311235-0.00167678j -0.00174517-0.00576769j 0.00564258-0.00211783j -0.00713334+0.0109495j 0.0111462+0.00679484j 
-0.0115295+0.0100295j -0.0095086-0.0120826j -0.00684962-0.00414073j -0.00402667+0.00783484j -0.00512814+0.00176941j 0.00497099-0.000149192j 0.00265999+0.00701417j -0.00341027+0.00371342j -0.00165698+0.000280702j 0.000969963-0.00106835j 0.00140749+0.00122743j -0.000190323+0.00278429j -0.00465132+3.14382e-05j 0.00185958+7.78606e-05j -0.00126882-0.000657305j -0.00397398-0.00447087j 0.002464+0.000816597j -0.00265676+0.00120701j -0.000463785+0.00217794j -0.00205349+0.000803748j 0.0022577+0.000477599j 0.000849217-0.00140925j -0.00290081-0.000684374j 0.00274282+0.00161606j -0.00114281+0.00197668j 0.0035851-0.00410258j -0.00135696+0.00178629j 0.00371891+0.000475474j -0.00207236-0.000303944j 0.00378981+0.000750446j -0.000570569+0.000300183j -0.00248499+0.000899221j 0.000285591+0.000202636j 0.000580801-0.00105856j 0.00112565+0.000443179j 0.00444926-0.000897733j 0.00231818-0.00113314j -0.00065888-0.000870924j -0.000201081-0.00446064j -0.00359895+0.00117681j -0.00179621-0.00209177j -0.00304529+0.00414542j -0.0019298+0.00206303j -0.000633199-0.000108881j -0.000544439-0.000831995j 0.00224236+0.00238613j -0.000373204-0.00150119j 0.00348376+0.00389905j 0.000479757+0.00633482j 0.000628177-0.00324022j 0.0019756+0.000702794j 0.000675778-0.00282921j -0.000149383+0.00148044j -0.000938651+0.00342812j 0.00045822-4.3598e-05j -0.00104014-0.00190044j -0.00114345-0.00540609j -0.00495826+0.00371854j 0.00797019+0.00439161j 0.00163135+0.0027941j 0.00169547-0.00419043j -0.00010582+0.00403951j -0.00329911-0.000505489j -0.0045858+0.00098832j -0.00517828+0.00205461j -0.00581729+0.00154311j 0.00144448-0.00433551j -0.00366137+0.000208326j -0.00291649+0.000178721j 0.00876143-0.00728193j 0.00727859+0.00621686j 2.02597e-05+0.00647262j -0.000278981-0.00210422j 0.00732085+0.00634864j -0.00689471+0.00723329j 0.00624915+0.00285016j 0.00242498-0.00558544j 
0.0390512-0.0117091j 0.0121596+0.0396717j 0.0134021-0.0123295j -0.0123516-0.0139576j 0.00598208-0.00524776j 0.00018423+0.00347562j -0.0168587+0.000714951j 0.000134428-0.0143625j 0.00582543+0.00201583j 1.45688e-05+0.00481309j -0.00396397-0.00582724j 0.00835558-0.0112282j 0.00335971-0.00412335j -0.0162907-0.00287696j 0.00497515-0.00214775j 0.00546093+0.0189257j -0.000469012+0.000469505j 0.00598196-0.00945027j -0.0024384+0.00880517j 0.0104698-0.00333541j 0.00119802-0.00700538j 0.00285697-0.00238768j 0.00880766+0.00775744j -0.00700578-0.0105264j 6.33762e-06-0.00532957j -0.00695158+0.00418426j -0.00425658-0.00847059j -0.00770811+3.78786e-05j 0.00426014+0.0072823j -0.000664709+0.00433011j 0.0064212-0.00354219j -0.00176627+0.00442349j -0.00372809+0.00566689j 0.00394035-0.00183825j -0.0124641-0.000510982j -0.00475218-0.000334855j -0.00542121+0.00177067j -8.99568e-05+0.0051956j -0.00500023+5.63458e-05j 0.0113689-0.00199598j 0.00336782+0.00224084j 0.0119024-0.000925883j 0.0148458-0.00360706j 0.00185913-0.00112884j 0.00231065+0.00645524j -0.00103274-0.00296203j 0.00424653+0.000853231j -0.000213056-0.00779579j 0.00217358-0.00829412j -0.010516+0.000439144j 0.00227594-0.00360789j -0.00377161+0.00414952j -0.0012455-0.00710748j 0.00149168-0.0176094j -0.000347822+0.00376557j 0.00559601+0.00828258j -0.000358392+0.00487665j 0.00284545-0.00667422j -0.0131601-0.00550724j 0.00225017-0.00928446j 0.00867238+0.0107595j 0.00166883-0.0141703j 0.00393114-0.00555906j 0.0146591-0.00168844j 0.0163193+8.7154e-05j 0.0010031+0.00818772j -0.00225806+0.00919728j -0.00309042+0.000177101j 0.00862962-0.00184743j -0.0042691+0.0207714j -0.0134048-0.00480117j -0.00395358+0.00137217j 0.00617895+0.00372454j -0.00604696+0.0137336j -0.0138822-0.00550058j 0.0106136-0.0413401j -0.0420673-0.0108537j 
-0.0194002+0.0135899j -0.0137272-0.0193522j -0.00551259-0.00121747j -0.00135774+0.00577931j -0.0052733+0.00526644j 0.00672207+0.00177534j 0.00921681+0.00642194j -0.00521879+0.0121937j -0.00757159-0.000770525j -0.0027912-0.0032454j 0.00422812+0.00350239j 0.000229972+0.00777939j 0.000907229+0.00425918j 0.0107366-0.00313678j -0.00302199-0.000464381j -0.00572724-0.0119314j 0.00305055-0.000946308j -0.00652663+0.00571648j 0.000620929-0.00380582j -0.00389296+0.00262746j -0.00282866-0.000347904j -0.00483486+0.000931813j -0.0059013-0.00685684j 0.00688067+0.00641897j -0.00083787+0.00345697j 0.00514094-0.00427936j 0.00290383+0.00303213j 0.00615527+0.00175963j 0.000798106-0.00414359j 0.00168087-0.00310551j -0.00558876+0.00034183j 0.00331553-0.00512199j -0.000745457+0.000150821j -0.00223993+0.00100725j 0.00745907+0.000977971j 0.0067764-0.00595553j 0.00178946+0.0015372j -0.000771459-0.00281736j 0.00372794-0.00229112j -0.00552314-8.19919e-05j -0.00333948+0.000156036j -0.00353607-0.000598707j -0.00911836-0.000779426j -0.00246154+0.00202048j -0.000597391-0.00700391j 0.000854767-0.00161051j -0.00147685-0.00161019j -0.0022886+0.00756527j -0.000940335+0.00367606j 0.0030812-0.00427633j -0.00191926+0.000227029j 0.00207778-0.00441591j -0.000525939+0.000294198j -0.00551431+0.00558803j 0.00217346-0.00224433j -0.00527529-0.00806647j -0.00258472-0.00660282j -0.00287495+0.00305119j 0.00587328+0.0057742j 0.000314003+0.0032535j 0.00142531-0.00491932j -8.15613e-05+0.00372459j -0.000416062+0.00353203j -0.00387976+0.00302013j -0.00496488+0.00178343j -0.00439749-0.00304391j 0.00112119-0.00218417j -0.00158292+0.00176526j 0.00286869+0.0027141j -0.000347028-0.00744784j 0.00970421+0.00522097j -0.00780326+0.00282249j -0.00281923+0.00472203j 0.0242099-0.00726556j 0.00667884+0.0246198j -0.0046384+0.0241167j 0.0240806+0.00454196j 
0.00825953+0.0120918j -0.0119623+0.00847646j -0.00773263-0.0253753j -0.0258023+0.00748442j -0.00915634-0.000124198j 0.0116993+0.0111032j -0.00593281+0.0205318j -0.0152185+0.00143812j -0.00590226+0.000363315j -0.00587894-0.00238652j 0.00102834-0.000427901j 0.0095117+4.23688e-05j -0.00109394+0.000499224j -0.00723172-0.00814601j 0.00706291-0.00667196j -0.00157204+0.00599123j 0.00679123+0.000125671j -0.00505189-0.00494262j -0.00554995+0.0120355j 0.00679549-0.00260925j -0.0011642-0.00864237j 0.000604155-0.00316163j 0.00541798+0.000413391j -0.000554543-0.005677j -0.00345329-0.00247666j 0.0026743-0.00577697j -0.00396863-0.00708391j 0.000176532-0.000884037j 0.00642876+0.00709321j 0.00486225+0.00476982j -0.00187979+0.000553843j -0.000458873-0.00167472j -0.00161468+0.00488034j 0.00184505-0.00189637j -0.00688397-0.000745896j 0.00176442-0.00394863j -0.00208636+0.00136646j -0.0013278-0.00406292j -0.00362085-0.00408769j 0.00317911-0.00182596j -0.00130369-0.00250271j 0.00741493+0.00215014j 0.00143058+0.00130627j 0.00191902-0.00116819j 0.00463751+0.000388501j 0.000289524+0.00353914j 0.00587163-0.00356291j -0.00114981+0.00529395j -0.00325341+0.000590656j -0.00557761+0.00101036j 0.00811014-0.00543595j -0.0103917+0.001502j -0.00180684-0.0016649j 0.003438-0.00454846j 0.00146543+0.00328672j -0.00215319-0.000596369j 0.00154222-0.00524151j 0.00130339+0.00287414j 0.00529645+0.00369427j 0.00678782+0.00442837j 0.00726263-0.000451572j 0.00370063-0.0128591j -0.00232732-0.00426514j -0.00305599+0.0032124j 0.00554797+0.00512782j -0.007273+0.00330439j -0.000505049-0.00198086j -0.000374342+0.00402197j 0.00543766-0.00219415j 0.0189266+0.00789734j -0.00157948+0.0229411j -0.0161325+0.00820783j 0.00771845+0.0059538j 0.0185398+0.00374055j -0.00299638+0.0189569j 0.02008-0.0134641j -0.0134776-0.0198952j 
-0.0394519+0.0170212j -0.0178647-0.039581j -0.0138366+0.0120338j 0.0118249+0.0138117j -0.0117193+0.00926993j 0.00283304+0.00535089j 0.0184562-0.00350106j 0.00289388+0.021799j -0.0122709+0.000656003j -0.00490958-0.0084415j 0.00458926+0.0100093j -0.0108485+0.0129305j 0.00122211+0.00418628j 0.0219947-0.00101237j -0.00573913+0.00342661j -0.00694426-0.0256246j -0.000556595+0.000495011j -0.00749542+0.0109286j 0.000627628-0.0157749j -0.0125137+0.00504375j -0.00302498+0.00549655j -0.00625424+0.00302449j -0.0129976-0.0111829j 0.0114386+0.0140617j 0.000504992+0.00596489j 0.00711144-0.00336466j 0.00695065+0.0108726j 0.0114711+0.000533375j -0.00140341-0.00785614j 0.000744358-0.00556636j -0.0104937+0.00639625j 0.00590472-0.00929583j 0.00261541-0.00648585j -0.00745756+0.00180335j 0.0168303-0.00327182j 0.00781217-0.00152544j 0.00635325-0.00408688j -0.00305436-0.00405624j 0.00644609+0.00108877j -0.0112923+0.00125176j -0.00558834+0.000203172j -0.00913409+0.00095513j -0.0209504+0.00359549j -0.00067948+0.00272321j -0.00253791-0.0124038j -0.00143222+0.000126549j -0.00469399-0.00129061j -0.00383366+0.0102338j -0.00111826+0.00793259j 0.0109964+0.00160778j -0.00240549-4.51592e-05j 0.00387877-0.00452143j 0.00334404+0.00704464j -0.000934736+0.0195077j 0.00582855-0.00556589j -0.00649508-0.0125965j 0.0035104-0.00707781j -0.00387817+0.0071969j 0.0101021+0.00539084j -0.00227449+0.00771994j -0.00925504-0.0107981j -0.00159618+0.0107878j -0.00382566+0.00293693j -0.0188916+0.00197885j -0.0170971-0.000730143j -0.0016028-0.014175j 0.000704547-0.0136154j 0.00516764-0.00452853j -0.0139243+0.00498353j 0.004119-0.0197373j 0.0126144+0.01112j 0.00245165-0.00544823j -0.00591984-0.0117211j 0.0122595-0.0239888j 0.024265+0.00946403j -0.0206532+0.0485099j 0.0494736+0.0200693j 
0.0621692-0.0538073j 0.0540404+0.0624779j 0.0289762+0.0117419j 0.0124416-0.0297997j 0.0222256-0.0206588j -0.0331587-0.00772342j -0.0297059-0.0371258j 0.0261283-0.0393681j 0.0238046+0.00245692j 0.0111936+0.0114992j -0.013684-0.0125317j -0.00725983-0.0245309j -0.00195236-0.019914j -0.0331142+0.0177067j 0.0124476+0.00324055j 0.0290444+0.0387576j -0.0156638+0.00170976j 0.0244251-0.0221963j 0.00282025+0.00558615j 0.0136646-0.00921567j 0.00663238-0.00131529j 0.0114008-0.000818004j 0.0242026+0.0177355j -0.0248178-0.0164022j 0.00537006-0.0142507j -0.0217504+0.0234106j -0.0027578-0.010836j -0.0268454+0.00105471j -0.00343458+0.00895258j -0.0121707+0.0047211j 0.022604-0.0105009j -0.0076226+0.0164265j -0.000379388+0.000834821j 0.00423432-0.0019367j -0.0210598+0.00473681j -0.0214552+0.0193191j -0.0114669+0.000164285j 0.0104662+0.013523j -0.0126021+0.0134307j 0.0186996-0.00371149j 0.0133102+0.00300293j 0.0130259-0.00869747j 0.0309169-0.0108695j 0.00461477-0.00630559j -8.9001e-05+0.0263666j -0.00346916-0.000518169j 0.00157197+0.0118823j 0.00205221-0.03409j 0.00509471-0.0279847j -0.0108485+0.00803899j -0.00189356+0.00369248j 0.00280814+0.0147889j 0.000177966-0.0103622j 0.00305203-0.0276996j -0.0107287+0.00725824j 0.0214956+0.0227317j 0.00431982+0.0291001j 0.00723596-0.0128901j -0.0360944-0.0251915j -0.0103854-0.0128059j 0.00331219+0.0223437j -0.00396509-0.00900657j 0.0133827+0.00364314j 0.0289451-0.0109872j 0.0170496-0.0135805j 0.0224746+0.0104171j -0.00636022+0.0108767j 0.012028+0.00212806j 0.0141604+0.000412517j -0.0412412+0.0204241j -0.0208425-0.0418507j 0.00415391-0.0177061j -0.0120614+0.0170602j -0.0592861+0.00367084j -0.00631392-0.057311j 0.00913203-0.0631034j -0.0635342-0.0093402j 
-0.0552456+0.00347561j -0.00364005-0.0552725j 0.00159365+0.0585147j 0.0591735-0.000868817j 0.00364054+0.00925166j -0.0176877-0.00661523j 0.0102132-0.0535365j 0.0464097+0.00649233j -0.000115157+0.00214616j 0.0142918-0.00407793j -0.000178209+0.00216443j -0.0348714+0.0110414j -0.00112666-0.0134315j 0.0261499+0.0206864j -0.00925043+0.0228276j 0.00894581-0.0344678j -0.0122163+0.00213678j 0.00850192+0.014051j 0.0111711-0.0428363j -0.0195847+0.0109563j 0.00889325+0.0209377j -0.0129058+0.00543635j -0.0169946-0.0119873j 0.011689+0.0284189j 0.0140381+0.00595888j -0.00439087+0.0139711j 0.0189196+0.0207058j 0.0140861+0.00611251j -0.0187029-0.0154857j -0.00872191-0.018182j -0.00560326+0.00119574j 0.00453998-0.00401605j 0.0031742-0.0127472j -0.00691179+0.00130732j 0.0285262+0.00191429j 0.0102201+0.011123j 0.00916001-0.012966j -0.000453935+0.0181814j 0.0163164+0.00554962j -0.0160412+0.000367188j 0.000138066+0.00936136j -0.02224-0.000716121j -0.0246909-0.00835533j -0.00535535+0.00690316j -0.016518-0.00908211j 0.000543416-0.00494548j -0.0158676+0.00764969j -0.00152337-0.00673229j 0.00541818+0.00665187j 0.016853-0.00633288j -0.013506+0.00678521j 0.0337744+0.00132396j 0.00942967+0.00999514j -0.00945786+0.0244202j 0.00482795-0.0110479j 0.00565017-0.00591587j 0.000374153-0.00499566j -0.020218+0.00522359j -0.00660694+0.00275218j -0.0214122+0.00111159j -0.0168606-0.0106686j -0.0215141+0.0359084j -0.00298178+0.0088801j -0.0135951-0.0110444j -0.0191997-0.0232082j 0.0124447-0.0156964j 0.00514957-0.0125139j 0.00954377-0.00915107j -0.013389+0.0158684j -0.047305-0.0280769j 0.0217368-0.0549181j 0.037308-0.0122678j -0.0287264-0.0191285j -0.0162512-0.0384909j 0.0342438-0.0168673j -0.0539405+0.0556592j 0.0551355+0.0534163j 
-0.0715913-0.00664017j 0.00697828-0.072334j 0.0101543+0.10263j 0.104284-0.00831084j 0.0110549-0.00476258j -0.0522739-0.0180926j 0.0103332-0.10073j 0.0836275+0.00128739j 0.00311046+0.00590589j 0.0265583-0.0059745j -0.00389316-0.00519004j -0.0523548+0.0166427j -0.0161906-0.0290851j 0.0255845+0.0395119j -0.00414418+0.0331821j 0.0226054-0.0378422j -0.0279611+0.00476232j 0.021964+0.011577j 0.0171086-0.0671288j -0.02698+0.014774j 0.01482+0.0341403j -0.0186736+0.0149223j -0.0196259-0.0102274j 0.00765875+0.0360544j 0.015752+0.00450675j -0.010045+0.0311664j 0.0291193+0.0302178j 0.0154549+0.0105018j -0.0358808-0.0283738j -0.0240787-0.032852j 8.64706e-05-0.00344759j -0.00297328+0.00044713j -0.00139613-0.0177387j -0.00674903+0.00324598j 0.0426156+0.00652312j 0.00783763+0.0190281j 0.0111094-0.0208877j 0.00593459+0.0363678j 0.0244054+0.00723957j -0.026406+0.00213362j 0.00873679+0.0147487j -0.0418413-0.00520247j -0.0369607-0.0097308j -0.00285135+0.00241138j -0.0318844-0.00401991j -0.00240446-0.00117856j -0.023162+0.0165918j 0.00188549-0.015506j 0.015988+0.0133434j 0.0249416-0.0155612j -0.0237019+0.0146794j 0.0609093+0.00444017j 0.0136348+0.0150563j -0.0190076+0.0355532j -0.00240399-0.0163815j 0.00881564-0.00297321j -0.00964846+0.0085456j -0.0319451+0.0140158j -0.00780275+0.00885388j -0.0393804+0.0103407j -0.0205529-0.0188325j -0.0366897+0.0648176j -0.00453799+0.0172445j -0.0253078-0.0320476j -0.0252978-0.0533809j 0.0297268-0.0140239j 0.0214888-0.0244925j 0.0259662-0.0184013j -0.0447951+0.00834735j -0.0749022-0.0621305j 0.0305532-0.100911j 0.0642437-0.0213721j -0.0438856-0.0112059j -0.0587064-0.0323635j 0.0299528-0.0555804j -0.0684645+0.044128j 0.043381+0.0692443j 
0.165377-0.119926j 0.120987+0.165722j 0.0617616-0.0454026j -0.0435384-0.0646671j 0.0429861-0.0468453j -0.044099-0.00854346j -0.0856961-0.0249741j 0.0188684-0.106278j 0.0624335+0.00330585j 0.0196097+0.0337366j -0.0351137-0.0378286j 0.0130011-0.0709214j -0.0113604-0.0336271j -0.108122+0.0375404j 0.0386936-0.0131787j 0.0781364+0.118947j -0.0156921-0.00113905j 0.0376121-0.0660379j 0.00716645+0.0547108j 0.0542579-0.0262416j 0.0161501-0.0288363j 0.0297588-0.0131236j 0.0774785+0.0520792j -0.0632811-0.050641j 0.0122238-0.0407978j -0.0506235+0.0426129j -0.0250255-0.0402976j -0.0726987-0.00664349j 0.00923682+0.0509052j -0.00998016+0.0274729j 0.0572042-0.0264731j -0.0296619+0.0556874j -0.00180916+0.0125159j 0.0234781-0.0113387j -0.0843887+0.0144133j -0.0475846+0.0438721j -0.0316977-0.000755609j 0.0283491+0.0212147j -0.0505509+0.0233036j 0.0602674-0.0157734j 0.0252644+0.00810427j 0.0585197-0.0112206j 0.0933495-0.0123425j 0.0115719-0.00710659j 0.0146551+0.0776254j -0.0101372+0.00888063j 0.0194503+0.0197712j 0.00358231-0.0698955j 0.0156203-0.0628886j -0.0320032+0.0329812j 0.0235093+0.000555194j -0.0234113+0.0510421j 0.00366319-0.0257121j 0.0312757-0.0868715j -0.0286439+0.0220464j 0.0625934+0.0621015j 0.0140253+0.0538065j 0.0359196-0.0360234j -0.065367-0.0717614j -0.000212633-0.0357233j 0.00922753+0.0621555j -0.00109323-0.0648255j 0.020344+0.00376808j 0.0828784+0.0019775j 0.0532817-0.0177897j 0.037455+0.0282821j -0.0129737+0.0348945j 0.000422228+0.0210076j 0.0550258+0.00501101j -0.0605622+0.0900922j -0.0692148-0.059372j -2.83353e-06+0.00212466j 0.0360706+0.0418521j -0.104734+0.0268848j -0.0246483-0.101185j 0.0841547-0.174993j -0.174911-0.0834719j 
