0.0133091+0.258468j 0.00794131-0.13928j -0.188571+0.117441j -0.00131832-0.07307j 0.0235117-0.0521461j -0.00115177-0.0188468j 0.00167757-0.0128061j 0.00746264+0.018752j 0.0314666+0.00209191j -0.0134988+0.00197676j 0.0145919-0.0283449j -0.0159627-0.0261929j -0.0177427+0.0285248j -0.0109989+0.00675133j -0.00125651+0.0122413j -0.00907531-0.000711171j -0.00355957+0.00694438j -0.00574666-0.0014163j -0.0108287+0.0122993j 0.0165124+0.00623151j 0.0100213+0.00718057j 0.00508491+0.00222259j -0.00278044-0.0379447j 0.0155403-0.0285131j 
-0.250242+0.0482756j 0.12828-0.0254477j -0.0976539-0.179847j 0.0628291-0.0223514j 0.0362087+0.0169874j 0.0209785-0.00314407j 0.0112954+0.00451483j -0.0142311+0.00360052j -0.0081697+0.0331866j -0.00250686-0.010161j 0.0353179+0.0168418j 0.0120749-0.0183016j -0.0162133-0.0146518j -0.00250591-0.0222524j -0.00436891+0.00188335j -0.00373684+0.0115088j 0.00680304-0.00335786j -0.00705246+0.00484593j 0.0170217+0.00189674j -0.00394696-0.00133055j 0.0262829-0.0132499j -0.0264309-0.0266764j 0.0114561+0.00922918j 0.00733331+0.033049j 
0.100392+0.0105747j 0.116599-0.208101j 0.133538+0.0434817j 0.0288404-0.0875139j -0.04327-0.0450479j 0.0225632+0.00688212j 0.060542-0.0198287j 0.0210946+0.00613001j -0.0179797-0.0554433j 0.00868711+0.00814136j 0.0245683-0.0240985j -0.000164962-0.014955j -0.0116694+0.0137333j 0.0177665-0.0111396j -0.0140172-0.00816737j -0.0055178+0.00903013j 0.00198158+0.00274763j 0.0146668-0.0164946j 0.000977124+0.0063271j -0.00942076+0.0116736j 0.0102501+0.00664122j 0.0380385+0.0192111j 0.0243099-0.0188529j 0.00316739-0.0414577j 
-0.20052+0.138387j 0.175281+0.124234j 0.0294427+0.0997409j 0.0757744+0.0359698j 0.0341992-0.0463595j 0.042832-0.00799464j 0.00266033-0.0078892j 0.0242008-0.00802268j -0.009924-0.0127579j 0.0132062+0.00232206j 0.0160359+0.0164489j 0.0111301+0.00350372j -0.016081-0.00516102j 0.0157206+0.00897466j -0.0109575+0.0101849j 0.00164433+0.0140158j 0.00076549+0.00653869j -0.0261986-0.00983162j 0.0207299-0.0208327j 0.00515475-0.000641892j 0.012032-0.00136745j -0.00627596-0.00746001j 0.0205629+0.00821563j 0.000708913+0.0034179j 
0.120524+0.25442j 0.054381+0.0224874j 0.0798867-0.0473818j 0.0334142-0.0209221j -0.00633745+0.0354712j 0.0147701+0.0220709j -0.00362185+0.0286027j 0.0168548-0.00688432j -0.0185799+0.00741511j -0.00512082+0.0181391j -0.0117269-0.0256702j -0.000979786-0.0044117j 0.0100286-0.0154063j 0.0159168+0.00231719j -0.0190308-0.00107172j -0.00247083-0.0232426j 0.0255791-0.016633j -0.012476-0.0276157j 0.0105975+0.0200151j -0.0321007+0.0116683j 0.00904885-0.00638047j 0.0036983-0.00658755j -0.00133513+0.00691598j -0.0124626+0.00465094j 
0.0313619-0.0430427j 0.0586619-0.0341435j -0.0724421-0.0993256j 0.0102415-0.0156634j 0.0259461+0.00661595j 0.015291-0.0309199j -0.0353494+0.0132602j 0.00174027+0.0703548j 0.0133819-0.0237634j 0.00445603-0.00557614j 0.00675683+0.00693972j -0.0153595-0.00675185j -0.000648075-0.00135532j -0.00690136-0.00406455j 0.0169185+0.0132142j 0.0210424-0.0428605j 0.0194747-0.0144219j -0.0112097-0.00058886j 0.00296161+0.0214178j -0.0326952+0.014624j -0.00317493+0.017271j -0.0145597-0.0117569j 0.00788755-0.0124787j 0.0127791+0.00451653j 
0.0550078-0.29696j 0.0892994+0.0462571j -0.155651+0.0789489j 0.0528455+0.0466058j 0.0671031-0.00119629j 0.00342943+0.0451864j -0.0112237+0.00496084j 0.0443554+0.0156931j 0.010627+0.0493361j -0.0124711-0.00598829j -0.0117865+0.0029653j 0.00455891+0.0176685j -0.0135548-0.0147561j -0.0104934+0.0134402j 0.0130299-0.0136321j 0.0241654-0.0257715j -0.000272164-0.00579801j -0.00912023+0.00079571j -0.000194978-0.0275639j -0.00608069+0.00125741j -0.0113695-0.00628129j -0.0265636-0.0144286j 0.0025896+0.0072829j 0.00957792+0.0294006j 
0.399207+0.0392999j 0.154131+0.0466594j -0.110162-0.106116j 0.0374802+0.00523487j 0.0306848+0.0117801j -0.0239226+0.0377433j -0.00817484-0.00432088j -0.0175201+0.0041828j -0.00883627+0.0445347j -0.00251204-0.00641119j 0.00919969+0.0179221j 0.0140637-0.0346686j -0.00388412-0.00739641j -0.02517-9.89801e-05j -0.00115061-0.00494037j -0.0030049-0.0207467j -0.0140695-0.000395253j 0.0297399+0.00194012j -0.0353119+0.00142569j 0.0142797+0.00882938j 0.00673931+0.00512191j 0.0122495-0.0186909j -0.00826307+0.00363186j -0.0144822+0.032922j 
0.0719938+0.186459j -0.0351363+0.0207579j -0.119923-0.0319786j -0.0207197+0.00797294j 0.0350834-0.0115558j -0.0492766-0.0448649j 0.0247569+0.00993068j 0.00736034+0.0130787j 0.0218303+0.022946j -0.0011197-0.015156j -0.0107531-0.00364786j 0.0274567+0.0122096j -0.00580583-0.00942856j -0.00202631+0.0156933j -0.0207204-0.0156838j -0.0248599+0.0186416j -0.00438239+0.00493173j -0.0201054-0.012262j -0.00297524-0.0132445j 0.016761-0.0125671j 0.00242926-0.0214507j -0.0141321+0.00819704j -0.0172077+0.00184767j 0.00256338+0.00877087j 
-0.162375+0.120308j -0.0314766-0.00635884j 0.0254162+0.0165348j 0.000740933+0.00712634j -0.0170007+0.0021625j -0.00145208+0.0256563j -0.017949-0.0233476j -0.0246474-0.00493394j 0.019761-0.00953944j -0.00815205-0.00354879j 0.0252536-0.0293466j 0.00560151-0.0266492j 0.00229413+0.00557023j -0.0438733-0.0089462j -0.00702074+0.0458727j -0.00710559+0.0109337j -0.02071-0.0207457j 0.0100883+0.0241462j 0.0166522+0.0241501j 0.00409094+0.0102878j -0.0052452-0.00790706j -0.00834652+0.00156273j 0.00625757-0.00837985j 0.0144451-0.0108376j 
-0.0282234+0.308143j -0.0790979-0.00605667j 0.0682634-0.158021j -0.0189351-0.0464003j -0.0520538+0.042211j -0.00362985-0.0177204j 0.024329+0.0196405j -0.00166333+0.0193312j -0.034158+0.00167026j -0.00933506+0.012667j -0.0368833-0.00851598j -0.00402618-0.0445383j -0.0188043-0.00519897j 0.0242167+0.0166162j -0.000548191+0.0246545j -0.0146563-0.0125612j -0.0049771+0.00108242j -0.0115914-0.00895661j 0.00843845-0.013957j -0.00905328+0.0152486j -0.0122068+0.00356469j 0.00147145+0.0167981j 0.00494993-0.00180104j -0.00679856+0.0067803j 
