-0.506424-0j -0.0515245-0j -0.0520585-0j -0.0296544-0j -0.00428024-0j -0.0366954-0j -0.0214057-0j -0.00529653-0j -0.00308964-0j 0.0620385-0j 0.010967-0j -0.0243869-0j 0.000913914-0j -0.0149339-0j -0.0213385-0j -0.00431103-0j -0.00263996-0j -0.00880169-0j -0.000359253-0j -0.00377215-0j -0.000219996-0j -0.00155593-0j -0.000314346-0j -0.000129661-0j -0.0161406-0j -0.00269011-0j 0.0541134-0j -0.00164735-0j -0.000336263-0j -0.014887-0j -1.98145e-05-0j -0.0150413-0j 0.00901891-0j -0.0130261-0j 0.00552293-0j -0.00248117-0j -0.010746-0j 0.00112736-0j -0.0015194-0j -0.00250688-0j 6.64305e-05-0j -0.0034334-0j -0.000310146-0j -0.00153514-0j -0.00217102-0j -0.00132947-0j -1.82755e-05-0j -0.001791-0j -0.00031336-0j -0.000271378-0j -0.00109676-0j -1.84649e-05-0j -0.000572234-0j -0.000223875-0j -0.00035042-0j -1.59911e-05-0j -7.15292e-05-0j -1.3192e-05-0j -4.2149e-06-0j 
0.0102366-0j 0.0601119-0j -0.0586303-0j -0.0680382-0j -0.00982046-0j 0.000741743-0j -0.0486485-0j 0.000107061-0j -0.00702181-0j 0.0243869-0j 0.00431103-0j -0.000969425-0j 0.000359253-0j 0.0174228-0j -0.0240323-0j -0.000171372-0j 0.00307995-0j -0.0300943-0j -1.4281e-05-0j -0.00424835-0j 0.000256663-0j -0.00531997-0j -0.000354029-0j -0.00044333-0j 0.0188307-0j 0.00313846-0j 0.000368548-0j 0.00192191-0j 0.000392307-0j -0.0341563-0j 2.31169e-05-0j 0.0333145-0j 6.14247e-05-0j 0.000263304-0j 3.76148e-05-0j -0.00569272-0j -0.0244224-0j 7.67809e-06-0j -0.00348607-0j 0.00555241-0j 4.52436e-07-0j -0.0156755-0j -0.00071159-0j 0.00340014-0j 4.38839e-05-0j 2.68733e-05-0j -4.19309e-05-0j -0.0040704-0j 0.000694051-0j 5.48549e-06-0j -0.0024926-0j 4.08974e-05-0j -0.00261259-0j -0.0005088-0j -0.00159988-0j 3.23236e-07-0j -0.000326574-0j -2.99813e-05-0j -1.92435e-05-0j 
0.361806-0j -0.108337-0j 0.0371924-0j 0.0211861-0j 0.00305795-0j -0.0771568-0j 0.0152929-0j -0.0111366-0j 0.00220735-0j 0.0149339-0j 0.00263996-0j 0.0174228-0j 0.000219996-0j 0.00947164-0j -0.044867-0j 0.00307995-0j 0.00167437-0j 0.00628823-0j 0.000256663-0j -0.00793143-0j 0.00013953-0j 0.00111161-0j -0.000660953-0j 9.26344e-05-0j 0.0115314-0j 0.00192191-0j 0.0130261-0j 0.00117692-0j 0.000240238-0j -0.0313018-0j 1.41562e-05-0j 0.010746-0j 0.00217102-0j 0.00826169-0j 0.00132947-0j -0.00521697-0j -0.0225949-0j 0.000271378-0j -0.00319473-0j 0.001791-0j 1.59911e-05-0j 0.00245294-0j -0.000652122-0j 0.00109676-0j 0.00137695-0j 0.000843205-0j -3.84266e-05-0j -0.00376581-0j 0.000223875-0j 0.000172119-0j -0.00230608-0j 1.3192e-05-0j 0.000408824-0j -0.000470726-0j 0.000250352-0j 1.01422e-05-0j 5.1103e-05-0j -2.77378e-05-0j 3.01127e-06-0j 
0.49906-0j 0.0511006-0j 0.0531111-0j -0.0302722-0j -0.00436941-0j -0.0351324-0j -0.0196194-0j -0.00507093-0j -0.00283181-0j -0.0213385-0j -0.00377215-0j 0.0240323-0j -0.000314346-0j 0.044867-0j -0.0211503-0j 0.00424835-0j 0.00793143-0j -0.0424669-0j 0.000354029-0j -0.00373887-0j 0.000660953-0j -0.00750716-0j -0.000311573-0j -0.000625596-0j -0.0164769-0j -0.00274615-0j 0.0179677-0j -0.00168167-0j -0.000343269-0j 0.0147645-0j -2.02273e-05-0j 0.0153454-0j 0.00299461-0j -0.0377793-0j 0.00183382-0j 0.00246076-0j 0.00956889-0j 0.000374327-0j 0.0015069-0j 0.00255757-0j 2.20574e-05-0j -0.0367535-0j 0.000307594-0j 0.00156619-0j -0.00629656-0j -0.00385584-0j 1.81252e-05-0j 0.00159481-0j 0.000319696-0j -0.00078707-0j 0.00097662-0j 1.88383e-05-0j -0.00612559-0j 0.000199352-0j -0.00375114-0j -4.63785e-05-0j -0.000765698-0j 1.17469e-05-0j -4.51192e-05-0j 
-0.624944-0j 0.0216955-0j 0.103604-0j 0.0124866-0j 0.00180229-0j -0.0452834-0j 0.010791-0j -0.0065361-0j 0.00155755-0j 0.00880169-0j 0.00155593-0j -0.0300943-0j 0.000129661-0j 0.00628823-0j 0.0424669-0j -0.00531997-0j 0.00111161-0j -0.0515627-0j -0.00044333-0j 0.00750716-0j 9.26344e-05-0j -0.00911509-0j 0.000625596-0j -0.000759591-0j 0.00679638-0j 0.00113273-0j -0.0224999-0j 0.000693652-0j 0.000141591-0j 0.00626851-0j 8.34334e-06-0j 0.0299344-0j -0.00374998-0j -0.0160747-0j -0.00229639-0j 0.00104475-0j 0.00541728-0j -0.000468748-0j 0.000639777-0j 0.00498907-0j -2.76212e-05-0j -0.0269173-0j 0.000130594-0j 0.00305517-0j -0.00267912-0j -0.00164062-0j 7.69532e-06-0j 0.00090288-0j 0.000623634-0j -0.00033489-0j 0.000552899-0j 3.6748e-05-0j -0.00448621-0j 0.00011286-0j -0.00274723-0j -1.97336e-05-0j -0.000560776-0j 6.65034e-06-0j -3.30441e-05-0j 
0.0651739-0j -0.312655-0j -0.315895-0j 0.00381636-0j -0.0524965-0j 0.0047225-0j 0.00275479-0j -0.0649611-0j -0.037894-0j 0.00269011-0j -0.0224226-0j 0.00313846-0j -0.00568491-0j 0.00192191-0j 0.00274615-0j -0.0261597-0j -0.0160195-0j 0.00113273-0j -0.00663239-0j -0.0228897-0j -0.00406149-0j -0.00944153-0j -0.00580334-0j -0.00239376-0j -0.00825796-0j 0.0648952-0j 0.00234646-0j -0.000842825-0j 0.0163959-0j 0.00191588-0j 0.00194241-0j 0.00193573-0j -0.0184397-0j 0.00167639-0j 0.000239485-0j -0.0150559-0j 0.00138295-0j -0.0046588-0j 0.000195538-0j -0.015212-0j -0.000551926-0j 0.00044186-0j -0.0038039-0j 0.000197565-0j -0.0131739-0j 0.000171096-0j -0.000450645-0j -0.0108679-0j -0.00384332-0j -0.00332841-0j 0.000141147-0j -0.000455315-0j -0.00347236-0j -0.0027458-0j 4.50972e-05-0j -0.000394315-0j -0.000877296-0j -0.000325293-0j -0.000103933-0j 
-0.00127556-0j 0.353181-0j -0.344476-0j -0.00431103-0j 0.0593011-0j -9.2427e-05-0j 0.00606199-0j 0.0012714-0j -0.0833867-0j 0.00901891-0j -0.0751744-0j -6.14247e-05-0j -0.0190593-0j -0.00217102-0j 0.00299461-0j 0.000511988-0j 0.0180959-0j 0.00374998-0j 0.000129807-0j -0.0249607-0j 0.00458794-0j -0.0312569-0j -0.00632841-0j -0.00792471-0j -0.00234646-0j 0.0184397-0j 0.000136299-0j -0.000239485-0j 0.0046588-0j -0.00216421-0j 0.000551926-0j 0.00211087-0j -0.0010711-0j -3.28097e-05-0j 1.39109e-05-0j 0.0170075-0j 0.00304322-0j -0.000270616-0j -0.000220884-0j -0.0165883-0j -3.20597e-05-0j 0.0019533-0j 0.00429696-0j 0.00021544-0j 0.000257835-0j -3.34863e-06-0j 0.000509058-0j -0.0239152-0j -0.00419105-0j 6.51424e-05-0j 0.000310598-0j -0.000496511-0j -0.01535-0j -0.0060422-0j 0.000199358-0j 7.71738e-06-0j -0.00387819-0j -0.000715816-0j -0.000459447-0j 
-0.0601119-0j -0.280162-0j 0.29136-0j 0.00692233-0j -0.0952213-0j 0.00423171-0j -0.00254083-0j -0.05821-0j 0.0349508-0j -0.00248117-0j 0.020681-0j 0.00569272-0j 0.00524336-0j 0.00521697-0j 0.00246076-0j -0.04745-0j -0.0434845-0j -0.00104475-0j -0.0120302-0j -0.0205109-0j -0.0110248-0j 0.00870822-0j -0.00520023-0j 0.00220784-0j -0.00191588-0j 0.0150559-0j -0.00216421-0j -0.000195538-0j 0.0038039-0j -0.0033762-0j 0.000450645-0j 0.00351114-0j 0.0170075-0j 0.00455053-0j -0.000220884-0j 0.0265319-0j 0.00123923-0j 0.00429696-0j -0.000344582-0j -0.0275923-0j 0.000509058-0j -0.000407541-0j 0.00670331-0j 0.000358355-0j -0.0357604-0j 0.000464437-0j 0.000794138-0j -0.00973849-0j -0.00697124-0j -0.0090349-0j 0.000126478-0j -0.000825878-0j 0.00320267-0j -0.00246044-0j -4.15945e-05-0j -0.00107036-0j 0.000809157-0j -0.000291487-0j 9.58604e-05-0j 
-0.0586303-0j -0.29136-0j 0.294202-0j -0.00699407-0j 0.0962081-0j -0.00424835-0j 0.00230491-0j 0.0584389-0j -0.0317056-0j 0.00250688-0j -0.0208954-0j 0.00555241-0j -0.0052977-0j 0.001791-0j -0.00255757-0j -0.0462805-0j -0.0149284-0j 0.00498907-0j -0.0117337-0j 0.0213179-0j -0.00378486-0j -0.0415849-0j 0.00540482-0j -0.0105432-0j 0.00193573-0j -0.015212-0j -0.00211087-0j 0.000197565-0j -0.00384332-0j -0.00351114-0j -0.000455315-0j 0.0035454-0j 0.0165883-0j -0.00150808-0j -0.00021544-0j 0.0275923-0j 0.00115711-0j 0.00419105-0j -0.000358355-0j -0.0278615-0j 0.000496511-0j 0.00431786-0j 0.00697124-0j 0.000361851-0j 0.0118512-0j -0.000153918-0j 0.000825878-0j -0.00909313-0j -0.00703925-0j 0.00299423-0j 0.000118097-0j -0.000833936-0j -0.0339319-0j -0.00229739-0j 0.00044069-0j 0.000354725-0j -0.00857293-0j -0.00027217-0j -0.00101563-0j 
0.000911304-0j 0.742608-0j 0.246106-0j 0.00307995-0j -0.0423668-0j -0.000194339-0j -0.00433089-0j 0.00267327-0j 0.0595743-0j 0.00217102-0j -0.0180959-0j 4.38839e-05-0j -0.00458794-0j 0.00137695-0j 0.00629656-0j -0.000365782-0j -0.0114771-0j -0.00267912-0j -9.27383e-05-0j -0.0524831-0j -0.00290985-0j 0.022331-0j -0.0133063-0j 0.00566168-0j 0.00167639-0j -0.0131739-0j 3.28097e-05-0j 0.000171096-0j -0.00332841-0j -0.00455053-0j -0.000394315-0j -0.00150808-0j -0.000257835-0j 2.08092e-05-0j 3.34863e-06-0j 0.0357604-0j 0.00639876-0j -6.51424e-05-0j -0.000464437-0j 0.0118512-0j -7.71738e-06-0j -0.0013955-0j 0.0090349-0j -0.000153918-0j -0.000163529-0j 2.12383e-06-0j 0.00107036-0j -0.0502847-0j 0.00299423-0j -4.13159e-05-0j 0.000653071-0j 0.000354725-0j 0.0109666-0j -0.0127045-0j -0.000142428-0j -4.89467e-06-0j 0.00277071-0j -0.00150509-0j 0.000328245-0j 
0.0845268-0j -0.202232-0j 0.18883-0j -0.00254083-0j 0.0349508-0j -0.00595045-0j -0.00705034-0j 0.0818524-0j 0.0969821-0j -0.001791-0j 0.0149284-0j 0.0040704-0j 0.00378486-0j 0.00376581-0j 0.00159481-0j -0.0339276-0j -0.0313888-0j -0.00090288-0j -0.00860183-0j -0.0132931-0j -0.00795815-0j 0.00752568-0j -0.00337026-0j 0.00190802-0j -0.00138295-0j 0.0108679-0j 0.00304322-0j -0.000141147-0j 0.0027458-0j 0.00123923-0j 0.000325293-0j -0.00115711-0j -0.0239152-0j -0.00639876-0j 0.000310598-0j -0.00973849-0j 0.00343863-0j -0.0060422-0j 0.000126478-0j 0.00909313-0j -0.000715816-0j 0.00374674-0j -0.00246044-0j -0.000118097-0j 0.0502847-0j -0.000653071-0j -0.000291487-0j -0.0270225-0j 0.00229739-0j 0.0127045-0j 0.000350954-0j 0.00027217-0j -0.0294438-0j -0.00682727-0j 0.0003824-0j 0.00150509-0j -0.00743901-0j -0.000808823-0j -0.000881295-0j 
