-0.189615-0j -0.221217-0j -0.135467-0j -0.193565-0j -0.0798414-0j -0.0244024-0j -0.0275654-0j -0.022507-0j -0.0227403-0j -0.0196937-0j -0.0162464-0j -0.00519082-0j -0.0157022-0j -0.00226642-0j -0.0173792-0j -0.00250847-0j -0.0137395-0j -0.00915964-0j -0.0138818-0j -0.00198312-0j -0.00132208-0j -0.00200367-0j -0.0160294-0j -0.00566724-0j -0.00935047-0j -0.00231364-0j -0.000817996-0j -0.00991767-0j -0.00134962-0j -0.00143149-0j -0.00578531-0j -0.000835037-0j -0.00150924-0j -0.00021784-0j 0.071109-0j 0.0125704-0j 0.00104753-0j -0.0129131-0j -0.00228273-0j -0.000190227-0j -0.0100024-0j -0.0101061-0j -0.00913091-0j -0.00176819-0j -0.00178652-0j -0.000147349-0j -0.0112989-0j -0.00161413-0j -0.000148876-0j -0.00753262-0j -0.00659104-0j -0.000134511-0j -0.00652344-0j -0.00199739-0j -0.00133159-0j -0.00932114-0j -0.00116514-0j -0.000166449-0j -0.00466057-0j -0.00115319-0j -0.00384477-0j -0.000110966-0j -9.70952e-05-0j -0.00164776-0j -9.60993e-05-0j -0.00470887-0j -0.00082388-0j -0.000679666-0j -0.000137313-0j -0.00212769-0j -6.86567e-05-0j -0.000832418-0j -5.66389e-05-0j -0.000469112-0j -6.93682e-05-0j -0.000376126-0j -8.29281e-05-0j -3.13439e-05-0j -6.91067e-06-0j 
0.20693-0j 0.00418277-0j 0.147838-0j -0.203921-0j -0.255358-0j 0.0266307-0j 0.000521206-0j 0.0245623-0j -0.0239569-0j 0.000372368-0j -0.0345385-0j -0.0221686-0j -0.0854988-0j -0.0123407-0j 0.000328606-0j 4.74301e-05-0j 0.0149941-0j 0.00999607-0j -0.0146245-0j 0.00216421-0j 0.00144281-0j -0.00211087-0j 0.000303083-0j 0.00618475-0j -0.0198783-0j 4.37463e-05-0j 0.000892692-0j -0.0104483-0j -0.00286918-0j -0.00150808-0j -0.0185033-0j -0.00267071-0j -0.00806407-0j -0.00116395-0j 0.0129131-0j 0.00228273-0j 0.000190227-0j -0.00121821-0j -0.000215351-0j -1.79459e-05-0j 0.0109158-0j -0.0106468-0j 0.00996472-0j 0.00192966-0j -0.0018821-0j 0.000160805-0j 0.00021364-0j 0.00176153-0j -0.000156841-0j 0.000142427-0j -0.014012-0j 0.000146794-0j 0.00711914-0j 3.77666e-05-0j 2.51777e-05-0j -0.00981983-0j -0.00247699-0j 3.14721e-06-0j 8.8122e-05-0j 0.0012585-0j -0.0122968-0j 2.09814e-06-0j -0.000206416-0j -0.00173592-0j 0.000104875-0j -0.0100106-0j 1.55779e-05-0j -0.00217379-0j -0.00014466-0j -0.00908679-0j 1.29816e-06-0j -0.00176965-0j -0.000181149-0j -0.00300961-0j -0.00014747-0j -0.00160633-0j -0.000532029-0j -0.000133861-0j -4.43357e-05-0j 
0.160287-0j 0.187001-0j -0.337024-0j -0.158968-0j 0.0674924-0j -0.0820069-0j 0.0233019-0j -0.0184843-0j 0.0192231-0j -0.0489951-0j -0.0133427-0j 0.00438796-0j 0.0132736-0j 0.00191588-0j -0.0584048-0j -0.00843-0j -0.0112838-0j 0.00774292-0j 0.0117347-0j -0.00162867-0j 0.00111759-0j 0.00169376-0j -0.0131644-0j -0.0235443-0j 0.00790423-0j -0.00190011-0j -0.00339833-0j -0.0246738-0j 0.00114088-0j -0.00356136-0j -0.00475127-0j -0.000685787-0j 0.00127581-0j 0.000184147-0j 0.0100024-0j 0.00176819-0j 0.000147349-0j 0.0109158-0j 0.00192966-0j 0.000160805-0j 0.0326573-0j -0.0339626-0j 0.00771864-0j 0.00577305-0j -0.00600379-0j 0.000481088-0j -0.00927942-0j 0.00136448-0j -0.000500316-0j 0.00636755-0j 0.00557161-0j 0.000113706-0j -0.0162294-0j -0.00164039-0j 0.00112563-0j -0.00765513-0j 0.00098493-0j -0.000136699-0j -0.0193621-0j -0.00286898-0j 0.0032501-0j 9.38029e-05-0j 8.20775e-05-0j -0.00135325-0j -0.000239082-0j -0.011715-0j -0.00342278-0j 0.000574543-0j -0.000112771-0j -0.0017474-0j -0.000285231-0j -0.00207094-0j 4.78786e-05-0j 0.000396555-0j -0.000172578-0j -0.0003089-0j 7.01016e-05-0j -2.57416e-05-0j 5.8418e-06-0j 
-0.161948-0j 0.182392-0j -0.115701-0j 0.165223-0j -0.322301-0j 0.0828567-0j 0.0227275-0j -0.0192231-0j 0.0194106-0j 0.0162373-0j -0.0124585-0j -0.0464899-0j -0.0134111-0j -0.00193573-0j -0.0569652-0j -0.00822222-0j -0.0117347-0j -0.00782316-0j 0.0118492-0j -0.00169376-0j -0.00112918-0j 0.00171029-0j 0.0132161-0j -0.00484034-0j -0.00717033-0j 0.00190758-0j -0.000698642-0j 0.0084655-0j -0.00103495-0j 0.00122189-0j -0.0233539-0j -0.00337085-0j -0.0234311-0j -0.00338199-0j -0.0101061-0j -0.00178652-0j -0.000148876-0j 0.0106468-0j 0.0018821-0j 0.000156841-0j 0.0339626-0j -0.0342939-0j -0.00779863-0j 0.00600379-0j -0.00606237-0j 0.000500316-0j 0.00931591-0j -0.00137862-0j -0.000505197-0j 0.0062106-0j -0.00505429-0j -0.000114885-0j -0.00557161-0j 0.00164684-0j 0.00109789-0j 0.00795632-0j -0.00089348-0j 0.000137236-0j 0.00384262-0j -0.00098493-0j -0.0155204-0j 9.14908e-05-0j -7.44567e-05-0j 0.00140649-0j -8.20775e-05-0j -0.00361096-0j 0.000679285-0j -0.00274365-0j 0.000117208-0j -0.019056-0j 5.66071e-05-0j -0.000638333-0j -0.000228638-0j -0.0111384-0j -5.31944e-05-0j -0.00336866-0j -0.00196901-0j -0.000280722-0j -0.000164084-0j 
-0.43427-0j -0.335715-0j 0.104537-0j 0.14937-0j 0.0616118-0j 0.0188307-0j -0.0631323-0j -0.0341563-0j -0.0345103-0j 0.0151972-0j 0.012537-0j 0.00400564-0j 0.0121171-0j 0.00174895-0j 0.0134111-0j 0.00193573-0j -0.0314672-0j -0.0348693-0j -0.0317932-0j -0.00454189-0j -0.00503296-0j -0.00458896-0j -0.0243259-0j 0.00437328-0j -0.0141901-0j -0.00351114-0j 0.000631229-0j 0.00765324-0j -0.00204817-0j 0.00110465-0j 0.00446439-0j 0.000644379-0j 0.00116465-0j 0.000168102-0j 0.00913091-0j 0.00161413-0j 0.000134511-0j 0.00996472-0j 0.00176153-0j 0.000146794-0j 0.00771864-0j 0.00779863-0j 0.0411262-0j 0.00136448-0j 0.00137862-0j 0.000113706-0j -0.0258777-0j 0.00727016-0j 0.000114885-0j -0.0286755-0j -0.0150953-0j 0.000605846-0j -0.00989987-0j -0.00457457-0j -0.00506916-0j -0.0141456-0j -0.0026685-0j -0.000381214-0j 0.00359646-0j -0.00175007-0j -0.00583477-0j -0.00042243-0j -0.000222375-0j -0.00250061-0j -0.000145839-0j 0.00363373-0j 0.00063577-0j -0.00103145-0j -0.000208385-0j 0.00164189-0j 5.29808e-05-0j 0.000642358-0j -8.59542e-05-0j 0.000362003-0j 5.35299e-05-0j 0.000290248-0j 6.39937e-05-0j 2.41874e-05-0j 5.33281e-06-0j 
0.537381-0j -0.00365992-0j 0.380709-0j -0.173351-0j 0.223439-0j -0.0233019-0j 0.00135353-0j 0.0208802-0j 0.0209623-0j 0.000958914-0j -0.0293608-0j 0.0193975-0j -0.0149941-0j -0.00216421-0j -0.00028753-0j -4.15014e-05-0j -0.0378301-0j -0.00874656-0j -0.0379789-0j -0.00546031-0j -0.00126246-0j -0.00548178-0j 0.000257648-0j 0.0265961-0j 0.0173935-0j 3.71883e-05-0j 0.00383882-0j -0.0269062-0j 0.00251053-0j -0.00388358-0j -0.0157294-0j -0.00227035-0j 0.00705606-0j 0.00101846-0j -0.0112989-0j -0.00199739-0j -0.000166449-0j -0.00021364-0j -3.77666e-05-0j -3.14721e-06-0j 0.00927942-0j 0.00931591-0j 0.0258777-0j 0.00164039-0j 0.00164684-0j 0.000136699-0j -0.000539014-0j 0.00457457-0j 0.000137236-0j -0.000124623-0j -0.036388-0j 0.000381214-0j 0.0183331-0j -9.5285e-05-0j -2.20305e-05-0j -0.00834775-0j -0.00643256-0j -7.94042e-06-0j 0.000378949-0j 0.00324086-0j 0.0107597-0j -1.83587e-06-0j -0.000536047-0j -0.00147569-0j 0.000270072-0j -0.0257792-0j 6.69893e-05-0j 0.00190207-0j -0.000122974-0j -0.0077246-0j 5.58244e-06-0j -0.00455716-0j 0.000158505-0j 0.00263341-0j -0.000379763-0j -0.00136553-0j 0.000465525-0j -0.000113794-0j 3.87938e-05-0j 
-0.120709-0j 0.0120368-0j -0.0862386-0j 0.118954-0j 0.148959-0j -0.0155346-0j -0.000304037-0j 0.0706831-0j -0.0689409-0j -0.000217214-0j 0.0201474-0j 0.0129317-0j -0.00999607-0j -0.00144281-0j -0.000191687-0j -2.76676e-05-0j -0.00874656-0j -0.0392724-0j 0.00853098-0j -0.00126246-0j -0.00566849-0j 0.00123134-0j 0.000872184-0j -0.00360777-0j -0.0572037-0j 0.000125889-0j -0.000520737-0j 0.00609483-0j -0.00825665-0j 0.000879712-0j 0.0107936-0j 0.00155792-0j 0.00470404-0j 0.00067897-0j -0.00753262-0j -0.00133159-0j -0.000110966-0j -0.000142427-0j -2.51777e-05-0j -2.09814e-06-0j -0.00636755-0j 0.0062106-0j 0.0286755-0j -0.00112563-0j 0.00109789-0j -9.38029e-05-0j -0.000124623-0j 0.00506916-0j 9.14908e-05-0j -0.000559564-0j 0.00817364-0j 0.00042243-0j 0.0204868-0j -2.20305e-05-0j -9.89178e-05-0j -0.0282586-0j 0.00144491-0j -1.83587e-06-0j -5.14045e-05-0j 0.00362158-0j -0.0353866-0j -8.24315e-06-0j 0.000120409-0j -0.00499546-0j 0.000301799-0j 0.00583953-0j -9.08712e-06-0j -0.00625552-0j -0.000416288-0j 0.00530063-0j -7.5726e-07-0j 0.00103229-0j -0.000521294-0j 0.00175561-0j 8.60244e-05-0j 0.000937028-0j 0.00031035-0j 7.80857e-05-0j 2.58625e-05-0j 
-0.313472-0j -0.240043-0j 0.0754588-0j 0.0968064-0j 0.0532453-0j 0.0135928-0j 0.088774-0j 0.012537-0j 0.011373-0j -0.0213696-0j 0.0347879-0j -0.0368259-0j 0.00874656-0j 0.00126246-0j -0.0188582-0j -0.00272194-0j -0.0227142-0j 0.00510216-0j -0.0206052-0j -0.00327851-0j 0.000736434-0j -0.0029741-0j -0.0173935-0j 0.0031568-0j 0.0200218-0j -0.00251053-0j 0.000455645-0j 0.00496006-0j 0.0028899-0j 0.000715923-0j 0.00385815-0j 0.000556876-0j -0.0366959-0j -0.00529659-0j 0.00659104-0j 0.00116514-0j 9.70952e-05-0j -0.014012-0j -0.00247699-0j -0.000206416-0j 0.00557161-0j 0.00505429-0j -0.0150953-0j 0.00098493-0j 0.00089348-0j 8.20775e-05-0j 0.036388-0j -0.0026685-0j 7.44567e-05-0j -0.00817364-0j -0.0418867-0j -0.000222375-0j 0.00363373-0j 0.00643256-0j -0.00144491-0j 0.00466172-0j -0.00740459-0j 0.000536047-0j -0.00505718-0j 0.000642358-0j 0.00256403-0j -0.000120409-0j -0.000617049-0j 0.000824084-0j 5.35299e-05-0j 0.0100829-0j -0.000893992-0j 0.000453261-0j 6.86737e-05-0j -0.0150948-0j -7.44993e-05-0j 0.00178243-0j 3.77718e-05-0j -0.0254088-0j 0.000148536-0j -0.00266841-0j -0.00449169-0j -0.000222367-0j -0.000374307-0j 
-0.104537-0j 0.239847-0j -0.0663015-0j 0.314069-0j -0.0440176-0j -0.0134533-0j -0.0151972-0j -0.071818-0j 0.0246553-0j -0.00963864-0j 0.0263607-0j -0.00286177-0j -0.00865685-0j -0.00124951-0j -0.00958138-0j -0.00138295-0j 0.022293-0j 0.0249119-0j -0.00765324-0j 0.00321771-0j 0.00359572-0j -0.00110465-0j -0.0511483-0j -0.0390317-0j 0.0101379-0j -0.00738263-0j -0.00563374-0j -0.00485399-0j 0.00146328-0j -0.000700613-0j 0.00938695-0j 0.00135489-0j -0.000832064-0j -0.000120098-0j -0.00652344-0j -0.00115319-0j -9.60993e-05-0j -0.00711914-0j -0.0012585-0j -0.000104875-0j 0.0162294-0j -0.00557161-0j 0.00989987-0j 0.00286898-0j -0.00098493-0j 0.000239082-0j 0.0183331-0j 0.00175007-0j -8.20775e-05-0j 0.0204868-0j -0.00363373-0j 0.000145839-0j 0.00627888-0j 0.00324086-0j 0.00362158-0j -0.0297429-0j -0.000642358-0j 0.000270072-0j -0.0320985-0j 0.00110996-0j 0.00416856-0j 0.000301799-0j -5.35299e-05-0j -0.00525786-0j 9.24967e-05-0j -0.00230465-0j -0.00567427-0j 0.000736904-0j -0.000438155-0j 0.00345229-0j -0.000472856-0j -0.000407409-0j 6.14087e-05-0j -0.000258628-0j -3.39507e-05-0j 0.000610284-0j -4.57193e-05-0j 5.0857e-05-0j -3.80994e-06-0j 
0.14937-0j 0.330834-0j -0.314069-0j 0.148052-0j 0.297268-0j 0.0192231-0j -0.0209623-0j 0.0338753-0j 0.0352081-0j 0.0440759-0j -0.0111637-0j 0.0428791-0j 0.0123695-0j 0.00178538-0j -0.0132161-0j -0.00190758-0j -0.0105152-0j -0.0355958-0j -0.0109289-0j -0.00151774-0j -0.00513781-0j -0.00157745-0j -0.0232898-0j -0.0219407-0j -0.013006-0j -0.00336159-0j -0.00316687-0j 0.0229794-0j -0.00187725-0j 0.0033168-0j -0.0209268-0j -0.00302053-0j 0.0216112-0j 0.00311931-0j 0.00932114-0j 0.00164776-0j 0.000137313-0j -0.00981983-0j -0.00173592-0j -0.00014466-0j -0.00765513-0j -0.00795632-0j -0.0141456-0j -0.00135325-0j -0.00140649-0j -0.000112771-0j 0.00834775-0j -0.00250061-0j -0.000117208-0j 0.0282586-0j 0.00466172-0j -0.000208385-0j 0.0297429-0j 0.00147569-0j 0.00499546-0j -0.0140208-0j 0.000824084-0j 0.000122974-0j 0.0174181-0j 0.00525786-0j -0.0281519-0j 0.000416288-0j 6.86737e-05-0j -0.00247855-0j 0.000438155-0j -0.00980187-0j 0.00307912-0j -0.0049766-0j -0.000206546-0j -0.0170756-0j 0.000256593-0j -0.00173274-0j -0.000414717-0j 0.0102733-0j -0.000144395-0j -0.00301857-0j 0.00181608-0j -0.000251547-0j 0.00015134-0j 
0.0746848-0j 0.00150964-0j 0.666565-0j 0.361709-0j -0.0921637-0j 0.00961153-0j 0.000188113-0j -0.043568-0j -0.00864651-0j 0.00167892-0j 0.0612634-0j -0.00800106-0j 0.00618475-0j 0.000892692-0j 0.0001186-0j 1.71184e-05-0j -0.0265961-0j 0.00360777-0j -0.00527827-0j -0.00383882-0j 0.000520737-0j -0.000761853-0j -0.0005376-0j 0.016165-0j -0.00717444-0j -7.75959e-05-0j 0.00233322-0j -0.0471088-0j -0.00103554-0j -0.00679957-0j 0.0328206-0j 0.00473724-0j -0.00291048-0j -0.000420091-0j 0.00466057-0j 0.00082388-0j 6.86567e-05-0j 8.8122e-05-0j 1.55779e-05-0j 1.29816e-06-0j -0.0193621-0j -0.00384262-0j 0.00359646-0j -0.00342278-0j -0.000679285-0j -0.000285231-0j -0.000378949-0j 0.00063577-0j -5.66071e-05-0j 5.14045e-05-0j -0.00505718-0j 5.29808e-05-0j 0.0320985-0j -6.69893e-05-0j 9.08712e-06-0j 0.0174181-0j -0.000893992-0j -5.58244e-06-0j 0.000230324-0j 0.00567427-0j -0.00443815-0j 7.5726e-07-0j -7.44993e-05-0j 0.00307912-0j 0.000472856-0j -0.0451355-0j 4.07158e-05-0j -0.000784562-0j 0.000256593-0j 0.0161179-0j 3.39299e-06-0j -0.00797891-0j -6.53802e-05-0j -0.00108623-0j -0.000664909-0j 0.00284927-0j -0.000192019-0j 0.000237439-0j -1.60016e-05-0j 
