-0.00270755-0.00929064j 0.021832-0.0170291j -0.0435746+0.0180713j -0.0363178+0.0117136j 0.00236179+0.00623606j 0.0472375+0.0156494j -0.011369-0.00148598j 0.0124483+0.0258565j 0.00170233+0.0169434j -0.0092935-0.0170435j -0.00731076-0.0279685j 0.00252134+0.0112627j 1.51714e-05+0.00284029j -0.00111818-0.00378297j 0.00213007+0.0336506j -0.00532363+0.0254975j 0.0085019-0.0199559j -0.00680379-0.01238j 
-0.015396-0.0184738j 0.00961035+0.0233343j 0.00601915-0.00998202j -0.0101489-0.0208802j 0.00182413-0.0551737j 0.000272782-0.0332577j 0.00334747+0.00666789j 0.0496066-0.0035256j 0.0143276+0.0242989j 0.010232-0.0297891j 0.0172409-0.00207306j 0.0014652+0.00235011j 0.00788422+0.0157134j 0.00184125-0.00593692j -0.0118226-0.0120501j 0.00504792+0.0163085j -0.0105997+0.0246547j 0.0365162+0.0101182j 
-0.0125578+0.0211772j 0.00157116-0.0103385j 0.0128959-0.0221356j -0.00287244+0.0199371j -0.0011522+0.0117156j -0.0100127-0.0179865j 0.0122381+0.0516678j 0.0198969+0.0561376j 0.0181122+0.0147799j 0.000669231-0.0350396j 0.0167741+0.00371417j 0.00276734+0.000746403j 0.0121884+0.00797547j 0.00252098-0.00734286j -0.00435999-0.0272505j 0.00361674+0.0309873j -0.00647513+0.0340626j 0.0419724+0.0273149j 
0.0157492+0.0124971j 0.00670704-0.0106353j -0.0484502-0.0182336j 0.00298263-0.00859128j -0.00658441-0.00181536j -0.0562546+0.00136923j 0.0261177+0.00550291j 0.038373-0.060735j 0.0346013-0.0196359j -0.0188434-0.00866549j -0.0197355-0.00217262j 0.0137661+0.0152964j -0.00300735-0.0145956j 0.00607169-0.00435161j 0.00677821+0.0315686j -0.0282414+0.00942454j 0.034656+0.00775767j 0.032531-0.010928j 
-0.0268256-0.00419298j 0.0144187-0.000696081j 0.0123183+0.00923293j -0.00864784-0.02463j 0.0511205-0.0172694j -0.00388533-0.025345j -0.0190078+0.0308594j -0.0240195+0.0290934j 0.00841698-0.00879976j -0.0139243+0.0085389j -0.00453688+0.00539129j -0.00253073+0.0191138j -0.0192112+0.0114597j -0.025568+0.00214661j -0.00248675-0.00152746j -0.0272893+0.0018016j 0.0130425+0.0162662j -0.0175729-0.0193632j 
-0.0161751-0.00732344j 0.0242835+0.0136715j -0.00083842-0.0286229j 0.0162686-0.0035076j 0.0217747+0.0442276j 0.00435818-0.044714j -0.00344304-0.0162365j 0.00205865-0.00518284j -0.00913327+0.0170075j 0.0223749-0.00349235j 0.0164319+0.00177501j 0.0231329+0.0124676j -0.0127684+0.00444602j 0.0298285+0.0113899j -0.000408093-0.000299334j 0.0186754+0.00525138j -0.0121154-0.00228499j -0.00727846-0.0124401j 
0.00902926-0.0027119j 0.00854342-0.0136669j -0.000113487-0.00951341j 0.00223053-0.0307437j -0.03813-0.0159801j -0.012167-0.0286682j 0.0538702+0.0203595j 0.0296042+0.0321234j 0.0140575-0.000473923j -0.0260406-0.0273717j 0.0104803-0.00400251j 0.0186092-0.012726j 0.00604066-0.00866204j 0.0248337-0.0151299j -0.00798598+0.0168463j 0.02211-0.0119311j 0.0198426+0.049307j 0.0166311-0.0168045j 
-0.0140643-0.00307599j 0.000517703+0.0031756j 0.0301772+0.011871j -0.0194184+0.00859617j 0.0177159+0.0269315j -0.0039763+0.0344142j -0.0110849+0.00280794j 0.0355668-0.0271674j -0.0109114+0.00379931j 0.0364895-0.0113017j -0.0188334+0.0172319j -0.00607257-0.0125105j -0.0241709-0.00448245j 0.00426496-0.019365j 0.00406403+0.00707488j -0.0156791-0.0266498j -0.0149615-0.0102404j 0.00042207-0.0572159j 
-0.00185402+0.0294305j -0.00192852-0.00602186j 0.0249001-0.0441642j 0.00835708+0.00651575j 0.0336557-0.039315j 0.0499876-0.0252009j -0.0182511+0.0164467j -0.0418988+0.00142656j -0.00934492+0.0184178j 0.00926743-0.0384501j -0.016948-0.0144174j 0.0100892-0.0085598j -0.0343488+0.00807658j 0.0204052-0.0167973j 0.0291544+0.00528003j -0.0404837-0.0176393j -0.0118322+0.0311361j -0.00485419+0.00480702j 
0.00962945-0.0206021j -0.015856+0.00147482j -0.0299966+0.00153808j -0.0424353+0.0207527j 0.0205748-0.0235392j -0.0333574+0.0143536j 0.00835538-0.00998128j -0.0546331-0.00562392j -0.00997796-0.0110467j -0.0284859-0.00199602j -0.0124447+0.0134857j 0.0126027-0.00616704j -0.00692543-0.00760673j -0.00630821+0.00682961j 0.0291861-0.00841296j -0.00652373+0.0126972j 0.0124531+0.00237655j -0.023606-0.0073215j 
0.00759609+0.00385997j -0.000657093-0.0162463j 0.00600455+0.0151484j -0.0234784-0.0315487j 0.0316072-0.0180125j -0.000436363+0.00121625j -0.014026+0.0350118j -0.0516893-0.00626996j 0.00717573-0.0300304j -0.0119172+0.00187974j -0.0174737-0.0228684j 0.0102815-0.00515247j -0.000258104+0.00367775j 0.00043748+0.0158141j -0.0179723+0.021125j 0.00775332-0.000723874j -0.0129459+0.00728959j 0.00904753-0.0117353j 
