-0.0038704+0.00694808j -0.0051518-4.87929e-05j -0.00110934-0.00515008j 0.010152+0.000478055j 0.0011723+0.00322295j 0.000636682-0.000931424j -0.0029196-0.00136075j -0.00978225-0.00198277j 0.0112199-0.00515902j -0.0020635-0.00338253j 0.00589832+0.00241232j 0.00505792+0.00879383j -0.00721976+0.00674659j -0.00125122-0.0071328j 0.0072105+0.00492801j -0.00850923-0.00726285j 1.97377e-06-0.00110452j -0.000853144-0.00945509j 0.00512796-0.00832599j -0.00789568+0.00573716j 0.000865679-0.00584693j -0.000654141-0.00846711j 0.00383406-0.0100292j -0.00016926-0.00470325j -0.00206209-0.00491115j 0.00478313+0.00375954j 0.00289183+0.00134044j 0.00398697+0.0137008j 0.00884218-0.00803159j -0.00280372+0.0012876j -0.00415485+0.00719151j -0.00357586+0.000813665j 0.0101934-0.00825194j -0.00705411-0.00490707j -0.00167545+0.000573522j -0.000907089-0.00426456j 0.0068737-0.00313487j 0.00367466+0.00150368j 0.0114814+0.00811544j -0.00165473-0.013051j 
0.00938465+0.0143826j -0.00214616-0.0013898j -0.00867455+0.0109662j -0.00109222-0.0126101j 0.00129902-0.0029452j -0.000635007-0.00486663j 0.011625+0.00140338j 0.000484908+0.00416681j -0.00793555+0.00615553j 2.72902e-05+0.0086044j -0.00782853-0.00797689j -0.00201824-0.00278398j -0.00268375-0.00508355j -0.00558573+0.00345043j 0.00721658+0.00042003j 0.00494629+0.00144762j 0.00251156-0.00241013j -0.00291642+0.00200759j 0.00236719-0.00453025j -0.00303418+0.00116965j -0.000801775+0.000241712j -0.000286922+0.000387677j -0.00689847+0.0119515j -0.000416298+0.00647566j -0.00200506+0.0008359j 0.000505982-0.000269074j 0.00429005+0.00491729j -0.00439035+0.00396957j 0.00380409-0.00175601j -0.000594688-0.00158834j 0.00747557-0.000931507j 0.000442011-0.00169654j -0.00492967-0.000678911j -0.00201293+0.012899j 0.000822542+0.00293535j -0.00499948+0.00257297j -0.00555114-0.000195543j 0.0106528+0.000175286j 0.00734616-0.00429939j -0.0106197-0.00466213j 
-0.00306728-0.00857082j 0.000670353+0.000396961j 0.00457851+0.00309975j -0.00701917+0.00320819j -0.0121884+0.00209904j -0.00379551+0.00187723j -0.00954967+0.00891702j 0.0109432-0.000732136j -0.00724938-0.00285964j -0.00202026-0.00915599j 0.00603867+0.00653898j 0.000211308-0.00691839j 0.00272533+0.000314887j 0.00330895-0.000789272j -0.008843-0.00613545j -0.00777427+0.0028179j -0.00301798+0.00165914j -0.00280922+0.00118721j 0.00328726+0.00265989j -0.00050573+0.00323639j 0.000872974+0.000694938j -0.00239751+0.00237282j 0.001178-0.00849705j 0.000126027-0.00547535j 0.00209273-0.00260126j -0.000544709-0.00194498j -0.00579772-0.00590331j 0.00575044+0.000123374j 0.00411947-0.00504972j 0.00107554+0.00287586j -0.002922+0.000630529j -0.000864719+0.00184189j 0.000748011-0.00505534j 0.00127305-0.00369893j -0.00132425-0.00263133j -0.00091355+0.00120934j 0.00702873-0.00259774j -0.00208038-0.00393406j 0.0038769+0.000486939j -0.0037025-0.000632664j 
-0.00118352-0.008303j 0.00201882+0.00082304j -0.00433996-0.00294116j -0.00121812-0.00107755j 0.0123869-0.00131915j 0.00389115-0.00063209j 0.00985196-0.00838708j -0.00101909+0.00460017j 0.000289425+0.00506317j 0.000544045+0.00524084j -0.0130187-0.012049j -0.00481069-0.00367064j 0.0114786-2.12129e-05j 0.0104072+0.0155714j -0.0135245+0.00835099j -0.0133736+0.00428867j -0.00791265+0.00150575j 0.00482003-0.00252585j 0.00153593+0.00451964j 0.00123895+0.00264536j -0.00910253+0.00384435j 0.000977068+0.00480405j 0.0100012-0.0160977j 0.0010579-0.0190266j 0.00533334+0.00746814j -0.00684368-0.00106654j -0.00998521-0.00903596j 0.0086206+0.000553374j 0.000342078-0.00322684j 0.000891169-0.000971921j -0.00526112+0.00147151j 0.00190128+0.00698374j 0.00628352-0.00177621j 0.00341292-0.0086075j -0.00596887-0.00447036j 0.00434087-0.00821764j 0.00313493-0.00119976j -0.00905668-0.000452298j 6.73283e-06+0.00223409j 0.00369007+0.00192627j 
-0.000446209-0.0127551j 0.00702229-0.00103287j -0.00135979+0.00462496j -0.00934786+0.000380829j -0.00233845-0.00554896j 0.00158734+0.00747554j -0.0112271+0.0014051j 0.00143196-0.000322711j 0.000575841-0.00687542j 0.00693396-0.00615444j -0.00135658+0.00233788j -0.00803025-0.00363444j 0.0122613+0.00311977j -0.0128855+0.00747245j 0.00434634+0.00166781j -0.00759529+0.0052506j 0.000851235+0.00759654j 0.0135471-0.00145854j 0.0118627-0.000586437j -0.009514+0.00203062j -0.00474074+0.00231447j -0.00429413+0.010227j 0.0018808+0.0113792j -0.00112391-0.00510427j 0.0072898+0.00208182j -0.00471456-0.003182j -0.0096074-0.00513509j -0.00576157+0.00909733j 0.0182522-0.00279953j -0.000383545+0.000878147j 0.00257574-0.00315822j -0.000428657-0.00094618j 0.00336672-0.00555856j 0.00190978+0.006999j -0.00354489-0.00211805j -0.00663238+0.00043055j 0.00700496+0.00325144j 0.0105524+0.000163985j 0.0106585+0.00750899j -0.00418309-0.0133056j 
0.00016484-0.00510573j 0.00262914+0.000508498j 0.000970717-0.00664905j 0.000522205-0.000111795j -0.00171271+0.000763065j -0.00165106+0.00303045j -0.00504728+0.00162764j 0.000178965-0.000384039j -0.00400954+0.000670944j -0.00250846-0.00259549j 0.00878002+0.00741821j 0.0100639+0.000992059j -0.0139213-0.00650413j 0.0120462-0.00796473j -0.000739806-0.00779953j -0.00182224-0.0134678j -0.000378425-0.00442804j -0.0102685-0.00517731j 0.00343611-0.00211142j -0.00614794+0.000604764j 0.00540448-0.0040108j 0.00635665-0.0125698j 0.0072281-0.0120794j 0.00361699-0.00128248j -0.00266198-0.00413284j 0.00411895+0.00867306j 0.0105694+0.00197003j 0.000866581+0.0122477j 0.00583254-0.00194552j -0.00451436-0.0016677j -0.00488928+0.00196139j -0.00333742-0.00016738j 0.0114072+0.00206577j -0.000988251-0.00286863j -0.000133304+0.00191423j 0.00119558-0.0034363j 0.00268377+0.0021384j 0.00324407-0.00276254j 0.00367036+0.00551935j -0.00166213-0.00536685j 
0.00290301+0.00199868j -0.00372436+0.000531121j -0.00378939+0.000742969j 0.0023166-0.00644594j 0.00361629+0.00537419j -0.00146886-0.00622095j 0.0143862+7.97338e-05j 0.00179946+0.00658048j -0.00844932+0.00581715j -0.00103058+0.00468427j -0.00303941-0.00989943j -7.98458e-05-0.00506005j 0.00228331-0.00861734j 0.00564911+0.00873448j -0.00708058+0.000617026j -0.00460761-0.00421333j -0.00258895-0.000292001j -0.000199263-0.00326759j 0.00850701+0.00330283j -0.00696513-0.00185791j -0.000837517+0.00013087j 0.00314011-0.000221911j 0.00624719-0.00616069j 0.00427391-0.00600117j 0.00126543+0.000412339j -0.00494435+0.000900954j -0.000693567-0.00212648j -0.0049004+0.00857015j 0.0111925+0.000700528j -0.000832612-0.00198277j -0.00182812+0.00144399j -0.0012849+0.00124458j 0.00628228+0.00287313j -0.0026266+0.000666776j -0.00275448-0.00161989j 0.00055056-0.00360678j 0.00154391-2.65271e-05j 0.00398706+0.00206008j 0.00604058+0.00751407j -0.00134085-0.00885202j 
-0.00847401-0.00556172j -0.00767094+0.00584588j 0.00754041+0.00062916j 0.00819741+0.00385343j -0.0131323+0.00828391j -0.00891169-0.0197195j 0.000598636-0.00340216j 0.00978778+0.00756053j 0.00900981-0.00591191j -0.00587702-0.00509547j -0.00769532+0.00710681j -0.00127041+4.65266e-06j -0.000123508+0.0066769j -0.0058118+0.00176878j 0.00290779+0.00563263j -0.00292034+0.00378205j -0.00457573-0.00720216j 0.000432258+0.00359655j 0.00241669+0.0030852j -0.00168294+0.00518098j -0.0106709-0.00751064j 0.00678386+0.00777714j -0.00236124+0.00372261j -0.00172662-0.00977977j -0.00882769+0.00823654j -0.0137557+0.00228705j 0.00046961+0.00438357j -0.00392253+0.00624579j -0.00424025-0.00332644j 0.00561376-0.00831218j 0.00729965+0.00337807j -0.000448355+0.00325694j -0.000677277+0.0082922j -0.00637408+0.0106565j -0.00610769+0.00272183j 0.00622238-0.00540891j -0.0118178-0.00553261j 0.00558149+0.00176167j 0.00194379-0.003259j -0.00362001-0.00163453j 
-0.0061314-0.00334866j -0.0057076+0.00177172j 0.00548079-0.00738496j 0.00105402+0.0074132j 0.0204514+0.00541758j 0.0088737+0.00659644j 0.0084019-0.0115034j -0.0153977+0.00506605j 0.00644881-0.00451084j -0.00997808+0.00762463j -0.0080326-0.00510385j 0.00854679+0.00344066j 0.00105614-0.00553526j -0.00343573+0.00878306j 0.00921331+0.00992292j 0.00641331+0.00405114j 0.00281303-0.00715895j -0.00331281-0.00366046j 0.00280129-0.00258091j -0.00219692+0.00152276j 0.00450442+0.00597869j -0.00368916-0.00449319j 0.000577364+0.0086079j -0.0043892+0.0100022j 0.00623302-0.0056261j 0.00494448-0.00241656j -0.00119962+0.00349785j -0.00437304+0.000531387j 0.00533964-0.000949753j -0.00380701+0.00394129j -0.000744425-0.00197416j 0.000993822-0.00518903j -0.00187124-0.00325771j -1.59777e-05+0.00133042j 0.00353758+0.00278285j -0.0078752+0.00545339j 0.00299261+0.00256029j 0.00440252+0.00179756j 0.00648166-0.000216202j -0.0022358-0.00399323j 
0.000651773+0.00269869j -0.00590511+0.00123839j -0.00252235+0.00608107j -0.00419316-0.000808062j -0.00697975-0.00539305j 0.00126989+0.00529086j -0.00737979+0.00813455j 0.00521197-0.0072613j -0.00534755-0.000279153j -0.0176635+0.0002393j -0.017013+0.00384185j 0.00234222-0.00224253j -0.00335597+0.00514156j -0.00077118+0.00802741j -0.00527276+0.0104204j -0.00062588+0.000221537j -0.00734476-0.0184849j -0.00626031+0.00505836j 0.00204332+0.00850313j 0.00163031+0.00351795j 0.00233435+0.00854885j -0.00687221-0.00565031j 0.00642619+0.00241795j 0.00207611+0.00154808j 0.0122476-0.00287058j 0.0103689-0.00643943j -0.0034695-0.00567704j 0.00252056-0.004116j 0.00433515+0.00324963j -0.00314314+0.00632943j -0.00769203-0.0027751j 0.00149605-0.00233518j -0.000437922-0.00883903j 0.00678921-0.0108114j 0.00419673-0.00328085j -0.00527089+0.00309184j 0.01134+0.00495446j -0.00491842-0.000185683j 0.000560916+0.00331399j 0.00235647-0.000763123j 
-5.4305e-05-0.0258511j 0.00922137+0.00464921j 0.000132373-0.0159625j 0.00759648+0.00211978j 0.000767509-0.000643899j 0.00219988-0.00375066j -0.00252063-0.00196083j -0.00408636+0.000570609j 0.00857472-0.00469192j -0.00091005+6.6137e-05j -0.00126147+0.00132163j -0.000897757+0.00439651j -0.00257089+0.00815539j -0.0118664-0.00176841j 0.00685815+0.00452643j 0.00238953-0.00055045j 0.00182081-0.00312795j 0.00332275+0.00226269j -0.00297347-0.00273837j 3.0896e-05+0.000974895j -0.00278668-0.00250313j -0.00300213+4.27929e-06j -0.00120766+0.0115324j 0.000945988+0.0036271j -0.00093249+0.00121737j 0.00407798-0.00228757j 0.00182479+0.000305522j -0.00156746-4.92254e-05j -0.00144952-0.000346102j -0.000193353+0.000184422j 0.00128943-0.000497197j -0.000215043-0.00135702j -0.00237103-0.000762065j 0.00140933+0.00176722j 0.0013489-0.000386121j -0.000662457+0.0016419j -0.000461279+0.00172518j 0.00124227-0.000483558j 1.64234e-05-0.000910513j 0.000792747+0.00115632j 
