-0.00649158+0.01404j 0.00266786-0.00870361j 0.010362-0.0043057j 0.00106869-0.0115546j 0.00718281-0.00971695j 0.00415738-0.00438956j -0.0215284-0.00204001j 0.013952-0.00633688j 0.00835043-0.00369279j -0.00915478+0.00657816j 0.00797981-0.00881617j -0.0162971-0.00987537j 0.00402591-0.00633005j 0.00596667-0.00238753j 0.00448598-0.00194146j -0.00801412+0.00259767j -0.00073057-0.000881475j 0.00582873+0.00241001j -0.0121859-0.00460298j 0.0071225+0.00359611j -0.00345309+0.00395044j -0.0047529+0.0018178j 0.017647+0.0100521j -0.00341876+0.012706j -0.00800311+0.00186776j 0.00266727-0.00383382j -0.0054417+0.0120173j 0.00798002-0.00192395j -0.0131429+0.00123039j -0.00387614-0.00609108j -0.00253389-0.00267443j -0.00847638-0.00727545j 0.0246822+0.00927038j 0.00194865+0.0213807j -0.00439886+0.00427988j 0.0110853+0.00466101j 0.0150262+0.00566445j -0.0125035+0.013884j -0.00345555-0.0180439j 0.0215441+0.00817676j 
0.00322848-0.00754218j -0.00597304+0.00925704j -0.00422787+0.0190113j 0.0306777+0.0099832j -0.00584405-0.00329779j 0.0124621+0.00862499j 0.00273862+0.00508379j 0.00437568+0.0194873j -0.00540947-0.00780304j 0.0140281-0.00365087j -0.000281348+0.00471759j -0.00229434-0.011083j -0.008544-0.00413008j 0.00750242+0.00248636j -0.00743718-0.00671211j -0.0026162+0.00484926j 0.0109832-0.00490684j 0.0136619-0.00113578j 0.00942177+0.0108709j 0.0137858-0.000492433j 0.00402809-0.00260406j 0.0139945+0.00991904j 0.0134922+0.0168529j -0.0109617-0.00114494j -0.00401912+0.013103j -0.0100207-0.00754393j 0.0169024-0.0100847j 0.0149895-0.0104922j -0.00917791-0.00184551j -0.00501801+0.000545024j -0.00563035+0.00213743j -0.00708927+0.0108268j 0.00915749-0.00714684j -0.00641908+0.0154458j -0.0076588-0.000329208j -0.00539851-0.0112673j 0.0211766+0.0153054j -0.00630426+0.023141j -0.0192967-0.0126411j 0.00575312-0.0084099j 
-0.0143217+0.00137441j -0.00148437-0.0103975j 0.0167443-0.0210165j -0.0138368-0.00893647j -0.00561372-0.0167741j 0.0114447+0.0034394j -0.00227737+0.0172649j 0.0076057-0.0116114j 0.000863305+0.00611518j 0.00703263+0.00301528j -0.01086+0.000703283j 0.0144612+0.00775179j 0.00906882-0.00145251j -0.0113914-0.00906942j -0.0127442+0.00570377j 0.00280527-0.00970629j -0.0114118+0.00736067j -0.00336821-0.00256213j -0.000703679-0.00858564j -0.00693695+0.00157031j -0.0196089-0.0019162j -0.000128522+0.00405453j -0.00868777-0.0069558j -0.0130613-0.00277684j 0.0146981-0.00790869j 0.00751151+0.014803j 0.0116376+0.0111084j 0.000800137+0.00323054j -0.00971616-0.0159874j 0.012622-0.00275499j -0.0101592+0.0101853j 0.00120524+0.0270084j -0.0110994+0.0100166j -0.0146817-0.00908011j 0.0141128+0.00177953j -0.0145825-0.016308j 0.00610737+0.000917382j -0.00123832-0.0017738j 0.00245274-0.00217343j -0.0050098+0.000376836j 
-0.000343702+0.00161953j 0.0146323+0.00356065j 0.00450992+0.00293305j -0.00253275-0.0106912j -0.00148349+0.00838107j -0.0130922+0.0047072j 0.00829314+0.00218772j -0.00971171-0.00150119j 0.000228577+0.00901615j 0.0165717+0.00302923j 0.00410778+0.000224065j -0.00464156+0.003485j 0.0162363+0.000945768j 0.00037912+0.00193784j 0.0119496+0.00555287j -0.0129924+0.00164339j 0.0223205-0.0196355j 0.0167702-0.0130138j 0.00464922+0.00262548j 0.00372646+0.00827641j 0.000285104-0.00299215j -0.00809395-0.00983076j -0.00139237-0.00207661j -0.00586766-0.000524831j -0.010611-0.00897234j -0.0166496+0.00614753j -0.000333508+0.00161233j 0.0049988+0.0062331j 0.00386627-0.0165245j -0.00454838+0.000974755j 0.0135329+0.00132775j 0.00665239-0.0170496j -0.00663829-0.00495636j -0.00105528-0.0105371j -0.0200741-0.00218157j -0.00952724+0.000892621j -0.00266703+0.0140232j -0.0105091+0.00103906j -0.0256777-0.00273438j 0.00120018-0.0193224j 
0.00416359-0.000835019j 0.0325528+0.00464166j 0.000411531-0.00412319j -0.00331639+0.00144699j 0.00278089-0.00926997j 0.00596402-0.00100413j 0.00120062+0.0055401j 0.0103142-0.00428719j -0.00144668-0.00357358j 0.0265328-0.00254799j 0.0298404+0.00545069j -0.0171+0.00103336j 0.0187474+0.00724446j 0.020839+0.00347732j -0.0081061+0.0195291j 0.000321834+0.00609694j -0.00275958-0.0353107j 0.0069119+0.0125701j -0.00232515+0.0205954j -0.00832112+0.0139478j -0.00734496+0.0198648j 0.00466734-0.00128828j -0.00175642+0.0158718j 0.0116073+0.0117876j -0.00816052-0.0101378j 0.0013885-0.000874202j 0.0118545+0.00167285j -0.00389416-0.00614935j -0.000903315+0.0110019j 0.00916758+0.00923137j -0.00371264-0.00414528j 0.000751957+0.00596672j -0.00215169-0.00832531j -0.00839709-0.00586773j 0.00230038-0.00241744j 0.0113773+0.00578354j -0.0146666-0.00103859j 0.00843717-0.00948186j 0.0136101+0.00866351j -0.00554696+0.00652271j 
0.00366397-0.00519571j 0.00814137-0.00264056j -0.00203254-0.0042737j 0.0145137-0.00578585j 0.0153854+0.00435484j -0.0113206+0.00639735j -0.000657274-0.0132079j -0.00669882-0.00676988j -0.00327518-0.0188382j 0.028302-0.00273042j 0.0103415+0.00265497j -0.00858247-0.00264396j -0.00693306+0.000622438j -0.00891213+0.00536843j -0.00151578+0.0116057j -0.00691707-0.00607704j -0.00212779-0.0210551j 0.0167424+0.012146j 0.00689397+0.00469064j 0.00573785-0.000881051j 0.00369846-0.0174405j -0.00795839+0.00279968j 0.0018723-0.000117261j -0.0126463-0.0157172j 0.0249219+0.0130245j 0.0073899+0.00174643j -0.00326669+0.00753288j 0.00340364-0.00438265j 0.00996236+0.0034621j -0.00898377-0.0107757j -0.0139877+0.00925488j -0.00175393+0.0123006j -0.00216066+0.0128202j 0.00777951+0.00374466j 0.0129092-0.00247768j -0.0167087-0.0156042j 0.0142522-0.00472778j -0.00329354+0.0112544j 0.00420615+0.00287684j -0.0081887-0.00696417j 
0.000883746+0.0025j -0.00178212+0.0074746j -0.00174395+0.00249049j 0.00472701+0.00640981j 0.00906042-0.00469486j -0.00270757-0.0105723j -0.0120248+0.00109861j 0.00346487+0.0094632j -0.00597277-0.00502227j -0.00945951-0.00228135j -0.00522986-0.00475587j 0.00609637-0.00764337j -0.0122901+0.00237322j 0.0045808+0.00224439j 0.0085299-0.00294695j -0.00670328+0.00789171j -0.00129644+0.01318j -0.0110527+0.000332214j 0.00358513+0.00333674j -0.00281537-0.00511537j -0.0239475+0.0366154j 0.0335039-0.0235599j -0.00647504+0.00306659j 0.0194517+0.0319217j -0.0428621-0.0245293j -0.0365586-0.0151158j 0.00561766-0.02764j -0.0115176-0.0177348j -0.0120199+0.0125608j 0.0270481+0.0317451j 0.00897588-0.0113455j -0.0109082-0.0192679j -0.00386232-0.0268975j -0.0181413-0.0315318j -0.0296592+0.00787584j 0.036+0.0177565j -0.0347233+0.0274265j 0.00529813-0.00516592j 0.00339804+0.0134684j -0.0112672-0.00378463j 
-0.00998004+0.00955674j -0.0395761+0.00671261j 0.00770679-0.00244344j 0.00254625-0.00417863j 0.00568434-0.00267241j 0.000808875-0.00594616j -0.00380916+0.00220215j 0.0130012+0.00259447j -0.00651999+0.0037441j 0.0155366-0.00318936j 0.0122114-0.000704114j -0.0101875-0.00159092j 0.0214171+0.000344598j 0.0194859-0.00458973j 0.00614044+0.00730443j -0.0135639+0.00468373j 0.0139443-0.0263972j 0.00278508-0.000921857j 0.00820012+0.020258j 0.00670444+0.0176875j 9.59435e-05+0.00826994j -0.014585+0.00282467j -0.00339562+0.00574821j 0.0154208-0.00407112j -0.00166994-0.0138835j 0.010634+0.00723042j 0.00822988+0.00874995j 0.00326356+0.00537723j 0.0188257-0.000883414j -0.00313915+0.00216348j -0.00151142+0.00877017j 0.00456381-0.00143883j -0.00710108+0.00176092j 0.00695304-0.00905274j -0.00507559+0.00226952j -0.012411-0.00115035j 0.00501401-0.00329176j 0.00160419+0.00207626j 0.00389218+0.00779789j -0.00784117-0.00838231j 
-0.00675059+0.00130056j 0.0181193+0.00761549j 0.010807-0.00278449j 0.0138716-0.0191038j -0.00540338-0.00211831j 0.00417361+0.00566534j -0.00850824-0.00479986j 0.00773639+0.000990989j 0.00270937-0.00407497j -0.0318363+0.00670003j -0.0294395-0.00424378j 0.000845568-0.00752381j -0.00877244-0.00932478j 0.00575317-0.0137226j 0.00232376-0.020574j -0.00983596+0.000264229j 0.0123738+0.0287395j -0.0141479-0.00870097j 0.00500118+0.00396278j 0.00551112-0.00373742j 0.00355785-0.00560926j -0.0164131+0.0126571j 0.00983084-0.00608736j 0.00335043-0.009647j 0.00932676-0.00274259j 0.0119217+0.0112509j 0.00930223+0.00166839j 0.00542563+0.000118808j 0.0132307+0.00382248j -0.0118396-0.00564188j -0.00306665+0.00920611j 0.00729549+0.00344857j -0.00694802+0.00525631j 0.0107178+0.0030235j -0.00145514-0.00670824j -0.0189042-0.00895435j 0.0107372-0.00158998j 0.00268235+0.00816294j 0.00443088+0.00715576j -0.00978988-0.00828373j 
0.00100787-0.0011733j -0.00323396-0.0151032j -0.00253992+0.00437104j -0.0049143-0.00568605j -0.00045189+0.00358961j -0.0025562-0.00423578j 0.00602865+0.00911087j -0.00246249-0.00256287j 0.0021541-0.00372195j 0.00484849-0.00328935j 0.00343444+0.00263251j 0.00250189+0.00630173j 0.00168767-0.00634731j -0.00555111-0.000712045j -0.00318514+0.0118431j 0.00536489-0.0141812j 0.00511817-0.00436179j 0.00144275-0.0183115j -0.00602195-0.000917774j 0.0111646-0.0122882j 0.00815285-0.0107544j 0.0029944-0.00690909j 0.000980774-0.00969961j -0.00557813-0.00487524j -0.00574036+0.00754415j -0.0127062-0.0037387j -0.0101668-0.00129183j 0.0119279+0.00970156j 0.00172724+0.00691663j -0.00716085+0.00659852j 0.0174401-0.000882176j -0.0051386-0.00437286j -0.00508969-0.00877873j 0.0167845-0.00369095j -0.00998095-4.69111e-05j 0.00542005-0.00522767j 0.000354802+0.00205318j 0.0134391+0.0168535j -0.00103891-0.00394507j 0.00361061+0.003478j 
-0.00156385+0.00580124j 0.00263058-0.00621265j -0.00169894-0.0143681j 0.00445462-0.0141478j 0.00187335+0.00808533j -0.0179426+0.00448091j -0.00963013-0.0131625j -0.000736855+0.00210929j 0.0071902+0.00625212j -0.00812519+0.00115183j -0.0197624+0.00149949j 0.00314664-0.00278327j 0.0240698-0.0115956j 0.00999852-0.00752498j -0.000725518-0.0106544j -0.0043103-0.00515931j 0.0136651+0.0014912j -0.0069483-0.0127669j 0.00700855+0.0110966j 0.00906078+0.0130796j -0.00824032+0.0188954j -0.000201501-0.000200783j -0.0119878+0.000358409j 0.0100642+0.00409022j -0.00751923-0.0170308j 0.00258157+0.005685j 0.0184097-0.00406696j -9.09152e-05+0.0115574j 0.00750091-0.00834263j 0.00422444+0.0140788j 0.00154549+0.00814709j 0.00433261+0.0147956j -0.00907023-0.00634415j -0.00845994-0.00837217j -0.0105619+0.00460713j -0.0095199-0.00242524j 0.00327646+0.0047924j 0.0141246+0.0018113j -0.00152097-0.00698002j 0.00362914+0.00621666j 
