-0.101283-0.0806979j -0.0557986+0.113104j 0.512667+0.264722j 0.323529-0.496899j -0.0295747-0.13352j -0.0913518-0.154374j -0.0435051+0.0258213j -0.0186466-0.0571595j -0.0527707-0.078209j 0.000861538+0.0591579j 0.110579-0.0229045j 0.0583819-0.0184645j -0.0435208+0.0239989j -0.0496513-0.00699108j 0.0259073+0.00896644j 0.0122619+0.0168428j 0.0502693-0.0751621j 0.0222883+0.0361391j 0.022837+0.00363056j 0.0067981+0.050316j 0.0912233+0.0225333j 0.039511-0.0284j -0.0211103-0.0463679j -0.0280924+0.0358724j -0.0174916+0.00542655j -0.0406452+0.000255617j 0.02093+0.0443663j 0.00783359-0.0182296j -0.0943543+0.0753845j -0.13352+0.0422121j 0.0138394+0.00944246j -0.0903885-0.0702521j -0.0200222-0.0408309j -0.112179+0.0234527j 0.066284+0.0792459j 0.0761766+0.0333037j 
-0.0514633-0.0275452j 0.0377991+0.068464j 0.0474132-0.000404777j 0.0313343+0.0115045j 0.0662095-0.0931454j 0.0522816+0.0249281j 0.0145762-0.0954212j 0.00606139-0.00138657j 0.0657671-0.076417j 0.0478826+0.0186175j 0.062564+0.103442j 0.00706609-0.0554505j -0.058102+0.0718907j -0.244209-0.389425j 0.093341+0.015236j 0.196549-0.0597414j 0.0818695+0.0728618j -0.0350926-0.0697146j 0.0652262-0.0566669j 0.177949+0.0721324j 0.155527-0.0598975j -0.129322+0.192651j -0.0794487-0.091624j -0.0625201+0.013008j 0.045051-0.0181872j 0.0511525+0.10967j -0.019115-0.101666j -0.000720249-0.0570561j -0.0473486+0.163464j 0.0583945+0.210329j -0.0757182-0.1105j 0.0751959+0.123912j 0.0304693+0.14349j 0.0950478+0.132927j -0.0888791-0.0921465j -0.0242826-0.219336j 
0.00426969-0.117691j -0.0893667+0.102842j 0.0208327-0.00120482j -0.0171498+0.0888742j 0.00185977+0.121885j 0.00584779-0.0891374j -0.0368264+0.0858533j -0.0433772-0.0120018j -0.0237824-0.0268219j -0.0748216+0.116353j -0.0891151-0.0174253j -0.114231-0.234361j 0.0635012-0.0862647j 0.14387+0.0700692j 0.0687211+0.00796597j 0.00600183-0.0587535j 0.132942-0.112491j 0.0858566-0.0237937j -0.0460451-0.0348731j -0.0700193+0.041761j 0.0671033+0.0421826j 0.0972633+0.0190546j -0.117214-0.113142j -0.0986306-0.0403038j 0.0635284+0.0755163j -0.0777783-0.221739j 0.141846-0.0466383j -0.0412832-0.048206j 0.0728671-0.0047811j 0.0473085+0.0327716j -0.0486277-0.0327489j -0.138096-0.0881593j -0.0216427+0.0615475j 0.0899253+0.0697976j -0.0802638-0.247302j 0.097839+0.042264j 
-0.011916+0.0288109j 0.0197509-0.106401j 0.0223765+0.0375105j 0.0590628-0.0688435j 0.0280877+0.0927096j 0.0258186+0.0479154j 0.0679347-0.100472j 0.0173621-0.0127324j 0.0540356+0.00453177j 0.0800257-0.0281032j 0.0917195+0.0244678j -0.0254465+0.125334j -0.0160274+0.0800271j -0.0800904+0.038j -0.122765+0.0478705j -0.0695487+0.0476798j -0.0408567+0.0721026j 0.0707834+0.0280393j -0.0271407+0.006012j -0.123087+0.0976697j 0.0619533+0.148975j 0.0487455+0.0576742j 0.147-0.0163269j 0.0359091+0.0102555j -0.144474-0.0906231j -0.227497-0.0590258j -0.0905214+0.0757512j 0.144136+0.218911j 0.155893+0.109874j 0.119962+0.0433946j 0.106234+0.118119j -0.147275+0.0540337j -0.0882403-0.183367j 0.117816+0.174885j -0.0636281+0.0129236j 0.0412758-0.0328836j 
0.0249669+0.035328j 0.0224039-0.0305628j 0.0100872-0.00411747j 0.0194446+0.00948121j -0.0238097-0.0638913j 0.0795418+0.075716j 0.0976155-0.065676j -0.011534-0.052883j 0.00831521+0.0040324j 0.0927234-0.0872798j -0.029258-0.00522021j 0.0951896+0.0962015j -0.00586747+0.0553635j -0.0185858-0.0264149j 0.0732927+0.0527517j 0.0931831+0.0528204j -0.0556687+0.0668174j -0.0596542+0.0728936j -0.00161136-0.0274782j 0.0234365-0.00798282j -0.139114+0.0839645j 0.0317526-0.0543562j -0.110098+0.0917335j 0.0682692+0.102916j 0.170841+0.163214j -0.0776036+0.0309349j 0.140087+0.250749j -0.39086-0.345191j 0.00156264-0.129453j -0.0568812+0.125569j -0.0100378+0.0479218j -0.0615263-0.0313317j -0.058813-0.107449j -0.0354663-0.003912j 0.00201126+0.0773118j -0.00848414-0.0574176j 
0.0223767+0.000837199j 0.00449654+0.00515721j 0.030743+0.0256377j -0.0157183-0.0537022j -0.0330411-0.0489039j 0.0135469-0.00991717j -0.0541887+0.0390031j -0.0402732-0.021938j 0.024381-0.0794713j -0.0535284-0.034123j 0.0678477-0.0444331j -0.0425845-0.00951554j 0.0305076-0.0569668j 0.0874444-0.0528506j -0.000286058-0.0453053j -0.0287693-0.0633139j -0.0747361+0.0749412j -0.0258269-0.0448741j -0.0857155+0.070131j 0.0677019-0.156274j -0.0157704-0.211095j 0.0628996-0.010717j -0.0648316+0.0213537j -0.0202479-0.0824265j -0.01501-0.0480919j 0.157794+0.169421j 0.0438988-0.242054j 0.163458-0.00474431j -0.255059+0.109223j -0.227323-0.0695703j -0.0635099-0.0772799j 0.150844+0.00250429j 0.0880442+0.180389j -0.177021-0.156923j 0.0767121+0.106068j -0.00947119-0.0341512j 
0.00187577+0.0895386j 0.102998+0.0231189j -0.00327987+0.0199704j -0.0203344-0.0344102j 0.0410219-0.0460341j 0.0465331+0.0915139j -0.0273337-0.0888562j 0.0223527-0.038799j 0.0242391+0.0110226j 0.092877-0.0730887j 0.0461894-0.0362584j -0.0146495+0.0753643j -0.00367374+0.067782j -0.0258507+0.0566421j 0.00456835+0.0346813j -0.0440937+0.00971252j 0.00708878+0.0552474j -0.0495722+0.044585j 0.0576661+0.0386096j -0.0153301-0.0427947j -0.0343234+0.0505781j -0.00263568-0.0569981j 0.115882+0.0370476j -0.0630196-0.0692246j -0.0666626+0.040712j 0.000770289+0.186927j -0.0955898+0.168947j 0.0346533-0.0418976j -0.0175115-0.0324319j -0.0468957+0.00320621j -0.112746-0.0798958j -0.00745699-0.027966j 0.0867638-0.116252j -0.0068095-0.0789061j -0.0894285+0.0482158j 0.0172876-0.100954j 
0.0156167-0.0180063j 0.0817221-0.11932j -0.048719+0.0316515j 0.0531185-0.0527696j -0.121052+0.0999915j 0.0910743+0.0259762j 0.117268-0.118383j -0.0670335+0.0546756j -0.0504733+0.103653j 0.0247809+0.0530197j -0.0667553+0.0347547j 0.206118+0.0722724j -0.00737057+0.0106454j 0.0487971+0.0237819j 0.0106336+0.0876782j 0.0582192-0.0544253j 0.00249566-0.0585816j 0.00634357-0.0635353j -0.0652069+0.115205j -0.00823273-0.0631194j -0.0130329-0.0767638j 0.0577353-0.0538548j -0.310511-0.0124041j -0.12728-0.162033j 0.165718-0.258757j 0.00440181+0.0162925j 0.0335678-0.0370348j 0.0521521+0.0142914j 0.065662+0.17623j -0.0309242-0.20051j -0.0260678-0.0325381j -0.0536714+0.0832972j -0.0522787-0.072399j -0.0103817+0.0605506j 0.00477413+0.0225941j -0.0203438+0.0118295j 
-0.0024228-0.0328761j 0.00465593-0.0493974j -0.0202559-0.00329207j -0.0591485+0.0524244j -0.0418624+0.00668611j 0.0185519-0.0190574j -0.00758466+0.0277521j -0.023481+0.00411318j 0.0192098-0.0131112j -0.0270902+0.00924294j 0.0206825+0.00296533j 0.00334457+0.0237741j 0.00206401+0.0172057j 0.0142672-0.018351j -0.00833101+0.00705387j -0.0315646+0.0116076j -0.0506634+0.00511555j 0.037175+0.010434j -0.0644499-0.0740511j -0.029425+0.127525j 0.0546465+0.103332j -0.358569+0.316909j 0.126608-0.186679j -0.199653+0.208987j -0.0932427+0.101546j 0.140408-0.140704j -0.141229+0.132317j 0.121542+0.0590103j -0.19205-0.0357859j -0.0288146+0.0343526j -0.0132556+0.0868464j 0.201179+0.0311907j -0.00631568+0.0311551j -0.0306894+0.0958532j 0.010503-0.0143714j -0.0311209+0.00599964j 
-0.0611048-0.0372165j -0.0782946+0.0652719j -0.00326226-0.0801634j -0.0493099+0.0483601j 0.112035-0.179252j -0.0597901-0.00901173j -0.0953088+0.0817918j 0.0677954-0.105681j 0.10717-0.0897192j -0.0494115-0.0776359j 0.11206-0.0183241j -0.113884+0.0340926j -0.0136423-0.0687252j -0.078053-0.0474984j 0.00532452-0.0701124j -0.0896559+0.0382922j -0.00626195+0.00185958j -0.0138775+0.0749241j 0.0738679-0.109975j -0.0402516-0.0749079j 0.0267246+0.0020418j 0.150279-0.159416j 0.1252-0.0353881j 0.129017-0.0262575j -0.208169+0.171019j -0.121253+0.0621342j 0.00820191-0.0735724j -0.00371654-0.127948j 0.0682184-0.123562j -0.0244528+0.14975j 0.0900057+0.0107868j -0.027046-0.0355867j 0.00527269+0.114956j 0.0413515-0.0593391j 0.0634083+0.0561085j 0.0348269+0.0293109j 
0.122148+0.0325256j 0.0334661-0.289962j 0.0199222-0.0593122j 0.0154312-0.0256452j -0.0355431-0.0277514j 0.0386692-0.124451j 0.0295316+0.0198726j -0.00652847+0.0247532j -0.0019708-0.0505637j 0.128584-0.131459j 0.0571731-0.00146108j -0.0530337-0.016211j -0.0130342-0.0506918j -0.0754494-0.112679j -0.0155141-0.0674881j 0.0950434+0.0170873j -0.00355265+0.0398771j 0.0122018+0.0120585j -0.0886745-0.0463964j 0.0633925+0.0273272j -0.0768671-0.020847j 0.0151005-0.00427232j 0.0838856+0.0346616j 0.181398+0.206085j 0.0913253-0.0727502j -0.202402-0.0315623j -0.100821-0.112584j -0.139987+0.0828833j -0.155357+0.00724669j -0.015625+0.0556407j 0.150125+0.192317j 0.0407839+0.100322j 0.0221111+0.107291j -0.0203468+0.0919605j 0.148827+0.204809j 0.0228258+0.173287j 
-0.064761+0.231715j 0.203054-0.123861j -0.0296771+0.0241385j -0.0255064+0.0393887j -0.112151+0.0678591j 0.0791522-0.0614174j -0.144426+0.151473j -0.0474099-0.00106509j 0.0471987-0.186874j -0.110507+0.0203511j 0.110905-0.13398j 0.0527705-0.0701859j 0.0321255-0.016688j 0.0528945-0.00801579j 0.0136448-0.107171j -0.124431+0.110002j 0.0870747+0.0353841j 0.060636-0.0680406j 0.0292295+0.0465324j -0.116699+0.19653j 0.197424-0.148207j 0.115234-0.064649j 0.0144238+0.0910281j -0.157296+0.218317j -0.0303222+0.130914j 0.0186796+0.0965229j 0.0915618-0.0734201j 0.133948+0.195112j -0.0276667+0.0772121j 0.104562+0.0472201j -0.110878+0.0731289j -0.172048-0.0318204j 0.0506577-0.0545352j 0.0330774-0.0522404j -0.0260807+0.0674313j 0.0135525+0.0536272j 
0.164855-0.242016j 0.0801648-0.255957j 0.051116-0.0940321j -0.0491767-0.0209463j -0.0926002-0.110837j 0.175833-0.0832374j -0.11366+0.0447946j -0.0443359+0.0140295j 0.0149671+0.0644922j 0.135513-0.15615j 0.00647962+0.00246254j -0.00046735+0.223871j 0.0387884-0.0439345j 0.0914156-0.0316771j 0.105088+0.0125315j -0.0519299+0.00717767j 0.0697676-0.0974054j 0.010528+0.039712j 0.023845-0.116751j -0.0304453-0.127129j 0.0492571+0.00214957j 0.0470232-0.0491397j -0.0798655-0.23075j -0.216293-0.0428903j 0.0152274-0.0858516j -0.0387095+0.0316519j 0.0154925+0.0488044j 0.0581015-0.170628j 0.0365797+0.0403555j -0.0589356-0.0276004j -0.134391+0.0395344j -0.0243805+0.121418j 0.0102599+0.0990413j 0.149234+0.109665j 0.0284812+0.000408419j 0.0662039+0.152617j 
-0.251045+0.0733499j 0.0345486-0.00788406j -0.131029+0.00419999j 0.0433748+0.00144952j -0.175859-0.0873297j -0.0606744+0.0759715j 0.0835614+0.0265489j 0.0149389-0.0107502j 0.0958839-0.0126597j -0.0975192+0.0608778j 0.0980602+0.00209055j 0.282848+0.101182j -0.0559997-0.0157794j -0.0954184-0.0259961j -0.0505963+0.061366j -0.0282935+0.0412033j -0.146358+0.0438733j 0.0486766-0.0204838j -0.152772-0.0149546j -0.15136+0.027063j 0.0296285-0.0431121j -0.0295847-0.0229782j -0.251501-0.065297j -0.0764394-0.0405533j -0.105635+0.0554169j -0.127652-0.0700189j -0.0906106-0.074093j 0.0824116-0.0494147j 0.0362002-0.0103099j -0.042613-0.0485636j 0.215478+0.0147671j 0.0161169+0.0470117j -0.0797075+0.0200478j -0.0295813+0.0794713j 0.119485+0.0956298j -0.00764823+0.0556805j 
