-0.296281+0.0234041j -0.0356474-0.0209975j 0.00517186+0.0801293j -0.748314-0.00517882j 0.0701026-0.0496149j -0.261212+0.00815951j -0.151131-0.0348306j 0.121722+0.126047j 0.0277185-0.104966j -0.153204-0.0340234j 0.005864-0.0396202j 0.0291511+0.0254274j -0.0181231+0.0371661j -0.00820463-0.0405053j -0.00227688-0.0476303j 0.0561774-0.0330231j -0.00156165-0.034882j 0.0760995+0.0281475j -0.0134185+0.0778046j 0.00157227-0.020216j -0.0201391+0.0194374j -1.47963e-05-0.0141121j 0.0431128-0.0230552j 0.085857+0.0069989j -0.0526402+0.0348169j -0.00109227-0.0132845j 0.050942-0.015456j 0.000252205+0.014267j 0.0140665+0.0865539j 0.067507+0.0432819j 0.0170131+0.0417104j -0.00557506-0.00233026j 0.0287683+0.00264998j -0.00672864-0.0690149j 0.0267472-0.112624j -0.060261+0.0895496j 0.0469899+0.0731833j -0.074682-0.0276958j 0.0440352-0.131866j 0.0855777-0.0504858j 
-0.0798193-0.0477142j -0.0559707+0.0370001j -0.0109169-0.0981633j -0.36966+0.0212903j 0.250279+0.0356883j -0.272695-0.0498844j 0.164842+0.075534j 0.1763-0.177581j 0.192671+0.110178j 0.0913457+0.0386844j -0.0464807+0.0131327j -0.0187669-0.0178047j 0.0569203-0.0673838j 0.00791203+0.0143248j -0.0436966+0.0482948j -0.111384-0.0143298j -0.0319169+0.0467946j -0.0537139-0.0715884j 0.0273316-0.0970639j 3.84306e-05+0.0128079j 0.0515952-0.00475349j 0.0289724+0.0146187j 0.0432829+0.0719345j -0.0472001-0.0245184j 0.0210579-0.067894j 0.0299611+0.0458649j -0.043444-0.0451038j 0.00729572+0.00186693j 0.0474742-0.155161j -0.1061-0.104355j -0.0519905-0.0429625j -0.0989117-0.0937913j -0.0720322+0.0840673j 0.0824258+0.140287j 0.00819311+0.119969j 0.0787729-0.0474108j 0.0174571-0.154143j 0.0607777+0.0360497j -0.0606955+0.156383j -0.0206191+0.0386033j 
0.0467147-0.0926976j 0.002579-0.038726j -0.131724-0.0724874j -0.017264-0.0049119j -0.0611736+0.0929175j -0.105248+0.335359j 0.10711-0.278149j 0.273091+0.193788j -0.164554+0.202051j 0.104689-0.113562j 0.0531473+0.0144202j 0.0994358+0.04412j 0.000495956-0.0189604j 0.103766-0.0537161j 0.0749165-0.0552588j -0.0662701-0.0682553j 0.0497041-0.0531719j -0.0529516+0.0250566j -0.0814144-0.124834j -0.087029+0.161971j -0.0534765+0.0175449j 0.0123306+0.0197549j 0.0469139-0.0223779j 0.00908611+0.000628268j 0.0573698+0.0372255j 0.0213959-0.0279127j 0.00320985+0.0920997j 0.0428915+0.0811253j 0.033084-0.0596127j -0.0584442-0.109144j 0.0549211-0.149847j 0.167507+0.0544916j 0.0852137-0.0767421j -0.115712-0.0149571j -0.0457026-0.0521264j -0.0674829-0.104221j -0.0314735-0.00899738j 0.0693622-0.134348j 0.035381+0.039786j -0.113356+0.107429j 
0.0230792+0.0126533j -0.0233056+0.0694239j 0.100995-0.0108524j -0.0452374-0.00487072j 0.191341+0.0470862j -0.00747147-0.236176j 0.189261+0.243911j -0.0221767-0.371465j 0.289203+0.0257286j 0.22712+0.193925j 0.0983978-0.107418j 0.0301454+0.0382802j -0.0533212+0.0274979j 0.0727474-0.0469524j 0.0346802+0.164795j -0.0440528+0.024111j 0.00146015+0.00294589j -0.0862874+0.101952j 0.0338787-0.000600488j 0.0835632-0.00539639j -0.00460836-0.0156915j -0.0341526+0.0387799j 0.0213257-0.0670807j 0.0140952-0.0361849j -0.0338582-0.0578825j 0.0592101-0.0670205j -0.0746743+0.0717403j -0.0626203-0.04119j -0.0421158+0.0569237j 0.0621282+0.0323598j 0.0186949+0.0497863j 0.207604+0.105062j 0.0937301-0.0951406j -0.140566+0.00163623j -0.108238+0.031496j 0.0252985-0.0895613j -0.0870025+0.017647j -0.00219069-0.0128086j 0.0017367+0.0441009j -0.143848+0.0524752j 
-0.169825-0.0182591j 0.0710367+0.0514048j -0.0463887+0.094209j 0.00569371+0.00289587j -0.0458369-0.242335j 0.116529-0.184262j -0.260305+0.149893j -0.293283+0.0495072j 0.000733847-0.230761j -0.31522+0.126363j 0.166435+0.0731083j -0.0276657+0.0637524j -0.0287607-0.103668j 0.0668227-0.0604545j -0.165533+0.0369276j 0.137467-0.060824j 0.0128873+0.0457775j 0.12005+0.0334228j -0.0403841-0.0192652j -0.0555038-0.0639033j 0.0220434+0.0623854j 0.0624487+0.0710373j 0.0368377-0.0117195j -0.0448746+0.0128804j 0.0687328-0.0125649j 0.0144493-0.0133506j -0.0140544+0.0407272j 0.00649132+0.113791j 0.0704034-0.0757469j -0.0857282-0.117368j -0.0141006-0.0742202j 0.067986-0.00885758j 0.118967+0.0201423j -0.0624639+0.106387j -0.00244201+0.000526295j -0.0185804-0.0447969j -0.00622629-0.0716964j 0.00927931-0.098539j 0.0141013+0.0411367j -0.0567813+0.114213j 
-0.0660008+0.0113025j -0.00791804-0.012967j -0.0204768+0.0325753j -0.108648-0.0353343j -0.0810402-0.0529028j -0.0499529+0.101852j -0.0142159-0.109302j -0.00236986+0.0765305j -0.0323116-0.00921589j -0.0767507+0.0335106j 0.0145823+0.103652j -0.111652+0.00959574j -0.0195069-0.146475j -0.0623444+0.195351j 0.00467704+0.152075j -0.00561279+0.158645j 0.1268+0.0535445j -0.24306-0.052085j -0.080249+0.00325291j 0.000890707+0.00878463j -0.00835144-0.0688001j -0.105694-0.0294629j 0.178695-0.0423844j 0.0440878+0.0975019j -0.086172-0.0309159j 0.0463261+0.0433732j -0.0405307-0.00636506j -0.0503772-0.00565423j -0.0237506+0.139519j 0.0193631+0.189998j 0.136971-0.0951803j -0.0438735+0.0138989j 0.0407486+0.0326414j -0.0599194+0.166034j -0.103477+0.146494j 0.0634199-0.100589j -0.0801931-0.111687j -0.0600931-0.0108265j 0.0940955+0.115372j -0.179546+0.152913j 
0.0030768-0.0426559j 0.00558176-0.0153685j -0.0118193+0.056257j 0.0557326+0.00115643j -0.00133586-0.0745208j 0.0611955+0.0201063j 0.0783272-0.0325047j -0.0225518-0.0621559j 0.040814+0.0801979j 0.122675+0.0712467j 0.0165531-0.227441j 0.0824346-0.140618j 0.0211433-0.0428316j -0.264777-0.149507j -0.00827093+0.12169j -0.162294+0.0173084j 0.0470675+0.0215347j 0.0110751-0.0555724j -0.0322503-0.0145044j 0.102581+0.0786212j 0.00411986+0.157758j 0.0134576-0.0289841j -0.00881599-0.0142846j 0.0138215+0.0465005j 0.0552812-0.137955j -0.094708+0.0155395j 0.112646+0.000116828j -0.0238108+0.0728567j 0.0385085+0.0810477j -0.0742486+0.0320995j 0.121042-0.106982j -0.0902017-0.0402082j 0.123812+0.158743j -0.0303914+0.0283873j 0.0354237-0.180427j -0.103461+0.113872j 0.134998-0.0762414j -0.0566551-0.217638j 0.169-0.139611j -0.0302245+0.097238j 
-0.0443779-0.042584j -0.0291652+0.0561747j -0.0455355+0.0922711j -0.0109895+0.00842368j 0.015478+0.0583809j 0.132524-0.0207111j -0.00412668+0.0188339j 0.0258989-0.000485662j -0.0725678-0.0096019j 0.194241-0.0309912j -0.244729-0.0904332j -0.146029+0.234364j 0.0877072-0.0904451j 0.0142188+0.185193j -0.0398176+0.118051j 0.0810716-0.0609174j 0.209416+0.10895j 0.212272+0.00944783j 0.0136448-0.0332776j 0.0495007-0.0358136j 0.124351+0.0809999j -0.0201507-0.0900287j 0.0509948-0.10633j -0.0101431-0.139842j -0.0149856+0.0334354j 0.0156263-0.0078551j 0.0156734-0.00981289j 0.000262579-0.024079j -0.108279-0.0408189j 0.0765079-0.120797j -0.00805081-0.0292864j 0.0162378+0.0356296j 0.0124049+0.052657j -0.00478305+0.0307849j 0.00457346-0.0115745j -0.00755772+0.0581331j 0.0305705-0.00506603j 0.00147412-0.0291088j 0.00685223-0.0315949j 0.00805273-0.00262934j 
-0.010264-0.0359362j -0.0315993-0.0327682j -0.0391086-0.0434013j -0.00103465-0.0303548j -0.0938096+0.0659773j -0.0363491+0.0756531j -0.00381239+0.000763635j 0.0307886+0.057995j 0.00185633-0.133019j 0.0154566+0.12051j 0.0592186-0.182314j -0.250614-0.200435j 0.153255+0.165223j -0.0895705+0.0687774j -0.139888-0.12159j 0.0385955+0.0764073j -0.201573+0.184287j 0.0526973+0.139133j 0.05146-0.0679502j 0.0564967+0.0589945j 0.0423565+0.0576992j 0.0896413-0.0740398j 0.118836+0.0787359j 0.0550664-0.0668092j -0.124897+0.0412244j 0.0212765+0.0110649j -0.0150048+0.0397042j 0.0261018-0.0315679j 0.0635093-0.0725091j 0.0029564+0.0290576j 0.0235402-0.0637521j 0.00516943+0.0435591j -0.0434863-0.0460672j -0.0890349-0.0196744j -0.0550942+0.0223209j -0.00430285-0.0510172j -0.0298238-0.0130648j 0.0399815+0.00526293j -0.0389286+0.049409j -0.050999+0.0170652j 
0.021264-0.0340314j 0.00326118+0.0101085j -0.0262639-0.0132069j -0.0042664-0.0475966j 0.0144955+0.0430431j -0.0117806+0.0175229j 0.0885121+0.0749714j 0.0465058-0.0753782j 0.0912615-0.00894986j 0.12301+0.19105j 0.199534-0.0182665j -0.0833495+0.0969871j -0.0821442-0.0279764j 0.180532+0.0501148j 0.0815545+0.0378841j 0.134638+0.0220641j 0.086025-0.0107344j -0.0993428+0.279188j -0.0431721-0.0544383j -0.00724559+0.0871096j -0.150819+0.0625266j 0.0829423+0.00360004j -0.0103942-0.136262j 0.0230098+0.0986617j -0.0856082+0.0424634j -0.0634774+0.0311906j 0.0685731-0.0166764j 0.0308457-0.00799421j 0.0656731+0.0347958j 0.0750551+0.00178828j 0.00386925-0.0804316j -0.107213-0.0491709j -0.0506371+0.0302881j 0.131655-0.0375323j 0.106839-0.0791712j -0.0940434+0.057456j 0.0628323+0.0671977j 0.0348642-0.0238362j 0.0390909-0.0502132j 0.0989458-0.0139679j 
-0.0654707+0.0410688j 0.0151707-0.0310974j 0.0138123+0.071829j -0.0185638-0.0204935j -0.153473-0.00433715j 0.0582514+0.0315247j -0.0084376-0.0548814j 0.0186198+0.0176285j 0.0125048+0.0227788j 0.0726184+0.0104972j 0.0380725-0.115775j 0.106676+0.0240518j -0.182653+0.0776337j -0.00668731-0.0311508j 0.124738-0.0667458j 0.032013-0.055238j 0.0228181-0.186192j 0.109017+0.110102j -0.069337+0.177398j 0.0467708-0.0196642j 0.15178+0.171709j -0.0125486-0.00324322j -0.0711928+0.0529649j 0.218613-0.00168435j -0.0497456+0.0886122j 0.120495+0.0614357j -0.101204-0.0287286j 0.0135971+0.0529642j 0.0893622+0.0319168j 0.00752047+0.0101381j 0.0172122-0.027548j 0.015314-0.0561123j -0.0851561-0.0326321j -0.0742794+0.187201j -0.194814+0.247757j 0.159813-0.0815608j -0.035639-0.159973j -0.0271385+0.0889937j -0.0254819+0.201328j -0.189532+0.149038j 
