0.00657373-0.00311334j -0.0622336+0.0419734j -0.0508656-0.013483j -0.0385055-0.0084134j -0.0164986-0.00477802j 0.0139818-0.00191799j -0.0405786-0.0137969j -0.0274451-0.0508831j -0.0120088-0.0123542j -0.000114784-0.00475073j 0.0097221-0.00167328j -0.0138742-0.0204803j 0.00738095-0.00992024j 9.77802e-05+0.0234256j -0.00390912-0.0184557j -0.00527607-0.0103157j -0.00203596-0.00914579j -0.00960631+0.00716787j 0.00360268+0.012169j 0.0201312+0.00484276j 0.00784131-0.0129524j 0.0102802-0.0192142j -0.00400747-0.00445183j -0.00275912+0.0111769j -0.000131463+0.00550222j -0.0191013-0.00663234j 0.0045479+0.0102721j 0.00504735-0.0125119j 0.00421164-0.0170307j 0.00666926-0.0243606j -0.0249463-0.00942331j -0.000362222-0.00766176j 0.0146161-0.0355798j 0.00903686-0.0174982j 0.0196362-0.0465719j 0.0100421-0.0247306j -0.0276285+0.0279089j 0.0112633-0.0168982j 0.0523185-0.00553969j 0.00414474+0.00983664j -0.0412944+0.0457172j -0.0885953+0.0347596j 0.0652336+0.050101j -0.0207944-0.101868j -0.0343194+0.0181139j 0.0484592+0.00296583j -0.00146999-0.0508007j 0.0109522-0.00384096j 0.0537703+0.0285159j -0.0119646+0.0700077j 0.0082153-0.0212545j -0.076215+0.123706j 
0.0640908-0.0451087j 0.0153299-0.00813322j -0.0342572-0.000816893j 0.0502374+0.0183601j 0.00383805-0.00321788j 0.0134111+0.00242086j 0.0354156+0.0434366j -0.0283985-0.00131158j -0.00781655+0.0181243j 0.0142595-0.00251673j -0.0103792-0.0255961j -0.00285912-0.00341773j -0.00694055-0.0340791j 0.00237921-0.00840354j -0.0117709-0.00622883j -0.012851-0.00738205j 0.00491538+0.00242787j -0.00564623+0.000871034j 0.00650045-0.0299014j 0.0131834-0.00613551j -0.00884334-0.0383975j 0.000456032-0.0127464j 0.00254682+0.0187496j 0.00756251-0.00212741j 0.0014383-0.0073899j -0.0088645+0.025998j -0.00136695+0.00303735j 0.00711002-0.0176443j 0.00469172-0.0135856j -0.00908459-0.0154096j -0.00745928+0.00869208j -0.00551432+0.00885072j -0.0249021+0.0203393j -0.00779873-0.0226237j -0.02055+0.00287911j -0.0392455-0.000203524j 0.0421835+0.029743j -0.0278499+0.0158045j -0.00338414-0.041113j 0.0269233+0.0197374j 0.0904848+0.0277979j -0.00600263+0.0668714j 0.0435184-0.0757133j -0.0890308-0.00620795j 0.00694059+0.00249888j -0.019574-0.0622175j -0.00149805+0.00347308j 0.0196051-0.038678j -0.00997361-0.0447217j 0.0727063+0.0424198j -0.0719164+0.128861j -0.0204621+0.00900345j 
0.00511297-0.0743284j 0.00897151-0.0029219j -0.00502022+0.0165903j -0.0124227+0.0133711j 0.0352777+0.00321717j -0.00455395-0.0185909j -0.00569333+0.0100673j -0.0492727+0.00528503j 0.00462196-0.0131461j 0.0261163+0.0378787j 0.00806997+0.00620045j 0.00745591+0.0343282j 0.0333516+0.0260576j -0.0189516+0.0166424j -0.0127958-0.0444128j -0.0136429-0.0153382j -0.0134907+0.0486142j 0.0349049-0.0121593j 0.0174421+0.015649j -0.0212441+0.00744947j -0.0110693-0.031603j 0.0195626+0.0248335j 0.00467439+0.0231045j -0.00916435-0.0145495j -0.00124334+0.0114909j 0.00829006+0.0258316j 0.00310149+0.012473j 0.00699968+0.0028495j 0.00357611+0.0167645j 0.00308753+0.00122585j -0.03442-0.00438316j 0.0387767-0.0033783j -0.0173556-0.0129918j 0.0237174-0.0307547j -0.0166084-0.0222138j -0.0392294-0.0250113j -0.0305577+0.031086j 0.0317432-0.0376851j 0.0356949-0.0590083j 0.0765824+0.0673321j 0.00540487-0.053619j 0.00959619-0.0399142j -0.0463305-0.0249316j -0.00551382+0.0229398j -0.0012878-0.00540243j 0.00209556-0.0131616j -0.0394232+0.0162832j -0.0964545+0.0580504j -0.00292331-0.00350634j -0.114896+0.0161654j 0.222114+0.0286437j 0.0624367+0.163391j 
0.00901773+0.0124445j 0.00953823+0.065663j 0.0132302-0.0267269j 0.00640403+0.0266642j -0.000296641-0.00442207j 0.0870177+0.000199709j -0.0147551+0.00334893j 0.0387827+0.00398003j -0.00399259+0.0116148j 0.0152683-0.00100447j 0.0160541+0.0295022j -0.025466-0.00191314j -0.0219951+0.0011312j 0.00572552-0.0171377j 0.0257268+0.00239863j 0.0048081+0.00620376j -0.0398301+0.00537829j -0.000568474-0.00476841j -0.0086178+0.0199164j -0.0045642-0.00239886j 0.022753-0.0330071j -0.0195361+0.0384446j -0.0431484-0.0468584j -0.0131692-0.0272674j -0.0240043+0.0258144j -0.00276806-0.00403936j -0.0106907-0.00435426j -0.00552244+0.00537116j -0.0166175+0.0140409j 0.0168858+0.00869765j -0.044406-0.0293811j 0.00571576+0.0183146j 0.0185993-0.0227728j 0.011355+0.00778321j 0.0487733+0.00760187j 0.00222746-0.0234573j -0.0116281-0.0102178j -0.00991418+0.0166084j 0.0329102+0.0250914j -0.0350303+0.0880647j 0.0585681-0.00569998j 0.0643224+0.0122795j 0.078539-0.0601213j 0.0223214-0.0184036j -0.00149672-0.0169059j 0.027252+0.0358517j -0.0718591-0.0172122j -0.0435729-0.0920464j -0.0484735+0.00239333j -0.00160811-0.0792795j -0.0637385-0.168325j 0.222495-0.00681217j 
-0.0180988-0.0220547j 0.0358442-0.0167464j 0.0340004-0.0270026j 0.0228997+0.0119826j 0.0150929-0.0167911j 0.064219-0.0481895j 0.00293033-0.00820947j 0.0281489+0.0098142j 0.00518519+0.0326329j -0.0299909-0.0107293j 0.00836216+0.0144232j -0.0337609+0.0122865j -0.0273485+0.0230417j 0.00862768-0.0223061j 0.00443087-0.00882914j -0.0213286-0.026974j 0.0171592+0.00378099j -0.00641697+0.0389052j -0.0236984+0.01081j -0.0158304-0.0210865j 0.0245131-0.0263207j -0.0260181+0.0144871j -0.020097-5.56654e-05j 0.0149773-0.00329883j -0.02673+0.0220285j 0.0186521+0.00630835j -0.0371783+0.0229701j 0.000780185+0.0112883j -0.0571318+0.00262614j -0.0224013+0.00452987j 0.00900315+0.0788284j -0.00476652-0.0439445j -0.0154816+0.00858629j -0.051016+0.0118274j -0.0141737+0.0204987j -0.0611995+0.067206j 0.0156129+0.0144439j 0.0161102+0.0482595j 0.0753837-0.017956j 0.0245078+0.0261918j -0.0635857+0.0501757j 0.0254273-0.045015j -0.0540268+0.0139725j -0.0180602+0.00880876j 0.00581607-0.0522766j -0.031968+0.00669469j 0.0589492+0.0111641j 0.0733061+0.0490559j 0.130305+0.169476j 0.151831-0.159533j 0.0504428-0.0262662j 0.0733693-0.0318937j 
-0.0404281+0.0250129j -0.0197756+0.0305656j 0.019476-0.0220135j -0.0469934+0.040488j 0.0427912-0.0373376j -0.0111766-0.0154264j 0.00045015-0.0317612j -0.000808315-0.0282439j -0.014385-0.0115262j 0.00992043-0.0295395j 0.00676534+0.00494153j -0.00530161+0.0371511j 0.0319043+0.0251187j -0.0550109+0.0132035j -0.0210593-0.00414373j 0.00835414-0.0158914j 0.00924683-0.00944652j -0.0246377-0.000802924j -0.00149043+0.0148681j 0.0147844+0.00681664j -0.0515238+0.0297017j 0.00925673+0.00608711j -0.0204941-0.0198915j -0.044121-0.0179464j 0.00112016-0.00310567j 0.0137499+0.0140978j 0.00657979-0.0213703j 0.0208306+0.0382655j -0.00131384+0.0210151j 0.0127416+0.0140005j 0.0634172-0.0192828j -0.0358796+0.0622044j -0.0106361+0.0269987j 0.042697-0.01119j 0.0168204-0.068792j 0.0387283+0.112847j 0.00935418-0.0180937j 0.0473974-0.0439228j 0.0130082-0.0393678j 0.074514+0.0153363j 0.0204595+0.0276946j -0.0214833-0.00521185j -0.0228441+0.0154275j 0.00254485-0.0569918j -0.0330617-0.0402775j 0.0324479+0.0333322j -0.0234735-0.0418362j -0.0193524-0.0939996j -0.0263667+0.113752j 0.00973712+0.0611412j 0.0929809-0.0899877j -0.0173602+0.0884953j 
0.0180892-0.0390631j 0.0123461+0.0581089j -0.0255127-0.0133475j -0.00871917+0.0172511j 0.00993647-0.00398844j -0.00309999+0.0173543j -0.012111+0.0111379j 0.00012937-0.0373351j -0.00518611-0.0154972j 0.0228651-0.0402047j 0.0435001-0.00128822j -0.00787133-0.0293431j -0.00314826+0.0025214j -0.0445823-0.00932522j 0.00143758+0.0205874j 0.0303195+0.00494562j 0.0134652-0.022247j -0.00422532+0.0259251j 0.00828749-0.0230207j -0.000533302-0.0279158j 0.0401015+0.0400231j -0.0158287-0.00702159j -0.00952758-0.00473255j 0.00773269+0.0505937j 0.0270401-0.00762372j -0.0320199-0.00942323j -0.0130994-0.0348427j 0.0134127-0.0229582j -0.0190494-0.0345266j -0.0186928-0.0218825j 4.53376e-05-0.0479522j 0.032644+0.0400541j -0.00374705+0.0383089j -0.0446527-0.0753218j -0.0362424-0.00388258j 0.106379-0.0465265j 0.0108697+0.00512851j -0.031802-0.0473388j 0.0421515+0.00180113j 0.0734522+0.0620977j -0.0341831+0.000238246j -0.00716308+0.00740086j -0.0250025-0.034899j -0.0187755-0.00132898j -0.0483873-0.074336j -0.0672776-0.130271j 0.000971021+0.0647349j 0.0913781+0.058644j 0.165811+0.000484763j -0.0417452-0.0658964j 0.0147742+0.0626426j -0.00284529+0.0853502j 
-0.0241808-0.0617856j -0.016427-0.00326489j -0.0176709+0.0058797j 0.0334366+0.0647684j 0.0107627-0.055714j 0.0116051-0.0276584j 0.00223367+0.00690934j -0.0127972-0.02298j 0.0249369+0.0148069j -0.0702675-0.0134163j 0.0149651-0.0240722j -0.0438616+0.000579731j 0.00647247+0.0144332j -0.0216672-0.0209877j -0.0237692+0.00554311j -0.00931379+0.0192699j 0.0227795+0.00909548j -0.00284533+0.0266455j 0.0124445+0.00921569j -0.0304539-0.0174954j 0.0286558-0.00439284j 0.0342572+0.0227897j 0.0611146+0.0223079j 0.0476919+0.0224355j -0.0129319-0.00978516j -0.0167985+0.0125826j -0.0332124-0.00158381j 0.00559559+0.0304815j 0.0211738+0.018807j -0.0083151+0.0140822j 0.00537683+0.0320485j -0.00929787-0.0141145j -0.0300664+0.0272751j -0.0294878+0.0011675j 0.0164633-0.0214918j 0.0529836-0.065028j 0.0274622+0.0191205j -0.0905779-0.0237443j -0.0310065-0.0939073j -0.00546697-0.044898j 0.00551263+0.0103438j -0.0311046+0.0147106j -0.025218-0.013728j -0.00522212+0.0213651j -0.0522776+0.0213753j -0.0114454+0.0555071j 0.023093+0.0200678j -0.0431591-0.0906877j 0.05933+0.0995227j 0.218921+0.0233789j -0.0106867+0.0569969j -0.0665265-0.000681009j 
-0.0112648+0.0024488j -0.0344178+0.04987j -0.0539691-0.0184212j -0.0428422-0.00896442j -0.00571666+0.00297525j 0.0232126-0.0253316j -0.0327378-0.00258655j -0.0191395-0.0446804j 0.0329548-9.7377e-05j -0.04926+0.000836448j -0.00194052-0.0300383j 0.0228493-0.0270913j -0.00931611+0.00573363j -0.0120666+0.0352871j 0.00764896-0.0502309j -0.0596086-0.0551573j -0.00358751-0.0104444j -0.00731482+0.00972267j -0.01705+0.0116603j 0.00930706+0.00265186j 0.0428481+0.00139336j 0.0141631-0.0363151j 0.0198133-0.000802029j 0.0457487-0.00337508j -0.00555106+0.0280381j -0.0631969+0.0433894j 0.0278561+0.0262175j -0.0230747-0.0786319j 0.0330933+0.00179095j -0.00814947+0.0142416j -0.0492012+0.0207469j -0.0404197-0.0363102j -0.0355406-0.0360106j -0.0541578-0.0327136j 0.0737549+0.0133964j -0.0360005-0.0187044j -0.0306241+0.0301557j -0.0162171+0.0209348j 0.101857+0.0200191j 0.0392343-0.00719783j -0.0610312+0.01466j -0.0884813+0.00752607j 0.0489286+0.0129638j -0.0478756-0.0996981j -0.0646856+0.0421279j 0.0792729-0.0224757j 0.0201122-0.137945j 0.0751678+0.0296558j 0.100705+0.0388601j -0.000623762+0.0492009j -0.0379646-0.0358608j -0.0871923+0.042268j 
-0.077876+0.024072j 0.0118144-0.00144273j 0.0356245-0.00609873j -0.0651938+0.00700464j 0.0386312-0.00619384j -0.00572319+0.0186697j -0.0443612-0.024837j 0.00770356+0.00611587j 0.0499432-0.0201502j 0.0568607-0.018207j 0.0300842-0.0142517j -0.00816479-0.0185695j -0.0341602+0.0243568j -0.0348283+0.0395594j 0.0468872+0.00740712j 0.0393011+0.0170039j -0.0397144-0.0314094j 0.040708+0.0291179j -0.0457847+0.00761826j -0.0151772-0.0187397j -0.042542+0.0313343j 0.0286001-0.00215424j 0.023902+0.040983j 0.00313618+0.0594083j 0.0367186+0.0184363j -0.00590855-0.0241214j -0.0121738+0.00929106j 0.0139296-0.0192442j -0.0423781+0.045147j -0.0251559-0.0190786j 0.0182084-0.0373404j 0.040651-0.0435852j 0.00665237-0.0909789j -0.0265725+0.0292475j 0.0192384-0.0064955j 0.0427563-0.0566172j -0.0894616-0.0029623j 0.0813392-0.0478085j 0.0245081+0.00533711j 0.00699283-0.0865877j -0.107673-0.0455888j 0.0167198-0.0486256j -0.0963534+0.103007j 0.0362855+0.0579601j 0.03856+0.0645572j 0.0604559+0.0945386j 0.0624244+0.000641599j -0.148717+0.135213j 0.0712334+0.0556408j -0.12018-0.0516791j 0.163038-0.0138341j -0.0452018+0.0155729j 
-0.0155029+0.0757734j -0.0830277+0.0335024j -0.0160563+0.00553104j -0.0485005-0.0404553j -0.0553955-0.0255836j -0.00459908-0.00714824j -0.0360449-0.0777584j 0.0202789-0.0331836j 0.0143232+0.0109933j -0.0235026-0.0184865j -0.00556212+0.031128j -0.0297927+0.0096048j -0.0148608-0.0285799j 0.0199709+0.021782j -0.0101485-0.00335853j 0.0433363+0.0300195j 0.0247962-0.011597j -0.0268491+0.0292036j -0.00741659+0.0374948j -0.0107045-0.00600958j -0.0110734-0.0129881j -0.0347907-0.0256177j 0.013305-0.0242443j -0.00246384+0.0216867j -0.0182248-0.00184638j 0.0117441-0.033036j 0.0157777+0.0379314j -0.0190059-0.021955j 0.0266181-0.0314222j -0.0136603-0.0382443j -0.00507321-0.0230777j -0.0129236+0.00037506j 0.0420545-0.0232242j -0.0213311+0.00456166j 0.0394695-0.08602j 0.0565028-0.00478861j 0.0532383+0.0168935j -0.0170401+0.000550274j -0.0204315+0.0484599j -0.0662169+0.0105961j -0.0723801-0.00343139j -0.111396+0.0546475j 0.116367+0.108314j -0.0203293-0.145614j -0.117968-0.0507678j 0.0428571+0.0926544j 0.121087-0.114514j 0.098551-0.0460559j -0.068363+0.0479779j 0.0274244+0.0795521j -0.0878771-0.0907985j -0.12314-0.041878j 
