0.0432604-0.00716714j 0.010665+0.00709805j -0.0176231+0.0198621j -0.0256393-0.00513622j 0.00576082-0.00840887j 0.00255853-0.00303641j -0.041876-0.00574098j 0.00932859-0.00775314j -0.0849322+0.0179042j 0.0404043-0.0094041j 0.12034-0.0405092j -0.0314675+0.00433131j 0.0749268-0.0216179j 0.069009-0.00776235j 0.231661-0.0516378j 0.0220662-0.00793294j -0.16311+0.0443282j 0.135456+0.0229369j -0.0415561+0.0143949j 0.111913+0.045464j -0.04339-0.000476619j -0.0574401+0.00370819j 0.121698-0.0555503j 0.0484657-0.0108687j 0.136361-0.0426225j -0.0234342+0.0026865j 0.0296292+0.0234938j 0.063399-0.0544702j 0.115324+0.0848226j 0.0312543-0.465769j -0.0654907+0.290873j 0.0387401-0.111727j -0.469246+0.0117967j -0.366212-0.184627j 
-0.00272674-0.00823246j 0.0598542-0.0119934j 0.0862723-0.0112446j 0.0154948-0.00365672j 0.0172988+0.0179268j -0.0283778-0.0010079j 0.0487535+0.00214787j 0.0354624-0.0236385j -0.0305153+0.0111214j -0.0392373+0.000533482j -0.117926+0.0117582j 0.00235436+0.0061679j -0.0551938+0.0103241j -0.0278276-0.00292866j -0.0409365-0.0301264j -0.102108-0.00880718j 0.0384897+0.00812013j 0.240006-0.0560135j 0.035491+0.0169178j 0.248553-0.0740195j -0.050806+0.0196836j 0.0350864+0.00388267j -0.0724187-0.0430988j -0.00633846-0.0525976j -0.0487639-0.0452821j -0.0848479-0.0352317j 0.000280484-0.0950558j -0.0512743+0.0235397j 0.0572901-0.183532j -0.0554+0.212567j 0.0220433+0.462746j -0.106368+0.175487j -0.37706-0.163927j 0.480605-0.0140486j 
0.067674-0.00583325j 0.0805482-0.003134j 0.132883-0.00270224j -0.00997106-0.010214j 0.0159287+0.00286485j -0.0331535+0.00183987j -0.00984792+0.00113227j 0.0151219-0.0362997j 0.0410647-0.0169374j -0.0257827+0.00137573j -0.136761+0.0287055j -0.0733071+0.0124793j -0.0911016+0.0251428j 0.165548+0.00620209j 0.167967-0.00479819j 0.499113-0.0411542j 0.160759-0.0236376j 0.012641+0.00874898j 0.244934+0.00483115j -0.200529+0.0313851j -0.031771+0.00145627j 0.054084-0.00323942j -0.0756728-0.0705113j -0.00968345-0.0963958j -0.106538+0.0714935j -0.021891-0.153058j -0.0150162-0.167315j -0.0981941+0.235497j 0.0817235-0.19706j -0.148704-0.151006j -0.117018-0.0623162j 0.459465+0.0879588j -0.0691646-0.00094042j 0.0191258+0.00780098j 
-0.00323069-0.00234522j -0.0543403+0.00157677j -0.0273118+0.0104604j 0.0524697+0.0101967j -0.0190919+0.000438088j 0.153567-0.00265848j 0.0254485+0.0306637j 0.0378684-0.0176013j 0.521791-0.00825326j -0.188463-0.00113462j -0.0418888-0.0194262j -0.198304-0.00852039j -0.101419-0.0177312j 0.255064-0.0239796j 0.156892-0.0252872j -0.308609+0.0299142j 0.0662934+0.0526044j 0.260387-0.0334254j 0.00698941+0.0164153j -0.331705-0.0167393j -0.068739-0.0134743j 0.12829+0.0629268j -0.00477461+0.0453723j 0.0181419+0.00907979j -0.0580412+0.156816j 0.0369698-0.147063j -0.0536897+0.0792344j -0.163978-0.125238j -0.267585-0.0159196j -0.0416998-0.0272386j -0.0761887+0.0585913j -0.100428-0.0515392j -0.0193584-0.00504673j -0.0252718-0.0301577j 
-0.0271379+0.00207413j 0.021986+0.00510014j 0.0110656+0.00643508j 0.00447535-0.000679166j 0.0508016+0.00471156j -0.0284586-0.00352014j -0.0180343+0.00115293j 0.0474086+0.00200781j -0.0555739-0.00973821j -0.0141451+0.00330292j -0.170033+0.0101011j -0.0342937+0.0129046j -0.0853711+0.00705607j 0.207797-0.00652264j 0.342876+0.0185876j -0.277373-0.0173978j -0.176605-0.0506542j 0.406553+0.0208356j -0.110181+0.000466367j 0.384494+0.0178026j -0.0948128-0.0235077j -0.0110883-0.0197091j -0.00160647+0.0576118j 0.0236445-0.00614164j 0.0986914+0.00614322j -0.206838-0.0584186j 0.00786281-0.0812168j -0.0496793+0.115831j 0.199677-0.0333553j 0.111316+0.013007j 0.167605-0.294737j 0.19008+0.0218866j 0.174681+0.0650977j -0.0259894+0.0632953j 
0.132149-0.00254985j 0.0680978+0.000551094j 0.152936-0.00251999j 0.0223045-0.0138471j -0.0996677-0.0022763j 0.102443-0.00115219j 0.0833694-0.012869j 0.0648348-0.0196752j 0.147789-0.0167967j -0.0244428-0.00213066j 0.396255+0.0251994j -0.0354324+0.0124284j 0.225176+0.0205164j -0.334094+0.00710353j -0.381033+0.0183324j -0.10997-0.029926j 0.108789-0.00647396j 0.369092+0.0240493j 0.111037+0.0139362j 0.179808+0.0234509j -0.0998648+0.0369659j 0.0742321-0.0292468j 0.140182-0.106894j 0.0908263-0.0324397j 0.060092+0.0905565j 0.16126-0.0522128j 0.130038-0.0412378j -0.00321267+0.108902j -0.100032-0.0828188j -0.0141525-0.0992399j -0.00357634-0.130674j 0.225554+0.0246675j 0.0151847+0.0292511j -0.0406156+0.0142618j 
0.0143736-0.00791829j 0.00652427+0.00245096j -0.0150746+0.0032821j 0.0354945-0.00181186j -0.0024299-8.61973e-05j -0.113037-0.00564137j 0.0562049+0.00936993j -0.110284+0.00166383j -0.0354102+0.00643364j -0.0688003-0.00162933j -0.495727-0.00900019j -0.0797221+0.00742085j -0.185922-0.0172967j -0.402337-0.00781202j -0.205509-0.0179334j -0.215628-0.000368798j 0.171508+0.00916001j -0.0264125+0.0130849j 0.00417078-0.0301959j 0.177204+0.052391j 0.062776-0.0446674j 0.107382+0.0448931j -0.275457+0.0307163j -0.100761-0.00994421j -0.239862-0.016154j -0.054818-0.05488j -0.0235354-0.0556089j -0.103857+0.0604346j -0.0859893+0.0297149j 0.12034-0.272053j -0.16799-0.0484718j 0.034616-0.0648338j -0.0398889+0.0386727j -0.144984-0.0657179j 
-0.253287-0.00819228j 0.0826941+0.0073127j 0.224192+0.0358035j 0.00494346+0.0175918j 0.0922821+0.0233426j 0.0330723-0.00958895j 0.0929861+0.0156207j 0.112127-0.00444592j -0.00945361+0.0105993j -0.00479051+0.022664j 0.192629-0.0256179j 0.330666+0.0200694j -0.0222932-0.0517559j 0.524815-0.0389573j -0.416754-0.0232448j -0.00476543-0.0178912j 0.15007-0.0330314j -1.74731e-05+0.0252105j 0.0473817+0.0551998j 0.133597-0.0177688j -0.0153462+0.00578303j -0.0536896-0.0490195j -0.162775+0.108825j -0.0717126+0.058621j -0.14683-0.0529565j -0.171286-0.0523818j -0.0921419-0.0389704j -0.151463-0.0161994j 0.0593033+0.0585793j 0.0977492-0.125979j -0.0815954-0.0180131j -0.034759-0.0579728j -0.00786596+0.0251627j -0.0420124-0.0431776j 
0.0983143+0.00438217j -0.138429-0.00028694j 0.322411+0.00868498j 0.160838+0.00535806j -0.0201349-0.008099j -0.0931564+0.00343326j 0.0445784+0.00147239j 0.117338+0.0103196j 0.04174+0.00785528j 0.482313-0.0186425j -0.274755-0.00216053j 0.231008-0.00642186j 0.27898-0.00961498j 0.00542477+0.00146871j 0.195015+0.00450127j 0.226037+0.0393757j 0.110107-0.0174002j 0.205432-0.0154019j 0.118266+0.0183411j 0.114399-0.00520949j -0.0510903+0.00488663j 0.120054+0.0582596j -0.0541564-0.0748534j 0.0215426-0.0500362j -0.0601527+0.129139j 0.0489283+0.0483403j 0.0185796+0.19566j 0.0382054-0.154438j -0.215613+0.0707893j 0.0525659+0.0592785j 0.023492-0.0205803j -0.148466-0.0707331j 0.0373274+0.0122987j -0.0132707-0.00555258j 
-0.090832-0.0107203j -0.260679-0.0208014j -0.0424896-0.0125081j 0.116448+0.00874501j 0.0257008-0.00340726j -0.0178727+0.0111668j 0.0226635+0.0300326j 0.048811-0.0237819j 0.0601555-0.0160506j 0.343912+0.0290985j -0.0748293+0.0239676j 0.275526-0.0212023j 0.269007-0.00867027j 0.00466437-0.00594391j -0.00264828-0.0277788j -0.350121-0.0119487j -0.142934+0.0141545j -0.275135-0.0345208j -0.249808-0.0189572j -0.110708+0.030516j 0.0813016-0.000616164j 0.00521535+0.0617288j 0.0801199+0.0042832j -0.0520995+0.0611986j 0.0556635+0.0588686j 0.0770263-0.199455j 0.00277139-0.213875j -0.205532+0.145677j 0.0129713-0.178124j -0.134728-0.0982952j -0.0545177+0.0377239j 0.182544+0.0925196j -0.0243339-0.0245261j 0.0112743+0.00370805j 
-0.0729828-0.0128821j 0.0505112+0.00955231j -0.0839787+0.0154489j -0.0665391+0.00194968j 0.0301788+0.00814546j -0.0176252-0.0560509j -0.0329426-0.00905809j -0.00673862-0.0427878j -0.183972-0.000901193j -0.0771798+0.00513556j 0.0313285+0.00470061j 0.0299666+0.00741548j -0.0718138-0.0213873j 0.0974154-0.0192943j -0.0211975-0.0185336j 0.00362688+0.0167743j -0.164467+0.0329916j -0.139441+0.0213338j -0.0810466+0.0500959j 0.163356-0.0529166j 0.026587-0.0283658j -0.104756+0.00556034j 0.0656175+0.0272938j 0.14874-0.472188j -0.212024+0.275419j -0.079629-0.195299j 0.393442+0.256719j -0.000689833-0.044886j -0.31759-0.10131j -0.072122-0.000913805j -0.0113788-0.0162506j 0.0296268-0.0198163j 0.013681+0.00212575j 0.0124357+0.00452022j 
