-0.0866495+0.0685527j -0.0349147+0.00509669j -0.0236761-0.00129781j -0.0948631-0.0399005j 0.0214792-0.0151827j 0.0438226-0.00194287j -0.0102121+0.00746445j 0.000660259+0.0445389j -0.0226836-0.0129688j -0.0454066-0.00723239j 0.0153237+0.0234205j 0.0326953+0.00284801j -0.0198406+0.00446004j -0.00790523-0.0140522j 0.0216998+0.0010516j 0.0159031-0.00784428j 0.0255336+0.0135745j 0.0159906+0.00887205j 0.0221462-0.0156114j -0.00858043-0.0127096j 0.00196848-0.01471j 0.0213548+0.0467624j -0.0204258-0.00207944j -0.017632-0.00443152j 0.0190418+0.00102946j 0.0264796-0.000563678j -0.0214029+0.0174996j -0.017695-0.0010643j 0.0089173+0.0141667j -0.00151114+0.00050844j 0.00770021-0.016538j 0.00187896-0.0166549j 0.037323+0.00666251j 0.0161942+0.0412671j 0.00307133-0.00783061j 0.0237048+0.0141182j -0.00350466-0.00815404j -0.0126778-0.00142165j 0.02424-0.00465078j 0.000688185-0.0220629j 0.0127268-0.00962727j 0.04138+4.71048e-05j -0.00157811-0.000992402j -0.0213396+0.0110937j -0.00461788-0.0045033j 0.0243922+0.0103583j 0.000693243+0.0102374j -0.000689203-0.0152138j 0.0124165+0.00411314j 0.000359346+0.0133924j -0.00653261-0.0142917j 0.0271737-0.0049492j 0.00116087+0.0184889j 0.0105718+0.0130411j 0.00173332+0.00387515j 0.00675743+0.00304611j 0.00610405+0.00740887j -0.0028422+0.000602423j 0.0125929-0.0358489j 0.0211668-0.00961616j 0.0109503+0.0178108j 0.00304853+0.0016984j 0.0165971+0.0222033j 0.0195064-0.0111846j -0.00938296-0.0310078j 0.0204293+0.0245355j 0.00315026-0.0106416j 0.0150071+0.0171613j -0.0150178+0.000705612j -0.0211943-0.00795058j -0.0156583+0.0178071j -0.0107776+0.0061424j 0.0107214-0.0194133j 0.00319464-0.00876687j 0.0118666-0.0578238j -0.00816329+0.0473453j 0.01624-0.00763984j 0.0720512+0.0127605j 0.060579+0.00625752j -0.0615087-0.033565j 0.0693857-0.0339097j -0.00178621+0.0248852j 0.03638+0.0827667j 0.0082347-0.0559771j 0.0128771+0.000725698j -0.0186032+0.05133j -0.097457+0.00570334j 0.0187391-0.134007j -0.0418199+0.0120725j 0.00102615-0.0217609j 0.00953263+0.00898606j -0.0247959-0.0327293j -0.0832745+0.146579j -0.00280937-0.0525235j 0.129986-0.116847j 
-0.0456616+0.00928174j 0.0919602-0.0775331j -0.0862527-0.00188238j 0.00347501+0.0207843j 0.0163784-0.0314808j -0.00905686+0.0123643j -0.0283992-0.00783047j 0.0302223-0.0049806j 0.0192236+0.0333783j -0.00491436+0.0381684j -0.00425644-0.00711482j -0.0383964-0.0174813j 0.0210092+0.0185467j -0.0209516+0.00421104j -0.00105089-0.0149446j -0.0165328-0.0097831j 0.0178645-0.0228496j 2.866e-05+0.00462018j -0.0139375-0.019916j 0.00235273+0.00750928j -0.0196703-0.0100176j 0.0254318-0.00594316j 0.026153-9.40613e-05j -0.0108165+0.00961256j -0.0199042+0.00851799j -0.00026597-0.00421522j 0.01624+0.0246036j -0.0118083+0.040212j 0.00360379-0.0269245j 0.0299821+0.00631972j -0.00764603-0.00439306j 0.0102731-0.0278093j -0.000384257-0.0221428j 0.0179086+0.00320344j -0.00403556+0.0152161j 0.00712071-0.0020318j 0.00213554-0.00436294j 0.000978738+0.0245599j -0.00681722+0.0133445j -0.0285151+0.018699j 0.00431867-0.0271576j -0.0203069-0.0285484j 0.00189102+0.00802493j -0.0031229+0.0154834j -0.00153347-0.00217111j 0.0229936+0.0130803j 0.0178352+0.00146168j -0.00188433-0.00746091j 0.000840137-0.00227509j 0.00725483-0.00355828j 0.00102806+0.0245855j -0.0123261-0.0114405j 0.0279017+0.0180233j 0.00361641-0.0150094j -0.0171239-0.0018624j -0.0158618-0.0257818j 0.0200512-0.0151094j 0.0107742+0.00425342j -0.0210236-0.0261613j -0.022998-9.07425e-05j -0.0191419-0.0134666j 0.00731602-0.02308j 0.00286242+0.0124617j -0.014246-0.0248603j -0.0147815-0.0329397j 0.00736747+0.0094312j -0.00225152-0.0155811j 0.0022258+0.0258705j -0.0138174+0.0289665j -0.00677605+0.0037391j 0.000976848+0.00502327j 0.00734642+0.00799429j -0.00403225-0.0335587j 0.00189954-0.0170941j -0.0520062+0.0121108j 0.0410789-0.0168348j -0.00897542+0.00885745j 0.0147379-0.0464265j 0.0156011-0.0343176j -0.0406928+0.0285203j -0.0705037-0.0808345j 0.0461412+0.0587397j 0.0709841-0.0273991j -0.0261001+0.0374633j -0.00987772-0.00730635j 0.0485274+0.00855066j 0.00178947+0.157536j -0.0934725+0.0212032j -0.0675368+0.0307365j 0.0100683+0.0051782j 0.00792602+0.0147088j -0.0433356+0.100974j 0.0765006+0.0659942j -0.11695+0.107944j -0.0148528-0.0683994j 
0.0145868+0.0285406j -0.0178779+0.12197j 0.00816624-0.0699911j 0.0420644-0.0499631j -0.0330191+0.0431354j -0.0411667-0.0222982j -0.0699511-0.0470152j -0.0624147+0.0148906j 0.00517898-0.0181705j 0.0126259-0.0188873j -0.008987+0.00177487j 0.00091105+0.00751429j 0.0119226-0.0243394j 0.0349847-0.0287329j -0.0283925+0.010197j -0.0169532+0.00855539j -0.00662702+0.0186729j -0.0517357-0.0068336j 0.0218163+0.00609111j -0.0205782-0.0414225j -0.0037061-0.0134127j -0.0435935-0.0111363j -0.0135759-0.0342967j -0.00245982+0.0083188j 0.0200332+0.0525591j 0.00830946+0.0303431j 0.0190126+0.035821j 0.0159491+0.0238463j 0.00548934-0.00962889j -0.0289747+0.0250955j -0.0439355+0.013309j 0.00105445+0.0244035j -0.0368456-0.000480231j 0.0246436-0.00167144j 0.0173959+0.00814346j -0.0365611+0.0194072j 0.00466861+0.0114053j 0.00574507-0.0297237j -0.0360123+0.0430384j 0.0131158-0.00737086j 0.00649199-0.00921434j 0.00886615-0.0293356j 0.044954-0.00348952j -0.0297105-0.0239628j -0.00315298-0.00774228j 0.0469835+0.0591875j -0.0222547-0.0322872j -0.028999+0.000274355j -0.00630109-0.00187535j 0.0171936-0.0267087j 0.0436245+0.0246654j 0.0164239-0.00242338j -0.0181109-0.00487727j -0.014179-0.0155886j 0.026955+0.0331489j -0.0122795+0.0285463j -0.0816771-0.038485j 0.0146731+0.0145173j -0.0180136+0.00734497j 0.00461416+0.0329981j 0.029027+0.0206831j -0.077303-0.0298212j -0.0106645+0.00496194j 0.00175698+0.0224752j 0.0189499+0.0144856j -0.0169022-0.00141688j -0.000396712+0.0145764j -0.053664+0.00119838j -0.00543113-0.0249693j -0.00510374-0.0110882j 0.0372883-0.0219274j -0.0447205-0.0140446j 0.0115181-0.0408143j 0.0229417+0.023899j 0.0131356+0.0423953j 0.0674487-0.0287472j -0.0511295-0.0402835j 0.0309865+0.00566916j 0.0187885-0.0329603j -0.0183299+0.00965461j -0.0359075-0.0718981j -0.0488344-0.0598986j -0.0224711+0.0561586j 0.0745408-0.0393464j 0.0121382-0.0314059j -0.0461317-0.00304051j -0.0454044-0.0229832j -0.0291528-0.0319061j -0.136564+0.0966105j 0.0126836-0.00187532j 0.00113583+0.0125987j -0.0687431+0.000183601j 0.138902-0.0690989j -0.306389-0.188129j -0.0699542+0.219033j 
-0.0257023-0.107069j -0.0227571-0.00563934j 0.0657582+0.0615124j -0.0635036+0.0325321j 0.0130456+0.0225871j 0.00159925+0.0435807j 0.0638669-0.0157911j -0.0233494-0.0174794j -0.0371251-0.0395279j 0.0406458-0.0310426j -0.0351474+0.00107466j 0.000174074+0.0325939j -0.0228768-0.0265459j 0.0346424+0.0285715j 0.00548327-0.0370522j 0.0431206+0.0193465j -0.0289412+0.0304151j 0.0531316-0.0223237j -0.0382581+0.00173397j 0.0144578-0.00240569j 0.0155023-0.0211553j 0.0086648-0.033268j -0.0329476+0.0175716j 0.0463041-0.00642405j -0.0218168+0.00586588j -0.0117267+0.0135027j 0.0167924-0.0273127j 0.0289337+0.0286619j 0.00913208-0.0115358j 0.0146088-0.00730158j 0.00470225-0.0526234j -0.00718037+0.00892707j -0.0227944+0.0132325j -0.0174666-0.00473873j -0.037119+0.0050619j -0.0226085-0.00426289j -0.00110707-0.000180197j 0.0351393+0.0174791j 0.023136-0.0345297j 0.0325148+0.0249936j 0.0214068+0.0181706j 0.0225669+0.0223881j 0.0254829+0.0456836j 0.03579-0.0601j 0.0127806+0.0290429j 0.0040987+0.0211771j 0.0397182+0.00931459j 0.02313-0.0194709j -0.00664913-0.0214648j -0.00913135+0.0124829j -0.00832421+0.0301442j -0.0723509-0.045139j 0.0115497-0.0281949j -0.0142149-0.0094944j 0.00757214+0.00812877j -0.0266213-0.0132558j 0.00457968-0.0239667j -0.0425916-0.0103527j -0.0161734+0.0163343j -0.0292595-0.0124343j 0.00102071+0.0035139j -0.00366168-0.0093337j -0.0235856-0.0340435j -0.0253276+0.0148836j 0.0106757+0.0317819j -0.0223556-0.0199854j -0.00924007+0.0195387j -0.0329152-0.0209598j 0.01948-0.0252033j -0.0303669+0.0130245j 0.0167322+0.0341848j -0.0241583-0.0112268j 0.0334004-0.00672479j 0.00435375+0.0295341j 0.000905227+0.0603349j -0.00374643+0.0544614j 0.0644642-0.0926254j -0.0125067-0.0104448j 0.0100897+0.0799321j 0.00727319+0.0446962j 0.0261461-0.0529249j 0.134514-0.0405957j -0.045276-0.055027j 0.0476264+0.013055j 0.0532491+0.0234083j -0.0537054+0.00919387j -0.0340596-0.0346497j 0.123277+0.0268907j -0.097436-0.0614182j 0.00578701-0.0401352j -0.0248264+0.000160783j -0.015744-0.0656833j 0.0815978+0.138217j -0.00113643+0.195431j 0.271041+0.146909j 
0.0388598-0.0307754j 0.00151579+0.0249395j 0.0569463-0.035823j 0.0980326-0.00239371j 0.0639537-0.0366156j -0.0381349+0.0329719j 0.00494088+0.000973898j 0.00364498-0.0543733j 0.0573843-0.0185387j -0.000182264-0.0329141j -0.0665656-0.05324j -0.097538+0.00539073j 0.082139-0.0432974j 0.0143122+0.0473402j -0.00996733+0.0751935j -0.0335449+0.0494578j -0.0614131-0.0281536j -0.0426587+0.0483476j 0.0310182+0.00105546j -0.0558324+0.0682495j -0.0313481-0.00146752j 0.044401-0.022439j 0.0380961-0.00301294j 0.033931-0.0316729j -0.00569348+0.0116146j 0.00591065-0.0252811j -0.00193719-0.0118681j -0.0062056-0.00912692j 0.027978+0.00445713j 0.0332356-0.0189398j -9.12496e-06+0.0221856j 0.00842987-0.0133997j -0.0305305+0.0115287j 0.00401513-0.0636638j -0.0148557-0.00805833j 0.0465932-0.00979595j 0.0177264+0.0221001j -0.00243929+0.0171449j 0.00887385+0.0509391j 0.0195501+0.0392827j -0.0196286+0.0259108j -0.0743218+0.0190388j -0.0384065+0.0187846j -0.0250383+0.0404363j 0.0477496+0.00591094j 0.0239974-0.0132815j -0.00281505+0.00374584j -0.0222144+0.0217643j 0.0224074+0.0212671j 0.0293355+0.00875461j -0.00689658-0.0171628j 0.0124858-0.0159666j 0.0398112-0.00489547j -0.000534723-0.02028j 0.00604475-0.0258144j 0.00694054+0.0053434j 0.00704654+0.0215182j -0.00621951+0.0320654j -0.00478151+0.0287152j 0.00971186+0.0368076j 0.0133901-0.0162534j -0.0221853-0.0451021j 0.0176885+0.0364911j -0.00271711-0.0236069j -0.0124502-0.0209141j 0.0271509+0.0105045j -0.0150479+0.00776174j 0.0327461-0.0376607j 0.0195774-0.0206097j -0.0172019-0.0398353j -0.0245915-0.0111623j 0.0245118-0.0105697j 0.0515751+0.0641779j -0.00891235+0.0454226j -0.0429481+0.0309468j 0.0570656-0.0428371j -0.0493687+0.028798j 0.0254972+0.0360789j -0.0942793-0.00993461j -0.0296284+0.131149j 0.00329051-0.024376j 0.00916622+0.0285557j -0.0578493+0.00542079j -0.0419042-0.00121415j -0.0833225+0.0663003j -0.0199648-0.0115525j 0.0577086+0.0135332j -0.0517643+0.0547934j 0.00729686-0.00692935j 0.121524-0.0126516j 0.025948-0.0494263j -0.064002-0.00586475j 0.0541578-0.0343995j -0.0374584-0.0336834j -0.0938285-0.0108742j 
-0.0322135-0.0690469j 0.0279727-0.0505326j -0.0208153+0.065463j 0.0296424-0.000519854j -0.00591695-0.0493446j 0.0800801-0.0452337j -0.00546902+0.0212821j -0.0330454-0.0270399j 0.0585145+0.0623012j 0.0164288+0.0657723j 0.0484375-0.0130443j -0.0193114-0.0354197j 0.0266542+0.059707j -0.0192057+0.0217033j -0.0048677-0.00816863j -0.03154+0.0110876j 0.0524616-0.0534991j -0.0142915-0.0151673j 0.00737208+0.0211912j -0.0499932-0.0294278j -0.0233217-0.0129557j -0.0358054+0.0672366j -0.000623828-0.0277917j 0.017069+0.00550711j 0.0099842+0.0128456j -2.69818e-05+0.01747j 0.0273939+0.0454729j 0.0283177+0.0267154j 0.00219405-0.00634739j -0.0196977+0.00896206j -0.022194+0.00139307j -0.0173513-0.00659235j 0.00841879-0.0322954j 0.0535895+0.0164176j 0.0319307+0.0559743j 0.0360348-0.00711591j 0.000289505-0.0300567j 0.0652351+0.0230238j -0.0200219+0.0214233j -0.0143446+0.0442139j -0.00534711-0.0128847j 0.0150359-0.0407249j 0.00405611-0.012761j -0.0105402-0.00499535j -0.0648772+0.00735102j 0.0903666+0.0177703j 0.0387718+0.0267607j -0.0187571-0.0204865j 0.0351787+0.0115617j -0.0267125-0.0167436j 0.00118228+0.00625935j 0.017891+0.0148547j -0.00967408+0.0281314j -0.0203672-0.00203676j 0.0204849+0.021301j -0.0339141-0.031073j -0.0170249+0.0172065j -0.0101958-0.0228485j -0.000980255+0.0228351j 0.0120908+0.00868462j -0.0284457-0.0154241j 0.0193794-0.00304101j -0.0115954-0.00216302j 0.00740357-0.0118315j 0.0089515-0.0191462j -0.0311553+0.0164996j -0.0183132-0.0138864j -0.00945514+0.0310968j -0.0149501+0.0177269j 0.0545498-0.010854j -0.0120365-0.0137291j 0.0024492+0.0214281j 0.0206884+0.0218983j -0.0307947+0.00358789j -0.0244522-0.00185691j 0.0416704+0.0738243j 0.00509378-0.0824857j -0.00616456+0.0335794j 0.0656872-0.10025j -0.123997+0.00264872j -0.029996+0.0234894j 0.0121701+0.0421734j -0.048376-0.0363875j 0.0647156-0.0385822j -0.0172295-0.0366265j 0.0113681-0.0942439j -0.0558311+0.0728742j 0.00280587-0.00373177j -0.102587-0.0163282j -0.00455082+0.0582436j 0.0984869-0.00143377j -0.00854477-0.0262934j -0.00212711+0.0932366j -0.100465+0.0504881j 0.136131+0.0922461j 
-0.0571371+0.0476858j 0.00707734+0.0130021j 0.0139283+0.0451285j -0.0496149+0.0643078j 0.0223024-0.0263357j 0.0512048-0.0623338j 0.0288008-0.0740909j -0.0548206+0.0485197j 0.0253906+0.0585969j -0.0068122+0.0435419j -0.0704024+0.0587439j 0.0440539-0.0947016j 0.00171947-0.00514336j 0.119057+0.00702991j 0.0861457+0.0282557j -0.0953454+0.0908277j 0.0298668-0.0811814j 0.00601376-0.0239427j -0.0340849-0.0221518j -0.0409254-0.0576702j 0.0159387-0.012604j -0.02917+0.0415249j -0.0392099+0.0452536j -0.0160214-0.0152814j -0.0162594-0.0233446j -0.0371943+0.074954j -0.0386977+0.0517889j 0.00216768+0.0301687j -0.0128402-0.0146131j -0.0597372+0.00926347j -0.00131694-0.0222177j 0.0221505+0.0695852j -0.00206281-0.030062j -0.0632113+0.023282j -0.0167144+0.0573027j -0.0237981-0.00627121j 0.0326543-0.0757179j 0.0335958-0.00218274j 0.0582245+0.0241921j -0.0402561+0.0635622j 0.0605508-0.0207061j 0.0289384-0.0446487j 0.0530965-0.0200381j 0.0365943+0.0323537j -0.0425526+0.0506213j 0.0189559-0.0425143j 0.0104793+0.00356582j 0.0469854-0.00783513j 0.0225881-0.00531889j -0.00558879+0.0108885j 0.0237752-0.0374198j 0.00863821+0.0305542j -0.0707179+0.0781425j 0.0137647+0.0120901j -0.0225952+0.0577544j 0.0102651+0.00416813j 0.00883995-0.0194361j -0.0235305-0.00254786j 0.0431535-0.0411347j 0.0115834-0.0111756j 0.0261897+0.0558517j 0.0161882-0.0369451j -0.0216468-0.0342742j 0.030293-0.00120515j 0.0617522-0.0643682j -0.0157454+0.0301292j -0.0311384+0.0696501j -0.00635285+0.0242156j -0.0419587+0.0017195j 0.0438103-0.0346452j 0.0212256-0.0628097j -0.0619842-0.0123943j 0.073562-0.00325771j 0.0322007+0.00406904j 0.0838922-0.0266724j -0.0446599+0.0303933j 0.00578326+0.0117879j 0.0310745-0.00334737j -0.0265399-0.018325j -0.0289892+0.0442169j -0.0408897+0.0175351j -0.0198085-0.0671149j 0.00991084+0.00459906j 0.00860471+0.0519365j -0.036704+0.0172074j -0.00303199+0.0369541j 0.0284646+0.125728j -0.0308879+0.0162136j 0.0461281+0.0615107j 0.0324442-0.0276057j -0.00361797-0.00216305j 0.148428+0.213049j -0.221316+0.179448j -0.053255-0.0584456j 0.0475114-0.0690321j 
0.0570788+0.0730289j -0.0531196-0.0289336j -0.0100971-0.0249362j -0.0152633+0.0126636j 0.0284562-0.0593129j -0.00435339-0.0678361j 0.102036+0.0324302j 0.0716672+0.0166238j 0.00524664+0.0348653j -0.0238379+0.0128191j -0.0953041-0.0349104j 0.0754614-0.139842j -0.137811+0.0277964j -0.0857828+0.0370011j -0.00119443+0.00838861j -0.018992+0.0108002j -0.101454-0.142315j -0.00800178+0.0773202j 0.0435141+0.0982979j 0.140161+0.130231j 0.0348857+0.0589905j 0.00349187+0.130645j 0.0927417+0.0294096j 0.018369-0.00802662j -0.0091537-0.0339079j -0.0448568+0.0188692j -0.0376146+0.0796049j 0.0129517+0.0198981j -0.052333-0.00777383j -0.0190469+0.0042397j 0.0980142+0.059422j 0.0014904+0.04866j -0.0141646+0.00363382j -0.0871121-0.00739835j 0.00794017+0.00836241j -0.00501179+0.0120176j 0.0415621-0.00966663j -0.0328834+0.0399506j 0.0319895-0.00542178j -0.0931671+0.0330795j -0.0065798-0.0367498j -0.0480349-0.000601234j -0.0493818-0.0199386j -0.0159567+0.00917653j 0.0132865-0.0028511j -0.078605+0.0357716j -0.0296435+0.0253261j -0.0222026-0.0246044j -0.0116357+0.0118139j -0.0292337+0.0142492j 0.0150238+0.0183117j 0.0223797+0.063133j -0.0455263+0.0683163j 0.0157309-0.00355691j -0.0147356+0.0134161j 0.00992505-0.00119622j 0.0150886+0.0312999j 0.0674155-0.0039036j -0.00413582-0.00362061j -0.0354312+0.0384347j -0.0234901+0.0118123j 0.00496086+0.016464j 0.0216887+0.0183014j -0.0316725-0.0048487j -0.00356846-0.0643609j 0.00260802+0.031937j -0.0130009+0.0252201j -0.00682431+0.0573238j 0.0234846-0.00601278j 0.010151+0.0563834j 0.0153844-0.00498075j -0.023597-0.0380195j -0.0184005-0.0114892j -0.0621971-0.0513237j 0.0328648-0.0152888j -0.13712+0.0164024j 0.016616-0.0176249j -0.0104556-0.0336877j -0.024046+0.0165866j 0.0108877+0.037764j -0.000733089-0.0217703j 0.0953588+0.147966j -0.0117695-0.0114126j -0.0254983+0.00482072j 0.0594248+0.0170993j -0.010735+0.000510448j -0.0394499+0.0567395j 0.00428252+0.0745381j -0.00442423-0.0399738j 0.0429035+0.0902022j -0.0677412+0.0403556j -0.190236-0.16716j -0.0365668-0.0883824j 0.106174+0.0400495j -0.00842651-0.099591j 
-0.00416186+0.000101357j 0.0194513-0.0766812j -0.0077773+0.0484348j 0.0430989+0.0303668j 0.0327582-0.0768889j -0.0450944+0.00367851j -0.0241058+0.00161749j 0.00988962+0.0835248j -0.000899341+0.0761575j -0.066106+0.0402792j -0.0741511+0.0665267j -0.0684431-0.121357j 0.0464875-0.0758643j 0.05783+0.0628121j -0.038924-0.0204031j 0.0791925+0.0106966j -0.0885242-0.0231274j 0.0479053+0.0763901j 0.0750674+0.0638132j 0.0366525+0.158506j -0.00985485+0.0879969j -0.0382386+0.0583449j 0.053058+0.035656j 0.0146981+0.0214382j 0.0382229-0.0379276j 0.0388222-0.0363688j 0.0272659+0.0866261j 0.0277111-0.00946912j 0.0467111+0.0301j -0.0498442+0.0199237j -0.0849931+0.0510765j 0.0685478-0.0254749j 0.0665357+0.0257454j 0.0320007-0.0295452j 0.0376522+0.0018828j 0.03008+0.00397442j 0.0145849-0.0585015j 0.0062838+0.0157379j -0.0098667-0.0605196j 0.0874879+0.0945484j -0.0757998+0.0598229j -0.0834907+0.0696255j -0.000729412+0.0404723j -0.024226+0.0271835j 0.0340449+0.00333159j 0.0013656-0.022089j 0.00480053+0.000229705j 0.0043767+0.0600962j -0.00212992-0.0111336j 0.0273265-0.0445918j 0.00533281+0.0367221j 0.0629552+0.0420432j 0.0418966+0.0389035j 0.0191747-0.0155586j 0.00443053-0.0195439j -0.0244413-0.0321494j -0.0449451-0.00754056j -0.00215674-0.000869662j 0.00755637-0.00317781j -0.00291681+0.0285843j -0.00474425-0.00108114j 0.0141976-0.00150537j -0.0369795-0.0105484j 0.0560403-0.00934526j -0.00165807-0.0429832j 0.000683305-0.00936926j 0.0303847+0.044401j 0.00677328+0.0208633j -0.0106322+0.0397025j 0.012995-0.0210588j -0.0133655+0.0128899j -0.108954+0.116309j -0.000933717-0.0569482j 0.00281263-0.018096j -0.0470246-0.0640209j 0.143808+0.0388576j -0.0842691+0.0144348j 0.0108389-0.0280007j 0.0256419+0.0542816j 0.0617097+0.0390653j 0.0384305+0.0521166j -0.0470213-0.0100165j -0.0185595-0.0731502j -0.00764726+0.0864942j 0.0104855+0.0251534j 0.0293921-0.00201352j 0.0450437+0.00612818j 0.0409647+0.129116j -0.0445507-0.108873j 0.0221239+0.061149j -0.0253921+0.0174591j -0.140382+0.0981415j 0.0212116-0.0328999j -0.0663499+0.0950863j -0.0121242-0.0254602j 
0.0601279+0.0535861j 0.00777825+0.00905831j -0.0266863-0.0712807j 0.0744017+0.00498265j 0.0614572+0.103457j -0.0592485+0.00160374j -0.085194-0.150762j 0.0734522+0.00244602j 0.144679+0.0453635j -0.103127-0.00911538j 0.0263171+0.157753j 0.0334146+0.0595561j 0.179259-0.089809j 0.0471578-0.091249j 0.104371+0.144087j -0.229957-0.0387255j 0.0675315-0.0881965j -0.0578731-0.0450782j 0.0728773-0.076325j -0.244667-0.168275j -0.00857533+0.0511764j -0.0599875-0.106406j 0.00799335-0.0744438j -0.139163-0.0488942j 0.135689+0.0293435j 0.0372182+0.0214282j 0.0545856-0.00416283j -0.0535952+0.0021879j 0.0132466+0.0089933j -0.0407476+0.012164j -0.0944999-0.0308668j -0.0280725-0.00754334j 0.0239627+0.00196123j 0.0137122-0.00910238j 0.0353462-0.0186897j -0.0343039-0.0230889j 0.0106837-0.0240775j -0.0257628-0.0112782j 0.00379869+0.0442744j 0.000515486-0.0260813j -0.0425517-0.0122326j -0.0247336-0.00650736j 0.0519691+0.00632696j 0.0128083+0.0433279j -0.0399744-0.0178671j 0.00624473-0.0111734j 0.00582987-0.0362694j 0.030655-0.00316602j -0.0418829+0.0219652j 0.0457517+0.0304398j -0.00139337-0.0185827j 0.0520705-0.0221198j 0.0241964-0.0140101j 0.0222413-0.0140767j -0.0161494+0.0259794j 0.0292694+0.0558502j -0.053069-0.00982504j 0.0266603+0.00953839j -0.0134263+0.00820218j 0.052991+0.0619673j 0.0485519+0.015407j -0.0607362-0.0301118j 0.0176061+0.0174094j 0.0500945+0.0172759j 0.0232954+0.033032j 0.0216119-0.0342649j -0.00844934+0.0299219j -0.00224026-0.0535284j -0.000459844+0.00650166j 0.00482305-0.0472679j 0.02902+0.0224557j 0.00555476-0.042733j 0.0212052-0.0680261j -0.000797034-0.0587636j -0.0273654+0.0064385j 0.00882585-0.0242656j -0.0391184-0.0355211j -0.0382062-0.0429738j 0.0560999+0.005822j -0.0694485-0.016172j -0.0191464+0.0214491j -0.0139893+0.0214963j -0.0544326-0.0353898j -0.0338447+0.0113756j -0.0628583+0.0161372j -0.0217678-0.00334488j 0.0140519-0.00540128j -0.0131807+0.0352043j -0.0529926-0.0964204j 0.10667-0.0948135j 0.179136+0.199603j -0.0660561-0.031906j 0.00190359-0.0495447j 0.0055417+0.0284406j -0.00650577-0.0020492j 
0.00435474+0.0070484j 0.0342812+0.0272036j 0.032406+0.0144504j -0.00132711-0.0534004j 0.0903952+0.0631228j 0.0165632-0.0484738j -0.0114383+0.00911328j 0.0633023+0.011355j 0.0221241-0.0369422j -0.122978-0.00552087j 0.0734609+0.119497j 0.0136321+0.0961208j -0.0661982-0.11075j -0.0905554-0.115624j -0.0770499-0.0493424j -0.0867637-0.260683j -0.10195-0.200949j 0.0478801+0.0330656j 0.17292+0.0814154j 0.19547+0.168231j 0.130067+0.268562j -0.0183282+0.0345953j 0.109188+0.0650495j -0.0609128-0.0711914j 0.0394787+0.0603471j -0.0242813+0.000817892j -0.0363856-0.0182766j 0.00933619-0.0664941j -0.0800462-0.0280177j -0.0735201-0.0121362j -0.0570569-0.0277838j -0.00993463+0.0177368j 0.00782086-0.0274907j -0.0298619-0.00237086j 0.0132997+0.0100956j 0.053165+0.00818216j 0.00570385-0.0559611j -0.0424878-0.0574416j -0.0304872-0.0310518j 0.0167145-0.0892283j -0.0127175+0.0366009j -0.041203-0.0344636j -0.0481192-0.00402551j 0.091528+0.057906j -0.0481747-0.0517841j -0.0675052-0.0285699j 0.00693083-0.0575146j 0.0293217+0.0107746j 0.0371453+0.0326238j 0.00630183+0.00403419j -0.0433566-0.045242j 0.0847942+0.0468868j -0.0427457-0.0431149j 0.0134995+0.00673367j -0.0189505+0.0276387j -0.00263623+0.0433487j -0.00376543-0.048452j 0.0233776+0.0190685j -0.0146764-0.0378301j -0.0163773+0.0118947j -0.0306638+0.0189945j -0.00776847-0.0787865j 0.0185805+0.000370698j -0.0071362+0.0209808j 0.0166912-0.0378239j 0.00509215+0.0203994j 0.0203169-0.0111206j 0.0819415+0.0403407j 0.0308133-0.00400017j -0.0107165+0.00791362j -0.0153878+0.0252851j 0.0254461-0.0109982j -0.0558559-0.0414005j 0.00353524-0.00270114j -0.00625383-0.00837091j -0.0271994-0.0230971j -0.0360359-0.0257876j 0.0683328+0.123154j -0.0298585-0.0500338j 0.0638814+0.0132163j -0.0242355+0.0509029j -0.0377287-0.00424691j 0.0244829+0.0263563j 0.0289589-0.00819907j 0.0547409+0.10781j 0.0645767+0.00181886j 0.0120629+0.0603297j 0.0240547-0.0389768j -0.0364413-0.0220403j 0.0815339+0.0756856j -0.0296059+0.000835763j 0.0882429+0.118936j -0.143349-0.0270662j -0.0250382-0.0543791j -0.0348534-0.0070365j 
