-0.0131125+0.00403769j -0.00353355-0.00342894j -0.000113263+0.0021271j -0.0123414+0.00337912j 0.00336809-0.00203893j -0.0137783-0.00199609j -0.0148273+0.00375961j -0.00595739-0.00105019j -0.00709316+0.00324333j 0.0099269-0.000189309j -0.00803421-0.0015002j 0.0211986-0.00164669j 0.0272994+0.00195672j -0.0131132+0.0021023j -0.00659961+0.0022673j 0.00391229-0.00114204j 0.00654793+0.00092771j 0.000550588+0.000848963j -0.00485827+0.000983958j -0.0166028+0.00236427j -0.00313966-0.00158191j 0.00533359+0.000499822j 0.00022933-0.000543314j -0.00136693-0.000846287j 0.00752112+0.000797587j 0.00253345-0.00139473j -0.00948581-0.000156807j 0.00819406-0.00174044j 0.021234-0.000609392j -0.0124695+0.00135517j 0.00880216+0.000998454j -0.00624801+0.000107751j 0.00493716-0.00230979j 0.00126734+0.000522618j -0.00179938+0.000743877j 0.00629558-0.00203354j 0.00266661+3.95491e-06j -0.00377669-0.00228665j -0.00745292-0.00121338j -0.0027057-0.000579805j 0.00848561-0.00272702j 0.00510794+0.00122347j -0.0101145+0.000329394j -0.0033304-0.00219857j -0.00217614+0.000414144j 0.00593646+0.000363577j 0.00324755+0.000138086j -0.000989142-0.0004823j 0.0142723+0.00120143j -0.00165243-0.00234381j -0.00899443-0.00131368j -0.00544551+0.00197857j 9.51864e-05+0.00132247j -0.0140348-6.53222e-05j -0.00278725-0.000190416j -0.00590761+0.00020633j 0.00147366+0.000769014j 0.0093835-0.0033591j 0.00923847+0.00153095j -0.00479002-0.000219865j 0.00272586+0.00324615j -0.00840612-0.000993095j -0.000762849-0.000284851j 0.00180207+0.000227666j 0.0060383+0.00305279j 0.00578867-0.000626659j 0.0150186-0.00369433j 0.00584117-0.00541538j -0.00365009+0.00384908j 0.00918695+0.00493836j -0.00213116+0.000839374j 0.0118391-0.000916293j 0.00784278-0.00208536j -0.0268616-6.11689e-05j 0.0115418+0.00622205j -0.00481481+0.00281559j -0.0382807+0.00365252j -0.000706991-0.0200377j -0.0882713+0.0116264j -0.0572839-0.00374543j -0.0457729+0.00536233j -0.0342878-0.00565135j -0.0339803+0.00903238j -0.0257408+0.00190114j -0.00685266-0.00190245j -0.0177863+0.00396137j -0.00253423+0.00106865j 0.0111224-0.00206793j 0.0202675-0.00549302j 0.0965206-0.000307509j 0.0518051+0.0142742j -0.927853+0.000523412j 
-0.00259936-0.00332148j 0.019871-0.00383311j -0.0120119+0.00352405j -0.00565506-0.00192859j 0.0121218-0.000962425j 0.00571768-0.00276921j -0.00356221-0.00274015j 0.0109152-0.0036424j -0.0122185-1.43794e-05j -0.00290628+0.00170775j 0.0284728-0.00349924j -0.00724492+0.00397941j -0.0102865+0.00231984j -0.0170807-0.00475149j -0.00592467+3.59638e-05j 0.0145379-0.00108679j -0.0038111-0.000225789j -0.00404718-0.000870686j 0.000573807-0.00129466j -0.0042549-0.00327176j 0.0102471-0.00235093j 0.00510435+0.0016968j 0.0102223+0.000957312j 0.00335492-0.00358074j -0.00386759+0.0015148j 0.00918223+0.00215082j 0.00236337-0.00300678j 0.000678099+0.00212462j 0.00112125+0.0030043j -0.00667741-0.00175667j -0.00637645+0.00114859j 0.00295566-0.00103388j 0.00490245+0.000885532j -0.00201707+0.00135932j -0.00618507-0.000826221j -0.00124011+6.54796e-05j 0.00221526+0.000738351j 0.014966-0.000646472j 0.00716759-0.00261548j 0.00514181-0.000683756j 0.000538461-0.000299792j 0.000270925+0.00243463j 0.00418733-0.0035097j 0.00765806-0.00114159j 0.00647503+0.000440758j -0.00325174+0.00237357j -0.00771169+0.000587688j 0.00885679+0.000844076j -0.0132912+0.00352014j 0.0098091-0.000690349j 0.0116371-0.00111319j -0.00661766-0.000869646j -0.0101056+0.001122j -0.00555129-0.00113j -0.000154289-0.00161903j -0.000296613+0.00273538j -0.00759679+0.00129403j 0.0104289+0.00428305j 0.000787106+0.00102847j 0.00273352-0.000451486j -0.0145277-0.000837648j 0.000348579-0.00118819j -0.004066+0.00127901j -0.00294137-0.000381088j -0.00614281+0.000685774j 0.00181408+0.00241747j 0.0135383+0.00289788j 0.00661391-0.00235823j -0.0140451-0.00364566j -0.0245303+8.20759e-05j 0.000775302-0.0008546j -0.0191307+0.00371063j 0.00926662-0.00284202j -0.00235772-0.0034687j -0.0175928+0.000922006j -0.0105406+0.00108729j -0.00350547-0.0106186j 0.0977188-0.0083684j -0.0302407-0.017393j 0.0426767-0.0144207j -0.00765368-0.00464427j 0.0438523-0.00544435j -0.0387451+0.000888841j 0.00913986-0.00607987j -0.00694738-0.00235135j 0.00566322+0.000694451j -0.033565+0.00204901j -0.0115952+0.0020176j -0.111602-0.000132634j 0.0324474-0.00462957j 0.923753-0.000680571j 0.0509583+0.014799j 
0.00485501+0.000392874j -0.0115788+0.00278552j 0.00279741+0.00134486j -0.0135221+0.000449452j -0.012315-0.0011042j -0.00609305+0.0032224j 0.00404315+1.69426e-05j 0.00824471-0.0037887j 0.0173886-0.00161532j -0.00827412-0.00414382j -0.0238829+0.000184249j -0.00958019-0.000401971j 0.00962362-0.00204844j 0.0204728-0.000402991j -0.00843266+0.00420432j -0.00858207-0.000802482j -0.00722675-0.00191011j -0.0126398+2.43194e-05j -0.00657413-0.0014978j 0.014749-0.00278277j 0.00992897+0.000934669j 0.00224074-0.00281135j -0.00606344+0.000236156j -0.00238714-0.00236224j 0.00507632+0.000211012j -0.00270972-0.00303988j -0.016073-0.00203864j 0.00279414-0.00150146j -0.0099928-0.000507953j -0.0031722+0.00271457j -0.00160072+0.000905323j -0.00796308+0.00176963j 0.00594515-0.00150661j -0.00196053+0.00124767j 0.00404032-0.00106551j 0.0192104-0.00286095j 0.02876-0.00122114j -0.0027821+0.000414598j -0.00485355+0.00163201j -0.0120091-0.00024009j -0.0145776-0.000517525j -0.00725468+0.000710941j 0.00654794-0.00161354j 0.00542471-0.0015403j -0.00484065-0.00145653j 0.0195483+0.000646531j 0.0379152+0.00207396j 0.00320625-0.00186917j 0.0119274+0.00101797j 0.00972432+0.00179055j -0.0152406-0.000713209j -0.0166589+0.000389592j 0.00847463+0.00219524j 0.00159156+0.00350675j -0.0142967+6.9779e-05j -0.0286743+0.00338803j -0.0144856+0.00357314j -0.0257235-0.00207568j 0.00145162-0.00268774j -0.0124753+0.00107981j 0.0274833+0.00187892j 0.0119909+0.000904963j 0.0169996-0.0028507j 0.0167532-0.000695746j -0.0135788-0.00282232j -0.0584362-0.0011464j -0.0262873-0.00554193j 0.130564-0.00319726j 0.0379051-0.00563188j 0.0152712-0.0108134j 0.0582187-0.0149465j 0.0423351+0.00386684j 0.0199589-0.0110103j -0.0483672+0.00886251j 0.0341404+0.00635914j 0.0350956-0.00545867j -0.0056797-0.00353772j -0.0226471-0.0113713j -0.0411241+0.00440835j -0.0694634+0.00215312j -0.0226635+0.00603928j -0.0941425+0.00198989j 0.0261929+0.00798848j 0.0162373-0.00271559j -0.137639-1.38566e-05j -0.0439801-0.000841231j 0.0678505+0.000496523j -0.0682595-0.00591883j 0.658549-0.00723305j 0.607063+0.00844039j 0.0524748+0.000453059j 0.0810804-0.00166317j 
-0.0157827+0.00251828j -0.0115793-0.000339263j -0.0113318+0.000554157j 0.00368191-0.00299406j 0.0143215-0.00350488j -0.0162247+0.000247133j 0.000781266-0.000687849j 0.00447344-0.000223966j 0.0149577+0.0014031j 0.0352832-0.00251218j -0.00917753-0.00348075j 0.0116389+0.000117035j 0.0157834+0.000753945j 0.00905433+0.00124753j -0.00252948-0.00130486j -0.00156261+0.00203019j 0.00502579-0.000441031j -0.00947026+0.00157706j 0.0216362-0.000589866j 0.00567251+0.000927598j -0.00819849+5.00448e-05j 0.0294339+0.0010266j 0.00707028-0.00295684j 0.00718955-0.000227227j -0.0105065+0.000249158j 0.00546634+0.00150597j 0.00699103-0.000804927j 0.00755612+0.000226437j 0.000197557+0.000221659j -0.0167998-0.00229341j -0.0108519+0.00132611j -0.0181549+6.83643e-06j 0.0114821+0.000163905j 0.00684405-0.00353688j 0.00455263+0.000200727j 0.00870569+0.00160157j -0.012612+0.00366612j 0.00419138-0.000108734j 0.00536102-0.000133697j 0.010565+0.000512611j -0.00658994-0.00161296j -0.000450958-0.00088283j 0.00769914+0.00225108j 0.0159889+0.000970144j 0.00669068-0.00301592j -0.0166021+0.00189988j -0.0199856+0.00535425j 0.0107407-0.00028583j -0.0101323+0.00267387j -0.0209107+0.00121133j 0.00822443-0.00209785j -0.0115828-0.00451622j -0.00655692+0.000863876j -0.0299023+0.001092j 8.88019e-05-0.00307588j -0.0354726-0.00410196j -0.0244852-0.00275942j 0.00362978-0.00154531j 0.0394449-0.000895465j -0.000196137-0.0030042j 0.00711847-0.00092884j -0.0100361+0.00310004j 0.000515867+0.00684346j -0.000447999-0.00294481j 0.0318713-0.00441427j 0.0183077-0.00908195j 0.0251776-5.46487e-06j -0.035026+0.0144692j 0.00656925+0.00136913j 0.0688123-0.00240971j 0.0933091+0.000536833j -0.06608+0.0100858j 0.0714437+0.00287112j -0.0701571-0.00201416j -0.00747325+0.00189759j -0.0237859+0.0086418j -0.00107893-0.000142243j 0.0460353-0.00788919j -0.0617999-0.00963581j -0.00064874-0.0058834j -0.0796604-0.00244086j 0.0247802-0.00670596j -0.0338511-0.00113508j -0.034117-0.0033966j -0.0557767+0.00430998j -0.169531+0.00450409j 0.10503+0.0018903j -0.148936+0.00341166j -0.620732-0.00791717j 0.615707-0.00675505j -0.0949204+0.00109439j 0.0463994+0.00140215j 
-0.00342902-0.000616895j 0.00569583-0.00166349j -0.00173684+0.000858944j 0.0127558-0.00195381j 0.0189001-0.00217796j -0.0408606-0.00105818j -0.0254491+0.00106282j 0.00295141-0.00152417j -0.0267608+0.00027199j -0.00478001+0.000995356j -0.000448089+0.000158583j -0.0206498+0.000127143j 0.00462224+0.00027108j -0.0242576+0.0010885j -0.0102431+0.00261941j 0.0374972+6.3596e-05j -0.0332454+0.000770871j 0.0386004+0.00288489j -0.00130846-0.00206659j 0.0367374-0.0014081j -0.0234192+0.000323965j 0.015107+0.00294524j 0.00115456+0.00315668j -0.00605518+0.000202351j -0.0246077+0.000127555j 0.00977261-0.00304986j 0.0165666-0.000356007j -0.015441+0.00241192j 0.0265298+0.00158713j 0.0022646+0.000968984j 0.0347711+0.00126645j 0.0400925+0.000154033j -0.0174268+0.000165526j -0.0101005+0.00175056j -0.0191288+0.000488236j -0.019762+0.000675047j 0.0121077-0.00110495j -0.00363335+0.00224708j -0.0164702+0.00211285j 0.0329209-0.00179289j -0.0103622-0.00200398j 0.0345603+0.000602444j -0.00384296-0.00109816j 0.0164093-0.000685774j 0.00551319+0.000865126j -0.00956139-0.000663452j -0.0257158-0.00160883j 0.0101694+0.00202011j 0.00603947+0.00188912j 0.0170307-0.000883054j 0.013565-0.00176149j 0.0147644-0.00263987j -0.037425+0.008645j -0.0096346-0.00255994j -0.00130009+0.000246702j -0.0101526+0.00586383j -0.023376+0.00925947j 0.0426797-9.7639e-05j -0.0220149+0.00877295j -0.019756-0.000275756j -0.0372255+0.0104155j 0.0112045-0.00178514j 0.0033636-0.00616541j -0.0344021+0.0035351j -0.0179405+0.00270816j 0.0540311+0.000505839j 0.0720036-0.0134336j -0.0619458-0.0153097j -0.0165703-0.00556428j -0.0111314+0.00215447j -0.0399104-5.7017e-05j 0.00142438-0.00447119j 0.00775039-0.00414158j 0.00571793-0.00238878j -0.0282846-0.00171703j -0.015921-0.00596376j 0.0540808-0.00602973j -0.0360677-0.00800859j 0.0356348-0.000236108j 0.0438736-0.00403819j 0.123734-0.00322301j 0.0720346-0.00325462j 0.100231+0.00663021j 0.0173513+0.00115995j 0.280132-0.0076924j 0.0571606-0.000580975j 0.326024-0.00242715j 0.777482+0.00255781j -0.0248408-0.000180316j 0.169481+0.00156122j 0.0071455+0.00454344j 0.0142506+0.00303346j 
-0.0109002+0.00158446j -0.0034045-0.00150049j -0.0124634+0.0018856j -0.0129599-0.000183202j -0.0506338-0.00155251j -0.00318539+0.00303857j 0.0116863+0.00092776j -0.00193456-0.000164785j -0.0104229+0.0013768j 0.0153684-0.00045269j 0.0136304-0.000222097j 0.021989+0.000662518j -0.00753762+0.000101047j -0.00608866+0.00226937j 0.00237503+0.000316209j 0.0349976+0.000549749j -0.000171947+0.00542836j 0.0454554+0.00147726j -0.0171505-0.000940092j 0.00517536-0.000178594j -0.00844447+0.00180209j 0.0376333+4.07646e-05j 0.00617937+1.88032e-05j -0.00141507+0.00270071j -0.017058-0.000173421j 0.0011307-0.00050284j 0.00720787-0.000470385j 0.00942107+0.00199786j 0.0346162+8.75371e-05j 0.00237381-0.00250255j 0.0466065+0.000982475j 0.0387047-0.00148247j -0.0229513-0.00021563j -0.0203601-0.00362621j -0.0154078+0.00346257j -0.000533437+0.00321821j -0.0191993+0.00290015j 0.00934127-0.00165528j 0.0205049+0.0011191j 0.00780849-0.00332649j -0.0307387+0.00380073j 0.0278538-0.00417638j 0.00531064+0.00281423j 0.0160682-0.00264447j 0.000621047-0.00409254j -0.00950864+0.00163513j 0.00835689+0.00230642j 0.0560984+0.0008033j 0.0343663-0.00202392j 0.0167977-0.000214675j -0.00318007-0.00458405j -0.0554399-0.00174052j 0.0647584+0.00470035j 0.00340168+0.00127849j 0.00781674+0.000986518j 0.017271+0.000435296j -0.0158117+0.00295413j 0.0222227-0.00373096j 0.0509526-0.00150764j -0.0433019+0.00202212j 0.0529055-0.000673201j 0.0286461-0.00081887j 0.0251553+0.000585457j -0.00154064-0.000395297j -0.0335451+0.00140706j 0.0731852-0.00969307j -0.00541259-0.00908346j -0.0533624+0.00375803j -0.0331421+0.00320024j -0.0121702+3.86373e-06j 0.0510153+0.00339747j 0.0109153-0.000152187j 0.00862314+0.000686626j -0.0344175-0.000831646j -0.0421332+0.00170951j -0.0281024+0.00535707j 0.023988+0.00351623j 0.0569708-0.00440664j -0.0219437+0.00502622j 0.0184951+0.00449731j 0.120527+0.00191504j 0.0818747-0.000956782j -0.0912369+0.00305634j 0.0606976+0.00394967j 0.340067+0.00114168j 0.22757-0.000121563j 0.678998+0.00300418j -0.42869+0.00543858j 0.0607657-0.00392585j -0.0633022+0.000514661j 0.0234714+0.00387417j -0.0163254-0.00309077j 
0.00732121-0.00221674j 0.00824574-0.00147843j -0.00153838+0.00108915j -0.00304649+0.000604753j 0.0125727-0.000885831j -0.0042675-0.000529024j -0.0230603+0.00175001j 0.0144838-0.000299668j 0.00885671-0.00136321j -0.0393482+0.0022376j 0.0260991+0.00142076j -0.0168402-0.00063666j -0.00467292+0.00254547j -0.00683841-0.0016283j -0.0300436-0.00085365j -0.02344+0.00150133j -0.0660577+0.000887269j -0.0292881-0.000242953j -0.00923311-0.00316351j -0.0306004+0.00189046j -0.0175655+0.000564722j -0.0207896-0.000730975j 0.0350112-0.00205375j -0.0102541+0.000104969j 0.0206612+0.00113375j -0.0115863+0.00388814j -0.0113771-0.0012443j 0.0101331-4.46101e-05j -0.0175636+0.0035807j 0.0276456-0.000593761j -0.0341402+0.00166659j -0.00690957+0.000293861j 0.0179928-0.00303617j 0.0490047-0.00117407j -0.00852824-0.0011459j 0.00249021-0.000413733j -0.00380504+0.000327083j 0.0104535+0.00123454j -0.0220934-0.0024108j -0.0163357+0.000359714j -0.017626-0.00120514j -0.0148376+0.00482483j -0.0439941-0.00160302j 0.0233369-0.0022547j 0.0212694+7.49987e-05j 0.0179206+0.00272685j 0.043824+0.0034061j 0.00378344-0.000499133j -0.00819517+0.00664661j 0.02147+0.00185896j 0.0224193+0.0014362j 0.0246405-0.0036381j -0.0304022-0.00240894j -0.0303808-0.00165571j -0.0203693-0.00296724j 0.00941022+0.00104888j -0.0272645+0.00102166j 0.0471074-0.000746513j -0.015681+0.00322557j 0.0269949-0.00416532j 0.0708968-0.00502664j 0.0313583+0.000738188j -0.0655422+0.0185286j 0.0379472+0.000571611j -0.0949405+0.00483797j -0.0118149-0.000816509j -0.0338474+0.00921808j 0.122757+0.00923627j -0.0287045+0.000993306j -0.022094+0.00180023j 0.0620731-0.00173359j 0.0275528+0.00744452j -0.0168817+0.00216302j -0.0307894+0.00112293j 0.065583-0.000761631j 0.00682006+0.00671016j 0.0974593+0.00174077j 0.0155448-0.000149486j 0.0795239-0.000994797j 0.0155752-0.00457745j 0.0243847+0.00055351j -0.0974555+0.000242236j -0.000311523-0.00070757j 0.317657-0.00437576j -0.518407+0.00122404j -0.45296-0.00549584j 0.430091-0.00274449j 0.0973714+0.000391701j -0.0172562-0.00137844j -0.187585-0.00200584j 0.0150819+0.0020718j -0.0153546+0.00345766j 
-0.00272032-0.000129158j 0.00972028-0.00164429j 0.020545-0.00113376j 0.00142294+0.00210521j -0.00647287+0.00103597j -0.000807815+0.000578927j 0.00433969+0.000506173j 0.0324662-0.00180404j -0.0369215+0.000329272j -0.0121582+0.00282868j 0.0125585+0.0024226j -0.00718385+0.000590761j 0.0132003+0.00102573j -0.0302581+0.000949174j -0.0363606+0.00277219j 0.00566065-0.001217j 0.0131115+0.00417871j -0.00269678-0.0026599j -0.0198902+0.00114389j 0.0536928+0.00125453j -0.0154777-0.000272628j -0.0439559+0.000865487j 0.000701177+0.000780513j -0.00590926+0.000802128j 0.0100617-0.000216451j 0.0359375-0.000218583j 0.00150019+0.00190631j -0.0226077+0.000888807j 0.017541+0.00163802j 0.0134941-0.0024089j 0.0309384-0.0003818j 0.0669881-0.002549j -0.0564427+0.00186474j -0.0291751+0.000690175j -0.0239118+0.00161011j -0.0175672+0.000850683j 0.0307717+0.00193053j -0.0329294-0.00125982j -0.0815015+0.000814004j -0.0284544-0.000257443j 0.0143487+0.00408486j 0.0343136-0.00173782j -0.023542+0.000984891j -0.0357814-0.000179128j 0.034807-0.00196332j 0.0508529-0.00198276j -6.31869e-05-0.00453496j 0.0276914-0.00381192j 0.0585426+0.000963899j 0.0141178-0.000384155j 0.0101898-0.00144728j 0.0578643+0.00166658j -0.0396568+0.000939646j 0.00600544+0.00211035j -0.0126157+0.00339706j 0.08308+0.00415838j -0.0041712+0.00910165j 0.0125301+0.00351101j -0.026167-0.00187101j -0.00738493-0.000568186j -0.0187689-0.0132918j -0.0481565-0.00409255j 0.0781741+0.000110397j 0.091089-0.00351095j -0.0328091+0.00742581j -0.0381523-0.00213148j -0.00457272+0.00528593j 0.0878798-0.00717204j 0.0746056+0.00116831j -0.0174452-0.00416338j 0.0546107-0.00696347j 0.0762471-0.00294575j -0.0306611-0.000362125j 0.0665365-0.000749139j -0.0491526+0.00434618j 0.0334721-0.000961197j -0.0706078-5.99815e-05j 0.0956003+0.000428774j -0.049839+0.00134563j 0.118997-0.00165827j 0.0575433+0.00283748j 0.173754+0.000299278j -0.0529203+0.00107761j 0.0230806-0.00194729j -0.53048-0.00347084j 0.655306-0.00259715j 0.0680253+0.00582041j 0.0781148+0.00088644j -0.078625+0.00330171j 0.0558962+0.00135121j -0.0326224+0.00151299j -0.013825-0.00110281j 
-0.00237774+0.0014102j -0.00388056+0.000417566j 0.00556133-0.00147273j 0.00168013+0.000488834j -0.0262112-0.00036728j -0.00641528-0.00064803j -0.0319718+0.0023044j 0.00321605+0.000602892j 0.0195976-0.00120791j 0.0105955+0.00332252j 0.0335124+0.000601549j 0.00568998-0.00182005j 0.0312648-0.00461383j 0.034702+0.00410261j -0.0393747+0.000447895j -0.0127932+0.000390957j -0.0260115-0.00118445j -0.0265493+0.00344644j 0.00240179-0.00165198j -0.00236737+0.00150944j -0.0386356-0.00217313j -0.0202335+0.00213167j -0.00512692+0.00280171j 0.0268654-0.000571483j 0.0444095-0.00142438j 0.00887786-0.000461038j 0.0199876+0.000515122j -0.0172283+0.00373575j -0.0152729+0.00239997j 0.0450612-0.000248312j -0.0273219-0.00320188j -0.0201849-0.00261231j -0.00351741-0.00609585j 0.0197066+0.00148553j 0.00843211+0.00159641j 0.0186563-0.0024757j 0.0102319-0.00338077j -0.0116638+0.00280152j -0.0666093+0.00483148j 0.00824445+0.00539022j -0.014433+0.00165049j 0.0329873-0.0016613j -0.0698802+0.00250497j -0.00324599+0.00616301j 0.0363395+0.000188356j 0.0205287-0.00641318j 0.0259336-0.000792343j -0.0699684-0.00114147j 0.0220141+0.000670307j -0.0378451+0.000856454j -0.0106491+0.00392308j 0.0611111-0.00144352j 0.0238309-0.00073207j -0.0121211-0.000452533j -0.0633789+0.00293903j -0.0282763-0.00402415j 0.0102125+0.00522445j -0.0481109+0.002198j -0.017259+0.00649482j 0.0206765-0.006703j -0.0150817-0.000831984j 0.0372736+0.00464659j 0.000812036-0.00358342j -0.0308688-0.00551539j 0.00754118-0.00140931j -0.0865498-0.00308985j 0.0766648-0.00189671j 0.0623952-0.00108058j 0.0592864+0.00507637j 0.0290684-0.00121992j -0.0643739+0.00284798j -0.0662811+0.00052629j -0.12245+0.000931402j 0.0510041-0.00171524j -0.0488238-0.00175802j 0.0264977-0.000737097j 0.198922+0.00357509j 0.272819+0.00423273j -0.293498-0.000685309j -0.168259+0.00327655j -0.0734477+0.00095423j 0.0521494-0.000302427j 0.662572-0.000644534j 0.359847-0.00345169j 0.0951574-0.00319828j 0.0742062+0.00174041j -0.0483825-0.00146238j -0.0700066+0.00316176j -0.0339707+0.00188539j -0.000208473-0.00114672j -0.0026229-0.00150699j -0.0144528-0.00211935j 
0.00651362+0.000660259j -0.00382588-0.000812675j 0.00255686+0.00258654j -0.0196903+0.00196577j 0.0191966+0.0010037j -1.15784e-05-0.000336168j -0.0219201-0.000273249j 0.028068+0.000614745j -0.0190773-0.00331443j -0.0544938-0.00308185j 0.0138681-0.00173689j 0.0332297-0.000224983j 0.0122003+0.00210492j 0.0320768+0.00228627j 0.0126887-0.00208445j 0.00395107+0.000167578j -0.00704211+0.000417247j 0.0242525-0.0014791j -0.0182145+0.00260125j -0.00313824-0.000948542j -0.00171072-0.000604808j 0.0203091-0.0037123j -0.00538453+0.00195996j 0.0100539+0.000555596j -0.0394497+0.00553254j -0.0442893-0.00129982j -0.0081472-0.000845731j -0.027726-0.00282433j -0.0440875-0.0012734j -0.00848971+0.00733941j -0.000997693+0.000811383j -0.0103099+0.00044389j 0.0701737-0.00366674j 0.0056285-0.00416858j -0.0210792+0.000967742j 0.026651+0.00407225j 0.0864438-0.000231347j -0.0380155-0.003968j 0.00190059-0.00667147j 0.0223227-0.00231919j 0.0118448-0.00414741j 0.00384716-0.000575978j -0.0588032-0.00379931j -0.0139122+0.00331518j -0.0193972+0.000237323j 0.0605467-0.00252917j -0.0477083+0.00533988j 0.00441949-0.00188241j -0.0447321-0.00324913j -0.0116448+0.00609609j -0.065006+0.00536867j 0.0376291+0.00607868j 0.0574756-0.00242845j 0.011297+0.00251336j 0.00576056+0.00063838j 0.0513857+0.00192149j -0.0177613+0.00371753j -0.000513649-0.00705401j 0.0374628-0.00352291j 0.0804573-0.00172986j 0.120246-0.00353645j 0.103245-0.00159417j 0.00540648-0.00019068j -0.0609176+0.00433351j -0.0385806+0.00212402j 0.0346234-0.00184891j -0.0179934-0.00122703j -0.00985222+0.00418501j 0.0220746-0.000448868j 0.102261-0.000208381j 0.173748+0.00175157j -0.0329203-0.00102268j -0.11571-0.00140815j 0.101802-1.2769e-05j 0.060231+0.00104118j 0.0198964+0.000842696j 0.229788-0.00152475j 0.276117-0.00188458j -0.080339+0.00287319j 0.0630631+0.00514351j 0.367216-0.00061189j -0.196837-0.00076666j 0.201593-0.00308224j -0.630768-0.00302063j -0.101639+0.00396242j -0.066706-0.00170151j 0.0624383+0.00123526j -0.00922528-0.00127123j -0.00447253-0.00116753j -0.0338597+0.00145767j 0.00819198+0.00125075j -0.00674268-0.00116977j 
0.000709554-0.000440739j -0.00382357+0.000384967j -0.0172233+0.00102807j -0.00385308+0.00194773j 0.00748978-0.000424234j 0.0157155+0.000384643j 0.0290206+0.00219752j -0.0127686-0.000486053j -0.0245822+1.94332e-05j -0.0399553+0.00146119j -0.102497+0.00242646j 0.0287462-0.00106698j -0.0248479-0.00141621j -0.0449651-0.000141722j 0.0816226-0.00127112j 0.0324829-0.00189871j 0.058716+0.000312329j -0.015254-0.000752827j 0.0629237-0.00127968j -0.065161-0.00313831j 0.048892-1.73044e-05j 0.0333255+0.000955516j -0.0452559-0.00262993j -0.0758934+0.00212884j 0.000209224-0.00171366j 0.0209202-0.00197395j -0.059279+0.000750703j 0.00779942+0.00368228j 0.0313067-0.000334543j -0.0387478-0.000466905j -0.00520678-0.00406715j -0.00560272+0.00305434j 0.0387929+0.00358977j -0.0456269+0.00109783j -0.0186551+0.000712682j 0.00682197-0.00418569j -0.0312242-0.000236759j 0.0154883+0.000855829j 0.0379692+0.00480371j 0.0241062-0.00495317j -0.0547548+0.00504395j 0.0364501-0.00365902j 0.0419722+0.00253529j 0.0246415-0.00313319j -0.00384657-0.00256602j -0.0132249-0.00130674j -0.00675882-0.00132925j 0.0645526-0.00150021j -0.0689359-0.00672232j 0.0193547-0.000898852j 0.0173648+4.31631e-06j -0.101058+0.00434501j -0.0676455+0.00336553j -0.0239582+0.00191774j -0.0885719+0.00639293j -0.16277-0.00158983j -0.0999575+0.00307915j -0.139759+0.00494844j 0.00040065+0.000642964j -0.0299699-0.000475591j 0.0521635-0.00974363j -0.0389473-0.00269226j -0.0319513-0.00820929j 0.00746487-0.00527918j 0.0447827+0.00164762j 0.001888-0.000784962j 0.0941694-0.000386882j 0.0558561+0.00136142j -0.0857824+0.00704076j -0.0763373-0.00268838j -0.108924+0.0030821j -0.136273-0.00372259j 0.30886+0.000840611j -0.23629-0.00066328j -0.00778702+0.00352528j 0.237764-0.0007485j -0.168545+0.00223818j -0.00803839+0.00117363j 0.181219-0.000951984j 0.0179989+0.00170942j -0.17837+0.00224766j 0.372346+0.00314711j 0.358809+0.00059797j -0.308989+0.000270365j -0.1214+0.000520574j -0.0511033+0.00154705j 0.113214+0.002596j -0.0148581+0.0011166j 0.0493932+0.00359482j -0.065716+0.00152595j 0.00817568+0.000111953j -0.0138459-0.000856413j 
