0-0j 
0-0j 
0-0j 
0-0j 
0.0294672+7.13306e-16j 
0.00938896+5.61038e-17j 
0.268446-5.89623e-15j 
0.0583586-4.10475e-16j 
3.11095+5.84143e-14j 
-1.04806-3.17216e-16j 
14.725-7.15673e-16j 
0.107013+2.74988e-16j 
2.82923-3.28792e-16j 
-0.0416243+1.8733e-16j 
0.158227+7.55587e-15j 
0.00433436+2.13288e-17j 
0.0117866+1.46273e-15j 
0-0j 
0-0j 
0-0j 
0-0j 
