0-0j 
0-0j 
0-0j 
0-0j 
-0.0117866+1.52595e-15j 
-0.00433436+2.7904e-17j 
-0.158227+6.68293e-15j 
0.0416243+2.78185e-16j 
-2.82923-2.45317e-15j 
-0.107013+1.10798e-15j 
-14.725+7.13544e-15j 
1.04806-1.22629e-16j 
-3.11095+6.0838e-14j 
-0.0583586-2.95981e-16j 
-0.268446-5.83337e-15j 
-0.00938896+2.35074e-17j 
-0.0294672+7.07881e-16j 
0-0j 
0-0j 
0-0j 
0-0j 
