-0.00522351-0.00286339j 
0.0306445-0.0432724j 
0.0246061-0.0659253j 
-0.0194823-0.0751035j 
-0.188398-0.288987j 
-0.466571-0.336046j 
-1.10058-0.924015j 
-2.05909-1.4385j 
-4.1098-7.06842j 
-4.14833-7.47043j 
3.1908e-17-39.9331j 
4.14833-7.47043j 
4.1098-7.06842j 
2.05909-1.4385j 
1.10058-0.924015j 
0.466571-0.336046j 
0.188398-0.288987j 
0.0194823-0.0751035j 
-0.0246061-0.0659253j 
-0.0306445-0.0432724j 
0.00522351-0.00286339j 
