0.127194-9.64506e-16j 0.121789-0.000589659j 0.0305671+0.0334895j -0.0877678-0.117467j 0.0180402-0.0467463j 0.0319586+0.0423749j 0.00862075+0.0913484j 0.0159861-0.0268669j -0.0130809+0.0646296j 0.0170798-0.0311511j 0.00335042-0.0281117j 0.00912977+0.0321186j -0.00623322+0.00610497j 0.0055885-0.0014468j -0.00220836-0.0199634j -0.0164682+0.04055j 0.0133615-0.0301829j -0.00331807-0.0183778j 0.0147619-0.00178363j 0.00563455+0.0282031j -0.00572715+0.0242724j 0.014113+0.00581774j -0.0131398+0.00453976j -0.0105338-0.00470046j -0.00490615+0.0192863j -0.000511717-0.0113973j -0.017404-0.0125216j 0.0219107+0.0231771j 0.00605616+0.0102829j 0.00934399+0.0024986j -0.0172824+0.00682418j 0.0236087+0.0065084j 0.00832377+0.0199929j 0.00833051-0.02511j 0.0673822+0.0150412j 0.041464-0.000747323j 0.0135832+0.0488401j 0.163169-0.0115171j -0.056776-0.109203j 0.0274246-0.0256347j -0.0180261+0.0310508j -0.0146326-0.110428j 0.0362665+0.0221697j -0.0162375-0.0655054j 0.039384+0.0188448j 0.0581653+0.00574315j -0.0114065-0.0153131j 0.0455294-0.0231169j 0.00171859+0.0179656j -0.0361116-0.0707479j -0.00670219+0.0245683j -0.0127831-0.000638635j 0.0487885-0.00223911j 0.0164244+0.0137476j -0.00554141-0.0386997j -0.00878959+0.0385929j 0.0173263-0.00903108j 0.00645706-0.0287726j -0.019553+0.0145318j -0.0295692-0.00527913j 0.0122322+0.0400873j -0.0101499+0.00582709j 0.0208567-0.0303134j 0.0107511-0.0126802j 0.00850224-0.0342832j 0.0106743+0.00332355j 0.00259842-0.004962j -0.00431129+0.0110201j -0.00578022+0.00151728j -0.0581913+0.0326948j -0.00229936+0.0218743j 0.000706773+0.00526927j 0.0276404-0.0298874j 0.0042853-0.0182228j -0.0284252-0.0214776j 0.0220293-0.00182207j -0.01809-0.0146143j 0.00969778+0.0162813j 0.0324521-0.0204222j 0.00426862+0.0211166j -0.0328207-0.0309624j 0.0212545+0.0120528j -0.00840723-0.00115226j -0.000405152+0.0520775j -0.0147745-0.0248337j 0.0535813-0.0438063j 0.0289288-0.0331246j 0.0233327-0.0781782j 0.00696111-0.00350025j 0.00904101-0.0355527j -0.129334+0.197052j -0.20015-0.218922j -0.284183-0.0411816j -0.0269116+0.127222j -0.0356857+0.141338j 0.0601527+0.0273401j -0.00832598-0.00088676j -0.174484-0.049464j 
0.121789+0.000589659j -0.12836-2.42167e-14j -0.0961493-0.104923j -0.0386045-0.05167j 0.0196913+0.036731j -0.0178329-0.0318568j 0.0230617+0.0417315j -0.0150236+0.0698378j 0.0136642-0.0216957j -0.000449972-0.0163527j -0.0234895-0.00924872j -0.0119615-0.0200236j -0.0535039+0.0407367j -0.00340382+0.0265529j -0.0330106+0.00770527j -0.00201573-0.00199129j -0.0190034+0.0135919j 0.0119501-0.0147166j -0.0178552+0.00528449j 0.0198971-0.0393664j 0.0186148-0.033266j 0.0214306-0.014964j 0.00712505+0.00048656j 0.0197628-0.0314504j -0.000963386+0.0231575j -2.13522e-06-0.000209137j 0.0139024-0.0203703j 0.0475964-0.00090251j 0.00193304-0.00522692j 0.0259231+0.00343199j 0.00220183-0.00172783j -2.79605e-05-0.021457j 0.0522208-0.0458265j 0.0177662+0.00574765j 0.037204-0.0294108j 0.022248-0.0120905j 0.0775497-0.0262825j -0.0636765-0.128201j -0.12564-0.00535248j 0.0126437+0.00120852j 0.00365228+0.105215j -0.0252574+0.0422047j -0.017858-0.0593501j -0.0342997-0.0152206j 0.0633797-0.0176649j -0.0367447-0.014164j 0.00852015-0.0492312j 0.00956415+0.0210224j -0.0553171-0.0481309j 0.00541731-0.00184967j -0.0144572+0.0527197j 0.034943-0.0303182j -0.0152284+0.00914272j 0.0261169+0.0525134j -0.00122589+0.00343386j -0.000759876-0.0482047j -0.0135598+0.00564081j -0.0185403+0.0319379j -0.00947582-0.00193489j 0.00138023+0.00476801j -0.00852196+0.0113561j -0.019747-0.0255305j 0.0314911-0.0210598j -0.0200223-0.0162514j 0.00572552-0.00756096j -0.0223906-0.0247341j -0.0134907+0.00633856j -0.0147171+0.0329276j -0.00265389+0.0252088j -0.0204699-0.0219967j 0.0170953-0.00476955j 0.00264047-0.00759482j 0.0269392-0.0206422j -0.0200062+0.00128938j 0.00494019+0.00211556j -0.0226963+0.0183999j -0.0376435+0.0135546j 0.00275784+0.0476198j 0.0125028+0.0291053j 0.0209237-0.0298124j 0.0596801+0.0161656j 0.0166191+0.025996j 0.00138164-0.00499747j -0.00603099+0.0132905j 0.0144176+0.00059702j -0.0208684+0.00455363j 0.0377471+0.0149056j 0.00845869-0.0479621j -0.0648753+0.0702073j -0.02484+0.0811567j 0.15956+0.0863341j -0.284253+0.141051j 0.0999761+0.248521j 0.124071+0.166462j -0.0318248-0.0200704j -0.0280222+0.104547j -0.180547-0.0523901j 0.0104067-0.00449255j 
0.0305671-0.0334895j -0.0961493+0.104923j -0.0303078-4.09395e-16j -0.0506746-0.027576j -0.0626993-0.0810016j -0.0484272-0.0384459j 0.0483959+0.0544305j -0.00898023-0.105743j 0.101467+0.0285055j -0.0110292-0.0258915j 0.0241246-0.0296017j 0.0149298-0.0343219j 0.0252865-0.0896724j 0.0216873+0.0509051j -0.0104851-0.042178j -0.0065941-0.061032j 0.0104605-0.0155597j -0.00678004+0.0476691j 0.00167943+0.0126217j 0.0107942+0.0461027j 0.00452906+0.00239771j 0.0347776+0.0262461j -0.00523626-0.0193257j 0.00708431+0.0214197j 0.0144415+0.00836351j -0.00456931-0.00993525j -0.000907929+0.000288986j 0.033386-0.0416158j 0.0149279+0.0214201j 0.018316-0.0567455j 0.0696332-0.0161938j -0.0522002+0.00470633j 0.0827711+0.13461j 0.0553016-0.0125044j 0.0818296+0.00469029j 0.12468-0.0452222j 0.0627379-0.188538j -0.0426374+0.0965727j 0.0353259-0.0253832j -0.015888+0.0363771j 0.0795308-0.067793j -0.0700064+0.0190014j 0.011726-0.0397983j -0.0499025+0.0236754j 0.0179953-0.050155j -0.0154232+0.02495j 0.0357164+0.0279097j -0.0345973-0.0423843j -0.0352569+0.0344253j -0.00812105-0.00125362j 0.0150104-0.0766773j 0.0222999+0.018511j -0.0243216-0.0664595j 0.0229264+0.000496632j 0.0251212+0.00513469j 0.0192837+0.0488332j -0.0329394+0.00485523j -0.0388825+0.0306119j -0.00340686+0.0181237j 0.0166354-0.0166101j -0.0109492+0.0258243j 0.0199451-0.0567473j -0.0180185+0.00912289j -0.0207497-0.0182959j 0.00447319+0.0342692j -0.0284741-0.00935743j 0.00972151+0.0007522j -0.00279535+0.0293984j 0.017815-0.0411357j 0.0104142-0.0332355j 0.0196275+0.00886828j -0.0185476+0.0656623j -0.00380891+0.016355j 0.0253918-0.0645512j -0.00985872-0.0304246j 0.0067927+0.00895661j 0.0075664-0.0319374j -0.00401335+0.0694554j -0.00171895+0.0301525j 0.0183287-0.0463966j -0.0241456-0.0323992j -0.000420428+0.0131653j -0.0217252+0.0363536j 0.0720745-0.0253575j -0.019818+0.0482766j -0.121289-0.0942479j 0.131764-0.0870505j -0.0231519-0.037033j -0.112972-0.0885467j 0.0984767-0.122977j 0.0576128-0.209992j -0.0797034-0.00288034j -0.0630116-0.0279024j 0.00167176-0.00335965j -0.0100623+0.0454941j 0.0193109-0.0491792j -0.0174455+0.0662792j 0.0568157+0.0125051j 
-0.0877678+0.117467j -0.0386045+0.05167j -0.0506746+0.027576j -0.0384005+1.38778e-17j -0.093906-0.0286667j 0.0189394-0.0133356j -0.010007-0.0137664j 0.0274305+0.0282959j 0.0405177+0.0169584j -0.025627+0.0340195j 0.0341348+0.0641264j 0.00394913+0.0364631j -0.035848+0.0870615j -0.0096361-0.0315185j -0.00593032+0.0450656j -0.00114275-0.0189274j -0.0103018+0.0510978j -0.012867+0.0176463j -0.0152057-0.00637445j 0.00136816-0.0372366j 0.00719847-0.0333436j 0.0112704-0.011175j 0.00260366-0.0117632j -0.000357523-0.0145977j 0.00240605-0.0132102j 0.000233598-0.000657223j -0.0983696+0.0326517j 0.0708326-0.0655463j -0.0546572+0.0166203j -0.0026806+0.0235419j 0.0214638-0.0820201j -0.00586506+0.0381773j 0.135412-0.0683287j 0.0394232-0.048881j -0.0801163+0.0169933j 0.0119193-0.219072j -0.18721+0.0671797j -0.00137267+0.0101055j -0.0157469-0.110401j 0.0412432-0.0161186j 0.0182303-0.0820663j 0.0207564-0.025174j -0.0396889-0.0183566j 0.0219768+0.064953j -0.00963447+0.0235889j -0.00786227+0.0787897j -0.0420363-0.0428765j -0.0525871-0.0121774j 0.000573783+0.0134313j 0.025516-0.0753706j 0.030629+0.00483461j -0.00895912+0.0137118j -0.0253278-0.0100094j -0.0102429+0.00702051j 0.0123243+0.0395867j -0.0354944+0.0450333j 0.0345965-0.0463912j 0.0315199-0.0218949j 0.00925123+0.0274035j -0.00712661-0.00842608j -0.0241238-0.0101883j -0.0373669-0.00189701j 0.0327579-0.0325956j -0.0276161+0.014476j 0.0158249-0.00233113j -0.0153898-0.0171021j -0.0178245+0.02953j 0.000796838-0.0383894j -0.0306251+0.038365j 0.00805588+0.0369971j 0.0113029+0.00123245j 0.0470235-0.0586577j 0.0037285-0.0158832j -0.0331992+0.039114j 0.023413-0.0341804j -0.00557558+0.0216026j 0.0232684+0.000874553j 0.0472688-0.0114135j 0.0263926+0.0148608j -0.0177725-0.0109122j 0.010016+0.0068591j 0.0343325+0.0591969j -0.0272437+0.0423992j 0.0212797-0.00478531j -0.0362764+0.000546334j -0.162335+0.136369j -0.0733102-0.0824286j -0.0371394+0.0373601j -0.0698454+0.186757j -0.00799165-0.185435j -0.0764592+0.0175201j -0.00240324-0.0716466j 0.0874755+0.00675325j 0.0686461+0.0345225j 0.0417122+0.0757056j 0.00511545-0.0124471j 0.0262934+0.00235555j 0.0273657-0.103118j 
0.0180402+0.0467463j 0.0196913-0.036731j -0.0626993+0.0810016j -0.093906+0.0286667j -0.0773739-3.33067e-16j 0.0762643-0.0318255j -0.0490003-0.0457924j 0.057033+0.0048569j 0.0521954-0.00130867j 0.0325368+0.0724097j 0.04292+0.0234372j 0.00947686-0.0233364j -0.0214721+0.0219051j 0.0107839-0.00291908j -0.0383506-0.00432436j -0.0353026-0.0234919j -0.00407982+0.0205838j 0.0937237+0.0483743j 0.0359685-0.0104266j 0.0749196+0.0637514j -0.0189684+0.0323508j 0.0456203+0.0249738j 0.0220684-0.0104154j 0.0748439-0.0305749j -0.0420299+0.104678j -0.0445167-0.0456887j 0.00399249-0.0854515j -0.155772-0.0279228j 0.052969-0.0657555j 0.0220721+0.0753078j -0.00826021-0.0755955j -0.00496037+0.123058j 0.0492894+0.0585882j -0.0392326+0.0782475j 0.0820943+0.148186j -0.164623+0.0856432j -0.0745749-0.0808923j -0.041174-0.038212j -0.0875127-0.00167642j 0.0294429-0.123163j -0.0472775-0.0291263j -0.109024+0.0127519j -0.0144701+0.0785637j -0.029098+0.000889169j 0.0744335+0.151393j -0.0572829-0.00343532j -0.0513394-0.0426093j -0.0617236+0.021626j -0.0285833-0.0556046j -0.0434766-0.0842787j -0.00152183-0.0231985j 0.0252035+0.0297333j -0.0327495+0.0187993j 0.00910014+0.0302423j 0.0171866-0.000548708j 0.021491+0.00191263j -0.0091251+0.0288719j -0.00266355-0.00408803j 0.0313145+0.00814023j -0.0248123-0.0483506j 0.0110112+0.021102j -0.0286351-0.0391987j -0.00326666+0.0186598j -0.0399393-0.0246902j -0.0110167+0.0383349j -0.0131481-0.0289011j -0.00239736+0.000616077j 0.0091482-0.0271105j -0.00751488-0.0193139j -0.0435144+0.00920884j 0.00452466+0.00631762j 0.00904719-0.00772859j 0.0172156+0.0306703j -0.00309347+0.00846123j 0.0172348-0.0234438j 0.0189928+0.0100401j 0.0190976-0.0964724j 0.0379257-0.00427339j -0.0150369-0.0574602j -0.0183576-0.00273503j -0.0280976-0.0152461j 0.0751898+0.0312403j 0.11754+0.00466644j 0.00122688+0.054999j 0.0293277-0.147167j -0.0133459+0.024966j 0.0436847+0.0870077j -0.0198274-0.00599336j -0.00744052-0.0408542j -0.132288-0.0357367j 0.000687761-0.0762589j -0.0404627-0.00870529j 0.0233599-0.0419697j 0.0249461+0.0375742j 0.0383734+0.0159328j 0.015793+0.0050804j -0.0703671-0.107455j 0.0310553-0.0799896j 
0.0319586-0.0423749j -0.0178329+0.0318568j -0.0484272+0.0384459j 0.0189394+0.0133356j 0.0762643+0.0318255j 0.151089-1.58207e-15j -0.0435668-0.0357009j 0.0388462+0.0385218j 0.054445+0.0233402j -0.0404267+0.000773019j 0.0417873-0.00968129j -0.00123302+0.00250636j 0.0327156-0.0258656j -0.035195-0.0374135j -0.0181673-0.067071j 0.0599117+0.0911058j -0.0109032-0.0439873j 0.00647556-0.00584462j -0.00700415-0.0842432j 0.0232867+0.0262736j -0.0297072-0.0115764j -0.0171249+0.0142886j 0.0898535+0.0473812j 0.0128542+0.0273228j 0.116243+0.00198326j -0.0823681-0.0230332j -0.00685445+0.127178j 0.0259425+0.117425j 0.0460276+0.0326857j 0.103939+0.0126698j -0.0489395-0.0538319j 0.0320066+0.0999373j 0.0802276-0.114051j 0.069667-0.0597283j 0.142406-0.115566j -0.120984+0.0218675j -0.04567+0.035838j -0.0390123-0.0788745j 0.087617+0.0599471j -0.0161949+0.154738j 0.12887-0.0238618j -0.153309-0.06133j -0.0148589+0.0178321j -0.00863995-0.0124751j -0.0440251+0.123078j -0.239147-0.152489j -0.0272924-0.0424972j -0.0653927+0.0544359j -0.0760246-0.0981618j 0.0677807-0.00873627j 0.0213872+0.080525j 0.0417678+0.0218011j -0.0297188+0.0334389j 0.030111+0.0443503j 0.00250433+0.000505001j -0.0497254-0.0114321j -0.0250736-0.0317134j 0.0113728-0.0363967j 0.0138866+0.00420549j 0.0132449+0.0171402j -0.00820209+0.00351432j 0.00303754-0.00708545j -0.0171257-0.0274473j -0.0270827+0.000224454j 0.0272444-0.071459j -0.0268224-0.0225594j 0.0249264-0.0431886j -0.0038877+0.0190102j 0.0322661+0.0180312j 0.00525492-0.00640182j -0.0196588-0.0117522j -0.0515256-0.0156901j -0.0374178-0.0249503j 0.0269921+0.00777352j 0.0304065+0.00530082j 0.0089669-0.00627216j -0.0285068-0.0275124j 0.0553504+0.00789558j -0.069716-0.0756895j 0.0184094+0.0594314j 0.0440563+0.0708789j 0.109155-0.00513419j -0.0323531-0.0936701j 0.0239801-0.0568896j -0.0660662+0.0371777j -0.0544811+0.0248378j 0.0637764-0.0467067j -0.00359545-0.000441139j 0.0256372+0.0391925j -0.0191849+0.0224203j -0.0224506+0.064676j 0.0164513-0.0533795j 0.037247+0.0633537j 0.000898302-0.0184456j 0.0326427-0.00785688j 0.0155117+0.0308578j -0.0474004-0.185586j 0.188687+0.0245605j 
0.00862075-0.0913484j 0.0230617-0.0417315j 0.0483959-0.0544305j -0.010007+0.0137664j -0.0490003+0.0457924j -0.0435668+0.0357009j -0.100657+1.2032e-14j -0.00312138+0.0738144j 0.014875+0.0205259j 0.099671+0.0260616j 0.00654272+0.0450564j -0.0252813+0.0396591j -0.0428229+0.065212j -0.0204778+0.0458521j -0.0209777-0.0316935j 0.0296958-0.0551053j 0.0235783+0.0248985j 0.0250272+0.0372037j 0.0501353+0.0391138j -0.00327096-0.0230017j -0.00433354+0.0342928j -0.0525538+0.00925114j -0.00197398-0.0503849j -0.0774624+0.112931j -0.0697366-0.0558264j 0.00507883-0.0314905j -0.0927984+0.0274893j -0.103212+0.0184445j 0.0117924-0.0451718j -0.009749+0.23027j -0.0251758+0.0901732j 0.0386248+0.0616028j 0.0414566+0.0478917j -0.030695-0.0491189j 0.127816-0.0740175j 0.125809-0.0345178j 0.00379532-0.0360997j -0.133913-0.0372061j 0.00881489-0.168504j -0.206913+0.155416j -0.0744637-0.0394606j -0.00875319-0.0624126j 0.068192-0.089894j -0.0247305+0.0439444j 0.258532+0.0432961j 0.00686927+0.198265j -0.0373897-0.0565147j 0.0829466-0.0365419j -0.0979879+0.079981j -0.105937-0.0781188j -0.0116954-0.0134374j 0.00404159-0.00464589j 0.0573245+0.0252218j 0.0529828-0.0335002j -0.0367268+0.0313551j 0.0168848+0.0441663j 0.00161483+0.011016j -0.0249962-0.0472452j -0.0236623+0.00217791j -0.0107572-0.00874094j 0.0209384-0.00779663j -0.0258349+0.028861j 0.0204038-0.0344063j 0.0314326+0.0217749j -0.0398485-0.0369664j 0.00484796+0.017457j -0.0069759-0.00143946j -0.0470785+0.00942727j -0.00629915-0.0156558j 0.0393357-0.00160347j 0.0285737-0.0112678j -0.0218954+0.0142747j -0.00666126+0.0028716j 0.0439614-0.00572009j 0.0132915-0.00455149j 0.0743871-0.0235325j -0.0647895+0.0392489j -0.00193045-0.022149j 0.0282471-0.0286029j -0.0165665+0.0240758j -0.0493647+0.0613143j -0.00863641+0.131911j 0.052003+0.0832696j 0.0542064-0.0603011j -0.0339473-0.0163495j 0.0141956-0.0293496j 0.0293983-0.0338421j -0.041961+0.00390752j -0.0261177+0.0154297j 0.00922754-0.010714j 0.00693605-0.00327944j 0.016875-0.107212j -0.000649461-0.0127719j 0.0510414-0.00265272j -0.0302341+0.0537827j -0.034307+0.016448j -0.179061+0.0691873j -0.104292-0.16111j 
0.0159861+0.0268669j -0.0150236-0.0698378j -0.00898023+0.105743j 0.0274305-0.0282959j 0.057033-0.0048569j 0.0388462-0.0385218j -0.00312138-0.0738144j -0.0191049-7.84095e-16j -0.0618646-0.0307633j 0.0196114+0.0190597j -0.00732353-0.0082192j -0.00280311-0.0405472j 0.0117463+0.0406223j 0.0409288+0.0359485j 0.0151738+0.0344355j -0.0782215-0.02784j -0.047609+0.0160683j 0.0657189+0.0115403j 0.0266774+0.00290056j 0.0105143+0.0682947j -0.0492206-0.00930043j 0.00333475+0.0308624j 0.011499+0.041433j -0.0147096-0.11806j -0.041931+0.108141j 0.0398629-0.0017732j -0.0570001-0.00183905j 0.0224239+0.00335972j -0.0837482-0.0300648j -0.0981825+0.0476438j -0.21028+0.163481j 0.11341-0.111301j 0.0913065-0.0354219j 0.102144+0.0335769j 0.111571-0.0363751j -0.127587+0.0357092j 0.159248-0.0915739j -0.0790016+0.0971302j 0.0778341-0.131924j -0.230666-0.0691671j 0.11855-0.18941j -0.085468+0.0442415j 0.0393276-0.155718j 0.217983-0.134002j -0.0300848-0.171392j 0.144489-0.0580091j -0.100096+0.101004j -0.0348246-0.0740831j 0.0977804-0.0452703j -0.0333533+0.0551784j -0.00526023-0.0242493j 0.00713513+0.0248917j -0.0328929-0.0206552j -0.0439188+0.00742567j 0.0303434-0.0151743j 0.0171547-0.037039j -0.00350574+0.0338751j 0.0122206+0.00830205j 0.0335786-0.00848817j -0.00642435-0.0138525j -0.0116498+0.0122937j -8.02407e-05+0.0327928j -0.00117169+0.00657246j 0.0081313-0.0318192j -0.00592533+0.0464608j 0.0155802-0.0195528j 0.0098568+0.0103015j -0.0180336+0.00195499j 7.27067e-05+0.00366239j 0.0471745-0.022858j 0.000206185+0.00151817j 0.018942-0.0257838j -0.000402889+0.0296039j -0.0209396+0.0457308j 0.0152742-0.0230421j 0.00731398+0.0293604j 0.020146-0.0385939j 0.0480744-0.0414829j 0.0172691+0.026276j -0.0236454-0.0129828j -0.0456725+0.0657281j -0.0117957-0.0615385j -0.0651132+0.0337785j 0.0350954+0.0157941j -0.0909242-0.0243663j 0.0477182-0.05024j 0.00102369-0.0207954j 0.0309723-0.00426465j 0.0149651+0.0160228j -0.0528541-0.0157682j 0.02424-0.0408109j 0.0210541-0.0261841j 0.035524-0.0217473j 0.035978+0.0257563j 0.0676479+0.0123957j 0.0573903-0.134548j 0.0697047+0.0473554j -0.0602693+0.0874428j 
-0.0130809-0.0646296j 0.0136642+0.0216957j 0.101467-0.0285055j 0.0405177-0.0169584j 0.0521954+0.00130867j 0.054445-0.0233402j 0.014875-0.0205259j -0.0618646+0.0307633j 0.120203+1.27676e-15j -0.0321594-0.00182094j 0.0554824-0.0529894j -0.0310491+0.0182983j 0.00764445+0.0464546j 0.0062835+0.092845j 0.0119972-0.0457191j -0.0404386-0.0600558j -0.0975141+0.0144777j 0.0520815-0.0251223j -0.0209578-0.110256j 0.0389909-0.0743332j -0.0430585-0.0341389j 0.0473772-0.03715j 0.0801862+0.00363616j 0.0186626-0.0472945j 0.113623-0.0475702j -0.00985892-0.0658626j -0.118479+0.00253368j 0.0855327-0.0337564j -0.16775+0.0206553j -0.039077+0.0341706j 0.0217488+0.181105j 0.0201312-0.00458704j -0.135117+0.0817269j 0.119254-0.100134j -0.0797172+0.0467929j 0.048873+0.0303757j -0.27991-0.072449j -0.00356895-0.0405944j -0.260093-0.0527894j 0.0687215-0.244378j 0.012175-0.0659594j 0.0628177-0.11704j 0.00822845-0.127583j 0.000809255+0.0298054j 0.035046+0.00232274j -0.0721283+0.127103j -0.0628454+0.0326391j -0.00566416-0.0480366j 0.00346928+0.0250088j 0.0109758+0.00198143j -0.0210725-0.0196334j 0.0428032+0.0046948j -0.0153652-0.00329153j 0.0119943-0.00671502j 0.0100346-0.0216754j -0.0400489+0.0188092j 0.00080858+0.0117716j 0.0290772-0.0114468j -0.00089549+0.00452615j -0.010199+0.00662044j -0.00567788+0.0163416j -0.00938493+0.0283779j 0.0188471-0.017936j -0.00680792-0.00593693j 0.0184111-0.00981114j -0.000341463-0.0144328j 0.0251596-0.0257041j 0.0141372+0.0285656j 0.0183413-0.0511521j -0.00287344+0.0192241j -0.0210932-0.0091106j 0.00418262+0.0349529j 0.0273922+0.021711j -0.00501919+0.00277118j 0.00604165-0.048633j 0.0106577+0.0134759j -0.0281263+0.00308362j 0.0114354+0.00418993j -0.0417271-0.0070934j -0.00328705-0.0305621j 0.0346056+0.0102193j -0.0311453+0.0120817j 0.0113706+0.0344071j -0.0269774-0.00750547j -0.0451801-0.0119635j -0.030766-0.0222139j -0.031029+0.0233153j -0.0480084-0.0301451j 0.0350127-0.0638714j -0.026626+0.0115922j -0.0185738+0.0282946j 0.0227727+0.0140281j 0.0520845-0.016399j 0.0665605+0.00602165j 0.0282678+0.0505431j 0.0316615-0.0566665j -0.0169946+0.0197221j 0.0294751-0.0161102j 
0.0170798+0.0311511j -0.000449972+0.0163527j -0.0110292+0.0258915j -0.025627-0.0340195j 0.0325368-0.0724097j -0.0404267-0.000773019j 0.099671-0.0260616j 0.0196114-0.0190597j -0.0321594+0.00182094j -0.0996265+1.06026e-14j 0.0311125-0.00142306j 0.00838296-0.0134835j 0.00113023+0.0320683j -0.0352123-0.0317175j 0.0789189+0.0570553j -0.0653836-0.0195512j -0.0755759+0.0473441j 0.0119598-0.00293026j -0.0339429+0.0249204j -0.0105703-0.0239644j 0.0802386-0.0999074j 0.000186619+0.0281574j -0.0676865-0.0698924j -0.0239577+0.0333648j 0.0367974-0.158111j 0.0498698-0.0809937j 0.0866476+0.109953j -0.193885+0.0880251j 0.0118396+0.143148j -0.0214792+0.165295j -0.0103167-0.0556416j 0.0138886+0.0345768j 0.0101552-0.213344j -0.0168595+0.0145186j 0.125468-0.090521j -0.020487+0.0189748j -0.000279301-0.0591311j -0.0959194-0.0372023j 0.0733519+0.0372831j -0.0284994+0.183817j 0.17623+0.00614523j 0.0611283-0.242012j 0.121424+0.028639j -0.0232947+0.159691j -0.0315794+0.0635171j -0.0285492-0.0100792j -0.0166385-0.0224949j 0.037774-0.021242j 0.0676469-0.025106j 0.00456399-0.0183512j 0.0350794+0.0347949j -0.0246775+0.00960093j -0.00987677-0.0490692j -0.0312722+0.0141126j 0.0212746-0.00545701j -0.00757687+0.0384285j -0.0131106-0.0439428j 0.0207215-0.0108057j 0.0124171+0.00442327j 0.00202056+0.000443863j -0.00967376-0.00333064j 0.0198602+0.0134923j -0.0207392+0.00865354j 0.0151268-0.00974605j -0.00195658-0.0210812j -0.0112837-0.000900833j 0.00817492-0.0243728j -0.006709-0.00448219j 0.0189077-0.0133424j 0.0384774-0.0513438j -0.0237547+0.0149776j 0.0186743+0.00213484j 0.0174762-0.0226814j -0.0361061-0.0106089j -0.0275047-0.0485148j 0.00015388-0.0061126j -0.0200525+0.0216658j 0.0102411-0.0549906j 0.00211449-0.000667746j 0.0103367+0.0218902j -0.0173519+0.0150945j -0.0298467+0.0604879j 0.0290827-9.69115e-05j -0.00402085-0.0181822j 0.00541288+0.039618j 0.0293056+0.0294378j 0.0377423-0.0207291j -0.00489076-0.0207663j 0.00992121+0.0342627j 0.00321432+0.0160501j -0.0233363+0.00419732j 0.0695168-0.000228332j -0.00207812-0.0107469j 0.00757446-0.0418778j -0.0498282+0.0928642j 0.0741384+0.0263141j 0.0615342-0.0238195j 0.0191835+0.0116711j 
0.00335042+0.0281117j -0.0234895+0.00924872j 0.0241246+0.0296017j 0.0341348-0.0641264j 0.04292-0.0234372j 0.0417873+0.00968129j 0.00654272-0.0450564j -0.00732353+0.0082192j 0.0554824+0.0529894j 0.0311125+0.00142306j 0.00598909+1.15186e-15j 0.0686436-0.00863795j 0.0464445-0.00277791j 0.0535824+0.0637528j -0.0245821-0.0239609j -0.0126415+0.0163579j -0.033168-0.042584j -0.0252128+0.0120128j 0.0198937+0.0455487j 0.0097551+0.0162036j -0.0956713+0.0482747j 0.0162957-0.0461968j -0.0389617-0.0641225j 0.0699978-0.0938952j 0.156275+0.0814817j -0.0560956+0.0611513j -0.0107002+0.0760208j 0.0374664+0.105474j -0.112112+0.0410177j 0.160217-0.0420633j 0.0200407-0.0821335j 0.0689848+0.0264032j -0.00538511+0.0974005j 4.787e-05+0.020151j 0.0559174-0.181277j 0.112264+0.0476327j -0.159741+0.0578269j 0.0931898+0.0888476j 0.140732+0.0216587j 0.0876994+0.00247791j 0.105212-0.11826j 0.0209763-0.0780984j 0.0359097-0.0738878j 0.103074+0.0597598j -0.0369144-0.0669181j -0.0178598+0.0552121j -0.0475148+0.0368495j -0.0276613-0.0318714j 0.00152867-0.00188843j 0.0202927+0.0326984j -0.0111432-0.000995219j 0.0101259+0.0128493j -0.0106224+0.0022263j -0.00663874+0.000594312j 0.0129944+0.00841222j -0.0150672-0.00751998j 0.0139679+0.0166247j 0.0118136-0.0152311j 0.00559381+0.00895623j 0.00794329+0.0133587j -0.0159473+0.00377359j -0.00475076+0.00808486j -0.00717125-0.00337939j -0.0135631-0.0182011j 0.0163917-0.000467956j -0.00457297+0.0203045j -0.0222817-0.00208031j 0.0134352+0.00727504j -0.019726+0.016588j -0.00486859-0.00609529j -0.0302152-0.0046723j -0.0273637+0.0134876j -0.0088825-0.0329313j -0.00510036-0.0231942j 0.0434408-0.030788j -0.0296577-0.0189605j 0.00442365-0.0399265j 0.0392122-0.00551181j -0.0553419+0.0274519j 0.0074424+0.0287049j 0.0200104+0.0134658j -0.0151346-0.0327256j 0.0161324+0.0187808j 0.0204639-0.00321414j -0.0154593-0.0227596j -0.0124341+0.00557115j 0.0152751-0.0404744j -0.0182688+0.00177604j -0.013927-0.0218018j -0.00177346+0.0077442j -0.0101229+0.0295893j 0.00293899-0.00408809j -0.0268296+0.037267j 0.00100856-0.0149832j 0.0273796+0.0482674j 0.0445155-0.0120082j -0.011699-0.0053076j 0.0220105+0.0107267j 
