-0.00642684+0.0123642j -0.0204816-0.00415029j 0.0143803+0.00809266j -0.0394313+0.0191043j -0.0182791-0.00938474j 0.0102081+2.61791e-05j -0.0261175-0.0103199j -0.0025055-0.000772337j -0.00476659-0.0124551j 0.0077005+0.00227347j 0.0151737-0.0131777j -0.00936963-0.00641303j -0.00834173-0.0184245j 0.00214446+0.016793j 0.0158478-0.0260929j 0.024569-0.00646419j -0.0247067-0.00700495j -0.00469021+0.0056167j 0.0145339+0.0427682j 0.0196638-0.012352j 0.0168326-0.0164563j 0.006829-0.011141j -0.00691257+0.0180232j -0.0405897+0.0295232j -0.00508238-0.0112256j 0.0065821-0.0438583j -0.00413643-0.00985944j 0.0233089+0.0310609j 0.0177801-0.00136965j -0.00875306+0.0127189j 0.0297304-0.0063162j -0.031173-0.00882966j 0.00194398+0.0091034j -0.0295743-0.0041534j -0.00168875-0.015318j -0.0211734+0.00957569j -0.00747264-0.0259497j -0.0200978+0.0108487j -2.65112e-05-0.00874792j -0.0175052+0.00147832j -0.019528+0.0151241j 0.0167157-0.0121113j 0.0174319-0.00588368j 0.0379138+0.0333808j 0.0285286-0.0196864j -0.00411-0.0105691j -0.0261714+0.0061092j -0.00765365-0.00752745j -0.0891837+0.000505453j 0.017838+0.103366j 0.0343261+0.0216277j 0.0424359+0.0193112j 
0.0209425+0.00464502j -0.00645921+0.0155517j -0.0402675+0.0180443j -0.0222361-0.00576829j 0.00892908-0.00897409j 0.0258007+0.0136646j 0.00448108+0.00981961j -0.0301307+0.00202034j 0.0118885+0.0116132j 0.00688491-0.000333693j 0.0103472+0.00197712j 0.00302235-0.00274266j -0.0143647-0.0274657j 0.00721965-0.00241821j -0.0336948-0.00612501j 0.00232917+0.00318012j 0.00661939+0.01894j -0.00748209-0.00675244j 0.0173855-0.00650611j 0.00374382-0.0195222j -0.0255493-0.0196916j -0.0235221+0.0130907j 0.0139071-0.0219611j 0.0174934+0.0214971j -0.000565447+0.0132968j -0.0604725+0.0183499j -0.00184694-0.00532416j -0.00186275-0.0276951j -0.00494238-0.00276923j 0.0110645+0.0100696j -0.0108813-0.0146685j -0.00631614+0.0253468j 0.0166194+0.0123687j -0.0139625+0.0350148j 0.0128807-0.0361157j -0.000941975+0.023485j -0.0110144-0.0144201j -0.00201071-0.00511592j 0.00468361+0.0161202j -0.0157573-0.0243506j -0.0282023+0.0130564j 0.00486638+0.000498912j 0.0128396+0.00939806j -0.0169361+0.0117349j 0.00787631+0.0460572j -0.011412-0.0133847j -0.0301295+0.011611j -0.00685879+1.48899e-05j -0.00888061-0.0969367j -0.0931297+0.00116308j 0.050453+0.0227739j -0.0322742-0.0227378j 
0.0186027-0.00914873j 0.0145482+0.0132278j -0.0252935+0.0192817j -0.0155405-0.0324244j 0.032911-0.00441354j 0.0170228-0.00897097j -0.000828451+0.00225732j -0.00777691+0.0109093j 0.0237048-0.00570658j 0.0408572+0.0144923j 0.0142534+0.00645326j 0.0264794+0.00160336j -0.0219824+0.0364264j 0.0191406+0.0102279j -0.00952761-0.0205737j 0.0184495+0.0235644j -0.00228489+0.00354185j 0.00315693-0.0205452j -0.00874945-0.00566004j -0.0286757+0.00986152j 0.019034+0.00598693j 0.0155042+0.0119397j -0.0291952-0.0426324j 0.00949249+0.00564857j -0.0103171+0.0253021j 0.0111341+0.00713224j -0.0160198-0.0275004j 0.00300393-0.0128884j -0.0363338+0.0426469j 0.0161491+0.00678804j -0.026548+0.00662184j -0.0278235+0.000638981j 0.0101845-0.00757122j 0.0110199+0.02268j -0.00542633+0.0157435j 0.0478161+0.0170192j 0.0133912+0.00917629j -0.0113318+0.0246601j -0.0274532+0.018663j -0.0181348-0.0283051j 0.000381228+0.049388j -0.0164903-0.0358325j -7.11636e-05-0.0666097j -0.00508779-0.0205624j -0.0203147-0.0177667j -0.0833226-0.0288935j 0.0176996-0.088797j -0.0611732+0.0456055j 0.0138347-0.0333395j -0.00549833-0.00658049j -0.00798263-0.0196937j -0.0242054+0.000460396j 
-0.0144252-0.0105345j 0.0183087-0.0074812j -0.00374315-0.0288702j 0.0241816-0.0149483j 0.0312071-6.69745e-05j -0.00725799-0.00439856j -0.0227785-0.027469j -0.00791253+0.00365891j 0.014974-0.00607741j -0.00902228+0.0124731j -0.011826+0.0123279j 0.0121284+0.00253216j 0.0167505+0.0368137j 0.00439608-0.0161347j 0.00755333-0.01065j 0.0213709+0.0171798j 0.00548399-0.0178688j 0.013653-0.00556638j -0.0145214-0.0258087j -0.0178254+0.00757555j 0.0481237+0.0331849j 0.0250889-0.0370633j -0.021742-0.0270548j -0.00265714-0.0166657j -0.00313036+0.0252314j 0.0183048-0.0258877j -0.0211146+0.0256225j -2.23854e-06-0.0174035j 0.0130938+0.0149914j 0.0268331-0.00825257j -0.00609969+0.0242273j 0.0354626-0.00706743j -0.00609392-0.0315755j -0.00521431-0.0153157j -0.00453667+0.0249361j 0.00315394+0.00791503j 0.0224283-0.00599865j -0.00721683-0.0143437j 0.0142429-0.0501513j 0.0191456-0.0218621j -0.00474218+0.00963783j 0.0233144+0.0297477j 0.0210923-0.00482408j 0.0339509+0.00963548j 0.0205917-0.0315114j 0.019502-0.0593759j 0.0875096-0.0124613j -0.0204908-0.0389574j 0.00460191+0.046989j 0.00875229-0.0259553j -0.0262725-0.00521288j -3.27358e-05+0.0226198j 
0.0181188-0.0235663j 0.0252859+0.0127788j -0.0385583-0.00927826j 0.0562326-0.0416302j 0.0306311+0.0124988j -0.0175105+0.00981108j 0.0434082+0.0326025j 0.00858725+0.000240094j 0.00269225+0.0313752j 0.00328805-0.00478911j -0.00918391+0.0230079j 0.0179396-0.00885017j 0.0176721+0.0322557j 0.00464077-0.0230619j -0.0254234+0.0660359j -0.0572908+0.0160823j 0.0574266+0.0162113j 0.000862218-0.00792135j -0.0260724-0.063225j -0.0580351+0.0313467j -0.0383008+0.0262721j -0.0260588+0.0420794j 0.014349-0.0405325j 0.0766313-0.0352875j 0.00124219+0.0240031j -0.0478756+0.0792988j 0.0104956+0.00805792j -0.0522685-0.0665088j -0.0323415+0.000284596j 0.0249055-0.00485002j -0.0400613-0.00835068j 0.0280021+0.0558836j 0.0248323-0.0210963j 0.09915+0.0289106j -0.00218587+0.0382064j 0.0221155-0.0248205j 0.0153785+0.0722931j 0.0267189-0.0232948j -0.00569643+0.0497392j 0.0486801-0.0139625j 0.0213995-0.0307485j -0.0635612-0.0090317j -0.0255694-0.0100821j -0.0840303-0.060343j -0.0749038+0.0351421j -0.0245554+0.0346664j 0.0275183-0.0352673j 0.00836486-0.00363201j 0.138752-0.0332149j -0.0422926-0.163523j 0.00564444-0.0330374j -0.053482+0.0126377j 
-0.0218456-0.0161151j 0.0188021-0.0265238j 0.0539946-0.0290334j 0.0433745-0.00333401j -0.00430591+0.0277013j -0.0526083-0.0240996j -0.0142079-0.00781149j 0.0443488+0.00256807j -0.0144925-0.0238359j 0.00338494+0.0101506j -0.0238591+0.00689249j -0.0133367+3.70812e-05j 0.029552+0.0737899j -0.000742847+0.00287619j 0.0465133+0.00680701j -0.0181711-0.010569j -0.00796973-0.0379102j 0.0284927+0.00893171j -0.0221101+0.0114565j -0.0164439+0.0575783j 0.0351011+0.0439792j 0.0294596-0.00675421j -0.0340359+0.0193578j -0.0203412-0.0438723j 0.0107474-0.0113964j 0.102438-0.0182274j 0.00944331+0.00096907j -0.009959+0.0454298j 0.00265731+0.00527922j -0.0132984-0.02124j 0.0165216+0.0179834j 0.0334609-0.037161j -0.0485089-0.0682903j 0.0559588-0.0801756j -0.0358521+0.0726386j 0.0198975-0.0512022j 0.0632415+0.0229896j -0.00207556+0.0247733j -0.00769786-0.0212375j 0.0188524+0.0316477j 0.0628163-0.0060899j -0.0229355-0.0178335j -0.0100502-0.0333884j 0.0270335-0.0329811j -0.0223117-0.110699j -0.0209098+0.0113758j 0.0788619-0.0199777j 0.0206773+0.00770412j 0.0329065+0.143506j 0.145726-0.0335576j -0.0726347+0.00972185j -0.0109258+0.0362221j 
-0.010168+0.00198573j -0.00470106+0.00268222j 0.00050291-0.0186993j 0.0208885+0.0179808j 0.0189323-0.00327773j 0.0123646-0.00174463j -0.00499126-0.0141674j -0.00624474-0.00193896j 0.00050362+0.0122315j -0.0305954+0.00977253j -0.01024-0.0131829j -0.0104285+0.0233336j 0.00530857-0.00489921j -0.011306-0.0418675j 0.00255605-0.0232311j 0.027537+0.000717736j -0.0144867-0.0132605j -0.00536648-0.00946062j 0.00521753-0.0593981j -0.00197746-0.0122749j 0.016665-0.0267045j 0.0040335-0.047188j 0.019199-0.00940985j 0.0296629-0.0388082j -0.00518361+0.0299964j -0.00924113+0.0294628j -0.0226099+0.0478875j 0.0105913-0.0193101j -0.0338011-0.000485575j 0.0336922-0.0313244j -0.0182541+0.0318522j 0.0314613-0.0272946j 0.00381246+0.00176722j -0.018124+0.0168325j -0.0010365+0.015303j 0.0733242+0.0501511j 0.000939164+0.0347766j -0.0313573+0.00601688j 0.0144598-0.00104377j 0.0343949+0.0132039j -0.0105123-0.0048939j 0.0210422+0.0325285j -0.0317686+0.0396236j 0.00194604-0.0205698j -0.0181019+0.0353735j 0.0402859-0.0115108j 0.0046151+0.0122935j -0.00427083-0.0157921j 0.0429994+0.00040463j -0.026837-0.028218j 0.0108468+0.00922168j -0.0148863+0.0105767j 
0.0060705-0.00881394j 0.00624015-0.00334117j -0.0279139+0.0100715j 0.00782109-0.00558756j 0.0126465-0.0107661j -0.0127888+0.0323343j -0.00926613-0.0192027j -0.0143655+0.0303475j 0.0038505+0.00922719j -0.0214103+0.00350176j 0.0155877+0.00410593j -0.00889121-0.0188201j 0.0160229-0.00593731j -0.0246485-0.0248776j -0.00865283+0.0381554j -0.0304764+0.0286816j 0.0112465+0.0173342j -0.00075917+0.00105161j -0.0116545+0.0252243j -0.0629305+0.0233468j -0.0311005+0.0646196j 0.0333948+0.0131128j -8.39375e-06-0.0194342j -0.0466067+0.0235226j 0.0187614+0.0173719j -0.0254492-0.0101299j -0.00992585-0.00512327j -0.0205788-0.00756888j -0.0396981-0.0166738j 0.00641589+0.00566058j -0.031139-0.0074449j -0.0142455+0.0812537j -0.0610009+0.0297754j 0.0424316+0.0278094j -0.0252297+0.0609866j -0.0347542+0.00365212j -0.0619101-0.0516975j -0.0278283+0.0543104j 0.0909763+0.032248j 0.0427063-0.0144842j -0.0320719-0.00303988j -0.0668964+0.0201632j 0.0140135-0.0667906j 0.0241396+0.0529227j -0.00508874-0.0379563j 0.00678389+0.0390725j 0.0202322+0.00231839j 0.00924524-0.0274613j 0.0139121+0.0330629j 7.82552e-05-0.0265991j -0.0096387-0.00415894j -0.00627935-0.0121242j 
0.0273747-0.00212754j -0.00841608+0.0143062j 0.00981308+0.050514j -0.0389859+0.0181815j -0.00797076-0.019507j 0.00939402-0.0266804j 0.0298336+0.0568109j 0.0183256+0.0124874j -0.00982932+0.00285127j 0.0438816-0.0274445j -0.00676556-0.0748253j 0.0141955+0.0371411j -0.0230291-0.00284536j -0.0313905+0.00995252j -0.0121718+0.000350304j -0.0153842+0.00595213j -0.0420451+0.00119866j 0.0106496-0.0151305j 0.00725956-0.0172251j -0.0336054-0.0340133j -0.0209995-0.068929j -0.0106606-0.010792j 0.026965+0.0527628j -0.0422006-0.024686j -0.0472675-0.0462241j -0.0155384+0.0492792j -0.00535853-0.0107205j -0.00921745-0.00271675j -0.101317-0.0195914j 0.0328235+0.0165243j -0.0578153-0.0107446j -0.063824-0.0310137j 0.021225+0.0261857j 0.0277037+0.00996127j 0.0222694+0.00313505j 0.0324346+0.0326073j -0.0189356+0.0817709j -0.0409331-0.0230656j 0.0176873+0.0227444j -0.039331-0.0369995j -0.0211532+0.0515174j -0.0276256-0.0167767j -0.0658877-0.0074245j 0.0226364-0.0875038j -0.0750293+0.0463116j -0.0288304+0.0173493j -0.0423372-0.0114915j -0.0466701+0.0391545j 0.0193716-0.040794j -0.0116752-0.0269373j 0.00362758+0.0100357j -0.0240801-0.0236311j 
-0.0162171-0.00418156j -0.000733602-0.0120075j -0.00612306-0.047282j 0.0171914+0.00558797j 0.00464869-0.00338409j -0.00283516-0.00262523j -0.0295075+0.00574433j 0.00839894-0.0172183j 0.00589221-0.0077403j -0.0437903-0.0149215j -0.0290254-0.00192382j 0.0179854-0.00669597j 0.0145994-0.0206882j -0.0450896-0.0159495j 0.000514513+0.00687118j 0.035551+0.000187277j 0.0354642+0.0105838j 0.0121302+0.00612596j 0.0140116-0.0306166j 0.0294086-0.0432156j 0.00435948+0.0448086j -0.0529618-0.0477806j 0.0138077+0.00551165j -0.0302492-0.00110454j -0.00352031-0.00419594j -0.0534949-0.0493428j -0.0265249+0.0599444j 0.0123219-0.0651939j 0.134128-0.0649386j 0.0481737+0.0131734j 0.0672424+0.0463771j 0.111695+0.0639148j 0.0103307-0.0188556j -0.0271466-0.0224278j 0.0470852-0.0400587j -0.123638-0.0581919j 0.00672962-0.0924936j 0.101954-0.0748497j 0.0846536-0.14124j 0.0170145-0.0508223j -0.00603951-0.0422637j 0.0715781+0.102346j 0.0450715+0.124915j 0.0772845+0.0741515j 0.071666-0.00197173j 0.102857-0.0739526j 0.0565576+0.0563992j 0.0328496-0.100863j -0.0264953+0.00620413j -0.0226017-0.00928029j 0.0127188+0.0159754j 0.0156908+0.0113532j 
0.000213986+0.0320615j -0.0526449-0.00268618j 0.0323962+0.000891553j -0.00914617+0.081264j -0.0752074+0.0142002j 0.0597494+0.0339382j 0.044888-0.0247853j -0.00200506-0.0557293j -0.0138562+0.0541732j -0.0742783-0.0346282j 0.024631+0.0300501j -0.0521874+0.0258626j -0.0130072-0.134944j 0.0187124-0.00379949j -0.0345721+0.0583158j 0.00421372-0.0437786j -0.0122706+0.0363446j -0.0708555+0.0336281j 0.0857163+0.0259697j 0.109757-0.0544176j -0.13018-0.0443046j -0.0507399+0.065039j 0.0240491+0.0799288j 0.112016+0.0346687j 0.0271133-0.0418472j 0.0394259+0.0127746j 0.0673476+0.0393737j 0.0548651+0.105948j 0.0759087-0.0300724j -0.0803496-0.0567261j 0.121807-0.0831846j -0.00178881-0.00699189j -0.00747291+0.0619694j -0.0747409-0.0170565j 0.0274992-0.0358556j -0.0899201+0.012137j -0.0433987-0.0165119j 0.0402285+0.0317484j -0.0525956+0.0764846j 0.00922245+0.0655135j -0.0161095-0.0774701j -0.03358+0.00311409j -0.0220673+0.0987191j -0.101921+0.0516894j 0.0438853+0.101776j 0.0885467+0.0651274j -0.13143+0.111732j 0.113138-0.0382402j -0.0248755-0.0351805j -0.0232742+0.0365021j 0.0587305+0.0470103j 0.0125374-0.0412566j 
