0.000423072-0.0185741j 0.0297479+0.000204242j 0.0518237-0.0215993j -0.0140555+0.0168793j -0.0269539+0.0135639j 0.0417381+0.0104525j -0.0263819+0.0275018j 0.0276352+0.00418713j -0.0162746+0.0364863j -0.0237718+0.00899738j 0.0106008-0.00244933j -0.00416502-0.0111147j 0.00695572+0.0568032j 0.00700496+0.0314089j -0.0357728-0.0163356j 0.0244995+0.0107788j 0.0460228+0.0100761j -0.0667256+0.0460146j -0.0468901-0.026756j 0.0270764-0.00580571j 0.0214149-0.0749358j 0.0645984-0.060152j 0.040384-0.00652843j -0.0350407+0.018444j 0.0134546+0.0143753j 0.0200293-2.10414e-05j 
-0.0101823+0.00557665j -0.00235649-0.00523745j -0.0239375+0.0202738j -0.0378219-0.0127875j -0.00237761-0.0367939j -0.0209541-0.045096j 0.0308526-0.00752183j 0.0406237+0.0215908j 0.00593313+0.0260165j -0.0104523-0.0271885j -0.0123819-0.018672j 0.00420056+0.00262139j 0.0431676-0.0355121j -0.0240662-0.0315431j -0.0234147-0.052767j 0.0269488-0.0353272j 0.048926+0.119301j 0.0478855-0.0122441j -0.0307913+0.0271308j 0.0486526+0.0878636j -0.0339485-0.00379007j -0.0259005+0.0261574j 0.0205048+0.0240014j -0.0178062-0.0377113j 0.00709078-0.0358969j -0.0373969-0.0338213j 
0.00742556+0.00815204j 0.000916358-0.00103207j -0.0246501-0.000855886j 0.00287939-0.0141704j 0.003279-0.0119454j 0.0234515-0.0375426j 0.00279747+0.0051594j 0.0209159-0.0402973j -0.0397366+0.0178032j -0.0021384-0.0254945j -0.0259208-0.0531901j 0.001208-0.0115975j -0.0257511-0.027873j 0.00328515-0.022759j 0.00955587+0.0225415j -0.0116247+0.00129318j -0.0119788-0.0111289j 0.0151335+0.00344656j 0.00851516-0.00746743j -0.0134998+0.0038207j 0.0194077+0.0194013j -0.0156615+0.0417423j -0.017723-0.00503367j -0.00325822-0.0223402j 0.00743852-0.00664923j 6.79456e-05-0.0014319j 
0.0017064+0.0109932j -0.00902508+0.011055j -0.0198477+0.00454516j -0.0306616+0.000688798j 0.00878169-0.0287284j -0.00451435-0.0233196j 0.00982123+0.00566416j -0.0075135-0.00444855j -0.0234944-0.00400849j 0.0186817-0.0139972j 0.000517006+0.000953984j -0.0107445-0.00510384j 0.0155541-0.0175383j -0.00916841-0.00667335j 0.0314676-0.0466256j 0.0229803-0.0270835j -0.00933942+0.0127121j -0.00941112+0.0417103j -0.0144893+0.0464207j 0.0302589-0.0377821j 0.0523778-0.000280168j 0.0192685-0.0291812j -0.0143272-0.0100268j 0.0258674-0.0422758j 0.0195062-0.0034411j -0.0175336-0.00940373j 
-0.0124295-0.00328875j 0.0112779-0.0022949j 0.0474302-0.000334378j -0.00838248-8.81093e-05j -0.0221752-0.0308396j -0.0295691+0.0163978j -0.0160995+0.0172565j -0.0176667-0.036313j -0.000970546-0.018086j -0.0103939-0.00881058j 0.003837-0.035875j -0.0129918+0.00393172j 0.0293359+0.023881j 0.0196199+0.0234411j -0.0271967+0.0145989j 0.00839152+0.00665358j -0.0268778-0.0198056j -0.0243174+0.00601975j 0.00913387-0.00959505j 0.00408436+0.00971906j -0.0101827-0.00609923j 0.0218908-0.00744388j 0.00189018-0.00688134j -0.0462965+0.0183534j 0.0102675+0.0133071j 0.0208341+0.00562053j 
0.000241404+0.00319966j -0.0246294+0.0103138j -0.0178058+0.0263371j -0.00839904-0.00268943j 0.031362-0.00732246j 0.012253+0.0128817j -0.010325-0.0221866j -0.0373746+0.00837388j 0.00308767-0.00386865j -0.00308237+0.0130671j 0.0127473-0.00454716j -5.51143e-05-0.00695036j -0.00679387-0.00216788j -0.0220136+0.00392656j 0.0331692+0.0170365j 0.0351732+0.00431497j -0.0457089-0.0259858j -0.0662036+0.00140652j 0.0544797-0.00262893j 0.0135071-0.0482567j -0.0468275-0.0120541j -0.00852979-0.0042599j 0.00120676+0.0432908j -0.022412+0.00152757j -0.0260441-0.00537997j 0.0241674+0.0108804j 
0.00777113+0.00430994j 0.00453903+0.000987413j -0.0152009+0.0291187j 0.0008866-0.00652782j -0.0095645-0.0158343j -0.0292514+0.0142213j -0.0171778-0.00275556j 0.0176879-0.0277122j 0.00714632-0.00327444j 0.0311646+0.0318704j 0.00264299+0.00607427j 0.0401735-0.0102537j 0.0032913+0.023536j -0.00762778+0.00135263j 0.0206249+0.00345571j -0.0259017+0.0132221j 0.00836334+0.0146772j 0.0381098-0.0133576j -0.00948667+0.00643963j -0.0365247-0.00250532j 0.0152471+0.00640671j -0.0329853-0.00996403j 0.0109977+0.02783j 0.0109552+0.0155252j -0.00430896-0.00248429j -0.0086406+0.00105978j 
0.00156734+0.00391551j 0.0213982+0.00355963j -0.0163078-0.0535894j 0.036331+0.0036143j 0.00145811+0.017706j -0.000655181+0.00828142j -0.0018322+0.026148j 0.0223003-0.0176503j 0.00570693-0.0159756j 0.0138439-0.00251639j 0.0077205+0.0112289j -0.00901399+0.0156238j 0.0212933+0.0615061j 0.0418743-0.020039j -0.0210383-0.0255049j -0.0166678+0.0487381j 0.0553936-0.00949237j -0.0248984-0.0129173j -0.0109996-0.0502662j 0.0065254+0.0127574j -0.0310127-0.0307053j 0.00797741+0.00424283j 0.00783204+0.00810549j -0.00977272-0.00697646j -0.0125185-0.00632862j 0.0143573+0.0120731j 
-0.0221692-0.0175156j 0.0213816-0.0306285j 0.0539071+0.0173499j 0.0142145-0.0259632j -0.0173857+0.000142913j 0.00964664+0.0221866j -0.00237309-0.00160919j 0.0262725+0.0506713j 0.0189512+0.0141418j 0.00636385+0.0204556j -0.032269-0.0304221j -0.0294077+0.00811644j 0.0325137+0.0501145j 0.00174703+0.0361271j -0.0384168+0.0245895j 0.00867796+0.00954351j -0.00220262+0.0140746j 0.0296328-0.00850448j -0.023451+0.019258j 0.0192713+0.0335491j 0.0203129+0.00874518j 0.0270648-0.0653713j -0.0311044-0.0183581j -0.0480954-0.00732698j 0.031264+0.0282791j 0.00433398-0.0136157j 
0.00773436-0.00475084j 0.0182302+0.0228728j 0.00860525-0.0383577j 0.0229722-0.029111j -0.00522336+0.0318113j -0.0169349-0.00719348j 0.0168217+0.0158142j -0.0267175-0.00556265j -0.00856292-0.0317297j 0.0267425+0.034206j 0.0291177+0.00235604j 0.0319677-0.0231975j -0.0103978+0.0183699j -0.00170821+0.0109083j -0.0382469+0.0474311j 0.00479311+0.0255812j -0.00157935-0.0126129j -0.0364711+0.0160117j 0.0191938-0.0263449j -0.0201184-0.0191077j -0.0057883-0.0417918j 0.0163426+0.0113351j -0.00493321-0.00240149j 0.00480783+0.0104506j -0.0266475+0.0228708j 0.0135462+0.000107079j 
