0.0137984-1.40304e-14j 0.18569+0.014973j 0.107211+0.106855j -0.0379637+0.00286682j 0.00209288-0.00281416j 0.0418564+0.130566j -0.0501979-0.0842952j 0.0227794-0.0659018j 0.072622+0.0195621j 0.0195071-0.0616234j -0.0731007+0.0759271j -0.0982051-0.175925j -0.134825+0.0434161j -0.0700428+0.0655694j -0.00695308+0.163391j 0.0709703+0.00651968j 0.177857+0.0400298j -0.0347213-0.03534j 0.0793463+0.120555j 0.0354321-0.0157693j -0.0108486+0.00153926j 0.0247772+0.0562496j -0.0157887-0.0652934j 0.019234-0.0245149j 0.000784906+0.00622479j -0.0133455-0.0322128j 0.0279944-0.00778995j 0.00867849+9.06898e-05j 0.0779923-0.0231998j -0.0547202-0.010884j -0.0875818-0.0297632j 0.0313484-0.0105977j 0.0353647-0.13576j 0.0719801+0.0166823j 0.00120827+0.0666126j -0.0594654-0.0408502j 0.014452+0.044951j -0.0750528-0.0149209j 0.00554407-0.00831447j 0.0562746-0.00716529j -0.0115469-0.00795636j -0.0641177-0.0477206j 0.0247657+0.037809j 0.00823788+0.0695239j 0.00156009-0.0192898j 0.0404631+0.0303819j -0.0204506-0.00359974j -0.0134287-0.0120993j 0.0119301+0.0349977j 0.00303724+0.000887765j -0.000392541+0.0164944j -0.00977641+0.00797062j -0.0157347+0.00567139j -0.00309502-0.00622401j -0.0187227+0.0354985j -0.0231981-0.015887j 0.0105052-0.0104708j 0.00174236-0.00664196j -0.0131963-0.0136125j 0.00212765+0.0367604j 0.000248313+0.0183095j 0.00921965-0.0191744j -0.00675411-0.0241679j -0.00484339+0.0420851j -0.00804072-0.00439916j 0.0128108-0.0281656j 0.0166958+0.0126472j -0.0215844-0.0288348j 0.00138714-0.00738553j 0.0177938-0.0342379j -0.0282648+0.0311638j -0.0241439-0.0210707j 0.0120011+0.00391002j -0.0315925+0.0095393j -0.031799+0.025219j -0.000882287-0.00807514j 0.0112685+0.00749488j -0.0146674-0.00788364j 0.0101473-0.0158235j 0.0134641+0.0114312j -0.014167+0.030531j -0.0224969-0.0269904j -0.0242284+0.0459622j 0.0196148+0.00157067j 0.00142446-0.0542184j -0.0682009+0.0716649j 0.0200785+0.0314809j -0.00719708-0.0454274j 0.157505+0.128689j -0.142284+0.000370776j -0.0415656+0.118796j -0.0149098+0.0363857j 0.00848293+0.0492037j 0.0523463-0.136472j 0.00247131-0.0180825j 0.023555+0.0167471j 0.138535+0.0931778j 
0.18569-0.014973j 0.016986-1.41137e-14j -0.0350914-0.0544464j -0.110498-0.129411j 0.012089-0.0110629j 0.0171279-0.031686j 0.00807914-0.0588399j 0.0155088-0.0625842j -0.00253972-0.0560021j -0.0653643+0.0250131j 0.0600149+0.153953j -0.189642+0.163715j 0.114768+0.0819071j -0.0428037-0.116661j 0.016225+0.0809892j 0.175334+0.0368094j -0.0667897-0.0118012j -0.0882327-0.0825j -0.00626032-0.0203652j -0.00686432+0.0687699j -0.0248408-0.0381856j 0.00567612-0.0582732j -0.0162806+0.0631811j -0.00518122+0.00975244j -0.0366346+0.003983j -0.00157092-0.0170093j 0.036803-0.0318278j 0.00356942-0.00146463j 0.0465464-0.0568913j 0.0335813+0.0322255j 0.0177142+0.0977865j 0.00472356-0.00895761j -0.100325-0.0745022j 0.0527842-0.0982099j 0.0992336-0.0249882j -0.0107959-0.0276131j -0.0291379-0.0451326j -9.7544e-05-0.00689539j 0.0781868+0.0114045j 0.013233+0.00352663j 0.0596252-0.00272875j -0.0172656-0.0223763j -0.0552656-0.0675917j -0.00575216+0.00284719j 0.0278943-0.0350677j -0.00810017+0.0143349j 0.0271551+0.0290643j -0.0227456-0.0257139j 0.00236868+0.05834j -0.00756347-0.0203236j 0.0439523-0.0118915j 0.00942747+0.035201j -0.0186436-0.0137532j -0.00884145-0.00226604j 0.0269391-0.0377104j 0.00925491+0.0342742j -0.0139344-0.0226854j 0.00894892+0.0163256j 0.000973049+0.00356612j 0.0166433-0.000699945j 0.0206431+0.019249j -0.0132052+0.00704344j -0.0124001+0.0203574j 0.0035183+0.0229188j -0.016527+0.00712451j 0.0199479-0.0419906j -0.00121059-0.00723016j -0.032171+0.00603542j 0.00122346+0.0126238j 0.00411622+0.00706417j 0.0104055-0.0280883j -0.0106628+0.0198918j -0.013803+0.0172545j 0.0303825+0.0155742j 0.0116668+0.0112863j 0.00986386-0.0152439j 0.0110707+0.0164724j -0.00676524-0.00281287j -0.0490161+0.0141978j 0.0273903-0.0204949j 0.010197-0.0446569j -0.00460263-0.0359673j 0.0614278+0.00583363j 0.0633143+0.00133445j -0.0464324+0.034323j 0.0362295+0.0160017j 0.0252974-0.0158607j -0.0479262+0.0344974j 0.142451-0.0763093j 0.0984885+0.17151j 0.0397069+0.107249j 0.00653076+0.0450828j 0.0132357-0.0377995j -0.0386152+0.0346592j 0.0592272-0.0912829j 0.151564+0.0966056j -0.0255171-0.00748174j 
0.107211-0.106855j -0.0350914+0.0544464j 0.000650433+3.4972e-15j -0.048025+0.0202598j 0.0333669-0.0229461j 0.0960378+0.0236671j -0.126829+0.000234999j -0.0660169+0.0879712j 0.00902265-0.011573j -0.0442194-0.240713j 0.0250685+0.011318j -0.104823-0.193189j 0.232003-0.365007j 0.0472401+0.0244349j 0.160891-0.276525j 0.123894-0.0999149j 0.000204544-0.0123683j -0.0470323+0.0109757j 0.054224+0.0224909j -0.0276331-0.0538341j -0.0014466+0.0201736j 0.0103616+0.00915279j -0.0625374+0.00590488j -0.0316321+0.0135081j 0.0119152-0.0180431j -0.0313205-0.00257833j 0.00838028-0.0354639j 0.0249856-0.0203123j -0.0247084+0.0890968j -0.0112779+0.0448792j -0.0185642-0.0216898j -0.0123989-0.0887388j -0.0231312+0.0358358j -0.0218095+0.0588693j 0.0394868-0.012914j -0.00715379-0.0180648j -0.0465559+0.00990877j -0.00906208+0.00661002j 0.0150682-0.00316445j 0.00222581-0.00850173j 0.030116-0.0244401j -0.0175297+0.00330675j -0.000570593-0.000894691j 0.0158151+0.0084918j 0.00329412+0.00185285j 0.000665188-0.00569295j 0.0114932+0.00224155j -0.00684464-0.00369514j 0.0124306-0.0215611j -0.000322803-0.00808849j 0.0276543+0.029623j 0.0268182+0.00894111j 0.00403804+0.00020394j -0.0050228+0.00465048j 0.0238794+0.0203291j 0.00355581-0.000584945j -0.0138634+0.00612945j -0.00709854+0.00957595j -0.00497724-0.025403j 0.0103823+0.0338878j 0.0134956+0.0124593j -0.0094804+0.0119093j -0.00190049-0.0240913j 0.0047137+0.0344408j 0.0118673-0.0245829j 0.00207851+0.00509606j -0.00689872+0.00100936j -0.00171392-0.0235583j -0.0105074+0.0135767j -0.0118043+0.00518915j -0.0214388+0.0240335j -0.00925735+0.018413j -0.0267843+0.0248365j 0.0353253-0.0264301j -0.0110497+0.00176761j -0.0196958+0.0107099j -0.0120583-0.01956j 0.0198999+0.0235779j 0.00287736-0.000506143j 0.0238802-0.00303151j -0.0295447+0.0279627j -0.00735429+0.01377j 0.0248044+0.0104234j 0.0278931-0.000520267j -0.0133814-0.00298805j 0.0219344-0.0757118j -0.00966124-0.00771577j -0.0154796+0.018251j 0.0238318+0.0231216j -0.0198853-0.000837172j 0.0271636+0.0206608j 0.000202303-0.0547476j 0.0353231-0.00127945j -0.00102147-0.0262366j -0.00454559+0.0342718j 0.0343067-0.0322432j 0.012608+0.0064556j 
-0.0379637-0.00286682j -0.110498+0.129411j -0.048025-0.0202598j 0.00552665+4.2466e-15j 0.0790388+0.00202264j 0.199873+0.0270867j -0.0825918-0.118187j -0.152722+0.137145j 0.0198677-0.0887125j -0.245912+0.107429j 0.236737-0.017276j 0.0570276-0.136116j -0.272174+0.021015j -0.326245+0.235456j -0.209352+0.23168j 0.0851727-0.0399019j -0.168904+0.1501j -0.0661355+0.0311835j 0.0251773+0.0151988j -0.0277443-0.0221073j 0.00457028+0.0145224j -0.0299385-0.000339607j -0.0078082-0.0146695j -0.0157124+0.000929219j -0.030286+0.038239j 0.0219185-0.0214571j -0.00327052-0.0364368j -0.00266274-0.0212016j 0.0247239+0.0170007j 0.0413062-0.0356748j -0.0182891+0.0302082j -0.0913557+0.0174596j -0.0201399-0.0186604j -0.0399611+0.0324952j -0.0195237+0.0331372j 0.00249111+0.0133633j 0.00535436+0.0155969j -0.00126859+0.00200062j 0.0147625-0.0163676j -0.0343659+0.0262158j 0.015954-0.0205607j 0.000660591+0.0019163j -0.0124184-0.00862801j 0.0192729-0.00208735j -0.0142877-0.00128991j -0.0134232-0.000782655j 0.0209472-0.00885331j 0.000728587-0.00455771j 0.00330745+0.0030418j -0.0122687-0.00291047j 0.0198395+0.018633j 0.0296616+0.00907969j 0.0172312+0.00246013j -0.0160532+0.0125593j 0.0138275+0.00222123j 0.0158277-0.0163883j 0.00205466-0.0202827j 0.00730869-0.00668563j 0.0101358-0.00918353j 0.0238004-0.000969932j 0.0225993-0.012398j 0.00990646-0.00145956j 0.0145872-0.0176251j 0.0151334+0.000295837j -0.0170543-0.0130135j -0.00584053-0.0103329j -0.00782756+0.00469429j -0.00540254-0.00301463j -0.00664028-0.0105364j 0.00337506+0.0170598j 0.0146443-0.000626296j 0.0185782-0.0151284j 0.011806+0.00375843j -0.0014717-0.0143775j -0.00902647+0.0047042j -0.00899466+0.00689372j 0.00809838-0.0181835j 0.0311532-0.0274795j 0.000880521-0.033173j -0.0144362-0.0141961j 0.00169475+0.0263629j -0.00782767+0.00557593j 0.0388901-0.0272943j 0.0382521-0.0359192j 0.00271061-0.0253452j -0.0230812-0.00957917j -0.0193032+0.0131772j 0.00579436+0.0166364j 0.0259731+0.0104529j 0.0388369+0.0132472j 0.0260121+0.00691456j 0.0348138-0.00365911j 0.00168922+0.0502051j -0.0154572-0.00477119j 0.0294882-0.00945751j 0.0400833+0.00336707j -0.0351701+0.0487751j 
0.00209288+0.00281416j 0.012089+0.0110629j 0.0333669+0.0229461j 0.0790388-0.00202264j -0.0215451-5.14866e-15j -0.109236+0.0759906j -0.0830937-0.189811j 0.100003+0.0949008j 0.0746655+0.133194j 0.126413-0.202052j 0.196375-0.124448j 0.0855513-0.0449914j -0.0897601-0.187996j 0.121897+0.233112j 0.133167-0.216528j -0.017964-0.0818558j 0.0893006+0.0280945j 0.0303704+0.0398643j -0.00204486+0.00201373j -0.00833993-0.0485149j 0.00281416+0.00707312j 0.0112772+0.0151396j -0.000246591+0.0251975j 0.0115634+0.0168466j 0.0305144-0.0322789j 0.0429918+0.0139783j 0.00792055-0.0465801j -0.00616648+0.0458069j 0.00529227+0.0567037j 0.019578-0.0177815j -0.0198227-0.0283748j 0.0389375-0.0273966j -0.0369092-0.0149049j 0.00845984-0.00305327j -0.0130328-0.00641174j -0.00953483+0.0425995j 0.0400252+0.0114393j -0.00374562+0.00522667j -0.00660008-0.0138595j 0.00917965-0.0033024j -0.0147747-0.00994703j 2.49611e-05+0.0112735j 0.00883905+0.00742572j 0.00382982-0.00179484j 0.00301457+0.0137875j 0.00198825-0.00594569j -0.0142-0.00968385j 0.00382725+0.0127044j -0.000763315-0.0173386j 0.00956187+0.00743641j -0.00447712+0.00475539j -0.00292828+0.00233572j 0.000997828+0.0100159j 0.00628792+0.016147j -0.000860405+0.0077107j -0.00568291-0.0171445j 0.00988629+0.00658401j -0.00498052+0.0121694j -0.00774859-0.013234j -0.0166598+0.0191051j 0.00192736+0.00302606j -0.00751229+0.00798265j 0.00128624+0.0137513j 0.0148765+0.000568336j -0.000630357+0.00257761j 0.0128726+0.0289302j 0.00864142+0.0086096j -0.00528272+0.00124223j -0.0157797+0.00474075j -0.00712672+0.0166238j -0.00389452+0.00823567j 0.0198753-0.0062289j -0.0132909+0.00955971j -0.00443069-0.0194686j 0.0060476+0.0207478j -0.0187417-0.00243696j 0.0157079+0.0119022j -0.00391846+0.00584273j 0.00133928+0.000939556j -0.00573191+0.0113846j -0.00485615+0.00371189j -0.00073295+0.00355761j -0.0011364+0.00213428j -0.00741991-0.00464006j 0.00721554-0.0049683j 0.0090568-0.0271949j 0.00619885+0.00651332j 0.00260315-0.00529727j -0.0179463-0.00948435j 0.00899375-0.0247269j 0.00680004-0.00526145j 0.00100669-0.0271574j 0.0206374+0.00488583j 0.00223789-0.00310102j -0.0121191+0.0206742j -0.00842189-0.044508j 0.0256158+0.000817432j 
0.0418564-0.130566j 0.0171279+0.031686j 0.0960378-0.0236671j 0.199873-0.0270867j -0.109236-0.0759906j -0.149233-7.03604e-15j -0.0318194+0.0910572j -0.121761-0.180918j 0.241217-0.138558j 0.056169-0.0772401j -0.0165406-0.160173j 0.360952+0.227924j -0.115666+0.252871j -0.109734-0.0343765j -0.191127+0.0169707j -0.0295524-0.153609j 0.0409455-0.142112j 0.0314602-0.0337363j -0.0840318-0.018311j 0.0275545+0.00785309j -0.0277163+0.0131062j 0.0179368-0.00185717j 0.0118081+0.0227926j 0.00219992-0.0158512j -0.00304773+0.0318588j 0.00349074+0.0248722j 0.0064791+0.00600326j -0.00646586+0.0126167j -0.0492058-0.0475395j 0.0207542+0.0568014j -0.0619398+0.0398817j -0.00452134-0.00194093j 0.0424687+0.0148989j -0.0193566-0.0144319j -0.0111792+0.0116645j 0.022642+0.00480072j -0.00547841-0.0275314j -0.00450926+0.0181153j -0.00571872+0.0173388j -0.00288061-0.0303872j -8.0034e-05-0.0163783j 0.00148669+0.00314954j -0.000791949-0.0194243j -0.0171628-0.000995534j 0.00382446-0.0192721j -0.0159836-0.000903678j -0.0137967+0.0109528j -0.0110138+0.00224395j -0.00201367-0.00388347j 0.0193651-0.00319294j -0.0228127-0.00717752j -0.0101641-0.00457199j -0.0165584+0.0136474j 0.00910557-0.0039692j -0.0110746-0.0105011j 0.00530809+0.0379156j 0.00319977-0.00151558j -0.00881059-0.00414466j -0.00411972+0.00910004j -0.00282664+0.000859928j -0.0205614+0.00919839j -0.0029177-0.00910436j 0.0167955+0.0062603j 0.000577187+0.0176605j 0.00956698-0.00408315j 0.00272264-0.00381013j -0.00983395+0.00431571j 0.00107503+0.0329721j 0.00540932+0.0133937j -0.0179313+0.0206536j -0.00972963+0.00842893j 0.00477985+0.000469774j 0.00194237-0.0172415j -0.00298918+0.00598669j -0.0195019+0.0019753j -0.0101842+0.0115444j 0.00935633-0.00631153j -0.00284064-0.00857119j -0.0173967+0.0046281j -0.00872927+0.0138407j 0.0049411-0.00441631j -0.0170397-0.0102248j 0.00770577-0.0225582j 0.0174694+0.00764054j 0.0113161+0.0125859j 0.0114205+0.0151705j -0.00320422+0.00682588j 0.00923494+0.00764576j 0.020021-0.0214323j -0.0132659+0.0187291j -0.0184303+0.0105726j -0.0209409-0.00189033j -0.00258116-0.0246368j 0.017019-0.0116837j -0.0111727-0.0239889j -0.0156585+3.23783e-05j -0.00128267-0.0379007j 
-0.0501979+0.0842952j 0.00807914+0.0588399j -0.126829-0.000234999j -0.0825918+0.118187j -0.0830937+0.189811j -0.0318194-0.0910572j -0.0968287-1.64348e-14j -0.0201527+0.00024789j -0.106881-0.226201j -0.279131+0.14352j -0.0898564-0.21517j 0.0505757-0.024681j 0.242685-0.0463603j 0.215218-0.172786j -0.060999-0.0784232j -0.121003+0.0767006j -0.132875+0.0599685j -0.0561344+0.0172109j 0.0177446-0.0379263j 0.00994512+0.0256776j 0.0250538-0.0313459j -0.001266+0.0168754j 0.0067339+0.00252052j 0.00281032+0.00562614j 0.0125114+0.00316461j -0.011784+0.00903179j -0.0153576-0.0197477j -0.0411161-0.00432959j 0.00191355-0.0183072j -0.0104524+0.028012j 0.000141988-0.0153375j -0.00370681+0.0133293j -0.00167969-0.00460446j -0.00221488+0.0159837j 0.0220038+0.00570164j 0.0203619-0.00953267j -0.00437147-0.0110059j 0.00905166+0.00589875j 0.0163438-0.0165032j -0.0289277+0.0264281j -0.0110764+0.0121984j 0.00538816+0.00561063j -0.00443653-0.0102439j 0.00837138-0.0117137j -0.0134999+0.000889776j -0.013061-0.0138753j 0.0199715-0.00351307j 0.00112002-0.00854962j -0.00579618+0.0090991j -0.0230139+0.00754156j 0.0135739+0.00111354j 0.00167759+0.00718154j 0.0159956-0.0236613j 0.00100011+0.00098145j 0.00729032+0.00348656j 0.0170199-0.000572879j 0.00135924-0.00614616j 0.00755349+0.00419599j 0.00357692+0.0049526j 0.0211457-0.00635199j 0.00371094+0.0178272j -0.0058003+0.00132441j 0.0114518-0.00301391j -0.00673674-0.012004j 0.00377859+0.011156j -0.0108371+0.00419478j -0.020544+0.0223246j -0.00667926-0.00396134j 0.00503674+0.0180752j -0.0103118-0.00198795j 0.00240117-0.0135035j 0.00664544-0.0462689j -0.00547146-0.00241707j 0.018853-0.0172122j 0.0387375+0.0264664j 0.0102854+0.00728778j -0.00125047+0.00711143j 0.0181759-0.00528326j -0.00382044-0.00869667j 0.0148529-0.0133641j -0.0125075+0.00345995j 0.0184817+0.00388233j 0.00227502+0.00682052j 0.00710926-0.0123694j -0.00877405-0.00873844j -0.00107072-0.00397683j -0.00226231-0.00952074j -0.00709132+0.000817319j 3.08807e-05-0.00274736j 0.0183932+0.0197866j 0.0132546-0.00522588j -0.00474661+0.00988397j -0.00767794-0.00467753j -0.0287387+0.013768j 0.00688231+0.00510679j -0.00184232+0.023059j -0.0295959-0.00447582j 
0.0227794+0.0659018j 0.0155088+0.0625842j -0.0660169-0.0879712j -0.152722-0.137145j 0.100003-0.0949008j -0.121761+0.180918j -0.0201527-0.00024789j 0.299393+1.07692e-14j -0.0649544+0.0918134j 0.0575254+0.0987961j -0.0770882-0.151442j 0.0144715+0.136966j -0.00683844+0.117956j 0.169028-0.120285j -0.070494+0.0945927j 0.00633922+0.0113654j 0.0222392+0.112469j -0.0312085-0.0172624j 0.0529664+0.0523681j 0.00941957-0.00107523j -0.0295837+0.022834j 0.0147052-0.0148495j 0.00747586+0.00102133j 0.028424-0.0312008j 0.0498499+0.0484128j -0.0137753+0.0045375j -0.0176305-0.0120425j 0.0342438+0.0025406j 0.0197612-0.0138217j 0.0173752-0.0257016j -0.00250893+0.0317722j 0.0046893-0.021591j 0.00760922-0.00325681j -0.000124579+0.010974j 0.00317952-0.00566851j -0.00503137-0.0163875j -0.01457+0.0109192j -0.00114074-0.00211678j 0.00280324-0.0161644j 0.0104014+0.0179464j -0.00335744-0.00503943j -0.00329189-0.00297223j 0.00379449+0.00806031j 0.00403372+0.00841262j -0.0044169-0.00828413j 0.0147903+0.00771938j 0.00413801+0.00923623j 0.0028011-0.00117465j 0.00161426+0.00209103j -0.0167251-0.0139433j 9.22959e-05+0.0162788j 0.00803262+0.0161108j 0.00558584+0.00406739j -0.00853186-0.00545175j -0.00826244+0.00905023j -0.0115706-0.00453775j 0.0082729-0.00261727j -0.000827455-0.00852832j 0.00302122-0.009499j 0.00925816+0.0177479j -0.0111568-0.0109554j -0.0049598-0.0180086j -0.0048076+0.0196113j -0.00831989+0.000859274j -0.0154374+0.0101545j -0.00910451+0.0043212j 0.0128803+0.0221462j 0.0149792+0.0213458j 0.0147892+0.00527856j 0.00934462-0.00421842j 0.0187883-0.00881464j 0.0213957-0.0064432j 0.00768197-0.00345598j 0.0092834+0.0276843j -0.00708683+0.00830036j 0.0224148-0.0146554j -0.0218084-0.00708321j 0.0111055-0.000493663j 0.00946339-0.0246237j -0.00610177-0.00718313j -0.00431896-0.0094051j 0.0212497-0.0121109j 0.0027428+0.00753754j 0.00487405-0.00160441j 0.00398689+0.0036518j -0.011474+0.00145592j -0.0161984+0.00192833j 0.000475999+0.0142326j 0.00505591+0.0220703j -0.000321653-0.00268682j -0.00664342+0.00934197j -0.00107359-0.00107336j 0.00530649+0.00479411j 0.0116034-0.00554378j 0.00791844-0.0130487j -0.00181443-0.00128335j 0.0143168+0.0157074j 
0.072622-0.0195621j -0.00253972+0.0560021j 0.00902265+0.011573j 0.0198677+0.0887125j 0.0746655-0.133194j 0.241217+0.138558j -0.106881+0.226201j -0.0649544-0.0918134j 0.0576647-2.33147e-15j 0.0237004-0.0357871j -0.291446-0.0759154j 0.127626-0.286449j 0.0355146-0.094574j -0.0327357-0.0929227j -0.0239711-0.0522522j 0.0130601-0.0419988j 0.0233302+0.00144791j 0.00314527+0.00716635j -0.0085168-0.0343152j -0.0417518-0.00536675j -0.0202494+0.0155647j -0.0188159-0.032436j 0.00324832+0.015397j 0.00861372+0.0347927j 0.0016582-0.0143132j -0.00183597+0.0161787j 0.00597538-0.0497643j -0.036566+0.00429981j -0.000912273+0.00699261j 0.00432594+0.00724832j -0.00516571-0.00759427j 0.000412572+0.00407967j -0.0212242+0.00415149j -0.000602488-0.00802042j 0.00733326+0.00579245j 0.0143503+0.000934148j 0.00471465-0.0144852j -0.00387389+0.00665689j 0.0028346-0.00238927j 0.00339574-0.00182499j 0.00461111-0.0111254j -0.00315423+0.00149885j -0.0036885-0.0114951j -0.00253448-0.00419409j 0.004249-0.00786638j -0.00731238-0.00750859j -0.000688564-0.00192971j -0.00343719-0.00271048j 8.64956e-05-0.00512141j 0.00631625-0.00338042j 0.0176342-0.00199328j 0.0156665-0.00435737j -0.0044393+0.0139456j -0.00823884+0.00296562j 0.0062902-0.00778151j -0.0122158+0.00700642j -0.00606083+0.00308147j 0.0203024+0.0097315j -0.017675-0.00107101j -0.00838405-0.00839031j 0.016753-0.00196445j -0.014535+0.000883034j 0.00876001+0.0184205j 0.0254818+0.0103027j 0.00988584-0.0065841j 0.00844844+0.00617508j 0.0384065+0.00641008j 0.036454-0.017367j 0.00374574+0.00164724j 0.00129692+0.00560201j 0.0175494+0.00670284j -0.00849337+0.0176406j 0.00511693-0.00250677j 0.0192812-0.00441559j -0.000255232+0.00218964j 0.008684+3.76377e-05j -0.00189736+0.00119065j 0.00579215+0.00180763j -0.00539186-0.0103862j -0.00117127+0.000976034j -0.00163308+0.00115207j 0.00205677-0.00203928j 0.00912345-6.55853e-05j 0.014548+0.000738497j -0.00181995+0.00338367j 0.00756775-0.00528892j 0.00571505-0.00195425j -0.00726524+0.00103886j 0.0192864-0.00155499j 0.00442162+0.0158523j 0.00267693+0.0113535j -0.00362205-0.004836j 0.0053659-0.00543302j -0.00671785+0.00204946j 0.00262151-0.00752927j 0.00946189+0.00276623j -0.00116016-0.0130075j 
0.0195071+0.0616234j -0.0653643-0.0250131j -0.0442194+0.240713j -0.245912-0.107429j 0.126413+0.202052j 0.056169+0.0772401j -0.279131-0.14352j 0.0575254-0.0987961j 0.0237004+0.0357871j -0.18858-1.96732e-13j 0.105064-0.180978j 0.0157379-0.0716974j -0.00792782-0.00193633j -0.00796293+0.00133093j -0.0457798+0.0537034j 0.116516+0.0562136j 0.0044932+0.0364117j -0.0271404+0.0696705j 0.0888852+0.0443693j -0.0183549-0.0189688j 0.00994045-0.0171807j 0.0349748+0.00238815j -0.0277752-0.0678773j 0.0145117+0.0112894j -0.0687637-0.0116072j -0.0144669-0.0289858j -0.00881624+0.0354483j -0.00396119+0.0304439j -0.015445+0.0163856j 0.0130101+0.0215676j 0.0181495-0.00578834j -0.00934627+0.0175595j -0.0123271-0.00918308j 0.0107647+0.00555712j 0.000441602-0.00606534j -0.0141756-0.00791146j -0.00918499+0.0113388j -0.0100068-0.00854872j -0.0099538+0.00515074j 0.0154751+0.00713397j 0.0200427+0.000128335j -0.0135851-0.00801599j 0.00340718+0.0228665j 0.011814+0.0166981j 0.00278504+0.0149986j 0.0174734+0.00281948j 0.00466559-0.0133317j 0.00483011+0.00436188j 0.0124922+0.0119584j -0.0093249-0.00236166j 0.0127932+0.00518089j 0.00736317+0.023757j 0.00722067-0.00656036j -0.0105019-0.0049928j -0.00186632+0.014187j -0.0400177-0.0195516j 0.00364608+0.00404169j 0.0171786-0.00654435j -0.00218134-0.0249528j -0.010577+0.025376j 0.0031416-0.0326051j -0.00365298-0.0146283j 0.000705137+0.00218767j -0.00152743-0.00192384j -0.00984684+0.00626796j 0.0117553+0.00188184j 0.0120708-0.0060834j -0.0218288-0.000507285j -0.0196902+0.00348688j 0.00430608-0.01065j -0.00816896-0.012837j 0.00463685-0.0102353j 0.00381834+0.0102287j -0.00947315+0.00886732j 0.00785606+0.00116052j -0.0131381+0.00354384j 0.0133215-0.0107979j -0.00217342+0.0109215j 0.00510251-0.0030397j 0.000439311+0.000280734j -0.00955757+0.00172469j -0.00237081+0.000550456j 0.00464385+0.0090433j -0.00736079+0.00543746j 0.000664429-0.00949919j -0.0135499+0.00774466j 0.00314547-0.00502695j -0.0091015-0.00591772j 0.00134733+0.0337217j -0.0141899-0.020712j 0.00231694+0.00383006j 0.00886687-0.00672759j 0.00866682+0.0124426j 0.00482893-0.0117574j 0.0131453+0.00917738j 0.00963497-0.00767499j 0.0281816+0.0256835j 
-0.0731007-0.0759271j 0.0600149-0.153953j 0.0250685-0.011318j 0.236737+0.017276j 0.196375+0.124448j -0.0165406+0.160173j -0.0898564+0.21517j -0.0770882+0.151442j -0.291446+0.0759154j 0.105064+0.180978j -0.0322954+4.19664e-14j 0.12002+0.0840011j -0.105229-0.0641276j -0.0846462+0.0269356j 0.0598886-0.0178158j -0.0325763+0.0815404j -0.0314559-0.10922j -0.00225133-0.020864j -0.066315-0.0129836j 0.00649563-0.015113j -0.0290478-0.0421399j 0.0253063-0.0125088j 0.00236378+0.023738j -0.0393306-0.00286455j -0.00408259+0.000259173j 0.00434715-0.0239447j 0.0290212+0.00743042j 0.0147528-0.0294098j 0.00969386-0.0130734j -0.0153642+0.0112176j -0.0154976+0.00904706j -0.00519064-0.0184611j 0.00691365-0.00106654j 0.00107734-0.00784061j 0.00299753+0.00814723j 0.00715613-0.00894588j -0.00439319-0.00786095j -0.00123203-0.012154j -0.00271935+0.0115074j -0.00456918-0.0201962j -0.00258525+0.0192597j -0.00536794-0.00537264j -0.00357131-0.00208157j -0.0111454+0.00315114j 0.00402891-0.00498549j -0.00226622-0.00178983j -0.00957954-0.00134741j -0.0166333+0.00117784j 0.000657926+0.00285647j 0.0175394-0.00217399j -0.00721066-0.0035556j -0.0201498+0.00800603j -0.0204459+0.00943603j 0.0143661-0.00597152j -0.00504676-0.0138737j -0.0338388+0.00452821j -0.000546948+0.0139588j 0.00520706-0.00125469j -0.0116316-0.0129679j -0.0175851+0.0101918j -0.0155643-0.0172977j -0.0156673-0.0132252j 0.00407052+0.0230493j -0.000363977+0.0060038j -0.00120937+0.000381588j 0.000550295+0.019464j 0.0102011+0.0113592j -0.00624608+0.0214828j -0.00531849+0.0128634j -0.0156214+0.00885862j -0.0180327+0.00537131j 0.00940805-0.00813777j 0.00349276+0.00514669j -0.0063777+0.00990711j 0.00300014+0.012286j -0.00865993+0.00516816j 0.00262586+0.0021936j -8.17887e-05-0.00137432j 0.000878088+0.00191047j -0.00311925+0.00640388j 0.00458934-0.00294371j -0.00215423+0.00119704j -0.00790051+0.00744652j -0.00588654+0.00373025j -0.00604058+0.00386204j 0.00111058+0.00942431j 0.00413154-0.0024984j -0.00425985-0.00458874j -0.000162482+0.00318947j -0.0117296+0.00236099j -0.0106516+0.00111695j -0.00336931+0.00466927j -0.00408429-0.00431059j 0.00535338-0.00424314j -0.000300047-0.00120348j -0.000917674+0.00723847j 0.00839732-0.00298364j 
