-0.00780315-1.42514e-13j -0.00496316+8.36148e-07j -0.00578279-0.000468187j -0.00601843-0.000392407j 0.00394305+0.000104879j 0.000981608-0.000189334j -0.0069609-0.000405933j -0.00426912-0.000563137j -0.000775052-0.000207634j 0.0026131-0.000174052j 0.00203802+0.000395656j 0.00649153+0.00035514j 0.00386577+0.00035721j 0.00111297+0.000266698j 0.00278609+0.000372346j 0.00141335+0.000392515j 0.000911407+0.000123463j 0.000119197+1.9863e-05j 0.00149128+0.000157045j -0.00311023+0.000207718j -0.00480923-0.00046425j 0.0026664+0.000407633j 0.00378592+0.000409333j -0.000245644+8.32746e-05j -0.00124154-9.18943e-05j -0.00194714-9.87158e-05j 0.002609+0.000147952j -0.00217551-0.000129427j 0.000621561+6.90414e-05j 0.000740455-0.000110254j 0.00100548-5.18607e-05j -0.000620432+0.000171316j 0.00411895+0.000391185j -0.00197706-2.71348e-05j -0.000519576-0.00015063j 0.00170557+0.000220115j -0.00220509-0.00036202j -0.00440393-0.000436409j -0.00330754-0.00027288j 0.00101796+0.000153503j 0.000891845+1.25558e-05j -0.00248701-0.000319244j 0.00192782+0.000593131j 0.00188827+0.000124062j -0.00134262-0.00058036j -0.0028758-0.000363795j -0.00117749-4.52254e-06j -0.00105773-4.50327e-05j 0.000234966-0.00033106j 0.000653024-0.00017783j -0.000911611-0.000414796j 0.000905992-1.09335e-05j 0.00210507+0.000267016j 0.00415116+0.000446875j -0.000808761-0.000137111j -0.00267466+0.000356044j 0.00155604+6.83962e-05j 0.00084087-3.30942e-05j -0.00250128+0.00012828j -0.00531632-0.000404786j 0.00330292+0.0003878j -0.00188531-0.000523161j 0.000394807-0.000234572j -0.00216591-0.00020801j 0.00341306-0.000390115j 0.000686865+0.000223386j -0.00995956-0.000898999j 0.00359632-0.00024429j -0.00490701-0.0013154j -0.00600875+0.000441166j -0.000659758-0.000295543j 0.0177933+0.000891085j 0.00469007-0.000649187j -0.0107739+0.00544944j -0.0375422-0.00277356j -0.0016011+2.49489e-05j -0.885242+0.00452331j 
-0.00496316-8.36148e-07j 0.00781272-1.14813e-14j 0.00582222+0.000378004j -0.00581591-0.000484197j -0.00126336-0.000405913j -0.00624002-0.000196439j -0.00436477-0.000380353j 0.00508098+0.000496158j -0.0010275-0.000334371j -0.00199345-0.000212734j 0.00514073+1.67636e-06j 0.00257517+0.000156902j -0.00679063-0.000730295j -7.60732e-05+6.0873e-05j 0.00141985+0.000124555j 0.00091322+0.000177068j 0.0014611-8.94749e-05j 0.00201557+2.8009e-05j 0.00206381+3.35011e-06j 0.000764003+8.57941e-05j 0.00365555+0.00033096j 0.00504281+0.000311624j -0.000285853-0.000230475j 0.00188914+3.32655e-05j -0.00122416-3.94192e-05j 0.000281739-1.19092e-07j -0.00314114-0.000500829j -0.000421054+0.00018394j 0.00282862+0.000227809j 0.00109861+7.55379e-05j -0.00108897-0.000216777j 0.00332316+0.00035871j -0.000835023-3.89328e-07j 0.00188586+0.000180113j -0.000562227-8.38766e-05j -0.00150517-0.000104979j -0.00340009-0.000360124j -0.00115244+0.000346708j 0.000268001+0.000371378j 0.00205534+0.000229397j 0.00172984-3.47551e-05j -0.00189268-0.000230324j 0.00246682+0.000218676j -0.00169512-0.000244519j -0.00267127-6.01956e-05j 0.000773947-5.58699e-05j 0.00147505+0.000236285j -0.00202434-7.51548e-05j -0.00451856-0.00077322j 0.00131434+0.000134037j -0.00094292+0.000142426j -0.00257904-0.00019627j 0.0014876-3.68586e-05j -0.00126658-0.000327187j -0.00226524-0.00014396j 0.00200854+0.000442408j 0.000328454+0.00049679j -0.00564008-0.000103713j -0.00145332-0.000189066j -0.000516465+0.000229281j -0.000433512-0.000507901j -0.0022445-0.000304877j -0.00469766-0.000394966j 0.00191394+0.000577306j -9.48895e-05+0.000298396j -0.00637192+0.000129274j -0.00345879+0.000195642j -0.00947204-0.001427j -0.00130028-0.000229564j -0.000601166-0.000905292j 0.0135974+8.57796e-05j 0.00330159-0.000529319j -0.0131517-0.000805526j -0.0374112-0.00269182j 0.0105856-0.00557912j 0.885363-0.00450468j -0.00162918+5.84507e-05j 
-0.00578279+0.000468187j 0.00582222-0.000378004j 0.00260243+1.29671e-16j 0.00162572-3.24188e-05j 0.00651324-0.000111201j -0.00455067+0.000184256j 0.000513416+0.000311521j 0.0031296+0.000280196j 0.00697752+0.000420512j 0.00123882-0.000233497j 0.00515787-0.000476194j 0.00174938+4.95694e-05j -0.000891595-2.50488e-05j -0.00493439-0.000679317j -0.00463849-0.000889488j -0.00410616-0.000298792j 0.00409208-0.000118439j 0.0014133-4.741e-05j 0.00237491-0.000376376j -0.00324554-5.97859e-05j 0.00539538+0.000535223j 0.00205695+0.000169281j 7.71676e-05+1.5708e-05j 0.000893256-2.94233e-05j -0.000917916-0.000147548j 0.00173069-8.74588e-05j 0.00252963+0.000518277j -0.00529819-0.000212898j 0.00170319+0.000164247j -3.3723e-05-0.000146806j 0.00462676+0.000737014j -0.000207154+0.000418434j -0.00557675-0.000624152j 0.000152838-4.36671e-05j 0.00280401+0.00103325j -0.00185716-0.000198223j 0.00474369+0.000949809j -0.00508438+5.45765e-05j -0.00143962+0.000410583j -0.00152384-0.000457424j 0.00211837-0.000350219j 0.00144969+0.000359395j -0.00717669-0.00107892j 6.37749e-05-3.71377e-05j 0.000999916+0.000466545j 0.00458433+8.64991e-05j -0.00182539-9.19687e-05j -0.0028579+0.000100435j 0.00553915+0.000612877j 0.00159257+0.000169396j 0.00312911+0.000289752j -0.00317916+0.000206919j 0.000126828+0.000283004j -0.00301231+1.5266e-06j -0.00368909+0.000668566j -0.00575607-0.00033925j -0.00633877+4.39403e-05j -0.00480196-0.00110663j -0.000550489+0.000658474j -0.00399562-0.000969607j -0.00171299+0.000264161j 0.00703934+0.000473545j 0.00140999+0.00181112j -0.00206477-0.000290436j -0.000433266+0.000456092j -0.0157391-0.000580046j -0.00274339+0.00167086j 0.014615+0.000419516j 0.0221065+0.000754009j 0.0148096-0.005019j 0.0410519+0.0017789j 0.00474277-0.00162019j 0.037225+0.00447949j 0.00230353+0.000447035j -0.886015+0.00545046j -0.00863928+0.00554054j -0.0241222-0.00285646j 
-0.00601843+0.000392407j -0.00581591+0.000484197j 0.00162572+3.24188e-05j -0.00259247+1.09288e-16j 0.00160762-0.00027289j 0.00661212-6.73887e-05j -0.00601078-7.16515e-05j 0.00642063+0.000626732j 0.00135801+0.000442623j 0.00660398-0.000127904j -0.00495055-0.000103183j 0.00574823+9.96813e-05j -0.00416435-0.00040616j -0.000911261-3.53675e-05j -0.00260593-0.000589859j -0.00391324-5.908e-05j -0.000745452+0.000249237j -0.00026715+0.000208863j 0.00106626-2.1984e-05j -0.00892321-0.000143096j 0.000139873+0.000225609j -0.00111786+0.000176003j -0.00399384-0.000355585j -0.00175428+6.88139e-05j -0.000517772-0.00010881j 0.000138106+0.000310649j -0.00251652-0.000358904j 0.000294895-0.000151758j 7.22114e-05-2.34612e-06j 0.00512834+8.50509e-06j -0.000461027-8.2861e-05j -0.00099485+0.000201156j 0.00305279-3.16733e-05j -0.00244024+6.68968e-05j -0.00110604-6.4228e-05j 0.000879964+0.000141173j -0.00169905+2.59632e-05j 0.00270701+4.56404e-05j -0.00114559+4.62208e-05j 0.00304362+0.000168049j -0.000140818-0.000395891j -0.00240772-0.000101282j -0.00331504-0.000279822j -0.00143522-0.000338225j 0.00496622-0.000258449j 0.001114+6.93223e-05j 4.64164e-05+0.0003473j -0.00463516-0.000320368j -0.00376543-0.000280708j 0.00105777+4.65903e-05j 0.00607264+0.000127448j -0.00234356-0.000571052j -0.0020672-0.000467562j -0.0017786-0.000736652j -0.000656193-0.000815009j -0.00384229+0.000135816j 0.0051046+0.000124038j 0.0042095+0.000719564j -0.00844512-0.000871657j 0.00273671+0.000432855j -0.0076329-0.00136309j -0.00211194-0.00026618j -0.00149332+0.00057233j 0.00311978+0.0020351j 0.0179417-0.000883711j 0.00071307-0.000262724j 0.00203647-0.000188437j -0.00469824-0.00100679j 0.0168935-0.000713688j -0.0509566-0.00288266j 0.00717163-0.00480743j -0.0114122-0.00263214j 0.00999986-0.00515128j 0.890968-0.00466554j 0.00343082-0.000813551j -0.0239606-0.00277273j 0.00868278-0.00540432j 
0.00394305-0.000104879j -0.00126336+0.000405913j 0.00651324+0.000111201j 0.00160762+0.00027289j -0.00288395-2.74086e-16j 0.00897386+4.93562e-06j -0.00127454+9.86385e-05j 0.0064983+0.000523808j 0.0021213+0.000773825j -0.000909819-4.59164e-06j -0.00583612-5.16213e-05j 0.00127423-6.21581e-06j -0.00276555+0.000254111j -0.0012035-0.000445718j -0.00565061-0.00051443j -0.00351372-0.000305665j -0.00415098+8.67319e-05j -0.00452138-0.000250105j 0.00196629-6.6912e-05j 0.00329251+0.000295599j -0.000173406+0.000181717j 0.000670656+0.00021926j -0.00153288+0.000180235j 0.00155058+0.000344544j -0.00290416-0.000426242j 0.00189626+0.000228671j 0.00566439+0.000816205j 0.00390072-0.000335958j 0.00138239+8.25062e-05j 0.00360883-9.05491e-05j 0.00212655+0.000441625j 0.00479081-0.000396442j 0.00316725-0.000275122j -0.0019293-0.000168985j 0.00210722-0.000169077j 0.00360445+0.000122821j 0.00455671+0.000603349j 0.0030594+0.000233934j -0.00200627+9.55474e-05j 0.00473898+0.000194131j -0.00608683-0.000551745j -0.000766791+7.23548e-05j -0.00319842-0.000322902j -0.00272785-0.000444217j -0.00030335-8.15157e-06j 0.00250845+4.34305e-05j -0.000886654+0.000162494j -0.00831301-0.000136752j -0.00329572-0.000449337j -0.00699608-0.000317643j 0.0021582-0.00086752j -0.000967145-0.000277456j 0.00370692+0.00121326j 0.00667852+0.00110228j 0.00909026-0.000124116j 0.00723306-0.00120398j -0.00265356-0.000693269j -0.00959118-0.000387752j 0.00705282+0.00174198j -0.00464951-0.000941597j 0.00434521+0.000136977j -0.0176086+0.000116839j 0.0131918+0.00129394j -0.0261053-9.67764e-05j 0.00894116-0.000826571j -0.00623058-0.00212132j 0.0306713+0.00177324j -0.00300083+0.000918444j -0.0429388-0.00302825j 0.00340978+0.00311614j 0.0393825+0.0023288j -0.0174871+0.00143918j -0.888593+0.00668921j -0.00253682+0.00509835j 0.00993401+0.00465732j 0.00674091+0.000962467j 0.00118581-0.000743572j 
0.000981608+0.000189334j -0.00624002+0.000196439j -0.00455067-0.000184256j 0.00661212+6.73887e-05j 0.00897386-4.93562e-06j 1.10836e-05+6.32307e-16j 9.65585e-06+0.000210966j -0.00195807-2.26062e-05j 0.000784101+0.000290473j -0.000443948-0.000143353j -0.00443542-0.00021509j 0.00263389+0.000250358j 0.0016318+0.000213395j -0.00410006-0.000334019j 0.00138517-0.000188791j -7.42511e-05-0.000105795j 0.00344614+0.00027686j -0.00968152+2.21566e-05j -0.00217298-0.000398386j -0.00441285-0.00012623j 0.00414856+4.97518e-05j 0.000199537+0.000323252j -0.00149431+0.000317035j -0.0049657+2.06731e-05j 0.00455878+0.000154514j -0.0024199-0.000375117j 0.00224822+0.000425354j -0.00428213-0.000333232j 0.00125601-7.43866e-05j -0.00716685-0.000312735j 0.0052141+0.000382278j -0.00347134-1.10665e-05j -0.00269467-0.000206591j 0.000140287-6.27709e-05j -0.00484741+0.000204605j 0.000413639-0.000125337j 0.000355654+8.71817e-05j 0.000113448-0.000302016j 0.00540133-0.000215457j 6.56121e-05-0.000225193j -0.000280211+5.67417e-05j -0.00565+2.44348e-05j 0.00195833+0.000406837j -0.000515954-0.00010954j -5.58748e-05-4.13116e-05j -0.00552981-0.000306881j -0.00558653+0.000198479j 0.00280314+0.000511158j -0.00997165-0.00124434j -0.00275136-0.000264812j 0.00617868-0.000759361j -0.00268798-0.000130363j 0.00509777+0.00048135j 0.00288649+6.87825e-05j -0.00281067-0.000488359j 0.00479632+0.000826621j 0.00584617+0.000490724j 0.00466125-0.00028959j 0.0171425+0.000266621j -0.0153018-0.00114514j -0.016691+0.000243143j -0.000595104+0.000394302j -0.0161045+0.00054967j -0.0133019-0.000473409j 0.0156154-0.000772026j 0.033082+0.00193563j 0.00260095+0.00179069j -0.0174843-0.00131068j 0.00363091-0.00368694j -0.00653247+5.03724e-05j -0.019683+0.0014313j -0.907195+0.00393554j 0.0113391+0.00158681j -0.000859811+0.00275231j -0.00355186-0.00164975j -0.000756953+0.000601095j 0.00919881+0.000978216j 
-0.0069609+0.000405933j -0.00436477+0.000380353j 0.000513416-0.000311521j -0.00601078+7.16515e-05j -0.00127454-9.86385e-05j 9.65585e-06-0.000210966j -0.00253935+1.53957e-16j 0.00122511+4.30649e-05j -0.00476474+0.000244881j 0.00709038-0.000148282j -0.000683744+0.000248392j 0.00374706-8.56681e-05j -0.0039607-0.000139627j -0.00331313-0.000210642j 0.00410151-0.00050894j -0.00249394-0.000266809j -0.00509123+3.80013e-05j 0.0036218+0.000167452j -0.00478709-0.000301808j -0.00579225+0.000210831j 0.00280018+0.000289584j 0.00339698+0.000584917j -3.86091e-05+7.85188e-06j 0.00166279+0.000293207j -0.00225416-0.00042446j -0.0057967+0.000371453j -0.000140679+0.000395758j -6.22255e-05-0.000585287j 0.00136812-0.000126153j 0.00526851+6.69844e-05j 0.00151377+0.000444793j 0.000284605+0.000348481j -0.00346709-0.00069811j -0.00222123+1.13232e-06j 0.00715893+0.001021j -0.00714485-3.40429e-05j -0.000785325+0.000618632j 0.00755811+0.00070384j 0.0049715+0.00053654j -0.00355357-0.000429975j 0.00759128-5.55215e-05j 0.00078124+0.000380587j -0.00256002-0.000646543j 0.00114827-0.000158026j 0.010595+0.000622481j 0.00197202+9.74844e-05j 0.00296413+0.00045728j 0.0042617+0.000336567j -0.00591295-0.000643576j 0.00929274+2.32695e-05j 0.00364902-0.00112687j 0.0058269+0.000842095j 0.00335763+0.00146171j -0.00237683+0.000477408j 0.00658711+0.000194457j -0.00610179-0.000212647j 0.0166115-0.000406822j -0.0138189-0.00123004j 0.00683635+0.00117078j -0.0014355-0.00103903j 0.0131278+0.000942142j 0.0178367+0.000331453j -0.00699955+0.00175683j -0.00492407+0.000931843j 0.0524496+0.00180199j -0.0173181+0.00195219j 0.0238927+0.00189553j 0.00664276-0.00125262j -0.0161151-0.001916j -0.00827288+0.00240989j -0.894578+0.00548436j 0.0111127+0.0012604j -0.00989676+0.00273468j -0.0115528+0.00492715j 0.0220338+0.00199825j -0.00766372+2.22728e-05j -0.00102865-0.000354739j 
-0.00426912+0.000563137j 0.00508098-0.000496158j 0.0031296-0.000280196j 0.00642063-0.000626732j 0.0064983-0.000523808j -0.00195807+2.26062e-05j 0.00122511-4.30649e-05j 0.000800009+1.15576e-16j 0.00280238-0.000572056j 0.00485902-0.000300782j 0.00750024-0.000544122j -0.00551572-0.000184656j -0.000995041-0.000268495j 0.00421388+0.000560893j 0.00392559-0.000155835j -0.00447491+0.000444077j 0.00413834+3.15591e-05j -0.00096008+0.000249408j 0.00794444-8.6823e-05j -0.00268696-0.000391136j 0.00028826-0.000155127j -0.00721643-0.00047721j -0.00416878-0.000212518j -0.00158523-0.00057059j 0.0020961+0.000231193j 0.00875642+3.62313e-05j -0.00592702-0.000783496j -0.0030786+0.00036899j -0.00492847-7.25246e-05j 0.00381453-8.46511e-06j -0.00559729-0.000248894j -0.0103489+0.000493123j -0.00335579+0.000143672j 0.00133553+0.000246919j -0.00943728+0.000474303j 0.00145049+0.000131161j -0.00389418-0.000181226j 0.00561613-0.000193959j -0.00137007+0.000220707j 0.00324477-0.000268737j 0.0078375-0.000522889j 0.0029439+0.000118308j 0.00395525-0.000493716j -0.000502194+1.90875e-05j 0.00613143+0.000698294j 0.00592632-0.000411294j -0.00211312-0.000154693j 0.000154371+0.000377571j -0.00276366+0.00031587j -0.00299752-6.64201e-05j -0.00558267+0.000141856j 0.0031261+0.0001634j 0.0078998+5.15268e-05j 0.00580591+0.000783164j -0.00373608+0.00181614j -0.0124912+3.69846e-05j -0.0196394+0.000330697j 0.0110668-0.00152251j 0.00111855+0.00044351j 0.0197757-0.000590578j 0.00493844+0.00119078j 0.014857-0.000231285j -0.0369464+0.000209093j -0.0458691-0.00223265j 0.00416509+0.00413972j -0.011884-0.00100879j 0.00203982+0.00343597j 0.0045253+0.000394792j 0.00813773-0.00413973j -0.904462+0.00389494j 0.00303669+0.00263834j 0.00198879+0.000123841j -0.00507409+0.00357926j 0.0234287+0.00292681j 0.0114968-0.00487883j 0.00178348+0.000982457j -0.00456977+0.000558684j 
-0.000775052+0.000207634j -0.0010275+0.000334371j 0.00697752-0.000420512j 0.00135801-0.000442623j 0.0021213-0.000773825j 0.000784101-0.000290473j -0.00476474-0.000244881j 0.00280238+0.000572056j -0.0101173+2.28333e-16j -0.00127138-5.10618e-05j -0.0025692-0.000429361j -0.00118213-0.000117102j -0.00979711-0.000321604j 0.00196269+0.000283767j 0.0100573-0.000560214j -0.00402249-4.57919e-06j -0.00196946+0.000594503j -0.0125614+0.000490473j 0.00325738-0.000379364j 0.00053792-0.000424401j 0.00458626+7.87591e-05j 0.000724734+9.81896e-05j -0.00264507-0.000105268j -0.00274081-1.9699e-06j 0.00356106-0.000150719j -0.000232525+0.000127101j 0.00272823+0.000124325j 0.00158261-1.77443e-05j -0.00105097+0.000100464j 0.00279849-0.000141481j 0.00179103+0.000207651j 0.00270137+0.000597217j -0.00510813-0.000414438j 0.00245556+1.27293e-05j 0.000921361+0.000648679j -0.000269218+0.000214601j -0.00301323+0.000114075j 0.00632722-0.000275111j -3.87677e-05-0.000289072j 0.00220239-0.000493771j 0.00802385-0.000572242j 0.000153069+0.000532642j 0.00865945-0.000669099j -0.00189748-0.000404765j -0.00281764+0.00065187j -0.00150477-0.000294525j -0.0119849+0.000300496j -0.0057831+0.000431577j 0.0135794-0.000106884j 0.00319844-9.02044e-05j 0.0167098-0.000615258j 0.0158464-0.000549689j 0.000587588-0.000238475j -0.00425631-0.000103208j 0.0201556+0.000349074j 0.0106756+0.000116757j -0.00775383+0.000311715j -0.0198204-0.000759153j -0.00669081-0.00138187j -0.00555243-0.000393138j -0.004777-0.000429261j 0.0106881-0.0012676j -0.00459775+0.00227749j -0.0164711+0.00344661j 0.0107929-0.00123201j -0.00145864-0.000754607j 0.00074449-0.000133125j -0.0365407+0.0010785j -0.917852+0.00318448j 0.00345542-0.00456698j 0.00908181-0.00217704j 0.000966411-0.00386821j 0.000204544-0.00330204j -0.00468171+0.000369576j 0.00818352+0.000577469j -0.00137254+0.000296225j -0.00353369-0.00139087j 
0.0026131+0.000174052j -0.00199345+0.000212734j 0.00123882+0.000233497j 0.00660398+0.000127904j -0.000909819+4.59164e-06j -0.000443948+0.000143353j 0.00709038+0.000148282j 0.00485902+0.000300782j -0.00127138+5.10618e-05j 0.0117494+1.06143e-15j -0.00611033-0.000142j -0.00241781-7.25433e-05j -0.0019658-0.000636625j -0.000422132+7.67126e-05j -0.00175888-0.000596942j 0.00332442-0.000191997j 0.00244872+9.36436e-05j 0.00517156+0.000297862j -0.00572418-0.000131389j -0.00852123-0.000610805j 0.00414817+0.000310833j -0.00337037-0.000459147j -0.00999899-0.000729379j -0.00401505-0.000268155j 0.00655192+0.000400068j 0.000274466+4.95788e-05j -0.00628134-0.000415983j 0.0012098+5.79251e-06j 0.00281085-7.75939e-06j -0.00156272-0.000116017j 7.49798e-05+0.000206492j 0.00273973+0.000414607j -0.00372759-0.000125603j -0.00810472-1.90893e-05j -0.00199219+0.000729851j -0.00146834-0.000223326j -0.0041367+0.000709576j 0.00545832-0.000828191j 0.000155845-0.000153546j -0.00890606-0.000472762j 0.00677414+0.000429289j -0.00678842-4.07135e-05j -0.000771463-0.00103417j 0.00819076+0.000905085j -0.00738995+0.000134585j -0.00354147+0.000596519j -0.00454669-0.000375489j 0.000220766+4.40162e-05j 0.00578371+0.000866042j -0.0128129-0.000531845j 0.0014709+0.000664946j -0.0180742-9.78977e-05j -0.0158933-9.31051e-05j 0.0108097-6.86321e-05j 0.0129589+0.000827404j -0.00663176+0.000871886j 0.0113691-0.000527515j 0.00104031-0.00171145j 0.0332012+0.00170866j 0.0202106-0.00067426j 0.0206517+4.88248e-05j -0.0129374+0.000879191j -0.0281732+0.000625875j -0.036371-0.00244011j 0.0072839-0.000421032j -0.00128451-0.000505509j 0.0595472-0.000489813j -0.92171+0.00329494j 0.0281661+0.00117532j 0.00870917+0.000129596j 0.00297653-0.00131164j 0.0037126-0.00133943j 0.00908484+0.000858079j 0.00406153+0.000818449j 0.00175177+0.000429633j 0.00477871+0.00148954j -3.07462e-05-0.000179087j 
0.00203802-0.000395656j 0.00514073-1.67636e-06j 0.00515787+0.000476194j -0.00495055+0.000103183j -0.00583612+5.16213e-05j -0.00443542+0.00021509j -0.000683744-0.000248392j 0.00750024+0.000544122j -0.0025692+0.000429361j -0.00611033+0.000142j -0.00951063-1.42486e-15j 0.00287017+0.000305302j -0.00574579-0.000312682j -0.00280784-0.000582909j -0.00518968-0.00018434j 0.000168802-0.000529962j 0.00718168+1.64213e-05j 0.00262962-0.000376405j -0.00577072-4.5545e-05j -0.000979785+0.000301079j 0.00522816+0.000586975j 0.00399342+0.0002552j 0.000924142-6.3697e-05j -0.0011147+0.000157826j 0.00935606+0.0003109j -0.0049382-5.23582e-06j 0.000678997+0.000689771j 0.00021093-0.000204239j -0.00611826+1.62379e-05j 0.00249674+0.000188028j 0.00304922+0.000428648j 0.00270808-0.000509005j -0.0040596-0.000513252j -0.000197274-0.000473807j 0.00139854-0.000321172j -0.00200677-0.000198474j -0.00250714+0.000506263j -0.00211939+0.000831548j -0.0148548-1.45047e-06j -0.00800275+0.000131583j -0.00989935+0.000350156j 0.00584212-6.55578e-06j -0.000902014+0.000408362j -0.017218-0.000284426j 0.00211897+0.000107156j -0.00168251+0.000386452j 0.00167932-0.000214038j -0.00137458-0.000244226j 0.00862346-0.000397458j -0.00156531-0.000491964j -0.0196068-0.000810435j -0.00172077-3.58975e-05j -0.0129967+0.00142846j -0.000467763+0.00101591j 0.00748403-0.000605411j -0.0120409-0.00135335j -0.0148993-0.00146187j -0.0356798-0.000560674j 0.00731179-0.000463726j -0.0269968-0.000707383j 0.000779191-0.00212912j 0.00411844+0.000375532j 0.030908-7.07063e-05j 0.0093988-0.00148708j -0.0375837+0.000259832j -0.0704977-7.43563e-05j -0.919782+0.00378835j -0.0509663-0.000127982j 0.00422317-0.000365177j -0.00834741+0.00372837j -0.00346613+0.00204733j -0.0115192+0.00188942j 0.0103175+0.00180075j 0.00129644+0.000516538j 0.00436638+0.00167426j 0.00142191-0.000143371j -0.00460352-0.000939964j 
