0.023957-0.0211039j 0.00523232-0.0315029j -0.0700959+0.0749823j -0.0256225+0.00326398j 0.00201392-0.024155j 0.0246586+0.00786878j -0.00958057-0.0566113j 0.0551513+0.00970118j 0.0199759+0.0588733j -0.021915+0.00669266j -0.0048688-0.00379117j -0.00247453+0.0231939j -0.0146641-0.00832239j -0.0293447+0.0192842j 0.0248857-0.00102158j 0.00042322-0.0135196j -0.00556402-0.00768416j 0.014887-0.0243637j -0.067593-0.0142801j 0.0610851-0.0148573j -0.00235163-0.025134j -0.0132798-0.00253051j 0.00856924+0.00317836j 0.0121013-0.00656082j 0.039084+0.00455593j 0.0101736-0.00248028j -0.0102783-0.0105919j -0.0440269+0.044235j 0.0348964-0.0204597j 0.0110661-0.0490394j 0.001635-0.0300384j 0.0454868+0.0332831j 0.0416041+0.00613414j 0.00470903-0.0207274j -0.00877434+0.038311j 0.0153995+0.00708188j 0.0142288+0.00118374j -0.00295589-0.0234906j 0.0163264+0.040547j 0.0437879-0.0143686j -0.0104702+0.00757696j 0.0151065-0.00832682j -0.00987587+0.00569768j 0.032936-0.0285843j -0.0236533+0.00485913j -0.0695138+0.0170978j -0.0213564-0.0042412j 0.0245838-0.00982348j -0.00582109+0.00145394j -0.0372865+0.0147742j 0.0197715-0.0127574j -0.014313+0.0213686j 0.0296442-0.0313884j -0.0226942+0.0131802j 0.0411948+0.0134297j 0.042198+0.0175471j 0.0140235-0.0308948j 0.0483873+0.0168902j -0.0135193-0.0272567j 0.00319654-0.0111495j 0.00453366+0.0306977j -0.0287577+0.00474762j -0.00387955-0.032114j -0.0510979-0.0133993j -0.0274561-0.0271229j 0.0025212-0.032551j -0.000949109-0.00206586j -0.00359713-0.00829812j -0.00297313+0.0146037j -0.0351969+0.0296594j -0.0144323-0.0218961j 0.00194185-0.0686581j -0.00474783+0.00158293j 0.00433431+0.0165843j -0.0491419-0.0157767j 0.0325817+0.0127854j 0.0347705-0.00845253j 0.0091535-0.0657601j -0.0164559-0.0252094j -0.0270713+0.0590508j 0.0405155+0.00769372j -0.0479504-0.0481765j 0.0308331-0.0409625j -0.0718632-0.0542489j 0.00752351-0.0229183j 0.00258294+0.023515j -0.0291471-0.030782j 0.0401119-0.0469088j 0.112416+0.0164622j -0.00112865+0.0193169j -0.0192097-0.0165869j 0.0186262+0.11375j -0.178744+0.00252006j 0.00074597+0.016419j 0.0254973-0.00954402j 
0.00806361-0.0304485j -0.0230516+0.0076071j -0.0631239-0.00818823j 0.0120767-0.0537823j 0.0315086+0.00650874j 0.0116624+0.0131367j 0.0594844-0.00386788j 0.0297511+0.00843231j -0.0117488+0.0366446j 0.00142112-0.0326852j -0.0161377-0.0254515j 0.00930508+0.0140107j -0.00738841+0.0292121j 0.0132934+0.0155137j 0.0323115-0.000750497j -0.00193388-0.0175515j -0.00661021+0.0134122j 0.00674566-0.0174542j -0.0170139-0.00906425j -0.010219+0.00177165j 0.0055024+0.00140637j -0.00897906+0.0158375j -0.0093889+0.0166938j -0.00328516-0.0154606j 0.00942167+0.0115989j 0.0294041+0.0293794j -0.029843-0.0511202j 0.007173-0.0371412j -0.00652789+0.020083j -0.0327024-0.00580591j -0.0164052+0.0362763j 0.0447136-0.023332j -0.0319382-0.0352532j -0.0137007-0.0213755j -0.00357262+0.0162253j -0.0055702-0.00381153j 0.00863961+0.0222584j 0.00645709-0.0208927j 0.0339046+0.00231121j -0.00387072-0.0540065j -0.00141231+0.0207823j -0.0111136+0.010388j -0.0019002-0.0174846j 0.00821275-0.0206396j -0.00749882-0.000372811j -0.0243877-0.00542479j 0.0153677+0.00837782j -0.0317362-0.0124527j 0.00882729-0.00488132j 0.0410903+0.00208577j 0.0175015-0.00628987j -0.00148324-0.0120799j -0.0106837+0.0305734j -0.00650905-0.000844655j -0.00202569-0.0217329j 0.0159064-0.0490717j 0.00808708-0.0351047j -0.0050405-0.0363915j 0.0217919-0.0139786j 0.0836363+0.0282471j 0.0168574+0.00996339j 0.0405829-0.0261257j 0.0191219+0.0254694j 0.0147128+0.0305291j -0.0322167-0.0187483j -0.0176009+0.0164777j -0.0247972+0.00317043j 0.0137266+0.00623261j 0.0155108+0.0167465j 0.0349109+0.00197405j 5.24076e-05+0.0021741j -0.0815901+0.00894052j -0.0183674+0.00859859j -0.00261264+0.00934639j -0.0329799+0.0393556j 0.00123544-0.0541382j 0.0461166+0.0390312j -0.00196932+0.0157935j -0.00306603-0.0143442j -0.00446296-0.0204577j -0.0406007+0.0387734j 0.00948459+0.00780682j 0.0387799+0.0279002j 0.0646733-0.045735j 0.0238564+0.00852056j -0.0275393-0.00827922j 0.0354403-0.0139263j 0.0155186-0.0606137j 0.00968034+0.105782j -0.0274742+0.00196483j 0.0156412-0.0167086j -0.146112+0.0091193j -0.0189068-0.130207j -0.0130134+0.0183102j -0.000943793+0.0345866j 
-0.0127134+0.0154536j 0.0132883+0.00405529j 0.0836756+0.0685149j -0.0375635+0.0452529j -0.0372389-0.0113839j 0.0446825-0.00550531j -0.0680946-0.190638j -0.0762149+0.0436194j 0.0385191-0.0184918j -0.00106435+0.119174j 0.117021-0.0324405j -0.00790877-0.100789j 0.068761-0.151578j -0.15999-0.111659j -0.0516957+0.15412j 0.0780707+0.0462396j -0.0207646-0.0508665j 0.0239055+0.182443j 0.0123269+0.0941805j 0.0681463-0.10423j 0.00489641-0.0794471j -0.00905128-0.0540573j -0.008264-0.0515119j 0.0230369-0.027114j -0.0635654-0.0344372j -0.0741453-0.0257687j -0.00847347+0.0150334j -0.0558699+0.0318409j -0.0139118-0.00328051j 0.0148033-0.0152376j 0.0257325-0.039036j -0.0348809+0.0714888j 0.0196641+0.0830679j 0.071669+0.00689067j 0.00640844-0.0176463j -0.0379522-0.00178373j 0.0180579+0.00160422j 0.00526773+0.0302821j -0.0442201-0.0109494j 0.0535635+0.0201745j 0.0233276-0.0260737j 0.0147421-0.00123383j -0.0303076-0.0263322j -0.0374637+0.0222505j 0.0555291+0.0216324j 0.0209342+0.0382666j 0.0146457+0.0161625j -0.0144817+0.0300638j 0.00174804+0.00565969j -0.0404967+0.0467709j -0.052759+0.00560364j -0.00147909+0.0135965j -0.0463902-0.0248345j 0.0279784+0.0184038j -0.00960656+0.00664344j 0.0442917+0.018583j -0.0207714+0.0184095j -0.0485145-0.040195j 0.0180803-0.0107048j -0.0346846+0.0108446j 0.00132214+0.00397456j -0.014158+0.0140103j -0.032872+0.011126j 0.0203868-0.0200669j 0.0851713+0.0256938j 0.00307533+0.0164966j -0.0141521-0.0265541j -0.0173438+0.00870257j -0.0556883+0.0241643j -0.00800775-0.0168252j -0.0204938-0.0454834j 0.00246014+0.0312593j -0.032177+0.0423487j 0.0387313-0.0336617j 0.0205758-0.0419991j -0.0170579-0.0327502j 0.0329874+0.000970752j 0.00415494-0.016297j 0.0159264+0.0404095j 0.00585767+0.0342014j -0.0677163+0.032515j 0.104259+0.00642064j -0.0634548-0.0178156j 0.00974377-0.0697944j 0.0511996-0.0604635j -0.0697877+0.0064595j -0.0185096-0.0774493j -0.125903-0.00667709j -0.0121212-0.0533573j 0.0059518+0.0175981j -0.0147288+0.000366106j -0.0109502+0.0540222j 0.0305583+0.0460486j -0.0108926-0.000893975j -0.0088335+0.00477219j 
-0.0322582-0.0148667j -0.0253148+0.0286299j 0.170978-0.0023897j 0.0232474-0.0102054j -0.130425+0.0372714j -0.027412+0.0811065j -0.0711833+0.109335j -0.0479465-0.154349j -0.106947-0.214975j 0.179807-0.0447579j -0.142539+0.167366j -0.148817-0.0949551j 0.238925-0.0080104j 0.106694-0.0548033j -0.11142-0.132029j -0.10129+0.0139236j 0.1155-0.0859059j 0.219276+0.0662392j 0.160812-0.068721j -0.175625+0.278139j -0.0909266+0.115599j 0.154174+0.0412285j 0.0160019-0.0361992j 0.0786874+0.00616992j -0.0398919-0.044273j 0.0101698-0.0624208j 0.0188446+0.0133326j 0.00518729+0.0126512j -0.000916385+0.0552687j 0.0237938+0.0617445j 0.00755978+0.0628947j -0.0318387-0.0124338j -0.000372707-0.0274853j -0.0255836+0.0443477j 0.0929834-0.00627355j 0.0528335+0.0338618j 0.0356702+0.00334346j 0.0614741+0.0380158j -0.0564462-0.0164925j -0.0528595+0.013756j -0.00982623+0.0240474j 0.0331417+0.00991006j 0.0165732+0.0354606j 0.00477565+0.0179474j -0.006788-0.00243329j 0.0472701-0.0012562j 0.0435608-0.0489037j -0.00136284-0.0245314j -0.0243696+0.0314595j 0.00767401-0.0161663j 0.0466859-0.00828103j 0.00477523-3.43065e-05j 0.0201221+0.0235743j 0.0573423-0.00690949j -0.0126251-0.0166288j -0.0346647-0.00491112j 0.0278542+0.00402881j -0.045068+0.0292275j 0.0140111+0.00789314j -0.0516188-0.0078946j 0.0192487-0.0449899j 0.0466879+0.0219497j 0.0140787+0.00534034j 0.0473647+0.012385j -0.0125496+0.00494678j 0.0347615+0.0153765j -0.0139836-0.0376897j 0.000137829+0.00933176j -0.0317929-0.0285329j 0.0179217+0.0335228j -0.0109981-0.0112172j 0.0105617+0.0410374j 0.090774+0.028942j 0.0201501-0.0139749j -0.0251547-0.00694186j -0.0185063-0.0135004j -0.0479924+0.0212425j -0.0107024+0.0119339j 0.0173911+0.00868199j -0.00886043-0.00123403j -0.0229327+0.0187084j 0.0218255+0.047692j -0.00664072+0.0356319j -0.00923055+0.039161j -0.101324-0.0108586j -0.0283213+0.019672j 5.39656e-05-0.0169905j -0.00656044+0.0187023j -0.0315838-0.00186228j 0.0158855-0.0078966j 0.00570254-0.0060079j -0.00630951-0.00156493j 0.0583357-0.0189858j -0.00252581+0.031772j -0.00412749+0.0126064j 
-0.0108812+8.44853e-05j 0.00266959+0.0115563j -0.0357757-0.0115291j -0.00251956+0.0376829j -0.0711776-0.0321099j -0.00413695+0.0220256j -0.171039-0.146805j -0.00133032+0.0392762j -0.180249+0.0976971j 0.108126+0.0928848j -0.0414931+0.0946803j 0.282495-0.0115478j 0.0447317+0.0170047j -0.333923-0.3033j -0.129657+0.134059j -0.0795412+0.228295j 0.113151-0.00727068j 0.29027+0.141015j 0.131584+0.137618j 0.0749591-0.1421j -0.0157388-0.163444j -0.0207629-0.0126973j 0.0539426-0.0932748j 0.0897088+0.0433188j -0.0357584+0.000754626j -0.0406326-0.0820142j -0.018517-0.0906546j -0.0179541+0.0478891j 0.0535393-0.0228358j -0.00579473-0.00379288j 0.00403358-0.0698596j -0.0219868+0.0083754j -0.0154227-0.0245651j -0.0913631-0.00795493j -0.0473361+0.0485742j 0.0478138+0.0273466j -0.00493367-0.0241729j -0.0127255-0.0543109j -0.0164352-0.0554337j -0.0200396+0.0396844j 0.0213225+0.0401895j -0.0116279-0.0232429j 0.00962784+0.0351893j 0.00607702+0.00162959j 0.0188868+0.0264712j -0.00644382-0.0336779j -0.0309863-0.0366742j 0.0511625+0.0170257j 0.0212615-0.0124512j 0.00242013+0.0564771j 0.00326892+0.0684954j -0.0248922-0.00480523j 0.00887363+0.00717598j 0.00788113+0.0152431j 0.0335005+0.0151578j 0.00638875+0.0316955j 0.0247549+0.0319877j 0.0624146-0.0269675j -0.0189647+0.011645j 0.0293349+0.0101094j -0.0385352-0.0140764j 0.0119769+0.0353879j -0.0262077-0.0164466j 0.00616333+0.0263574j -0.0731592+0.0102523j -0.0172308-0.0089142j -0.0419689-0.0104667j 0.0133641-0.00757424j 0.02398+0.00795999j -0.00491273-0.00180776j 0.020135-0.0279267j 0.00633264-0.0025288j -0.00992807+0.00609298j -0.0261445+0.021989j 0.0110551-0.0351799j -0.0292438-0.0320071j -0.0153977-0.0404895j 0.0173668+0.00870508j 0.0207295-0.00415228j 0.0177802+0.0334447j 0.0452905-0.0388638j -0.0666785-0.0618714j 0.0327226+0.0298139j -0.0635402+0.0352062j 0.000863459-0.0407598j 0.0332009-9.27076e-05j -0.025151+0.0357326j 0.0725501+0.0498705j -0.0155069-0.00286847j 0.00625877-0.00840931j -0.00112181+0.00942768j 0.0281824-0.0350741j -0.00766917+0.013266j 0.00664995-0.00832162j 0.0087949+0.0116194j 
0.0186401-0.0102005j -0.0146091-0.0187745j 0.00632989-0.083433j -0.0514143-0.00816622j 0.00528089-0.0419201j -0.0816776-0.0265974j -0.140525+0.204225j 0.0566658+0.0045279j -0.0480582+0.221059j -0.0118598-0.127713j -0.181774+0.124358j 0.354848+0.215204j -0.176778+0.322675j -0.00961558-0.0725825j -0.0319187-0.149521j -0.259528+0.130827j 0.0692781+0.153143j 0.0916314-0.299614j 0.081916-0.0782917j -0.063398-0.00816033j 0.0726288-0.0218299j -0.108592+0.0319135j 0.176159+0.00978829j -0.0662582+0.155888j -0.080882+0.0530297j -0.0652209+0.0528787j -0.0272132+0.100742j 0.0348226-0.0322017j -0.012466+0.00262335j 0.0264197+0.018627j -0.0566451-0.0415738j 0.00675382+0.0181678j -0.024541+0.0392261j -0.00484369-0.0378545j 0.00743644-0.102579j -0.0199642-0.03889j -0.0236101+0.0113339j 0.0389855-0.0271733j -0.0174034+0.0269759j 0.0296221+0.000257664j 0.0129425-0.0265696j 0.00649194+0.0178671j -0.0163549+0.00258682j 0.0165722-0.00678265j 0.0100994-0.0190583j 0.00494195+0.0129568j -0.0160544+0.031327j 0.00192818-0.0148668j 0.00608512-0.00795609j 0.0226604+0.00714093j 0.01203-0.0250724j -0.0129965+0.010004j -0.0458866+0.00199637j 0.017168+0.000165291j -0.00340395+0.00526513j -0.0185591-0.00177049j 0.0218577-0.0336252j 0.00356042+0.00487938j 0.00152337-0.0101144j 0.0077648-0.00797023j 0.0199112-0.00520918j -0.040742-0.00208574j 0.000341375+0.014737j 0.0248267-0.0137013j 0.0490527+0.011214j 0.00473997+0.0106247j -0.0142138-0.00398116j 0.00290392+0.0137664j -0.0217715-0.0221069j -0.0107591-0.0314505j 0.00137652+0.0139061j -0.00920205+0.01619j 0.0239744-0.00565432j 0.0166809+0.0126224j -0.00348678-0.00507726j -0.0300174+0.00742241j -0.00717932+0.0290064j 0.0100628-0.00102852j -0.00424561+0.0316119j 0.0252401-0.0179749j -0.0288779+0.0293788j 0.0377834+0.0252174j -0.0248334-0.0257672j 0.0245733-0.027142j 0.00601734+0.00750993j -0.027495+0.0125379j 0.000940515-0.03919j -0.0477813-0.0411556j -0.00965088-0.00280827j -0.00540702+0.00484127j -0.00182012-0.000576496j -0.0203942+0.0209213j 0.00574755+0.00534525j -0.00633868+0.00302515j -0.00555581-0.00475587j 
0.00550194-0.0222928j -0.0105695-0.00173529j -0.00572493+0.0527732j -0.0249319-0.0253195j -0.0550039-0.0253602j -0.00771655+0.0751227j -0.0326806-0.0161836j 0.0485314-0.0658134j -0.0683849-0.0769989j 0.112127+0.00210136j -0.118778+0.0734088j -0.0735826-0.0777839j 0.181562+0.0222862j 0.0401363-0.0521964j -0.0396766-0.0884599j -0.0694687-0.0284116j 0.0865177-0.0762791j 0.224516+0.051054j 0.0853844-0.107357j -0.080285+0.228573j -0.0570771+0.0473519j 0.102387+0.0236989j 0.0359325-0.0243791j 0.0588776-0.0194729j -0.0241772-0.0184125j -0.017592+0.00274274j -0.03547-0.0137006j -0.0741685+0.0178354j 0.0677705+0.0170691j 0.00390546-0.116778j 0.0464426+0.0469931j 0.14324+0.0882884j 0.06825-0.0569207j 0.00813071-0.0387871j 0.143736-0.00661518j 0.0888885-0.0378014j -0.0193622+0.0498255j 0.0548082-0.0544929j 0.0503471+0.0614116j 0.0744465-0.0864822j 0.0344388+0.0253227j 0.0319676-0.00769007j -0.0662497-0.0497153j -0.0436693-0.047665j -0.0271372+0.00751992j -0.127836+0.0704066j -0.0880809+0.0420515j -0.0281321-0.00938645j 0.0124506-0.000343902j -0.0330223-0.00107451j 0.00324576-0.0439919j 0.0109958-0.0221864j -0.0409924-0.0193303j -0.0205663+0.0118758j 0.0300648-0.00275005j 0.0222121+0.00840867j -0.0369623-0.0520616j -0.00113993-0.0137013j -0.0148942-0.00371782j 0.026069+0.0031162j 0.00541927+0.0262204j -0.0242079-0.02382j -0.0275307-0.0174297j -0.0550882-0.0420971j 0.0283226-0.0214876j -0.0164504-0.0086486j -0.03955-0.000894746j 0.0127712-0.00156528j -0.0230826+0.0433967j -0.0135788-0.0390903j -0.00222784-0.0279672j 0.0176282-0.0434685j -0.0254-0.00509774j -0.00727125+0.0188872j -0.00687731+0.000111706j 0.0326182+0.0242153j 0.0254103-0.010596j -0.0125093-0.013647j -0.0118471+0.0381414j -0.0167148+0.0168108j 0.0123936-0.0276827j -0.031991-0.0159672j -0.017208-0.0600858j 0.0121941-0.049525j 0.0638466-0.0160792j -0.0107546-0.0340438j 0.0404458+0.00521964j 0.00378796-0.0494124j 0.0444803+0.0185166j -0.00933414+0.0106171j -0.00693504-0.0188628j 0.00251463+0.0190648j -0.038893-0.00272454j 0.0146256-0.0240077j -0.0241391+0.00345356j 
-0.00744969-0.010727j -0.0190783+0.00854802j 0.0466137-0.00162227j 0.000679556-0.0126195j -0.0258819+0.00921386j 0.00783104+0.0386515j 0.00328503-0.0793604j -0.071378+0.0296393j -0.00104226+0.0290128j 0.0388471+0.0692247j 0.04999-0.0151326j 0.0693399-0.0356983j 0.0789493-0.029893j -0.117177-0.148855j -0.0437751+0.132797j 0.0134098+0.0556504j -0.00288657-0.0090475j 0.0822026+0.122988j 0.0573664+0.0877597j -0.0220809-0.0597146j -0.0102003-0.0433985j 0.0165682-0.0500968j 0.0275765+0.00169844j -0.00152818-0.0334192j -0.113847-0.0595133j -0.104441+0.049492j -0.0921585-0.130729j 0.0955586-0.124829j -0.0611508+0.0710269j -0.0675498-0.0757753j -0.0768361+0.0968808j 0.160647-0.0689596j -0.106879+0.00319917j 0.0154262-0.050129j 0.0577274-0.0312556j -0.0722106-0.0239093j 0.0315197+0.0313786j 0.0672097+0.0919298j 0.0367039-0.0439364j 0.0079936-0.209758j 0.0557728+0.00811628j -0.0106163+0.0418541j -0.00673135-0.0492939j -0.0203272-0.0170145j -0.0105826-0.0471865j 0.046361-0.0750643j 0.0373208-0.0415488j -0.0767409+0.0236733j 0.00404373-0.0116108j 0.0866136-0.0372138j 0.0721751-0.0525754j -0.0722097-0.0599576j -0.0114886-0.0130259j -0.0382506-0.0208597j -0.0387969+0.053938j -0.0471176-0.0470376j -0.0322812-0.0572284j -0.0505382-0.0193302j 0.0696738-0.0474598j 0.0126064-0.0511798j 0.0297804+0.0104854j 0.00143713-0.0898384j 0.0458706+0.00986801j -0.0124823+0.010917j 0.0536672-0.0262924j 0.0180964+0.0166884j 0.0181269+0.0379746j 0.0383171+0.00536623j -0.0131112+0.0188161j 0.0406092+0.00223038j 0.000967419+0.0429963j -0.0440879-0.00368483j 0.0260256-0.0345226j 0.0421899-0.019851j -0.0458459+0.0437146j 0.0514333-0.0195244j 0.0225978+0.0447686j -0.0368348-0.0152292j 0.0139521+0.00858665j -0.00388226-0.0448521j -0.0450201+0.0666222j 0.0752727+0.0880282j 0.0342731+0.0130778j 0.106624-0.0340307j 0.00464347+0.0874362j 0.0111871+0.0207381j 0.0147729-0.0592141j -0.0303812-0.0659813j 0.0130206+0.0373269j -0.0182859+0.00395336j 0.0184018-0.0142503j -0.0691597+0.0544394j 0.00628526-0.0348759j 0.0146174+0.0173458j 0.00717274-0.0221536j 
-0.0114827+0.0146145j 0.000865189+0.000958123j 0.0684553-0.0186304j 0.0182567+0.00115673j -0.0375143-0.00716736j -0.0206188+0.0151525j -0.0463723+0.0689718j -0.0188426-0.0103024j 0.0183642-0.0613562j 0.0388751-0.027787j -0.0556538+0.053485j -0.054009+0.0087631j 0.0295182+0.0120966j 0.049252+0.0254292j -0.0241286-0.075164j -0.04764-0.00552168j 0.0256861+0.00653574j -0.00398669-0.0236379j 0.0185464-0.0598102j -0.0223029+0.0889803j -0.0146341+0.0425971j -0.0134849+0.0365583j 0.0209076+0.00535956j 0.000754919+0.031088j -0.00142849+0.0436925j 0.0147605-0.0179651j 0.037806+0.0853303j -0.0415938+0.0309322j -0.0206578-0.0545359j 0.0578522-0.00585376j 0.0816507+0.00214561j -0.0744911+0.0910528j 0.0487112+0.0794861j 0.0756627+0.0281532j -0.0307274+0.0451868j 0.0615265-0.0154357j -0.0261404-0.0269597j 0.00060855-0.0246794j -0.0345731+0.0190738j 0.0714454+0.0438415j 0.0169184-0.0212869j -0.00565789+0.0238881j -0.0336449-0.0282949j -0.0371852+0.0156886j 0.00854478+0.0755911j -0.0135105+0.108274j 0.0207874+0.0256469j 0.0742004+0.0329173j 0.0159463+0.0329851j 0.0236972+0.0255084j -0.042709-0.0142305j -0.0241817+0.0331645j -0.0624621-0.00119017j -0.084552+0.0400983j 0.0581855-0.0892141j -0.0224532+0.0347902j -0.0121989+0.0485025j 0.0369325-0.0220835j 0.0613998+0.0625619j 0.00786999-0.013761j -0.010523+0.0363494j 0.0111363-0.0044503j -0.058625+0.00189277j -0.0578922-0.00853191j -0.0128813-0.0476611j -0.0560424-0.00319181j -0.045299+0.0533687j 0.0447358-0.0518501j 0.0625484+0.0601843j 0.0227966-0.01026j 0.0176426+0.00255761j 0.00257114-0.0556304j -0.110239-0.00149441j -0.0688863+0.0255804j -0.0141697-0.0109651j 0.018119-0.0352578j 0.0596774-0.00573818j 0.00531485-0.0220824j 0.0577081-0.0511308j 0.0375612+0.0248416j 0.0243688+0.0127039j 0.0637441-0.0322355j 0.0911229+0.00609492j 0.00666497-0.0415445j 0.0975999+0.0274949j 0.0712354+0.0326718j -0.104646-0.0410997j -0.0230572+0.036552j 0.0245027-0.0707448j -0.00236514+0.00893475j -0.0220794+0.00623849j 0.0353223+0.0289134j -0.0258586+0.0487351j 0.0128381+0.00239506j 0.0140975-0.0190128j 
0.00398129-0.0107648j -0.0180404+0.00298997j 0.0231989-0.0328514j 0.0337136-0.0651384j -0.034477+0.0408418j -0.0150754+0.0565493j -0.049723+0.0943702j 0.0577+0.137694j -0.0561544+0.0725393j -0.0591437+0.0330993j 0.0693711+0.0536151j -0.00492319-0.0202194j -0.00366227-0.00204582j 0.0261336-0.00203891j 0.00117871+0.0150731j 0.0416221-0.0512585j 0.00580352+0.0552861j -0.0797262+0.119924j -0.0204015-0.10896j 0.0463446-0.0245015j -0.0639116-0.00580652j 0.16324+0.0001128j 0.0351558+0.0508358j -0.107553-0.00815301j -0.087187-0.0669148j 0.167419-0.120003j -0.036155+0.0799034j 0.0283493+0.0901311j 0.0258442-0.0373199j -0.0701142+0.101967j -0.102541-0.0670343j 0.0570302-0.0765168j -0.158669+0.0827298j -0.0235739+0.0513972j -0.065709-0.0111592j 0.0207269+0.112172j -0.0799537-0.194862j 0.0430058-0.176918j -0.257662-0.229635j 0.131711-0.134443j -0.118039+0.0993105j 0.299807+0.164525j 0.173091-0.19723j -0.0584263-0.0833582j -0.00171303-0.11448j 0.116117+0.0987655j 0.0149116-0.00445174j 0.161525-0.0261957j 0.0209264-0.0420968j 0.00611685+0.0735831j 0.00789974-0.0237603j -0.0271603+0.0489065j -0.0200869+0.0416535j 0.0188168-0.0153803j -0.0603455-0.0106961j -0.0462154+0.0498195j -0.030649+0.0830051j -0.0514519-0.0122726j -0.0257399-0.0241203j -0.0120389+0.00834976j -0.0303123-0.00101596j -0.0240292+0.0352001j -0.0243514-0.0343735j -0.0442979-0.041025j 0.0187872-0.0222247j -0.0200089-0.00165796j -0.077714-0.0101583j -0.0395175-0.00595596j 0.0324054-0.0141402j 0.0247356-0.0459871j 0.0189642-0.0253299j -0.0336913-0.000129087j 0.0388674+0.00844481j 0.00661131+0.0482215j -0.000241246-0.109454j 0.0014222+0.0209905j -0.0103623+0.0730622j 0.00924777-0.00929413j 0.0259044+0.0297106j -0.0290079-0.0607954j -0.0172936+0.0209954j -0.021181+0.0158734j 0.0316723-0.042134j -0.0569188+0.00122623j 0.00424065+0.00181562j 0.0107772-0.0137606j -0.0242116-0.0606199j 0.0791517-0.0378551j -0.0583143-0.0778515j 0.00927628+0.00746996j 0.00513462-0.0034673j 0.0138317+0.0113139j 0.0358918+0.0192054j 0.0168394+0.00816941j -0.0126692+0.00725137j 
-0.0198865+0.00156911j 0.00403062+0.0154567j 0.0430211+0.0150116j -0.0134941+0.0262782j -0.0464747-0.00887919j 0.017924-0.00952894j -0.123468-0.0113113j 0.0112081+0.0172428j 0.030874+0.0569204j 0.00146718-0.0116708j -0.0172171-0.0283477j 0.00846212+0.0262756j 0.0440207+0.0073387j 0.00757002-0.05028j -0.00240559+0.00184036j -0.0373587-0.0128825j -0.025895+0.0257204j -0.0542818-0.0696278j -0.0236971-0.0259741j 0.0291898+0.0238934j -0.0173695+0.0108286j 0.0169024-0.0536764j 0.0324806+0.0116389j -0.0568953+0.0366241j -0.0135457+0.045309j -0.0691253+0.0840458j -0.0828597+0.0125463j -0.156005-0.0620884j -0.264599-0.0622789j -0.0359987+0.0272504j -0.0458347+0.244837j -0.0272716+0.256201j -0.0273348+0.273601j 0.180004-0.00434193j -0.0267046-0.128166j -0.0666228-0.0689951j 0.041829-0.0992782j -0.0120502+0.18184j -0.0194301+0.0287598j 0.318243-0.190702j 0.0659357-0.0526112j 0.0762547+0.0424745j -0.0998006-0.00499145j -0.0444011+0.047275j 0.071658+0.0175875j 0.0600163+0.0886482j 0.189073+0.039469j -0.036757+0.0393919j -0.0162447+0.00962322j -0.109878-0.00315303j 0.0487028-0.113839j -0.100213+0.0104871j 0.0584988-0.0898282j -0.0345963+0.0554131j 0.0658582+0.0219118j -0.0201193+0.0436347j -0.0596188-0.0411378j -0.0382704+0.0121876j -0.00386845-0.140525j 3.83109e-05+0.0278721j 0.0407056+0.00956626j 0.00542565+0.0469851j 0.0260864-0.0095572j 0.0331958+0.00626488j 0.001896-0.0676031j 0.010406-0.0160326j 0.0241327-0.0513642j -0.0393951-0.00690798j -0.0445814+0.0202127j 0.00898245+0.0299631j -0.000362894+0.0175432j -0.0408264-0.0257447j 0.0125655-0.00810788j 0.0352452-0.0558385j -0.0453619+0.0272837j 0.0691878-0.0526721j -0.0156954-0.0170997j -0.0624733+0.0177028j -0.0152186+0.0162703j 0.000735064+0.0184649j -0.014003+0.00289503j -0.00953313-0.0248158j -0.0294818+0.0157203j -0.0289678+0.00398436j -0.024519-0.00420923j -0.0304131-0.0100747j -0.0190518+0.00413464j -0.0145172+0.00997006j 0.0347486+0.00510129j -0.000701139+0.00417988j 0.00152145+0.000580206j 0.025839+0.0197369j 0.010144-0.00354313j -0.00841666-0.00841664j 0.0110164+0.00944401j 
