-0.00934089+0.010762j -0.0102185-0.00226558j -0.00706453-0.00359847j 0.00106487-0.000881724j -0.00237406-0.0144035j 0.00178547+0.00421251j -0.0019895-0.0123018j -0.00908239+0.00533148j 0.0105447-0.000273083j 0.00337076-0.00229897j 0.00229784+0.000226667j 0.00515076+0.0117215j -0.0047594-0.00740632j -0.00460706+0.00125516j -0.00236964-0.00187062j -0.00216226+0.00038233j -0.00244537+0.00199188j -0.0174085+0.00322138j -0.00845751+0.0037996j -0.0117651+0.00381087j -0.000641453-0.00277035j 0.00393143+0.00362387j 0.0124725-0.00411552j 0.00585241-0.000905164j 0.0053912-0.00786125j 0.00474081-0.00377752j 0.011617-0.00320089j -0.0101469-0.00602225j 0.0188686-0.00201246j -0.0252234+0.000573995j -0.0249861-0.000972445j -0.0222939-0.013154j 0.0310954+0.025705j 0.0102794-0.0490668j 
0.00701073+0.00654981j -0.00870675+0.0126509j -0.0114912+0.0171166j -0.00342354-0.00517519j 0.00113543-0.00446749j 0.00235321-0.00399423j -0.00424515-0.00929984j -0.00227181-0.0197534j -0.00435578+0.00419743j 0.00781046+0.00864565j 0.0172517+0.00238671j -0.00985733+0.00251702j 0.00663169-0.00839907j 0.0016275+0.00274206j 0.0146886+0.000354506j 0.00724881-0.00699461j -0.00100289+0.00246725j 0.00203818-0.00647438j -0.00395355-0.00859772j 0.00263163-0.00397053j 0.00114143+0.00129792j -0.00109188+0.00402695j -0.000953272-0.000795105j -0.000928308+0.000270306j 0.00923672-0.000537033j 0.00100001+0.00485418j 0.00208935+0.00168702j 0.00336781+0.000729378j 0.00335459-0.0080148j -0.0341611-0.00127012j 0.0324831+0.000675218j -0.00479905+0.00387529j 0.013037-0.0473174j -0.0348506-0.0282528j 
-0.00464751-0.00916525j 0.00525869-0.00841308j -0.00135724-0.00113462j -0.00133046+0.0030751j 0.000470455+0.00641198j -0.00155399-0.00177438j -0.0015996+0.0123908j 0.0016766-0.0204579j -0.0119245-0.00397322j -0.00243833+0.000212649j 0.000967073+0.00879508j 0.00782007-0.00719088j 0.00433699+0.00744702j 0.0063461-0.00116667j 0.00929217+0.0031626j -0.0121279+0.0057079j -0.0246475+0.00107513j 0.00570695+0.000470492j -0.0123675+0.00421212j 0.0164929-0.00230924j -0.0075243-0.00240623j -0.00420419+0.00366285j 0.0233396-0.00312654j 0.0120405-0.00140659j -0.00583643-0.00647582j 0.00858278-0.00326113j 0.0153503-0.00254569j -0.0248198-0.00583197j 0.0322658+0.0177578j -0.00114231-0.00686246j 0.0628931+0.00640643j 0.00599935-0.0620075j -0.00783275-0.0423143j -0.00362311-0.0068726j 
0.0144332-0.0165046j 0.0110059+0.00190563j 0.0123488-0.00839134j -0.00172612-0.00687373j 4.64853e-05+0.0171027j -0.00123881-0.00865873j 0.000244228-0.00776381j -0.00127974+0.0198989j 1.46687e-05+0.00560106j -0.00443323+0.00351731j -0.00341722-0.00784656j -0.0106334-0.00978713j 0.000857419+0.00631392j 0.0104686-0.00555264j 0.00698503-0.0090367j 0.0238485-0.0016075j -0.00383772+0.0029871j -0.00390621+0.00230405j 0.00529843+0.00506695j -0.00234884-0.00514778j -0.00291258-0.00031233j 0.00108704+0.00510497j 0.00275449+1.18301e-05j 0.00638562+0.000824325j -0.0143371-0.00109003j 0.00586741+0.00134951j -0.0120411+0.00145712j 0.0151037-0.00463222j -0.000407043+0.0304389j -0.0500382+0.00181315j -0.0040353-0.022662j 0.0127151+0.0158373j -0.00925063-0.0129157j -0.00173856-0.0293339j 
0.00708208+0.0070157j 0.000339044+0.00092146j 0.0119112-0.00713393j 0.00286377+0.000555608j 0.00119228-0.00360863j 0.00833696-0.0152381j 0.00262761+0.0282791j 0.0088291+0.00417925j 0.0228727-0.00126649j 0.000480887-0.00410124j 0.00583832-0.000165823j -0.010173+0.00187893j -0.00463304-0.00161914j 0.0126576+0.0102962j 0.0240318+0.00279022j -0.0134828+0.00170834j -0.0012312-0.00535915j 0.0392042+0.00809608j 0.00341423-0.00137658j 0.0142073+0.00721445j -0.00654124+0.00200651j 0.00912228-0.00101741j 0.00100211+0.00577665j 0.0145249+0.00353848j 0.0385443-0.00556923j -0.0271558+0.0152378j 0.0155325+0.000732566j -0.0122962-0.0282271j -0.00183233-0.0292663j -0.0343852-0.00104751j -0.0202186-0.00482101j -0.00185205+0.0149807j -0.000382834+0.00804541j -0.00733982-0.0445471j 
0.0136663+0.00532198j -0.00524152+0.0075258j 0.00290481-0.00248075j 0.00196653-0.00655455j -0.00452933+0.0102816j -0.00235558+0.0140166j 0.000915772+0.0280576j -0.000317873+0.00919243j -0.0012683-0.0144112j 0.0103275+0.00669653j -0.00182304-0.00908564j -0.00585944+0.00122647j 0.0011601-0.00214473j -0.0319629+0.0030485j -0.0169237-0.00210341j -0.00503022-0.00386364j 0.0101282+0.00472695j 0.0058026-0.000464119j -0.00880628+0.00185487j 0.0261917-0.0121671j 0.0020578-0.00203639j 0.00917343+0.00603718j -0.0325841+0.00122906j -0.0150336+0.00614251j -0.0214435+0.00368953j 0.0433032+0.0226578j 0.0186186+0.00529622j -0.0157289+0.0463994j -0.00199848+0.00293883j -0.00115922+0.0116006j 0.0339894-0.00545975j -0.00391254-0.0280481j -0.0178702-0.0398789j -0.00572754+0.00460289j 
-0.0128518+0.00336544j -0.00445889-0.00601198j -0.00367273-0.00445766j 0.00258545-0.00377839j 0.00217946-0.001623j 0.00307313-0.0422771j 0.000675802+0.00183307j -0.00304356-0.0112723j 0.00462225-0.00121305j -0.00150095+0.00174739j -0.0188529+0.00728028j 0.0026711+0.00535086j -0.00985706-0.000388971j -0.00200899-0.00149626j 0.000765344-0.0101322j -0.0168956-0.0182932j -0.00411556+0.00705793j 0.00453973+0.00210442j -0.0114043+0.00427492j 0.0290284-0.0101424j -0.0030919+0.00191504j 0.0144692+0.015385j -0.023821-0.0123291j 0.0379767-0.0229147j -0.0308904+0.0221295j -0.00637581+0.00954428j -0.0467013-0.0379699j 0.016673-0.00365267j -0.0036812+0.033627j -0.0216648+0.00447098j 0.0025903-0.0078028j -0.00827943+0.0343139j 0.00287012-0.0206301j -0.0022446-0.013703j 
0.0117233-0.0098737j -0.0040494+0.0115616j -0.00360258-0.00255415j 0.00136703-0.012901j -0.00622933+0.00526618j 0.00642941-0.00909867j 0.00704292-0.0343339j 0.00271398+0.00955301j -2.63098e-05+0.00921644j -0.00106546+0.0114521j 0.0170891-0.00348365j -0.0049748-0.00070816j 0.0151517+0.00108169j -0.0344527-0.00883216j -0.0422298-0.00931664j -0.0261391-0.00273847j -0.00803689-0.00236995j -0.015835+0.00325037j -0.00665216+0.00313171j 0.00144894+0.00311985j 0.00417364-0.00484722j 0.00678622+0.00258371j 0.00177756+0.016939j 0.0563246-0.0100854j 0.0191243+0.0134628j -0.00197064+0.0187344j -0.0148493-0.0370565j 0.0041954-0.0444228j -0.0119951+0.014868j -0.00527693+9.05078e-05j 0.00275525-0.00266236j 0.00261845+0.0039362j 0.00345643-0.00127774j 0.00501046+0.00270381j 
-0.00529082+0.00726273j 0.0143073-0.00648963j 0.0121174+0.011977j -0.00460745+0.0239433j -0.000423687-5.24619e-05j 0.00170462-0.00969275j 0.0034379-0.0172744j 0.00574398+0.0220667j -0.0186533+0.0115943j 0.00555148-0.0203734j 0.0301084+0.00151916j 0.0152581-0.00196999j 0.0141513-0.00221902j -0.00147255+0.00107486j -0.00488688-0.00235547j -0.0233042+0.0107076j 0.00802095+0.00778701j 0.0435463-0.00827241j 0.00391101-0.00848395j 0.0280647+0.0177683j 0.00477553+0.00557754j -0.0287748-0.0235463j -0.00788281+0.00154302j 0.0404661-0.0030239j 0.0159623+0.0223528j -0.00407044+0.0216882j 0.0121453-0.0278485j -0.0167773-0.00284666j 0.00550897-0.0128314j 0.0215078+0.00277277j -0.00215525+0.0128198j -0.010174-0.00981969j -0.0156766+0.0147366j 0.00546627+0.0013179j 
-0.0101853-0.00569361j 0.0049212-0.00831516j 0.00779797+0.0105013j 0.00119107+0.0145548j -0.00281388+0.0152965j 0.00402725+0.00417845j 0.00493235-0.0336003j 0.00684492-0.0196358j 0.028454-0.00426689j -0.01252-0.00309268j 0.00672569-0.00489593j 0.00417687-0.000151638j 0.00282354-0.00127761j -0.00137975+0.00769773j -0.0260536+0.000199784j -0.013016-0.00982105j -0.00965514+0.0155161j 0.0156893-0.0148536j -0.0172075+0.031566j -0.00268879+0.00277683j -0.0404753-0.0265824j -0.00637016+0.0144653j -0.0281963+0.00469558j -0.043849+0.0216917j -0.0130492+0.00132659j 0.0314377-0.00683263j 0.0269774+0.0380721j 0.000615704+0.0456992j 0.0129801-0.00313128j 0.000370673+0.0143084j -0.00352537+0.0065558j -0.011507-0.0129826j 0.0085995+0.00150573j 0.00890068-0.0140637j 
0.00166886-0.0256176j 0.0104861+0.00761682j -0.00387378-0.0148461j -0.00230574-0.0104026j -0.006681-0.0117172j 0.00973537+0.00411504j -0.00448961+0.018302j -0.00259437-0.0196182j 0.013549+0.00212006j -0.0208586+0.01517j 0.0167361-0.00638053j -0.0201537-0.00523733j 0.00402924+0.00800199j 0.0241054+0.00105966j -0.00149184-0.00211846j -0.028771-0.00410699j -0.0302996+0.0020694j 0.0173099+0.00218444j 0.00267544+0.0209396j -0.0156989-0.000242672j -0.0211394-0.00332073j 0.00010082-0.00795525j 0.000795971+0.00128534j -0.015933+0.00358217j 0.00503766+0.00267634j -0.0199302-0.0109513j -0.0135219+0.0194047j 0.0122288-0.00566499j -0.00512165+0.00210263j 0.0153304-0.012691j -0.0011906+0.00187271j 0.00559791+0.0196774j -0.00620744+0.00852071j 0.00472731+0.0240367j 
0.000307382-0.00763387j -0.00100312-0.00648743j 0.00742915+0.00775807j 0.00564622-0.00959103j -0.00610554+0.0358455j 0.0037137-0.0131445j 0.00605996-0.0306167j -0.00149014-0.0183669j 0.0183325-0.0222945j -0.0012741+0.0080964j 0.00454302+0.00863562j 0.0056283-0.00566173j 0.00314956+0.00238876j 0.00097781+0.00553675j 0.00256846+0.00039297j 0.024798-0.00486685j 0.00100614-0.00794008j -0.0126497+0.0243492j 0.0111641-0.010617j 0.0121435-0.0108207j 0.00805508+0.00704517j 0.0465535+0.0234364j -0.013136-0.00378955j 0.00885786-0.0103707j 0.0240771-0.00490016j -0.0254799+0.025669j -0.00669477-0.0062252j -0.01934-0.026633j -0.0172748-0.0339921j -0.00646723-0.00839461j 0.000807077-0.0130948j -0.00197734+0.0071118j -0.000187645-0.00836656j -0.00305621+0.00150314j 
