-0.112079-0.2382j 0.112919-0.236132j -0.146581+0.124702j 0.227177+0.000377485j -0.145266-0.124327j 0.064659+0.0778749j -0.0578623-0.0417153j -0.0770643+0.131734j -0.0987685-0.063244j -0.062084-0.0147804j 0.0651225-0.0175548j 0.0961141-0.0616241j 0.0753948+0.132434j 0.0573255-0.040373j -0.0644934+0.0772351j -0.0360231+0.0255931j 0.0310802-0.0109101j -0.058009-0.0741279j 0.0569591-0.0392559j 0.0091034+0.0789621j -0.074768+0.0482946j 0.0144582-0.0775614j -0.0176473-0.0182502j -0.0731258-0.0562968j 0.0066094-0.00101667j 0.099952+0.000903093j -0.00676359-0.00116009j -0.0730464+0.0540622j 0.0180392-0.0245159j 0.0148262+0.07717j 0.0722396+0.0475117j -0.00907456+0.0798336j -0.0566501-0.0388078j 0.0580652-0.0723555j 0.0319432+0.0101574j -0.0353159-0.0251738j 
0.463383-0.125269j -0.468471-0.123753j -0.0419916-0.041113j -0.0264827-0.000205081j -0.0409842+0.041599j 0.00521036-0.118015j -0.146665-0.0218124j -0.0559865-0.0539844j 0.0444267-0.0629129j -0.0549148+0.0914086j 0.0540661+0.0877262j -0.0448771-0.0672385j 0.0545826-0.0544906j 0.146253-0.0213718j -0.00544983-0.118288j 0.121596+0.0302095j -0.020439-0.0713509j 0.0256402+0.0214303j -0.00413287+0.00258935j 0.0616737+0.0644398j -0.0736405-0.0365671j 0.0411506+0.0532378j 0.00993513-0.0221424j 0.0155496-0.0305596j 0.00570852-0.110173j -0.00419679+0.000417965j -0.00483706-0.109468j 0.0143133+0.0332006j -0.0137212-0.0180868j 0.0403845-0.0550034j 0.0744113-0.036452j -0.0597624+0.0628787j 0.0037311+0.00269617j -0.0257176+0.02155j -0.022272+0.0723059j 0.120941-0.0296129j 
-0.0604645+0.0337024j -0.454764+0.382086j 0.0495669-0.0240657j 0.21361+0.206997j 0.110599+0.276464j -0.0341805-0.0173815j -0.0425007-0.0391241j 0.0701364+0.0928901j 0.10574-0.161461j 0.0534056+0.0912346j 0.164711-0.0522025j 0.0239956-0.0126894j -0.047276-0.0169981j 0.0078012+0.16831j 0.17376+0.0558998j 0.0223895-0.00166197j 0.0354539-0.0202477j -0.0128794-0.00251023j 0.0396729+0.0674996j 0.085593-0.00093881j 0.0400392-0.0144456j -0.00177298+0.0124733j 0.0609557-0.0686489j -0.0197497-0.0849394j -0.00272234-0.00460864j -0.0259284-0.0400278j 0.0017512+0.0590365j -0.0110063+0.029969j 0.0141515+0.0326404j -0.0221191+0.015436j 0.0377019+0.061521j -0.0212925-0.0271674j 0.0382+0.0423443j -0.0717308+0.037792j 0.0581628-0.0121069j -0.0202125-0.0146736j 
-0.212903+0.398624j 0.216047+0.39417j -0.116568-0.171784j -0.122528-0.0016857j -0.118081+0.170737j 0.0244812+0.0868885j 0.142535-0.0517874j -0.0731167+0.00146794j 0.10081+0.101772j -0.125073+0.112946j 0.120043+0.117748j -0.108607+0.0981673j 0.0741064+0.00373466j -0.141072-0.0535705j -0.0246367+0.0860655j -0.049265-0.00321434j 0.00324534+0.0451633j -0.0182746+0.0420454j 0.0178722+0.00197988j 0.0155806-0.0333885j -0.051782-0.0522714j 0.0225626+0.0120269j -0.0506214-0.0921594j -0.0386901+0.000299234j -0.0453888-0.00743164j -0.0876068+0.000243776j 0.0439072-0.00727178j -0.0395928+0.000231752j 0.0484744-0.0910048j 0.0266238-0.0205799j 0.0514189-0.0520478j -0.0154815-0.0336682j -0.0171984+0.00136782j 0.0182172+0.0417679j 0.00339308-0.044961j -0.0491894+0.00338943j 
-0.107607-0.441532j 0.285732-0.349153j 0.182158-0.177884j 0.345922+0.0745164j 0.0919921+0.240815j -0.129157+0.0166689j 0.0209584+0.0572689j 0.0574321+0.0955665j 0.0690189-0.0465177j -0.140759+0.0906432j 0.0871593+0.138894j -0.0473468-0.0753831j -0.089746+0.0624518j -0.0459061+0.0436214j 0.110979+0.0678701j 0.0113514-0.0563048j -0.053237-0.0120487j -0.0218546-0.0235064j 0.0364749-0.0611542j -0.058381+0.0258013j 0.0246034+0.000392264j 0.0441421+0.0230928j -0.0504208+0.0225158j 0.0107369+0.0764341j 0.049505-0.03423j 0.0315622+0.00772004j -0.0310325-0.0521302j 0.0430426-0.0634441j 0.0324447+0.0416953j 0.0519706+0.00241784j -0.0231821-0.011836j 0.0417028+0.0488985j -0.00613193-0.0695347j 0.0312998-0.0106581j -0.0529011-0.0138269j -0.0133661+0.056259j 
-0.456857-0.381617j -0.0560073-0.0279113j -0.106898+0.274351j -0.214603+0.2099j -0.0514516-0.0216811j 0.17394-0.0561754j 0.0125865-0.167872j -0.0487849+0.0170996j 0.0299814+0.0179192j 0.163187+0.051539j 0.0580495-0.0856224j 0.104389+0.166019j 0.0691163-0.0930484j -0.0418912+0.0374044j -0.0345004+0.0190356j 0.0222803-0.0147804j -0.0585341-0.0139774j -0.0712398-0.0367799j 0.0404533-0.0411485j -0.023136+0.0269285j 0.0366247-0.0605101j 0.0221184+0.0119731j 0.0129731-0.0334225j 0.00999488+0.0307192j 0.00187118-0.0604236j 0.0256659-0.0389539j -0.00365131+0.00448125j 0.0196914-0.0848761j 0.0613028+0.0676202j 0.00719125+0.0176997j 0.0392055+0.0133239j 0.0849911+0.000459904j 0.0407778-0.0683263j -0.0118764+0.00268408j -0.0345323-0.0205255j -0.0236529-0.00151597j 
0.0389192-0.0404912j -0.107689+0.263528j 0.00931504-0.00624742j 0.0249275+0.0246962j -0.547155+0.00162777j -0.0120228+0.000460049j 0.00462764-0.0407562j -0.015618+0.0500021j -0.0462328+0.00161039j 0.0524731+0.00727256j -0.0645338+0.0547914j -0.129877+0.0845638j 0.0721517-0.0798658j 0.106494+0.0478254j -0.0636754+0.0873199j -0.00454693+0.00142564j 0.00231152-0.0121405j 0.00149716-0.0118564j -0.0342709-0.0352789j -0.00500675+0.0138516j 0.02623+0.0111258j 0.0216097+0.0237232j -0.00380195+0.0131726j -0.000221651-0.0538716j -0.0521425+0.0276577j 0.0521375+0.125588j 0.0335089+0.0440784j 0.037101+0.0216043j -0.0468483-0.0194722j 0.214893-0.138226j -0.0128054-0.0317931j -0.137644-0.018166j 0.0380732-0.120325j -0.0180534-0.00862373j -0.0442276-0.224301j -0.142801-0.107198j 
0.0183827+0.225265j -0.272667-0.247135j -0.0295348+0.0246768j 0.362168+0.0402904j -0.297125+0.0213971j 0.0174768+0.0331773j -0.0808856+0.0805334j 0.104434-0.0702688j 0.103548+0.0444993j -0.0459053+0.0363002j 0.0649338+0.0119357j 0.1445+0.143948j -0.0342508+0.0413399j 0.0698215-0.253077j 0.114504-0.0338583j 0.012564+0.019259j -0.0477462+0.00997505j 0.0154998-0.0170424j 0.0291717+0.0712357j 0.0350239-0.0291228j -0.0182867-0.0444741j -0.132977+0.0358477j 0.0256899-0.0240411j -0.080373+0.0506465j -0.0218642-0.0601487j 0.0241488+0.0736798j 0.00128225+0.090464j -0.0393711+0.0744802j -0.0288559-0.0670962j -0.0263512-0.0181996j -0.0201347+0.0260358j -0.0963115+0.0913554j -0.0131042+0.0957447j -0.00486213+0.131157j 0.00361614+0.0517415j -0.120549+0.0797853j 
0.0765316+0.161849j 0.11751+0.0565811j -0.000897872+0.0225181j 0.255884+0.0609339j -0.0780619-0.0744369j 0.0034449+0.036894j -0.0798663+0.0456673j 0.0656119-0.0443613j 0.0393364+0.0323646j -0.0993267+0.0888677j -0.0554324-0.122567j -0.0218278-0.0211409j 0.0347588+0.0417732j 0.0560463+0.146436j -0.121123+0.118535j -0.0090145+0.0125387j -0.0153331-0.00508745j -0.00945157-0.00861073j 0.0245241+0.04714j 0.00688463-0.029477j -0.00803122-0.0471131j 0.0182518+0.0198724j 0.0915504+0.0459797j -0.0760963+0.0507982j 0.0597963+0.0911754j -0.0769657-0.0493676j -0.0334955+0.0697866j 0.0244604-0.023584j -0.0750904-0.0138016j 0.0516772+0.131911j -0.00532762-0.0973087j -0.0558893+0.0143361j -0.0858211+0.041375j 0.0903364+0.0392509j 0.0881591+0.0670674j 0.0446647-0.0976008j 
-0.224268+0.0286545j 0.227509+0.0292295j 0.117359+0.0445101j 0.00620913+0.000846249j 0.115101-0.0446512j -0.0443009+0.00240465j 0.0787429+0.00722913j -0.060896-0.134292j -0.0390225-0.163693j 0.0988603+0.12359j -0.0988031+0.113368j 0.0414111-0.170731j 0.0636561-0.135044j -0.0791415+0.00954114j 0.041928+0.00420295j -0.000475131-0.00702007j 0.0840715+0.0366269j -0.0621603-0.0282213j 0.0373012+0.100106j -0.0767441+0.0316377j 0.00697275-0.00509873j 0.0316802-0.00603419j 0.072534-0.0390025j 0.0153749+0.0746529j 0.0256149-0.0163518j -0.0811573+0.000594965j -0.0263669-0.0167561j 0.0158443-0.0757668j -0.0746657-0.0386035j 0.0277874+0.00549296j -0.00881311-0.00699373j 0.0748351+0.0323106j -0.0391788+0.102043j 0.0623981-0.0259172j 0.0848832-0.0356359j 0.00182952+0.00524339j 
0.252633+0.141958j -0.253113+0.139174j 0.414293+0.0791716j -0.382385+0.00165726j 0.411608-0.0791521j -0.0998574+0.0962268j -0.150738-0.0480534j 0.0765776+0.00944115j 0.00525582+0.177186j 0.0303286+0.0113679j -0.0307709+0.0176393j -0.000244936+0.175986j -0.0774579+0.0120123j 0.15127-0.0509502j 0.098816+0.0971931j -0.0400332+0.0349324j -0.0723212-0.0573151j 0.0652686-0.054198j 0.026777-0.0093396j -0.0396064+0.0217906j 0.0868338-0.0234672j 0.021619-0.0567867j -0.0252338+0.0223607j -0.0268102+0.0844587j 0.146777-0.0414289j -0.0189074+0.000820206j -0.148876-0.0410413j -0.0246805-0.0842525j 0.0240674+0.0168391j 0.0239004+0.0585605j -0.0887293-0.0254103j 0.0378273+0.0214101j -0.0257326-0.0112967j -0.0627309-0.0556579j -0.0703554+0.0583802j -0.0410756-0.0335796j 
