-0.00400359+0.00901817j 0.0173427+0.0112952j -0.029041-0.00757093j 0.0496185-0.0150197j -0.000605613+0.00484339j 0.0244136-0.029479j -0.0413604-0.0729271j -0.114361-0.216915j -0.118474+0.132396j 0.170507+0.00383126j 0.182335-0.11212j -0.00462461-0.00535766j 0.0107892-0.016688j -0.014801+0.0267856j -0.0119746-0.0282362j -0.00585711-0.014523j -0.0396515+0.00644877j 0.00143108-0.0595977j -0.153668+0.105231j -0.0529881+0.080434j -0.194118-0.0650276j -0.0777049+0.0378944j 0.0512641+0.105023j -0.00353421-0.102834j 0.0643553-0.0808437j 0.0440679+0.16188j 
-0.0263924-0.0111108j -0.0272367+0.0455384j -0.0438655-0.0669251j 0.114703+0.105502j 0.00138286-0.00926307j -0.155216-0.0190746j -0.0960551+0.218267j -0.0588994-0.00421123j -0.195414-0.0542164j 0.164026-0.0989532j -0.0174637+0.057299j 0.0176929-0.0374245j 0.0192995+0.0185949j -0.047078+0.0544984j 0.087508-0.0953288j 0.00987454-0.0680761j 0.0777162+0.095972j -0.166286+0.0265856j -0.0507523+0.0638872j 0.0180995-0.0116534j 0.0267915-0.0163649j 0.018558-0.0705806j -0.0326234-0.0277548j 0.117772-0.0433461j -0.0449949-0.15343j -0.00619137-0.0167012j 
-0.0120695-0.0228481j -0.0251601+0.00565358j -0.0939515-0.0821386j -0.0961829-0.0736829j -0.0251679-0.281003j -0.124581-0.000381967j 0.0236949-0.285953j 0.0959885-0.073849j -0.0967198+0.0833503j 0.0277779+0.00378309j -0.0104667+0.0223708j 0.0138108-0.018691j -0.00557216+0.029541j -0.0196572+0.0659256j 0.10437-0.0242377j -0.164808+0.150727j -0.025709+0.0819262j 0.0529725+0.0912235j -0.0108139+0.00103983j -0.0563665+0.0918567j 0.0254432+0.0815052j 0.163612+0.151307j -0.106203-0.0263565j -0.0178735-0.0654609j -0.00581804-0.0316965j -0.0136734-0.017199j 
0.0253182+0.0626441j 0.155487+0.094826j 0.193099-0.0538695j -0.0552456-0.00637088j -0.0969754-0.218489j 0.161262-0.0170744j 0.00294175+0.00457762j 0.115527-0.110721j 0.0468659-0.0651283j -0.0319573-0.0415489j 0.0270525-0.0146044j -0.00800574+0.0246146j 0.0471934-0.150171j -0.116342-0.044672j -0.0374116+0.0318912j 0.0212791+0.0727663j 0.0297454+0.0121359j 0.02101+0.0118247j 0.0447911+0.0598853j -0.166818-0.0281132j 0.0780933-0.0949355j 0.00869668+0.0702613j 0.0899136+0.0966668j 0.0434315+0.0529523j -0.0171861+0.0235893j 0.0189626+0.0385732j 
0.175734+0.107777j -0.174631-0.00186911j -0.12767-0.12931j 0.11308-0.22062j 0.0443535-0.0683954j 0.0201615+0.0295803j 0.00140416+0.000507256j -0.0534961-0.0110161j -0.0297663+0.0115281j -0.0166427+0.0134077j -0.00479217-0.00872132j -0.0458372+0.158694j 0.0629876+0.0871019j 0.00101611+0.1034j -0.0504334+0.106629j 0.0768734+0.0358153j 0.192828-0.0661611j 0.0551431+0.0813223j -0.154485-0.106165j 0.00352833-0.057551j 0.0362236+0.00876578j 0.00626328-0.0159415j 0.00809993-0.0312021j -0.0171152-0.028305j 0.0115286+0.0163588j 0.00401229-0.00668368j 
-0.00182661-0.0128265j -0.0166883-0.012402j 0.0163792-0.0156455j -0.0308086+0.0357633j 0.00916921-0.0169416j -0.0459147+0.0476751j 0.00626475+0.0300856j -0.0906939+0.131022j 0.060109-0.0706084j 0.351199-0.0502546j 0.426146+0.151486j 0.00213284-0.000364715j 2.87994e-05+0.00288547j -0.00245515-0.0026334j 0.00508283+0.00260584j 0.00238644+0.000595909j 0.00505454+0.00277874j -0.00540573+0.000503905j 0.0143138-0.000384204j 0.00221207-0.00154997j 0.00467391-0.00264112j 0.0224519+0.047784j 0.0139594+0.0222865j 0.0339069-0.0238146j 0.0367362-0.00267148j -0.0331356+0.0221272j 
-0.0177878-0.015351j -0.000749347+0.0401359j -0.020549-0.0728165j 0.0418974+0.0835164j -0.0116387+0.00892865j 0.0230715-0.0355104j -0.0718986+0.0466346j 0.135196-0.124772j 0.388191-0.00612399j -0.380806-0.141739j 0.205827-0.0850298j 0.000499981-0.00467489j 0.00621763+0.000235069j -0.00610864+0.0046274j 0.00275618-0.0120146j 0.0039996-0.00276184j -0.00921647-0.00795625j -0.00012504-0.00126263j -0.0179317-0.0166015j -0.0104056-0.0120177j 0.033173+0.019j -0.0248509+0.0313536j 0.0203497-0.0264191j -0.0471639-0.0126303j -0.0314756+0.0179203j -0.0155362+0.0150641j 
0.00853855+0.0255215j 0.0594223+0.0343461j 0.0173686+0.0724667j -0.0252446-0.0168993j 0.0324909+0.0879689j -0.240595+0.0762371j -0.352803+0.00255048j 0.267933-0.00529228j -0.333457-0.0849969j -0.0773099+0.0747045j -0.0514636-0.0135382j -0.0048882+0.00140207j -0.00149037-0.00894678j 0.00866515+3.78309e-05j 0.00319504+0.00813324j 0.001563-0.00558873j 0.0245581+0.0161298j 0.00250295+0.0414017j -0.0301601-0.00303545j 0.0296009-0.0230541j -0.0191414-0.00733891j 0.000835637+0.0333764j -0.0340953-0.00623268j 0.0265406-0.0186722j 0.00257198+0.00808423j 0.00830873-0.00697673j 
0.0152579+0.0277169j 0.0758474+0.0625135j -0.0477783+0.00422894j 0.285211-0.113419j 0.00800302-0.102439j -0.315037+0.000264263j -0.00363188-0.103261j -0.298679-0.109426j -0.0522729-0.000246461j -0.0702657+0.0663589j 0.00817438-0.0251973j -0.00426846+0.00067558j -0.000494465-0.00959961j 0.00669544+0.00697513j -0.0101072-0.0164875j -0.0313448-0.0178204j 0.0341176-0.000184065j -0.0141151-0.0534642j 0.0131284+0.000262963j 0.0132263-0.0523337j -0.0328878-0.000533896j 0.0311057-0.0203878j 0.0100288-0.0163664j 0.00605737-0.00704077j 0.00182748+0.00871101j 0.00469718-0.000662765j 
-0.0493025+0.0170784j 0.0858834+0.0713778j -0.317964+0.0878119j -0.276338-0.00615423j 0.356223+0.00178016j -0.242968-0.0735509j -0.033882+0.089566j 0.0314943-0.0158498j 0.00911048-0.0712024j -0.0577184+0.0372987j 0.00367291-0.0237263j -0.00935673-0.00570152j -0.000443715-0.00906319j 0.027417+0.0175433j 0.0374976-0.0062191j -0.00152404+0.033854j 0.0185404-0.00634551j -0.028705-0.0218188j -0.0301958+0.0038057j -0.00268167+0.0420655j -0.0235982+0.0160746j -0.0023928-0.00516568j -0.00199501+0.00822459j 0.0088773-0.00123235j 0.000531872+0.00854601j 0.00513093+0.000122464j 
-0.223297-0.0768716j -0.353761+0.148702j -0.401619-0.00409472j 0.13632+0.118248j -0.0663473-0.0478815j -0.0358997-0.0337373j -0.0157665-0.00845897j 0.037123-0.0891113j 0.0178306-0.0746031j -0.00610032-0.03631j 0.0193141-0.0174071j -0.0222132-0.0155596j 0.0308758+0.0149508j 0.0506443-0.0131977j 0.0213695+0.0241564j -0.0247914-0.0331295j 0.0329728-0.0185419j -0.0109307+0.0112639j 0.017204-0.0170735j -0.000513091+0.000417781j -0.0093127+0.00894652j 0.00470091+0.00240312j 0.00387833+0.0110464j 0.00745305+0.00318956j -0.00569973+0.00171748j 0.00187404+0.0043334j 
