-0.183689-0.183308j 0.117669+0.00284501j -0.185096+0.18428j -0.10543+0.177763j -0.0559765-0.025622j -0.191051-0.000186233j 0.05809-0.0241379j 0.105292+0.177514j -0.104188-0.0662437j -0.0170874-0.0270536j 0.0696015-0.109088j 0.0445654-0.0181869j -0.00476885-0.0907157j -0.0894183-0.0266714j 0.052216+0.0491859j 0.0505626-0.0487598j -0.0888999+0.025164j -0.00808743+0.0892094j 0.0458534+0.0208987j 0.0685593+0.109656j -0.0173188+0.0295558j -0.10364+0.0659649j 
-0.0329479-0.0747586j -0.409229+0.0558356j 0.440754+0.144469j -0.00772235+0.00467877j 0.0304683+0.0384457j 0.00229932-0.0588297j -0.0341589-0.00594798j 0.0436302-0.0338555j 0.00621881+0.018439j -0.00294269-0.0681434j 0.0126424-0.0403116j -0.133155+0.0134696j -0.0104583+0.146401j -0.121253-0.120453j 0.00570248+0.000263771j 0.0431208-0.0291861j 0.0503185-0.00761279j 0.00368271+0.02663j -0.0365646-0.0447574j 0.120603-0.0344019j -0.100819+0.01411j -0.00421406-0.115422j 
-0.432997+0.145738j 0.419517+0.0519023j 0.0250612-0.0770174j 0.0448827+0.0334823j -0.0357645+0.0051566j -0.00260509-0.0581673j 0.0293108-0.0388492j -0.00856809-0.00395275j 0.00564946-0.114779j 0.101926+0.0170148j -0.119595-0.033846j 0.040972-0.0439181j -0.00458016+0.024059j -0.0490877-0.00852694j -0.0421165-0.0294015j -0.00746698+0.00246828j 0.121595-0.121072j 0.00788947+0.14647j 0.132487+0.0181691j -0.0147432-0.0382652j 0.00455241-0.0679633j -0.00647979+0.0200565j 
-0.0110889-0.000801992j -0.12311+0.0224313j -0.492198+0.325813j 0.010447+0.00598661j 0.0484918-0.0319504j -0.0344004+0.0504682j -0.207598-0.14066j 0.143197+0.231132j 0.00503296+0.0116226j 0.0281489+0.0101824j 0.0250001-0.00385141j -0.00172498-0.0149574j 0.0112302+0.028846j 0.0143312+0.0346884j 0.127859+0.0739407j -0.0865574+0.192671j -0.0555648-0.0582714j 0.148023-0.0535224j -0.00672409+0.0656009j 0.0278979-0.0819567j 0.0812827+0.140493j -0.166998-0.0188867j 
-0.0399426-0.0100772j -0.174215-0.0956405j -0.389074-0.423447j -0.00616161-0.0229317j -0.113453-0.0393387j 0.000605737+0.0143807j -0.0322123+0.304951j 0.229303-0.245699j 0.0149045-0.00827443j -0.0190163-0.0451044j -0.0175509-0.0284243j -0.0243216+0.0385295j 0.0222909+0.00462025j 0.0247515-0.0217477j 0.105975-0.0801512j 0.141325+0.0691134j -0.101467-0.000434377j -0.034322-0.139705j 0.0126345-0.00676791j -0.0836067-0.0740582j 0.0773826-0.0401745j -0.0171537+0.155178j 
0.0572486-0.0835458j 0.33719-0.347334j 0.0759621-0.203498j -0.03628+0.0567524j 0.186474+0.180106j 0.168358+0.224527j -0.0685028-0.176487j -0.042993-0.0884206j -0.0236855-0.00344142j 0.0530259+0.0961631j 0.0461508+0.0541883j 0.123473-0.0833524j 0.0432419+0.0162088j 0.0603285+0.0652675j 0.058911-0.0643617j 0.0355692+0.0693495j 0.0550094+0.043635j -0.0241614+0.0303931j -0.034865+0.138209j 0.0515679+0.0371203j 0.135087+0.0360069j 0.0227404+0.00864691j 
-0.0817843-0.213439j -0.3365-0.344342j -0.0489835-0.0728415j -0.0419117+0.0947653j -0.0621121+0.169075j -0.16923+0.222609j 0.18815-0.18417j -0.0406501-0.0514092j -0.0263658+0.011294j -0.134667+0.0335209j -0.0517159+0.0382413j 0.0314894+0.135975j 0.024489+0.0348595j -0.0551919+0.0446015j -0.0401776+0.0700349j -0.0604435-0.0672995j -0.059622+0.0646663j -0.0384817+0.0182554j -0.123765-0.0852551j -0.0435385+0.0544356j -0.0541251+0.0950851j 0.0245528-0.007421j 
-0.392932+0.422722j -0.16837+0.0840741j -0.0351304+0.00509627j -0.227452-0.240708j 0.0389732+0.31057j 0.00140444-0.0101934j 0.115708-0.0455464j 0.00337506-0.0242766j -0.0188922-0.154702j 0.0783893+0.0442924j -0.0826139+0.0751188j 0.0160664+0.00449092j -0.032376+0.140262j -0.102407+0.00173815j 0.140235-0.071091j 0.106516+0.0787608j 0.0257685+0.022692j 0.021216-0.00439938j -0.0257851-0.0382867j -0.0163618+0.0297996j -0.0171208+0.0462143j 0.0163026+0.00706638j 
0.495395+0.325048j 0.111848+0.0145567j 0.00715655-0.00239579j 0.135716-0.228979j -0.209699+0.144876j 0.0331666+0.0533246j 0.0521743+0.0302504j 0.0107368-0.00709046j 0.165658-0.0186675j -0.0859785+0.141634j -0.0277081-0.0781438j 0.00848762+0.0695383j -0.147473-0.0497271j 0.0553048-0.0593119j 0.0885427+0.19335j -0.126685+0.0747735j -0.0153716+0.0363248j -0.00959494+0.0277852j -0.00035372-0.0163185j -0.0257167-0.0031323j -0.0291361+0.0120003j -0.00433325+0.0116318j 
-0.00141259+0.00616543j -0.0326801-0.0293621j 0.191464-0.167663j -0.0111999-0.00112093j 0.00454654+0.00129198j -0.0126275-0.0354871j 0.0697244+0.0501405j 0.581696-0.0396648j -0.00416819-0.00215557j -0.00676225+0.00672332j -0.00579391+0.000332171j -0.00514501-0.0106204j -0.000342942-0.0256841j -0.0119237-0.0146492j -0.0167755-0.0528143j -0.0261603+0.000763083j 0.0360288+0.0158408j 0.0489602-0.0597388j -0.0819861+0.109411j 0.110645-0.076196j -0.0492301-0.0298359j -0.0375086+0.0675813j 
0.0302316-0.00917402j -0.106983+0.196363j -0.157061-0.323296j -0.00166938-0.00832962j -0.0936544-0.00116068j -0.00128154-0.0114281j -0.329964-0.00452245j -0.189678+0.0163559j 0.00637974-0.0114426j -0.0266268-0.0215309j 0.000543122-0.0169024j 0.0260852-0.0424741j 0.0674183-0.0342357j -7.35589e-05-0.0534435j 0.0772651-0.0576551j -0.082849-0.0226182j 0.0545233-0.0485861j 0.0895075+0.0158647j -0.139774-0.120698j 0.018907+0.104897j 0.0810089-0.214438j -0.117575+0.0340342j 
