-0.0152238-0.0124048j 0.0410992-0.0127194j -0.0146881+0.0514821j 0.128974+0.203837j -0.0788618+0.192024j 0.165037+0.0151602j -0.195887+0.128821j -0.013307+0.0183724j 0.000260227+0.0319676j 0.0386776-0.0103978j -0.12304+0.138712j 0.0386767+0.0182405j 0.213742+0.00457796j -0.144638-0.0206674j 0.000535377+0.103455j -0.0129315-0.0651567j -0.0663164+0.0687189j -0.0523759-0.183148j 
-0.0155277+0.0474266j -0.15919-0.127171j -0.130599+0.0728689j -0.108666-0.00565698j 0.132038+0.0729527j -0.164426+0.129352j 0.0220904+0.0424193j 0.0157813+0.0138563j 0.0651493-0.150617j 0.128784+0.000676387j 0.00803618-0.0872871j -0.170583+0.0742182j 0.0668522-0.000136758j -0.165939-0.0734317j 0.0065681+0.0829475j -0.131083-0.00139166j -0.0631989-0.151378j -0.0136749+0.020394j 
0.191772+0.12549j 0.168862-0.00921322j 0.0850425+0.189921j 0.130396-0.207696j 0.0131302+0.0470602j 0.0448444+0.00809332j 0.0150885-0.0142427j 0.0531355-0.181261j 0.0644124+0.0745369j 0.00969903-0.0658217j 0.000924591-0.102583j -0.143187+0.0204j 0.211905-0.00451309j 0.0421394-0.0181606j -0.123044-0.14044j -0.0344705-0.00884472j 0.00207093+0.035444j 0.0139342+0.0183191j 
0.010562+0.0100967j -0.0179898+0.020193j 0.025572-0.0492151j 0.0393223-0.114026j 0.0710526-0.0865578j 0.358389-0.0478128j -0.425809-0.1511j 0.0007331-0.00212609j -0.00412075-0.00249775j -0.00645124-0.00169515j 0.0113273-0.00356388j -0.000115525+0.000890681j -0.0053255+0.00660485j 0.00966753+0.0165807j 0.0257616+0.0490056j 0.0271005-0.0297413j -0.0366884-0.000349039j 0.0399809-0.0256051j 
0.0057529-0.0270002j 0.0721798+0.0963599j -0.0577284+0.0022764j -0.22679+0.118941j 0.403447+0.00481398j -0.37741-0.130276j -0.135576+0.0875637j -0.00614368-0.00234662j -0.00566384+0.0105612j 0.0105055+0.0147973j -0.0260394-0.0238386j -0.000441122+0.00209425j -0.0358574-0.0042219j -0.0216388+0.0492488j -0.0129549-0.00112953j -0.0424681-0.0118753j 0.0357205-0.022729j 0.00291661-0.0129722j 
0.039574+0.00800324j 0.0180012+0.0514019j -0.331265+0.0413703j 0.259326+0.000563479j 0.338321+0.0397888j 0.0127532-0.0515603j -0.0380354+0.00993626j -0.00302124-0.00504735j -0.00558452+0.00143069j 0.0220283+0.0184241j 0.0220738+0.0166779j 0.00515681+0.0635435j -0.0280398+5.81781e-05j 0.0058235-0.0640217j 0.0211697-0.0165184j -0.020865+0.018811j 0.00629916+0.000686941j 0.00205177-0.00512319j 
-0.149391-0.0816147j 0.356399-0.135969j 0.411818-0.00562751j 0.234007+0.113491j -0.0687517+0.00129019j -0.0643579+0.100599j 0.0121095+0.0241373j 0.00675721+0.0139992j 0.0360818+0.0208815j -0.0449957+0.0124543j 0.0127384+0.00161123j 0.0218148+0.0490105j 0.03539-0.00391241j 0.000537533+0.00101844j 0.025753-0.0248058j 0.00987165-0.0149187j -0.00761501-0.00902703j -0.00584624+0.003433j 
-0.412561+0.154002j -0.3747-0.0411424j 0.0584069+0.0859733j -0.0461263-0.117821j 0.0269894+0.0483419j 0.0211592+0.0171246j 0.0110093-0.011098j 0.0405193+0.0238818j -0.0410141+0.000107598j 0.0283376+0.0291341j -0.0254286+0.049436j -0.00962011+0.0152225j 0.00472371+0.00668478j 0.000339548+0.000318199j -0.011862-0.00230301j -0.00675927+0.00260329j -0.00350926+0.00305134j 0.00123854+0.00186188j 
0.0130513-0.00174505j -0.0118945+0.000210874j -0.0293765+0.00359474j -0.0340842+0.000431507j 0.0155672-0.0456058j 0.131344+0.00726072j 0.542744-0.2268j -0.00209238+0.0057687j 0.00625676+0.0104381j 0.0137062-0.00227329j -0.0246062+0.0125415j 0.00791443-0.00816534j 0.0322075-0.0201j 0.00131532-0.0176999j 0.0735167-0.0557713j -0.0359347+0.0209965j -0.206009-0.0347873j 0.197025+0.159848j 
0.0115786-0.000499556j 0.0529834-0.0124763j -0.0745565-0.0146487j -0.114948+0.0254355j 0.155108+0.0138368j 0.370814-0.144523j 0.213549+0.182909j 0.0062836+0.0131889j 0.0156948-0.014916j 0.0091843-0.0449419j 0.00290349+0.0619343j -0.0137083-0.00949103j -0.0407111-0.0179897j 0.0293308-0.0133394j -0.120925-0.00819565j -0.175501-0.087567j 0.130763+0.263006j 0.187811-0.0942641j 
0.0010851-0.0141669j 0.0156632+0.000575023j -0.0251644+0.0314063j -0.0266499+0.057648j 0.0128382-0.02418j 0.122766-0.23498j -0.161214-0.463705j -0.010321+0.00682192j -0.0018769+0.00927105j 0.0227675-0.00260676j -0.0325901-0.00346697j 0.00402277+0.00545477j 0.00649716+0.0327359j 0.0360556-0.00216409j 0.039429+0.0763372j -0.115781-0.120693j 0.0398251-0.165947j -0.105301+0.302828j 
0.0103354-0.00973311j -0.0614231-0.0308245j -0.0564888+0.0778922j 0.0746129+0.100168j -0.192907-0.0635701j -0.308283-0.298813j -0.0143734-0.0366482j -0.0148554+0.0118039j 0.0353574+0.0246454j 0.0629443-0.00683646j -0.0595826+0.0217569j -0.00921148-0.0365665j -0.0958332-0.0508152j -0.0658685+0.00856477j -0.00642036-0.0918816j 0.0184854-0.308028j -0.194601+0.242501j 0.0294831+0.129274j 
0.0218595-0.0121497j -0.0233446+0.0893161j -0.119569+0.0431523j -0.0439653-0.0434246j -0.318509+0.292475j -0.0600499+0.208154j -0.00732347+0.082977j -0.0059769+0.00144346j -0.014212+0.0425312j 0.0131425-0.0104788j 0.033931+0.00707672j 0.0146181-0.0612523j -0.116039-0.0875978j -0.151264-0.171884j 0.153079+0.152781j -0.113369-0.0493984j 0.00114567-0.129265j -0.00637977-0.0373079j 
0.0273489+0.0113653j -0.0749674+0.00602758j -0.124754-0.153562j 0.0982383-0.179861j -0.241862-0.322009j -0.044925-0.0506042j -0.0469683+0.0212297j 0.0144909-0.00168576j 0.01855-0.00084685j -0.0506787+0.0269175j -0.0501323-0.0615075j -0.0798522-0.00526193j -0.0481357+0.0769804j -0.0706077+0.186196j 0.065553-0.24021j -0.14678+0.194578j 0.0137355+0.0271751j 0.0113051-0.0436797j 
