-0.0319655+0.00825185j -0.125432+0.137381j 0.146632-0.0596938j 0.058546-0.0141058j -0.0337634+0.0420833j 0.115445-0.0183241j 0.0477524+0.0547786j -0.0731556-0.101211j -0.078209+0.0533174j 0.0628196+0.0453451j 0.0412814-0.0211689j 0.150785-0.338173j 0.387332+0.0576229j -0.201139+0.222032j -0.0414268+0.140557j 
0.122055-0.141251j -0.027433+0.00354106j -0.0267389+0.037934j 0.216199-0.00225839j 0.0109093-0.0304262j 0.101437-0.0102278j -0.092807-0.00795465j 0.0319317+0.092498j -0.0424581-0.0326409j -0.124092+0.10042j -0.0361635-0.0594514j 0.303225-0.0311724j -0.22212+0.309367j -0.0513372+0.141676j 0.221378-0.208112j 
0.00513795+0.137008j 0.00790231-0.0728902j -0.00263375-0.0264184j -0.0469445-0.0100703j 0.00875743-0.00781691j -0.0374405+0.0547497j 0.087839+0.0256687j -0.0559018-0.0412319j -0.00285406+0.0601093j 0.0852341-0.266985j -0.0583075-0.0318112j -0.305497-0.0699399j -0.124347+0.347143j 0.00529329+0.115806j 0.216401+0.170581j 
0.0303646-0.0939294j 0.00625923-0.181309j -0.0707661+0.110893j -0.0958987+0.0450438j 0.0954294-0.0635431j 0.0754892+0.134625j 0.0329812+0.0738446j -0.228512+0.148235j 0.0597739-0.0486295j -0.0965399-0.0398839j 0.155978+0.0509547j -0.12038+0.0128675j 0.0304994+0.0972167j -0.0663769-0.139777j 0.104971-0.0357046j 
-0.0881911-0.0997447j 0.011953+0.0717131j 0.035261+0.0837842j -0.0963717+0.208936j -0.00399858+0.0762313j 0.0791615-0.0408705j -0.13573+0.0148831j -0.000449538+0.0843737j 0.0883004-0.0596217j 0.159004+0.0451394j 0.0644101+0.0988152j 0.0613961-0.120942j -0.0150992+0.115887j 0.156128+0.31197j 0.0911524-0.234331j 
-0.0379115-0.141189j 0.0394235+0.0641497j -0.0202472+0.0727604j 0.000697026+0.0726651j 0.0768432+0.00854738j 0.141831+0.0586731j 0.108832+0.0877169j 0.00500248+0.107885j 0.0160847-0.0297405j -0.275054+0.10374j 0.119084-0.0975758j 0.0749848-0.0139663j 0.139654-0.236407j -0.204986-0.207992j -0.274396+0.0583324j 
0.0546743+0.0651234j -0.0104859+0.0341241j -0.0111416-0.111517j -0.0776345+0.0205006j 0.0381527-0.161768j 0.140928-0.111562j -0.00297523+0.036877j 0.114482-0.0642729j -0.0441668-0.182192j 0.117712+0.245489j 0.170812-0.0964795j -0.153308-0.0118548j -0.284368+0.131814j 0.271001-0.127065j -0.216004-0.283628j 
-0.0768369-0.12136j -0.0229907+0.00752009j -0.0706724+0.0672361j -0.067805+0.0372396j -0.0184797-0.0346435j -0.0378537+0.0609055j 0.032835-0.1332j -0.119813-0.0655818j 0.145696-0.251855j -0.283147-0.0401856j 0.244675-0.0558624j -0.104641-0.265785j 0.0257595+0.125981j -0.16498+0.0111447j 0.00205095+0.0232907j 
0.0593974+0.11046j 0.0600052-0.0424989j 0.0881081+0.0450108j 0.164859+0.0312739j -0.0613932+0.0858232j -0.00122674-0.160178j -0.0899852-0.0997718j -0.0107916-0.148806j 0.0891569-0.154392j 0.0402671-0.136976j 0.184832+0.0690443j 0.156988-0.00478626j 0.115994-0.278925j 0.212451-0.117871j -0.0127153+0.0306379j 
-0.0103128-0.00421628j 0.0382318-0.00689184j 0.0412334+0.109366j -0.101263+0.0438347j 0.21228-0.112183j -0.162936-0.236119j 0.230358-0.100047j 0.168617-0.216935j 0.279657+0.0245324j -0.126203+0.1685j -0.115071+0.268078j 0.131944-0.041907j -0.104982-0.0487252j -0.0163606-0.0335074j -0.0400022+0.0580052j 
0.0441614+0.0481737j -0.0844641-0.000457148j -0.254269-0.128771j 0.243769+0.0860677j 0.096452-0.173179j -0.106963+0.0508099j -0.0544946+0.00981121j -0.298642-0.00160647j -0.0547759-0.00874796j 0.107378+0.0539106j 0.0923599+0.173516j 0.245353-0.0877059j 0.247543-0.125898j 0.0890918-0.000611812j 0.0442232-0.0472429j 
0.0990662-0.0524006j -0.0167438+0.0620538j 0.0675445+0.0945182j 0.0245595+0.208637j 0.0870498+0.210435j 0.0688881-0.377836j 0.0281548+0.0944415j -0.0339434+0.00159033j 0.0269512-0.0930304j -0.0664738-0.371621j 0.0869718-0.217082j 0.0213953-0.207631j -0.070833+0.0994437j 0.0197992+0.061946j 0.0970968+0.04767j 
0.0386701+0.0554959j -0.0122542+0.0352539j -0.102926+0.0500273j -0.134644-0.0407531j 0.113187+0.269469j -0.125049-0.167786j -0.280343+0.0237469j -0.168121-0.217664j -0.228783-0.10388j -0.162448+0.238816j -0.210846-0.115626j 0.0970453+0.0416256j 0.0369377-0.107675j 0.0387622+0.00655934j 0.00751407-0.0039237j 
-0.00697391-0.0293331j -0.212766-0.120203j -0.118575-0.280938j 0.158029-0.00946549j 0.176815-0.0704254j -0.0478689-0.14076j 0.0838613+0.147483j -0.00871083+0.143926j -0.0916194+0.0984837j 0.00236235-0.157563j -0.0641249-0.0866023j 0.166385-0.0238316j -0.0924536+0.0427306j -0.0564889-0.048255j 0.06232-0.113607j 
0.00436228+0.0237794j -0.160696-0.00803878j 0.0282762-0.114735j 0.0989674-0.266775j -0.250312-0.0534164j -0.283554+0.0409414j -0.147185-0.255641j 0.11732-0.070987j -0.0286154-0.135089j -0.0355546-0.0585101j 0.0224561-0.0295192j 0.0673041+0.0374045j -0.0688525-0.0711529j -0.0189424-0.0114683j 0.0758832-0.1201j 
-0.206082+0.287647j -0.279971-0.118586j 0.287065+0.132684j -0.148635+0.0177022j 0.170442+0.0980139j -0.122109+0.240248j -0.04381+0.184183j 0.110535+0.0655043j -0.00845766-0.0368896j -0.140206-0.11844j 0.0377708+0.15693j -0.0758958-0.0247727j 0.0129487-0.112959j 0.0113614+0.0330077j 0.0558767-0.0670147j 
-0.280692-0.0501516j 0.194895-0.204476j -0.135178-0.237019j 0.0751818+0.0134467j 0.120268+0.0972363j 0.268689+0.107471j 0.0170474+0.0317158j 0.0125853-0.104685j 0.106573-0.0880392j -0.145228+0.0543063j 0.0758364-0.0112056j -0.00381217-0.0750019j 0.0168014+0.0732813j -0.0404516+0.0698286j -0.0378125+0.139502j 
0.0960235+0.227393j -0.158751+0.319157j 0.0128102+0.113499j 0.0628813+0.121439j 0.0598205-0.101237j -0.164821+0.0411142j 0.0892779+0.0571734j 0.000511343-0.0785022j -0.137888-0.0116671j -0.0756597-0.0414262j -0.00847399-0.0812175j -0.094272-0.208323j -0.035756+0.0852613j -0.0146208+0.0744533j -0.0879338+0.0946166j 
-0.101872-0.0426769j -0.0699482+0.138325j 0.0303117-0.095568j 0.113569+0.0091036j -0.159267+0.0507157j -0.0984497+0.0340767j -0.0613454-0.0492596j 0.227672+0.151561j -0.0313328+0.0741903j 0.0765853-0.133899j -0.0932174-0.0627316j 0.0987988+0.0449976j -0.0713607-0.113287j 0.00478581+0.177257j -0.0301685-0.102495j 
0.217876-0.171406j -0.00181813+0.109417j 0.127787+0.348493j -0.305676+0.0720058j -0.0544786+0.0291431j -0.0811454-0.266756j -0.00185349-0.0588187j -0.0613441+0.0385225j 0.0881685-0.0277212j 0.0372696+0.0580305j 0.0112468+0.00977277j -0.0482826+0.0104104j 0.00511677-0.0238361j -0.00861496-0.078056j 0.00555902-0.133919j 
0.221372+0.206327j 0.0566474+0.14689j 0.214659+0.309209j 0.307474+0.0395877j -0.0360412+0.0614091j 0.120928+0.100406j -0.0443899+0.0316144j 0.032781-0.0912123j -0.0916961+0.00749511j -0.104478-0.011727j 0.00925231+0.0288316j 0.215891+0.0015658j 0.0206871+0.0362819j 0.0322146+0.00822325j 0.120851+0.14126j 
0.0475332+0.146179j -0.202077-0.220088j 0.389399-0.053254j -0.141891-0.33754j -0.0401713-0.0183342j 0.0666907-0.0411885j 0.0775504+0.0538585j 0.0718827-0.105848j -0.049536+0.0546573j 0.111864+0.017631j 0.0344199+0.0433571j -0.052504-0.0133882j 0.14823+0.0609786j -0.124031-0.136976j 0.0366075+0.0129473j 
