-0.00865295-0.0245336j 0.00929635-0.0377622j -0.00758738+0.0317751j -0.00190067-0.0302474j 0.00591253-0.0189448j 0.000372505+0.0449767j 0.00354241+0.0441306j 0.00454034-0.0299998j 0.000648938+0.0426054j 0.00407945-0.016781j 0.00298503+0.0249669j -0.00103989-0.00263633j 0.00223349+0.0297633j -7.33066e-05-0.0637776j -0.00473607+0.0440998j 0.00185362-0.0142586j 0.000736519-0.0115465j 0.000540013-0.0119964j -0.000122412-0.0294638j -0.000827191-0.0325108j 7.21508e-05+0.000243654j -0.000704031+0.0325782j 0.00156306+0.0279311j -0.000527221-0.0129821j 0.00198671+0.00388821j 0.00238825+0.0401583j 0.00345836-0.0416301j 0.000303924-0.0386804j 0.000760834-0.0207597j 0.00030921-0.0145693j 0.000468195-0.00572704j 0.000647505+0.0151553j -0.00122804+0.0226296j -0.000264717-0.00109651j 0.000748493-0.00410412j -0.0010764+0.0465032j 0.000616405-0.00974497j 0.000796883+0.0054377j 0.00216663-0.0238127j -0.00159662+0.0350935j 0.00160818+0.0361899j 0.00188128+0.0245255j -0.000102957-0.0551839j -0.00181609-0.0305277j 0.000636186+0.0030326j 0.00325855+0.0363306j -0.000458563+0.0161178j 0.00160048-0.0840743j -0.000362592+0.0204236j -0.00275531-0.0283137j -1.26102e-05-0.116062j -0.000907308+0.0429183j -0.00520454+0.000168568j -0.000722756+0.0354143j -0.00493737-0.127815j 0.00141435+0.0100737j -0.00191561+0.049796j 0.00266062+0.101894j -0.00153132-0.024007j -0.00156824+0.00327804j 0.0023817-0.0332636j 0.00190291+0.0713265j -0.00114432-0.00697019j 0.000793955-0.103484j 0.00245611-0.0251227j 0.00396632+0.134472j -0.00213372-0.178075j -0.000830039+0.166796j -0.000891269-0.370834j -0.00105263-0.0914885j 0.00360945+0.191461j -0.00419973-0.213184j -0.0021366+0.187542j 0.000614039-0.342206j -0.000396492-0.130652j -0.00333896-0.25819j -0.00441095-0.103588j -0.00224577+0.0470665j 0.00275076-0.107995j -0.0038451+0.0812154j -0.00707141-0.053284j 0.00279943+0.0995702j -0.00834849+0.0282589j 0.0054981+0.0972021j 0.00302733-0.033051j -0.0175947+0.0104917j 0.00534734+0.0773997j 0.0182605-0.0840815j -0.0349038-0.0105895j 0.00136042-0.07441j -0.0431057-0.0123095j -0.0128613+0.34683j 
-0.00927534+0.0384407j -0.0080979-0.0379155j 0.00226903+0.0326412j -0.00794925+0.0321233j -0.00387735-0.0258622j 0.00723271+0.0250044j 0.00464156-0.0428138j -0.00145687-0.0313144j 0.00376192-0.00362294j -0.00125223-0.0413724j 0.00271533-0.0563482j -0.000220832+0.0061842j 0.000918214-0.0372277j -0.00521422-0.0140128j 0.00223312+0.0507081j -0.00103847-0.0341095j -0.000702197-0.0120615j -8.40354e-06-0.018771j -7.98656e-05+0.0214382j -0.00261433+0.0105101j 0.000614757+0.000643591j 0.00109795+0.025303j 0.00119081-0.00959566j 0.000236554-0.00837103j -0.000478378-0.0438301j 0.0022554-0.0133721j -0.00202896-0.0437253j -0.00344097-0.0358659j -0.000371922+0.00650547j -0.001227-0.0207812j -0.000703062-0.000119584j 0.00140364+0.0134606j 0.000719363+0.0198021j 0.000532491-0.00530306j -0.00130684-0.0191903j 0.00292685+0.0294611j -0.000241716+0.00473703j -0.00019885-0.0311624j -0.00250527-0.0520054j 0.00152317+0.0461915j 0.00167848+0.0135235j 0.000861604-0.0342313j -0.000248749+0.00266953j -0.000591519+0.028344j -0.000137834-0.038609j 0.00157063-0.0420256j 0.00101056-0.0214271j -0.00241172-0.0674126j 0.000848398-0.0133176j -0.0034003+0.023128j -0.00350833-0.0407869j -0.000930609-0.0356572j 0.00220636+0.074905j 0.000341488+0.0374068j -0.00478606+0.0278914j -0.000864483+0.0203155j 0.00207104+0.108206j 0.0028468-0.0748279j -0.00214676+0.0758174j -0.0014044+0.0925605j -0.00390286-0.107173j 0.00138451+0.00552888j 0.00172023+0.0227053j -0.00264714-0.0550598j 0.000464689-0.0140868j 0.00421827+0.096671j -0.0010313+0.296787j 0.000385766+0.106616j 0.00177879+0.198686j -0.000625728-0.256353j -0.00035441+0.243564j -0.000797438-0.351902j -0.00616601-0.319932j 0.00159244+0.114021j 0.000487266-0.0105353j 0.00316322-0.0962445j 0.00616827-0.130169j -0.00065995-0.193868j 0.00487974+0.0532499j -0.00496925+0.0149177j 0.00188394-0.106304j -0.00938258+0.0094644j -0.00696926-0.117164j -0.00537576-0.00777803j 0.000554618-0.0486547j 0.00328066-0.0880537j -0.0302515+0.0425241j 0.0129703+0.0440992j -0.00271184+0.0668716j -0.0306987-0.0075729j -0.0131453+0.343417j 0.041906+0.0137567j 
0.00730599-0.0215013j 0.00821239+0.0106457j -0.000501691+0.0264353j -0.00360071-0.00433549j 0.00072923-0.00813986j -0.00737895-0.0172415j 0.00349473+0.0545286j 0.00574205-0.0653242j -0.00573005-0.00511153j -0.00231211+0.0210182j 0.00583034+0.0536484j -0.000158387+0.0121792j -0.00194973+0.0375531j -0.00228781-0.00335941j -0.00398403+0.0758344j -0.000622094-0.0108826j -0.00480884+0.0471125j 0.00172194-0.0303779j -0.00281073-0.0716757j 1.95396e-05+0.00247218j 0.000209881+0.0239826j -0.00207084+0.0349193j 0.0007175+0.00847641j -0.000791523-0.0710499j -0.00139034+0.0179022j 0.00199133+0.0154536j -0.000390311-0.0793261j 0.00558839+0.0467643j 0.00257303-0.0716762j 0.000920926+0.00433296j -0.00557459-0.0105591j -0.00159883-0.0119788j -0.0024784-0.0403867j 0.00128084+0.0175043j -0.000377923-0.0142803j -0.000394246-0.011219j 0.00403527-0.0127557j -0.0015562+0.0060372j 0.00177846+0.027863j -0.00123929-0.0137974j 0.00325047-0.0125514j -0.00287489+0.116493j 0.000696887-0.132697j -0.00396042+0.0221683j 0.0022436-0.0216072j 0.000862728-0.0866206j 0.00249771-0.00907626j -0.00013335-0.186419j 0.00365583+0.180098j -0.00305136-0.0693927j -0.00107878-0.144632j 0.00413961-0.0420351j -0.0030581-0.0991393j -0.00415099+0.0501715j -0.00204707-0.163417j -0.00392264-0.149935j -0.00127245-0.15714j -0.0104286-0.158583j -0.00168972-0.162349j 0.00117035-0.439901j -0.00768215-0.185324j -0.00454352-0.0821787j 0.00422734+0.0911404j -0.00846763+0.0459576j -0.00486758+0.191616j 0.00393387-0.0124745j -0.00460389-0.00594985j -0.0105895-0.0047189j -0.00445956+0.125932j -0.00885885+0.0117154j 0.00389973+0.068086j 0.00859253-0.00917987j 0.00168311-0.0384949j -0.00307886-0.0223999j 0.00117574-0.102633j -0.00302047-0.00431788j 0.013214+0.0335973j -0.0144617-0.0055448j 0.00604778+0.0106284j -0.00290279-0.00153214j -0.0144881+0.0623654j 0.0163573-0.0427049j -0.00850001-0.0785003j -0.0112135+0.0775757j 0.026779-0.0292245j 0.0221662+0.0594995j 0.00196017+0.0260946j 0.0100436+0.0128908j 0.0504298+0.0515584j -0.0299266+0.285236j 0.000232718-0.00881556j -0.00480929+0.0413785j 
-0.00732816-0.00644962j 0.00719472-0.0212432j 0.00755577+0.0041441j 0.0058043+0.0250722j 0.00259444+0.020493j -0.00404219+0.0508144j 0.00583377-0.0355433j -0.00905522+0.0208115j -0.000489604+0.0627242j 0.00425481+0.0276127j -0.000284413-0.0389017j -0.00107645-0.0227155j 0.00344912+0.00802761j 0.000860755-0.014187j 0.00199258-0.027574j -0.0010436+0.0111917j -0.000630433-0.0184419j -0.00260932-0.00610612j -0.00395064+0.0247067j 0.00249223+0.0118029j -0.000209893-0.00507207j 0.00447615+0.0331977j 0.00204775+0.0154248j -0.00470559-0.00598389j 0.000746087+0.00367215j 0.00039559+0.0241683j -0.000932119+0.0262684j 0.00135386-0.0732723j 0.000352125+0.0197629j -0.000206095+0.00482804j 0.00107307+0.048956j 0.00124345+0.04459j -0.000702763+0.0415802j -0.000494124-0.0432864j 0.00137383-0.0130835j 0.0023692+0.0208054j 0.00137141+0.0117926j 0.00128074-0.0178013j 0.001265-0.0709865j 0.00216532+0.0670633j -0.0024105-0.00715136j 0.000594953+0.0272025j -0.00586107-0.0799109j -0.00285219-0.0408349j -0.000596336+0.037158j -0.000980931+0.00820196j -0.00342508+0.047754j -9.14898e-05+0.0257716j 0.00310638+0.0639915j 0.00366397+0.0431631j -0.00120102-0.222561j 0.00347651-0.0269041j -0.00497254+0.0424549j 0.00175426+0.410432j 0.00573707+0.373888j 0.00590534-0.187996j 0.00474092+0.0353006j 0.000753161-0.174372j 0.0029482-0.176651j 0.00567394+0.132877j -0.000836918-0.0487971j 0.0049049-0.157106j -0.00296787+0.0648892j -0.00140522-0.132388j -0.0088736-0.111667j 0.0028304-0.0458016j 0.00191407-0.0999734j -0.00471938-0.0498679j -0.00678082-0.0410808j -0.00248213-0.013082j -0.00236378-0.0481674j -0.000735971+0.0574229j -0.000514241-0.0473886j -0.00367263-0.0375678j -0.00342045-0.0189659j 0.00435425+0.00634533j -0.000458761+0.0328409j 0.00576629-0.0650514j 0.00988559+0.0214623j -0.0114647+0.0619674j -0.0235216-0.00608208j -0.0228829+0.0184838j 0.0106501-0.0198872j -0.0039295-0.0470315j -4.25923e-05-0.0800336j 0.037324-0.00880572j 0.0388652+0.00144126j 0.0315035+0.000640104j 0.0192552-0.276678j 0.0406944+0.0452563j -0.00220077+0.0377728j -0.00508574+0.0047824j 
0.00371115-0.00980454j 0.00268754+0.00175758j 0.012032-0.00654249j 0.00591124+0.0124295j 0.00503235+0.0292335j -0.0123655+0.0303613j 0.00122943+0.0110149j -0.0047297+0.0348358j 0.00126017+0.0183756j 0.00390662+0.0340588j -0.00469208+0.00554176j 0.00117392-0.00397345j 0.00762914-0.00128993j 0.00280807-0.0355891j 0.00185674-0.0863756j 0.00252422-0.000488429j -0.00478853-0.0439628j -0.000378932-0.0153323j -0.00543759-0.0166511j 0.00747646+0.0359992j -0.00269021-0.00169236j 0.0025682+0.0327895j 0.00229407+0.0358782j 0.00463731-0.0341788j 0.00135043-0.0153088j -0.00483148+0.0654593j -0.000469271+0.0208464j 0.00146865-0.00960801j -0.00137103+0.0697612j 0.00148132-0.0111261j 0.00390954-0.0494042j -0.000393273+0.0371365j 0.00238183+0.0326969j -0.00126968-0.0457222j 0.00227666-0.00174231j -0.00207268+0.0594111j -0.00116592+0.051165j 0.00246064+0.00765943j 0.00171684-0.0310946j 0.000172233+0.0849256j -0.00358524+0.00434855j 0.002868-0.0901979j -0.0048125-0.061525j 0.000420015-0.0925406j 0.00235262+0.185331j -0.00370004-0.0324114j 0.0104328+0.166044j 0.00422772+0.206337j -0.000325642+0.0505406j 0.000168888+0.217963j -0.00149373+0.00729112j 0.00942847+0.439829j -0.00386206+0.2528j 0.00878796-0.0880498j 0.0086263-0.0389763j 0.00774043-0.0678451j 0.00259258-0.0339098j 0.00217869+0.0231858j 0.00114383-0.0285254j -0.00893384-0.117524j -0.00200518-0.0362175j 0.00377385-0.0609129j -0.000796716+0.0187473j 0.00515258+0.0147952j -0.00911766-0.031229j -0.0058919-0.121142j 0.00533426+0.0394785j -0.00933873+0.121607j 6.89401e-06+0.00201256j 0.00242281+0.00411546j -0.00503043+0.0252316j -0.00329802-0.0247185j 0.0063416+0.0161366j -0.00289308+0.016239j -0.0135972+0.0358238j 0.014766-0.0435818j -0.0324258-0.00646027j 0.0179234-0.00604874j 0.0181191-0.0531545j 0.00583169+0.0825654j 0.00495601-0.0219061j 0.00248352-0.0382972j -0.0154782+0.0416519j -0.0135686+0.0171307j 0.0441287+0.0116765j -0.018075-0.000910578j 0.0274559+0.0185639j -0.0303105+0.216893j 0.0157951-0.0326219j 0.000454011-0.0282035j 0.00861593-0.0197413j 0.00680141+0.03401j 
0.00681478-0.0168383j 0.00863544-0.00400962j -0.00527481+0.00274464j 0.00881929-0.0333565j 0.0117389-0.0238999j 0.00420243+0.0387727j 0.00540013+0.0239205j 0.00367863-0.00109132j 0.000535451-0.00112096j 0.000207801+0.0178093j -0.00258797+0.0615355j 0.00579112-0.00230131j 0.00589125-0.004055j 0.00074076-0.0473595j -0.00814176-0.00869247j 0.00209255+0.00503379j 0.000777581+0.0281172j -0.00342435+0.00265773j -0.0079894-0.000251356j 0.00267571-0.0727674j -0.00577706+0.0122699j 0.00343531-0.016515j 0.00199482+0.0342808j 3.36886e-05-0.00917377j 0.00373669+0.0203735j 0.00131828+0.0855332j 0.00157264-0.0229729j -0.00224987+0.00241127j -0.00361109-0.0131387j -0.00275195-0.0160723j -0.00178775-0.0728744j -0.000419202+0.00401074j 0.00522736-0.0173843j -0.00452275+0.00349868j 0.00491714+0.0483741j -0.000550654+0.112791j -0.00129151+0.0273589j 0.00271528+0.00699318j 0.0040606+0.0386185j 0.00195554+0.0653405j -0.00136819+0.109086j -0.00228976-0.00395753j -0.00541898-0.253522j 0.00323597+0.00197033j 0.00496637-0.0114918j 0.00603719+0.200815j -0.000315482-0.273698j 0.00705706-0.0718387j -0.00193911+0.122933j 0.0140663+0.322495j 0.000166197+0.124958j -0.00178321+0.00187106j -0.00512188-0.213184j 0.0074734-0.0817366j -0.00814151+0.177325j 0.00704046+0.0980749j -0.00139991+0.053163j 0.00681801-0.0148311j -0.0110758+0.111949j 0.000101503-0.00999164j 0.0156752+0.0133754j -0.00492998+0.00240331j 1.39164e-05-0.0138176j 0.000839593+0.0380464j 0.00884944+0.000916081j 0.0178557-0.0673664j -0.00772796+0.00519961j 0.00208135+0.0196027j -0.0047381-0.0360724j 0.00251492-0.0217722j -0.00879334+0.0564169j 0.00418022-0.0361599j -0.0262363+0.0316237j 0.00292375+0.0134738j 0.0109682-0.0792034j -0.0158252+0.017225j -0.0245211-0.0474849j 0.0190993-0.0640023j -0.00418162-0.0122203j -0.0329283+0.0226976j 0.04096+0.0221991j -0.0107096+0.04211j 0.00743766-0.0116711j 0.0290916+0.00391063j -0.0361387+0.0317335j -0.0321472-0.0096048j 0.0181427-0.208756j 0.0124192+0.00690974j 0.00929141+0.00911483j 0.00638499+0.000624329j 0.0137411+0.0189298j -0.00564646+0.0442544j 
-0.0105106+0.00499472j 0.0101551-0.0231467j 0.00496212+0.0234019j -0.00112313+0.0197207j -0.00026308-0.0205485j 0.00814379+0.0165822j -0.000908514-0.0422047j 2.10801e-05-0.00852629j -0.00446972+0.0541256j 0.00754442+0.013607j -0.00031854-0.0305575j -0.00496732-0.0364294j 0.00014268-0.0295954j -0.0021785+0.00594422j 0.000227795+0.00327309j 0.00203128+0.00208759j -0.00108015-0.0422769j -0.0055523+0.0120874j 0.00181872+0.0555293j -0.00107901+0.0153177j -0.00243886+0.0102033j 0.00168194+0.0226999j 0.00469304-0.00459893j 0.00102517+0.00812888j 0.00258616-0.0252148j 0.00401361-0.00237347j 0.000116536+0.0207793j -0.00235122-0.0163673j -0.000993277+0.0815751j -0.000952892+0.0528889j 0.00176229+0.0625314j 0.00152296+0.0287339j -0.0012754+0.0238651j -0.00134365+0.0138383j 0.00450048-0.0302469j 0.00594439+0.094587j 0.00124529+0.0136804j -0.00382408-0.0153881j 0.00144251-0.0596174j -0.00332837+0.0201255j 0.00326986+0.0318426j 0.00225239-0.111224j -0.00428913+0.0377718j 0.00269635-0.181486j 0.000833437+0.0916056j -0.00111234-0.153253j -0.00352303-0.315075j 0.00330357-0.155119j -0.0047943-0.282239j -0.00556675+0.030443j -0.00129485+0.0159094j 0.005626+0.0466303j 0.0059782-0.0244451j 0.0039353+0.119688j 0.00478778-0.19226j 0.000354422-0.0127118j -0.00211514-0.0436751j 0.0024965+0.0434991j -0.0027579-0.0581149j -0.00209067+0.00234683j 0.00167829+0.100381j 0.000620863-0.0428294j -0.00324435-0.0266482j -0.00127013+0.0120803j 0.00368133+0.0288002j 0.00746795-0.0374798j 0.00264115-0.0033064j 0.00483808+0.00449473j 0.00160293+0.0432892j 0.0088647+0.00282502j -0.00957088+0.0253645j -0.0188923-0.00484372j -0.00901375-0.0312785j -0.00605753+0.0481278j 0.0183374+0.0429716j -0.00968388+0.00611696j 0.0340929-0.0791622j 0.011443-0.00820497j -0.00514808+0.0396186j 0.0207967+0.0312789j 0.0347844-0.0284162j 0.0477748+0.00576957j -0.0350997-0.0100929j 0.00622445+0.00583095j 0.0403267+0.0590771j -0.0251552+0.167221j -0.00891783+0.0136087j -0.00219071-0.00704844j 0.00826543-0.00179154j 0.0238975-0.0293813j 0.00325694+0.0595585j -0.0193141-0.000569565j 
-0.00551207+0.00822772j -0.00167948+0.00197708j -0.00320459-0.0216047j 0.00670604-0.00507667j -0.00546753-0.0105581j 0.0105784-0.00259912j 0.0094227-0.0353257j -0.00972888+0.00831673j -0.00463186+0.00316853j -0.00447972-0.00524973j -0.00279003-0.0322885j -0.00372355-0.0183503j -0.00826567-0.00382146j 0.00817752+0.0453526j -0.000442216-0.0019319j -0.00574817+0.00732361j 0.00827098+0.0602411j -0.000546326+0.0249626j -0.00186968+0.0826833j -0.00408456-0.0437766j 0.00152175-0.00282339j 0.00449546-0.0276603j -0.00467753-0.0145101j -0.0102535+0.0562027j 0.00453887+0.0473801j -0.00136946-0.0709718j 0.00832622+0.0749368j -0.00365728-0.061635j -0.000889224-0.0215097j 0.000460306-0.00892121j 0.00334735+0.0965684j -0.00156358+0.0162016j -0.00378243-0.0217023j 0.00378633+0.0148251j -0.00143465+0.0972421j 0.00191633+0.0279444j -0.00189134-0.00651692j -0.00415746+0.0431656j 0.00312223+0.0830784j -0.00571983-0.0747988j -0.00324346-0.111503j -0.00396585-0.0149067j 0.00449811+0.0646993j 0.00491184+0.0576796j -0.0076257-0.169609j 0.00642995+0.282556j -0.000958028-0.110701j 0.00308894-0.0751531j 0.0137861-0.0645691j 0.00941733+0.00675223j -0.00814081-0.122844j 3.47567e-05+0.32473j -0.0015324-0.111858j 0.000146626+0.0738196j 0.00307539-0.0152184j -0.0042414+0.0539436j -0.00227461-0.0620091j -0.00169016-0.0991288j -0.00533883+0.0409028j 0.0127333-0.0297278j 0.008697-0.0186591j -0.00388804+0.022842j 0.00328685-0.0128419j 0.00343869+0.00424509j 0.010213+0.0156937j 0.000990741+0.0161774j -0.00343001+0.0443739j 0.02163-0.0619311j -0.00651422+0.0125687j 0.00273871-0.01974j -0.000119089-0.0134993j 0.0231028+0.0245181j -0.0161947+0.0605033j 0.00194057+0.0455678j -0.00394839+0.0679113j -0.0189837+0.0268273j -0.0172903-0.014567j 0.0139744-0.0103357j 0.0596228-0.0256401j 0.000670054-0.0233096j -0.0238545+0.00632307j -0.0229249-0.00313356j 0.0247906-0.026701j 0.0391867+0.0336845j 0.0287466-0.129358j 0.00294141+0.0538003j -0.00494145-0.0505473j 0.0242109-0.0141123j -0.00500104+0.00331634j -0.0100264-0.0392194j -0.0163859-0.0240771j 0.00615283-0.0278613j 
-0.000165609+0.0168782j 0.00242246+0.00295831j -0.00384385+0.0114224j -0.00392329+0.0224205j 0.00204018-0.00916674j -0.00822489+0.00158908j 1.62013e-05-0.0143876j 0.00537673-0.0228384j 0.00161069-0.0260137j -0.00352092-0.0125096j -0.000243144+0.0160425j 0.00320647-0.00599005j -0.0039854-0.0300178j 0.00326927+0.0135007j -0.00317866+0.0293675j 0.00277671-0.00263431j -0.003592+0.0219897j 0.0010848-0.0165281j 0.000724804-0.0333005j 0.00312852-0.0143554j -0.00249424-0.0130421j -0.00418305-0.0124428j -0.00141926+0.0072512j 0.00158587-0.080626j -0.00199081-0.0396011j 0.0013197+0.0565508j -0.000507549-0.0629077j 0.0049958+0.0431339j -0.000963637-0.0673651j 0.000805502-0.00611993j 0.00200827-0.0592361j -0.00400134-0.021182j -8.0701e-05-0.0572836j -0.000375942-0.0083764j 0.00126626-0.055447j -0.00485087-0.0305406j -0.00136944+0.0367803j 0.00197953-0.0836772j 0.00304496+0.0121217j 0.00128041+0.0235603j 0.00190845-0.114809j -0.00505026-0.103825j 0.00111456-0.138482j -0.000307691-0.0687628j 0.000660432+0.00633745j -0.0005263+0.0448745j -0.00198378+0.0425697j -0.00228945+0.0326066j -0.00738766+0.0674354j 0.00265688+0.0248071j 0.00538495+0.0219259j -0.0022812+0.0639463j -0.00758992-0.0144174j 0.000665419-0.0767084j -0.000928758+0.0236765j 0.00598643-0.00360221j -0.00565706-0.0176698j -0.00770095-0.0107758j 0.00151021-0.00898944j -0.00406216-0.132899j -0.007539-0.0670904j 0.00373373-0.024115j 0.0136492+0.0181294j -0.0041972+0.0320748j -0.00873692+0.0553661j -0.00463529-0.0548844j 0.00398692+0.0763147j -0.00453412+0.0036818j 0.00570551+0.115939j -0.00700008-0.00823406j 0.00135071+0.00830509j 0.00946974-0.0239215j 0.00280142-0.0800706j -0.010183+0.0723411j -0.00471794-0.0164938j -0.0161917+0.0391386j -0.0214562+0.00890883j -0.012635-0.047413j 0.015382+0.00424791j -0.00663451+0.0063362j 0.0108216+0.019385j -0.0109983-0.011356j 0.0103063+0.00716858j -0.000724298+0.0433303j -0.00569463+0.00877035j -0.0337978-0.0173227j 0.0401414-0.0197999j -0.000713115+0.0483186j -0.048733+0.017264j 0.0262988+0.0624155j -0.0321652+0.0513694j -0.0429765-0.0813058j 
0.000995119+0.00759342j -0.00210818-0.01924j -0.0104723+0.0161743j 0.00442854-0.0201444j -0.00396896-0.0253791j 0.00865558+0.00867065j -0.00239381+0.0334637j 0.0012297-0.0261077j 0.00171922-0.00114452j -0.00194323-0.0407952j -0.00311092+0.023536j -0.00201673+0.046554j -0.0109205-0.011113j -0.00222385-0.0271062j -0.00176033+0.0326883j -0.00492139-0.0209145j 0.00255538+0.0318034j 0.00420554+0.0135556j 0.00576255-0.0101559j -0.00599799-0.00528785j 0.00314253+0.0035357j 0.00202248+0.027204j -0.00131177-0.0130167j -0.00485665+0.0338344j 0.000718852-0.0218507j -0.00128834-0.0389373j 0.000920538-0.0209649j -0.00125795-0.0265509j 0.00174563+0.00067293j 0.00310737-0.00554769j 0.000817363+0.0456171j -0.00194449-0.0211883j -0.000970175+0.0713296j 0.00225717-0.000946326j -0.000627928+0.021587j 0.00493646-0.0690889j 0.000290595+0.0157253j -0.00279499-0.108582j -0.00252043+0.058178j -5.58081e-05-0.126299j 0.00134275+0.0242959j -0.00792613+0.0199412j 0.00752265+0.0693394j -0.00321231+0.0275992j -0.00779354-0.128745j 0.00347183+0.0548421j -0.00582057+0.0573326j -0.00325657+0.157208j 0.0074393-0.0194585j 0.00225035-0.104976j 0.000736337+0.0052664j 0.00184242+0.133272j 0.00142425+0.0332535j -0.0132933-0.0936327j 0.00397187-0.0948247j -0.00795859+0.0416748j 0.00351016+0.00407287j -0.000201747+0.0279159j 0.00421366+0.0743979j 0.0113621-0.0182889j -0.0138371-0.0328188j 0.00216123+0.065014j -0.000492504-0.0150919j -0.00771125+0.00459617j 0.0137074+0.00179926j -0.00944229+0.0720447j -0.00402203+0.0796942j 0.0135843+0.0264165j 0.0129317-0.00369707j -0.00119952-0.0689314j -0.000988066+0.0754357j 0.0129988-0.10065j 0.0171376-0.00931435j -0.00616921-0.00832961j -0.0169991+0.020387j -0.0105316-0.0551184j -0.00834776-0.0255484j 0.000501892+0.0083165j 0.0172567-0.0328943j 0.00866251-0.01912j -0.0331863-0.00281956j -0.0332449-0.0145542j 0.0188432+0.0330305j -0.00395746+0.000585801j -0.00689378-0.0604557j 0.0372989-0.0290208j 0.0287923+0.0257511j -0.018046+0.000252906j 0.0270248+0.0728679j 0.0386733-0.0216765j 0.0423357+0.0726191j -0.0275195+0.0489005j 
-0.00402557+0.00166084j 0.0053451-0.0134413j 0.013647+0.00847628j -0.00570751+0.0201527j -0.00245075+0.00793141j 0.00207592+0.0248743j -0.00152687-0.0376842j -0.00506115+0.0124462j -0.00619743+0.0298073j 0.000251676+0.0380393j -0.00221549-0.0435462j -0.00361673-0.0170179j -0.00193805+0.000784458j 0.000874606+0.0142992j 0.00465713-0.0276845j 0.00280221+0.0190473j -0.0038501-0.038715j -0.00127701-0.00688062j 0.000742637+0.0282982j 0.0029382+0.0472108j 0.00121796-0.0116001j 0.00178502+0.0265356j -0.00027741+0.00641517j -0.00249157+0.053761j -0.000971575-0.00279535j 0.000974439-0.0150733j -0.00147325+0.0367296j -0.000764285-0.0206009j 0.00311032+0.0600652j 0.00369679+0.041636j -0.00432248+0.0308315j -0.00228445+0.0167894j -0.0041375+0.0619315j 0.00338081+0.00902157j -0.00232194-0.0469917j -0.00446499+0.0468478j 0.000870985-0.0544382j 0.00019572-0.0357609j -0.0028676+0.0293289j 0.00356305-0.160987j -0.00322377-0.172501j 0.00469725-0.0220239j 0.00174104-0.0141259j 0.00083447-0.00303917j 0.0100614+0.140982j -0.00606401+0.064937j 0.00108296+0.154971j -0.00259803-0.20231j 0.00331262+0.100204j -0.00226764+0.0379927j -0.000173281+0.0373219j -0.00324563-0.0796006j 0.00432805+0.0102029j 0.00200144-0.0417283j 0.00800267-0.00246975j -0.000326563-0.02346j -0.00680993+0.0544801j 0.000284422+0.0232242j -0.0059636+0.0556501j 0.00268666+0.114583j -0.00515781+0.019216j 0.00415184+0.00320833j 0.00510647+0.00673721j -0.000120959-0.0387927j 0.00325694-0.0622295j -0.0042698-0.00405933j 0.00820686+0.00905742j -0.000445136-0.00321533j 0.00791672-0.00870658j 0.022959-0.00329599j 0.0256074-0.0152567j 0.0365366-0.0350822j 0.009151-0.00730068j -0.0163041-0.0328063j 0.00298515+0.0253449j -0.0100733-0.00303372j -0.0353566+0.00893139j -0.0629832-0.00501998j -0.0233583-0.00164844j -0.0509657-0.0271911j -0.00972228+0.0412604j 0.00167961+0.0104267j 0.0425379-0.0444984j -0.00782479+0.0520531j 0.0130044+0.0338324j 0.000183135-0.00968729j -0.00763467+0.0262134j -0.012954-0.000560954j 0.0190462-0.0366206j -0.00297682-0.0426586j 0.00932659+0.0208672j -0.00639765+0.00936077j 
