0.122189-0.0893785j -0.0667977+0.0605314j 0.0949401-0.143229j -0.165081-0.089357j 0.0351248-0.0161594j -0.0685753+0.0709057j 0.10816-0.0543662j -0.0100273+0.0608015j -0.0492074+0.0584735j 0.0626307-0.00441849j -0.110098+0.0073416j -0.0274054-0.0376513j 0.06966-0.0378307j 0.0402764+0.0461506j -0.0529604-0.0205615j -0.0985711+0.0439523j -0.00209493+0.13176j -0.0198745+0.0128963j 0.163542-0.140014j -0.0267381+0.0353463j -0.13192+0.0848854j 0.0942063-0.0318442j -0.111422+0.0254857j -0.00141177+0.0353775j -0.0313306+0.036554j 0.0065233+0.0434089j 0.0383509-0.0338865j 0.0295595+0.00717881j 0.0262333+0.0104485j 0.0183267+0.0159906j -0.0588937+0.0054014j 0.0381141-0.0790807j 0.0511945-0.0453399j -0.0692075-0.0204399j -0.134021+0.106734j -0.0270164-0.105808j 
-0.0110651-0.139095j 0.0619824-0.074026j -0.181441-0.140195j -0.141236+0.236509j 0.155269-0.091877j 0.0492505-0.00350691j -0.0594394-0.0470514j 0.0382473+0.0682348j 0.0565588+0.0881934j -0.049846-0.0320151j 0.0770034+0.0326597j -0.0560307-0.00993951j 0.0419879-0.0377289j 0.112585-0.0683702j -0.102694+0.0518428j -0.0107801+0.0539225j 0.223839-0.0532596j 0.0920023+0.0139965j -0.0514626-0.0614419j 0.111477-0.0901471j -0.0189697+0.0909458j -0.0449009-0.0354155j 0.0158018+0.0221087j 0.0056334-0.030972j 0.0186638+0.0141791j -0.0475578+0.000334542j 0.0311981-0.0340813j -0.00786018-0.0175569j -0.00709743-0.0045363j -0.0512209+0.0198549j -0.0479186+0.0836687j -0.0833455+0.0292659j -0.0182872-0.0541245j -0.12665+0.0903909j 0.060453-0.0295279j 0.0488786-0.0421902j 
-0.0548048+0.0496425j -0.0139679-0.0384904j -0.261661-0.154128j -0.151261+0.258262j 0.0593923+0.06419j 0.0861356+0.0379128j 0.0578717-0.0830987j 0.000242524-0.0645751j 0.0182379-0.0422686j 0.0469487+0.0448058j -0.0570626+0.0146715j -0.0215285-0.0279164j 0.0494331-0.0117563j -0.047576-0.00179941j 0.0530314-0.0290329j -0.0210679+0.0379197j -0.0792057+0.0784511j -0.0480416-0.0296388j 0.121608-0.068338j -0.0189592+0.0336472j -0.0555422+0.00568119j 0.0461185+0.00394983j -0.0457973-0.0128326j 0.0310362+0.0117473j -0.0106827+0.0525967j 0.00420359+0.0336013j 0.0126868+0.00871187j 0.00314085+0.00186925j 0.0356507+0.00397159j 0.0175828+0.0232134j 0.0129103-0.0221118j 0.0036136-0.0431793j 0.0578264-0.00755274j 0.0431945-0.0481614j -0.0725338+0.0669469j -0.0282353-0.0521458j 
-0.0286292-0.103012j 0.110714+0.0815407j 0.259073-0.298647j -0.304369-0.252168j -0.0667611+0.13386j 0.00264856+0.0791678j 0.0131773+0.0487131j -0.0255895+0.0327908j -0.0334584-0.0144323j -0.136449-0.00700258j -0.0495298+0.0131068j -0.0239663+0.0188354j -0.0223253+0.026494j 0.0249645+0.00772845j -0.0378591+0.00497832j -0.0152848+0.0343725j 0.00561575-0.0192073j -0.0190447+0.0219127j -0.0589865+0.0722744j -0.0139881+0.070233j 0.0171959-0.0116736j -0.0406613-0.0244699j 0.0508382+0.00962011j -0.0329381-0.0358481j 0.0363486-0.0165512j -0.0366125-0.0141689j 0.0264777+0.0420535j 0.00789609-0.0124835j 0.00832844-0.0331429j -0.0204152-0.0253541j -0.0156771+0.0124995j 0.00529752-0.0214386j -0.0178445+0.0187677j -0.0223498+0.0257182j 0.0610774-0.0310119j 0.0454332+0.0693434j 
0.156296-0.0620504j -0.0843261+0.0506657j 0.120941+0.248772j 0.210735-0.118958j 0.022411-0.182929j -0.0452239-0.0113558j -0.127939-0.0250224j -0.0556062+0.0736615j -0.0422028+0.05448j 0.0328226-0.0273328j 0.0178826-0.0258944j -0.0520501-0.00505064j 0.0323356-0.0718052j 0.0456662+0.0270512j -0.0587855-0.0240036j 0.059058-0.0377079j 0.0874297+0.0329598j -0.061622+0.0300576j 0.0733301-0.113772j 0.0115839+0.0236105j -0.0699144+0.0734189j 0.00490113-0.00803901j -0.0488534+0.0673079j 0.00751938+0.00894582j -0.016503+0.0535209j -0.0391656+0.028327j 0.0353944-0.0328839j 0.00182832-0.0261112j -0.0046289+0.035665j 0.0186848-0.0113154j -0.115716+0.0392806j -0.0204183-0.0342352j -0.00812132-0.00316686j -0.0566794+0.0265769j -0.0447319+0.0535931j -0.0097232-0.0707077j 
0.0616849-0.00261035j 0.00708786+0.0738927j -0.0390088-0.0361024j 0.0308675+0.0398713j 0.10251-0.122222j 0.0325481+0.0483152j 0.139261-0.2583j -0.168206+0.114874j -0.120683+0.0566953j 0.00969732-0.00916076j -0.0710832+0.0838914j 0.0491842-0.0686902j 0.0619564-0.179221j -0.0807818+0.0818993j 0.0452824-0.0563454j -0.00604704+0.0276925j -0.113862+0.122559j -0.0594764+0.00532869j 0.0856507-0.05425j -0.0325666+0.115006j -0.0468945-0.00349533j 0.035846-0.0289687j -0.0526719-0.00103453j -0.0346272+0.0301867j -0.0275007+0.0482685j -0.0221298-0.0353218j 0.0195968-6.91327e-06j -0.0128309+0.0125704j 0.0141064-0.0271374j -0.0137586-0.0328644j -0.0489223-0.00577134j 0.0840121-0.0855403j -0.00668165-0.0308259j 0.0057186+0.0220936j -0.0161379+0.0502734j 0.0237418+0.033382j 
0.113866-0.103876j -0.141592-0.201836j -0.0270465-0.128482j -0.0225061+0.00703097j -0.0960903-0.331307j -0.31592-0.151086j 0.400074+0.13512j 0.198209+0.27278j -0.0836332+0.131696j 0.204182+0.0550969j 0.0516119+0.0679843j 0.0927415-0.00910222j -0.117734-0.112459j 0.00895997-0.0288761j 0.0556187+0.0413215j -0.0711909-0.0167225j -0.0328371-0.0204432j 0.0773584-0.0153932j 0.0116876-0.111512j -0.0587884-0.0773561j 0.0310282+0.13153j 0.0480624+0.0110722j -0.0262643-0.000615547j 0.0503888+0.0396165j 0.00187857+0.0414323j 0.0322389+0.0558226j -0.0289874-0.0438701j -0.0119217-0.0152787j 0.0132689+0.0309053j 0.0209977+0.0639808j 0.0116608+0.0704791j 0.0278807+0.00626048j -0.0145174-0.0494796j -0.0124647+0.0657718j -0.06119+0.0202802j -0.0747296-0.0997645j 
-0.047202-0.0279795j 0.0330128-0.0759072j 0.101497-0.0699887j -0.0700431-0.111495j -0.0746854-0.128894j 0.096802-0.0551732j -0.212919+0.0497718j 0.0338655+0.105426j 0.104174+0.0458354j 0.0323687+0.00263866j -0.0391776+0.0533901j -0.0165166-0.0297499j 0.0214289-0.0284581j 0.0218139+0.0165161j 0.073942-0.00909253j 0.0869481+0.00412983j -0.0400178+0.0066983j -0.0503178-0.0418182j 0.0822205-0.020517j 0.0338636-0.0200165j -0.0683075+0.0323622j 0.00320386+0.00941134j -0.00439406-0.0121343j 0.0520708+0.0053258j 0.0175668+0.0431335j 0.0430065+0.0223217j -0.0279128-0.0441086j 0.000318496-0.0167044j -0.0108414+0.030793j -0.00681704+0.0382742j 0.0394031-0.0421788j -0.031019+0.00418072j 0.0399125+0.00568907j 0.0545583-0.0411314j -0.0857534+0.08068j -0.0722361-0.106326j 
-0.0672677+0.0352638j 0.0108007+0.0206011j -0.0506125-0.0312782j -0.0520543+0.0167998j -0.157013+0.0139234j 0.14096-0.0614857j -0.32493+0.151793j 0.0837312-0.0283341j 0.184389-0.176779j -0.121166+0.124952j -0.0074005+0.0276167j -0.152807+0.0843368j -0.0969121-0.109809j 0.00229413+0.0202595j 0.00822775+0.00425858j 0.025269-0.027961j -0.0164459+0.0705221j -0.0633918+0.0459095j 0.120829-0.123078j 0.0285526+0.0693471j -0.0662622+0.0749003j -0.0240393-0.00204792j -0.0392653+0.0444393j -0.00857977+0.0464162j 0.0220276+0.00934526j -0.0262877+0.0396514j 0.00624078-0.00134359j 0.0077803+0.00235996j -0.0171283+0.00142771j -0.00557653+0.0057845j -0.0299974-0.00527104j -0.0425325-0.0260552j 0.0144502+0.00301732j 0.00156354-0.0305334j -0.00197339+0.0290385j 0.00838156-0.0408478j 
0.0405052+0.0399132j -0.0409335+0.0388415j 0.0301069-0.016588j -0.0895431-0.0435756j -0.0164204+0.0432641j -0.0599124+0.0994474j 0.0592312+0.081311j -0.0038562-0.166115j -0.112036-0.0383216j 0.1191-0.0769499j 0.138171-0.0260161j 0.131959-0.0564118j 0.0729606+0.0101615j 0.044224-0.0472408j 0.0985285-0.0499514j 0.317926-0.121532j -0.00941382+0.00504678j -0.113226-0.0824404j 0.0502455-0.0922638j -0.0277574+0.0242178j -0.0196351+0.0113074j -0.00482042-0.0362854j 0.00671191+0.0238455j -0.000907756-0.0193652j -0.0372894+0.0574836j -0.0301769+0.00656768j -0.00586935-0.026611j 0.0417521+0.00930485j -0.0409224-0.00390316j -0.0152473+0.0110924j -0.0417943-0.0476851j -0.100822+0.0311405j -0.0361793+0.0738639j 0.0305388-0.00559455j 0.00033084+0.0154361j -0.0179758+0.0290919j 
0.0705537+0.0611123j -0.103698+0.071746j -0.0966912+0.0375727j -0.061737+0.0569626j -0.0977777+0.174607j -0.0558158+0.0942349j 0.0354791+0.180954j 0.0702604-0.230243j 0.0134841-0.127931j 0.037425+0.141681j 0.0217395-0.114555j -0.0946544+0.119515j -0.0506976+0.124736j 0.014667-0.040841j -0.0277413-0.0245095j 0.00538546-0.122148j 0.0152494+0.00908686j -0.096498+0.0394596j 0.100874-0.156712j -0.0755612+0.0722117j -0.0275258+0.00615646j 0.0796625-0.0343221j -0.0694752+0.0589082j -0.00781151+0.0539854j 0.00954237+0.0321596j -0.0142305+0.0686487j 0.0116304-0.0395654j 0.00425729+0.0066356j -0.00199906+0.0333904j 0.00753729-0.00467397j -0.097872+0.0227325j -0.0157905-0.011248j 0.00610996+0.0364218j -0.0372773-0.0113857j -0.0803334+0.0513652j -0.0523966-0.0751603j 
