0.0219277+0.0264991j 0.146382-0.0668658j -0.0422311+0.00973222j 0.0406707-0.0994602j 0.00149739+0.0515181j -0.192905-0.0407963j 0.0515391-0.0344228j 0.0551939-0.0210173j -0.0352642-0.0671491j -0.0500667+0.0435349j -0.129979+0.124944j -0.00187695-0.00508736j 0.0411135+0.00400839j -0.0668372-0.0592082j 0.105394-0.091537j -0.0197977-0.0162667j -0.104254+0.117496j -0.0752142-0.0426404j 0.101955+0.104752j -0.310725+0.0107622j -0.0810532-0.0111795j -0.157832+0.297321j 
0.104564-0.159215j 0.0867506-0.070665j -0.024236+0.0377031j -0.0304447-0.0693445j 0.136449-0.101469j 0.000517931+0.0459384j -0.0423063+0.0110193j -0.0177139+0.0258618j -0.063073+0.0454375j -0.00230296-0.0238068j 0.0670647+0.00791709j -0.00885324-0.00776014j 0.0030677-0.0258469j -0.151411+0.0180016j -0.0502351-0.043346j -0.0996582-0.0233006j -0.0406904+0.0786502j -0.0908066+0.139612j 0.160911-0.112747j -0.147847+0.228203j 0.331106-0.152369j 0.144489-0.137664j 
-0.0358939-0.169275j 0.0395065+0.134659j 0.0237718+0.0280784j -0.137265+0.052425j 0.0536482-0.163139j -0.0259789-0.0142951j -0.03238+0.0568519j -0.0575661+0.0811847j 0.0229512+0.0845253j -0.0275928-0.0747955j 0.0920069-0.0740014j 0.0412779-0.0138629j -0.0402281-0.00485172j -0.118027+0.0871965j -0.13896+0.0030184j -0.0784931+0.056085j 0.139501+0.0685865j -0.110287+0.0854975j -0.0228675+0.0348657j 0.000333616-0.0411529j -0.128729-0.167538j 0.0541677+0.0824911j 
0.0484428+0.0652669j 0.195894-0.0324881j 0.174708-0.0960465j 0.0643049+0.213176j -0.185133-0.0343443j -0.0510865-0.00295389j 0.0546524-0.00059071j 0.00562725+0.0539339j 0.0882943-0.0381762j 0.0228377-0.021373j 0.0344635-0.0518077j 0.0955208-0.0478879j 0.0507155-0.0677425j 0.0478365+0.0478008j 0.0472746+0.00267677j 0.022663-0.0973547j 0.0658017+0.00713895j 0.118058+0.0232347j -0.0072105-0.0319775j -0.0376127+0.0478403j 0.113059-0.01899j 0.053049-0.189074j 
-0.153035+0.209562j 0.0274573+0.0721142j 0.0271749+0.0729968j -0.295655+0.370609j 0.0691204-0.18823j -0.051433-0.090025j 0.0189505+0.0612949j -0.09616+0.0841486j -0.000755736+0.0200963j -0.0516646+0.0962372j 0.0517516+0.00503491j 0.050235-0.0157013j 0.106136+0.045528j -0.0597344+0.0550542j 0.0372346+0.00735264j 0.048073+0.0639219j -0.0927243+0.0418485j -0.118078+0.0479553j 0.136486-0.11968j 0.0269993-0.111043j -0.0214769-0.0096087j -0.0175132+0.0849465j 
-0.095217+0.228136j -0.330789-0.187112j -0.370559-0.234587j -0.0949089+0.453027j 0.359748+0.0764631j 0.0520555-0.00733622j -0.0351477+0.0142719j 0.0766637+0.0867954j -0.079977+0.0176734j 0.00847087+0.0714952j -0.0590511-0.0817586j -0.123328-0.0112202j -0.0389786+0.0197696j -0.0180267+0.00364078j 0.0439939+0.0331124j -0.0327834-0.058526j 0.00647803-0.0621853j -0.0764802-0.00814843j -0.0118018-0.0459926j 0.0278109-0.0835802j 0.101063+0.0609634j -0.00678969-0.117672j 
0.105758+0.0188708j 0.119545-0.106348j 0.0729004-0.223196j 0.248371+0.165957j -0.158398+0.0978045j -0.0623132-0.0111825j 0.0304589+0.0120985j 0.0556878+0.0993543j 0.00452149+0.0144321j 0.01203-0.0979421j 0.0661263-0.0993528j 0.11539-0.0913505j 0.0857322-0.0369897j -0.015757+0.0182976j 0.0372486+0.0132395j 0.0440507+0.0276787j 0.018806-0.00320719j 0.0306605+0.00836828j 0.0429619-0.0571897j -0.0226576-0.0103026j -0.0372782-0.0283334j 0.0204824-0.0268931j 
0.0373208-0.0558881j -0.126226-0.126581j -0.174981-0.128459j 0.0415774+0.0269026j 0.150796+0.0514136j -0.105213+0.00270175j 0.0470267-0.0111165j 0.0499874+0.0523687j -0.0189732+0.0294748j 0.06141-0.0402386j 0.0502806-0.124032j -0.0985832+0.00407963j 0.0461976-0.0368131j -0.0590029+0.0106616j 0.0197531+0.0106454j 0.0576133-0.029504j 0.0378536+0.044687j 0.043485-0.0396218j 0.00894618-0.0533354j -0.0722462+0.043246j 0.0598243-0.0847663j 0.0473417-0.01278j 
-0.1231+0.00935619j 0.00514271+0.149354j -0.0252125+0.100201j -0.00742398-0.152385j -0.0314686+0.0275217j 0.0699279+0.204916j 0.0130354-0.134095j 0.00688049-0.248709j 0.0939724-0.119655j -0.0845372-0.004501j -0.0572255-0.146143j 0.0261236-0.0680155j 0.0464648+0.0328343j -0.0680097+0.0842887j 0.0501941+0.104005j 0.00865957-0.00676207j 0.0220376-0.135527j -0.00173095+0.00798614j 0.00263501+0.000212392j 0.119806-0.0878471j 0.0830055+0.123287j 0.00518176-0.301298j 
-0.0351815-0.0204223j -0.0367238+0.0436035j -0.0945106+0.0692009j -0.155889-0.0813163j 0.146188-0.037363j -0.175515-0.0274766j 0.0685044-0.0164415j 0.0237634+0.058046j 0.0826139+0.00252863j 0.0390092-0.053903j -0.00860483+0.0432291j 0.0276483+0.0524667j 0.00239489-0.0662351j 0.125556-0.00286306j 0.0335826-0.0825392j 0.0861274-0.103089j 0.00687984+0.0555126j 0.238897-0.000691995j -0.027693+0.0177899j -0.119226+0.117942j 0.0820197-0.0518627j 0.0130435-0.00499228j 
-0.0326475-0.00397442j 0.000126-0.0257068j 0.147875+0.13273j 0.0278664-0.067795j -0.152839-0.0116295j 0.235822+0.144743j -0.10225+0.0180266j 0.040619+0.0560242j -0.403335+0.2053j 0.0952868-0.00817318j 0.1181-0.0936187j -0.162542+0.0187372j 0.18366+0.181703j 0.0303995-0.0879777j 0.145744+0.0154669j 0.0944793-0.0422793j -0.168502-0.0457316j 0.0114964-0.038162j 0.100404-0.174925j -0.00149002+0.0101334j 0.214969+0.060528j 0.0391081-0.167342j 
