0.00603384+0.00283918j 0.00235739-0.0115699j -0.00247172-0.00452702j 0.00392339-0.00594373j 0.00151899-0.00260185j -0.00125269-0.00231357j 0.00307088-0.00140719j 0.000719885-0.00398267j -0.00209985+0.00379349j 0.00100524+0.00150398j 0.00154776+0.00595848j -0.00258414-0.0024781j -0.000825647+0.00301266j 0.00297983-0.00140831j 0.000848674+0.00264966j -0.000588305+0.00351399j 0.00101091+0.00166589j 0.000253935+0.00416914j -0.00085795-0.00497122j -0.000399632+0.00236791j -0.00265468+0.00064184j 0.000267851-1.31617e-05j -0.000624524-0.00950615j 0.000390397+0.0061101j 0.000963174+0.00325864j 0.000478003-0.00278125j 0.00143788-0.00161769j -0.00180019+0.00257802j -0.00156999+0.00454871j -5.01054e-05+0.00267514j -0.000814745+0.0043999j 0.000631317-0.00393091j 0.00128317-0.000960721j 0.00244761-0.00395262j 0.000885714-0.00161169j 0.000142245+0.00268956j -0.000461493+0.00255902j -0.00208963+0.000888657j 0.000752062-0.000986962j -6.21991e-05+0.000319077j 0.00113346+0.00754374j -0.000433199+0.00429287j 0.000626049+0.00163637j 0.000637888+0.0033708j 0.00144446+0.00362289j -0.00070701-4.337e-05j 0.00192592+0.00870666j 0.000506845-0.00318928j 0.000229044-0.000167372j -0.000443724-0.000241951j 0.000575827-0.00308665j 0.00100671+0.00490812j 0.00079353-0.00341663j -0.000392791-0.000246882j -0.000459523+0.00319324j 0.00234695+0.00326251j -0.00106442+0.00647872j 0.000929811+0.00669903j -0.00313713+0.00977424j -0.00373464-0.0127158j -0.000908609-0.00102203j 0.00347253-0.00528671j -0.000624398+0.00167335j 0.00594878-0.00237379j 0.00123777+0.0081464j 0.00444515+0.0215079j -0.00894755+0.0321075j -0.0253594-0.0117807j 0.0310731+0.0183792j -0.0101685+0.31772j 
0.00202428-0.0117926j -0.00597414-0.00306899j -0.0035924+0.003638j -0.00200051-0.00485333j -0.00224906-0.002856j -0.00226654-0.000118015j -0.000344103-0.00641899j -0.00282486-0.000423763j 0.000659361+0.0027953j -0.000900656-0.00169984j 0.00359813-0.000315732j 0.000289369+0.00636344j 0.00120726-0.000251115j -0.00138952-0.00323075j 0.0012713-0.00175364j 0.00128224+0.00183618j 0.00167389-0.00065824j -5.04178e-05-0.000738673j -0.00208228-0.000585418j 0.000817446+0.00411929j 0.00107035+0.00486537j 0.000799207+0.000861542j -0.00309754+0.0015795j 0.00290478+0.00197504j 0.000445019-0.00232358j -0.00110451-0.00104632j -0.0017347-0.00496049j 0.00142323+0.00343641j 0.0016626+0.00404868j 0.000718421+0.00251812j 0.00271272+0.00343445j -0.00189769-0.00164613j -0.00120696-0.00369898j -0.000463559-0.00414389j 6.83389e-05-0.000968524j 0.000721853-0.0012003j 0.000815692+6.74199e-05j 0.000929832+0.00476308j -0.000669358+0.00129542j -0.00119412+0.00172336j 0.00148535-0.000524672j 0.00113129+0.00161421j -0.00055635-0.00314916j 0.000922796-0.00198577j 0.00051148-0.00485764j 0.000799423-0.000301794j 0.0019039-0.00510937j -0.000994723-0.00160853j 0.000596349-0.00094834j 0.00151934+0.000918152j -0.000403563-0.00491155j 0.000762302-0.00232005j -0.00232526-0.000709982j -0.000212691-6.05529e-05j 0.00108344+0.00114796j 0.00195658-0.00704977j 0.00183919+0.00338179j 0.00142849-0.00162254j 0.00204841+0.00292164j -0.00593847+0.00496518j 0.00102917+0.00706859j -0.00259515-0.00626778j -0.00176605+0.0129898j 0.00167461-0.00324643j 0.0145323+0.0155512j -0.00341531-0.0087828j -0.0240034-0.00775885j 0.00858178-0.0390182j 0.0107562-0.322509j 0.0305649+0.0193361j 
-0.0025969-0.0057549j -0.00311202+0.00486952j -0.000298229-0.00296951j 0.0024388+0.00125631j -0.00141698-0.0034017j -0.00274968+0.00374007j -0.000682956+0.00371028j 0.00353371-0.000332359j 0.00121397-0.0049136j -0.00264013-0.00515959j 0.00160397-0.0011659j 0.00137366-0.00398922j -0.000701371+0.00208371j 0.00185754-0.000693056j -0.00229594-0.0110609j 0.00285484+0.000203117j -0.00205824-0.00307566j -0.000453306-0.000973219j -0.00227648+0.00210479j 0.000633404+0.000539626j -0.00085671+0.000508242j -0.000628031+0.00580878j 0.0015181+0.00721372j 0.00118656+0.00167822j 0.00143802-0.00773793j 0.00131785+0.000440669j 0.00169025+0.00401473j 0.00107888+0.00221395j 0.00137477-0.00830049j -0.000328389+0.00274102j 0.000348668-0.00148849j 0.00182335+0.000711601j 0.000223593+0.00106526j 0.00288993-0.000743794j -0.000619756+0.00403058j -0.000935569+0.00645607j 0.000866111-0.00124531j -0.000320567+0.00147228j 0.00207518-0.00188737j 0.00125732-0.00221119j -0.00115313+0.00157457j -0.00193407-0.00158066j -0.00121159-0.0019844j -0.00408007-0.0032305j -0.00214685+0.00288494j 0.00240118-0.00331376j -0.000107637+0.00785905j 0.00136665+0.00262893j 0.00147967+0.00816969j -0.00148065+0.00526888j 0.000469053-0.00171225j 0.00130095-0.00355057j 0.00575946+0.00757632j 0.00382338+0.00331131j 0.000509508+0.000221819j -0.00241979+0.000928189j -0.000550456-0.00323184j 0.00128983+0.00336387j 0.00853998+0.00885884j 0.00630428-0.000162623j -0.00434501+0.0125789j -0.00471288+0.0143297j 0.0132784+0.0550146j 0.0148497+0.0114651j 0.00167969-0.013393j -0.0235483+0.0146962j -0.007092-0.132692j -0.0181316+0.253271j -0.0110394+0.0265436j -0.00307034-0.0422386j 
0.00200834-0.00730111j -0.00304238-0.00418912j 0.00281171-0.00194645j -0.00107488+0.00743412j 0.00220361-0.00322334j -0.00242772-0.00764076j -0.00227806-0.00094845j -0.000651479+0.00597099j 0.00470818+0.00200165j 0.00372661-0.00349078j 0.000831692+0.00304112j 0.000538354-0.00245378j 0.00105858-0.00194163j -7.06731e-05+0.005801j 0.00163127-0.0065525j 0.00248707+0.00267783j 0.000508995-0.00175706j 0.00095773-0.00446193j -0.00238099-5.73091e-05j 0.000340898+8.17258e-07j 0.000139779-0.00159878j -0.00237051+0.00211711j -0.00393919+0.000366415j -0.000470308+0.000515364j 0.00214498+0.000261031j -0.000493942+0.00389404j -0.00077725-0.000213316j -0.000599969+0.00261235j 0.00417964-0.000395876j -0.000296066-0.000321156j -0.000463026-0.00180525j 0.000643965+0.00226362j 0.000408694+0.00426299j -0.000353646+0.00172057j -0.000281413-0.000483524j 0.000256087+0.0053325j 0.00102876+0.00270937j -0.000216966+0.00148327j -0.00170559-0.00306839j 0.00334046+0.00375094j 0.00218308-0.00148263j 0.00262802-0.00287503j 0.000650822+0.0020518j 0.000243621+0.00527494j 0.000973468+0.00371148j -0.00172935+0.00218333j 0.0034827+4.08781e-06j -0.00219994+0.00663551j -0.000607115+0.00438786j -0.00264599-0.0198647j -0.00455126-0.00675952j 0.00360368-0.0026787j 0.00351071+0.00455529j -0.000329201+0.00296939j -0.00026544+0.00293194j -0.00571176-0.00342654j 0.000397502-0.0122394j 0.00867661-0.00251803j 0.000214381-0.00366586j -0.0018488-0.0051425j 0.0105326+0.0336813j 0.000369229+0.0365828j 0.0231928-0.0450095j -0.0133079-0.0280452j 0.00100582-0.021401j 0.0123185-0.00697745j 0.0124069-0.2653j -0.0123425-0.114284j -0.00464379-0.0440968j 0.0102749-0.0278707j 
0.0001358-0.00115998j -0.0011007+0.000616814j -0.0027525+0.000106111j 0.000658375-0.00676644j -0.00127153+0.00355224j 0.00190133-0.00781136j 9.07257e-05+0.00287376j 0.000463094-0.00495267j -0.000384154-0.00723099j -0.000159577+0.00150092j -0.000699433+0.00748365j 0.00200822+0.000578966j -0.000983455+0.00369454j -0.002098-0.0027282j 0.000162564-0.0109905j -8.12713e-05-0.00789088j 0.000942401-0.00299143j -0.00205685-0.0117994j -0.00307184-0.00554396j -0.00201203+0.00344478j -0.00160914+0.00327668j 0.000755835+0.0111395j -2.80188e-05+0.00527056j -0.00294068-0.00186211j -0.0032795-0.0044582j -0.000110812+0.0044282j -0.0010195-0.0138114j -0.00287916+0.00512026j 0.00161507-0.0103626j 2.94406e-05-0.00228394j 0.000456169+0.0069387j -0.00137749-0.00302592j -0.00272883+0.00871707j 0.000665789-0.00281149j -0.000310227-0.00129799j -0.00137628+0.00811403j 0.000935217+0.00826759j -0.000479067+0.00012833j -0.000102333-0.00979391j -0.00570216-0.00875296j -0.00456176-9.79494e-05j 0.000541164+0.0048888j 0.000973636+0.0110175j -0.00587148-0.00901604j -0.000970182+0.00496658j 0.00788642+0.005932j -0.00119474+0.0263924j 0.00534429+0.0152303j -0.00199326+0.00661504j 0.00641481+0.000781382j -0.000637591+0.00306328j -0.00194598+0.007865j -0.00440903+0.00599572j -0.00742019-0.00457707j -0.00595146-0.00774154j 0.000348332+0.00799424j -0.00649971-0.0312806j -0.00167694+0.0215961j -0.0109571+0.0315308j 0.00531355+0.0127072j -0.00847471+0.0309601j -0.0143013+0.0454105j 0.0120044-0.0454067j -0.01685+0.0158919j 0.0157829-0.137233j 0.0083406-0.225879j -0.00108963+0.07133j 0.0123255-0.020798j -0.00110987-0.00608215j 0.00257029-0.00147522j 
0.000887768-0.000184376j 0.00107479-0.000404851j -0.000142132-0.00713709j 0.00384789+0.002178j -0.0012189+0.00864049j -0.00304071-0.00276975j -0.00212213-0.00477992j -0.000302502+0.0024083j -0.000671751-0.00638848j -7.29272e-05+0.00226938j -0.00126639-0.000897255j 0.000432566+0.00484967j -4.4347e-05-0.00130004j 0.000472566+0.00568983j 0.00050718+0.00445227j -0.000478526-0.0057792j 0.00483051-0.00182289j -0.00240547-0.00455962j 0.000959299-0.000258104j -0.00375497-0.00731983j -0.000227088-0.00710383j 0.000502741-0.00410241j -0.00182628-0.00198292j -0.0031205-0.00434441j -0.00105401+0.00248824j -0.00144651+0.00153684j -9.14436e-05+0.00438454j 0.00263347-0.00375937j 0.00126707+0.008728j 0.00411116+0.00397795j 1.83288e-06-0.00642273j 0.0016181+0.00539277j -0.00112405-0.00430734j 0.0032714+0.00501042j 0.00423075-0.00398811j -0.000839019-0.00608624j -0.000252998+0.000132587j -0.00184533-0.000585735j 0.000245502+0.000781838j -0.0048698-0.00396433j -0.00400047-0.0123181j 0.000271992-0.00920002j -0.00712532-0.0133959j 0.00156717+0.00313627j 0.000629295+0.00269437j -0.00456591-0.00209392j 0.00188453-0.0174923j 0.00471761-0.012793j -0.00218755-0.000395429j 0.0106006+0.0111233j -0.00164621+0.0142894j -0.00236931-0.0014308j 0.000784533-0.00378583j 0.00520709+0.0179777j -0.000365082-0.00515339j 0.00122344-0.0120399j 0.00160757+0.0127229j 0.00534609-0.0141569j 0.0071665-0.00768191j 0.00415205-0.00200549j 0.00162799+0.0410968j 0.0108583+0.0201488j 0.00828442+0.0516719j 0.0105869-0.0972352j 0.0109192+0.17515j 0.0124698-0.170014j -0.00617855+0.0299699j 0.000407378+0.0196447j 0.00414244+0.00303495j 0.000258557+0.00937931j 
0.00165788-0.00604515j -0.0032474-0.00419126j 0.000548057+0.000341896j 0.000499226+0.00223843j -0.000839981+0.0064388j 0.000777273+0.000939216j -0.00135382+0.00794387j 0.00208924-0.0028906j 0.00112326+0.00598385j 0.00148846-0.0068919j 0.00277541-0.00483069j 0.0036381-0.00021775j -0.00362397-0.00255792j 0.000414038+0.0050173j 0.00267288+0.007372j -0.00062661+0.00514434j -0.000640363+0.00731589j -0.00253965-0.000813789j 0.00039056+0.00347078j -0.000275629-0.00175647j -0.00095452-0.00909302j -0.000818338-0.00226839j -0.00103125-0.00484059j 0.000367008-0.000114416j 0.00327138+0.0062582j -0.00159743-0.00456841j -0.00262658+0.00593577j 0.000806093-0.00305884j 0.00177863+0.016579j -0.00150248+0.00030441j 0.000976789+0.00584794j -0.000710518-0.00800834j 0.000977966-0.00581922j -0.000356091-0.0128319j -0.00347392-0.00217634j -0.00255738+0.00713837j 0.00335735+0.00438697j 0.00255746-0.00335153j 0.00334745-0.00870985j 0.000273057-0.0142493j -0.000557012+0.0123141j -0.000345086+0.0111354j 0.00025749+0.00626566j -0.000864874+0.00265668j -0.00264429-0.0106216j 0.00177106-0.0137557j -0.00250108-0.0147306j -0.00111771+0.00281326j -0.00777492-0.0291968j -0.00110916+0.00145563j 0.00192303+0.00309007j 0.00103488+0.0111607j -0.00493242-0.0170033j 0.00697166-0.00734433j -0.000490957-0.0105944j -0.0075979-0.028504j -0.00289332-0.0109623j -0.0143266-0.00705479j 0.0151855+0.0272353j -0.0057611+0.000396121j -0.00222353-0.0489143j 0.00959624-0.0377667j -0.00973832+0.127521j -0.000516945-0.153353j 0.0113038-0.140126j -0.0107698+0.0213558j -0.00225663-0.0673752j -0.0086169+0.0422523j -0.00541438-0.00983299j 0.0041769-0.0146807j 
-0.00234126-0.0040688j -0.00165334+0.00401461j 0.000914621-0.00789584j 0.00346336+0.00114738j -0.00014191-0.00523385j -0.00126417-0.00235475j 0.00015806-0.00292415j -0.000537722+0.00193528j 0.00247234+0.00150213j -0.00114625-0.000596858j -0.00123197-0.00234971j 0.000152025-0.0115683j -0.00416969+0.000493763j -0.00135039+0.00643006j -0.00208674-0.016012j 0.0019929-0.00331402j 0.0047059+0.000616144j -0.00184699-0.00333167j -0.000972751-0.00212157j 0.0015539+0.00959455j -0.00275475-0.00255007j 0.00183229+0.0131693j 0.00325399+0.0110772j -0.00444531+0.00515372j -0.00217554-0.0103156j 0.0029318+0.00385334j -0.0041994-0.0149736j 0.000445262+0.00411625j 8.52171e-05-0.00119649j 0.00193947+0.0161189j 0.000632307+0.000586077j 0.00355553-0.00208434j -0.000182489-0.0102478j 0.0055673-0.00745922j 0.00365744-0.00931218j 0.000508193+0.00689961j 0.00253441+0.0131937j -0.0016561+0.0204319j -0.00118719+0.00525022j -0.00234772+0.00752432j -0.00931065+0.000728068j -1.99024e-05+0.0102732j -0.000392874+0.00200371j -0.00468187-0.0045641j -0.00165393+0.00517394j 0.00626378-0.00432604j 0.00732841+0.00429775j 0.00538912-0.0252414j 0.00523866-0.00620536j -0.000856895-0.0173665j 0.00582765+0.0200631j 0.00344191+0.0252927j 0.0015424-0.0132672j 0.000673967+0.0117432j 0.00273397+0.0138577j 0.00580845-0.0063142j -0.00570846+0.0101434j -0.00608012-0.06147j -0.00611404+0.0170746j 0.000253897-0.0725226j 0.0175816+0.023752j 0.00679832+0.0177654j 0.0022642+0.189499j -0.00841436+0.165067j -0.00274236-0.00685744j -0.00708451-0.038534j -0.00821049+0.0341615j 0.00144824+0.0369171j -0.00332941+0.0207547j -0.00399291-0.00758233j 
0.00144697-0.00182818j -0.00121363-0.00229587j -0.000990541+0.000815539j -0.000174137-0.000491863j 0.000257619+0.00419226j -0.00106098-0.00175583j 0.00012888-0.0123891j -0.00235155-0.00220346j -0.000774308-0.0151309j -0.0048676+0.00348848j -0.00202673-0.00564337j 0.00219808-0.00286791j -0.0002653-0.00214562j -5.10525e-06-0.0132258j 0.00321178-0.00411425j 0.00186149-0.00280156j 0.000762718+0.00586675j 0.00277899+0.00366654j 0.000100397-0.0123632j -0.00296042+0.00358007j 0.000940477+0.00565759j -0.000927033+0.00215212j 0.00060948-0.00391666j 0.00248016-0.00742974j 0.00292534-0.00772433j -0.000845898-0.00689337j 0.00157936-0.00106142j 0.00692776-0.00755062j -8.15364e-05-0.00498268j -0.00202452-0.0159516j 2.37013e-06-0.00303433j -0.00220593-0.00299766j -0.00152489+0.00550704j 0.00168541+0.00358672j 0.00106775+0.0107477j -0.00105822+0.0115705j 0.00041174-0.00287685j 0.00131445+0.00174396j 0.000868511-0.0102553j -0.00138372-0.0202406j -0.0011183-0.013659j 0.00342115+0.0132554j -6.57629e-05+0.0150142j -0.00147919-0.00696619j -0.00422293+0.0444321j -0.00579192+0.00198413j -0.0117121-0.0203904j 0.0043731+0.012253j 0.000257115+0.00198472j 0.00587808+0.0108796j 0.00735088-0.00459063j 0.000666858-0.00307654j 0.000442028-0.0162937j -0.00476575-0.0403802j -0.001074-0.0204994j -0.000836819-0.0115219j 0.0137225+0.0691885j -0.00699742-0.0226544j 0.00705215-0.0178114j -0.00558502+0.16385j 0.00581623+0.0723466j -0.00750885+0.106903j 3.15512e-05+0.0329998j -0.00047804-0.0293433j 0.00292858-0.0118319j 0.00552561-0.0160911j -0.000127617-0.000808148j 0.00153292-0.0128068j -0.000349722-0.00740511j 0.00357519+0.00159838j 
0.000664974+0.00523494j 0.00144012+0.000649645j -0.00115463-0.00272818j 0.0025777-0.00260303j 0.00112704-0.00255926j 0.000514694+0.00258954j 0.000541109+0.000343604j 0.000962267-0.000396413j 0.00319058+0.00716092j -0.000236516-0.00596974j 0.00313246+0.00985079j -0.00293373+0.00756595j 0.000901914+0.00750554j -0.000378585-0.00112293j -0.00147499+0.0112583j 0.00158972+0.017236j -0.000402184-0.00401513j -0.00205037+0.0142005j 0.00275242-0.0082814j -0.00182164+0.00407558j 0.00188287+0.00917561j -0.00121194-0.0143395j -0.00148589+0.0189676j 0.00220244+0.0103576j -0.000340996-0.00947637j 0.00530248-0.00234049j 3.36788e-05+0.0110588j -0.000707641+0.00989484j -0.00763811-0.0160817j -0.000930425-0.00622716j 0.00445024+0.00247033j -0.00383234-0.00607152j -0.000911624-0.0172243j 0.000621876+0.00813432j 0.00715626+0.0264813j -0.000127746+0.00957786j -0.000403116-0.00260449j 0.00669628+0.00332632j 0.00282661+0.00825143j -0.000639835-0.0318289j -0.00158052-0.0282083j -0.00123208-0.00496119j 4.52531e-05+0.00209765j 0.00200079+0.0073835j 0.00306543-0.0193477j 0.00918468+0.00910507j 0.000623067+0.0272184j 0.00398441+0.0322652j 0.00493068+0.00667549j 0.00421065+0.0180781j -0.00295924+0.00891618j -0.00246168+0.00433458j 0.0107518-0.0184068j 0.00232903+0.0162224j -0.00504184+0.0625721j -2.39561e-05+0.0157508j -0.00942157+0.0266899j 0.00619221-0.0517021j 0.00422953+0.0589567j -0.0118203+0.0750137j -0.00596819+0.0546493j -0.00299345-0.165054j 0.00169894-0.0369061j 3.19911e-06+0.0270923j 0.000149529+0.00946869j -0.000311154-0.00965839j -0.00236826+0.0220517j 0.0036302-0.00288861j 0.00341044+0.00094444j -0.00068371+0.00761747j 
-0.00115148-0.000493689j 0.000516544+0.00347775j -0.00230807-0.00678556j 0.00180026-0.00712237j 0.000174204-0.00538262j -0.00155735-0.00899252j 0.00217961+0.00628352j -0.000200952-0.00580703j -0.00154803+0.00931947j -0.00217165+0.0020426j -0.000186347-0.0078129j -0.000477978+0.0077536j 0.00240683+0.00507179j -0.00174337+0.0333504j -0.004051-0.00828537j 0.00240821-0.00627535j 0.000239723-0.00464859j -0.00118816-0.0333974j 0.00372209+0.0150062j 0.00135478-0.0157502j 0.000330397-0.00965621j 0.000605057+0.00489302j 0.00100385+0.0229253j 0.00404184-0.00284236j -0.00363445-0.00693248j -0.00326744+0.0115789j -0.000197765+0.00181823j -0.00394631-0.00895339j -0.00124555-0.000374373j -0.00332463-0.0127742j -0.0053093-0.0341549j -0.00226379-0.00819762j -0.00341173-0.00280409j 0.0016909-0.00632769j 0.00405435-0.00969349j 0.00644706+0.0177003j -0.00341007-0.00142292j 0.00340111+0.0118129j -0.00212752-0.0446535j -0.00134371+0.0302043j 0.00507514+0.0133205j -0.00152017+0.0205455j 0.00348917+0.0285456j -0.00595767-0.0168834j -0.00473358+0.0101344j -0.00728687+0.025282j 0.00116098+0.0256297j 0.00248866-0.036151j -0.00277682-0.00037598j 0.00938658-0.0135153j -0.00795167-0.0175337j -0.00470177-0.0139215j -0.00586246+0.020443j 0.000844731-0.0268793j 0.00274189-0.024568j -0.00257709-0.0581267j 0.00516-0.106703j -0.00838285+0.00101207j 0.00579483-0.0853052j -0.00297236+0.0420428j -0.0098083+0.130171j -0.00122619-0.0589406j 0.00492014-0.0450592j 0.00434002+0.0185029j 0.000448583+0.0390797j 0.00466051-0.0221262j -0.00293977+0.0440475j 0.00711727+0.00541255j 0.00263775+0.00184406j -0.000926299+0.00709714j 
