0.0204803+0.0138742j 0.00341773+0.00285912j 0.0343282+0.00745591j 0.00191314+0.025466j -0.0122865+0.0337609j 0.0371511-0.00530161j 0.0293431+0.00787133j -0.000579731+0.0438616j 0.0270913-0.0228493j 0.0185695+0.00816479j 0.0096048-0.0297927j -0.026094+0.00412828j 0.0189272-0.0163437j 0.0118809+0.0270702j -0.0336967+0.00988071j -0.00420614-0.0380044j 0.0120342+0.00851047j 0.0173146+0.0168725j -0.0169574-0.0352935j 0.00664031+0.00710427j 0.0622851+0.00852389j -0.0226833-0.0335723j -0.017464+0.0130104j -0.113841+0.0403614j 0.0217752-0.0129743j -0.0427399-0.0768824j -0.079192+0.0359325j -0.0777187-0.039435j -0.00522845-0.0326613j 0.0778469+0.0406651j 0.033077+0.0212831j 0.0305831-0.0512806j -0.0241698-0.131289j 0.0462049+0.0656691j 0.0544115+0.0754543j -0.0130586-0.0423803j -0.108356-0.155819j -0.0271616-0.0149036j 0.0495908+0.0704869j 0.0678501+0.0878778j 0.108818+0.0366449j -0.0746928-0.00265056j -0.0347908-0.0121372j 0.0436314+0.121739j 0.0511594-0.0339267j -0.0506785-0.0244175j 0.0123898-0.157977j 0.0962961+0.100975j -0.0587429-0.115373j 0.024449+0.0521781j 0.06813+0.00780027j 0.0997906+0.046944j 0.00766301+0.0904915j 0.00386444-0.0844672j 0.0825324-0.0575259j 0.0959712+0.0111915j -0.0259973-0.114935j -0.117882+0.0252697j -0.00756316-0.0295367j 0.0230828+0.0924661j 0.0332821-0.0726911j -0.0544365+0.113186j -0.108138-0.0456807j 0.015209-0.0168547j 0.0603334+0.0629742j -0.03536-0.131811j 0.00371473+0.0556271j -0.11511+0.0265427j 0.0222328+0.11747j 0.0019285-0.0224956j 0.0456019-0.0116782j -0.0358903+0.0155654j -0.0940694+0.0662887j 0.0616275-0.00823721j -0.0522218-0.0896968j -0.00905741-0.113266j -0.0169595-0.0708544j 0.00681832+0.145389j 0.0693373-0.0429488j 0.0647581+0.0344309j 0.00800492-0.0115761j -0.0396437+0.0251103j 0.0391437-0.0635003j 0.017256+0.0311398j 0.0146001+0.00854266j 0.00743702+0.00893374j 0.0101901+0.00119971j 0.0128625+0.00579144j 0.0367749+0.0283052j 0.0346982-0.0186128j -0.000105616-0.0963061j -0.0633754-0.00671954j 
0.00992024-0.00738095j 0.0340791+0.00694055j 0.0260576+0.0333516j -0.0011312+0.0219951j -0.0230417+0.0273485j 0.0251187+0.0319043j -0.0025214+0.00314826j -0.0144332-0.00647247j -0.00573363+0.00931611j -0.0243568+0.0341602j -0.0285799-0.0148608j -0.0492701+0.00347149j -0.0578397-0.0537411j 0.0251347+0.00779241j -0.0362452-0.00309345j -0.00139724-0.00956184j 0.00515939+0.0145922j 0.0343577-0.0493456j 0.0098948-0.0318231j 0.0182705-0.0311469j 0.017378+0.0200756j -0.0111188-0.0435081j 0.0388049+0.00774656j 0.0398218+0.0233265j 0.0542217-0.000650247j 0.103516+0.0151153j -0.0821208-0.00176634j 0.067969-0.092134j 0.0153694+0.0254597j -0.00553197-0.0343571j -0.0525164+0.0346955j -0.0379726-0.0450302j -0.0358788-0.0916232j -0.00586096-0.0369526j -0.0617372+0.0245749j -0.0448379-0.0147929j 0.0690872+0.0476854j -0.00108658+0.0960996j 0.0848122-0.0019433j -0.024923-0.0690724j -0.0154939+0.034844j -0.0158988+0.0852829j -0.106302-0.0123042j 0.0229238-0.0777549j 0.0413917+0.0495799j 0.0312436+0.0318825j 0.0822518+0.0868659j -0.0850952-0.00955024j 0.108598-0.00164956j 0.00410399+0.052883j 0.0340186-0.0024716j -0.0110391+0.00348382j -0.018459-0.0574239j 0.0449706-0.0164561j 0.0933694+0.00111498j -0.0726024+0.0708266j 0.0235321+0.0238755j 0.0497169-0.0622116j 0.11279-0.0291943j -0.086658+0.00814521j 0.0423984+0.018542j 0.048219-0.0526113j -0.0391842+0.217502j 0.170873-0.0594275j -0.0432135+0.0751062j 0.0725236-0.046009j -0.128247-0.019432j 0.0324924-0.0541575j -0.0349317-0.0987985j 0.0796682-0.0126702j 0.0586976+0.024289j -0.0421732-0.0245421j -0.0121619+0.00145313j -0.0196426+0.0101023j -0.0563676-0.0392797j 0.100074+0.0243652j -0.0080689-0.0326709j 0.0437579+0.0351343j -0.0271104-0.0753031j 0.0756717-0.00666986j -0.0208-0.0292578j 0.0280361-0.00501386j 0.00303551-0.0209851j -0.030699-0.0016409j 0.00775359+0.0152159j -0.0163719-0.0703749j -0.0543372+0.042611j 0.0686263+0.0268158j -0.0102541-0.0135704j -0.021723+0.00651622j -0.0335465-0.0212261j 0.00455293+0.04412j 
-0.0234256-9.77802e-05j 0.00840354-0.00237921j 0.0166424-0.0189516j 0.0171377-0.00572552j 0.0223061-0.00862768j 0.0132035-0.0550109j 0.00932522+0.0445823j 0.0209877+0.0216672j -0.0352871+0.0120666j -0.0395594+0.0348283j 0.021782+0.0199709j 0.0220067+0.00610253j 0.0259553-0.0196197j -0.0290094+0.00523689j 0.0146847+0.00875803j 0.0158972-0.0174948j 0.00504583-0.0753722j -0.0327742+0.0614014j -0.0200168+0.013132j -0.0342069+0.00821842j -0.0394261-0.00036844j 0.0825405+0.0641833j -0.000685262-0.028541j 0.0421761+0.0416758j 0.0588857-0.0667099j 0.020092-0.0461022j -0.00946272-0.0102483j 0.036592-0.0262011j -0.109468+0.0193407j 0.095137-0.0366295j 0.0395554-0.0530842j 0.0297316-0.00548879j -0.0386726-0.0638129j -0.0203901+0.0368219j -0.0654437+0.00704472j -0.0441284-0.0348148j -0.040198-0.113345j 0.0588061+0.0507432j -0.00545672+0.0704322j 0.0506882+0.104788j 0.0437515-0.0275888j 0.0656049+0.0962697j 0.0394745-0.0398685j -0.0610755-0.00308834j 0.011998+0.062458j 0.0637382-0.0388661j 0.0301349-0.091705j -0.0218741-0.0203272j -0.042178+0.07504j -0.0989587-0.0418553j 0.0494966-0.0472861j 0.0647722-0.0616261j -0.0474622-0.0396071j -0.0500711-0.0107756j -0.0562481-0.0560465j -0.0223174-0.0213015j 0.105138+0.0713807j 0.0783805+0.0433328j -0.114261-0.0648816j 0.00572129-0.0635936j -0.0649011-0.109851j 0.0312527+0.0329702j -0.137701+0.0932814j 0.134163-0.145393j -0.0430387+0.0377411j 0.0526403-0.00279691j -0.0712179+0.132029j 0.14978-0.00212631j 0.00143631+0.0470627j 0.0090925-0.038825j 0.0108918-0.0782366j 0.0395891+0.0510957j -0.0244006-0.0416825j 0.00213136+0.0505604j 0.0766082+0.0794148j -0.00640012-0.0585649j -0.0300623+0.0161993j -0.0597833-0.00752015j 0.0161238+0.00255253j -0.0295454-0.0798158j 0.0728179+0.020188j 0.0482061+0.0256596j 0.0124647+0.00336815j -0.0436285-0.0278764j 0.0619067-0.0803471j 0.02437-0.0191297j -0.0111066-0.00142376j -0.0397307-0.0502806j -0.0339449+0.0147857j 0.0227569+0.0429616j 0.0270204+0.00548049j -0.00743386-0.00102357j 
-0.0184557-0.00390912j -0.00622883-0.0117709j 0.0444128+0.0127958j 0.00239863+0.0257268j -0.00882914+0.00443087j 0.00414373+0.0210593j 0.0205874+0.00143758j 0.00554311-0.0237692j -0.0502309+0.00764896j 0.00740712+0.0468872j 0.00335853+0.0101485j 0.000291517+0.00689681j -0.0137124-0.030325j 0.00554984-0.00518785j 0.0216858-0.0285618j 0.00499776+0.0326138j 0.0261317+0.0564032j 0.014383+0.0150613j -0.0805502-0.00622853j -0.066244+0.029128j 0.0120752+0.018759j -0.0320581+0.0229855j 0.00034491-0.0350409j 0.0524693-0.00464694j -0.0750454+0.0353765j -0.0403326+0.0585337j 0.0592244-0.0587949j 0.0449991+0.151188j 0.0448251+0.0253785j 0.00343209-0.0694562j 0.0523837-0.0626502j -0.025053-0.0587882j -0.139356+0.0370947j -0.0135888+0.0170806j 0.0377923-0.00963472j -0.024157-0.131164j -0.0939206-0.0321995j 0.0419014-0.0120258j 0.00438593-0.0545256j 0.00663462+0.0322502j -0.0591947+0.0900003j 0.0390809+0.0428986j 0.00174046+0.0899116j -0.0463078+0.00419893j -0.0471496-0.0655455j 0.00929616-0.0015204j -0.0460061-0.030849j 0.0438182-0.117659j 0.0363703+0.0626742j 0.0838144+0.0366852j 0.0904453-0.0448125j -0.0354374-0.0108157j 0.0595112-0.0298045j -0.0239241-0.0421901j -0.00728899+0.101791j 0.0828527+0.0129436j 0.125087+0.0929531j -0.0264594-0.107106j 0.00719693-0.00519502j -0.100678+0.0627812j 0.0821881-0.0724276j -0.0688963+0.0588247j 0.0788503-0.00818546j -0.00999127+0.0804856j 0.0483954+0.101075j -0.0957398-0.0897391j -0.107259+0.0624836j 0.155862-0.0870618j -0.0282224+0.0267605j -0.0536369+0.0117987j -0.030603-0.0449853j 0.0114613-0.0713584j -0.0443915+0.0215272j 0.0858393-0.0569738j -0.0140633+0.0362963j -0.0495726+0.019625j -0.0366807+0.000541628j 0.00338453+0.0603276j 0.00812984+0.0319261j 0.0277376+0.0591403j 0.0044106+0.101344j -0.0211006+0.00974234j 0.0611791+0.0303618j -0.054159+0.0187774j -0.00799983-0.0200761j -0.0471276-0.0302272j -0.00737093+0.060065j 0.050688-0.0127892j -0.0609884+0.0335716j 0.0388551+0.0125994j 0.0183614-0.00653139j -0.0112215-0.035803j 
0.0103157+0.00527607j 0.00738205+0.012851j -0.0153382-0.0136429j -0.00620376-0.0048081j 0.026974+0.0213286j -0.0158914+0.00835414j -0.00494562-0.0303195j -0.0192699+0.00931379j 0.0551573+0.0596086j -0.0170039-0.0393011j 0.0300195+0.0433363j -0.0492058+0.0239565j -0.0173715+0.00391114j 0.0497457-0.021021j 0.0713487-0.0311623j 0.084485-0.007824j 0.015063+0.0267203j 0.0317725+0.0409318j 0.014086+0.0559373j 0.0172578+0.00493727j 0.0228248-0.00506277j -0.0375539-0.0542151j 0.0678951+0.0252616j -0.0196067-0.0255887j -0.023811-0.156279j 0.0303339+0.0690852j 0.0233296-0.0886802j 0.0280029+0.000197769j 0.0486117-0.11329j -0.0255722-0.0228636j 0.0406879-0.0303331j -0.00184055+0.10581j 0.0307478+0.0348983j 0.0155989+0.0345363j 0.0129745+0.00733795j 0.135111-0.0185057j -0.0269879+0.0607377j -0.018833-0.0595394j -0.112325+0.00339735j -0.0396614-0.0812241j -0.0277991+0.017406j 0.0363234-0.127272j 0.172688+0.0915281j 0.0363927-0.0916875j -0.0386898-0.0726432j 0.00657505+0.0328362j -0.0794587+0.0883475j -0.0513047-0.0267503j -0.00333889+0.00409679j -0.00130174+0.0580612j -0.0523002+0.00730966j -0.089541-0.073332j 0.00927897-0.0951424j -0.0215401-0.0639144j 0.0288928+0.0350263j 0.0841066-0.0876927j 0.11308+0.0556508j -0.16387-0.0152786j 0.00397731-0.0620614j 0.0570039+0.0352414j 0.041107-0.0640751j -0.0608698+0.0140575j 0.0742487-0.000949821j 0.00407045-0.070633j 0.0674133-0.0426976j -0.102432-0.0832291j -0.0467732-0.0305903j -0.0922449+0.0324222j -0.0751558+0.0307522j 0.0676619-0.0569729j 0.039853-0.0352239j -0.0533313+0.0170768j 0.0284413+0.00073146j -0.0452655-0.0186105j 0.0173853+0.0490571j 0.0270127+0.0334104j -0.00481476+0.0368605j -0.00305339-0.0338951j -0.0134113-0.07727j -0.0164273+0.0319216j 0.0377296+0.0561653j -0.092291+0.0263718j 0.0332148+0.0100179j 0.0400256+0.0214869j -0.030954-0.00401551j -0.0300736+0.0472097j 0.054255+0.0490111j 0.0688067+0.00128439j 0.0122869-0.0455716j -0.0171688+0.00625188j 0.0264318+0.0142003j 0.0199431-0.00538352j 
-0.00914579-0.00203596j 0.00242787+0.00491538j -0.0486142+0.0134907j 0.00537829-0.0398301j 0.00378099+0.0171592j 0.00944652-0.00924683j -0.022247+0.0134652j 0.00909548+0.0227795j -0.0104444-0.00358751j -0.0314094-0.0397144j 0.011597-0.0247962j 0.0184875+0.0542689j -0.00620619-0.0188664j -0.065133-0.00524007j 0.0273025+0.0379293j -0.0127534+0.0462766j 0.0255841-0.0672907j 0.0436374-0.0591001j -0.0258376-0.0280226j 0.100789-0.105642j 0.0561847-0.0132535j -0.0394815+0.144725j 0.0129547-0.0245591j 0.111527+0.0739069j 0.00120199-0.00872053j -0.114642+0.0369589j 0.0928682+0.0460316j 0.0111199+0.0774125j 0.0392914-0.0212479j -0.0931977+0.00753126j -0.0721629+0.0114171j -0.0547137-0.021387j 0.144355+0.0825742j -0.0261087-0.0452034j 0.0206716-0.0211375j -0.0281232-0.0894626j -0.000717251+0.0695183j -0.0854379-0.0368415j -0.0354376-0.0343512j 0.0851734-0.0153238j -0.149717+0.0184669j 0.034697-0.00304131j 0.0158404+0.088335j 0.00559452+0.037628j -0.0958435+0.0747796j 0.0532775+0.0744934j -0.100902+0.0694202j 0.0629835-0.0388122j 0.0585949+0.0562946j -0.0864055+0.01977j 0.0693602+0.0818986j -0.0385812+0.128855j 0.0366594+0.0701426j 0.0198521-0.061972j 0.0560466+0.03761j 0.0451177-0.121782j 0.0396559-0.0561558j 0.00798538-0.0221173j -0.141122-0.0356399j 0.0296116-0.014426j -0.0645905+0.0558509j -0.0397817+0.149238j -0.0850732-0.00231904j 0.15003-0.0156422j -0.0163078+0.0322222j -0.120134-0.100755j 0.0293817+0.102489j 0.0913003-0.145667j 0.050805-0.00662824j 0.0307756-0.107036j -0.0391868-0.0623012j -0.0160715+0.0172165j 0.0302357+0.0431696j -0.0163703+0.0128928j 0.0170858-0.00188121j 0.0222929+0.0335376j -0.00474966-0.0262884j 0.00132317-0.0429274j 0.0199856+0.0166273j -0.0471765+0.0158398j 0.0111851+0.0447516j -0.0160717-0.017658j 0.00479577-0.0473381j 0.01772-0.0139661j 0.0422085-0.0461633j 0.00575683+0.0239826j 0.0494527-0.000155484j -0.0103727-0.0312253j -0.0254636+0.00618492j -0.0120013+0.0206908j 0.00681046+0.013362j 0.000690572+0.000612091j 
0.00716787-0.00960631j 0.000871034-0.00564623j 0.0121593-0.0349049j -0.00476841-0.000568474j 0.0389052-0.00641697j 0.000802924+0.0246377j 0.0259251-0.00422532j 0.0266455-0.00284533j 0.00972267-0.00731482j 0.0291179+0.040708j -0.0292036+0.0268491j 0.00138189+0.0157988j -0.0137062+0.0260457j -0.00161528-0.0102659j 0.0361921-0.0329248j 0.0512216+0.0375436j -0.0238828-0.0459324j -0.00471879-0.0327921j -0.0153916-0.0112868j 0.0179176+0.0691108j 0.0337591-0.0529086j -0.019401+0.0154469j 0.0373732-0.0200576j -0.01754-0.0676338j 0.0306444+0.096035j -0.0636889-0.0329069j 0.045157+0.0204113j 0.0586733-0.0330844j -0.00914266-0.00692478j -0.0138714-0.0680503j -0.0410932-0.0399141j -0.0203075-0.0331899j 0.0198995+0.0340079j -0.00882063-0.138301j -0.00024912+0.0132521j -0.0496637+0.0746295j 0.0918184-0.0392435j -0.113622+0.128819j -0.150685-0.121038j -0.0891625+0.0710496j 0.0143895-0.0334987j -0.0182735+0.130021j -0.012334+0.102829j 0.0101241-0.0272211j -0.0395573+0.0285177j -0.0799064+0.021986j -0.0362574-0.0308951j 0.0512531-0.184424j -0.0133233+0.0761642j 0.0595083+0.0811451j -0.0490957-0.0182016j -0.0699965+0.122777j -0.00613673-0.0193717j 0.0844219+0.0203246j 0.0470937+0.031473j 0.0978817+0.0638036j -0.1069-0.0205881j 0.00666916-0.0239491j 0.121945-0.0276948j 0.0406078-0.0465627j -0.0640744-0.0107315j -0.119701+0.00557541j 0.0346495+0.00139577j 0.0102143+0.127289j 0.0126049-0.0162831j 0.0662198+0.0411591j -0.0373798-0.00274892j -0.0237257+0.0895625j 0.00784893-0.0521204j 0.0169129+0.0126794j -0.0564353+0.018738j 0.0360781-0.0367648j -0.0121496-0.00637522j -0.0269013+0.00196361j 0.0246249+0.0367571j -0.00651046+0.059027j 0.00939746-0.00757481j -0.0222331-0.000122088j 0.0298639+0.0713905j 0.0177924-0.00334585j -0.0302712+0.0282999j -0.00736166-0.0115584j 0.0690755+0.000902547j -0.0071163+0.00431254j 0.00164115+0.0347264j -0.0282893-0.0283446j -0.00542454+0.0072852j 0.00284295-0.0203948j 0.00920104-0.0156899j 0.0163051-0.00766824j 0.0190626+0.014114j -0.000239318-0.0164018j 
-0.012169-0.00360268j 0.0299014-0.00650045j 0.015649+0.0174421j -0.0199164+0.0086178j -0.01081+0.0236984j 0.0148681-0.00149043j 0.0230207-0.00828749j -0.00921569-0.0124445j -0.0116603+0.01705j -0.00761826+0.0457847j 0.0374948-0.00741659j -0.0335684-0.00197603j -0.0298078-0.0429572j 0.014203+0.0205731j -0.0156778+0.0197761j 0.0469801-0.0249832j -0.00582384+0.020642j 0.0031678+0.0183888j -0.0168233+0.0280328j -0.0333835-0.00199j 0.0270563+0.00869237j 0.0175631+0.0246136j -0.0282213+0.0629943j -0.094002-0.0904047j 0.0191872+0.0419808j 0.0651429+0.0274975j -0.0737881-0.0539741j 0.0793132+0.0118888j 0.0328357+0.0726643j 0.0399628-0.0557961j 0.00868999-0.0755339j -0.00480058-0.0546978j -0.0509721-0.0266489j 0.0176688+0.0296481j 0.0306269-0.000985839j -0.0577649+0.0106845j 0.00258127+0.0187419j 0.0189978+0.0612353j 0.0196999-0.119793j -0.00747121-0.0425625j 0.103729+0.153954j -0.0187607-0.0320596j 0.0266263-0.0444348j 0.0453173+0.0363211j -0.100116-0.0962705j -0.0541682-0.0684112j 0.0940518-0.0471467j 0.0241495-0.0730516j -0.0197116-0.0607659j -0.0107758+0.000813746j -0.00203983-0.110918j -0.126647+0.0301636j -0.0504573+0.0273619j -0.0547152+0.0772364j -0.0671793+0.0310893j -0.0379121+0.0504031j 0.0217674-0.106899j -0.0699118+0.105728j 0.0139574+0.0368245j 0.0439769+0.0332737j -0.0254483-0.0795587j 0.137316-0.0606076j 0.0365319-0.0452897j 0.00120633-0.0558601j -0.0058034+0.0494543j -0.0969765+0.0388076j -0.00520739+0.024312j 0.0576623+0.00270277j 0.0847019+0.0768666j 0.0229951-0.054384j 0.0254848-0.0296167j 0.0692336-0.029944j 0.0097118-0.0390804j -0.0219564+0.0187702j 0.0197583+0.0546488j 0.0213683+0.00143907j 0.0203238-0.0124054j 0.0229697-0.0130761j -0.0504381-0.0016239j 0.0425636+0.0160222j 0.0476893-0.0280285j 0.0114949+0.0703366j -0.0286792+0.0112482j 0.015781-0.00237826j -0.0109967+0.00739936j 0.0145299+0.0147605j -0.00590764+0.0384953j 0.019665-0.0167467j -0.0488743+0.00476036j -0.0390924+0.0368451j -0.0075842+0.0057179j 0.00685254+0.00196454j 
0.00484276+0.0201312j -0.00613551+0.0131834j -0.00744947+0.0212441j -0.00239886-0.0045642j -0.0210865-0.0158304j -0.00681664-0.0147844j -0.0279158-0.000533302j -0.0174954-0.0304539j 0.00265186+0.00930706j -0.0187397-0.0151772j 0.00600958+0.0107045j -0.0353599-0.0463034j 0.040174-0.0413342j 0.0145019+0.0546252j 0.00621013-0.0328505j 0.00605608+0.0281775j 0.030309+0.0143626j -0.00529843+0.0588503j 0.0248394+0.038193j -0.000541154-0.023997j -0.0132381+0.0183373j -0.0125607-0.0982812j -0.0105573-0.00670786j -0.0405239-0.0598464j 0.00749053-0.0264247j -0.00917661-0.0492537j 0.0477163-0.0823295j 0.0124205-0.0127698j -0.0496947+0.0219138j 0.0146448-0.0137007j 0.0526203+0.0302884j 0.0922543-0.0214287j 0.0289565-0.112089j 0.0223691+0.0274811j -0.110789+0.0421436j -0.0127723+0.0756694j 0.0212336-0.118902j -0.000749013+0.064348j 0.00969666-0.0116586j -0.121371+0.0230738j -0.0349465-0.0627503j 0.0372414-0.00237208j 0.0887316+0.0385061j -0.0176874-0.0183759j -0.0289623-0.114697j 0.0967464-0.0347204j 0.02299-0.14022j -0.0803744-0.0606741j -0.0310468-0.0829672j -0.118756+0.0905901j -0.068755-0.0585442j -0.0669063-0.031816j -0.0453738+0.0356044j 0.0626477-0.000459697j -0.00162343-0.0353713j 0.0240663+0.0854013j 0.0543458+0.0139874j -0.0388952-0.0482099j -0.03258+0.0258771j 0.00169366+0.076526j 0.0168188-0.0693647j -0.126573+0.0342496j 0.105448-0.0165183j -0.0883004-0.0229934j -0.102404-0.0142378j 0.107166-0.0244711j -0.0891463-0.0338037j 0.0937203-0.0501369j -0.0580637+0.0181385j -0.00696216-0.00211471j 0.0467549+0.00274961j -0.02308-0.0224656j -0.00521819-0.0213947j -0.00584697+0.00290428j 0.0476807+0.0595805j 0.00217387-0.0468579j 0.0334238-0.0718729j 0.00649814+0.0129559j -0.0535596-0.013831j -0.0313423+0.00564663j -0.061028+0.00116048j 0.0119467-0.0207672j -0.00232602+0.00860787j 0.0249989+0.00242839j 0.0263017-0.00382676j -0.00732895+0.0060447j 0.014287+0.0361413j 0.0165999+0.0115705j -0.0370001+0.0148116j -0.00325223+0.0295349j -0.000891133-0.000419943j 0.0137108-0.00159238j 
0.0129524-0.00784131j 0.0383975+0.00884334j -0.031603-0.0110693j 0.0330071-0.022753j 0.0263207-0.0245131j 0.0297017-0.0515238j -0.0400231-0.0401015j 0.00439284-0.0286558j -0.00139336-0.0428481j -0.0313343+0.042542j -0.0129881-0.0110734j -0.0505441-0.0432176j -0.00540181-0.0571424j -0.0139612+0.0409029j 0.0576957-0.11899j -0.0482973+0.0152536j 0.0203047-0.0135316j -0.114465-0.0304496j 0.0201053+0.152994j 0.0486177-0.0220078j 0.0396919-0.0444662j -0.004806+0.0494478j 0.0216411+0.124369j 0.030727-0.114211j -0.0379729+0.104406j 0.0645377-0.0536469j 0.0683461-0.0443172j -0.0312975+0.037441j 0.00429646+0.0413782j 0.0572009+0.026975j -0.0399967-0.0488206j 0.0650936-0.00399526j 0.0754567+0.016653j 0.00147552-0.142116j -0.0317787-0.0288354j 0.0251968+0.0362873j 0.107808+0.101775j 0.100221+0.0983609j 0.00907319-0.0537077j -0.0105523-0.0371542j 0.0840666+0.0108205j -0.0927344+0.0741629j -0.024943-0.0829535j -0.0733013+0.00915326j 0.0744161-0.0756759j -0.0668131-0.0385563j 0.0244712+0.0740283j 0.0841425-0.176589j -0.0749145+0.0199573j 0.171398+0.0840099j -0.0686763+0.00160768j 0.0432648+0.0561228j 0.0433654-0.00577957j -0.0925991+0.073923j -0.0282867+0.0666994j 0.047938+0.00503329j 0.021506-0.00337946j 0.0742658+0.0291588j -0.0323609+0.0326641j 0.018599-0.048268j 0.0374721+0.0473258j -0.0381546+0.0394161j -0.0354071-0.108374j 0.0254561-0.0192477j 0.102285+0.0184827j -0.0512232+0.0484468j 0.0753638-0.00381156j -0.0356781-0.143799j -0.0671053-0.0309639j -0.10501+0.0313094j 0.0193097+0.0266809j -0.033632-0.0628427j -0.0200545-0.0422543j -0.015907-0.0517216j -0.0150877+0.0235474j -0.00720776-0.00373692j -0.103193-0.0577126j -0.0731265-0.00420157j -0.072085-0.0173707j -0.0139118+0.0418206j 0.000189009+0.00788695j -0.0653182+0.0298807j 0.0244559-0.0251854j 0.00728396-0.0281338j 0.0251916-0.0129592j 0.00804426+0.0240939j 0.0322858+0.0001566j 0.000270716+0.0176841j 0.0132196+0.0472178j 0.0377352+0.0116866j -0.000301198+0.00702722j 0.0439257+0.0183233j 
-0.0192142+0.0102802j -0.0127464+0.000456032j -0.0248335-0.0195626j 0.0384446-0.0195361j 0.0144871-0.0260181j -0.00608711-0.00925673j -0.00702159-0.0158287j 0.0227897+0.0342572j -0.0363151+0.0141631j -0.00215424+0.0286001j 0.0256177+0.0347907j -0.064126-0.0625985j 0.0403524+0.012094j 0.0118348+0.00193184j 0.103945-0.0638928j -0.0166928-0.017982j 0.0627654-0.00192745j 0.0113514-0.057183j -0.084967+0.0607606j -0.00418991-0.0846382j 0.0024738+0.0645106j 0.0732024+0.0450289j 0.0645044-0.0274669j -0.0694291-0.0836777j -0.00474905-0.0862686j -0.0437406-0.0567678j 0.19838+0.134799j 0.0718882-0.0965409j 0.00533478+0.0205768j 0.0758671-0.0452763j -0.0421466+0.0541758j 0.0200965-0.0395115j 0.0632496-0.0257557j 0.126796+0.0127627j -0.0613673-0.000465333j -0.0238657+0.0243516j 0.042385+0.0599846j -0.0754765-0.0177547j -0.126275+0.168511j -0.0405764-0.0229826j 0.0360172-0.0135872j 0.0538351+0.0223547j 0.113933-0.0602475j 0.111334-0.0313604j 0.00849213+0.0464962j -0.112982-0.0774876j -0.082118-0.0178282j 0.062711+0.0447886j -0.0549004-0.00635618j -0.161918+0.0020321j -0.153249+0.00510625j -0.079987+0.0147337j 0.0411884-0.0454492j 0.0299504-0.00964348j -0.0205406-0.0662146j 0.0143759-0.0332404j 0.0313506-0.0607352j 0.032366+0.0107948j 0.10185-0.0496841j 0.0730981-0.0324047j -0.0941044+0.0697788j -0.0164515-0.0425614j -0.12134+0.023117j 0.127461-0.0779657j -0.00520448+0.0105014j 0.0394372-0.030396j -0.0608182+0.0256953j 0.0195701+0.0120922j 0.0375228+0.0404711j 0.0536663+0.0124056j -0.0153692+0.0750992j 0.0173884-0.0461773j 0.00869559+0.00563963j 0.000872433-0.0033157j 0.0441459-0.0209769j -0.0394934+0.00994784j -0.0131715+0.0414401j -0.0484958-0.0207262j 0.0332664+0.0408763j -0.0530648-0.0138662j -0.000395067+0.00638855j -0.00792806-0.057447j 0.0598638+4.97695e-05j -0.00750561+0.032255j 0.000968416+0.00106565j 0.0318906+0.03063j 0.00958128-0.0235331j 0.0128545-0.0184088j 0.0358487+0.00777857j -0.00644-0.0489694j 0.0446153+0.0167739j 0.0042102-0.0221532j 
