-0.00834707-0.07963j -0.0267469+0.106213j 0.0185367+0.0752568j 0.00129521-0.309511j 0.0982302-0.0530881j -0.0343449-0.0198944j -0.00572699+0.0505096j -0.0857134+0.0597192j 0.00354407-0.0640022j -0.00408939+0.0371332j 0.0416353-0.0247799j -0.0205513-0.0516714j -0.0130662+0.0105731j 0.0218894-0.039732j 0.00165021-0.0548174j 0.0336594-0.0480182j -0.0415185-0.00107577j 0.0317911+0.0218903j 0.0736423+0.0138564j -0.0157586+0.072454j 0.0195012-0.0119404j 0.00359127-0.0151133j -0.00841968-0.0497848j -0.0409119+0.0129542j 0.0252741+0.0189247j -0.0261014+0.0257988j -0.0376423+0.00704692j -0.00617346-0.0170103j -0.00416425-0.00695523j -0.0217462+0.0325254j -0.0125894-0.0142754j -0.0311229-0.0381441j 0.0139881-0.0386241j -0.0530534-0.0154816j 0.0135685+0.0519905j -0.0214223+0.0103966j 
-0.0340383+0.103186j 0.0450934-0.123435j -0.00112483-0.0196178j 0.00904683+0.368983j -0.045772+0.0518016j 0.0645407-0.0397993j -0.020429-0.0111154j 0.0274201-0.184517j -0.0283147+0.0714566j 0.0555678-0.054478j -0.0116392+0.0360947j 0.0867634+0.0250849j -0.031059-0.0271634j 0.0287293+0.0699249j 0.0373984+0.045782j 0.0584906+0.0463702j 0.0259654-0.0587164j -0.0646056-0.0452639j -0.0599124+0.0493537j -0.0503288-0.109203j -0.00417362+0.0597177j -0.00310308+0.00847026j 0.042691+0.0554805j 0.0601282-0.0301328j -0.0530479+0.0433043j 0.0532487-0.0456569j 0.0234995-0.0551557j 0.0140558+0.00137434j 0.040181+0.00844198j -0.00731767-0.0199577j 0.0109026+0.0494633j 0.0364138+0.0240345j 0.035412+0.115752j 0.0562987-0.0154862j -0.0489573-0.047931j -0.0102766-0.0385904j 
-0.0627084+0.159173j 0.0341191+0.0399039j -0.00264595-0.660162j 0.00206493-0.0953942j -0.00479314+0.0449884j 0.0235851+0.192394j -0.0530422+0.0935898j 0.0251885+0.0677681j -0.0243193+0.168426j 0.0193715-0.0337682j 0.0313326-0.122104j 0.0521668-0.0233764j -0.0276463-0.0335539j -0.0857787+0.0311797j -0.0817476+0.00801297j -0.0755937-0.0466856j 0.025233+0.0778534j -0.051368-0.085486j 0.054412-0.0523072j 0.0858991-0.0574609j -0.000631203-0.0834025j -0.0340934+0.0625593j -0.0214608+0.0550912j 0.00869765+0.0302181j -0.00357815-0.0238945j 0.011241-0.00861679j 0.000857955+0.0265839j 0.0117898+0.00529091j 0.00282628-0.0285117j 0.0131624-0.00546186j 0.00755647-0.00673145j -0.0374799+0.0556985j -0.0541655-0.0154467j 0.0547376+0.0783163j 0.0129627-0.0323986j 0.058185+0.019074j 
-0.017009+0.0522207j -0.00181665-0.115075j 0.00345325+0.297835j -0.0172236+0.663291j 0.0163073-0.183943j -0.00901184+0.00676454j -0.0362256-0.0823786j 0.0165164+0.16305j 0.00352172+0.0188373j 0.00193856-0.0884621j 0.0381356+0.0719984j -0.0720523-0.00501199j 0.000174092+0.0159065j -0.00544354+0.0343867j -0.0739445+0.0305801j -0.101256+0.00406388j 0.0428423+0.0547181j 0.0150722-0.0216519j -0.051654-0.109863j 0.0523224-0.0202065j -0.0519377-0.0347209j -0.0209539-0.02441j -0.0419574+0.0373639j -0.00596677+0.0287409j 0.000812682-0.0847547j -0.00874259+0.0656125j -0.0183906+0.0191227j 0.00789622-0.0125498j 0.00130596+0.00826735j -0.00689465-0.0110492j -0.0136184-0.00693005j -0.0185464+0.0178648j -0.0920807-0.0558723j -0.00999927-0.00749039j 0.018484-0.0236053j 0.065176+0.00450542j 
-0.0968508-0.135072j 0.0852056+0.0785269j -0.0272119+0.538261j 0.0119989-0.34168j -0.0601898-0.239398j 0.0182582-0.0863256j -0.0698129+0.299046j 0.079485-0.0488323j -0.0713075-0.0095284j 0.071722-0.0136288j 0.00345522-0.0782352j -0.0025201+0.0147914j 0.0178913+0.0826484j -0.0122234+0.0319614j -0.0374153+0.0338424j -0.0466966-0.0582082j 0.0253817-0.0166719j -0.0525703-0.0874912j 0.0142293-0.0450106j 0.0185802-0.0066626j 0.0112051+0.0268774j -0.0470766+0.0638925j -0.0440262+0.0858502j 0.0487868+0.0242626j -0.0174162-0.026298j 0.030726-0.0124129j -0.00747465+0.00742763j -0.00026462+0.00450405j 0.0158762+0.0061069j 0.0136989+0.0130493j 0.0405826+0.0963539j -0.0271288+0.0375986j -0.0345762-0.00974571j 0.0750172+0.0534989j -0.00378748+0.00297557j 0.0501118+0.0046782j 
-0.0288106-0.0711858j 0.102637+0.0893318j -0.0226815-0.0987236j -0.0416611-0.0966028j -0.19768+0.0186109j 0.143021+0.00103994j 0.0162741-0.112551j 0.456717+0.0327973j -0.0168999-0.105876j -0.0554103+0.139508j -0.0129322-0.0323635j -0.122242+0.112653j 0.0264315-0.0287481j -0.0514436-0.0369316j -0.0273573+0.0183483j 0.0151249+0.104357j 0.0618862-0.0493053j 0.106056-0.0627827j -0.100511+0.0157592j 0.0713021-0.0358619j -0.0966063+0.0247192j -0.0143059-0.00790516j -0.0458707+0.0592378j 0.0394722+0.0913336j -0.0238127-0.0320648j 0.0552497+0.0354004j 0.00744075+0.00181108j 0.0145638+0.0231043j 0.037392+0.0118002j 0.0307211+0.00686876j -0.0633005-0.0149632j 0.0124125-0.0098302j -0.113686-0.00526342j 0.00285539+0.0386505j -0.00388424+0.0253806j 0.108877+0.0221165j 
-0.186125-0.066939j 0.051397+0.0230502j 0.0249911-0.0753196j -0.0147467+0.170358j 0.148258-0.0022826j -0.0941961-0.0839898j -0.335882-0.169219j -0.00321163-0.0349537j -0.206379-0.0637216j 0.153928+0.0658095j 0.109423-0.00176576j 0.055659+0.0576046j -0.0585502+0.000482487j -0.0748988-0.0249835j -0.0223276-0.102603j 0.130697-0.0844776j -0.0912745-0.0298472j 0.0983208-0.171067j 0.0966118+0.0590201j 0.0411246+0.0752258j 0.0602039+3.9726e-05j -0.0476393-0.0258899j -0.0578875-0.0159153j 0.0452505-0.0104064j 0.0388993+0.0330153j 0.0517082+0.0236019j -0.00431577+0.0127357j 0.00212403-0.0270271j 0.0142364+0.0148821j 0.0113274+0.00297917j 0.0341359+0.0586455j -0.132401-0.0324455j 0.0229019-0.0183593j -0.0518883+0.026834j 0.0969918+0.0187806j 0.0334848+0.0269476j 
-0.0879188+0.0182826j -0.145513+0.0400075j 0.0717547-0.0404582j 0.027855+0.0196866j 0.177174-0.125663j 0.405167-0.247954j 0.248288-0.128446j -0.0329243-0.0466745j -0.0929494+0.0976853j -0.120992+0.0417055j 0.0711179-0.0120748j -0.0655497+0.0393915j -0.117897+0.140189j -0.0213997+0.0323086j 0.0277238-0.0106213j -0.0173281+0.0280728j 0.0332983+0.014294j -0.0162633-0.054091j 0.0539427+0.00240899j -0.0310368+0.0672736j 0.0614061-0.024059j 0.00385883+0.00498484j 0.00243443+0.0229137j 0.0351943-0.0328499j 0.00363778+0.00748359j 0.0235937+0.00112069j -0.0478605-0.0171648j -0.035436+0.00124468j -0.0227792+0.00334916j -0.0366423+0.0144916j 0.0416953+0.00797365j 0.0159359-0.0113245j 0.00649267+0.00034515j -0.0173617+0.0251787j 0.00203073+9.00835e-05j -0.0197008+0.00807283j 
0.103207+0.0753393j 0.0475262+0.10401j -0.0629477-0.0427606j 0.00678926-0.0412478j -0.135579-0.0861355j -0.263229-0.374539j -0.0132787-0.199749j -0.0926373-0.120029j 0.174612+0.14303j 0.0223361+0.151975j -0.00391016-0.0541466j 0.0508235+0.127144j 0.178517+0.104072j -0.0186096+0.000178002j -0.0340461+0.0364673j -0.00796968+0.0144853j 0.0453442-0.0204144j -0.0853633+0.00436323j 0.00558483-0.0454845j 0.0186409+0.00536088j -0.0590398-0.0664358j -0.0181179-0.020038j -0.00642057+0.0385969j 0.00349092+0.0335315j 0.00617984+0.0190301j -0.0365857-0.0126474j 0.0280526+0.0174557j 0.0139088+0.0137476j 0.0361484+0.0231714j 0.0221802+0.0215462j -0.00539799-0.0278442j -0.000421917+0.00357633j -0.0188003+0.00217071j 0.0315857+0.0280653j -0.025134-0.0126141j 0.00932306-0.000336832j 
0.0300963+0.0466496j 0.0228602+0.0750344j -0.0194739-0.019375j 0.0062926+0.177139j -0.0902506-0.270574j -0.0134999+0.00719037j 0.0232044-0.0233905j 0.0440876+0.447321j 0.0303961+0.0895729j 0.0142633-0.0756868j -0.0470473-0.150455j 0.0219668-0.084757j 0.0719833+0.0990144j -0.0103328+0.0462025j 0.0277547-0.066126j 0.124129-0.0588185j -0.0468098-0.0623906j 0.000441085+0.0705721j 0.0290129+0.0864143j -0.0390836+0.0900339j 0.00343371-0.0528561j 0.00114257-0.00440244j 0.00939794-0.0131022j 0.0160534-0.0224004j -0.0302715-0.0195553j -0.0238758-0.0384996j -0.0102782-0.0109302j -0.033145+0.000172383j -0.0108948-0.0384251j 0.0418615+0.0127116j -0.00915284+0.00436471j 0.0101414+0.0115574j 0.0509442+0.0386136j 0.0425302+0.0368988j -0.00306751-0.0131717j -0.0559757+0.0461817j 
0.0187754-0.0944752j -0.035125+0.084373j 0.0200763-0.0422243j 0.0297678-0.0703756j 0.10524-0.041054j -0.0296986+0.133827j 0.0301228-0.112003j -0.293939+0.15934j 0.0272022-0.204041j 0.101534+0.0763463j 0.194928-0.0878168j 0.0211254+0.0833927j -0.0780878-0.029025j -0.0751594-0.0248892j 0.0467787+0.072116j -0.047036+0.196875j 0.165861-0.0677676j -0.0848881+0.00500115j -0.185207-0.0603295j -0.0218947-0.0757117j -0.0432937+0.00955709j -0.0355622+0.0357078j 0.00251989+0.104303j 0.0849647+0.0602105j -0.05747-0.0452224j 0.0957377+0.0552968j 0.0193843+0.0381644j 0.0203736+0.0494713j 0.037656+0.0388616j -0.00734922-0.0279261j -0.00846045+0.0459491j -0.00920269+0.0371612j -0.0216335+0.0595662j 0.0198255+0.0379664j -0.0442665-0.0240966j 0.00174233+0.0161464j 
