0.00308833+2.77556e-17j 0.164554+0.0639281j -0.0885947+0.0948001j -0.0874311-0.0814232j 0.122818+0.125135j -0.0575653-0.0876273j -0.173699+0.0211344j -0.0506482-0.0989875j 0.0867234+0.00117143j -0.113499-0.0716516j 0.080775+0.0123568j 0.0192242+0.0697678j -0.0643841+0.0352385j 0.013001-0.0224635j 0.0219781-0.0211075j 0.0166356-0.0187017j -0.0319535-0.0417936j 0.0492182-0.0218301j -0.0746848+0.0533119j -0.00569886+0.0101615j 0.0535463-0.0597943j -0.01449-0.0289336j 0.0655613-0.0187365j -0.074503-0.0277051j -0.0331955-0.0219981j -0.0557964-0.122534j -0.0122544+0.0396562j -0.0412562-0.0288958j -0.107657-0.138859j -0.032103-0.202901j 0.142867-0.066143j -0.0219622+0.14184j -0.0507628+0.145775j 0.124089+0.031956j 0.0828036+0.000265228j 0.157518+0.434772j 
0.164554-0.0639281j -0.203938-1.11022e-16j -0.00550733-0.103219j 0.0381197-0.0151411j 0.054827+0.00269501j 0.0604482-0.095103j 0.00952468-0.0149455j 0.0866225-0.0308334j -0.0270409+0.100116j 0.0847009-0.0174382j -0.0296689-0.04134j -0.0679675+0.00491328j 0.029832+0.00662045j 0.0341828-0.0383994j -0.027026+0.0030303j -0.000416554+0.0193695j 0.103357-0.0517566j 0.000122578+0.0164425j 0.0146104+0.0996358j 0.0100498-0.0324893j -0.0211474+0.0150111j -0.0776535-0.0367303j -0.0574836+0.0344389j 0.0578326-0.0839036j 0.0133109-0.0653014j 0.0232605-0.144048j 0.0111939+0.0253853j 0.0448156-0.00158188j 0.0338319-0.0642709j 0.0201344-0.0101598j -0.113296+0.16036j -0.247459+0.135535j -0.139258+0.101997j -0.198706+0.110208j 0.0206393-0.380412j -0.066003+0.159547j 
-0.0885947-0.0948001j -0.00550733+0.103219j -0.403304-8.60423e-16j 0.0142229-0.442649j 0.120987-0.0154418j 0.146728-0.0128033j 0.0430693+0.103975j -0.00573032-0.0414826j 0.056248+0.0157018j 0.0321005-0.00337798j 0.0487986-0.0406871j -0.0207238+0.0350897j 0.045962-0.011752j -0.0162178+0.0243368j 0.0309912-0.0395864j 0.0553804-0.0593353j 0.0328652-0.0423791j -0.0439186-0.0192479j 0.0266378+0.012837j 0.0301478+0.07175j 0.0138821-0.0371146j -0.0413747+0.0037253j -0.0654429+0.0500956j 0.0195472-0.0355304j -0.0254335-0.00527434j 0.0243163+0.0616425j -0.0118423-0.0520137j -0.0111133-0.00565315j -0.0487561+0.119928j 0.0684341-0.0179814j 0.0317706-0.0341081j -0.0514141-0.0381837j -0.00547513+0.106183j 0.0103821-0.0947341j -0.0547346+0.0740747j -0.0785589-0.0767496j 
-0.0874311+0.0814232j 0.0381197+0.0151411j 0.0142229+0.442649j -0.449651-2.498e-16j -0.046639-0.1335j 0.0582331-0.0458661j 0.0933283-0.0423176j 0.0300942-0.0489558j 0.0554294-0.0358103j 0.0204383-0.0154348j -0.0807956-0.0255732j 0.000595241+0.0120026j -0.00414899+0.0104708j 0.0490285+0.0214254j -0.0455196+0.0141395j 0.0316206-0.0205643j 0.0395242-0.0301415j -0.0299971-0.0189505j 0.0322984+0.0127353j 0.0212289-0.0218075j -0.0528278-0.0307565j 0.01864-0.0270414j -0.0206202+0.0451144j -0.000537034-0.0302691j 0.0420505+0.0100291j -0.020265-0.00351577j 0.000613782+0.00710455j -0.00105289-0.00972753j 0.0261926+0.0362208j 0.038305+0.0152799j -0.0282227+0.0197001j -0.0959897-0.00540233j 0.0127091+0.0418977j -0.156949+0.0358364j -0.0179393-0.103123j -0.0275072-0.0580662j 
0.122818-0.125135j 0.054827-0.00269501j 0.120987+0.0154418j -0.046639+0.1335j 0.0654197+2.63678e-16j -0.0705421-0.231513j -0.0500268-0.0416969j 0.0411218-0.209026j 0.0459105+0.191719j 0.00721326-0.0205596j -0.0425124-0.03985j -0.0299437+0.0684074j -0.0727952+0.00530241j 0.0680076-0.0640267j 0.0702652-0.0472467j 0.0167936-0.0160075j 0.0134964-0.0278111j 0.083349-0.0340397j 0.0733318-0.00053489j -0.0117109+0.00325257j -0.0310546+0.0527924j -0.0655859+0.00668283j -0.0524188-0.00392338j 0.0281211-0.00603671j -0.0647124+0.0154083j 0.040371+0.00256867j 0.0207404-0.0474197j 0.0141712-0.00197428j 0.00993066+0.127093j 0.0549182+0.130176j 0.259984-0.0123281j -0.0781123+0.0554813j 0.0510829+0.0555828j 0.0761721-0.249107j -0.238945+0.21482j -0.105687-0.0790692j 
-0.0575653+0.0876273j 0.0604482+0.095103j 0.146728+0.0128033j 0.0582331+0.0458661j -0.0705421+0.231513j 0.333638+3.05311e-16j -0.186941-0.0149144j 0.125308-0.324887j -0.0419956-0.0931233j -0.183332+0.0947037j 0.0111126-0.058772j -0.105901+0.0676575j 0.150643+0.00872593j 0.0349738-0.00485202j -0.0330674+0.022064j 0.089528-0.0223569j 0.095785-0.0170178j -0.0266934-0.0316967j -0.0698405+0.117947j 0.0943119+0.0617084j -0.0381926-0.145348j -0.0357672-0.0017313j 0.0109532-0.0183747j 0.047234-0.0284602j 0.0620929-0.0491937j 0.0326554+0.0251301j 0.0173014-0.0896395j 0.0308318-0.0251972j -0.0887047+0.0297533j -0.0813303+0.00790887j -0.112897-0.127918j -0.0829057+0.00645574j -0.081477+0.242752j 0.0870251-0.0485737j 0.155504+0.00359725j -0.0412867+0.0454641j 
-0.173699-0.0211344j 0.00952468+0.0149455j 0.0430693-0.103975j 0.0933283+0.0423176j -0.0500268+0.0416969j -0.186941+0.0149144j -0.083903-7.21645e-16j -0.296762-0.119667j 0.208989-0.00639951j 0.158832+0.0487963j -0.0165323+0.0984862j 0.0951797+0.0106688j -0.123783+0.0114437j -0.0259696-0.00793705j -0.115929-0.0113595j 0.121512-0.0814362j 0.0456734-0.0348374j -0.136407+0.00238206j 0.0135124+0.0875363j 0.0227456+0.0534855j -0.0832073-0.0532198j -0.00426017-0.0742938j 0.0265905+0.0465308j -0.0236641-0.0448963j -0.0359022-0.000268107j -0.0581642+0.0371685j -0.0210306-0.108822j -0.0350307-0.0172471j 0.0169917+0.0204104j 0.0754359-0.0496158j -0.114628-0.0964081j -0.117584-0.0507896j 0.0393072+0.22329j -0.115137+0.0743447j 0.0309019-0.0614248j -0.019766-0.0164275j 
-0.0506482+0.0989875j 0.0866225+0.0308334j -0.00573032+0.0414826j 0.0300942+0.0489558j 0.0411218+0.209026j 0.125308+0.324887j -0.296762+0.119667j 0.0424288-1.33227e-15j 0.210863-0.244891j -0.0344513-0.112542j -0.163626-0.149915j -0.0563557-0.0120328j 0.0208365+0.200951j 0.0287037-0.0275317j -6.40846e-05+0.048373j 0.0264706-0.0448157j 0.0591606+0.00691052j 0.087849+0.0365838j 0.0246753-0.0882449j 0.00986962-0.00827174j -0.10578+0.00678171j -0.104323-0.0609156j -0.054783-0.0649535j 0.0476499-0.0134316j 0.00413204+0.00452911j -0.0883443+0.0292544j -0.0114592+0.113072j -0.0247504+0.0625458j 0.0351708+0.0865236j 0.0794241+0.0465236j 0.22944+0.030041j -0.172747+0.101914j 0.0183871-0.0661797j -0.226923-0.134171j -0.0992299-0.0744863j 0.00326845-0.113004j 
0.0867234-0.00117143j -0.0270409-0.100116j 0.056248-0.0157018j 0.0554294+0.0358103j 0.0459105-0.191719j -0.0419956+0.0931233j 0.208989+0.00639951j 0.210863+0.244891j -0.1463-6.66134e-16j 0.144835+0.00691486j 0.038673+0.23972j 0.129128-0.0572216j 0.115005-0.0141502j 0.0460558-0.0138374j 0.0796882-0.0879076j 0.161636-0.25498j 0.0136791-0.137335j 0.0844723-0.0406395j -0.0214146+0.0012392j -0.102891+0.11377j -0.0135572-0.0425186j 0.0387422-0.0823999j -0.0611169+0.0698246j 0.0844281+0.0792135j -0.0344402+0.14257j -0.000389267+0.0755393j 0.00264518-0.150512j 0.00687513-0.0662574j -0.0650507+0.0220867j 0.0471109-0.0625318j 0.104906-0.126726j -0.132679+0.0477051j -0.037516+0.258693j 0.0158426-0.0428582j -0.0202758+0.0531319j -0.0455514+0.0489404j 
-0.113499+0.0716516j 0.0847009+0.0174382j 0.0321005+0.00337798j 0.0204383+0.0154348j 0.00721326+0.0205596j -0.183332-0.0947037j 0.158832-0.0487963j -0.0344513+0.112542j 0.144835-0.00691486j -0.0613131-9.36751e-17j -0.0564142-0.0502845j 0.113189-0.0786779j 0.0986584-0.229952j -0.00202479+0.0666278j 0.0270114+0.0327516j 0.0198981+0.00320568j 0.145476+0.118167j 0.182565-0.00649323j -0.130284+0.0870397j 0.00240878+0.0167849j 0.111731-0.0245923j -0.0772176+0.076091j -0.0428422-0.11387j 0.125962-0.00958306j -0.0290505+0.0154684j 0.0352701-0.105839j 0.146783+0.0599975j 0.0221864+0.0222023j -0.04659-0.0171911j -0.0673592+0.0348848j 0.153444+0.0606786j 0.00425594+0.0985051j -0.16463-0.00218407j -0.0706273-0.0966157j 0.226155-0.153493j 0.0488818+0.101876j 
0.080775-0.0123568j -0.0296689+0.04134j 0.0487986+0.0406871j -0.0807956+0.0255732j -0.0425124+0.03985j 0.0111126+0.058772j -0.0165323-0.0984862j -0.163626+0.149915j 0.038673-0.23972j -0.0564142+0.0502845j 0.0732673-1.56819e-15j -0.0703825+0.131766j -0.0691152+0.0712388j -0.0219089+0.0020052j 0.252426-0.151936j 0.214733+0.0340528j 0.0247529-0.163017j -0.198923+0.272975j 0.0646296+0.0795863j -0.0335884+0.111354j 0.0830263-0.0520774j -0.0556464-0.00396009j 0.0564709+0.100418j -0.117585+0.0431104j -0.0618105-0.00389622j 0.0855128-0.0387587j 0.00788612-0.0692285j 0.113643-0.0638563j -0.0669405-0.0248068j -0.0666905+0.0231709j -0.12171+0.00637194j -0.0331834-0.0201433j -0.0711597+0.106129j 0.227962-0.0445169j -0.00965451+0.0480374j -0.0642597+0.0584582j 
