0.00956069+8.67362e-18j -0.00582758-2.14973e-05j -0.00653778-0.000344943j 0.00400812-0.000684572j -0.00314325-0.000357565j -0.00799136+6.14688e-05j 0.00164907-0.000220584j -0.00397573-0.000656071j -0.00266434+0.000171944j -0.00677522-4.36355e-05j 0.00404571+6.5549e-05j 0.00689301+0.000134972j 0.000441208+0.000487286j -0.00195614-0.000662235j 0.00569215+0.000178821j -1.74507e-05-1.98254e-05j 0.0061516+0.000192427j -0.00486426+8.57143e-05j -0.000341403-6.96841e-05j -0.00188963-0.000100998j 0.00501769+0.000475269j -0.00309721+3.23368e-05j 0.00270132-0.000485344j -0.00103705+0.000207684j -0.00142345-0.000113334j 0.00141386-0.000257763j -0.00452109-0.000371537j 0.00098927+0.000262099j -0.000268091+0.00025447j -0.00475311+0.000169575j 0.000908594+0.000369266j 0.00125254-0.000402338j -0.0019023-0.000377749j 0.00847388-0.000453484j 0.00271905-0.000109857j -0.00592206+4.02145e-05j -0.00111472+0.000116974j -0.000988476+0.000260651j -0.0014057-2.62985e-05j -0.00673789-0.000246966j -0.00989541+0.000216551j -0.00530662+0.000286482j -0.007761+8.8928e-06j -0.00132073+0.000132664j -0.00581351-0.000165125j 0.00471027-0.000201188j -0.0145324+3.59244e-05j 0.0054825+9.06866e-05j -0.00360696-0.000171337j 0.00773417+0.000237836j 0.00587315-0.000327646j -0.0050306-9.39106e-05j -0.00893545-0.000292191j -0.0053051-0.00010064j -0.00890721+0.000242224j -0.00369115-1.42295e-05j -0.00515565+3.68016e-05j -0.00564451-7.15306e-05j -0.00733723+0.000132327j 0.0082056-0.000587274j -0.00361107+0.0002477j -0.00646124-0.000991916j -0.00765512+0.000426807j -0.00856343+0.000983323j 0.0258316+0.000620942j 0.0107404+0.000569134j 0.0839318+0.00295559j -0.0454272+0.00606608j 7.2106e-08+0.000639835j -0.871587+0.00498876j 
-0.00582758+2.14973e-05j -0.0141343+1.73472e-18j 0.00300121+0.000603168j -0.0104308-0.000578626j -0.00451996+3.73073e-05j 0.00370739+0.000162565j -0.00380402-0.000608919j -0.00120499+0.000202634j 0.00310361+0.00036971j -0.00265516+0.000269928j -0.00597224-0.000403781j 0.00090606+0.000471596j 0.00294571-6.76554e-05j -0.0068347-0.000228692j 0.00257257+7.91986e-05j -0.00194358-9.24668e-06j -0.00351887-0.000240558j -0.00036897+2.92253e-05j 0.00181004+0.000124408j -0.005465-9.94208e-05j 0.000480307+0.000286084j -0.00343014-0.000308639j -0.00218102+0.000147292j -0.00264941-0.000345799j 8.56433e-05+1.26867e-05j -0.00119499+1.41718e-05j -0.000131196-0.000185118j -0.00542427+2.74331e-05j 0.00517106+0.00019616j -0.00806977-0.000147572j -0.00194772-0.000380149j -0.00201168+4.73262e-05j -0.00108335-0.000156795j -0.0028151-0.000115937j -0.00232659-0.000238231j -0.000685226-0.000391911j 0.001442+3.7268e-05j -0.000293308+0.000101978j -0.00785652-5.9307e-06j 0.00217722+0.00033254j -0.00758728-0.000309838j 0.000319367+9.52365e-05j 0.00804574+4.08943e-05j -0.00330343-0.000280639j -0.00315952-0.000222111j 0.0117189+0.000156138j 0.00312647-0.000414894j -0.00159648+0.000166158j 0.00434338-0.000143907j -0.00407272-0.000298479j 0.00806612-0.000541992j 0.00419209-0.000157832j -0.00436201+0.000290455j -0.00246411-1.54252e-05j -0.000755728-2.94688e-05j 0.00118763-0.000750525j -0.0044678+9.81546e-05j -0.00556335+0.000211392j -0.00372516+6.73246e-05j 0.00769674+0.00120367j -0.00229473+0.000471137j -0.0051328-0.000377025j -0.0108722-0.000599874j -0.0290442-0.000756122j -0.0127751+0.000269963j -0.0094641+0.000676293j -0.0572351+0.0063358j -0.110859-0.00286823j 0.865503-0.00522222j 0.00115339+0.00071635j 
-0.00653778+0.000344943j 0.00300121-0.000603168j -0.0131645+2.9924e-17j 0.00233645+2.3006e-05j -0.00602522-0.000105961j 0.00558428+0.000200308j 0.00542864+0.000105212j 0.00302127-0.000552441j -0.0086708+8.96234e-05j -0.0085609+0.000179782j -0.0109338+3.88209e-05j -0.00254342-0.00029886j -0.00205419-6.63986e-05j 0.0102581-0.000331371j 0.00730741+0.000232166j -0.00565522-3.56739e-05j -0.000934784+0.000450868j -0.00261378+5.53474e-06j -0.0025865+0.000168849j 0.000790399+8.19909e-05j -0.0131268+0.000172416j -0.00367014+0.000291772j 0.00343268-0.00044389j 0.00663493+0.000116649j -0.00334619-0.000191718j 0.000342182-0.000276982j -0.000415152-0.000415397j -0.0238045+1.21859e-06j 0.00787282+3.91617e-05j -0.00484235-5.83749e-05j 0.0026819+0.000489146j -0.0051596-0.000331949j -0.0129855+0.000137702j -0.00577515-0.00039301j -0.00535697+0.00028646j -0.0080547+0.000264382j -0.00239787-2.40116e-05j -0.00274883+0.000306701j 0.00149708-0.000600475j 0.00853268-0.000308035j -0.00483119+0.000308003j 0.0019677+0.000401328j 0.0123752-0.000132165j -0.0173488+0.00073879j -0.0306468+0.00039473j 0.00484886-0.000439058j -0.00910868+0.000150092j -0.00282413-0.000823762j -0.00463527-0.000278824j -0.00661934+0.000816432j 0.0156578+0.000453784j 0.0147973+0.000420338j -0.0113614-0.00137646j -0.0157524-0.000716335j -0.0105502-0.000490601j -0.019398+0.000371644j -0.0325759+0.000811985j -0.0258979+0.000893377j -0.023679+3.84708e-05j -0.0417637-0.00215574j 0.00448166-0.000354105j -0.0556411+0.00143445j 0.132676+0.00104846j -0.017917-0.00407342j 0.0198426+0.000320993j -0.00414904+0.00647518j -0.0863859-0.00321909j -0.870365+0.00607077j -0.0625048+0.00308959j 0.020155+0.00558864j 
0.00400812+0.000684572j -0.0104308+0.000578626j 0.00233645-2.3006e-05j 0.0107754+2.08167e-17j 0.00218045-8.76672e-06j -0.00746284-0.000185998j -0.00180897+0.00043724j 0.0110743+0.000616435j 0.00414292-0.000883452j -0.00875465-0.0004421j -0.00332434+0.000286253j 0.00407155-6.60585e-05j -0.00319474-0.000408937j 0.00935417+0.000740869j 0.0059544-0.0001375j 0.00380533-0.000364821j 0.00390782+6.85954e-05j 0.00930657-0.00035694j -0.00203422+0.000391991j 0.00262927+8.14787e-05j 0.00250142+3.06608e-05j -0.0155485+0.000331536j -0.00657747+0.000890397j -0.00148306+0.000381482j 0.0138309-0.000284502j 0.00293302+0.000291151j 0.000335441-3.51759e-05j 0.00923984-2.26506e-05j 0.00611365-0.000860531j 0.000649316+7.65803e-05j 0.00338274-0.000287615j 0.0069923-4.52046e-05j 0.0078819-3.70996e-06j 0.00736934+0.000379467j -0.00117906+0.000225344j -0.0116643-3.77885e-05j 0.00195942-0.000394584j -0.00507175-9.65421e-05j 0.00838071+0.000333468j -0.0043121-0.000100461j 0.00243412-0.000118469j -0.00805309-0.00033414j -0.022377-0.000205324j 0.0122888+3.57364e-05j -0.00260714+0.000250989j -0.00558385+0.000220644j -0.0254745-3.12469e-05j -0.0054957-0.000147891j -0.0247942+0.000344439j 0.0145729+0.000810229j 0.00965786+0.000352785j 0.00164811-0.000491146j -0.023305-0.000452098j -0.00577319-0.000397736j -0.0320058-0.000229239j -0.0197278+0.00134375j 0.0113881+0.000812692j 0.0185392+0.000365835j 0.0282736-0.000640421j 0.00586959+0.000214724j -0.0720776-0.00142013j 0.0300451+0.00161631j 0.0353577-0.00680768j -0.136892+0.000579397j -0.050072-0.00128351j 0.174631+0.000557185j 0.839955-0.00529142j -0.0769293+0.000170002j 0.0277551+0.00605545j 0.0385365-0.00289713j 
-0.00314325+0.000357565j -0.00451996-3.73073e-05j -0.00602522+0.000105961j 0.00218045+8.76672e-06j 0.00268542-4.25007e-17j 0.0355438-6.39241e-06j -0.00435013-7.13942e-05j 0.0100806-0.000174122j 0.0243846+0.000180194j 0.000766928+0.00027144j -0.016129-1.69231e-06j 0.00221781-0.000227259j -0.00662157+8.73393e-05j -0.00830738+0.00028895j 0.0132027-0.00011284j 0.00545604-2.88756e-05j -0.0116938-0.000542318j 0.0654658+0.000269013j 0.00494181-4.20847e-05j 0.00389411+0.000264629j -0.0129331+4.39582e-05j -0.0212628-0.000183972j -0.00016464+0.000139521j -0.0169851+0.000258589j 0.0213929+0.000719957j 0.000302361+0.000136491j 0.0158827+0.000216786j 0.00150882+0.000397069j 0.00572129-0.000448803j 0.00780298-0.00056903j -0.0184155+2.42419e-05j 0.0132778+0.000461839j 0.00835868+0.000907686j -0.00380145+0.000275594j -0.00835806-0.000649517j -0.0228845-0.000200211j 0.0124512+0.00023368j -0.0236918-0.000320242j -0.00698728-0.000244819j -0.000605001+0.000770834j -0.00893862+0.000760759j -0.00609849-0.000189907j -0.000910365+0.000258675j 0.00208479+0.00058736j -0.00465703+0.000396134j 0.0125788-0.00094115j -0.0105754+3.43174e-05j 0.0159478-0.000951675j -0.011576-2.77723e-05j -0.0291989-0.00118327j 0.0500823+0.000370454j 0.0152965+0.000662034j -0.0128435+0.000636092j 0.000881564+0.000455969j -0.0394249-7.55813e-05j -0.0335955-0.000785787j -0.0330452+0.00047761j -0.0375052+0.00148322j 0.0135528+0.00136253j 0.086155+2.74619e-05j 0.0240091+0.00278294j 0.103598+0.00284686j 0.0333119-0.00313537j 0.0189033+0.000995367j 0.538108-0.00293029j 0.687672-0.0069776j -0.0876027+0.000950295j 0.0077557-0.0062815j 0.00111624-0.000606376j -0.0042267-0.000261694j 
-0.00799136-6.14688e-05j 0.00370739-0.000162565j 0.00558428-0.000200308j -0.00746284+0.000185998j 0.0355438+6.39241e-06j -0.0125715-9.49761e-17j 0.0101887-0.000267877j -0.00240455-0.000237834j -0.0206761+2.68266e-05j -0.0179217-7.69512e-05j -0.00755706-0.000284629j 0.0172403-0.000197746j 0.00807689+0.000155115j 0.0154601-0.000126194j 0.0152503-9.80155e-06j 0.0114751+0.000165656j 0.00624859+0.000563064j 0.0252399+7.0317e-05j 0.00463475+0.000154922j 0.00260719-0.000349839j -0.0286219-6.75463e-05j -0.0249504+0.000102102j 0.00218923-0.00030558j 0.00707186-0.000423782j 0.0210611-0.000115138j 0.00737385-0.000144506j 0.040001+6.08075e-05j -0.0290786+0.000392431j 0.043366+0.000156043j 0.022001+0.00050489j -0.0190654+5.89535e-05j 0.0192162+0.000226146j -0.0336037+0.00011541j 0.0386261+0.000196366j 0.023726+0.000383843j -0.00429076+0.000104524j -0.00982992+0.000170853j -0.01724-0.000183704j 0.0340952-0.000174416j 0.0262607-0.0004679j -0.0128199-0.000367594j -0.0166403+3.44378e-05j -0.025331-0.000374049j -0.0190812+0.000297911j -0.0208034+8.9167e-05j 0.0464631-5.7826e-05j -0.00882026+0.00102119j -0.0232462+0.00016458j 0.0140994-7.23255e-05j -0.00638804+0.000681955j 0.0382926+0.00106479j 0.00506328+0.000619141j 0.00557452-0.000269583j 0.0423701+0.000536605j 0.00216639-0.000111715j 0.0208431+0.000482667j 0.00959832-0.000515706j -0.0808387+0.000594622j -0.0508669+0.0024649j 0.0073837-0.000227215j -0.114518+9.44114e-05j -0.0301997+0.00208761j 0.217353+0.00124504j -0.344671+0.00227957j 0.615802-0.00232905j -0.466568+0.000438583j 0.0427758-0.00310672j 0.0466763+0.00152504j 0.0153806+0.000123069j 0.00608707-0.000712738j 
0.00164907+0.000220584j -0.00380402+0.000608919j 0.00542864-0.000105212j -0.00180897-0.00043724j -0.00435013+7.13942e-05j 0.0101887+0.000267877j -0.00988604-5.0307e-17j 0.00303256-0.000128224j -0.012518-4.64233e-05j 0.00661623-6.15815e-05j 0.0213083-0.000482321j 0.00347196-0.000127196j -0.0233178+0.000124195j -0.0306343+2.80646e-05j -0.0204348-0.000194629j -0.0174137-0.000105291j -0.0110723+0.000193633j -0.0030074+6.81069e-05j 0.022297+8.56514e-05j 0.0172047+0.00022549j 0.0271721+6.71339e-05j 0.0405104+3.23886e-05j 0.0261236+0.000852522j 0.00359141-0.000122771j 0.0068795-0.000668222j 0.0185931+0.00029412j -0.0427033-7.72974e-05j 0.0354774-0.000478571j -0.0546602-0.000551627j -0.0061605+0.000244051j 0.00507902-0.000400723j -0.000478723-0.000193016j 0.0343332-0.000738441j 0.00544082+2.61078e-05j -0.000986566+0.000586069j -0.0194935-6.42333e-05j -0.0101298-0.000550381j 0.0222988-0.000107946j 0.000585418-0.000355268j 0.0158649-0.000161589j -0.0183129-0.000290181j -0.0212052+0.000389919j -0.00806952+6.31206e-05j 0.0115348-0.000583179j -0.0324614+8.89678e-05j -0.00268052+0.000138297j -0.0350852+0.000118629j -0.0389576-0.0005532j 0.0414126+0.000589143j -0.00751201+0.00216431j 0.0668381-0.000115799j 0.00131111-0.000274433j -0.00361945-0.00056j 0.00631547-0.00223035j 0.000553764-0.0010011j 0.04643+0.000964048j 0.0792249+0.00116447j 0.0672493+0.00259927j 0.0989616-0.00378006j 0.00251852+0.000489521j -0.0425725-0.00145475j 0.247117-0.00368588j -0.411577+0.00485187j 0.608316-0.00548241j 0.302307-3.91081e-05j -0.22065+0.00676155j 0.105596+0.00135465j -0.0658355+0.00584029j 0.00774762+0.00128233j 0.00391577-0.000200652j 
-0.00397573+0.000656071j -0.00120499-0.000202634j 0.00302127+0.000552441j 0.0110743-0.000616435j 0.0100806+0.000174122j -0.00240455+0.000237834j 0.00303256+0.000128224j -0.0178672-2.04481e-16j 0.0125704+0.000225038j 0.00239859+0.000419843j -0.0114322+5.69467e-05j -0.00164186-0.000130447j 0.00248313+0.00060482j -0.00214175-7.74735e-06j 0.0157446+0.000546959j -0.017254+0.000173368j 0.0102803-0.000385069j 0.0180629+0.000536432j 0.0390283-0.000365116j -0.0260737-3.94543e-05j 0.00301372+0.000191451j -0.00999628-0.000409096j -0.0284641-0.000845053j -0.036055+0.000373492j 0.0368266+0.000287455j -0.00168622-0.000654882j 0.00853941+0.000587459j 0.0582718-0.00017387j -0.00651945+0.00080445j 0.00915252-0.000154995j -0.000300672+0.000120488j 0.00473321-6.56171e-05j 0.0391057+0.000129587j -0.00202624-0.000403443j -0.00755783-0.000701854j -0.00185375-5.17953e-05j 0.0268417-0.000245634j -0.00987186-0.000191688j -0.00346979+9.74535e-05j -0.0513299+0.000561521j -0.00184701+0.00133552j -0.020541+6.75925e-05j -0.0320452+0.000144305j 0.115276+0.000548936j 0.0647837+0.000371433j -0.0287131-0.000386889j -0.0463245-2.14436e-05j 0.0408678-0.00202209j -0.0608182-0.000472237j -0.0615064+0.00019444j 0.0402754+0.000252582j -0.0379092+0.00093732j -0.0606873-0.000397841j 0.0760166-0.000433025j 0.00254692-0.000252318j 0.0232621-8.75025e-05j -0.103989+0.00256247j -0.0898631+0.00182454j 0.0371156+0.000347337j -0.0654125-0.000612528j -0.0412727-0.00397839j 0.166471-0.00188301j -0.679467+0.0036854j -0.491162-0.000103677j -0.0146443-0.000613018j 0.0172651+0.00463187j -0.0446534+0.00357578j -0.0392958-0.00166766j -0.018833+0.000663447j 0.00684661+0.0018158j 
-0.00266434-0.000171944j 0.00310361-0.00036971j -0.0086708-8.96234e-05j 0.00414292+0.000883452j 0.0243846-0.000180194j -0.0206761-2.68266e-05j -0.012518+4.64233e-05j 0.0125704-0.000225038j -0.0142969-3.20924e-17j -0.0120226-0.000199304j 0.0151338-0.000126993j -0.0144992+0.000154711j 0.0184118-0.000276227j -0.0321661+2.5359e-05j -0.0358503+0.000370391j -0.0579064+0.000109511j 0.0191545+4.88956e-05j 0.0308117+0.000203541j -0.0101063-0.000410063j -0.019615-0.000420583j 0.0234294-0.000353629j 0.0361284+2.42374e-05j -0.00312213-0.000286699j -0.0260426+2.30045e-05j -0.00081747+0.000760511j 0.00402948-0.000372826j -0.068376+0.00020918j 0.0398577+0.000664983j -0.0215667+0.000635815j 0.0380102-0.000282224j 0.00422407+0.000683932j -0.00831598+0.000491426j 0.0531922+0.000603946j -0.0204527+0.000422598j 0.0408453-0.000558687j 0.0373307-0.000215923j 0.0233461+0.000305717j -0.0186052-0.000624472j -0.0127164+0.000364105j -0.0146154-0.00025792j 0.00657864+4.7837e-06j 0.0472452-0.000282442j 0.0208767-0.000296741j 0.100638+0.000311807j -0.0389789-0.000850423j -0.0211526-0.00143442j 0.145153-0.00169689j 0.0350704-0.000328067j -0.0124485-0.00131322j -0.0137006-0.000147499j -0.0379369+0.00129563j 0.039731+0.000459221j -0.0716051-0.000756412j -0.0616012+0.00029623j -0.0110019-0.000217772j 0.00488228-0.000867186j 0.0243216+0.00118179j 0.0321268-0.00165604j 0.00784195+1.43786e-05j 0.243902-0.00241395j 0.269689+0.00020982j 0.75418-0.00178961j 0.223755+0.00340289j -0.113819-0.000302291j -0.0810684+0.00290724j -0.0432722+0.00174723j -0.00289372-0.00120589j -0.0247579-0.000193726j 0.00443113-9.71438e-05j 0.00458845+0.00110625j 
-0.00677522+4.36355e-05j -0.00265516-0.000269928j -0.0085609-0.000179782j -0.00875465+0.0004421j 0.000766928-0.00027144j -0.0179217+7.69512e-05j 0.00661623+6.15815e-05j 0.00239859-0.000419843j -0.0120226+0.000199304j 0.00991025+4.55365e-18j -0.04381-1.88007e-05j -0.0127995+6.18257e-05j -0.0114365-0.000190712j 0.0129556-0.000705315j -0.00770022+0.000449142j 0.032788+0.000222227j 0.0229239+0.000809669j -0.0253285+5.91722e-05j 0.0810522-0.000177267j -0.0013074-0.000552613j 0.024171-0.000154812j -0.00928076+5.28664e-05j -0.0680456-0.00056549j 0.00471752-0.00099219j 0.0176643-0.000199851j 0.0431667-0.000522694j -0.0550697-0.000103573j 0.0132484-0.000150687j -0.0337641+0.00116357j 0.0284915+0.000301226j -0.0581969-6.68062e-05j -0.0342011+0.000767063j 0.00559566+0.000191021j -0.0314776+0.000394741j 0.0338237-0.000915206j 0.0112456-6.38404e-05j 0.0512958+0.000942672j 0.0848851-0.00113998j -0.0368384-0.000349246j 0.0314778-0.000819522j -0.0073829-0.000595209j -0.00892253+3.5602e-05j -0.0615878+0.000310951j -0.0264643-0.000278187j 0.00853569-0.000346647j -0.0300898+0.000529599j -0.0428611+0.000892432j 0.0113635+0.000854523j 0.00961658-0.000847083j -0.0844413-0.00187254j -0.0168274-0.00071523j -0.0110057+0.000786642j 0.0797163+0.000319882j 0.113948+0.000754378j -0.0891452+0.00141607j -0.140811-0.00123287j -0.241035-0.000419775j 0.202515-0.000852306j 0.29866-0.000731139j -0.691286+0.0033268j -0.0885577+0.00238102j 0.237756-0.000793141j 0.141468+0.000505345j -0.0121577-0.00176561j 0.0184794+0.00127506j 0.0235065-0.00110389j -0.0120878-0.00112134j 0.0177708-0.00206598j 0.00165914-0.00149609j -0.0145457-0.000224473j 
0.00404571-6.5549e-05j -0.00597224+0.000403781j -0.0109338-3.88209e-05j -0.00332434-0.000286253j -0.016129+1.69231e-06j -0.00755706+0.000284629j 0.0213083+0.000482321j -0.0114322-5.69467e-05j 0.0151338+0.000126993j -0.04381+1.88007e-05j -0.0302392-3.27429e-17j 0.00171008-0.000146627j -0.00127336+0.000576299j 0.00322782-3.37161e-06j -0.0119064+3.99208e-05j -0.0576351+0.000164642j -0.00296429-0.000650905j -0.0239792+0.000374345j -0.0439271-0.000423448j -0.048493+0.000492047j -0.0611367+0.000125467j 0.0493738-0.000345976j 0.0662168+0.000363993j -0.0122993+0.000381227j 0.0173078+0.000241616j -0.0259169-5.52686e-05j 0.0347511+9.98181e-05j -0.00898484+2.55641e-05j 0.0731422-0.000146895j 0.0260381-0.000222526j 0.0489079-0.000633951j 0.0325892-0.00026257j -0.0579344-0.000234026j 0.0313516-0.000550895j -0.104659-0.000769252j -0.0275798-0.000190987j 0.0506888-0.00028986j -0.0509933-1.55924e-05j 0.0242998+0.00107164j 0.0568905+0.00104696j 0.0398415+0.000745458j 0.0704238+8.75501e-06j 0.0533262+0.000694287j -0.0527303+0.000327547j -0.0730128-0.00182827j 0.147288-0.00195642j 0.113233+0.000500172j -0.183847+5.86296e-05j -0.0412209-0.000158799j -0.0638759-0.000181204j -0.161009+0.00040091j 0.00274129+0.000170619j 0.101806-0.00138703j 0.0140804-0.000743772j -0.0380348+0.000925664j -0.0719782+0.000693801j -0.207138-0.000157058j 0.0690285+0.000865416j -0.633975+0.0022712j -0.0620438+6.57715e-06j -0.418541+0.00128677j 0.193119-0.00141419j -0.0260981-0.00257843j 0.0605688+0.000754504j -0.0393883-0.00055275j 0.0124168-0.000839025j -0.00621176+0.00166726j 0.0154844-0.000435859j -0.0111026-0.000307108j 0.00796675+0.000369035j 
