0.141887-5.55112e-17j 0.122383+0.0104708j -0.0644029-0.0490088j 0.0301448-0.0574044j 0.0200007-0.0177719j -0.0362654-0.0543861j 0.0472074-0.0487063j 0.116795+0.142364j -0.119535-0.132121j 0.0178422+0.038338j 0.0508836+0.0661701j -0.044995+0.0308091j 0.0314962+0.0218206j -0.0640841-0.0655262j 0.0667157-0.000217084j -0.0529136-0.0371247j -0.0215979+0.0128733j -0.0456133-0.080604j -0.0581979+0.00164305j -0.089697-0.0157178j 0.0274183+0.0486409j 0.0511861-0.0364165j 0.0533918-0.0253262j 0.0124274-0.0187756j 0.064742+0.078722j 0.071893+0.0746327j 0.0983139-0.0392145j 0.139796+0.15479j -0.149661+0.294528j 0.000402436+0.0743129j 0.0239292+0.0901188j -0.212999-0.0541118j 0.00258533-0.0287821j -0.112281-0.364591j 
0.122383-0.0104708j -0.151277+2.77556e-17j -0.166149-0.0736737j -0.00747598+0.000717054j 0.142701-0.0493913j -0.0521053+0.0338141j -0.0193507+0.0277098j 0.0207185-0.0780014j -0.0146729-0.025238j 0.0315195-0.0152522j 0.0154118-0.00477572j 0.0278183-0.0267841j 0.0263209-0.0342105j -0.0441236+0.00722207j -0.0637393+0.0463278j -0.115808+0.0279081j 0.00893417+0.0448572j -0.0694125-0.0289311j -0.056356+0.0552589j 0.0333056-0.108215j 0.0395856-0.0167794j 0.0164723+0.0815936j -0.0385447-0.026035j -0.0424521-0.0411442j 0.077802-0.122864j 0.0397957+0.0311055j -0.0317484-0.139325j 0.0265926-0.168503j 0.115853-0.0167565j 0.148034-0.082516j 0.109432-0.132786j -0.244905+0.190936j 0.114106+0.341452j -0.017784-0.0384696j 
-0.0644029+0.0490088j -0.166149+0.0736737j -0.11286+2.77556e-16j -0.0310565+0.142509j 0.18618-0.210473j -0.109583+0.11013j 0.169152-0.0375829j 0.0136016-0.0035796j -0.0723774-0.0524744j 0.0972974-0.0599482j -0.0113299+0.0387047j 0.0245689+0.050991j 0.0253884+0.0149624j 0.0377555-0.0328367j -0.0412438+0.0532069j 0.0260931-0.023913j 0.0503458-0.00115564j -0.212602+0.094602j -0.00862598+0.0458659j -0.098901+0.0704254j 0.0849412-0.0731894j -0.0165794-0.00333788j -0.0804107+0.081348j -0.118731+0.0687076j -0.0562052+0.074375j -0.0149773+0.148029j -0.0805832-0.0278439j 0.0101343+0.150196j 0.208196+0.0461591j -0.0315174+0.049964j -0.084604+0.0743255j 0.109133-0.266384j 0.231787-0.237694j -0.200114-0.0325307j 
0.0301448+0.0574044j -0.00747598-0.000717054j -0.0310565-0.142509j -0.0801932-2.83107e-15j -0.183289-0.0885232j 0.110467-0.0708701j 0.320251-0.368194j -0.16656+0.406644j -0.0760069+0.0326672j -0.00670803-0.0309607j -0.0104503+0.000369334j 0.0845677+0.0822432j -0.0197706+0.0397278j 0.0556512-0.0673858j 0.0557679-0.0511996j 0.0493537-0.0453989j -0.0238526-0.0481536j 0.000668324+0.0869335j 0.0466118+0.088474j -0.0436618+0.0731084j -0.026441-0.00177652j -0.0348671-0.0339506j 0.00632357-0.0148456j -0.0545814-0.00246977j -0.0335123+0.0376432j -0.0133521+0.00639294j -0.152148+0.066382j 0.0788608-0.154522j 0.00628669-0.0180107j -0.0705447+0.0229821j -0.065079+0.206991j -0.0825292+0.115104j 0.076529+0.0411933j 0.0616017-0.0566449j 
0.0200007+0.0177719j 0.142701+0.0493913j 0.18618+0.210473j -0.183289+0.0885232j -0.072914-8.88178e-16j 0.108227+0.0843828j 0.0766203-0.0400176j -0.245323-0.298415j 0.0149512+0.00696346j 0.177132+0.000693951j 0.0151956+0.0108552j 0.10882-0.00874461j -0.160511-0.0518453j 0.0241119-0.00129068j 0.0720742-0.00441253j -0.0406608-0.045138j -0.0537243+0.0237091j -0.0107766-0.0283987j -0.0369156-0.055438j -0.0341635-0.0748244j -0.0513083-0.0536545j 0.0197379+0.125595j 0.0277882-0.0371216j 0.0425227-0.0291218j -0.0895495+0.0425432j 0.0435784-0.0879423j -0.0141642-0.0698076j 0.0768973+0.0191159j -0.0654586+0.00348523j 0.0136917+0.131096j -0.0279374-0.0825016j -0.142277+0.0833533j -0.00851807+0.0612804j 0.0349292-0.0618374j 
-0.0362654+0.0543861j -0.0521053-0.0338141j -0.109583-0.11013j 0.110467+0.0708701j 0.108227-0.0843828j -0.11039-7.13318e-15j 0.0270486-0.0173587j 0.132988+0.163706j -0.0505514-0.0422562j -0.100013-0.055511j -0.00054716+0.022214j -0.0700898+0.0676789j 0.0894702+0.0202797j -0.0568125-0.0162617j -0.0095761+0.010846j -0.000788256+0.0244446j -0.0128064-0.0306269j 0.00191164-0.0125817j 0.00149388+0.0193802j -0.0219441+0.025182j -0.0603656+0.00423367j -0.0202346-0.0032167j 0.00796062+0.028577j -0.0115982-0.0626765j 0.0588915-0.00441645j 0.00118751+0.0276477j 0.0244147+0.0482635j -0.0171968+0.0459683j -0.0420043+0.0195388j -0.0365015-0.028957j 0.00268707+0.0483607j -0.0465955+0.0164688j 0.00753142-0.024179j -0.00578431-0.0609061j 
0.0472074+0.0487063j -0.0193507-0.0277098j 0.169152+0.0375829j 0.320251+0.368194j 0.0766203+0.0400176j 0.0270486+0.0173587j -0.53798-4.52416e-15j -0.134044-0.0618238j -0.0600649-0.120062j -0.135501-0.134127j 0.0335833+0.0565293j 0.104401-0.0517908j -0.0760212+0.0798173j -0.0214597-0.00920114j -0.00374851+0.029597j -0.0323706-0.022369j 0.0514169+0.0363038j -0.0670986+0.0534291j -0.0945882+0.0185512j -0.0306072-0.00726703j -0.0662248-0.0401992j 0.0891455+0.00184188j 0.00734052+0.00550525j 0.0371315+0.0351694j -0.0280672+0.0549908j 0.00216117+0.0444976j -0.0835812-0.0240586j 0.00328391+0.0203616j 0.0338963+0.000821584j 0.0737494+0.0297175j -0.0207577+0.00599095j -0.0430145-0.0479107j 0.0754743-0.0267144j 0.0024697-0.0680047j 
0.116795-0.142364j 0.0207185+0.0780014j 0.0136016+0.0035796j -0.16656-0.406644j -0.245323+0.298415j 0.132988-0.163706j -0.134044+0.0618238j -0.117785+8.32667e-17j 0.0424315+0.0999323j 0.0624543+0.220225j -0.061941+0.0732279j 0.231557-0.24167j -0.0972712+0.0194123j 0.0148124-0.0400799j -0.0495104-0.00773362j 0.00516204-0.0196067j -0.0377506+0.00496744j -0.159741+0.04199j -0.0018342+0.0312004j -0.0609017+0.0643557j -0.0346099-0.00972119j 0.031787+0.0148317j -0.0439382-0.00609971j 0.0108004-0.015021j -0.00842408+0.0795159j -0.0637458+0.0452964j -0.116565+0.0152465j 0.0169403+0.0355875j 0.151268+0.0339294j 0.0908613+0.0455543j -0.0254559+0.0512087j 0.0791165-0.166544j 0.113322-0.0745656j -0.122376-0.0253936j 
-0.119535+0.132121j -0.0146729+0.025238j -0.0723774+0.0524744j -0.0760069-0.0326672j 0.0149512-0.00696346j -0.0505514+0.0422562j -0.0600649+0.120062j 0.0424315-0.0999323j -0.0750497+2.91434e-16j 0.019458+0.200168j 0.0117794+0.237812j -0.0297703-0.00971346j -0.00784854+0.212958j -0.101729-0.149297j 0.0466787+0.135739j -0.0540441-0.0501941j -0.0776661-0.072325j -0.0285898+0.0447435j 0.0350529-0.00622996j -0.0546626+0.0944249j -0.0389758-0.135041j 0.0345309+0.00557976j 0.0597673+0.136056j 0.059728+0.062987j -0.00198025+0.132627j 0.126591+0.0577306j -0.167759+0.106676j -0.0274455+0.0598259j -0.035401-0.00596474j 0.0190183+0.026242j -0.000979717-0.00269338j -0.245505+0.0323707j 0.104802-0.0495857j 0.0905636-0.227767j 
0.0178422-0.038338j 0.0315195+0.0152522j 0.0972974+0.0599482j -0.00670803+0.0309607j 0.177132-0.000693951j -0.100013+0.055511j -0.135501+0.134127j 0.0624543-0.220225j 0.019458-0.200168j -0.00959759-1.11022e-16j 0.0188576+0.089829j -0.00711856+0.0457399j 0.0861988+0.0112515j 0.138599+0.0273174j -0.0041041+0.0274613j 0.27686-0.154974j 0.0460957-0.123766j -0.0729877+0.15029j 0.135355-0.0654666j -0.131915+0.186588j 0.0472028+0.0311886j -0.0831473-0.0683608j -0.0162921-0.0180584j -0.0586014-0.0857365j -0.0160551+0.00388085j -0.128151-0.0270944j -0.128102+0.080175j 0.160952-0.170028j -0.103617+0.0213296j -0.171366+0.114995j -0.0715764+0.27937j 0.0358036+0.1729j -0.0208153+0.0526635j 0.0297191+0.0582244j 
0.0508836-0.0661701j 0.0154118+0.00477572j -0.0113299-0.0387047j -0.0104503-0.000369334j 0.0151956-0.0108552j -0.00054716-0.022214j 0.0335833-0.0565293j -0.061941-0.0732279j 0.0117794-0.237812j 0.0188576-0.089829j 0.053435+4.61436e-16j -0.0248823+0.0556649j 0.0962549-0.114098j -0.110926+0.055896j 0.0236129-0.0186312j 0.0262472+0.0247528j -0.0846443-0.0982434j -0.113893-0.198358j -0.0254028-0.0176319j -0.0652119+0.0323584j 0.0232527+0.00480561j -0.0984461-0.088521j 0.0743495-0.00256305j 0.0444043-0.0644782j 0.0559006+0.0994412j -0.00697861-0.0754062j -0.0108039+0.0186952j 0.0585295+0.07715j -0.0376595+0.0309338j -0.0529273+0.0883991j -0.0441502+0.069434j 0.118833-0.0849187j 0.0104682-0.139736j -0.147184-0.0199727j 
