0.0083875-1.38778e-17j -0.0391682+0.000215534j 0.10513+0.00576655j 0.0329145+0.00361362j -0.0205753+0.0103397j -0.0401397-0.000131108j 0.0153119+0.0056384j -0.187782+0.00360127j -0.010887+0.00309583j 0.0563664-0.00259144j 0.0580652-0.0221414j -0.0370199+0.00203024j -0.0180549-0.010821j -0.034972-0.00542173j -0.0194958+0.013007j 0.0209085+0.00729524j -0.0109163-0.0229457j -0.00276502+0.0348275j -0.0473926+0.000210642j -0.0208906-0.041726j 0.00458721+0.00911489j -0.0254358-0.00711742j 0.0256187+0.00651512j 0.00204182-0.0241054j -0.00694097-0.00557494j 0.0185233+0.0279626j -0.0181063+0.0598821j 0.0405952-0.052865j -0.0529066+0.150612j -0.210568+0.305364j 0.167691+0.135146j 0.0136731-0.19181j 0.0273571+0.0523267j 0.36258+0.177128j 
-0.0391682-0.000215534j -0.031362+2.77556e-17j 0.016048-0.000725541j 0.031251-0.00473649j 0.106969+0.00630603j 0.0175113+0.000511785j 0.162607-0.00286438j -0.000439334+0.0112983j -0.0278619+0.0129148j 0.0262955+0.00264018j 0.0259491+0.00824989j 0.0614115-0.00955958j -0.0688764+0.000365249j 0.00969423-0.0089475j -0.00821781-0.028699j -0.00942585-0.0160399j -0.011355+0.0212062j -0.00108858+0.0191764j -0.00423236-0.0148319j -0.0100371-0.0231594j 0.00954713+0.0124193j -0.020052-0.000419007j 0.0179877-0.0565401j -0.0010234-0.0343603j -0.00332557+0.0231913j -0.0220783+0.0183511j -0.0378001+0.0403418j 0.00184377-0.0250977j -0.0553167+0.0396444j -0.131966-0.189613j -0.195301+0.377382j 0.0590915+0.00970535j -0.386936-0.153334j 0.0228909+0.0163782j 
0.10513-0.00576655j 0.016048+0.000725541j 0.0297567+1.11022e-16j 0.0581233+0.00744823j -0.327349-0.00716889j -0.196863-0.000755776j 0.0082934-0.00662089j 0.0868835-0.0196178j -0.0430852+0.0132175j 0.0104812-0.0061548j -0.0496205+0.00262656j -0.193395+0.0208441j 0.096917+0.0208622j 0.0133145+0.00684343j 0.0764345+0.0105808j 0.00879189+0.0483156j -0.00984204+0.00765204j 0.0104122+0.00881782j 0.0157092-0.00180688j -0.0162835-0.0130837j -0.0134876-0.00368491j -0.0390759-0.00938918j -0.041315+0.0603766j -0.027007+0.0667171j 0.0381284+0.101101j 0.029463-0.0779695j 0.151177-0.112146j -0.137581+0.164541j 0.081139-0.0366398j 0.0813193+0.146362j 0.041104+0.152975j 0.242023+0.150686j -0.103656-0.0192844j 0.0454646-0.124071j 
0.0329145-0.00361362j 0.031251+0.00473649j 0.0581233-0.00744823j -0.103613-2.42861e-17j -0.0589088+0.000334146j 0.0280462+0.00423144j -0.64822+0.00803846j -0.452843+0.00930519j 0.123334-0.00327044j -0.00246766+0.000146736j 0.0872845+0.014649j -0.113639+0.00680512j 0.0774516+0.0147651j -0.0643342-0.00360742j -0.107804-0.0227866j 0.000371294+0.000181139j -0.0108101+0.0297579j 0.0328412+0.00328797j -0.048001+0.0083768j -0.00864125+0.0115426j 0.00485886-0.000656083j 0.00100455+0.0377599j 0.0166352-0.0113433j 0.0308535-0.0202823j -0.013205-0.0254303j 0.034648+0.01418j -0.00293785-0.0138447j 0.06885+0.0892737j 0.0595458-0.000405084j 0.0701073-0.0947419j 0.0647407+0.115528j 0.0181433-0.0830158j -0.223989+0.0755378j -0.0795539-0.143496j 
-0.0205753-0.0103397j 0.106969-0.00630603j -0.327349+0.00716889j -0.0589088-0.000334146j 0.101012+1.42594e-15j 0.259589-0.000264132j -0.397493+0.00128835j 0.469515+0.00536748j 0.163163-0.009044j -0.134865+8.0523e-06j -0.145217+0.00119671j 0.069461+0.0112953j 0.0815965-0.0210909j 0.0170184+0.0131005j 0.0211302-0.0108033j -0.0429263-0.0128771j 0.00567545+0.0165694j 0.0826834+0.01438j 0.14969+0.000660974j 0.00954709-0.0276911j -0.0284076+0.0203315j 0.11823-0.00941283j 0.0466104-0.0312906j 0.0565163-0.0126091j -0.0468785-0.00988963j -0.0442427-0.030119j -0.0397983+0.0330198j 0.0130455-0.00170072j -0.0133513+0.020033j 0.0914761+0.148383j -0.0416882+0.0450848j 0.0184119-0.0917834j -0.0382601-0.183561j 0.274891-0.0655406j 
-0.0401397+0.000131108j 0.0175113-0.000511785j -0.196863+0.000755776j 0.0280462-0.00423144j 0.259589+0.000264132j -0.80859+4.12378e-14j -0.192363-0.00585821j 0.0927462+0.000918951j -0.161706-0.00160296j -0.0760924-0.000341152j 0.150195-0.00293179j 0.0590529-0.00495583j 0.00405593-0.00984422j -0.0944836+0.0113477j -0.0277984+0.00531606j 0.0255114-0.0251292j 0.0534473+0.0124956j 0.0409953+0.0122702j 0.104444-0.0288074j -0.0225438+0.00518308j -0.15466-0.0102764j -0.0377958-0.000748383j 0.0036354-0.0261868j 0.0414833+0.0165566j -0.0387933+0.0405534j 0.0411375+0.00148662j 0.000139473-0.0695726j 0.00134822-0.11772j -0.0210042-0.00872923j -0.00378077-0.0049429j -0.00228481+0.00388988j -0.0307816-0.016055j -0.00248345-0.00221504j 0.0062084+0.0105717j 
0.0153119-0.0056384j 0.162607+0.00286438j 0.0082934+0.00662089j -0.64822-0.00803846j -0.397493-0.00128835j -0.192363+0.00585821j 0.285094+4.64906e-16j 0.0502732+0.0106161j 0.127888-0.0331166j -0.332455-0.00118365j 0.0906891+0.0141497j -0.0927464+0.0046034j 0.181923-0.00403074j 0.00459962+0.016767j 0.00825364-0.0193443j -0.0353464+0.00181537j -0.0998868+0.00923053j 0.0233765-0.0256629j -0.0125639+0.0266963j -0.0071973-0.015974j -0.00601159+0.0181699j -0.0168095+0.0394228j 0.0551633-0.0177573j 0.0202832-0.0170183j 0.0399075-0.0476861j -0.0323307+0.0256056j -0.0296174-0.0145065j 0.0440431-0.039391j 0.000135013+0.0934993j 0.0223994-0.025358j -0.0143022+0.000183369j -0.0911879-0.0679329j -0.0510583-0.0412206j 0.0599358-0.0336466j 
-0.187782-0.00360127j -0.000439334-0.0112983j 0.0868835+0.0196178j -0.452843-0.00930519j 0.469515-0.00536748j 0.0927462-0.000918951j 0.0502732-0.0106161j -0.252341+7.00178e-15j 0.0795266-0.0150644j -0.22539+0.0166316j 0.0071734+0.0170815j 0.328678-0.0122423j -0.140716-0.0139909j -0.0468512-0.00082952j -0.0537458-0.00719703j 0.0513623+0.0158227j -0.00359482-0.00331217j -0.0376845-0.00859477j -0.0722855-0.003912j -0.00017224-0.0390935j 0.0248756-0.00719704j -0.00193375+0.0480618j -0.0405391+0.0061179j -0.0232653+0.0350102j -0.0689565+0.0107711j 0.0249529-0.0802957j 0.00851306-0.0640961j -0.0418412+0.09708j 0.0285929-0.139432j 0.0423223+0.0913881j -0.0167842+0.00156958j 0.222522+0.0578865j 0.0877999-0.0451479j -0.00249522+0.0379515j 
-0.010887-0.00309583j -0.0278619-0.0129148j -0.0430852-0.0132175j 0.123334+0.00327044j 0.163163+0.009044j -0.161706+0.00160296j 0.127888+0.0331166j 0.0795266+0.0150644j -0.132145-3.57006e-15j 0.0359897+0.0133351j -0.0241141+0.0135878j 0.0976931+0.00306803j -0.0618185+0.0103209j 0.0455591-0.0107591j 0.0897336-0.0153747j 0.035643+0.0137688j -0.0514951+0.0423241j -0.0190127+0.0454421j 0.0470353-0.0193371j 0.0192585-0.00138282j -0.0217631-0.00466247j -0.00914446+0.0439576j 0.0472416+0.00982547j -0.0125667-0.0183336j 0.113499-0.179071j -0.124302+0.110356j -0.0438587-0.0965617j 0.130058+0.170715j 0.199109+0.0608184j 0.0267527+0.00403493j -0.0821454+0.0112025j 0.0726614-0.0247699j -0.0273609-0.107691j 0.048242-0.0544829j 
0.0563664+0.00259144j 0.0262955-0.00264018j 0.0104812+0.0061548j -0.00246766-0.000146736j -0.134865-8.0523e-06j -0.0760924+0.000341152j -0.332455+0.00118365j -0.22539-0.0166316j 0.0359897-0.0133351j 0.0258475-5.20417e-16j 0.0663361-0.00733005j -0.111681-0.00258932j 0.0764137-0.0064669j -0.0199274-0.00187555j -0.0200711+0.0240272j -0.000887762-0.00495714j -0.0349302-0.0134419j -0.0225595+0.0101172j -0.00309662+2.95174e-06j 0.0570186-0.0101314j -0.0187647+0.00680791j -0.0271821-0.00791402j 0.0491508+0.0131311j 0.0354879-0.0168893j -0.00127339-0.0691719j -0.0137225+0.0298332j -0.0256217-0.00173915j 0.0116131+0.0039639j -0.0150262+0.0676372j -0.0621556-0.0438922j -0.177475-0.157222j -0.0595398+0.0520881j 0.192899-0.168751j 0.0152632+0.203196j 
0.0580652+0.0221414j 0.0259491-0.00824989j -0.0496205-0.00262656j 0.0872845-0.014649j -0.145217-0.00119671j 0.150195+0.00293179j 0.0906891-0.0141497j 0.0071734-0.0170815j -0.0241141-0.0135878j 0.0663361+0.00733005j 0.0546137-2.4078e-15j -0.0514109-0.00634262j 0.0592104+0.00263871j 0.0434651+0.0162862j -0.0239128+0.0145443j 0.00879302-0.0140442j 0.00381664+0.0290563j -0.0134074-0.00806023j -0.0168837+0.0120348j -0.00542864-0.00925072j -0.000423886+0.0376096j 0.0032959-0.0048703j 0.10401-0.11759j 0.0663379-0.0148529j -0.0703647-0.0723681j -0.0647461-0.124956j -0.0590638-0.104034j -0.0744845-0.0122712j 8.55787e-05-0.0476201j -0.0822315-0.0435057j -0.0274486+0.0407135j 0.0972391-0.0175021j 0.0141546-0.0190375j -0.0449728+0.144837j 
