0.00290856+3.29597e-17j -0.00829299+1.20893e-05j -0.00680931-0.000339896j -0.00430634-0.000118816j 0.00331342+0.00051833j -0.00808869-0.000428401j -0.00173956+0.000212741j 0.000108935-0.000118818j -0.00194282-1.91289e-05j 0.00505719+0.000162905j 0.00471453+0.00122772j -0.00103456-0.000284952j -0.00677526-0.00058871j -0.00376979-0.00129704j 0.00201089+0.00116709j 0.00156528+0.000559874j -0.0162032-0.00029906j -7.3088e-05-0.00107363j 0.00218737-0.00323315j 0.0301699+0.00235346j 0.00723829-0.000190465j 0.925006-0.00428138j 
-0.00829299-1.20893e-05j -0.00300428-1.04083e-17j -0.00245204-9.41698e-05j 0.00857449+0.00061439j 0.000517734+0.000475123j -0.00408086-0.000483125j 0.00720702+0.000439774j -0.0085293-0.000718597j -0.00252375-0.000525248j 0.00303675+0.000147513j -0.00583202+0.000155859j -0.00598814-0.000431632j -0.00083802-0.000152249j 0.00278403+0.000478523j 0.00618057+0.000102368j 0.00884049+0.000408667j -0.00261463-6.17964e-05j 0.00738057-0.000471789j -0.0277597-0.000804706j -0.00047498-0.00408888j -0.925934+0.00408147j 0.00671941+0.000140448j 
-0.00680931+0.000339896j -0.00245204+9.41698e-05j -0.00299416+4.48426e-16j 0.0029232+0.000256167j -0.000619218+0.00060948j -0.00238321-0.000533427j 0.00651547+0.000314672j -0.00362555-8.44469e-05j 0.00334506+5.6774e-05j 0.00407481+0.00010627j 0.00203472+0.00231315j -0.00535167-0.000473126j -0.00472938-0.000903401j -0.0137065-0.000576661j 0.0168328+0.00102298j 0.0121318+0.00129715j -0.0079143+0.0016259j -0.0087395-0.00274078j -0.0261237-0.000453093j -0.919751+0.00830874j 0.00112855-0.00413285j -0.0258193-0.00231352j 
-0.00430634+0.000118816j 0.00857449-0.00061439j 0.0029232-0.000256167j 0.0083091+1.76617e-16j 0.00622885+0.000440673j 0.00209058-0.000685991j 0.0102392+0.000331122j -0.00761954+0.000348306j 0.000751295+0.000818081j -0.00559783+0.000384436j 0.00965624+0.00138991j -0.00180306-0.000349861j 0.00252431-0.000631082j -0.0104359+0.000743634j 0.0189053-0.000732387j 0.0183377-4.97293e-05j 0.0206561-0.000142748j -0.0259646-0.000105348j 0.940662-0.00124618j 0.00615038+0.000499015j 0.0228373+0.00074809j 0.00175058-0.00324985j 
0.00331342-0.00051833j 0.000517734-0.000475123j -0.000619218-0.00060948j 0.00622885-0.000440673j 0.0120415+1.92663e-16j -0.00846444+4.58954e-05j -0.00199553+0.000176817j -0.00351756+0.000365556j -0.00638522+0.00082257j -0.00810023+0.000759801j 0.0144813-0.000833851j 0.00403073-1.78671e-05j 0.0013434+0.000361765j 0.0151885+5.36081e-05j -0.00353694+0.000162657j 0.0159892-0.000416195j -0.0143574-0.00136921j 0.95125-0.000807733j -0.0104971-7.70003e-05j 0.00625458+0.00278228j -0.00489977+0.000446199j 0.000363741-0.00112275j 
-0.00808869+0.000428401j -0.00408086+0.000483125j -0.00238321+0.000533427j 0.00209058+0.000685991j -0.00846444-4.58954e-05j -0.00159403+4.74013e-16j -0.000971762-3.80884e-05j -0.0037945-0.00126209j 0.000938006-0.00152699j 0.0058356-0.000495631j -0.0234247-0.000124236j -0.0115994+0.000143233j 0.0017406+0.000945016j -0.00841544-0.000524425j 0.0164545+0.0013918j 0.0183601+0.000968492j 0.942506-0.00250658j 0.00946679-0.00140945j 0.0138276-0.000187873j 0.0100249-0.00160515j 0.00170613+6.93792e-05j -0.0129232-0.00029652j 
-0.00173956-0.000212741j 0.00720702-0.000439774j 0.00651547-0.000314672j 0.0102392-0.000331122j -0.00199553-0.000176817j -0.000971762+3.80884e-05j -0.00065747+7.59538e-16j -0.0109135-9.59832e-05j -0.010253+0.000403162j -0.0133971+0.000758207j 0.00500223-0.000276514j -0.0234902-7.51265e-05j 0.000150729-0.000183752j -0.00564442-0.000438769j 0.0162429+0.000463875j -0.954562+0.000729552j 0.00326497-0.00101491j -0.00720593+0.000375903j -0.0154701+6.11779e-05j 0.00939376+0.00129317j 0.00744349+0.000403057j -0.00162328-0.000577685j 
0.000108935+0.000118818j -0.0085293+0.000718597j -0.00362555+8.44469e-05j -0.00761954-0.000348306j -0.00351756-0.000365556j -0.0037945+0.00126209j -0.0109135+9.59832e-05j 0.0173746-1.01807e-15j 0.016851-0.000677892j -0.0101234+0.000258588j -0.00910168-0.00126254j 0.0158255+0.000494089j -0.00873161-0.000252896j -0.0104964-0.000809572j 0.956224-0.00109352j -0.0149591-0.000470846j 0.00301063+0.0014009j 0.00254747+0.000206432j 0.0132495-0.000753944j -0.0142206-0.00101371j -0.00591057-6.88647e-05j 0.00206608+0.00121088j 
-0.00194282+1.91289e-05j -0.00252375+0.000525248j 0.00334506-5.6774e-05j 0.000751295-0.000818081j -0.00638522-0.00082257j 0.000938006+0.00152699j -0.010253-0.000403162j 0.016851+0.000677892j 0.015634-7.50918e-16j -0.00211482+0.000175561j 0.00250673-0.00141475j -0.00388044-0.00041115j 0.0182581+0.000971411j -0.961009+0.00181949j -0.0324638+0.000864326j 0.000346898-0.00043868j 0.00176045+0.000473926j -0.000143583-4.55965e-05j 0.00320647-0.00071955j -0.0117045-0.000531877j 0.00128701+0.000508715j 0.00321054+0.00127716j 
0.00505719-0.000162905j 0.00303675-0.000147513j 0.00407481-0.00010627j -0.00559783-0.000384436j -0.00810023-0.000759801j 0.0058356+0.000495631j -0.0133971-0.000758207j -0.0101234-0.000258588j -0.00211482-0.000175561j -0.00773077+1.90901e-15j 0.00635754-0.000811219j 0.00396421-0.000588517j -0.959957+0.000692822j 0.00426083+0.000996626j 0.000298308+0.000281208j 0.00378049-0.000194149j 0.00459426-0.000950373j 0.000549964-0.000396248j -0.000912446+0.000631692j -0.00426433-0.000932227j -0.000600987-0.000142248j 0.00543961+0.000603556j 
0.00471453-0.00122772j -0.00583202-0.000155859j 0.00203472-0.00231315j 0.00965624-0.00138991j 0.0144813+0.000833851j -0.0234247+0.000124236j 0.00500223+0.000276514j -0.00910168+0.00126254j 0.00250673+0.00141475j 0.00635754+0.000811219j -0.944843-7.99326e-12j -0.00588238-7.19013e-06j -0.00739149-0.000802254j -0.00438224-0.00139379j 0.00189906+0.00120278j 0.00172906-0.000293812j 0.0123209+9.77261e-05j -0.0133327+0.000882671j -0.00676045-0.00135372j 0.00253977+0.00233481j -0.00429613+0.000140548j -0.00321517-0.00123513j 
