-0.172605+7.42462e-16j -0.0220442+0.0193883j -0.0189351-0.0121027j 0.0631986+0.120521j -0.0254958+0.0127737j 0.0180379-0.0114459j 0.0165269+0.118108j 0.00489095+0.0145693j -0.00890178+0.0232593j 0.00449934-0.0402305j -0.0132271+0.0247432j -0.0306652+0.0177704j -0.0221216-0.0475482j 0.0118259+0.0217812j -0.0373577+0.00508331j 0.00434538+0.0260059j 0.00298824+0.0163527j -0.0135555-0.00711149j -0.00844015-0.0348272j -0.026858-0.00649465j -0.00404833+0.00975337j -0.00474556-0.00867704j -4.93316e-05+0.00659336j -0.0277002-0.00644051j 0.00791314+0.00794829j 0.0303608-0.019908j -0.017195-0.0176652j -0.00287173-0.00656355j -0.0107565-0.0174594j -0.00159311-0.0398447j 0.00491508+0.0265589j -0.00388621+0.00540737j -0.00210313-0.00777574j 0.00190852+0.0196401j 0.00154685+0.0061577j 0.0136743+0.00704448j -0.00490373+0.0104439j -0.00263422-0.0106934j 0.00039762-0.00336195j -0.0129011+6.54186e-05j -0.00152295-0.0127804j 0.0101129+0.0257858j -0.0391266-0.00792332j -0.0130123+0.00563899j -0.00123729-0.00101266j -0.0105315-0.0318432j -0.016573+0.034684j -0.0173181+0.00298092j -0.0266419-0.0295744j -0.00209988+0.00281439j 0.0147162+0.00958337j 0.0314733-0.037579j -0.0268202-0.0051413j -0.00580706+0.0182579j -0.0320386+0.0345327j -9.17178e-06+0.00180338j 0.000217308+0.0142406j 0.00838942-0.0197094j 0.0101365-0.0150186j 0.0138572+0.00940711j -0.0128207+0.00212304j 0.0155164-0.0264199j -0.0066057-0.00689196j 0.0149452-0.0159608j -0.00908545-0.0187653j 0.00738838-0.00320747j 0.0221943-0.0003556j 0.0417283-0.0109366j -0.0087474+0.0046891j -0.00436928-0.0252131j -0.0427561-0.0264312j 0.0281617-0.0160811j -0.0336877+0.0217327j -0.0326801-0.0213504j -0.0338549-0.0323081j -0.00309885-0.00786505j -0.00142309+0.00501027j 0.00519254+0.0345043j -0.0363282+0.0492397j -0.00808533+0.0535728j -0.00149438+0.0192633j -0.0148717+0.0101713j 0.00767877-0.0472801j 0.0187448-0.0564389j 0.0967967-0.206668j 0.101485+0.19672j -0.389823-0.0504603j -0.0487069-0.168839j -0.0406702+0.185941j 0.0716768+0.0332671j -0.00997002-0.0147246j -0.181912-0.025116j 
-0.0220442-0.0193883j 0.17386-6.36644e-16j 0.0926377+0.121317j 0.00899699+0.0184325j -0.0164726-0.0546389j -0.0413538-0.0595727j 0.0185818-0.0381502j -0.0290798+0.0745608j 0.00194543-0.027764j -0.018128+0.00157166j 0.0552487-0.0303191j -0.00159905-0.0287034j -0.00505799-0.00994795j -0.0166981-0.061649j -0.0162109+0.0135986j -0.00827554-0.0247481j -0.0268835+0.00713733j -0.00865321+0.0233849j -0.0353021+0.0144724j -0.004737-0.0148651j -0.000441259+0.0210463j 0.00563646+0.0339719j -0.00223438-0.0116636j -0.027602+0.014489j 0.0101138+0.0114126j 0.0180387-0.00567697j -0.00804355+0.0452646j 0.0230975-0.00671446j -0.0151073-0.0025295j -0.00154112+0.017984j 0.0224772-0.0230264j 0.0049497+0.00472956j -0.0141889-0.00333234j -0.0134444+0.00148418j 0.0112747-0.00110502j -0.0158968-0.0272722j -0.0234025+0.00138898j 0.00462368-0.0123754j 0.0182292+0.00813432j 0.00677748+0.0256024j 0.0176399+0.000697831j 0.00542585-0.0124258j -0.0197614+0.053804j 0.0133142-0.0147589j -0.0120718+0.0264545j 0.00716241-0.0153851j 0.0137959+0.047404j 0.0215427+0.0406073j -0.0255905+0.0428024j 0.00415545+0.0174544j -0.0015138-0.012577j -0.00359877+0.00571545j 0.00880364+0.00273273j 0.0146549-0.0132719j 0.000854994+0.0130788j -0.0130991-0.00150861j -0.0235824-0.00163914j 0.00121976-0.0205211j 0.00253318-0.0029323j -0.00184659+0.00196254j 0.00520578+0.0223105j 0.0150663-0.0112913j -0.00262954-0.0101599j -0.006529+0.00922335j -0.0165602+0.00785292j 0.00113903+0.0187062j -0.0101857-0.0150745j 0.0272434+0.0274599j -0.0134352-0.000655315j 0.0336355+0.0077086j 0.0414786-0.0431911j 0.0361649+0.0148602j 0.00167515-0.0222133j 0.0170309-0.00455539j -0.0476179+0.00946363j 0.0502242+0.0323214j 0.00736397+0.0278626j -0.00535249+0.0249182j -0.0150301-0.00549253j -0.000580331+0.0383278j -0.0671582+0.0260337j 0.0198336-0.100315j -0.0486888+0.0809903j 0.0353279+0.0238915j -0.169147-0.0576156j 0.299838-0.105144j 0.0813813+0.34154j -0.200473-0.0917339j 0.00974728-0.00465653j -0.000132011+0.0627374j 0.157864-0.0162066j 0.00595315+0.0128994j 
-0.0189351+0.0121027j 0.0926377-0.121317j 0.0237488-1.49186e-16j 0.0687781+0.0245524j 0.0289741+0.0744856j -0.0747985-0.0658608j 0.038919+0.0698316j 0.00332293-0.114135j 0.00603339+0.0253111j -0.0436018-0.0667076j 0.0776566+0.0318859j -0.0491269+0.0178801j 0.0271428+0.0171363j -0.0207876-0.0094475j 0.0122189-0.0522836j -0.00765679+0.0526518j 0.0386653-0.0281453j 0.0085893-0.00406469j -0.024742+0.00132338j -0.0112858-0.00985438j 0.031802-0.0231947j 0.00258232-0.0200844j 0.00530512-0.00868314j -0.0333789-0.0507246j 0.00657354-0.0317689j -0.0202679-0.00608254j -0.0205931-0.00761988j 0.0327482+0.012854j -0.0236474+0.0306754j -0.0170941-0.0196622j 0.00977871-0.00250851j 0.0198628-0.0124113j -0.0461164-0.000861636j 0.0399537+0.000687262j 0.00475901-0.0154234j -0.0103629-0.0174472j 0.00478843-0.000139314j -0.0294165+0.00185489j 0.00780472-0.0048284j -0.00629191-0.0170936j 0.0104118+0.00269564j -0.0124899+0.0211702j -0.000152217-0.0493151j -0.00355377-0.0265662j -0.0307645-0.0222795j 0.00193956+0.0572078j -0.00172479-0.0308487j -0.00657292-0.0440309j -0.00398394-0.0190496j 0.0276849-0.0268744j 0.0369285+0.00150708j -0.0409245+0.0604487j 0.00365317+0.0277759j -0.000501415+0.00381359j 0.0112551+0.034551j -0.0241174-0.0351382j -0.0372264+0.0515622j 0.0486316-0.00602084j -0.0261107-0.00431124j -0.00252771-0.0691715j -0.0209182+0.0232721j -0.00258421-0.0523711j -0.00521151-0.0011423j -0.0294787-0.0204276j -0.00967569-0.0354937j -0.0148289+0.0664512j 0.00994278-0.0481101j 0.00172003+0.0858161j -0.00716556-0.0455139j -0.00306016+0.0261248j -0.0267545-0.0162923j 0.00909971-0.0157905j -0.0136569+0.0068959j 0.0334022-0.0577832j -0.0201026+0.0269924j 0.0187458-0.0368333j 0.00464245+0.00977991j 0.000820284+0.00570012j 0.0680747+0.111871j 0.0208272+0.115653j -0.237789+0.0231471j 0.0118577+0.0692758j -0.123123-0.14556j 0.0743457-0.0420686j -0.0964609+0.321173j 0.0479365-0.0333123j -0.107977-0.00803962j 0.010885-0.0128919j 0.0302718+0.00882018j 0.0158017-0.0597781j 0.00217195-0.0523273j 0.075077+0.0161424j 
0.0631986-0.120521j 0.00899699-0.0184325j 0.0687781-0.0245524j 0.0947051+5.55112e-17j 0.0910585+0.0500829j 0.00306549+0.001627j -0.0121126-0.0273823j 0.0446076+0.0274575j 0.0125286+0.00372132j -0.00269926+0.00422717j 0.0269597-0.0121028j 0.018226-0.0465315j 0.043572+0.0490853j -0.0173491+0.0305412j -0.0488642+0.0517832j -0.000590439-0.0190073j -0.023956+0.0407703j -0.00166887-0.016235j -0.0177221+0.0431614j -0.00575772+0.0112347j 0.00619686+0.00378593j 0.00450724-0.0128798j -0.0205935-0.000414763j -0.0136787+0.0291549j -0.0129224+0.0314721j -0.0196743+0.0154811j -0.0179501-0.00520103j 0.0253006+0.0154137j -0.00927437+0.00206303j 0.0190569+0.0148487j 0.0129741-0.0120413j 0.0236825+0.0103636j -0.0218291+0.0181428j 0.00293185-0.00326592j -0.00460586+0.0109284j -0.0377666+0.0155003j -0.00246548+0.0403476j 0.0343981+0.0232864j -0.0282797-0.000262998j -0.00684577+0.0311838j -0.0114934-0.0310607j -0.000127149+0.0146017j -0.0111104+0.0595778j -0.0205809-0.0347744j 0.0198601+0.0151297j 0.0180414-0.0218268j -0.0180148-0.0299779j -0.0102105+0.00647669j 0.00449299-0.0326888j 0.00593362-0.0464004j -0.00343914-0.0037642j 0.0602828-0.0200415j 0.01505+0.0262002j -0.0444854+0.040215j -0.0180665-0.0397835j -0.0325118-0.0170449j -0.013784-0.00560759j -0.0275078+0.0224347j -0.0594294+0.00396955j 0.0213221-0.00307604j 0.0157413-0.0299014j -0.0335659+0.0230049j 0.00716647-0.0441655j 0.00804585+0.00790678j 0.0104427-0.0298271j 0.066905-0.0403552j -0.00635983+0.0120295j 0.0233626+0.0168788j 0.0349843-0.0120655j 0.0323203+0.0180831j -0.0192692+0.0458219j -0.014674+0.0518377j -0.0360421+0.0454284j -0.0142012+0.0513625j -0.0543927+0.0957723j 0.040607-0.0017648j -0.00560194-0.115298j 0.00496086+0.0529821j 0.0782363-0.0454807j 0.198555-0.10959j -0.0140747+0.227439j 0.0935834+0.0948286j -0.106045+0.156573j 0.0230918-0.271072j 0.159483+0.0262036j 0.0376454+0.101741j 0.0970482-0.0478724j -0.0450819-0.0463498j 0.0718194+0.117066j -0.0257806+0.0118532j 0.00931188-0.000398013j 0.0339352-0.178708j 
-0.0254958-0.0127737j -0.0164726+0.0546389j 0.0289741-0.0744856j 0.0910585-0.0500829j 0.101093-3.95517e-16j 0.0550407-0.0169746j -0.0134995-0.0451729j 0.00328569-0.018712j 0.0631332+0.0107911j -0.0202305+0.0372306j -0.00426531-0.0357485j -0.0168568-0.0499369j 0.0392948+0.00607007j 0.044523-0.024455j -0.0211833+0.0157419j 0.0518879+0.00264628j 0.0216381-0.0320633j -0.0145272-0.00301586j -0.00225343+0.0131793j -0.0100627-0.0212987j -0.025721-0.0262235j -0.00920476-0.0161689j -0.023955-0.0266674j -0.0286389-0.0676548j -0.0157209+0.0324487j -0.0142388+0.0125456j -0.0110614+0.00943339j 0.0232749+0.0466128j 0.0417516+0.00769043j 0.0392133-0.00955646j 0.0299724+0.0382231j 0.0172394-0.00109566j -0.00215921-0.00890179j 0.00054152-0.0218758j 0.0345904+0.00614616j 0.0156133+0.0197336j 0.0568644+0.0398713j -0.024447+0.00636813j 0.00202363+0.00686869j -0.0124712-0.0391563j -0.0155262+0.00616727j 0.0167231+0.00272391j -0.00951122+0.00603834j 0.00394751-0.0220762j 0.0109206-0.0582559j 0.0396485+0.033963j 0.0273576-0.0355933j 0.0110292+0.0415283j -0.082953-0.0250125j -0.0523188+0.017399j -0.00911611+0.0219036j 0.0176512-0.0347779j 0.0879363+0.0392217j 0.0626728-0.000676098j -0.00837655-0.0822343j -0.0393942+0.0129455j 0.00575489+0.00875073j 0.004662+0.0155968j 0.0166202-0.0956064j -0.0822203+0.0413857j -0.0179899-0.0277557j 0.0145297-0.0463743j 0.00797721+0.00907465j -0.00887234+0.00608411j -0.014285+0.021321j 0.0138857-0.00318212j 0.00942078+0.0542348j 0.0185806+0.0439788j 0.0304387-0.0324826j 0.00777925-0.0414143j -0.0604384-0.0142778j 0.0169026-0.0130612j -0.026772-0.0113756j 0.00495251-0.168259j 0.0817491-0.0818885j -0.0414479+0.0375773j -0.16292-0.0820996j 0.137199+0.148496j 0.0367451-0.210234j -0.00176032+0.027573j -0.0324666-0.140115j -0.011741-0.00339701j -0.030337-0.12592j -0.181315-0.0173727j 0.0348127+0.0773024j 0.0845177-0.0541801j 0.00595696-0.0650804j -0.119042-0.0882859j 0.0404295+0.0379526j 0.019883-0.0183296j 0.180837+0.0746857j -0.0517441-0.156668j 
0.0180379+0.0114459j -0.0413538+0.0595727j -0.0747985+0.0658608j 0.00306549-0.001627j 0.0550407+0.0169746j -0.156692+3.95517e-16j -0.0425227+0.0159547j -0.0507399-0.00611552j 0.0305842-0.029668j 0.047414-8.14614e-05j -0.0356214-0.0129561j -0.0119529-0.0203201j 0.00903693+0.0333187j -0.00684555-0.0177813j -0.0317817+0.00865295j 0.0285383-0.00648916j -0.0406245+0.0110396j -0.00994548+0.0304357j 0.0434406+0.0839607j 0.0255932+0.000997364j -0.0260575-0.0436156j -0.0326855+0.0243287j 0.024187+0.0247923j 0.00485825-0.0231159j -0.0293141-0.0324917j 0.000889234-0.0206363j -0.0433568+0.0206929j 0.00542359+0.0270604j 0.0555205+0.00218675j 0.00246925+0.0122984j -0.0808004-0.0308111j -0.0355659-0.00248564j -0.0144992-0.0438896j -0.0206778-0.000888562j -0.0151903+0.0151427j -0.0551861-0.0735791j -0.0512188+0.0667118j -0.00956455-0.0449254j 0.0449398-0.0294601j 0.0291266-0.0358343j 0.0136677-0.0340773j -0.0584299+0.0105472j -0.0415781-0.0239301j 0.00821959-0.0328691j -0.0431902+0.0246881j -0.0224707-0.0238091j -0.00363985+0.0129645j 0.00675423+0.0454323j 0.00348294-0.038429j -0.00521525-0.0629207j -0.0481673-0.0223033j -0.0150908-0.0370777j -0.0376267-0.0110976j 0.026657+0.0255258j -0.0675071-0.102031j 0.0218827+0.0105845j 0.0153612+0.0191126j -0.0300941-0.0166149j 0.0681274+0.013285j 0.00486582+0.0258873j 0.0227075-0.0302572j 0.00425132-0.00840673j -0.000227991+0.00750772j 0.039339+0.0102068j -0.100305-0.0136222j 0.0755603+0.0754996j 0.130371-0.0426359j -0.0250503-0.00265768j 0.0685643+0.0146226j 0.023262+0.0880142j 0.105771+0.0377557j -0.0366279-0.0041239j -0.112294-0.132491j -0.0450263+0.0438807j 0.0788072+0.081998j -0.219697-0.0419024j 0.108448-0.105171j -0.0153408+0.0998426j 0.0461286+0.0699921j -0.042429+0.113113j 0.0800525-0.0697628j -0.0616484+0.0294099j -0.0449098-0.034209j 0.12782-0.034376j -0.0634453+0.102402j -0.00392074-0.0597033j -0.0626707-0.0835698j -0.0192374-0.0533763j -0.0743674+0.051765j -0.084771-0.016628j -0.0888179-0.334423j -0.365077-0.0326779j 
0.0165269-0.118108j 0.0185818+0.0381502j 0.038919-0.0698316j -0.0121126+0.0273823j -0.0134995+0.0451729j -0.0425227-0.0159547j 0.069684-0j 0.0128107-0.0472079j -0.0412889-0.0263667j 0.0269374-0.0291239j 0.0106417-0.0380765j 0.0518883+0.0141429j 0.0218067-0.0859804j -0.0115693-0.00483472j 0.00870031-0.00853792j -0.0162664+0.00157901j 0.00965828-0.0126613j 0.0720127-0.00564085j 0.00233638+0.0241752j -0.0232243+0.0371458j -0.0139457-0.0515786j 0.000162778-0.0405192j -0.0109633-0.0248613j -0.00272924+0.00781251j -0.000640248+0.0412308j -0.00466378+0.00489582j -0.0251066+0.0200889j 0.0152481-0.0150177j -0.00891996+0.0488552j -0.0085478+0.0290037j -0.0344134+0.0124221j -0.000571914-0.022698j 0.0402262-0.00507745j 0.000175243+0.0357169j -0.0244094-0.0711971j 0.00741498-0.030277j -0.00554828-0.0493064j 0.0186402-0.0512792j 0.0270036-0.0101179j 0.0749057+0.00746356j 0.00244639+0.00433035j 0.0453547+0.0157693j 0.0318273+0.00323453j -0.0169338+0.0291876j 0.0596521-0.0189472j -0.0043429-0.0825401j -0.0316369-0.0762035j -0.112504+0.00721221j -0.0753602+0.0495245j -0.0608094-0.0539476j -0.0305103-0.00857948j 0.0816302-0.0641634j -0.0563726+0.00872917j 0.046013-0.0192899j 0.0425283-0.0300991j -0.0365607+0.0872912j -0.00971383+0.00235777j 0.00505848-0.0381225j -0.0263731-0.0480962j -0.00598657+0.0126954j 0.0318874-0.00165651j -0.0390805+0.061061j -0.0247824+0.0582109j -0.0326191-0.00215845j -0.0209394+0.0372859j -0.0086159+0.0290545j -0.075395-0.0171358j -0.0702055+0.124592j -0.0214234-0.087953j 0.0621478-0.022043j 0.00545258-0.0633469j -0.126242+0.0692938j -0.0779245-0.0841788j 0.0695792-0.0682166j -0.0327697+0.0688036j 0.028133-0.0917701j 0.0593536+0.252725j -0.149621+0.047108j 0.0141891+0.00264588j 0.00759751-0.0898346j 0.118332-0.0887928j 0.0478374+0.037057j 0.101939-0.0217102j 0.011985-0.0600299j 0.0773291+0.000538294j 4.76566e-05-0.190702j -0.00151405-0.0386024j 0.073733-0.0518468j 0.0181516-0.0838728j 0.0727754-0.113919j -0.295426+0.0852792j 0.0793059+0.229725j 
0.00489095-0.0145693j -0.0290798-0.0745608j 0.00332293+0.114135j 0.0446076-0.0274575j 0.00328569+0.018712j -0.0507399+0.00611552j 0.0128107+0.0472079j 0.0392999-1.56125e-15j -0.0384893+0.0124586j -0.00379748-0.0532216j 0.0280868-0.0054589j 0.021196+0.0268272j -0.0207591+0.0137303j -0.0184444+0.0497491j 0.0066739-0.0950747j -0.0249153+0.000986435j -0.00386078-0.0186658j -0.0301538-0.0724705j -0.00721896-0.00614678j 0.0127317+0.0246187j 0.081804+0.0105765j -0.0277915+0.00570287j 0.0535485+0.020367j 0.0194711+0.0405057j -0.0191441-0.0135473j -0.0147793+0.0111208j 0.0120169-0.0657423j -0.000771687+0.00716312j 0.0186639-0.0380242j -0.0628258+0.00202656j -0.0232031+0.0303654j 0.00958544+0.0108565j -0.0321277+0.0504089j 0.0466351-0.00419898j 0.0638029-0.0124471j 0.00616734-0.027649j -0.01035+0.0424228j 0.00146934+0.00466176j 0.0153065-0.0234398j -0.000362613+0.0381388j -0.0400565+0.0172159j -0.0473166+0.061233j -0.0605692+0.0727465j 0.0300235+0.0232188j 0.0284716-0.0564871j 0.0309178+0.00783688j 0.102573-0.033448j -0.0657403-0.0635453j 0.0114723-0.00460511j 0.0555548-0.00365665j -0.0471939+0.0681637j 0.0594389-0.0227734j 0.000787356+0.0201386j 0.0776613-0.0645838j 0.0289844+0.0830295j 0.0486393-0.112572j 0.0578002-0.0157628j -0.00245649+0.00104175j 0.0331547+0.043672j -0.101275+0.0917302j 0.00781188-0.0181345j 0.0191175-0.0263445j 0.00591986-0.0719262j -0.0423388+0.0377154j -0.0802952-0.0251231j -0.0597805+0.0757268j 0.000573101-0.0033655j -0.0581368+0.0169381j -0.0691427+0.14808j -0.0710232+0.0556462j -0.00455535-0.0800718j -0.00722741+0.0683812j 0.0429486+0.0197018j 0.108919-0.0940665j 0.0371628-0.0309229j 0.0156218-0.00147568j -0.0789288-0.0599167j -0.0235149-0.0686209j 0.172809-0.00156395j 0.0796821-0.220743j 0.00200472-0.022648j -0.157024+0.0185756j 0.0616812-0.0248115j 0.134697-0.0577105j 0.0492303-0.0871648j 0.100037-0.0907728j -0.0811496+0.0639037j 0.0810234+0.0246773j -0.156734-0.0854449j -0.105726+0.285385j 0.0776178+0.067774j 0.0747692-0.137908j 
-0.00890178-0.0232593j 0.00194543+0.027764j 0.00603339-0.0253111j 0.0125286-0.00372132j 0.0631332-0.0107911j 0.0305842+0.029668j -0.0412889+0.0263667j -0.0384893-0.0124586j -0.0673632+9.57567e-16j 0.0958859-0.00778889j 0.0506285+0.0274126j -0.0516358-0.0119092j -0.0585352+0.0183923j 0.000804689+0.069072j 0.001606-0.0330114j -0.0287682-0.00174477j -0.0299335-0.0324247j 0.0155988+0.0237437j 0.0249829-0.0347609j -0.0353602-0.0694753j 0.0518906-0.0365795j 0.0333407+0.0481221j 0.00877007+0.0325415j 0.0343115-0.0333359j -0.0161464+0.0272911j -0.0348607+0.0245948j 0.0471672-0.00917336j -0.00653232+0.0915254j -0.0336784-0.0431557j 0.0529458+0.0460874j -0.0914118+0.0891784j 0.0265241-0.0132565j 0.0158849-0.00534887j 0.00101444-0.0110733j 0.00175158-0.0694504j -0.0564782+0.0109645j 0.0777042+0.0102335j 0.0272013-0.0247302j -0.0513339+0.0209165j 0.0207128-0.00330387j 0.0258061+0.0466132j 0.0165347-0.0819331j 0.0337981+0.0449351j -0.0706318-0.0475324j -0.0397543+0.0373567j 0.0585864+0.0117138j -0.0400985-0.0814974j -0.0494666-0.0687741j 0.0903647+0.066335j 0.129618+0.0417299j 0.052143-0.117761j -0.036257+0.121161j 0.0457701-0.0814262j -0.0921983+0.0964512j 0.0639261+0.0855554j -0.0525269+0.0741958j -0.0160045+0.0290669j -0.00846552-0.161481j -0.062649+0.0279437j -0.0282695+0.0373754j 0.0262303+0.0565783j 0.0140567+0.0436452j 0.0497952+0.0340868j 0.0254279-0.00389702j -0.0387571+0.104478j -0.0182404-0.0287435j 0.00188332-0.12112j -0.0389653-0.0154425j 0.0311216-0.0383675j 0.0142995+0.0204341j -0.0632377-0.0252163j 0.0725627+0.0312163j -0.0376982-0.023943j 0.0735401-0.00247018j -0.0131143-0.0215762j 0.11401-0.0281182j -0.0410896+0.129114j -0.0295836+0.0320967j 0.00136645-0.0662806j -0.0452609+0.0133909j -0.0277392-0.0369047j 0.0729713+0.106686j -0.0574643+0.0154494j 0.0239723+0.0430534j -0.0474971+0.0383647j 0.00924069+0.0694999j -0.0930603-0.00217524j 0.0864612-0.0484642j 0.0519872-0.126952j -0.0897803-0.0167443j 0.0704742-0.0278071j -0.0859639+0.0169618j 
0.00449934+0.0402305j -0.018128-0.00157166j -0.0436018+0.0667076j -0.00269926-0.00422717j -0.0202305-0.0372306j 0.047414+8.14614e-05j 0.0269374+0.0291239j -0.00379748+0.0532216j 0.0958859+0.00778889j 0.0430518+1.249e-16j 0.0481014+0.073765j 0.0295503+0.0157559j 0.0490659-0.0120827j -0.0382687+0.0292437j 0.0299738+0.0759453j -0.0161705-0.0108824j -0.0755366-0.0358092j -0.00502602+0.0425974j -0.00698569-0.0304955j 0.032829-0.0101279j -0.00214096+0.018273j -0.0179205+0.0242126j -0.0481672-0.0183823j -0.035849+0.0523911j -0.0439198-0.00754481j -0.000935835-0.00585155j -0.00550763+0.0663424j -0.00137062-0.00797142j -0.0206945+0.062918j 0.0834799-0.0164298j -0.016293+0.0204041j 0.0332302-0.0162656j 0.0165039+0.0161875j -0.00345141-0.00101392j 0.00285678-0.0648304j 0.0466586-0.0701194j -0.0635261-0.00625075j 0.00760919+0.0534719j 0.00723252-0.00800403j -0.017791-0.0255849j -0.0187165-0.0598385j 0.0569593+0.00662108j -0.0875158-0.100155j -0.0393248-0.00393955j 0.0467177-0.0720587j 0.0165285-0.0929295j -0.148483-0.0565849j -0.032494+0.127799j 0.0294323-0.058363j -0.0726754-0.0854308j -0.0396054-0.116167j 0.0823213+0.0430466j -0.076775-0.0803393j -0.0321152+0.0584116j -0.00128634-0.109921j -0.00101029+0.0238032j -0.0068108+0.0813133j 0.00244136-0.0478815j 0.012511+0.0688258j -0.00464741-0.0522368j 0.0709764+0.0687546j -0.0538225-0.0529734j 0.0310729+0.00774213j 0.0224234+0.0365914j 0.0743138-0.046629j 0.0314738+0.0481861j -0.0797808+0.00730771j -0.0247456-0.00244757j -0.028668-0.0478558j 0.0362412+0.0490256j -0.0177166+0.0163036j -0.0923354-0.0284325j -0.0271899-0.00293572j 0.00234658-0.0336044j 0.0199465+0.0888439j 0.0165719-0.0748204j 0.0341164+0.021579j -0.0533517+0.0342241j 0.00882098+0.00224655j 0.0548075+0.0104924j 0.0366635+0.0139037j -0.0169896+0.016257j -0.00501267-0.108144j -0.00810858-0.0159463j 0.0153668-0.0564339j 0.0797282-0.00462874j -0.0231046+0.0483893j -0.0601069-0.0360616j 0.0596956-0.0223041j -0.0129051-0.0299403j 0.0986779-0.0310156j 0.0388791-0.0569296j 
-0.0132271-0.0247432j 0.0552487+0.0303191j 0.0776566-0.0318859j 0.0269597+0.0121028j -0.00426531+0.0357485j -0.0356214+0.0129561j 0.0106417+0.0380765j 0.0280868+0.0054589j 0.0506285-0.0274126j 0.0481014-0.073765j 0.000255752+2.77556e-17j 0.0461766-0.0170142j -0.0517325-0.0568361j 0.0355486+0.0109374j 0.00173257+0.020711j 0.0043154+0.0435848j -0.0395212-0.0234544j -0.0250969-0.0551821j 0.0105399+0.0177961j -0.0472277+0.0594232j 0.0233896-0.0466259j 0.00982118+0.057763j -0.0094151-0.0245722j 0.0789493+0.00238394j -0.00233416-0.012974j 0.0487015-0.0696143j -0.0090375-0.00641151j 0.0538381+0.0425775j 0.00504894-0.00200218j -0.0129553-0.0729449j 0.0385162-0.050756j 0.0346046-0.0818132j 0.0261163+0.0238174j 0.054864-0.00443424j 0.00702003+0.00852631j 0.0340817+0.0399265j 0.0184957-0.0191712j -0.0239465+0.0302603j 0.0452495+0.0101085j 0.0372426+0.110472j -0.0823734+0.0761141j -0.00644217+0.0570273j -0.0460059+0.0294641j 0.0209783+0.121337j -0.0600517-0.104703j -0.0588894-0.0414981j -0.175899+0.0057693j -0.11837+0.0131262j 0.0187949-0.120814j -0.0897415+0.0294205j -0.0779434+0.0599246j -0.00214222-0.0109327j -0.136833+0.00832765j 0.0487778-0.0184852j 0.0380877-0.161891j 0.0271099-0.0868489j 0.00452949-0.0103208j 0.0422521+0.0683569j 0.0406244+0.022623j 0.103832+0.0172112j 0.0117352-0.0607849j -0.00604907+0.0524838j -0.0105459-0.0311866j 0.0936918-0.0432929j 0.00548002-0.0787516j 0.0616483-0.00223001j -0.0344625-0.047129j -0.0758574-0.0805426j 0.0319344-0.0397795j 0.0818746-0.103673j 0.017471-0.0375508j -0.0265757+0.038331j 0.00482583+0.016594j -0.0391786+0.0224185j 0.0459477-0.0867111j -0.0331559-0.0305568j -0.0479577+0.0338503j 0.00968247+0.0041766j 0.0623457-0.0397743j -0.160459-0.0271924j -0.072131+0.175495j 0.0199986-0.0512334j -0.0313382+0.106127j 0.000234053+0.0399968j -0.121692+0.0181084j -0.104159+0.0936462j -0.104169+0.105169j 0.0695473+0.119855j -0.0478807-0.0413522j 0.0809664+0.0746951j 0.00693256+0.0264378j 0.0340888+0.0290724j 
