-0.0909902-2.96985e-15j 0.174954+0.00633908j -0.105194-0.0662457j -0.083629-0.156147j 0.0168764-0.014924j -0.100383-0.139649j 0.0242354-0.0141716j -0.00183401+0.0501249j 0.126779+0.0494406j 0.142556+0.112636j 0.145784-0.0411538j -0.146291+0.322401j -0.302116+0.122896j 0.0133146+0.0222069j -0.0685843-0.324157j 
0.174954-0.00633908j 0.107417-2.22045e-16j -0.121873-0.0459549j 0.102781+0.105767j 0.0601196-0.00723604j -0.00694599+0.014943j -0.013451-0.0790348j -0.129318+0.179926j 0.0477781-0.0635669j 0.0298699-0.0880523j -0.0649196-0.303144j 0.319954-0.119553j -0.0474444+0.168609j 0.154743+0.280533j -0.0194641-0.0321651j 
-0.105194+0.0662457j -0.121873+0.0459549j 0.128464-0j 0.0177463+0.0557568j -0.0656275-0.00666177j 0.0899416-0.0174891j 0.0409238+0.0486748j 0.0285779+0.0293405j -0.143086+0.125602j 0.11554-0.365292j -0.0483126-0.0277825j -0.270924-0.108674j -0.292696+0.416577j -0.0390222+0.167243j 0.304865-0.127719j 
-0.083629+0.156147j 0.102781-0.105767j 0.0177463-0.0557568j 0.0298367-9.71445e-17j 0.133464+0.0285469j 0.0972081+0.061425j 0.0210753+0.194677j -0.177345+0.110316j 0.111162+0.0620279j -0.249851-0.104616j 0.265928+0.0661159j -0.0885946-0.153135j 0.270791+0.112197j -0.322862+0.129194j -0.135413+0.317508j 
0.0168764+0.014924j 0.0601196+0.00723604j -0.0656275+0.00666177j 0.133464-0.0285469j -0.0793185+1.16573e-15j -0.177847+0.0509145j 0.13404+0.18365j -0.0101789-0.106622j -0.115105+0.0876121j 0.0470668-0.0583575j 0.166723-0.228483j 0.267621+0.0678506j 0.0411293+0.0246282j 0.0694398+0.301653j 0.144308-0.05077j 
-0.100383+0.139649j -0.00694599-0.014943j 0.0899416+0.0174891j 0.0972081-0.061425j -0.177847-0.0509145j -0.0777337+1.1588e-15j -0.0183064-0.133007j -0.116377-0.189606j -0.159005+0.214966j -0.0713116+0.101871j -0.0490444+0.0620303j 0.250587+0.0968167j 0.111916-0.366485j 0.0286048-0.0927458j -0.140845-0.112639j 
0.0242354+0.0141716j -0.013451+0.0790348j 0.0409238-0.0486748j 0.0210753-0.194677j 0.13404-0.18365j -0.0183064+0.133007j -0.0712683-1.04083e-15j 0.217412-0.0557031j -0.301319-0.179715j 0.158871-0.216701j -0.114669+0.0822541j 0.11873+0.0587277j 0.141571-0.127193j -0.0433009+0.0656219j 0.129199+0.0474782j 
-0.00183401-0.0501249j -0.129318-0.179926j 0.0285779-0.0293405j -0.177345-0.110316j -0.0101789+0.106622j -0.116377+0.189606j 0.217412+0.0557031j 0.145003-1.10318e-16j 0.216975-0.0518213j 0.114159+0.187753j -0.0058095-0.105671j -0.175159+0.111317j -0.022526-0.030594j 0.127397-0.176013j -0.00473579+0.0573141j 
0.126779-0.0494406j 0.0477781+0.0635669j -0.143086-0.125602j 0.111162-0.0620279j -0.115105-0.0876121j -0.159005-0.214966j -0.301319+0.179715j 0.216975+0.0518213j -0.0748391+1.94289e-16j 0.0160973+0.131085j 0.135469+0.187124j 0.0210321+0.194585j -0.041766-0.0522093j 0.0130057+0.0775783j 0.0218282-0.0154183j 
0.142556-0.112636j 0.0298699+0.0880523j 0.11554+0.365292j -0.249851+0.104616j 0.0470668+0.0583575j -0.0713116-0.101871j 0.158871+0.216701j 0.114159-0.187753j 0.0160973-0.131085j -0.0810942-2.91434e-16j 0.178178-0.0543328j -0.0963875-0.0639295j 0.0903905-0.0143821j -0.0045163+0.020388j 0.101745+0.141545j 
0.145784+0.0411538j -0.0649196+0.303144j -0.0483126+0.0277825j 0.265928-0.0661159j 0.166723+0.228483j -0.0490444-0.0620303j -0.114669-0.0822541j -0.0058095+0.105671j 0.135469-0.187124j 0.178178+0.0543328j -0.0741643+3.88578e-16j 0.133019+0.0301365j 0.0629527+0.00647706j -0.058244+0.00541535j 0.0187994-0.0156701j 
-0.146291-0.322401j 0.319954+0.119553j -0.270924+0.108674j -0.0885946+0.153135j 0.267621-0.0678506j 0.250587-0.0968167j 0.11873-0.0587277j -0.175159-0.111317j 0.0210321-0.194585j -0.0963875+0.0639295j 0.133019-0.0301365j 0.0217563-2.77556e-17j -0.0163367-0.0547068j -0.104472-0.111554j -0.0792121-0.152014j 
-0.302116-0.122896j -0.0474444-0.168609j -0.292696-0.416577j 0.270791-0.112197j 0.0411293-0.0246282j 0.111916+0.366485j 0.141571+0.127193j -0.022526+0.030594j -0.041766+0.0522093j 0.0903905+0.0143821j 0.0629527-0.00647706j -0.0163367+0.0547068j 0.129091+8.32667e-17j -0.117201-0.0429487j 0.110839+0.0697938j 
0.0133146-0.0222069j 0.154743-0.280533j -0.0390222-0.167243j -0.322862-0.129194j 0.0694398-0.301653j 0.0286048+0.0927458j -0.0433009-0.0656219j 0.127397+0.176013j 0.0130057-0.0775783j -0.0045163-0.020388j -0.058244-0.00541535j -0.104472+0.111554j -0.117201+0.0429487j 0.0987821+1.94289e-16j -0.178994-0.00642736j 
-0.0685843+0.324157j -0.0194641+0.0321651j 0.304865+0.127719j -0.135413-0.317508j 0.144308+0.05077j -0.140845+0.112639j 0.129199-0.0474782j -0.00473579-0.0573141j 0.0218282+0.0154183j 0.101745-0.141545j 0.0187994+0.0156701j -0.0792121+0.152014j 0.110839-0.0697938j -0.178994+0.00642736j -0.0830661+2.9976e-15j 
