0.0693611-0.159221j 0.188689-0.16883j 0.437684+0.0794393j -0.0478034-0.344632j -0.119174+0.0983837j -0.717476-0.189368j 0.130477+0.189548j -0.0744165+0.607245j -0.490061-0.496174j -0.0337661-0.28551j -0.320343-0.519868j 0.754874-0.37206j 0.706569-0.277262j 0.146295-0.515346j -0.19992-0.210688j -0.761288-1.16777j -0.719358-0.111397j 0.854117+0.189177j -0.424299+0.482615j 0.381533-0.211802j -0.111132+1.18298j -0.0497298-0.260691j 0.404323+1.10229j -0.0388346-0.492187j 0.466491-1.60061j -1.34536-1.02659j 1.52882+0.339386j -2.12505+1.34037j -0.406689+0.142325j -1.5068-1.5214j 0.0699933-0.33464j -0.12719-0.587098j -0.220227+0.219222j 0.0923137+0.67211j -0.164174-0.590617j 0.0877764+0.864744j -0.0573374+0.0571985j 0.940525-0.0272841j -0.536129+0.88951j -0.0508043-0.165325j 1.12692-0.0440455j 0.694258+1.28724j 0.486484+1.21987j 0.399752+0.136096j 0.840181-1.46066j 0.417119-0.725309j 0.566483-0.453433j 0.893762-1.19297j -0.0606408+0.734774j -1.24015-1.55819j -0.209568-0.346237j 1.67341-0.860828j -0.641864-0.476149j 0.925622-0.66559j 0.331065-1.45374j 0.692459-0.745937j -0.236942+1.00189j 0.514397-0.0715348j 0.0184827-1.04541j -0.221599+0.564955j 1.85083+0.348583j -0.610079+0.948778j 0.977253+2.17183j -0.804076-0.514549j 0.924262+0.450198j 0.780988-0.628639j -1.37478+1.04274j -0.0698961-2.80152j 2.71173-0.674295j 
-0.13999-0.344577j -0.198714-0.267382j -0.0597375-0.79025j -0.106018+0.305323j 0.893044-0.205804j 0.294385+1.26545j -0.156459-0.632741j -0.0479739+0.26869j -0.0978937+0.693099j 0.129689+0.851997j 0.0607881+0.811511j -0.0770582+0.0821978j 0.453691+0.369253j -0.600649-0.0501401j -0.53718+0.0826741j 0.466443-0.1079j -0.313859-0.411985j -0.824673+0.664724j -1.94387-0.462814j 0.0243819+0.157726j -1.73849-0.222942j 0.448948+0.995226j 0.739583+0.681462j 0.658235-0.229268j -0.728841-2.04028j 0.761909-0.732456j -0.336317+0.843552j -0.708257+0.170418j 0.287035+0.106106j -0.303129+1.48438j -0.973903+0.0602883j -0.940971+0.210087j -0.204122-0.563169j 0.642162-1.07331j -0.430007+0.0881862j 1.93601-0.54375j -0.0947897+0.00819899j 0.265121-0.189127j 1.32012-0.127556j 1.11341-0.791535j -1.30737+1.06531j 0.212898+0.301925j -0.348953-1.95551j 1.08118+0.0837327j -0.686272+1.03039j -0.832586-0.350003j -0.674535+0.184271j 0.346672+0.530535j 0.892953-0.0749911j 0.350595-1.0848j 0.956251+0.537892j 0.52681+2.18595j 0.472597+0.0933035j 1.89969+0.0798456j 0.84116-0.510446j 0.754183-0.609607j -1.30314-0.537531j 1.44704+0.00832145j -0.790165+0.388959j 0.34254+0.317223j -0.690314-1.10427j -2.04785+0.00886636j 0.951235+1.63633j 0.346882-0.160357j 1.25454+0.942737j -1.15933+1.08567j -1.81555-1.08614j 0.125239-0.859438j -1.44879-0.714092j 
-0.507268+0.0793095j 0.05122+0.471553j -0.228989+0.68277j -0.628244-1.41649j -0.513342-0.158528j 0.135945+0.357218j -0.747208+0.594949j 0.717464+0.223167j -0.831209-0.680674j -0.0297457-0.807375j 0.0580036+0.855257j -0.723001+0.528901j 0.119353-0.589664j 1.37078-1.32682j 0.169038+0.149296j 0.827889+0.106042j 0.228721-0.353735j 0.528511-0.05068j -0.892482+0.481915j -0.994262-0.724169j -0.509861-1.14288j -1.00967+1.13381j -0.224439+0.581393j 1.61515+0.182841j -0.833422-0.386313j 0.609492+1.47126j 0.680627+0.773912j 0.132535+1.03389j -0.338845-0.650764j 0.407283-0.735768j 1.17582+0.220761j 0.739751+0.0322666j -1.32474+1.52815j 0.874178-1.03911j -1.20515-1.02712j -1.08204-0.831438j -0.0937693-0.0522341j 0.0323447-1.2073j -0.802591+1.6894j -1.52613+0.312834j -0.901039-1.12936j 0.712067-0.515148j 0.647538+0.0659382j -0.0449917-0.396153j 2.33556+0.592032j -0.705594+1.42798j 0.983707-0.779826j 0.416342+0.192698j -0.589763-0.635985j 0.00759291-1.08129j -0.180229+1.53726j -1.1952+0.592381j 0.841534+0.984298j 0.764271-0.234797j 0.719085+0.358995j -0.197374-0.306557j 0.745166-0.899063j -0.424729-1.00848j -0.718873-0.822223j -1.45673+1.07595j 0.0402217-2.00847j -1.47066-0.880462j 0.252043+0.413724j 0.777842-0.573976j -1.688-1.56669j -1.93541+0.4976j -0.941223+0.912756j -0.944483+0.184156j 0.84449+0.895187j 
-0.658426+0.135416j -0.367899+0.615866j -1.24071-0.117324j -0.121247+0.409909j -0.817917-0.206705j 0.64491-1.02441j 0.58691-0.0328842j 0.201217+0.0231421j -0.0784605-0.546474j -0.914242+0.0202995j -1.55693+0.826059j -0.421096-0.462638j 0.0363947+0.954432j -1.01499-0.644618j -0.05131-1.70538j 0.649421-0.729119j -0.0713329+1.19j 0.334716-0.570502j -1.40769-1.03482j -0.300631+0.904241j 0.64212+0.0788686j 0.619168-0.190343j -0.0712102-0.506897j 0.746184+0.388866j 1.12017-0.43922j -0.634166-0.57132j 1.15827-0.683717j 0.550711+0.62346j 0.0417406-0.554662j 0.71086+0.166817j 0.781438+1.05533j -0.177739+1.88556j 0.94316+1.34625j -0.669787+0.93343j 1.52054+0.803471j -1.36935-1.02574j 0.134779-0.659721j 0.179395+0.553938j -0.642949-0.405116j 0.168672+0.264289j -0.61358-1.3589j 0.0422071-0.0550325j 1.54803-1.7278j 0.642779+1.98118j -0.127255-0.374411j 1.86328-1.56044j -1.28119+0.191848j 0.604104+0.270428j 0.0146509-0.644011j 0.0355074-1.36985j 0.192205-0.720997j -1.43819-0.494169j 1.32833+0.615405j -0.231356-0.211766j 0.155992-2.1072j 1.54963+1.60224j -0.733712-0.126668j 0.893575-1.47757j -0.0544321-0.328373j 0.873613-0.35974j 0.674892-0.0774628j 0.147316-0.551918j -0.888293+0.998111j 1.12749-0.839549j 0.673287+1.00472j 0.6585-1.21185j 0.0729871+1.76003j -0.53194+0.691985j -0.0656913+0.590178j 
-0.441694-0.716272j 0.0223059+0.651204j -0.403243+0.780663j 0.527304-1.71121j 0.896876+0.187359j 1.26744+0.0774473j 0.323327-0.532678j -1.26412-0.926585j -0.99689+1.37438j -0.168151-0.402962j -0.270224-0.695657j -0.519607-0.165012j -0.454402-0.133779j -0.723926+0.231575j -0.229036+0.109969j -1.76033-1.12434j 0.219899-0.745951j 0.747085+0.451384j 0.377095-0.422908j -0.407137+1.14258j -0.578869-0.0499807j 0.536878-0.395822j -1.01236+0.0946049j -1.05647-0.311113j 0.556995-0.470228j -0.013929+1.84367j 0.168953+0.925914j -0.162165+0.409367j 1.00551-1.09158j 0.50877+0.0759957j 1.15616+0.150047j 1.10593+0.644972j -1.6023-0.400158j 1.81152-2.19609j 1.44629+0.316782j 0.183248-0.278137j 1.45903-0.920501j 0.220423+1.74111j 1.94073+0.832602j -0.373594+1.47694j 0.863765-0.864606j -0.812022-0.55377j -0.793333+0.421773j 0.666075-0.746088j -0.501838-0.428582j 0.838326-0.397203j -1.06554-0.581702j -0.333886-1.94766j 0.49416-0.0827246j 0.228847-0.73603j 0.55649-0.177921j 1.0477+0.961056j -0.719596-1.34486j -2.40934+0.84304j -0.126145+0.534248j 0.307201-0.571535j -0.820823-0.538449j 0.476345-0.775726j -1.31829+0.0319754j 1.13567+1.15147j 0.335972+1.28776j 0.0221303+0.427248j -1.23415+0.697271j -1.45925+0.67046j -0.654125-1.02286j -1.26938-1.43224j -0.748867-0.0395869j -0.841408+0.232927j -0.343743+0.639588j 
0.432+1.46801j 0.419548-0.0293519j 0.529589+1.00486j 0.742806+0.290766j 0.76835-1.94851j 0.00555373+0.566217j 0.700962-0.362039j 0.0911548-1.03253j -0.995935+0.0893721j 1.18313-0.524056j -1.91886+0.497954j 1.15217+0.382143j -0.250821-0.26461j -0.471896+0.309939j 0.876204-0.057716j 0.413371-0.180702j -0.559054+0.498447j -0.125963-0.126421j -0.212483-1.11288j -0.381383-1.15679j -0.0221742+0.434734j -0.154535-0.362654j 0.252341+1.68662j -0.195426-0.520848j -1.03817-0.0777445j -0.279826-0.00160831j -0.545623-0.753424j 0.469723-0.656172j -1.82678+1.01794j 0.386354-0.319339j -0.0389764-0.855221j 2.20097-1.27457j -1.34318-1.63903j -1.0515+0.733041j 0.376611+0.461743j 1.15961-1.64786j 2.32893-0.300832j -0.663804+1.48643j 0.0720367+0.274092j -1.21057-0.0397715j -1.18604-0.153314j 1.1026-0.777688j 0.876238+0.741434j 1.39393+0.42875j -2.19208+0.741784j 0.275231+0.60401j -0.0808038-1.95593j 1.00778-0.751773j -0.614001-0.0771029j -0.56613-1.24697j 0.444965-0.578221j -0.224913-0.111768j -1.0802+0.261946j 0.798158+1.0227j 0.905796-0.380622j 0.0954574+1.77685j -0.197902+0.141976j 1.36669+0.771083j 0.754332+0.665212j -1.37897+0.0572886j 0.148412+0.136276j 0.215586+0.148713j 1.7105+0.62339j -0.968448-0.0323929j -0.521983-0.844108j -0.247718+0.452414j 1.09315+0.0839266j 0.819207+0.0784531j 0.265334-0.0431084j 
1.40159-1.39055j 1.68534+1.27362j -1.00853+0.59838j -0.948277+0.789182j -0.35549-1.20172j 0.062561+0.88321j 0.244224-0.535289j 0.087961+0.224908j 0.12382-0.514613j 0.567941+1.22842j -0.534166-0.362661j -0.843015+0.0984956j 0.784701-0.751168j 0.266893-1.62278j 0.0482196-0.0946913j -0.690265-0.206166j -1.08645+0.405424j -0.930342+0.166515j -0.0554669+0.733281j -0.0494917+0.994234j -0.148117+0.420583j -0.695901-0.701008j 0.702568-0.895888j -0.599745+0.455417j 0.311735+0.240282j 0.218327+0.792886j -0.564408+0.269708j -0.440001-0.68382j 3.47145+0.823313j 0.0560322-0.268219j 0.450578-3.09145j 1.5687+1.54231j 0.97494+0.746345j -1.157+0.370837j -0.921361+0.150548j 0.845376-2.92631j 0.898554+0.82218j 2.02167-0.696651j -0.0327337+0.36148j 0.380294+0.719435j -0.822995+0.0365126j 0.477018+0.524948j 0.889356+0.424766j 0.681397+1.52319j -0.818087-0.517595j -0.820769+0.124382j 1.61172+0.644632j -0.34514+0.340612j 0.0212512+0.685072j 0.952261-1.6162j 1.00183+1.02319j 0.272325+0.196992j 0.915804+0.988537j -0.888839-1.25653j 0.520696+0.225176j 0.306337-0.904452j -0.881528+1.5212j -1.00991-0.10284j -0.188921+0.420922j 0.690328+0.991009j 0.989385+0.192684j 0.0665225+0.0976003j 0.103748-0.934836j -0.271369+0.814564j -0.0357447+0.436699j -0.0907891-0.379334j 0.272047-0.655393j -0.0744123-0.13354j -0.238953+0.0395363j 
0.141419+0.180519j 0.0361799+0.417877j -0.522297+0.210859j 0.255931+0.371146j 0.14671-0.259971j 0.849085+0.0756502j -0.190536-0.172315j 0.0116671-0.596653j 0.593703+0.28286j 0.0654072+0.111353j 0.0400426+0.0915064j -0.834163+0.268709j -0.513692+0.32463j 0.230432+0.415012j 0.295824+0.241022j 1.04126+0.911175j 1.05005-0.248395j 0.109744-1.17464j 1.37227-0.163275j -0.333728-0.1677j 0.230385-1.33279j 1.25307+1.21666j 0.66991-1.19469j 0.186043-0.339261j 0.531866-0.611138j 1.4836-0.245734j 0.311469+1.21935j -1.73711-4.1136j -0.0405471-0.551057j 3.19691-1.04634j 0.147501+0.250581j 0.332352+0.287984j -0.0286201-0.178957j -0.304563-0.328864j 0.306704+0.32868j -0.240836-0.526259j 0.0439209-0.0224573j -0.585904+0.17507j -0.00128924-0.692251j -0.0137653+0.0688321j -0.587262-0.285543j -0.50488-0.483107j -0.196079-0.457196j -0.258935-0.00773492j -0.670439+0.780316j -0.26048+0.56876j -0.145043+0.236948j -0.267291+0.797439j -0.767976-0.391438j 0.277468+1.01789j -0.414164+0.00551705j -0.974784+0.216692j 0.00451516+0.158629j -0.695647-1.08013j -0.31445+1.02198j -0.539686+0.572081j 0.0425901-0.858583j 0.678228+0.154457j -1.36538+0.918267j 0.432276+0.444608j -0.149444-0.719377j 0.617586+0.178522j -0.323066+1.01084j 0.363887-0.758518j -0.530267+0.837135j 0.682861+0.0163234j -0.941798-1.08791j 2.56786+0.421266j -0.167432+2.46688j 
0.333717+0.206117j 0.228975+0.260254j 0.0418072+0.566795j -0.201669-0.310383j -0.444661+0.318155j -0.627767-1.05067j 0.311562+0.625608j 0.197592+0.451055j -0.128334-0.935971j 0.04301-0.89237j 0.633553-2.08171j 1.24369+0.757552j -0.1256-0.14031j 0.81616+0.592919j 0.35064-0.26321j -0.312571-0.722084j 0.685343+0.677247j 1.09531-0.159947j 0.154517-0.729374j -0.406923-0.189918j 1.37387+0.823593j -0.338481+0.628174j 0.0233045+0.272795j 0.527821+0.436982j 2.67019-1.08475j 0.736783+1.84693j -0.384509-1.57742j -0.883626-0.697245j -0.353054+0.0388018j -1.33669-1.77965j 0.70239-0.338733j 0.495531-0.11333j 0.258048+0.154816j -0.683426+0.622942j 0.0890175-0.0826869j -0.303446+0.395962j 0.0338105+0.0274035j -0.300219-0.102493j -0.685479+0.449235j -0.543197+0.36886j 1.07528+0.299203j -0.233632+0.233841j -0.307969+1.74548j -0.602608+0.0247279j 0.283179-0.592896j 0.832444-0.284385j 0.449103+0.175472j 0.546189-0.634533j -0.178119-0.739197j 0.0359515-0.303445j -0.0356439-0.1755j 0.715444-1.02391j 0.774051+0.8167j -0.109628+0.567605j -0.890442+0.23884j 0.319049+1.22757j -0.231685-0.00249726j 0.311743+0.854198j -0.585121-1.44112j -0.826808-0.0724332j 1.06601-0.640112j 0.170796+1.14221j -0.484178+0.439104j 0.954651+0.222642j -1.14211+0.685555j -0.781895-1.80452j 1.06399-0.725216j 0.752537-0.0462962j 1.27484-0.69847j 
0.600343-0.144261j -0.0308641-0.327556j 0.19338-0.766436j 0.145946+1.11948j 1.16109+0.882023j -0.460306+0.101598j 0.157978-0.769496j -1.83368-0.69896j 0.343519+0.783859j -0.278003+1.43324j -0.313281+0.184136j 0.494654+0.527839j 0.079514+1.08687j -0.306382+0.479539j 0.478401+0.00954216j 0.579264+0.546922j 0.246438-0.282911j 0.509597+1.28944j -0.871424-1.22078j 1.58038-1.33714j 0.00383229+1.0735j -1.21861+0.711771j 1.42727-1.55761j -1.32306+0.184036j 0.610319-2.38028j -0.583881+0.280731j -1.54057-0.810042j -1.85194-0.664724j 0.208948+0.32873j 0.701039+0.968484j -0.557052-0.250034j -0.457411+0.114929j 0.777796-1.07743j 0.135209-0.114005j 0.316128+0.0128198j 0.743015+0.671756j -0.0966902-0.028275j -0.137069+1.4658j 0.746638-0.397524j 1.23357+0.191698j -0.640501+0.664883j -0.329455+0.516736j 0.372409-0.225684j 0.451391+0.0846491j -0.197264-0.0173169j 0.668241+0.328005j 0.323024+0.244589j -0.459411+0.781742j -0.429065-0.0774355j 0.981934-0.759074j -0.713258+0.352352j 0.202751+0.612582j -1.41218+0.168111j 1.25981+0.134722j -1.01433-0.832892j -0.656134-0.557635j 0.340236-0.431637j 1.40816+0.310796j 0.819938+0.235846j 0.40693-1.32517j 0.935446-0.700614j -0.822673+1.18796j -0.107889-0.53608j 0.0564826+1.12033j 1.55435+0.174139j -0.496303-1.15689j -0.0292788-0.974146j 0.474711-1.11764j -1.05954+0.397017j 
0.417538-0.133931j 0.0228612-0.383087j 0.819019-0.195382j -0.617305-0.94743j 0.799674+1.0986j -1.4098+1.21204j -0.216778+0.419914j -0.250453+0.691713j -0.297976+0.337922j 1.2123-0.210115j -0.201663-0.235033j -0.594945-0.0568551j 0.787595-0.756269j -0.445868+0.993539j -0.0954072+1.7967j 0.687948+0.920931j -0.616519+0.964612j -0.686801-0.0200588j 1.40563-1.61718j -2.20055+1.04782j -0.239449-1.08931j -0.242667-0.47911j 0.869677+0.965782j 0.435334-0.713937j -0.570909+1.09136j 2.01145-0.965154j 0.248375+2.11989j -1.50603-0.16638j -0.164601+0.416275j -0.343436+0.457641j 0.0294452-0.578876j -0.271327-0.515559j -0.0420665-0.152947j 0.710124-0.523426j -1.15426-0.602635j 0.673476+0.926617j 0.130527+0.43863j 0.617297-0.218203j 0.238975+0.280942j -0.822652-0.570689j -0.119571-0.704155j 0.647486+0.375346j 0.450204+0.206015j 0.436779-1.23573j -1.1401+0.0667245j -0.683484+0.614944j 0.0621249+0.406388j 0.523238-0.0137588j 0.780775-0.384388j 0.826119+0.809071j 1.24291+0.216708j -0.333649+1.29709j -0.236693+0.84304j -0.131262+0.873194j -1.65205+0.228015j -1.36846+1.08868j -0.365603+0.888813j 0.560989+1.09066j 0.081656-0.0659822j -0.205556+0.990988j 0.0910907+0.374522j -0.418265-0.404229j 0.0817426-0.612343j -0.16404+0.286895j -1.12983+0.464817j 0.453745+1.13399j -1.45642-0.307593j -0.0151849-0.723006j -0.226003-0.11148j 
