-0.000716109-0j -0.00088614-0j -0.000516915-0j 0.0128005-0j 0.00914509-0j 0.0149339-0j 0.0130671-0j 0.00538992-0j 
0.00859331-0j 0.0106337-0j 0.00620298-0j -0.0504857-0j -0.0360687-0j -0.0589-0j -0.0515375-0j -0.0212581-0j 
-0.0486111-0j -0.0601532-0j -0.0350894-0j -0.00607639-0j -0.00434118-0j -0.00708912-0j -0.00620298-0j -0.0025586-0j 
0.00088614-0j 2.23784e-05-0j -0.00124014-0j -0.0105229-0j -0.00751793-0j -0.000250546-0j 0.0103037-0j 0.012931-0j 
-0.00434118-0j -0.000109631-0j 0.00607541-0j -0.000542648-0j -0.000387686-0j -1.29202e-05-0j 0.000531343-0j 0.000666829-0j 
-5.22163e-05-0j -1.31866e-06-0j 7.30758e-05-0j 0.00124666-0j 0.00089066-0j 2.96825e-05-0j -0.00122069-0j -0.00153196-0j 
-0.00708912-0j -0.000179027-0j 0.0099211-0j 0.0416486-0j 0.0297552-0j 0.000991633-0j -0.0407809-0j -0.0511796-0j 
0.0425347-0j 0.00107416-0j -0.0595266-0j 0.00531684-0j 0.00379853-0j 0.000126591-0j -0.00520607-0j -0.00653356-0j 
