0.109308+0.0363802j 0.0358179-0.0910239j -0.0949402-0.0307678j 0.0565234+0.0655821j -0.0368835+0.0228375j -0.0721297+0.0241805j 0.00785436-0.0477738j -0.135076-0.102745j 0.0489088-0.079238j -0.0442623+0.056253j 0.061557-0.0406793j 0.0603295-0.0904957j -0.0917887+0.0565289j -0.0116077-0.0158999j 0.0124383+0.0103464j 0.00552552-0.0603591j -0.026922-0.0368859j 0.0385942+0.0010199j 0.060038-0.0167289j 0.0374723-0.0506892j -0.0235886-0.0325j -0.0462055-0.0218558j 0.0446809-0.0991061j -0.0228512-0.0148104j 0.0423777-0.0229618j 0.014121+0.0616654j -0.00982107+0.0233517j -0.00733452+0.0527859j -0.0145993-0.00658586j 0.00510281-0.00254784j 0.0195927-0.00144316j -0.00152654+0.0289486j -0.0682332+0.00793358j -0.0238481-0.0267742j -0.0582616-0.00288228j 0.0511089+0.0122384j 0.0301241+0.0419586j 0.0279121-0.00428076j -0.0179803-0.0302539j -0.0170548+0.0117244j -0.00257202-0.038411j -0.0121347-0.01276j 0.00445188-0.00805826j 0.0206722-0.0256779j -0.000527189-0.0316848j -0.0270056+0.0114382j 0.0110129+0.0531507j -0.00406527-0.00385528j -0.00957825-0.00115089j -0.0101503-0.0364937j -0.000674486-0.0151707j 0.0252787+0.0184419j 0.0041327+0.053649j 0.00849787-0.0212129j -0.0220737+0.00583238j -0.0130784-0.0103018j -0.0211227-0.00565988j -0.0588973+0.00193369j 0.008162-0.0387091j 0.00353808-0.0157825j -0.00360524+0.0132824j -0.0222364-0.00777098j 0.00561315-0.051569j -0.000420938-0.00483101j -0.0134224+0.00615566j 0.0145108+0.0348895j -0.0236458+0.0552169j 0.0449388+0.00621644j 0.0367168+0.013384j -0.030768-0.0325376j 
0.000135678+0.0203971j -0.00781705+0.00718077j -0.08518+0.0444687j 0.0474607+0.0298884j -0.051311-0.0238084j -0.0770037-0.0675724j 0.0125309-0.0461704j -0.101796-0.166177j 0.0556458-0.0449457j -0.0611342+0.077287j 0.0485335-0.0103411j 0.10037-0.139602j -0.141857+0.00756741j 0.000582461-0.00323715j 0.08635+0.00517442j 0.00464958-0.0923365j 0.00306275+0.0167991j 0.0263625-0.0690963j 0.205765-0.0348461j 0.133492-0.109939j -0.0748078-0.000222792j -0.149266+0.0115995j 0.0270747-0.122975j -0.0512228-0.0145946j 0.173555+0.0474019j 0.0418277+0.0485338j -0.00566773+0.0957822j 0.0268785+0.0825067j 0.0387213+0.0173311j 0.0201339-0.0083213j -0.0143199-0.0269993j 0.00233457+0.0904741j -0.135212-0.00774526j -0.0895055+0.0308871j -0.123217-0.0119826j 0.188463-0.0480931j 0.16485+0.180455j 0.151096-0.012852j -0.0710699-0.115071j 0.0111138+0.0234j 0.0839326+0.0127257j -0.018064+0.0326732j -0.0136829+0.0504375j 0.0140254-0.0152755j 0.0590702-0.0586566j -0.0414548+0.0451229j 0.00282111+0.0658203j -0.0610248+0.0250907j -0.0388463+0.0106755j 0.0453237+0.0158845j 0.00634897+0.00462102j -0.0113494-0.00530909j 0.0351369-0.0212133j 0.022753-0.00672512j 0.00946305+0.0178038j 0.00880802+0.000725419j 0.0249998-0.0244134j 0.0620555-0.0531928j 0.0411596-0.0193601j 0.0363637-0.0252472j -0.0519477-0.0292633j -0.00124694-0.0340813j 0.0433828-0.0505942j -0.0298879-0.00734547j 0.00749936+0.032248j -0.0474928+0.0207706j 0.0232852-0.0397219j -0.00971611-0.0182573j 0.0298107+0.0426145j 0.0142962-0.00661293j 
0.328237+0.154499j 0.133041-0.417553j -0.0251903-0.0635847j 0.106532+0.0262167j 0.0324849+0.00261432j -0.0868136+0.167279j -0.0855034-0.0830292j -0.0799627-0.0726762j -0.00960371-0.0882766j -0.317855+0.0810819j 0.0333495-0.0405059j 0.0743004+0.167751j 0.0521526+0.128362j -0.138731-0.0223435j 0.00580173+0.0880992j -0.0702119-0.0535673j -0.0408719-0.0401186j -0.0021086+0.0632067j -0.0559344+0.0285551j -0.0191988+0.0204285j 0.0529984-0.022331j 0.0371037-0.00588018j 0.0240027-0.0296853j 0.0243168+0.00973111j -0.0460205-0.0624995j 0.00539008+0.0104035j 0.0133264-0.0341121j 0.0138977-0.00764904j -0.00938115-0.00386862j 0.0044863+0.0140331j -0.0091125+0.0369957j -0.0118828-0.0147187j 0.00871495+0.00841301j -0.013267-0.0308039j 0.0464737+0.0100349j -0.0563969+0.00902068j -0.0540987-0.030047j -0.049745-0.0145183j -0.01289+0.0367645j -0.0158129-0.0122949j -0.0357771-0.0418505j 0.0363908-0.0211602j 0.000331636-0.0150968j -0.00151075+0.0107222j -0.0297889+0.00313925j 0.0016373-0.00984396j 0.00805074+0.0151597j 0.0159127-0.00861609j 0.0118423-0.0239997j -0.00920492+0.00604823j -0.00481602-0.00115642j 0.00608205+0.00627461j -0.00233923+0.0182854j 0.016658-0.0106333j -0.00924659-0.0140613j 0.00690207-0.00375244j -0.0152346-0.00771215j -0.0319966+0.00832579j 0.000779178+0.00450183j 0.000546382+0.0295693j 0.0169347+0.00466485j 0.00269288+0.00329751j -0.0106233+0.0161015j 0.00656246-0.00694172j -0.00127738-0.00649623j 0.0171787-0.000874765j -0.0157367+0.0176713j 0.00739475+0.012856j -0.00930625-0.00377082j -0.000403409-0.00100589j 
0.1508+0.0351832j 0.0567003-0.125386j 0.137093-0.0266374j -0.0128271-0.177978j 0.0464802+0.0767247j 0.0902067-0.00413313j -0.0281696+0.0688532j 0.328145+0.106316j -0.132142+0.120915j -0.11318-0.105324j -0.0769874+0.0342851j -0.0522358+0.197703j 0.171426-0.091702j -0.000895537+0.122342j 0.0882525+0.0901037j -0.0691964+0.00194626j -0.0220531+0.0921749j -0.0892755+0.0457439j 0.0863763-0.0252913j 0.0851807+0.0121521j -0.0330758+0.144222j -0.101187+0.0448148j -0.017599+0.028606j 0.00618084-0.0145352j 0.104018+0.135473j -0.0549912-0.039512j -0.0481746+0.0966253j -0.00807415+0.00624253j -0.00803434-0.0269079j 0.0297793-0.0239888j 0.0343318-0.0256031j 0.0118708+0.0172621j -0.0829363+0.0136032j -0.0521435+0.0947833j -0.101267-0.0318108j 0.146924-0.0472188j 0.106905+0.0969337j 0.161817-0.0108873j -0.0530711-0.0427061j 0.0315419-0.0258322j 0.0865168-0.0102576j -0.0343074+0.0787013j -0.0265351-0.00216653j -0.0162648-0.0264026j 0.00625124-0.0058021j 0.0394226+0.00881075j -0.0262543-0.0846228j -0.0184579+0.0215431j -0.02517+0.016713j 0.0250599-0.00645755j 0.00399182-0.00161643j -0.022536-0.0395625j 0.0431866-0.00728109j -0.0052023+0.015858j 0.000955065-0.00534146j 0.00687528+0.013265j 0.00425037-0.0119414j 0.0331789-0.00562943j 0.00359987-0.00404013j -0.00614039-0.0109794j -0.0191061+0.021672j 0.0149216+0.0123693j 0.0182829-0.0174998j -0.0135059-0.0084594j -0.000210462+0.0183561j -0.0210784-0.00752258j 0.0242535-0.0205177j -0.0154689-0.00742523j 0.00034819-0.0169508j 0.00318275+0.00965141j 
-0.0443554-0.013174j -0.0121525-0.00805392j 0.0143045+0.0218721j -0.0170002-0.0187026j -0.00597477-0.00295285j 0.025834+0.0263501j -0.00770234+0.0110364j 0.0435881+0.0704564j -0.0499074+0.0307181j 0.0132025-0.0328883j 0.0089725-0.0144367j -0.0461011+0.0565837j 0.0687073-0.010048j 0.00198882+0.000149385j -0.0323163-0.0237573j 0.0334121+0.0399804j -0.0370033+7.10191e-05j -0.0187825+0.0627151j -0.0353004+0.0334255j -0.0273562-0.0297335j 0.00373726+0.0169405j 0.022287+0.00493459j 0.0297764+0.00796788j -0.0173863+0.0283171j -0.0309641-0.0340432j 0.043517+0.00764306j -0.00704512-0.0289794j 0.00352433-0.0506203j -0.0245452-0.0263044j -0.00932082+0.002865j 0.00459793+0.0107142j -0.0127686-0.0179232j 0.0340535-0.00605155j 0.00958954-0.0278364j 0.0112306-0.00422203j -0.0197021+0.023555j 0.0115475+0.00857443j -0.0667878+0.0203142j 0.0360356+0.0218437j -0.00987259+0.036968j -0.00386296-0.028987j 0.010111-0.0113907j 0.0358927-0.01118j -0.0156392-0.0596215j 0.0297713-0.00610046j -0.0975806-0.0153079j -0.0265463+0.0567548j -0.00687919-0.00925979j 0.00556856-0.0025657j -0.0334336+6.76201e-05j -0.00703852+0.00274924j 0.0462569-0.0116665j -0.00758289-0.000597776j 0.00190394-0.0255084j -0.0262209+0.0351556j -0.0286844+0.0377362j 0.00736808+0.0415857j -0.057779-0.0212248j 0.0724815-0.00532496j -0.0266564-0.0583418j -0.0237506+0.0446495j -0.0217524-0.00621499j 0.00226486-0.0895261j -0.0217098+0.0114686j 0.0068128+0.0169787j -0.0247435+0.0770939j -0.0407598-0.0243573j 0.0234341-0.0230048j 0.106229+0.0594804j -0.0186782-0.0466564j 
-0.043069-0.0177517j -0.0210605+0.010378j -0.0353406+0.0351144j -0.0431219+0.037624j -0.0143926+0.00858416j -0.00295147-0.00403446j 0.0228331-0.0165185j -0.0118685-0.0380103j -0.02984+0.045135j -0.0221669-0.0148296j 0.0680778+0.0155062j -0.00187758-0.0307135j -0.0236154+0.00188426j 0.0427572+0.00448481j 0.0028608+0.00251733j -0.0410498-0.0101532j -0.00116352+0.0108544j -0.0138754-0.00329868j 0.0247829-0.00317382j 0.0274415-0.014992j -0.0460374+0.0123029j -0.0449004-0.0266235j 0.0025446-0.0517608j -0.0153035-0.0187842j -0.00640916+0.0217832j -0.0670215+0.00605855j -0.064536+0.0508669j -0.0582117+0.0470494j -0.0154703-0.0463278j -0.0188114-0.0333119j 0.0558864+0.0022655j 0.0208319-0.00734076j -0.0583497+0.00646261j 0.03789-0.00351556j -0.105027-0.0267859j 0.0369491+0.0142844j -0.0216217-0.0402829j 0.0529396+0.0289294j 0.0225821+0.00271707j 0.00144797+0.0172112j -0.0334726-0.0396991j -0.0845904-0.0144729j -0.00495421-0.00828004j 0.0153126-0.0425136j -0.0305848-0.00959526j 0.00109158-0.0319531j -0.0216955-0.0423601j 0.0371258-0.0166403j -0.0133284+0.0259879j -0.0415586-0.129022j -0.00485935-0.0308267j 0.0387977+0.025356j 0.00608055+0.125307j -0.0202207-0.0230218j -0.0666827+0.00667762j -0.0170767-0.0148153j -0.0569898+0.00936252j -0.165148+0.0531062j -0.0371832-0.055437j -0.0558005-0.0338379j 0.0373942+0.0690047j -0.0362375+0.0377666j -0.0183689-0.0744151j 0.0248395-0.00516245j -0.0390291-0.0107515j 0.0662861+0.0338332j -0.0420298+0.147764j 0.0850147+0.0134213j 0.0306678-0.0535658j -0.0841857-0.045415j 
-0.0292814-0.00327143j 0.0163954+0.0545101j 0.00548605+0.00922356j 0.0400808+0.0226736j 0.0256507+0.0115567j 0.035563+0.0429757j 0.0378508+0.0309093j 0.00438616-0.0218594j -0.00794896+0.0382007j 0.0228036-0.0286418j -0.00380324-0.0749804j -0.00725552+0.00949134j -0.0138688+0.02842j -0.0542661+0.0139292j 0.0221026-0.0424379j 0.0737302+0.0196199j 0.0297216+0.000497373j 0.0522662-0.000208488j -0.0585806-0.00433957j -0.0639572+0.0175865j 0.00788061+0.00848858j -0.0357778-0.0489279j -0.0212504+0.0467352j 0.0139394+0.0267359j -0.0313443-0.0338992j -0.0179483+0.0327832j -0.0291104+0.0274859j -0.0227252-0.044725j 0.0281085+0.0182772j 0.025211+0.0610481j 0.0158512-0.0597162j -0.0364104+0.0624517j -0.0463668+0.00693391j 0.0178267+0.0460961j 0.0443232+0.00377817j 0.0135818-0.014448j -0.0319431-0.0205065j 0.057744-0.0123116j -0.0589739+0.0428665j -0.0569264+0.0650693j 0.0262631+0.00220596j 0.014916+0.0807769j -0.0168647+0.0231751j 0.0125759+0.0505581j 8.75626e-05-0.0205862j 0.0604607-0.00516132j -0.0110827-0.0442139j -0.0969854+0.0371325j -0.0240895+0.00289847j 0.0461126-0.0486302j 0.0391561+0.0187552j 0.0588112+8.88899e-05j -0.0580283-0.0157426j 0.0504222+0.0010771j 0.0943596+0.0497131j -0.0869621-0.0242693j 0.0424867-0.0663792j 0.0548447-0.0364961j 0.00730592-0.0416571j 0.0237511+0.0410396j -0.0214942-0.0469526j -0.00268447-0.00381845j -0.0244819+0.0114164j -0.0128048+0.00387663j 0.0194275+0.0218782j 0.0116813-0.0266394j 0.0199331-0.0205265j -0.0279425+0.0224913j -0.0452533-0.038389j 0.00590477+0.0250287j 
0.0016447-0.0285743j -0.011938+0.0118632j 0.0016932-0.0178638j -0.0153533-0.00738988j -0.00658544-0.0500363j 0.0556362-0.034608j -0.0364242+0.0405832j 0.00609691-0.000454881j 0.0940752-0.0442952j -0.0221301-0.0263799j -0.00255986+0.030136j -0.0656069+0.00870254j 0.00977077+0.037223j -0.0137968+0.0733532j 0.0794779+0.0220973j 0.016018+0.011452j 0.0604481-0.0200847j -0.0602289-0.0118759j -0.00462352+0.0182399j -0.0222196+0.0350363j 0.0120379+0.0521397j 0.0289724+0.062594j -0.0228605-0.0209258j -0.0557651-0.0703617j 0.0293412-0.0133936j 0.0461579-0.0278947j -0.00532108-0.0641812j 0.0605352+0.00915029j -0.0413789-0.0217388j 0.0515442-0.00823214j 0.0374863+0.0221511j -0.0905273+0.00265693j -0.00516909+0.0796313j -0.0608915-0.000443851j -0.00542412-0.0216655j -0.0117382+0.0437727j 0.0592006+0.0116622j 0.00334671-0.0159469j -0.0444975-0.0633816j -0.0450534-0.0431886j -0.0168479+0.00275055j 0.136683+0.0103833j 0.0653986+0.0436692j -0.0442168+0.0757021j -0.0281811-0.0245294j 0.0436661+0.00596j 0.0289158+0.111824j 0.140051-0.0408962j 0.0361751-0.0665511j -0.0685991+0.0984134j 0.00664796+0.0400076j -0.0808964-0.0633143j 0.0338136+0.0665542j -0.0327368+0.0318604j 0.0145421-0.040709j 0.0854291-0.0311196j -0.142932-0.0436641j 0.0443295+0.0275147j -0.0247183+0.00667703j 0.00841197-0.0499739j -0.0221474+0.0247539j 0.00749014-0.00619246j -0.00630367+0.0873084j 0.0256035-0.0511946j -0.0461275-0.0102704j -0.0176371-0.0769935j -0.0441827+0.0100933j 0.0207952-0.0380706j -0.00900236+0.0200767j 0.0325011+0.0345392j 
0.0348906+0.0248534j -0.0645828-0.0203301j -0.0283821-0.00305929j 0.0602217+0.0550805j 0.0263607-0.0039677j 0.0142257+0.00783309j 0.0492883-0.00348841j -0.0561562-0.00797324j -0.0544691-0.00993927j -0.0499271+0.0101289j 0.053261+0.120856j 0.0381983-0.0718984j -0.0162001+0.0437445j 0.00573408-0.0116445j 0.00937367+0.0781903j -0.00347305+0.0343862j 0.0263795+0.0241601j 0.010031-0.0641115j -0.0395242+0.0206382j -0.0104084+0.0768406j 0.0969765-0.07419j -0.0427695-0.00819288j -0.0902636-0.00498032j 0.0720678-0.0943328j -0.0609455-0.039732j -0.101623-0.0273593j -0.0124297+0.112954j 0.0022638+0.0663724j 0.0330385-0.0423695j 0.0400757-0.062658j -0.0474996+0.0390175j 0.163936-0.0702826j 0.0625912-0.0577023j 0.0185379+0.0136747j -0.165492-0.0964696j 0.0647166+0.0243833j -0.0317687-0.0924284j 0.0610892-0.0207446j -0.11791-0.0119947j 0.0275631+0.0207804j -0.0703057+0.0471887j -0.206753-0.0749614j -0.0366878+0.0768558j 0.0208438+0.0234996j -0.0124079-0.0053504j 0.0776354+0.0340846j -0.0443116-0.0632563j -0.0245652+0.00959394j 0.00134019+0.0595668j 0.0402979-0.0462075j 0.000666729-0.155001j -0.0389832-0.0384397j -0.0468911+0.094115j 0.01333+0.00761801j -0.0468125-0.0846255j -0.031624+0.0243697j 0.0370176+0.0763774j -0.137995+0.151532j -0.0462613-0.0102121j 0.04944+0.0885807j 0.00711154+0.0937415j 0.019059+0.0664717j -0.00826628-0.0227289j 0.0012426+0.0141153j -0.00295834-0.00166112j 0.0319765+0.00421429j 0.011602+0.00739818j 0.00782273+0.0206536j -0.00667555-0.0251305j 0.0107769+0.0118958j 
-0.0426792-0.0294918j -0.0111665+0.0865155j -0.00369068+0.00265747j 0.0629126+0.0579633j 0.0269629+0.000189152j 0.0308948+0.102787j 0.00285115+0.0581464j -0.0119856-0.0155022j 0.00401087+0.0500779j 0.0303406-0.0546599j 0.0357668-0.148464j -0.0458782-0.0385361j 0.00274523+0.055303j -0.117059+0.091933j 0.0791677-0.131676j 0.153849-0.0250379j -0.00612576-0.00249303j 0.0430101+0.0351945j -0.0619457+0.0177969j -0.103091+0.0127393j 0.0410692+0.021605j -0.0747911-0.0271209j 0.0304055-0.00335647j -0.0437237-0.0284631j -0.0192287-0.1049j -0.0323786+0.0980658j -0.133048+0.0607169j 0.00997799-0.114719j -0.0491431-0.0773777j 0.138956+0.146027j 0.0202931-0.0506426j -0.10471+0.127562j -0.0421045+0.0443545j -0.0750169+0.0832004j -0.00551875-0.116499j 0.14669+0.00783211j -0.0694652-0.0200016j 0.082498-0.0174753j -0.080101+0.00496432j -0.0541322+0.114273j 0.015495-0.0119834j -0.00184594+0.0409683j 0.00178652-0.00714594j 0.0128544-0.04221j 0.0169575-0.0773249j -0.0258561-0.02749j 0.000420734-0.0033596j -0.0833582+0.0288226j -0.0170938+0.00826553j 0.0137105+0.00890062j 0.168095-0.0184774j 0.0769483-0.0382643j -0.0702412+0.0703148j 0.0587979-0.071967j 0.0781662+0.0176937j -0.0403725+0.0531231j -0.0282224-0.182247j -0.0295279+0.000598768j 0.0261853-0.0168073j 0.0220372+0.0103013j -0.0255258+0.0164341j -0.0213084-0.00799168j -0.00675102-0.0419524j -0.0269585-0.00993192j 0.0233169+0.0384186j 0.00273887+0.025372j -0.00412337-0.000359695j 0.00977743-0.000262718j 0.0203564+0.00895305j -0.00300503-0.00725337j 
0.000847401-0.00351472j -0.0567788+0.000609081j -0.000395319-0.0240412j 0.0750139-0.0195169j 0.0098287-0.0522102j 0.060559-0.0515915j -0.014122+0.0651957j 0.00912789+0.0291657j 0.0121515-0.0683932j -0.0334029-0.0471772j 0.0169345+0.0130748j -0.04073-0.0090109j 0.00212168+0.0634192j -0.119875+0.0747404j 0.0616838+0.0149488j 0.119593+0.0311808j 0.0281644-0.0421448j 0.0263594-0.00601311j 0.0549992+0.0123879j -0.0400322+0.0508504j 0.0709293+0.0452259j -0.0520546+0.0539026j -0.00231499-0.043264j -0.0208902-0.0864763j 0.0525154-0.06356j 0.0248477-0.0401782j 0.0502407+0.0172103j 0.113365-0.0252356j -0.05369-0.0276904j 0.0619841+0.0319009j -0.0689045+0.0507469j -0.0132457-0.00221576j 0.129362-0.0278085j -0.0541057-0.0424945j -0.0480076-0.106116j 0.0869442-0.006779j 0.0665081+0.0512285j -0.00112462+0.00959751j -0.0552119-0.0633546j 0.0189628+0.0121487j -0.0542566-0.0104365j -0.0142575-0.0798719j 0.115897+0.001646j -0.0128186+0.0363193j -0.0043101-0.0388811j 0.00755529+0.0364142j -0.0560887+0.214793j 0.00841776-0.0150548j -0.00534929-0.0209513j 0.00579897+0.0274965j 0.0294067-0.0863026j 0.000848229-0.11068j 0.0140509+0.0757225j -0.0292425+0.051069j -0.028455-0.0449888j -0.0297188+0.0466814j -0.0453302+0.0230183j -0.125172+0.109121j -0.0338097+0.048791j 0.0163477-0.0370251j -0.0176768+0.085344j -0.0111324-0.0102752j 0.0154363+0.0168963j 0.0158595-0.00464679j -0.0136543-0.000832966j -0.0185748-0.0268708j 0.00408401-0.0334113j 0.020733-0.0614563j 0.0355336+0.0501609j 0.0258646+0.0182262j 
