-0.0116582-0.153794j 0.0478003-0.0625544j -0.0257232+0.011931j 0.119151+0.314593j 0.106175+0.101679j 0.0885817-0.158916j 0.0657517-0.366162j 0.143949-0.0659685j -0.233391+0.210504j -0.11642-0.383171j -0.0390649-0.100054j 0.032376+0.0633204j -0.0128176-0.12189j -0.0860753-0.261273j 0.400089-0.441418j -0.237568+0.0884231j 0.228804+0.0189438j 0.0888551-0.0227325j 0.135571+0.362871j 0.0924763+0.122496j 0.0774793-0.0307065j 0.202264+0.564678j 0.0728019+0.409994j 0.313831+0.120764j 0.36379-0.0913344j -0.536873+0.0637451j 0.220165-0.401343j -0.0637749+0.0352318j -0.414884+0.450579j 0.00206157-0.145527j -0.259181-0.671153j 0.19063-0.0192783j -0.101766-0.28048j 0.833382-0.299304j 0.394201-0.201499j 0.201598+0.281734j -0.607767+0.674923j 0.996721+0.602428j 0.113525+0.262109j 0.186674+0.797048j -0.0642233-0.294702j 0.929668-0.373301j -0.534738-0.233449j 0.468763+0.974996j -0.380746+0.136466j 0.330958-0.257564j -0.758917+0.285175j -0.482466-0.293392j -0.824572+0.328085j 0.246298+1.5431j -1.27126-2.30243j 2.12048-1.07919j 
-0.022408+0.0273636j -0.3522+0.0776033j -0.479743-0.239068j 0.547604+0.111348j 0.252289-0.199153j -0.0831843+0.000416962j -0.365062-0.281292j 0.199322+0.0315569j -0.130205-0.2083j -0.422109+0.424096j -0.54117+0.307653j 0.328766-0.0480621j -0.110319+0.000717072j 0.0337129-0.104881j -0.466927+0.0536034j 0.154224-0.102146j -0.418608-0.0170196j -0.261449+0.0607303j -0.397933+0.0535296j 0.431824-0.668077j 0.118959-0.0859917j 0.476154+0.203514j -0.799374-0.460799j 0.432701+0.12747j -0.790703-0.287717j 0.507735-0.528801j -0.896933+0.333126j -0.365079-0.387062j -0.499909-0.0304417j 0.757711-0.438914j 0.236154-0.420575j 0.21246-0.303871j 0.547037+0.544331j -0.684051+0.72832j -0.583571+0.245843j -0.494363-0.0527504j -0.0739437-0.332704j 0.049239-0.00368538j 0.149055-0.491136j -0.911136+0.257974j 0.00594814+0.650349j -0.321018-0.281028j 0.141231-0.413843j -0.164844+0.646112j -0.292115-0.43139j 0.72994+0.405828j -0.650044-0.413529j -0.349548-0.686201j -0.922098+1.80319j -1.16395-0.899388j -0.892503-0.69901j -0.759635-0.181775j 
-0.023623+0.097309j -0.300013+0.390137j -0.00836639+0.288879j -0.581089-0.31365j 0.320504-0.226307j -0.317595+0.203804j 0.544294+0.378531j -0.33011-0.437068j 0.0605894+0.358581j -0.0729871-0.209618j 1.37719+0.923482j -0.936397+0.403317j -0.298947-0.0156477j -1.31002-0.186112j 0.108179+0.375857j -1.68433+0.276763j 1.00933-0.704839j 0.616225-0.0235327j -0.46534-0.931802j -0.720256+0.25742j -0.932347-0.110533j -1.16583-0.351684j 1.19196+0.103787j -1.23574-0.436864j 0.459265+0.224806j 0.576691+0.532656j -0.178984+0.446654j 0.0727953+0.0229014j 1.67558-0.0124441j -0.53013+0.340678j -2.16059-0.681576j 0.0167814-0.0997445j 0.278522+0.893797j 0.194309-0.220146j -0.257687+0.159673j 1.48706+0.477518j -1.97496-0.731891j -0.405186+0.0561651j -1.31731+0.120173j -1.22079-1.12135j -0.474969+0.579357j -0.191303-0.744493j -1.54284-0.607352j -1.63416+0.310023j -1.39721-0.292015j -0.536363-0.211672j 0.301508+1.08614j 0.799657+0.472629j -0.519361+1.70891j -0.652883-0.120676j -0.932717+0.180347j 1.04421+0.269847j 
-0.0696063+0.33995j -0.315321+0.501925j -0.0669164+0.0642219j -0.0943755-0.468451j -0.102376-0.240149j -0.615909+0.080559j 0.117352+0.0728938j -0.277697+0.184351j 0.64297-0.044617j 0.822124+0.181297j -0.00242256+0.104932j -0.546609+0.204366j 0.191547-0.294276j -0.439535+0.239213j 0.110248+1.19844j -0.389268-0.878718j 0.183277-0.019069j -0.387137-0.222673j -0.26422+0.0182562j 0.62761+0.394277j -0.121464-0.101965j -1.21883-0.634425j 0.113322+0.101386j -1.05351+0.583404j 0.909745+0.0905457j -0.118479+0.930772j 0.346667+0.886784j 0.228499-0.318774j 0.20158-0.238912j 0.0725041-0.134923j -0.693426-0.591597j 0.457931+0.993667j -0.425674-0.105532j 0.0618306-0.616916j 0.0725756-0.274934j 0.982244+0.581562j -1.45817-0.646219j 1.67666-0.377526j 0.894178-1.40055j 0.261325+0.115687j 0.656953+0.109505j -0.738334+0.169085j 0.475821-0.919299j -0.236497-0.561877j -0.193571-0.401766j -0.285397+0.874845j -0.301071+0.163133j -1.48702+0.104205j 0.0638226-0.837991j 0.33613+1.49285j -0.435614+0.453455j 0.540503-0.0659877j 
-0.130642-0.133401j -0.105998+0.00677588j 0.191753+0.202916j -0.511138-0.1862j 0.3597+0.825647j -0.531682+0.0944821j 0.109468+0.132554j -0.287661-0.257988j -0.274177+0.0644125j -0.802484+0.0348356j 1.15425+0.641143j -0.867954+0.219508j -0.273997-0.249251j -1.64637+0.518072j -0.387018-0.162284j -1.23894-0.319261j 1.40884+0.789187j -0.889244+0.653303j -0.347431-0.84009j -0.979182+0.275332j -0.667858-0.820439j -2.24867-0.677873j -0.173536+0.0658289j -1.82684-0.448358j -0.113484-0.928062j 0.672858+1.1602j -0.160877+1.02806j 0.482598+0.132487j 2.34864-0.27705j 1.23835+0.054411j -3.26868-1.0461j 0.00605885+0.0359649j -0.0750899-0.592565j 0.358215-0.335109j 0.105169+0.598523j 1.78211+0.653345j -2.88168-0.551676j 0.389349-0.161051j -1.11654+0.847173j -0.600418+1.20147j -1.60692-0.814987j -2.76045+0.215744j -0.547487-0.79919j -0.907247-0.333761j -0.304837+0.709108j -0.535436-0.321807j 1.63137-2.28738j -0.104134+0.535376j -0.340112+0.166935j 0.363358+0.0680229j -0.305545+0.051605j 0.307744+0.316089j 
-0.354592-0.243855j -0.636411-0.0483344j -0.0748967+0.238815j -0.529833-1.14985j 0.554873+0.097048j -0.814795-0.366907j -0.401396+0.26634j -1.18704+0.0523033j 0.0815523-0.609785j -0.322089-0.178912j 1.67767+0.678592j -0.793124+0.531748j -0.435275-0.641578j -1.38311-1.10639j -0.601086+0.0964534j -3.29417-1.72686j 2.75721+0.332821j 0.989479-0.228021j -1.59666-0.477063j -1.21154-0.87013j -1.00792+0.360502j -3.81908-1.23297j 0.722686-0.749418j -3.51773-0.786628j 0.456281-0.000548218j 1.77811+2.31138j -0.285261+1.56819j -1.21322+0.0995602j 2.72086+0.794207j 0.294316-0.326776j -4.53435-0.951907j -1.1872-0.444663j 1.50852-1.34503j 1.43861+0.288141j 0.485892-0.986835j 2.60175+0.049552j -3.23323-0.84366j 0.118229+0.0943606j -1.86863+0.340117j -0.527794-1.31617j -1.67245+0.0484563j -1.08385-1.36467j 0.946127+0.328523j -0.549172-0.0572124j -0.408232+0.572453j -0.505754-0.288901j 0.764611+0.839736j 0.858359+0.686085j -0.761846-1.47574j 0.154365+0.262474j -0.460707+0.248055j 0.054135+0.747654j 
-0.0771197-0.329529j -0.54933+0.113198j 0.190669+0.218419j -0.333024-0.183616j -0.3935+0.948168j -0.447389-0.423662j 0.0398619+0.0825023j -0.646909-0.517966j 0.116037+0.156016j -0.353747+0.536216j 1.59531+0.200298j -1.22708-0.837879j -0.407553-0.223388j -2.69432+0.0230943j -0.34918+0.614132j -2.74409-1.17041j 0.602904+1.17412j 0.596721+0.409847j -0.181771+0.429937j -0.031768-0.501244j -1.41199+0.499938j -3.20809+0.670514j 0.774135-0.674011j -2.45427-0.843777j -1.22964+0.21161j 1.79136+2.28196j 0.334476+1.81107j 0.345837-0.453811j 2.34414-0.297519j -0.653118+0.214041j -2.45391-0.840324j -1.61444-0.0694999j 0.590364+1.52979j 1.4051-1.13442j 0.172814-0.402384j 1.02243-0.240053j -3.02726-0.0584135j 0.313111-0.409919j -0.692381-0.642158j -0.900086+0.126538j -0.589051+0.675507j -0.248551-0.084891j -0.431957+0.526267j -0.809877+0.252889j -0.897636-1.59749j -0.628676-0.271864j 2.27863-0.0447326j 0.127401+0.435387j -0.46147-0.214569j -0.342968+0.00264496j -0.230922+0.1884j -0.0871848+0.460847j 
-0.257315-0.331584j -0.0315474-0.309555j -0.355493+0.23465j 0.500523-0.510073j 0.576403-0.842148j -0.576989-0.0933866j -1.02333-0.774123j 0.390884-0.065224j -0.105085+0.954862j 0.494535-0.00751714j 0.379319+0.0872339j -0.677888-0.353396j -0.561034-0.731651j -0.263973+0.331423j -0.426001+0.67025j -0.568362-0.36774j -0.397406+0.42706j -0.214951-1.02147j 0.745284-0.53048j 0.329848-0.3125j -0.704793+0.285084j -0.703861-1.20027j 0.905967+0.0373262j 0.490844-0.199358j 0.00265791+0.539078j -0.190884+1.23627j 0.283406-0.929222j 0.233814+0.573355j 1.12677-0.114696j 0.990304+0.035979j -0.113497-1.36099j 0.623771+0.287665j 0.39946+0.60504j 0.762603+0.492614j -0.299352+1.16778j 0.755839+0.536498j -0.044148-0.424581j -0.422586-0.598044j -0.117771+0.413522j 0.399885-0.865287j 0.401638-0.445529j -0.062744-0.143366j -0.604213+0.0687626j -0.272718-1.08033j -0.557254-0.121341j -1.26346+0.329559j -0.254829-0.0315666j -0.393481-0.900388j -0.383805-0.53897j -0.188597-0.427411j -0.0312495+0.548802j -0.453044+0.263038j 
0.112408-0.444936j -0.540321-0.267361j 0.119052-0.0576626j -0.00703022-0.2573j 0.56932+0.357072j 0.948734+0.271903j -0.466506+0.284009j -0.842079-1.55506j 1.01837-0.0922158j -0.0565823+0.29061j 2.12571+0.433047j -0.53146+0.662395j -0.831666-0.0733585j -1.68888-0.590043j -0.79251+0.396605j -2.16272-0.262756j 2.3468-0.0227235j 0.689817+0.524171j -0.134333+1.24101j -0.301005-0.954663j 0.773291-0.183808j -3.10238-1.16592j -0.461531-0.0926596j -1.85908+0.437473j -0.110395-0.430476j 0.772476+1.01963j -0.713591+0.405527j 0.875946+0.342059j 1.7535+0.897968j 0.396053+0.906964j -2.47766+0.803976j 0.889976+0.50402j 0.866775+0.742123j 0.927648-0.266113j 0.121478-0.187348j 2.57071+1.3767j -2.34379-1.22503j 0.642687-0.431367j 0.457112+0.0872207j -1.32115-0.429059j 0.36004-0.722787j -1.16441+0.00722494j -0.0296235+0.46532j -1.69926-0.06029j -1.01848-0.385479j -0.257591-0.100851j 0.606194+0.501861j 0.803533+0.815239j -0.0104937-0.207372j -0.276413-0.14915j -0.280222-0.171011j -0.22903+0.261572j 
0.211402-0.57366j -1.02097-0.441162j 0.748574-0.113932j 0.22719-1.15825j -0.134653+0.783971j -1.15304-0.826268j -0.465549+0.28147j -1.78655+0.571794j 1.77431+0.476466j -1.38296-0.446969j 2.29511+1.57837j -0.375863+0.235191j -1.50508-1.30795j -1.68855+0.198213j -0.956184-0.302984j -4.14266-1.39782j 2.239+0.432033j 0.925252+0.755275j -0.852753-0.405842j -0.614113+1.82235j -0.760068-0.589851j -3.50431-1.41344j 0.503036+0.441479j -3.44701-1.10715j 1.07121+0.0662636j 1.82336+2.49856j -0.250562+2.00469j -0.94294-0.311684j 2.35089+0.866925j 0.224912+0.643377j -4.4745-1.55268j -0.2917+0.249781j 0.056851+0.677233j -0.00944622+0.780919j 0.241073+0.215013j 1.68661+0.493366j -4.13815-2.07013j 0.716327-0.0305932j -2.12544-1.42868j -1.80691-0.717688j -1.13965+0.510318j -2.26962-0.88355j -0.358934-0.307291j -2.68786+0.500154j -1.31393+0.0604678j -0.634215-0.310709j 0.943755+0.429207j 0.204808+0.187596j -0.230356-1.04404j -0.603025-0.294119j -0.419305+0.0190024j -0.488364+0.0407883j 
0.464898-0.225597j -0.46659-0.0620145j 0.257073+0.179803j -0.349013+0.498369j 0.400577+0.994936j 0.210859+2.07767j -0.521192+0.317814j -0.992696+0.690392j 0.429283+0.369652j 1.10823-0.738972j -0.313641-0.149098j 0.716482-0.654532j -0.55638+1.09715j -0.675732+0.997543j -0.607528-0.0721624j -1.26702-0.608304j 0.829168+0.50742j 0.0900494-1.05951j -0.90441+0.174916j -1.01173+0.00124572j -0.949009-0.124338j -1.00716-1.29255j 1.45918+0.00317563j -0.670572+0.129336j -0.802043+0.109134j 0.950589+1.30325j -0.104024+0.863984j -0.126921-0.859773j 1.60556+0.67087j -0.134647-0.409704j -2.24191-1.00123j -0.0401247-0.994275j -0.204181-0.342386j 0.92677+1.15494j -1.32243-0.795588j 1.18513+0.676789j -2.65076-0.0115951j 0.306056+0.223937j -0.161822+0.604615j -0.781684-0.241766j -0.149375+0.131983j -0.787281-0.792761j 0.542323-0.0694037j -1.59528-0.381407j -1.07202-0.370611j 0.0441283-0.213162j 0.443667-0.0996142j -0.0350493+0.878749j 0.0880593-0.0696855j 0.0143258-0.248766j 0.141048+0.0722312j -0.143187+0.111319j 
