0.000408631+0.000963718j -0.00208547+0.00062503j 0.00164003+0.0016685j -0.00465659+0.00169752j -0.0037562-0.000720885j 0.00219774-0.00201006j -0.000676038+0.00157558j 0.00692713-0.0024145j -0.00644313-0.000513328j -0.000264491+0.00179457j 0.00093948-0.00196982j 0.00286083-0.00151618j 0.00741118-0.00303767j -0.00505264+0.00215495j -0.0127234+0.00275519j -0.00313287+6.79458e-05j 0.00371333-0.000588589j -0.00605723+0.00110115j 0.00291475-0.000952296j 0.00952326-0.000810775j -0.00114189+0.000344563j -0.0063376+8.21795e-05j 0.00451803+0.000144281j -0.00472093+0.000465497j 0.00482423-0.000409848j -0.00238826+5.32572e-05j -0.0107317+0.000430125j -0.00379999+0.000557325j 0.00861968-0.000560833j 0.00308348-6.8555e-05j 0.00481059+0.000105211j -0.00851502-2.14673e-05j -0.000453425+3.55562e-05j -0.00163549+5.45571e-05j 0.00216695+0.000469019j 1.47464e-05+8.18088e-05j -0.00126264-0.000276105j -0.000431858+0.00075637j -0.00015925+0.000452403j 0.000261437-0.000192916j 0.00174214-7.02523e-05j 0.000514224-0.000148608j 0.00370868-0.000168806j 0.00252919+0.000153732j 0.00975107+0.000723925j 0.00133109+3.25581e-05j -0.00395597-0.000225705j 0.00343751+0.000350519j 0.0110147+0.00151747j 0.00133721+0.000308246j -0.00619302-0.000470769j 0.00252757+0.000179769j -0.00371413-0.000620713j 0.00240917+0.000510266j -0.0050514-0.000316664j -0.00662467-0.000736831j -4.12059e-05+0.000228896j 0.00751857+0.00114977j -0.00304796-0.00122357j 0.00539931+0.00125625j -0.00223718-0.000342056j 0.00248554+0.000295057j 0.00920352+0.00289778j 0.00404401+0.00246318j -0.00432783-0.00239668j 0.00157994+0.00114194j -0.000123097-0.0016795j 0.000416747-0.00148913j -0.00582474+0.000497313j 0.00586519+0.00225938j -0.00052536-0.00143512j 0.00173596+0.00183946j -0.00344378+0.000716033j 0.00429646+0.0016618j 0.00169411-0.00170355j 0.00212573+0.000675372j 0.000531348-0.00113816j 
-0.00252551-0.00429551j 0.00126105-0.00277766j -0.00362359-0.00674405j 0.00123956-0.00521135j 0.00322579+0.00302331j 0.00204078+0.00821659j 0.000184854-0.00485945j -0.000343067+0.00241061j 0.00146856+0.00168602j -0.0034133-0.00732125j 0.000972427+0.00719538j 0.00117435+0.00663874j -0.000474896+0.00282529j -0.00232867+8.40778e-05j -0.00280148-0.00208927j 0.00275862+0.00848234j 0.000695253+0.00368626j -0.00167368-0.0029713j 0.00295102+0.00841357j 0.000282496-0.00242714j -0.00014095-0.00572452j 1.76129e-05+0.00568627j 1.37624e-05-0.00911045j -0.0020737-0.00368243j 0.00139944+0.00052504j -0.00100698-0.00432389j -0.00317608+0.00243087j -0.00087508-0.00903301j 0.00189993+0.00483207j 0.000385819+0.00225231j 0.00113447-0.00399206j -0.000525577+0.00184615j -0.000163582-0.000934111j -0.000835135+0.0014585j 0.000148948-0.00751973j -0.000251674-0.00464728j -0.000759484+0.00244359j -0.000248807-0.00509781j -5.24874e-05-0.00953033j -0.00013152+0.00424227j 0.000724081+0.00143638j -0.000439986+0.00524069j 0.000232329+0.00670784j 0.000598934+0.00208238j 0.00183423-0.000425683j -0.000110811+0.000259038j -0.000928324-0.00253977j 0.00113046-0.00336557j 0.00378132-0.00705614j 0.00130314-0.00226661j -0.00156348-0.00614638j 0.0012424-0.00417083j -0.00153848+0.00100151j 0.00153707-0.00434217j 8.38721e-06-0.00678133j -0.00091439-0.00191469j 0.000504933-0.00549095j 0.000707534+0.00125413j -0.00291521+0.00776952j 0.00140701-0.00167005j -9.67988e-05+0.00140114j -0.0018468+0.00591033j 0.00310719-0.00233375j 0.00219226-0.0007176j 0.000164881+0.00275406j 0.00124836-0.00536378j -0.00103286+0.00586641j -0.00305922+0.00589748j 0.00133106-0.00112898j 0.000309222-0.00233957j 0.000144863+0.00398054j 0.00188619-0.00737037j 0.00282524-0.00254735j -0.00130043-0.00508401j -0.00386358+0.00640197j -0.00265271-0.00361855j -0.00344668+0.00559997j 
0.00468591-0.00285409j -0.000600124+0.00403685j 0.0049935-0.000881918j -0.00283425+0.00391573j -0.00485294+0.0027006j -0.00252677-0.000358867j -0.0034422+0.00278798j 0.00393739+0.000928217j -0.000698754+0.00133648j 0.00449606-0.00275795j 0.00115288-0.00138972j 0.00164119-0.00056235j 0.00524461-0.000326201j 0.00147509-0.00191959j 0.00222873-0.00191485j -0.00378815+0.00378696j -0.000137127-0.000512577j 0.000435776+7.44825e-05j -0.00222123+0.00293056j 0.00210417-0.000976555j -0.0043891+0.00103163j -0.0018782-0.00110208j -0.00137421-0.00220914j 0.00333048-0.00394576j -0.00122583+0.00150912j 0.00301218-0.00213043j 0.00631385-0.000888518j -0.000370705-0.00214361j 0.00209056+0.000790662j 0.00134399+0.000348768j -0.00191972-0.00131151j -0.00499711+0.00113138j 0.00117795-1.98874e-05j 0.00182198+0.000537282j 5.02911e-05-0.00283465j 0.00347691-0.00220643j 0.00315583+0.00113466j -0.000269744+6.51839e-05j -0.000245255-0.00186299j 0.000424582+0.00191977j -0.00204838+0.00114469j 0.00274639+0.00185727j 0.0010776+0.00318029j -0.000925096+0.000973889j 0.00161577+9.81618e-05j 0.00148394-0.000265097j 0.0013553-0.000952104j 0.000537937-0.00132693j -0.00266928-0.00337917j -0.00320891-0.00120308j 0.0042806-0.00198476j -0.00125487-0.00262076j 0.00194741+0.000859105j -0.00180769-0.00236859j 0.000898677-0.00264835j -0.00241913-0.000364446j 0.00325594-0.00241607j 0.000933094+0.000275157j 0.000425519+0.00243758j -0.00101931-0.000469982j -0.000321481-0.000408595j 0.00200945+0.00287137j -0.00392927-0.00265001j -0.000495102-0.00259598j -0.00302963+0.00253597j 0.000907577-0.00143649j -0.00091986+0.000307558j 0.00445579+0.00271348j -9.67968e-05-0.0022405j -0.000541835-0.00135394j -0.00391196+0.00042684j -0.001658+0.00031009j -0.00303393-0.00274624j 0.00158958+0.00183672j 0.00476612+0.00195593j 0.0066727+0.00781487j 0.00883561-0.00361034j 
-2.33181e-05-0.00448281j 0.00359228+0.00192571j 0.00137735-0.00522419j 0.0046913+0.00254098j -9.386e-05+0.00509574j -0.0015156+0.00155454j 0.00230087+0.00168502j -0.0037143-0.00144797j -0.000813117+0.00227596j -0.000293299-0.00425885j -0.00335929+2.16713e-05j 0.000677592-0.00202228j -0.00183985-0.00269636j 0.0028507-0.00214745j 0.000880442-0.00294043j 0.0048904+0.00228104j 0.00106302-0.00121114j 0.00315275-0.00156841j 0.00503278+0.00143559j -0.000224961-0.00212405j -0.00132649+0.00371371j -0.0046821+0.00244367j -0.00127896+0.000837018j -0.00338379-0.0032679j -0.00210668+0.00222188j -0.00721231-0.001303j 0.00204888-0.00635909j -0.000817985-8.64109e-05j 0.000825435-0.000767718j 0.00363929-0.000941613j -0.000636465+0.00163201j 0.000916268+0.00368561j -0.000729412-0.000786227j 0.000392241-0.00145522j -0.00279588-0.000641292j -0.00365306-0.00256103j -0.00267285-0.00227021j 0.00712802-0.000305123j -0.001505-0.000200637j 0.00245122-0.000306041j -0.00271368+0.00194233j 0.00323385-0.00207194j 0.00370288-0.000701092j 0.000539487+0.00104666j 0.00095309-0.000722386j 0.000493227-0.00140617j -0.00025936-0.00175053j -0.00379897-4.44821e-05j -0.000609584+0.00315765j -0.0003239+0.00294512j -0.0020218-0.00485818j -0.00745692+0.000694567j -0.00151401-0.00240657j -0.00240291+0.00167477j -0.00127962-0.000868145j 0.0028503+0.00216675j -0.0019483-0.00259699j 0.00168749-0.000571104j 0.00424334-0.0008864j 0.00289096+0.00144124j 0.000833853+0.00111447j 0.00425499-0.000556446j -3.91867e-05+0.00395767j 0.00156474+0.000847759j -2.81717e-06+0.00128871j -0.00161719-0.00139243j -0.00222046-0.000270168j 0.00156484-0.00359675j 4.14136e-05+0.00153488j 0.00388548+0.000213833j -0.00121717+0.00108393j 0.00037203+0.00108282j -0.000583668+0.00344823j 0.00483636-0.00219862j -0.000618083-0.00545447j 0.00638692-0.00466338j -0.00259534-0.00676215j 
0.000988036+0.00189374j -0.00179384-0.00237573j 0.00160973+0.000604561j 8.70996e-05-0.00362715j -0.00320952-0.0010428j -0.000772346-0.00165162j -0.00187393-0.00438295j -0.00425028+0.00544134j -0.00209629+0.00216784j 0.00300654+0.00275321j -0.000919643+0.00320217j 0.000781311-0.00114137j -0.000396241+0.00565805j 0.00585588-0.00130904j 0.00289762+0.000330427j -0.000356934-0.00625313j 0.00141497-0.00214974j 0.00276349-0.00242067j 0.00170319-0.00443007j 0.000881581+0.000763022j -0.00314313-0.0023794j -0.00346006+0.0019438j 0.0011266-0.000143557j 0.000985872+0.00370352j -0.00315154+0.00152828j -0.00449002+0.00702785j 0.00297291+0.00264468j 0.000989366-0.000188191j 0.00100605+0.00273802j 0.00356709-0.00118897j 0.000719861-0.00104411j -0.00101491-0.00409779j -0.000461984+0.00181986j -6.73027e-05+0.00103983j -0.000126594+0.000588913j -0.00114286+0.00495651j -0.0034576+0.00486607j 0.00697759-0.00468407j 6.85392e-05-0.000141401j 0.000682287-0.000519841j -0.00413538-0.000107425j 0.00193857+0.00189097j 0.000806823-4.48318e-05j -0.000313888-0.000632357j 0.00138773+0.00277029j 0.000928687+0.00140563j 0.000465445+0.00051909j -0.00251284+0.00323908j 0.00274139-0.00168739j 0.000737859-0.00348005j -0.00107935+0.00431799j -0.00564853+0.000827533j -0.00309992+0.00300254j 0.000277312-0.00268747j 0.000971273-0.000331402j 0.00303696-0.00379278j -0.000626196+0.00334316j 0.00128278+0.000937904j 0.00184242+0.000734629j 0.0037167-0.00169099j 0.00234687-0.00107427j 0.00242479+0.00290666j 0.00328929-0.0029045j 0.00527611-0.00385936j -0.00287683-0.00393253j -0.00147947+0.000718428j -0.0026823-0.000370163j -0.000923128+0.0041028j 0.00355554-0.00071043j 0.00572572-0.00187557j -0.0019384-0.00445848j -0.00103701-0.00139224j 0.00277116-0.00366536j 0.0015703+0.000949787j -0.00224059+0.00234915j -0.000951921+0.00397731j 0.00117105+0.00281274j 
-0.000901966-0.0021652j 0.000768546+0.000505985j -0.00256738-0.00288576j -0.000511905-0.00165509j 0.00248461+0.00344989j -0.000355078+0.00135124j -0.00193701+0.00111214j 0.00370491+0.00518806j 0.00310317+0.00220447j -0.00115336-0.00288526j 0.00230364+0.00211056j -0.00175217-0.00159069j 0.00297035+0.000390518j -0.0030742-0.00668454j -0.00246642-0.00356102j -0.00253265-0.00200024j -0.00229668-0.00201729j -0.00286893-0.00413065j -0.00192566-0.00392637j -0.000544288-0.000805764j 0.00103488+0.00439626j 0.00295506+0.00540079j -0.000215144+0.000231021j -0.000123753+0.000157555j 0.00274899+0.00438686j 0.00394027+0.00734186j -0.00234764-0.00532178j -0.000739032-0.000385107j 0.00121657-0.00168238j -0.0013861-0.00520888j 2.25189e-06+0.000241163j -0.000633232+0.0011355j 0.000604692+0.000454965j 4.14491e-05-0.000373563j -0.000306701+0.00180479j 0.00140462+0.00209235j 0.00221905+0.00376622j -0.00363716-0.0096257j -0.000398616+0.0010001j -0.000309238-0.00208698j 0.00157458+0.00575186j -0.000123301-0.00434493j -0.000147323-0.0031497j 0.000330389+0.000219316j 0.000983538-0.00250617j -5.94552e-05-0.00149038j -0.00080012-0.000614028j 0.00180964+0.0038925j 0.000146885-0.00165394j -0.000633157+0.000374992j -0.000201904+0.000665308j 0.00119521+0.00941441j 0.000717789+0.00289615j -0.000795001+0.00225605j -0.000876031-0.00012527j -0.000982622-0.00363044j 0.000680793+0.000438955j 0.000228106-0.00267469j 4.40796e-05-0.00470294j -0.000521332-0.00458063j -0.000132684-0.00185942j 0.0016469-0.00537396j -0.00024111-0.00226074j -0.00239254-0.00475566j -0.00160156+0.00371518j -0.000395388+0.00168683j -0.000381872+0.00368303j 0.00098993-0.00113216j 0.000192286-0.00274139j -0.00186617-0.00676139j -0.00230992+0.00342459j -0.000212414+0.000745212j -0.000665083-0.000930171j -0.00072251-0.00438858j -0.000905735+0.00159893j 0.00072397-0.00282131j -0.000985564-0.000404369j 
0.000374496+0.00283004j -0.00643558-0.00096262j -0.000606833-0.00136204j -0.00310158-0.0020918j -0.00172334+0.000262416j 0.000589723+0.00118395j -0.00320203-0.00151683j -0.00155212-0.00129667j -0.000749733+0.000385994j 0.00311943-0.000900877j 0.00194412+0.000953042j -0.000261875+0.00210175j 0.00149561-0.00109842j 0.00264942-0.000267183j 0.00252615-0.000146113j -0.00442396+0.00132443j 0.00105117+0.000925493j 4.51544e-06-0.000554072j -0.00169461+0.000973482j 0.000866576+0.000152914j -0.00430989-0.000474249j -1.03925e-06+0.00190152j 0.00147846-0.000250597j 0.00513449+0.000765309j -0.00161591-0.00139899j 0.00210107-0.000969425j 0.00467355-0.000181696j 0.000319863-0.000253491j 0.00308538-0.000214954j 0.000301924+0.00078524j -0.000338789+0.000638354j -0.00237027+0.00100687j 0.00140059-0.00153958j 0.000280113-0.000287156j 0.0009265+0.000431482j 0.00409216-0.000495626j 0.00253244-0.00207894j -0.000545762-0.000319238j -0.000121925-0.0014329j -0.000124414-0.000587149j -0.0028864-0.00095368j 0.00388416-0.000460949j 8.58573e-05-0.00149649j -0.000793925-0.000282288j 0.0033776-0.000806008j 0.00301245+0.000116449j 0.0013038+0.000127511j 0.00183385-0.000529418j -0.000785743+0.00193102j -0.00439728+0.000480681j 0.00600883-0.000201826j -0.0025826-9.51021e-06j 0.00340713-0.00065614j -0.00514549+0.000310594j -0.000941312+0.000277443j -0.00235057+0.000798908j 0.00310087+0.00182911j 0.00157048+0.000235385j 0.00457788+0.00148554j -0.000125941+1.57129e-06j -0.00213564+0.000247782j 0.00386283-0.000824173j -0.00152622+0.00110988j -0.00403717-0.000115345j -0.0039249-0.00172322j 0.000514476+0.000506905j -0.000180749+0.0013763j 0.00313803-0.000734658j -0.00213194+0.000409599j 0.0015514+0.000858992j -0.00184355-0.000209615j -0.000785576-0.00086899j -0.00425343+0.000879928j 0.00450511+0.000692929j 0.00165686-0.00192193j 5.99072e-05-0.00677681j -0.00408265+0.00312287j 
-0.00206765-0.00428881j 0.00622345-0.00299973j 0.00182222-0.00253142j 0.00410476+0.000679848j 0.000604898+0.00179566j -0.0031494-0.000232617j 0.00277562-0.000386425j 0.00361938-0.00147722j 0.000639555+0.000898675j -0.000233902+0.000962727j -0.00203814+0.000462339j -0.0022705-0.00273117j 0.00139117-0.000567912j -0.00246447+0.00133836j -0.00232203+0.00137141j -0.00040563-0.00232563j -0.0025308-0.000859152j -0.000259722-0.000996913j -0.000979887-0.000927386j -9.0791e-05-0.00112554j 0.00258687-0.00246273j -0.00159738-0.00054363j -0.000373654+0.001575j -0.00323316+0.00240674j 0.00317041+0.00135857j 0.00181512+0.00265348j -0.00243595+0.000748898j -0.000383633+0.000534044j -0.000773903+0.00331679j -0.00153406-0.000710113j -0.000703889-0.000243661j -0.000259235-0.000304169j 0.000378339+0.00225437j 0.000733192+0.000214764j -0.000622259+3.63338e-05j -0.0012803+0.00390527j 0.0022005+0.00332382j -0.00129068-0.000921462j 0.00099171+0.000507868j 0.000426436+7.91418e-05j 0.00347153-0.000466929j -0.00187041+0.00374696j 0.00143058-0.000297798j 0.000479391+0.000210969j -0.00117718+0.00265049j -0.00129179+0.0016678j -0.000721889+0.000224381j -0.000179095+0.00300211j -0.00347833-0.000673504j 0.000817572-0.00351471j -0.00166758+0.00313058j 0.00219771-0.00165418j 0.000612378+0.00348655j 0.00205692-0.00465423j -0.000114569-0.00148539j -0.000649099-0.00310916j -0.00325246+0.00112188j -0.000822207+4.64911e-05j -0.00290578+0.00184168j -0.000945509-7.95868e-05j 0.000309674-0.0015523j -0.00147484+0.0028925j -0.00279211-0.00141931j -0.000628677-0.00452511j 0.00392637-0.000419506j -0.000573667+0.000283066j -0.000626786-0.000204176j 0.000763263+0.00156061j -0.000971-0.00244047j -0.00240141+0.000300268j 0.00126649-0.000900036j 0.000614543+0.000426723j -0.000368292-0.00345168j -0.000233483+0.00307275j 0.00275141-0.000786772j 0.0102849+0.00352089j 0.000810061-0.00987461j 
-0.000691343-0.00133374j 0.00229197-0.00550813j 0.00292121+0.000442275j 0.000809425-0.00234112j 0.000418993-0.00340253j 6.46978e-05+0.00400105j 0.00369321-0.000781146j 0.00314533-0.00257307j -6.06657e-05-0.00387091j -0.000748997+0.0004494j -0.00273805+0.00214355j -0.00174975+0.00118209j 0.00295194+0.000268141j -0.000877958+0.000428246j 0.000142835-0.000937544j 0.00109471-0.00438878j -0.000218728+0.00378798j 0.00268014+0.00160147j -0.000829735-0.000476065j -0.000994606+0.00210087j 0.00223518+0.000423829j -0.00288351+0.00175971j -0.00146626+0.00295j -0.00212299+0.00438274j -0.000616197-0.00379767j -0.00118768-0.0012266j 0.00181046+0.00217704j 0.000717821+0.000110604j -0.00125729-0.00112957j -0.000662489-0.000812047j -0.00176644+0.00136867j -0.00106008-0.00114924j 0.00302936-0.00226633j -0.00106215-0.00190078j -0.00351359+0.0025527j -5.88739e-05-0.000838763j 0.00185883-0.00131614j 0.00232931-0.00185201j 0.00342915-0.000522127j 0.00233173-0.000949388j 0.000437955-0.00217822j 0.00149189-0.00188756j 0.00545198+0.000304606j 0.000598215-0.00218608j 0.00232945-0.00014692j -0.00106809+0.00316567j -0.000745937+0.00165012j 0.000482905-0.00174558j -2.87428e-05-0.00153907j -0.000900321+7.29751e-05j 0.00204388+0.00401561j -0.00162603+0.00133481j 0.000720511-0.000487758j -0.00455166+0.000853751j -0.00140913+5.48253e-05j 0.00221614+0.00122762j 0.000990295-0.000813763j 0.00229963+0.00168105j -1.8973e-05+0.00430189j 0.00104181-0.00014178j -0.00375511-0.00208367j 0.00429098-0.000660103j -0.000318511-0.000492395j -0.000705262-0.00200919j 0.000698941-0.00117008j 0.00140056-0.000826322j -0.00420859+0.000231833j 0.00133946+0.000870218j -0.00113644-0.00266659j -0.00371065+0.00100946j -0.0025998+0.00436463j 0.00486339+0.000155884j -0.00231853-0.00114675j -0.00095849+0.00176681j -0.000454839+0.00423035j 0.00590981-0.00435504j -0.00694962-0.00102461j 
-0.00277786+0.00122467j 0.000439857-0.00222383j -0.00503396+0.00367049j 0.000658633-0.00293016j 0.00365732-0.00144321j -0.00270186+0.00271908j -0.00361617+0.00293042j -0.000855839+0.00229335j 0.0041464-0.00168551j 0.000696741-0.000523219j 0.00154593-0.00162365j -0.00139546+0.00101081j -0.00160519+0.00197318j 0.00298799-0.00129545j 0.00287683+0.000449282j 0.00110766+0.000365659j -0.00330465+0.00277508j -0.004025+0.00380634j 0.000947844-0.000610129j -0.0035708+0.00109107j -0.00601093+0.0043057j -0.00053944-0.0016372j -0.000654629-8.77028e-05j 0.00173049+0.000252538j 0.00344796-0.00439199j 0.00323392-0.00307393j -0.00153807+0.00179702j 0.000218406+0.00140396j 0.00699036-0.00388408j 0.00309519-0.000441169j -0.000684414+0.000656395j 0.00181778-0.00175034j 0.00323208-0.000802363j 0.00204727-0.00288097j -0.00194418-0.000434664j 0.00704429-0.00175577j 0.00202398-0.002667j 0.00209075+0.000890282j -0.00135888+0.00215932j -0.000104095+0.000842851j -0.001169-0.00206776j 0.00750306-0.00166861j -0.00491607+0.00268341j 0.00230565-0.00166804j 0.000956321+0.000481591j -0.000569941+0.000243335j -0.00124667+0.000683726j 0.0045611-0.00106063j 0.00616167+0.00120067j -0.00284894+0.00115851j -0.00371192+0.000869581j -0.00418661-0.000469572j 0.00138977-0.0034619j -0.00467989+0.00100704j -0.00018254+0.00060724j -0.00382392+0.00225411j 0.00515767+0.00101152j -0.00379588+0.00101817j -0.00358644-0.000297914j 0.00147489+0.000438851j 0.00357583-0.00118234j 0.0031266+0.000917879j 0.00208597+0.00148604j 0.000925521+0.00243658j -0.00290477-0.000740475j 5.8532e-05+0.000978224j -0.00014362-0.0020849j -0.00138624+2.33719e-05j 0.00432859+0.00141459j 0.000528296-0.00217472j -0.00713704-0.00131149j -0.00161144+0.00201738j 0.0021264+0.000218503j -0.00241015-0.00442635j -0.00801727+0.000542718j -0.00161612-0.00188671j -0.00345151+0.000402292j 
0.00166345+0.00113248j 0.00190812+0.00253639j 0.000359581+0.00250546j -0.000326567+0.000330634j 0.000919505+2.59933e-05j -0.000490282-0.000589284j 0.000107797+0.00288752j 0.00392188+0.00327901j 0.00196019-0.000788928j -0.002305-0.00168775j -0.00336076-0.00279336j 0.000726344-0.00147044j 0.00378748+0.00305358j -0.00343587-0.00193239j -0.00181963-0.00225944j 0.00109155+0.000752918j -0.000950419-0.00120273j 0.00290263+0.00175012j 0.00290847+0.000691514j -0.0014705-0.000439048j 0.00267075+0.00253946j -0.0040314-0.00276418j -0.000287508-0.000759811j -0.000412661-0.00162895j -0.0033105-0.00180107j -0.00065216-0.000899985j -0.0019357+0.000217561j 0.00217574+0.00117437j -0.00173305-0.00273888j 0.000287834-0.00104929j 0.000726733-0.000912092j -0.000376336-0.000336099j -0.00161312+0.000662467j -0.00409643-0.00271728j -0.00348368-0.00403322j -0.000924421-0.00124881j -0.00205026+0.000392535j -0.00094231+0.000140185j 0.00271378+0.00440115j 0.000927362+0.00207318j -0.000530219+6.44297e-06j -0.00118825-0.00107951j 0.00363645+0.00619389j -0.00279308-0.00237053j -0.000395385+0.000108574j 0.00034021+0.000145719j -0.000136537-0.000150513j -0.000189663-0.000412217j 0.00103887-0.00118877j 0.00115709-7.26249e-05j 0.000183842+0.00387997j -0.000245522+0.000122048j -0.0037849-0.00106434j 0.0021616-0.00123072j 0.000995747-0.000295104j 0.00128375+0.00417729j 0.000143812+0.000729181j 0.000698864+0.00345876j 0.000212859+0.00236003j 0.000978392+0.00175154j 0.000374875-0.00248442j -0.00154463+0.000386143j -0.0017818-0.00300429j 0.000326887-0.00454784j 0.00220118+0.00412507j 0.000907346+0.00042053j -0.00172331-0.00369355j 0.0016599+0.00209154j 0.00193927-0.00360365j -0.00207825-0.00400693j -0.000723502+0.000947323j -0.000773464+0.0015534j 0.00160776-0.00262488j -0.00213513+0.000762329j -0.000725524+0.00152655j 0.00211059+0.00450576j 0.00156688-0.00388725j 
