-0.41867-0.113169j -0.178873-0.000221008j -0.810115+0.0592459j 0.0242459-0.0472712j -0.131345-0.0334116j 0.238267+0.206635j -0.171588+0.153908j 0.0123484+0.352977j -0.363177+0.0700728j -0.0124727-0.0255486j 0.0586086-0.0923462j 0.0468548-0.0483557j -0.037473-0.0589722j -0.208065-0.0825209j 0.062136+0.0593407j -0.0643086+0.092178j 0.0135821-0.21341j -0.111733+0.107432j -0.00751808-0.162842j -0.0617849-0.0176933j -0.17777-0.0216275j 0.155039-0.0584278j -0.135522-0.055289j -0.00443631-0.15204j 
0.42327-0.111825j -0.808862-0.0588773j -0.166655-0.000224231j -0.364593-0.0679219j -0.00999707+0.349569j -0.175939-0.160116j 0.238292-0.211005j 0.131414-0.0398192j 0.0288917+0.0455374j -0.00345157+0.150719j -0.137958+0.0577791j 0.152333+0.0610679j 0.179874-0.0183804j -0.0591355+0.021899j -0.010456+0.158715j -0.110547-0.113709j -0.00968311-0.210476j -0.0602853-0.0965609j 0.058167-0.0529624j -0.209483+0.0822891j 0.040384-0.0598863j 0.0437997+0.0481863j 0.0610373+0.0931864j -0.0118552+0.0288805j 
0.204268-0.202914j 0.00674013-0.0154593j 0.0894934+0.0297346j -0.00510047+0.0015982j -0.0333048-0.0205337j 0.0755889-0.0551447j -0.0577596-0.269423j -0.165872+0.523449j 0.408348+0.236955j -0.0149583+0.000892254j 0.0212788-0.0489225j 0.0399192-0.0443576j -0.0699374-0.0498363j 0.0490359+0.034455j 0.00718998-0.0317945j -0.294565+0.0691423j 0.02724-0.0283101j 0.00213093-0.067786j 0.21167+0.0690353j 0.126405+0.00268567j 0.0685956-0.0555964j -0.174108+0.031721j -0.135109-0.00372315j -0.367953-0.154454j 
0.130245-0.0017037j -0.0841046-0.0112961j 0.0843909-0.0106065j 0.0652316-0.0608069j 0.152255+0.0831337j -0.223172+0.385008j 0.223803+0.381477j 0.152353-0.0732223j -0.0614444-0.0564313j -0.0224306-0.0817102j 0.264763-0.0732397j 0.25462-0.0839822j -0.0694373-0.00945056j 0.282719+0.0107354j 0.00993606+0.0527801j -0.118633-0.0727668j -0.0696165+0.000206508j 0.112831-0.0734495j -0.0170668+0.054957j -0.278686+0.00968584j -0.0683359+0.00979172j -0.254242-0.0804733j -0.269209-0.0725417j 0.0153194-0.0854538j 
0.203902+0.203945j -0.0881424+0.0292618j -0.00507168-0.0153945j -0.406654+0.239339j -0.166251-0.52582j 0.0558211-0.260875j -0.0734099-0.0463654j -0.032034+0.0169511j 0.00285039-0.000148759j 0.367592-0.155596j 0.138844-0.00795144j 0.179656+0.0314255j 0.0666591+0.0562137j -0.127906+0.00490134j -0.204632+0.0677084j 0.000344291-0.0692055j 0.0253709+0.0283669j 0.296943+0.0668326j -0.0119672-0.0312823j -0.0516785+0.0367131j -0.0711859+0.050322j -0.0431432-0.0446413j -0.0247621-0.0507813j 0.0155688-0.000520556j 
0.117408+0.109275j -0.0209222-0.0198551j 0.15933-0.0256065j -0.0121385+0.0013725j 0.00793382-0.0219584j 0.0134779+0.0531692j 0.0311906+0.0592205j 0.247125-0.116896j -0.130695-0.271451j 0.00128416+0.00273097j 0.00215261-0.0016295j -0.000656167-0.00597806j -0.0149359+0.0165364j 0.00362251-0.0212673j 0.00237063+0.00440221j -0.0184399+0.0266628j -0.014422-0.0131514j 0.044505-0.0318181j 0.340014+0.0459247j 0.108449+0.04577j -0.0262254-0.00260113j 0.094872-0.281015j -0.0605234+0.183794j 0.0228803+0.101429j 
0.0426897-0.0684931j -0.0606502-0.00462243j 0.109086+0.195108j 0.0169782+0.0252871j -0.0569203+0.0103643j 0.0958704-0.0344743j -0.0581831-0.127154j 0.0673685+0.062364j 0.0523554-0.205216j -0.00230795+0.00251312j -0.00483685-0.0175539j -0.0114173-0.0159453j 0.00862871+0.00737263j 0.02269+0.00855881j -0.0261523+0.0192974j -0.127543-0.0452109j -0.0307676+0.0223602j -0.0685126+0.036997j -0.0994493-0.212117j 0.0415424-0.164496j -0.0221476+0.0547639j -0.244641-0.0104673j 0.127233+0.183305j 0.0968904-0.195613j 
0.087167-0.10438j 0.132539-0.0134639j 0.000778686+0.0357878j -0.0145864-0.049993j 0.094025+0.0152927j -0.203971-0.0161484j 0.00530847+0.192598j -0.0883843+0.273493j 0.242482+0.0982833j 0.00581734-5.59274e-05j 0.00961233+0.0185372j 0.0119427+0.019539j 0.00624385+0.0444057j -0.0499362+0.0141684j 0.0235573-0.0447398j 0.204048+0.0442634j 0.00441537-0.0134681j -0.00145391-0.102293j 0.153418-0.232433j 0.0166384+0.112774j 0.0448473-0.154643j -0.149242-0.212136j 0.0433809+0.115642j 0.080576-0.138353j 
0.0081644-0.0318802j 0.0312636+0.197552j 0.00884473-0.0682798j 0.0378096+0.0280343j -0.0395869+0.0723858j -0.0111505-0.164869j -0.0750488+0.106882j -0.0739878-0.192539j -0.197978+0.136159j 0.00166041-0.00642134j 0.0140555+0.00606027j 0.0102058-0.0339002j 0.0437917+0.105432j -0.0748778+0.0359794j -0.0319811-0.025541j -0.0549456-0.218716j -0.0888873+0.0229562j -0.107587-0.0362038j -0.0938771-0.114359j 0.196966-0.0327343j -0.0723107-0.201605j -0.119053+0.0501531j -0.0944987+0.115836j 0.0130353+0.00453597j 
-0.112998+0.0871713j 0.184913-0.0658471j 0.162233-0.128184j 0.0532356-0.0304779j -0.0169092+0.00858486j 0.208486-0.0610808j -0.0988699-0.227381j -0.0743732-0.0836078j -0.00983847+0.0394452j -0.0188448+0.000222133j 0.0128533+0.0306716j 0.0190506-0.0153063j -0.10845-0.0457848j 0.187916+0.0866024j -0.100467-0.0387398j 0.157913-0.0293035j 0.153296-0.318955j -0.0338797+0.0704141j 0.0005027-0.140858j 0.0618105+0.199901j 0.0177893-0.0534821j -0.0600737+0.00840804j -0.0262755+0.0383189j 0.0035739-0.00205556j 
0.112281+0.0849036j 0.16415+0.131241j 0.184758+0.0582497j -0.015629-0.0459294j 0.0783906-0.08777j -0.102657+0.221962j 0.206705+0.0682517j 0.0185143+0.0151107j 0.0561142+0.0300022j 0.00587075+0.00399508j -0.0277473-0.0449002j -0.0671133-0.0105281j -0.0137259-0.0591397j 0.0668-0.197097j -0.00486386+0.153504j -0.0391691-0.074095j -0.153752-0.314183j 0.153496+0.0335578j -0.09816+0.0351557j 0.188114-0.092492j 0.103938-0.0426805j 0.0183626+0.0157282j 0.0153353-0.0282976j -0.0172568-0.00130654j 
-0.0130379-0.0365596j 0.00577816+0.0597716j 0.0246908-0.201715j -0.195019-0.131835j 0.0706143-0.186893j -0.0751311-0.115833j -0.0215782+0.166282j 0.0372645+0.0748175j 0.0368231-0.0260118j 0.0180713+0.00124652j -0.0895257-0.116205j -0.123411-0.0462241j 0.0710381-0.199663j 0.193255+0.0439367j -0.101028+0.115773j -0.101353+0.040899j 0.0964791+0.0317878j -0.0570615+0.215606j -0.0247893+0.0172096j -0.0806237-0.0289243j -0.0478327+0.104602j 0.00862096+0.0294631j 0.0132306-0.00126008j 0.00330455+0.00611076j 
-0.0872263-0.104179j 0.00144699-0.0333643j 0.132798+0.0139609j 0.243364-0.0947753j 0.0846122+0.273777j 0.00671126-0.197228j -0.205372+0.0138134j -0.097774+0.0121757j -0.0179435+0.0519817j 0.0784105+0.137476j 0.0464758-0.114146j -0.14258+0.219417j -0.0470499-0.148575j 0.0194541-0.106242j 0.161236+0.232164j 0.000666008+0.0970961j -0.00581394-0.0138188j 0.202299-0.0498194j 0.0197934+0.0388795j -0.0488129-0.0124282j -0.00601476+0.0399438j 0.00596299-0.0205833j 0.00609684-0.0171929j 0.00610395-0.00110434j 
-0.042519-0.069288j 0.10696-0.197984j -0.0603963+0.00691161j 0.0579087+0.20322j -0.0668897+0.0695965j -0.0558361+0.126259j 0.0941983+0.029829j 0.0561614+0.010831j 0.0182346-0.0243922j 0.0973663+0.19585j 0.132082-0.182503j -0.244805+0.00972047j 0.0207073+0.0580298j 0.0365505+0.170992j -0.100607+0.206802j -0.0636813-0.0377604j 0.0320356+0.0208459j -0.125385+0.0418912j -0.0209358-0.0202208j 0.0235829-0.00556855j -0.00828171+0.00690997j -0.00875643+0.0140367j -0.0030334+0.0176432j -0.00202148-0.00182968j 
-0.11782+0.108067j 0.159812+0.0261861j -0.0232284+0.0198185j -0.129979+0.272055j -0.24705-0.117055j 0.031994-0.0534665j 0.0183896-0.0512901j -0.00606242-0.0229774j -0.0119109-0.00180959j 0.0225446-0.105871j -0.0654253-0.188884j 0.0965937+0.277377j 0.0298065-4.94088e-05j 0.11903-0.044715j 0.335548-0.0483942j 0.0393427+0.0285809j 0.0135347-0.013821j -0.0260567-0.0260022j 3.4165e-05-0.00482163j 0.00645282+0.0201984j 0.0151866+0.0156849j -0.00119874+0.00756629j 0.0027916+0.00211749j 0.000771024-0.00325217j 
0.0435324-0.0648635j 0.000566487+0.032647j -0.0430162-0.156674j 0.00269982+0.00595701j -0.00223219-0.000357397j 0.00856773-0.0149476j 0.0103161+0.0201695j -0.0220993-0.0983704j 0.0147945-0.0174646j -0.000207004+0.00446334j 0.00520387-0.00898071j -0.0105579-0.00549196j 0.0146606+0.0129156j -0.00614998+0.00589596j -0.0026084+0.00184493j 0.0249353-0.0163927j -0.0294812+0.00418702j -0.00979352-0.021054j 0.0760555+0.0764431j 0.00408315+0.0585407j 0.039233-0.064196j 0.143079-0.151645j -0.257339-0.0361642j 0.0845153+0.295747j 
-0.0269983-0.00470705j 0.023761+0.0756013j 0.0663923-0.0310016j 0.00650883-0.016714j -0.00755509+0.0212244j 0.0180167-0.0685865j -0.0179952+0.00787511j 0.0980034-0.0473506j 0.0280966+0.0827019j 0.000726823-0.00450654j -0.0123147-0.00355034j -0.00326342+0.0178922j 0.0173913-0.0599519j 0.0376754+0.0160117j 0.00323225+0.018331j -0.0772035-0.0722013j 0.0225197+0.0289935j 0.0152719+0.0457089j 0.0534965-0.0650874j 0.125575-0.06199j -0.233504-0.0218539j -0.00707326+0.0463784j -0.0848649+0.226425j -0.00531809+0.304733j 
-0.114937-0.0691664j 0.00371345-0.0383359j -0.0177451+0.00293214j -0.0145638+0.0266664j 0.0146265-0.00850101j -0.0152348+0.0670105j -0.0549612-0.0150017j 0.0385035-0.00420313j 0.0417492+0.062155j -0.00502215-0.00827653j -0.0194927+0.00236589j -0.0236798+0.00189646j 0.0109684+0.0091476j -0.0208915+0.020758j -0.00218904-0.00847049j 0.0360929-0.0274664j -0.0208456-0.021057j -0.0263044-0.0398246j 0.113833-0.0849133j 0.0150034-0.050872j 0.0904432+0.0770624j -0.0205278-0.162457j 0.145633-0.259454j -0.209788-0.0516183j 
-0.0278609+0.0262266j 0.0995057+0.0483415j 0.00275633+0.0177369j -0.0231517+0.00499786j 0.0225941+0.0130066j -0.122911+0.00389295j -0.0250264-0.0885462j -0.0660197-0.0626798j 0.0284012-0.110397j 0.0118378-0.0027203j -0.0394747-0.0565026j -0.0566676-0.0151326j 0.111319-0.0225748j -0.0105832-0.000561964j -0.00794243+0.0108835j 0.133569-0.0943081j -0.0866279+0.00622831j -0.0149021+0.0109899j -0.0611349+0.0539814j 0.0139321-0.0351541j -0.0460677-0.0738311j 0.109488-0.13925j 0.00577344-0.0721321j 0.242261-0.115891j 
-0.0253106-0.0111228j 0.114266+0.0873996j -0.0399811-0.0240632j -0.00330845+0.0106958j 0.0195091-0.0041057j -0.0363978-0.0014984j 0.028924-0.0350073j 0.0613753+0.0918749j -0.0692875+0.0265896j -0.0148418+0.0153064j -0.0194294+0.00534673j -0.0248946+0.0288291j 0.078405+0.0575813j -0.0024408-0.000291374j 0.02102-0.00982948j -0.00438651+0.0471988j -0.135753-0.048394j 0.0107449+0.031762j 0.121051+0.0529667j -0.00453482-0.15689j 0.1587-0.138005j -0.00615556-0.265313j -0.0490797-0.177473j -0.0443674+0.0496662j 
